"","Table 6#8C# Persons Engaged in Production by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"44","37","    Transportation and public utilities","A4637C0",5460,5608,5676,5736,5712,5691,5860,6025,6173,6326,6472,6651,6846,7007
"45","38","      Transportation","A4638C0",3358,3499,3582,3573,3563,3572,3738,3903,4042,4188,4282,4435,4564,4635
"46","39","        Railroad transportation","B4639C0",276,268,262,246,237,229,221,216,222,208,205,208,208,198
"47","40","        Local and interurban passenger transit","B4640C0",338,365,377,380,384,388,421,444,443,458,496,504,520,506
"48","41","        Trucking and warehousing \3\","B4641C0",1671,1544,1546,1498,1503,1523,1600,1705,1766,1844,1869,1944,2009,2040
"49","42","        Water transportation","B4642C0",172,168,171,175,181,167,171,175,179,174,179,185,184,191
"50","43","        Transportation by air \3\","B4643C0",574,808,858,906,895,893,929,959,1001,1051,1067,1122,1163,1216
"51","44","        Pipelines, except natural gas","B4644C0",18,18,18,18,19,19,19,17,15,15,14,13,13,13
"52","45","        Transportation services","B4645C0",309,328,350,350,344,353,377,387,416,438,452,459,467,470
"53","46","      Communications","A4646C0",1192,1189,1172,1219,1198,1170,1180,1192,1221,1261,1324,1364,1423,1521
"54","47","        Telephone and telegraph","B4647C0",880,873,848,879,865,836,840,844,852,875,938,959,1010,1087
"55","48","        Radio and television","B4648C0",312,316,324,340,333,334,340,348,369,386,386,405,413,434
"56","49","      Electric, gas, and sanitary services","B4649C0",910,920,922,944,951,949,942,930,910,877,866,852,859,850
"57","50","    Wholesale trade","B4650C0",6021,6177,6413,6355,6198,6200,6138,6322,6553,6584,6734,6918,7019,7106
"58","51","    Retail trade","B4651C0",17005,17468,17996,18070,17663,17666,18179,18769,19330,19698,20090,20254,20888,21318
"59","52","    Finance, insurance, and real estate","A4652C0",6900,7006,7043,7132,7060,6994,7149,7243,7210,7303,7412,7627,7801,7846
"60","53","      Depository institutions","B4653C0",2160,2149,2159,2156,2069,2005,1990,1974,1938,1923,1927,1934,1928,1903
"61","54","      Nondepository institutions","B4654C0",361,360,358,372,378,405,460,486,467,508,564,643,691,668
"62","55","      Security and commodity brokers","B4655C0",522,512,494,491,482,507,552,592,620,642,669,723,786,860
"63","56","      Insurance carriers","B4656C0",1372,1390,1412,1457,1479,1463,1463,1469,1455,1453,1466,1516,1528,1502
"64","57","      Insurance agents, brokers, and service","B4657C0",756,794,802,833,841,818,847,852,855,871,873,879,873,900
"65","58","      Real estate","B4658C0",1523,1583,1592,1592,1570,1563,1601,1633,1646,1676,1683,1700,1762,1777
"66","59","      Holding and other investment offices","B4659C0",206,218,226,231,241,233,236,237,229,230,230,232,233,236
"67","60","    Services","A4660C0",26308,27543,29009,30013,30459,31045,32256,33431,34741,36094,37557,39055,40267,41765
"68","61","      Hotels and other lodging places","B4661C0",1386,1461,1521,1548,1493,1466,1493,1531,1561,1592,1639,1674,1742,1795
"69","62","      Personal services","B4662C0",1565,1627,1603,1583,1655,1697,1723,1710,1754,1781,1769,1785,1820,1889
"70","63","      Business services","B4663C0",4646,5042,5363,5679,5544,5542,5999,6524,7058,7613,8207,8925,9504,10149
"71","64","      Auto repair, services, and parking","B4664C0",1187,1234,1255,1277,1243,1260,1319,1327,1311,1454,1467,1482,1513,1549
"72","65","      Miscellaneous repair services","B4665C0",540,555,567,588,543,553,585,569,583,569,581,591,555,548
"73","66","      Motion pictures","B4666C0",383,394,441,451,449,456,463,497,552,576,604,639,654,650
"74","67","      Amusement and recreation services","B4667C0",862,891,970,1016,1027,1085,1153,1233,1268,1347,1424,1421,1472,1558
"75","68","      Health services","B4668C0",6694,6824,7190,7506,7829,8205,8463,8666,8866,9107,9326,9442,9568,9720
"76","69","      Legal services","B4669C0",1059,1117,1153,1122,1151,1155,1171,1195,1188,1168,1212,1236,1235,1236
"77","70","      Educational services","B4670C0",1532,1558,1603,1614,1655,1755,1809,1856,1910,1957,2001,2095,2163,2262
"78","71","      Social services and membership organizations","A4671C0",3230,3456,3617,3827,4156,3881,4009,4256,4432,4546,4726,4931,5119,5299
"79","72","        Social services","B4672C0",1815,1936,2007,2149,2290,2245,2321,2546,2665,2741,2863,2983,3117,3247
"80","73","        Membership organizations","B4673C0",1415,1520,1610,1678,1866,1636,1688,1710,1767,1805,1863,1948,2002,2052
"81","74","      Other services \4\","B4674C0",2493,2672,2901,2991,2911,3132,3219,3246,3423,3556,3767,3952,4060,4275
"82","75","      Private households","B4675C0",731,712,825,811,803,858,850,821,835,828,834,882,862,833
"83","76","  Government","A4376C0",17237,17642,18045,18372,18422,18338,18283,18292,18399,18409,18531,18703,18849,19128
"84","77","    Federal","A4377C0",5314,5336,5354,5345,5260,5060,4831,4661,4530,4378,4269,4207,4167,4198
"85","78","      General government","A4378C0",4489,4487,4498,4486,4411,4240,4048,3866,3722,3575,3476,3416,3370,3416
"86","79","        Civilian","B4379C0",2121,2156,2176,2221,2198,2181,2136,2051,1984,1913,1869,1845,1821,1869
"87","80","        Military \5\","B4380C0",2368,2331,2322,2265,2213,2059,1912,1815,1738,1662,1607,1571,1549,1547
"88","81","      Government enterprises","B4381C0",825,849,856,859,849,820,783,795,808,803,793,791,797,782
"89","82","    State and local","A4382C0",11923,12306,12691,13027,13162,13278,13452,13631,13869,14031,14262,14496,14682,14930
"90","83","      General government","A4383C0",11129,11499,11862,12170,12295,12446,12606,12749,12965,13127,13353,13581,13762,14000
"91","84","        Education","B4384C0",5648,5918,6112,6252,6310,6381,6484,6601,6774,6892,7075,7234,7372,7572
"92","85","        Other \2\","B4385C0",5481,5581,5750,5918,5985,6065,6122,6148,6191,6235,6278,6347,6390,6428
"93","86","      Government enterprises \2\","B4386C0",794,807,829,857,867,832,846,882,904,904,909,915,920,930
"94","87","Rest of the world \6\","A4387C0",-66,-75,-83,-82,-82,-78,-365,-411,-409,-377,-404,-401,-441,-388
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Equals the number of full-time equivalent employees plus the number of self-employed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","persons.  Unpaid family workers are not included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Beginning with 1990, reflects the reclassification of employees of Indian tribal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","governments from the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","3. Reflects the reclassification of air couriers from trucking and warehousing to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","4. Consists of museums, botanical and zoological gardens; engineering and management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","services; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","5. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","6. Beginning with 1993, includes estimates of foreign professional workers and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","undocumented Mexican migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
