"","Table 5#4#5BU# Private Fixed Investment in Structures by Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"33","25","    Educational and vocational","W044RC0",8666,9570,10315,10749,11332,11426,10398,10730,10132,11012,11010,11405,12136,12849,13699,13480,13351,13674,14478,15529,15168,15011,14019,14299,14233,14955,15259,14464,13933,13585,13748,14458,14332,14332,14408,13754,14493,14644,14368,15967,16330,17314,19029,18629,19351,18857,17812
"34","26","    Lodging","W045RC0",15409,16287,16154,16014,15119,17716,20072,20463,20527,19964,19263,19247,20192,21161,20278,19097,18032,18468,18820,16570,13757,14048,12219,11803,11930,13739,11817,11682,12428,14564,16003,16334,15552,14845,15489,16829,17671,21530,23266,24797,27272,32884,36512,39512,40352,46487,48267
"35","27","    Amusement and recreation","W046RC0",10066,10290,10449,10175,8980,10264,10644,11341,11861,11807,11080,11094,11386,10926,10464,9311,9002,9571,9436,9567,9283,9167,8872,8574,8451,9456,9509,9934,9410,10272,10396,10397,9667,8600,8527,9247,9804,11170,11844,11949,10975,11949,13185,13582,13959,13477,13514
"36","28","    Transportation","W047RC0",5868,5995,6177,6368,7009,7225,7333,7001,6641,6342,6152,6197,6323,6536,6734,6914,7015,7047,6769,6673,6385,6597,6539,6467,6259,5949,6088,6230,6350,6716,6759,6913,6739,6820,6956,7347,7881,8589,8737,8736,8990,9241,9209,9491,9686,9974,9902
"37","29","      Air","W048RC0",1045,998,1014,972,1173,1159,1224,1076,1176,1288,1361,1526,1579,1780,2066,2329,2393,2363,1998,1797,1379,1511,1426,1377,1346,971,1007,1025,931,1108,997,1057,932,928,844,873,877,1115,884,623,757,913,813,1060,948,915,1002
"38","30","      Land\3\","W049RC0",4822,4996,5163,5396,5837,6067,6109,5925,5465,5054,4790,4672,4744,4756,4668,4585,4622,4684,4771,4875,5005,5086,5113,5089,4913,4979,5081,5205,5419,5609,5761,5857,5806,5892,6112,6474,7004,7474,7853,8113,8233,8328,8396,8432,8739,9059,8900
"39","31","    Farm","C316RC0",3625,3689,3970,3975,4070,4535,4267,4264,4550,5573,4899,5214,5554,5539,6294,6565,5373,5207,5144,4817,5394,5384,5714,5952,5006,5054,5131,5221,5886,5672,5448,4934,5182,5636,6050,6548,6276,5795,5479,5719,6781,7508,7103,7692,7417,7471,7319
"40","32","    Other\4\","W050RC0",3727,3768,3889,3817,4130,4402,3651,3317,3255,3702,3531,3885,3872,4104,5083,5511,4803,3764,3249,2646,2340,2270,2791,3008,2280,2194,2421,2863,3182,3467,3272,2773,3827,3536,3463,3764,3775,3836,3907,3805,3728,4232,3836,4284,5794,4842,4468
"41","33","    Brokers' commissions on sale of structures","C321RC0",1991,1959,2065,2053,2135,2210,2214,2288,2303,2243,2222,2232,2334,2413,2457,2461,2420,2449,2365,2285,2230,2099,1968,1964,2002,2083,2097,2104,2092,2111,2194,2235,2278,2285,2321,2418,2557,2659,2767,2823,2973,3153,3326,3492,3566,3728,3770
"42","34","    Net purchases of used structures","E322RC0",-908,-919,-961,2216,-1152,-1226,-1284,-1306,-1321,-1341,-1356,-1371,-1372,-1373,-1369,-1368,-1506,-1612,11215,-1703,-1646,-1774,-1984,-2224,-2191,-2090,-1960,-1830,-1643,-1480,-1322,-1130,-1065,-784,-802,-1487,-1871,-2160,-2373,-2341,-2482,-2631,-2787,-2953,-2953,-2953,-2953
"43","35","Residential","A012RC0",334526,340503,345055,351246,359529,372085,386154,399267,406726,414670,420613,429294,441179,441461,435720,439813,448204,460230,470223,468862,479568,493343,497830,514496,531764,545484,577374,603494,623958,662685,683530,697994,720934,750302,778115,793235,798525,770039,726667,694563,667413,644829,608556,561814,518727,495563,468397
"44","36","  Permanent site","A943RC0",193921,197078,197840,203409,210079,217609,229099,239145,245673,247783,251630,259998,269321,267974,260250,262643,270495,278349,285504,283216,286553,297151,300967,310694,325958,330496,349782,376527,390006,413376,429651,436971,454488,470622,490030,508092,517351,487756,450922,419163,390899,372750,345766,304169,263432,242509,220830
"45","37","    Single-family structures","A944RC0",172004,174162,175454,179096,185143,193739,204772,213982,218553,220705,223765,232325,240602,238898,233310,234341,240967,248548,255071,251759,254327,263989,267857,277383,291001,296042,314237,341020,353246,374403,388126,394452,410467,424221,441322,458031,465460,435151,398771,364606,338086,323687,299196,259771,219712,197085,176111
"46","38","    Multifamily structures","C292RC0",21918,22917,22385,24312,24936,23870,24327,25163,27120,27078,27865,27673,28719,29076,26940,28301,29528,29801,30433,31458,32226,33162,33109,33311,34957,34454,35546,35507,36759,38973,41526,42518,44022,46401,48708,50061,51891,52605,52151,54557,52813,49063,46571,44398,43721,45423,44719
"47","39","  Other structures","A863RC0",140605,143425,147215,147837,149450,154476,157055,160122,161053,166887,168983,169296,171858,173487,175470,177170,177709,181881,184719,185646,193015,196192,196863,203802,205806,214988,227592,226967,233952,249309,253879,261023,266446,279680,288085,285143,281174,282283,275745,275400,276514,272079,262790,257645,255295,253054,247567
"48","40","    Manufactured homes","A945RC0",13164,13850,14203,14238,14443,15025,15592,16100,15863,15160,14386,14119,13514,11977,10934,9416,8713,9027,9608,9910,9207,8476,8419,7981,7307,6851,7153,7033,7214,6959,7490,8355,8858,8364,8865,10134,8560,7814,7085,6334,6308,6160,6219,5897,5806,5425,5110
"49","41","    Dormitories","C295RC0",708,769,821,862,836,930,943,1116,1138,1174,1237,1554,1598,1304,1154,1375,1596,1451,1551,1631,1580,1511,1360,1669,1718,1747,1837,1750,1711,1879,1711,1384,1431,1342,1550,1834,2000,2069,2101,2100,2459,2724,2956,3693,3527,3572,3619
"50","42","    Improvements","A946RC0",89939,90719,91329,91817,91748,92481,93561,95006,97193,99058,100948,102818,104734,106420,107974,109418,110593,112000,113681,115658,117960,120402,122980,125690,128535,131539,134695,137997,141628,145182,148649,152042,155949,159454,162503,165067,166816,168739,170473,172019,173379,174517,175434,176123,176827,177535,175221
"51","43","    Brokers' commissions on sale of structures","A758RC0",38850,40335,43317,43585,45288,49063,50120,51130,50465,55061,55776,53982,54205,55485,56731,57778,58191,60914,61640,60914,67049,68922,67445,71750,71722,78393,87404,83540,86241,97893,98496,101677,101571,111761,116545,109544,105239,105328,98031,97288,97107,91686,81423,75382,72584,69971,67065
"52","44","    Net purchases of used structures","A759RC0",-2056,-2250,-2455,-2665,-2866,-3022,-3161,-3230,-3604,-3566,-3365,-3178,-2193,-1698,-1322,-817,-1384,-1510,-1761,-2467,-2781,-3119,-3340,-3287,-3476,-3543,-3497,-3353,-2842,-2604,-2467,-2434,-1364,-1241,-1378,-1435,-1442,-1667,-1945,-2342,-2739,-3007,-3243,-3449,-3449,-3449,-3449
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RC0",539734,544537,558261,566011,580278,602589,615759,632150,637175,644283,648977,664577,683407,697050,700305,707796,714348,725686,732557,715012,706959,708066,705832,718001,733642,749828,773501,802635,824098,860311,890042,909685,946405,972095,998722,1036632,1071466,1071836,1054571,1033077,1022165,1025419,1022764,998053,971712,978096,974173
"55","46","    Nonresidential structures","A771RC0",242002,242119,254068,255685,263171,276545,276564,280783,277309,281108,280776,286087,294240,309376,319993,324944,322951,324860,322213,304597,291660,280526,272106,271967,270124,279194,280034,279327,283540,292915,302541,310934,325679,332313,335774,351506,376739,405459,423990,433460,449120,469269,492389,508172,522120,549055,569392
"56","47","    Residential structures","A756RC0",297732,302418,304193,310326,317107,326044,339195,351367,359866,363175,368201,378490,389167,387674,380312,382852,391397,400826,410344,410415,415299,427540,433726,446034,463518,470634,493467,523308,540558,567396,587501,598751,620726,639782,662948,685126,694727,666377,630581,599617,573045,556150,530375,489881,449592,429041,404781
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
