"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"17","10","Less: Intermediate goods and services consumed","A2003C1",4,3.4,2.4,1.9,2.1,2.4,2.7,3.1,3.5,3.1,3.5,4,4.6,6,7.2,7.7,8.4,9.7,11.5,12.5,11.5,12.5,14.8,15,13.5,14,14.3,14.5,14.9,16.7,17.7,17.5,18.4,19.7,20.7,20.3,21.6,23.8,24.6,25,26.7,28.1,30.1,33.7,44.5,47.7,48.8,53.1,56,66.9,80.4,86.4,87.7,86.6,85.1,90.7,84.3,79.8,85.5,92.4,98.4,103.5,105.3,103.9,111.6,115.9,123.5,125.2,133.9,130,129.8,132.1,137.8,131.5
"18","11","      Other than rent","W249RC1",3.3,2.9,2.1,1.7,1.8,2.1,2.3,2.7,3,2.8,3.1,3.6,4,5.1,6.2,6.7,7.4,8.3,10,11.1,10.3,11.2,13.3,13.4,12.2,12.6,13.1,13.2,13.7,15.3,16.4,16.1,16.8,18,18.8,18.4,19.5,21.6,22.5,22.8,24.4,25.8,27.7,30.3,39.1,42.7,43.8,48.6,51.5,61.5,73.5,78.9,79.7,78.6,77.9,80.6,74.5,72.3,76.9,83.4,87.7,92.2,94.3,91.6,100.1,102.8,111.1,111,119.8,116.9,119,120.5,125.6,120.6
"19","12","        Intermediate goods and services purchased, other than rent","B1012C1",3.3,2.9,2.1,1.7,1.8,2.1,2.3,2.7,3,2.8,3.1,3.6,4,5.1,6.2,6.7,7.4,8.3,10,11.1,10.3,11.2,13.3,13.4,12.2,12.6,13.1,13.2,13.7,15.3,16.4,16.1,16.8,18,18.8,18.4,19.5,21.6,22.5,22.8,24.4,25.8,27.7,30.3,39.1,42.7,43.8,48.6,51.5,61.5,73.5,78.9,79.7,78.6,77.9,80.6,74.5,72.3,76.9,83.4,87.7,92.2,94.2,92.9,99.9,104.1,109.2,111.9,120.2,117.4,117.9,121.1,125,120.4
"20","13","        Less: Change in farm materials and supplies inventories","W250RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,1.3,-0.3,1.3,-1.9,0.9,0.4,0.5,-1.1,0.6,-0.6,-0.2
"21","14","      Rent paid to nonoperator landlords","B1013C1",0.7,0.5,0.3,0.2,0.3,0.3,0.4,0.5,0.4,0.3,0.4,0.5,0.7,0.9,1,1,1,1.4,1.5,1.4,1.2,1.3,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.3,1.3,1.4,1.6,1.7,1.9,1.9,2.2,2.2,2.1,2.2,2.3,2.3,2.4,3.4,5.4,5,5,4.5,4.4,5.3,6.8,7.6,8,8,7.2,10.2,9.8,7.5,8.6,8.9,10.6,11.3,11,12.3,11.5,13.1,12.4,14.3,14,13.1,10.8,11.6,12.2,10.9
"22","15","Equals: Gross farm value added","B359RC1",8.9,7,5.7,3.9,4.1,4.2,6.4,5.9,7.7,6,5.7,5.9,8.3,12.4,14.6,14.6,15.1,17.8,19.1,22.1,17.6,18.7,21.7,20.8,18.7,18.2,17.3,17.1,16.9,19.1,17.3,18.2,18.3,18.4,18.5,17.3,19.9,20.8,20.1,20.5,22.8,23.7,25.4,29.7,46.8,44.2,45.6,43,43.5,50.7,60.1,51.4,65,60.4,44.9,64.2,63.4,59.4,61.6,61.3,73.6,76.6,69.9,78.7,70.6,81.6,68.5,90.7,88.1,78.9,68.8,71.5,75.5,70.7
"23","16","Less: Consumption of fixed capital","B366RC1",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1.3,1.6,1.8,2.1,2.4,2.6,2.6,2.7,2.8,2.9,3,3.2,3.2,3.3,3.3,3.4,3.5,3.6,3.8,4.1,4.4,4.6,5,5.3,5.6,6.1,6.6,7.8,9.3,10.3,11.5,12.9,14.7,16.8,18.4,19.4,19.2,19.1,18.6,18.2,17.8,17.7,18.2,18.6,18.9,18.9,18.9,19.2,19.6,19.9,20.3,20.9,21.2,21.3,21.7,22.1
"24","17","Equals: Net farm value added","A365RC1",8.4,6.4,5.1,3.4,3.6,3.7,6,5.4,7.1,5.4,5.1,5.3,7.7,11.6,13.8,13.7,14.3,16.8,17.8,20.5,15.8,16.7,19.3,18.2,16,15.5,14.5,14.1,13.9,15.9,14.1,14.9,15,15,15,13.7,16.1,16.7,15.7,15.9,17.8,18.4,19.7,23.5,40.1,36.4,36.4,32.7,32,37.8,45.4,34.6,46.5,41.1,25.7,45.1,44.8,41.2,43.8,43.6,55.4,58,50.9,59.8,51.7,62.4,48.9,70.8,67.8,58,47.6,50.2,53.8,48.7
"25","18","          Compensation of employees","A2006C1",1.3,1.2,0.9,0.7,0.6,0.7,0.8,0.9,1,1,1,1,1.3,1.6,2,2.2,2.3,2.5,2.8,3,2.8,2.8,2.9,2.9,2.7,2.6,2.6,2.6,2.7,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.6,3.6,3.8,4,4.2,4.2,4.3,5.1,6,6.5,7.3,7.8,8.2,8.9,9.2,9,10,9.7,9.7,9.9,9.3,9.5,10.8,11.4,13.4,13.2,13,14.2,14.4,15.4,16,17.1,18.2,18.9,19.7,20.9,20.5
"26","19","            Wage and salary accruals","B1019C1",1.3,1.2,0.9,0.7,0.6,0.7,0.8,0.9,1,1,1,1,1.2,1.6,2,2.2,2.3,2.5,2.8,3,2.8,2.8,2.9,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.8,3,3.1,3.2,3.2,3.3,3.4,3.4,3.4,3.5,3.8,3.9,3.9,4,4.7,5.5,5.8,6.5,6.9,7.2,7.9,8.2,8,9.1,8.8,8.8,8.9,8.3,8.4,9.5,10,11.7,11.3,11.1,11.9,12.2,13.1,13.8,14.9,15.9,16.2,17,17.9,17.7
"27","20","            Supplements to wages and salaries","B1020C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.9,0.9,1,1,0.9,0.9,0.9,1,1,0.9,1.1,1.3,1.4,1.8,1.9,1.9,2.3,2.2,2.3,2.3,2.2,2.3,2.7,2.7,3,2.9
"28","21","          Taxes on production and imports","B1017C1",0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.9,2,2.1,2.2,2.5,2.6,2.6,2.8,2.8,3.1,2.9,3.1,3,3.1,3,3.3,3.3,3.5,3.8,3.8,4.1,3.8,4,4.2,4.2,4.4,4.3,4.9,4.7,4.8,5.1
"29","22","          Less: Subsidies to operators","B1018C1",0,0,0,0,0.1,0.4,0.5,0.2,0.3,0.4,0.7,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.5,0.9,1,0.6,0.6,1.3,1.5,1.5,1.9,2.1,2.9,2.7,3,3.3,3.3,2.8,3.5,2.3,0.5,0.7,0.7,1.7,2.5,1,1,1.5,2.2,7.5,7,6.3,9.5,13.5,11.7,9.3,7.6,6.9,7.7,11.3,6.6,6.1,6.2,6.4,10.5,18.6,19.6,18.3,9.5
"30","23","          Net operating surplus","W251RC1",6.6,4.7,3.8,2.4,2.8,3.1,5.4,4.4,6.1,4.5,4.5,4.6,6.6,10.2,12,11.8,12.2,14.5,14.8,17.2,12.4,13.4,15.9,14.8,12.7,12.3,11.2,11.1,11.1,13.1,10.8,11.3,11.9,12.1,11.8,10.9,13.4,14.5,13.3,13.5,15.4,15.7,16.4,20.8,35.4,28.8,28.4,23.6,23.3,29.6,34.7,23.5,36,30.3,20.5,39.4,38.1,38.4,44.5,41.2,49.8,48.5,40.7,50.5,45,50.6,35.4,56.7,52.6,46,42.4,45.4,46.4,32.5
"31","24","            Net interest","B1021C1",0.8,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.3,1.4,1.6,1.8,1.9,2.1,2.3,2.5,2.7,3.2,4,4.5,5.3,6.2,7.4,9.6,12.1,14.9,16.5,17.1,16.5,14.6,12.8,11.7,10.7,10.3,9.9,9,8.1,7.7,8.1,8.7,8.9,9,9.1,9.4,10.2,9.6,9.2
"32","25","            Current transfer payments","W252RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","26","            Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1",5.8,4,3.1,1.8,2.3,2.6,5,4,5.7,4.1,4.1,4.1,6.1,9.8,11.7,11.6,11.9,14.3,14.5,16.9,12.1,13,15.4,14.3,12.2,11.7,10.7,10.5,10.4,12.3,10,10.5,11,11.1,10.8,9.6,12,12.9,11.5,11.6,13.3,13.3,14,18.1,32.2,24.8,23.8,18.3,17.1,22.1,25,11.4,21.1,13.7,3.4,22.9,23.5,25.6,32.8,30.5,39.5,38.5,31.7,42.3,37.2,42.5,26.7,47.8,43.6,36.9,32.9,35.2,36.8,23.2
"34","27","              Proprietors' income","B042RC1",5.8,4,3.1,1.8,2.3,2.7,5,4,5.7,4.1,4.1,4.1,6.1,9.7,11.6,11.5,11.8,14.2,14.4,16.7,12,12.9,15.3,14.3,12.1,11.7,10.6,10.5,10.4,12.3,10,10.5,11,11,10.8,9.6,11.8,12.8,11.5,11.5,12.6,12.7,13.2,16.8,28.9,23.2,21.7,17,15.7,19.6,21.8,11.3,18.7,13.1,6,20.6,20.8,22.6,28.7,26.8,33,31.9,26.7,34.5,31.2,33.9,22.7,37.3,34.2,29.4,28.6,22.7,25,14.3
"35","28","              Corporate profits","B1023C1",0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0.7,0.6,0.7,1.3,3.3,1.6,2.1,1.3,1.4,2.5,3.3,0.1,2.4,0.7,-2.6,2.3,2.7,3,4.1,3.7,6.5,6.7,4.9,7.8,6,8.5,4,10.5,9.4,7.5,4.3,12.5,11.8,9
"36",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","  Change in farm inventories \1\","B018RC1",-0.1,-0.3,0.5,0.1,-0.1,-0.8,0.7,-0.9,0.9,0.4,-0.1,0.5,0.4,1.3,-0.2,-0.3,-0.9,-0.2,-1.8,2.7,-0.6,-0.1,1,1.4,0.7,0.2,-0.6,-1,0.1,2,-1.6,0.6,0.9,0.6,0.5,-1.2,0.8,-0.5,0.9,1.4,0,-0.8,1.7,0.3,1.5,-2.8,3.4,-0.8,4.5,1.4,3.6,-6.1,8.8,5.8,-15.4,5.7,5.8,-1.5,-6.4,-11.9,0,2.4,-1.3,6.2,-6.2,12.1,-11.1,8.6,3.2,1.4,-2.7,-1.3,0.1,-3.4
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
