"","Table 6#4D# Full-Time and Part-Time Employees by Industry","F2","F3","F4","F5","F6","F7","F8"
"35","28","        Textile mills and textile product mills","N4228C0",638,609,600,537,489
"36","29","        Apparel and leather and allied products","N4229C0",722,635,584,502,419
"37","30","        Paper products","N4230C0",621,611,608,578,544
"38","31","        Printing and related support activities","N4231C0",835,828,830,785,726
"39","32","        Petroleum and coal products","N4232C0",131,124,122,119,117
"40","33","        Chemical products","N4233C0",986,978,986,959,930
"41","34","        Plastics and rubber products","N4234C0",943,939,959,897,849
"42","35","    Wholesale trade","N4235C0",5867,5955,5872,5831,5718
"43","36","      Durable goods","N4236C0",3496,3553,3514,3469,3354
"44","37","      Nondurable goods","N4237C0",2371,2402,2358,2361,2364
"45","38","    Retail trade","N4238C0",14761,15174,15602,15689,15527
"46","39","      Motor vehicle and parts dealers","N4239C0",1786,1856,1917,1920,1938
"47","40","      Food and beverage stores","N4240C0",2970,3005,3023,3031,2960
"48","41","      General merchandise stores","N4241C0",2700,2765,2866,2920,2911
"49","42","      Other retail \2\","N4242C0",7305,7548,7796,7818,7717
"50","43","    Transportation and warehousing","N4243C0",4192,4321,4470,4416,4265
"51","44","      Air transportation","N4244C0",554,581,611,616,562
"52","45","      Rail transportation","N4245C0",219,219,208,200,191
"53","46","      Water transportation","N4246C0",52,54,55,54,54
"54","47","      Truck transportation","N4247C0",1364,1404,1444,1415,1370
"55","48","      Transit and ground passenger transportation","N4248C0",378,391,390,402,405
"56","49","      Pipeline transportation","N4249C0",48,46,45,45,43
"57","50","      Other transportation and support activities \3\","N4250C0",1106,1137,1198,1173,1128
"58","51","      Warehousing and storage","N4251C0",472,490,518,512,512
"59","52","    Information","N4252C0",3199,3375,3640,3615,3386
"60","53","      Publishing industries (includes software)","N4253C0",999,1028,1083,1063,998
"61","54","      Motion picture and sound recording industries","N4254C0",381,391,393,375,393
"62","55","      Broadcasting and telecommunications","N4255C0",1414,1488,1609,1640,1507
"63","56","      Information and data processing services","N4256C0",405,467,555,537,488
"64","57","    Finance and insurance","N4257C0",5652,5781,5858,5851,5873
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4258C0",2526,2579,2568,2622,2700
"66","59","      Securities, commodity contracts, and investments","N4259C0",801,851,924,865,819
"67","60","      Insurance carriers and related activities","N4260C0",2253,2271,2279,2277,2269
"68","61","      Funds, trusts, and other financial vehicles","N4261C0",72,80,87,87,86
"69","62","    Real estate and rental and leasing","N4262C0",1982,2041,2103,2121,2115
"70","63","      Real estate","N4263C0",1333,1367,1400,1419,1439
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4264C0",649,673,703,702,676
"72","65","    Professional, scientific, and technical services","N4265C0",6722,7089,7515,7321,7118
"73","66","      Legal services","N4266C0",1291,1338,1359,1252,1283
"74","67","      Computer systems design and related services","N4267C0",964,1116,1316,1287,1145
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4268C0",4466,4636,4839,4783,4690
"76","69","    Management of companies and enterprises \6\","N4269C0",1714,1748,1800,1711,1690
"77","70","    Administrative and waste management services","N4270C0",8084,8559,8082,7789,7648
"78","71","      Administrative and support services","N4271C0",7785,8250,7768,7473,7330
"79","72","      Waste management and remediation services","N4272C0",298,310,314,317,319
"80","73","    Educational services","N4273C0",2326,2405,2500,2591,2667
"81","74","    Health care and social assistance","N4274C0",12422,12713,13112,13609,14062
"82","75","      Ambulatory health care services","N4275C0",4285,4352,4507,4604,4774
"83","76","      Hospitals","N4290C0",3848,3899,3943,4028,4143
"84","77","      Nursing and residential care facilities","N4291C0",2484,2527,2608,2683,2744
"85","78","      Social assistance","N4292C0",1804,1935,2054,2294,2401
"86","79","    Arts, entertainment, and recreation","N4293C0",1647,1702,1804,1893,1912
"87","80","      Performing arts, spectator sports, museums, and related activities","N4294C0",452,464,487,494,496
"88","81","      Amusements, gambling, and recreation industries","N4295C0",1195,1237,1318,1399,1416
"89","82","    Accommodation and food services","N4296C0",9532,9778,10116,10251,10353
"90","83","      Accommodation","N4297C0",1745,1806,1877,1853,1798
"91","84","      Food services and drinking places","N4298C0",7787,7972,8239,8398,8555
"92","85","    Other services, except government","N4299C0",6394,6484,6502,6572,6744
"93","86","  Government","A4276C0",22324,22613,23095,23296,23646
"94","87","    Federal","A4277C0",5193,5138,5236,5077,5111
"95","88","      General government","A4278C0",4199,4146,4260,4114,4181
"96","89","        Civilian","B4279C0",1877,1855,1976,1825,1859
"97","90","        Military \7\","B4280C0",2322,2291,2284,2289,2322
"98","91","      Government enterprises","B4281C0",994,992,976,963,930
"99","92","    State and local","A4282C0",17131,17475,17859,18219,18535
"100","93","      General government","A4283C0",16191,16530,16904,17241,17520
"101","94","        Education","B4284C0",8932,9152,9389,9617,9830
"102","95","        Other \8\","B4285C0",7259,7378,7515,7624,7690
"103","96","      Government enterprises \8\","B4286C0",940,945,955,978,1015
"104","97","Rest of the world \9\","A4287C0",-468,-514,-453,-495,-518
"105",NA,NA,NA,NA,NA,NA,NA,NA
"106","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA
"107","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA
"108","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA
"109","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA
"110","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA
"112","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA
"113","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA
"114","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA
"115","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA
"116","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA
"117","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA
"119","regional managing offices.",NA,NA,NA,NA,NA,NA,NA
"120","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA
"121","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA
"122","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA
"123","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA
"124","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA
"125","System (NAICS).",NA,NA,NA,NA,NA,NA,NA
