"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158"
"27","19","    Textile mills","S3130",7005,6962,6974,6992,6978,6990,6977,7056,6970,6966,6944,6940,6921,6997,7007,7036,7087,7038,7052,7031,7041,7012,6949,6931,6875,6900,6904,6829,6846,6832,6830,6817,6830,6782,6786,6829,6805,6767,6766,6826,6823,6781,6828,6800,6746,6799,6850,6746,6878,6703,6542,6442,6291,6193,6141,5987,5981,5934,5897,5714,5768,5657,5656,5524,5493,5519,5538,5579,5538,5547,5517,5568,5554,5606,5656,5739,5731,5724,5688,5639,5693,5700,5777,5701,5630,5613,5607,5640,5670,5646,5573,5569,5557,5534,5530,5472,5509,5511,5553,5589,5627,5568,5593,5542,5601,5695,5679,5693,5763,5760,5720,5691,5668,5678,5724,5725,5715,5652,5620,5638,5541,5531,5475,5424,5396,5441,5387,5422,5451,5483,5516,5537,5527,5419,5424,5383,5404,5336,5375,5413,5437,5429,5392,5326,5206,5063,4991,4993,4937,4907,4869,4791,4754,4759,4685
"28","20","    Textile product mills","S3140",3771,3824,3861,3879,3935,3976,3978,3995,4025,3999,4046,4033,4041,4069,4099,4047,4046,3971,3924,3932,3871,3800,3755,3712,3644,3684,3780,3788,3799,3837,3820,3839,3837,3893,3890,3909,3908,3935,3983,4029,4090,4137,4208,4218,4277,4311,4390,4439,4476,4459,4498,4424,4378,4401,4344,4304,4335,4351,4326,4316,4264,4086,3991,3940,3881,3817,3800,3740,3658,3582,3479,3376,3448,3486,3480,3511,3499,3473,3439,3460,3439,3401,3470,3416,3411,3419,3430,3476,3482,3497,3504,3499,3544,3540,3529,3505,3559,3591,3632,3619,3629,3621,3599,3610,3586,3667,3665,3795,3805,3796,3794,3800,3754,3839,3894,3935,3916,3934,3921,3889,3859,3847,3823,3769,3788,3798,3785,3765,3787,3775,3798,3825,3804,3778,3787,3785,3752,3684,3774,3801,3802,3787,3725,3649,3449,3351,3310,3268,3234,3203,3180,3175,3168,3170,3157
"29","21","    Apparel manufacturing","S3150",8589,8594,8642,8646,8762,8877,8916,9020,8973,9020,8901,8971,9018,8994,9093,9054,9021,8949,8897,8866,8852,8875,8858,8752,8694,8724,8891,8900,8954,8995,8979,9029,9107,9134,9067,9084,9137,9128,8980,8908,8830,8770,8876,8802,8793,8826,8964,8918,8979,8868,8659,8450,8279,8187,7974,7684,7504,7445,7372,7108,7022,6963,6964,6894,6908,6910,6917,6894,6961,7031,7032,6965,6962,6990,7111,7191,7227,7057,7055,7037,6920,6926,6949,6964,6953,6881,6800,6810,6798,6850,6866,6935,6929,6919,6945,6896,6861,6979,6971,7014,6998,6821,6910,6932,6982,6961,6924,6835,6919,6932,6829,6867,6849,6805,6949,7043,6981,6809,6962,6993,7057,7032,7032,7029,7138,7257,7368,7309,7263,7269,7184,7279,7273,7235,7247,7267,7254,7256,7287,7330,7286,7348,7456,7438,7296,7173,7167,7071,7033,6966,6910,6816,6725,6590,6529
"30","22","    Leather and allied product manufacturing","S3160",1597,1600,1588,1632,1676,1646,1649,1625,1638,1663,1664,1656,1621,1620,1624,1655,1683,1682,1691,1691,1681,1687,1677,1584,1591,1583,1588,1585,1577,1615,1594,1622,1628,1652,1661,1614,1629,1658,1644,1641,1627,1644,1652,1653,1668,1675,1674,1596,1631,1648,1652,1756,1687,1620,1616,1592,1565,1527,1512,1449,1457,1432,1423,1371,1355,1361,1414,1414,1390,1394,1439,1419,1433,1498,1452,1458,1425,1424,1429,1400,1412,1426,1428,1429,1413,1407,1402,1412,1405,1386,1378,1367,1369,1391,1406,1459,1401,1421,1444,1444,1424,1424,1450,1430,1477,1498,1492,1509,1505,1490,1455,1486,1497,1510,1530,1573,1592,1570,1611,1641,1643,1632,1636,1639,1648,1629,1640,1628,1624,1614,1661,1663,1641,1616,1614,1600,1624,1649,1619,1643,1637,1655,1645,1667,1686,1671,1670,1636,1629,1613,1623,1621,1582,1552,1520
"31","23","    Paper manufacturing","S3220",15088,15132,15517,15556,15822,15690,15719,15863,16060,16117,16249,16531,16622,16601,16608,16553,16470,16501,16528,16592,16469,16386,16319,15938,15915,15637,15696,15520,15465,15418,15254,15433,15710,15769,15786,15918,16142,16295,16302,16510,16785,16844,17008,17128,16989,17167,17108,17036,17150,17065,16965,16913,16747,16708,16379,16095,15988,15777,15675,15589,15558,15522,15509,15471,15370,15583,15525,15679,15976,16211,16386,16470,16516,16502,16217,16422,16479,16510,16310,16385,16392,16395,16429,16306,16256,16304,16303,16505,16798,16905,17225,17379,17450,17704,17856,17786,17968,17987,17972,18029,18033,18056,18131,18150,18289,18401,18391,18574,18673,18924,19036,19118,19208,19221,19333,19361,19446,19460,19639,19459,19688,19657,19516,19357,19199,19122,19145,19182,19197,19294,19382,19719,19564,18990,19265,19380,19514,19735,19854,20238,20378,20709,20760,20023,19683,19451,18879,18327,17781,17634,17410,17425,17531,17371,17450
"32","24","    Printing and related support activities","S3230",6279,6205,6281,6529,6734,6667,6384,6670,6632,6675,6731,6912,6677,6704,6710,6642,6713,6615,6817,6693,6781,6575,6409,6446,6479,6425,6386,6458,6374,6306,6145,6132,6216,6211,6411,6551,6587,6719,6726,6486,6484,6563,6520,6662,6756,6928,6957,6857,6903,6901,7055,7097,7023,6907,6850,6804,6542,6425,6234,6122,6314,6177,6082,6207,6126,6248,6267,6193,6142,6246,6313,6251,6306,6245,6217,6178,6189,6097,6137,6154,6144,6110,6140,6167,6102,6226,6185,6212,6378,6335,6352,6485,6466,6548,6548,6524,6367,6443,6531,6531,6582,6646,6752,6684,6828,6767,6822,6866,6910,6881,6915,6961,6936,7048,7115,7089,7160,7219,7181,7159,7148,7250,7200,7140,7000,6989,6902,6862,6982,7043,7061,7336,6987,7028,7297,7302,7429,7376,7285,7230,7279,7201,7357,7522,6972,6864,6610,6311,6153,5910,5720,5741,5741,5783,5821
"33","25","    Petroleum and coal product manufacturing","S3240",13579,12859,12196,11512,11550,11576,11386,11627,11649,11750,11837,11484,10693,10104,9871,9703,9494,9215,9124,8893,8765,8818,8889,8252,8086,7973,8803,9445,9727,10011,10629,11285,11790,12393,13398,14192,14692,15057,14942,14537,14772,15675,15607,15217,15670,16408,16635,15630,15992,15578,15096,14864,14832,14669,14000,13858,13429,12342,11719,11650,10819,10805,12152,13156,13346,13659,13980,14215,14893,14988,14944,15974,17502,18755,18057,16389,15104,15922,15521,15804,15704,16120,16792,17564,18836,19118,18796,18863,19681,19992,20819,21419,22503,24812,25512,22858,24134,25173,26306,25923,24157,25747,28238,29891,31570,32939,31366,32052,33773,33055,32869,35257,37100,37971,38084,37817,35016,32307,32959,33524,32929,34543,36245,37886,39442,41524,42846,44150,49962,55566,61227,63678,68555,70683,73834,73688,77584,82272,77628,70814,58868,45030,34583,24455,23085,22977,24690,25515,28294,30405,32150,34039,34352,39192,41621
"34","26","    Chemical manufacturing","S3250",44943,45059,44975,45077,45198,45562,45533,45672,46331,46889,47277,47394,47371,47431,47491,47520,47454,47581,47775,47934,47594,47746,48130,47710,48124,48087,47929,48319,49417,49344,49814,49884,50132,50591,51419,52081,52358,52754,52806,52879,53423,54000,55238,55307,55667,56034,56262,56219,57006,56380,56530,56609,56290,55784,55112,54372,54963,54933,53970,53427,53346,53492,53469,53678,53398,52934,54476,55053,55297,55856,56422,55639,55448,56836,57058,57249,57250,56989,56800,57291,56933,56976,57691,57437,57137,58254,58836,59844,60171,60523,61013,61928,61783,62051,62827,64403,64730,65721,66840,66994,66945,67471,67268,67245,68425,69256,68852,70965,72469,72378,72985,72429,72564,73777,74049,74560,75786,76136,76231,76658,76735,76872,77249,77257,78029,78830,79446,79614,80323,81327,83078,83108,84412,83128,83449,83941,84950,85622,87921,89528,88842,86997,85574,82566,81842,80919,81059,79592,79080,78825,77629,77832,78217,78356,78760
"35","27","    Plastics and rubber product manufacturing","S3260",16062,16084,16174,16226,16352,16469,16387,16380,16343,16395,16417,16400,16490,16496,16506,16412,16464,16519,16454,16363,16195,16084,16168,16052,16153,16079,16202,16362,16572,16636,16850,17083,17377,17551,17667,17666,17599,17822,17680,18080,18343,18379,18534,18493,18322,18390,18373,18297,18514,18480,18490,18361,17993,17738,17339,17204,17095,16918,16859,16627,16866,15761,15970,16107,16288,15862,16037,16199,16633,17010,17192,17509,17512,18041,18271,18622,18659,18531,18241,18068,17918,17941,17927,17877,17862,18024,18102,18320,18443,18716,19095,19439,19815,20299,20550,20664,21295,21411,21635,21526,21485,21302,21148,21232,21175,21767,22275,22353,22763,22815,22891,23094,23170,23320,23597,23745,23850,23997,23876,23239,23252,23138,23248,23335,23619,23918,24142,24294,24400,24411,24802,25168,25167,24931,25331,25508,25631,25925,26559,27198,26674,26254,25511,23975,23473,23015,22543,22079,21998,22088,21766,21716,21853,21750,21764
"36","28","Merchant wholesale industries","S42W0",244185,244551,246541,247173,248016,251990,250830,252096,254611,255810,257847,259338,259106,261670,263579,263299,264903,264077,263974,265637,266746,267665,268896,269436,269874,272019,273107,273670,274234,274335,277211,278366,280262,283165,286596,287571,289833,291446,293244,295280,296512,297924,298016,298825,299548,302518,304863,305173,304184,303596,302978,303527,304254,301353,298236,297419,296541,294814,292028,291053,291061,289351,290521,289905,290631,292241,295492,296646,297820,296611,295722,297150,297178,298341,298674,298180,296522,296015,296285,295785,297664,301523,302864,305393,306302,310943,313716,314271,317525,319418,324580,327546,327432,332293,335638,335900,341421,343832,346403,348600,347807,349024,350453,352198,354667,357719,358419,361950,363231,366427,368565,374188,378791,381677,384295,386591,387745,391487,397883,395516,396095,398810,401711,402710,404257,405448,406130,407684,414022,419175,426274,433553,440245,444939,445573,452215,454593,460193,466062,467683,461955,449522,437866,428595,426342,420495,413804,409149,407614,400515,394719,390517,388234,391561,398851
"37","29","  Durable goods merchant wholesale industries","S42WD0",153498,153914,155642,156210,157129,160508,158977,159377,161341,161188,161911,163670,164140,165882,167317,167423,168470,167651,167759,169829,170577,171319,170813,171856,172344,173692,174479,173866,175345,176184,177569,177287,178520,180188,182873,183575,184201,184999,185742,187365,188455,190154,190355,191097,190721,191531,192550,192178,191731,190594,189754,189064,188352,184742,182818,181094,180017,179715,176468,175210,174746,173431,173782,173794,174064,174544,175778,176469,176627,175560,175434,175315,174958,176377,176739,177100,176333,176132,175492,174849,175162,175735,175890,178396,179330,182317,184812,185457,188396,190681,194148,198098,198985,201322,203459,204349,207496,209115,209699,210423,210396,211717,212693,212952,212905,216013,216896,218424,219274,221548,222937,227523,230062,231449,232980,233794,235889,237549,238271,237497,238904,240074,241103,240020,241198,240740,238854,238900,239912,240428,242051,244146,247593,250365,252607,257450,259050,260596,264385,267424,267447,264314,261294,257705,255687,249222,243084,237682,233696,230243,227357,224471,222737,222155,221644
"38","30","    Motor vehicles, parts, and supplies wholesalers","S42110",21658,21110,21431,20958,21406,22295,22216,22429,22674,22276,22058,22229,22552,22856,23335,22401,22326,22312,22246,22797,22999,23320,22543,23055,22989,23154,23546,23652,24125,24255,24725,24998,25328,25376,25857,25882,26115,26224,26694,27151,27321,27511,27217,27241,26669,26669,26838,27175,26717,26710,26494,26579,26088,25814,25945,25878,25917,26347,25886,25598,25714,25538,25739,25514,26319,26640,26876,26557,27498,27769,28338,27781,27966,28180,28183,28392,28143,28720,28304,28278,27943,28564,27925,28862,28440,28648,29107,28744,28961,28911,29651,30696,30478,29922,30468,30456,31427,31254,30473,31171,31449,32549,32699,32723,32387,32813,32512,32819,32188,33333,34171,36093,35599,34805,34822,33933,34138,34981,34855,34051,34886,34164,34936,33666,34444,34776,34012,34226,34453,33761,34214,34536,35294,35680,34988,36125,35837,36159,36632,37169,37600,37279,37718,38462,37043,33806,32343,30998,30454,29970,29191,28474,28385,28892,28876
"39","31","    Furniture and home furnishings wholesalers","S42120",4836,4729,4641,4866,4933,4833,4775,4886,4939,4893,4974,4988,5026,5014,4967,5108,5176,5195,5226,5237,5250,5355,5288,5312,5302,5395,5431,5380,5424,5542,5578,5543,5564,5734,5573,5689,5682,5714,5774,5861,5936,6065,6177,6297,6115,6252,6371,6342,6437,6356,6394,6310,6258,6104,6069,5969,6047,6017,6016,5896,5882,5923,5822,5897,5930,5981,6096,6112,6147,6097,6089,6151,6092,6150,6221,6282,6326,6341,6249,6276,6254,6293,6358,6424,6584,6477,6512,6474,6476,6565,6648,6668,6691,6703,6791,6818,6835,6893,6941,7008,7030,6893,6943,7063,7090,7279,7268,7294,7326,7323,7216,7140,7413,7479,7505,7559,7623,7624,7632,7712,7736,7751,7841,7727,7737,7781,7805,7778,7768,7673,7743,7743,7874,7963,7837,7905,7681,7664,7769,7758,7696,7820,7825,7826,7579,7378,7221,7054,6911,6787,6656,6567,6556,6483,6399
"40","32","    Lumber and other construction materials wholesalers","S42130",5184,5387,5446,5559,5606,5662,5674,5720,5693,5656,5818,5822,5848,5825,5737,5786,5657,5621,5715,5870,5446,5489,5544,5545,5599,5608,5713,5797,5940,5995,6171,6029,6011,6090,6074,6202,6284,6313,6327,6316,6312,6374,6337,6195,6198,6240,6327,6463,6311,6319,6354,6277,6315,6148,6189,6301,6365,6554,6422,6428,6469,6408,6493,6536,6536,6526,6587,6665,6760,6819,6837,6894,7026,7230,7269,7350,7357,7488,7536,7692,7804,7996,8332,8560,8778,8977,9274,9723,10487,10279,10551,10858,11097,11153,10890,11199,11697,12183,12418,11912,12049,11933,12035,11994,11555,12095,12088,12344,12444,12398,12455,12639,12611,12759,12715,12738,12884,12648,12648,12466,12232,12188,12091,11859,11699,11574,11431,11447,11319,11446,11524,11635,11593,11418,11209,11364,11557,11747,12062,12118,12034,11879,11530,11257,11014,10791,10574,10192,9801,9524,9476,9297,9194,9196,9252
"41","33","    Professional and commercial equipment wholesalers","S42140",23813,24138,24172,24713,24847,25682,25828,25305,26158,26364,26145,26077,26256,26147,26591,26565,26428,25469,25252,25202,24816,24447,24670,24301,24168,24941,24840,23894,24434,24699,24496,24314,24392,24854,25316,25348,25727,25162,24665,24604,24551,24420,24387,24310,25050,25353,25288,24654,23963,23735,23106,23354,22806,22343,22146,21807,21148,20896,20289,20712,20372,19931,20341,20903,20658,20876,20885,21362,21052,20532,20736,20970,20917,20828,20915,20389,20504,20322,20555,20517,20561,20570,20757,20757,20749,21141,21193,20919,21190,21663,21557,21912,21852,22244,22603,22232,22323,22125,22056,22425,22125,22372,22260,22152,22085,22429,22306,22432,22798,23385,22880,23043,23440,23237,23561,23728,24116,24329,24491,24711,24737,24823,24935,25128,25174,25170,25168,25277,25408,25175,25474,25801,25636,25740,25878,25896,26184,25927,25679,26208,26465,26745,26766,26375,25875,25522,24762,24477,23975,23441,23099,22754,22897,22727,23087
"42","34","      Computers and software wholesalers","S42430",14392,14567,14543,14738,15004,15742,15795,15367,16123,16185,15726,15859,15676,15401,16078,15774,15753,15206,14712,14848,14413,14235,14388,14564,14412,15225,14574,13677,14525,14632,14485,14408,14198,14604,14773,14818,14850,14868,13840,13701,13397,13399,13405,13282,13887,14484,13797,13069,12665,12376,11994,12036,11722,11080,11126,10683,10304,10291,9948,9966,9652,9574,9788,10148,9947,9990,9842,10102,9895,9477,9385,9601,9666,9704,9710,9571,9811,9684,9821,9667,9522,9627,9621,9918,9846,9861,10037,10032,10013,10436,10273,10452,10172,10297,10662,10332,10259,10305,10350,10303,10092,10186,9893,9977,10128,10062,9921,9941,10091,10211,10095,9980,10120,9891,9983,9900,10228,10400,10341,10371,10346,10318,10194,10193,10228,10232,10235,10315,10452,10322,10160,10171,10040,9793,9959,9883,10179,9843,9896,10125,10105,10518,10403,10006,9684,9575,9287,9226,9023,8933,8868,8731,8936,9064,9268
"43","35","      Other professional and commercial equipment wholesalers","S424X0",9421,9571,9629,9975,9843,9940,10033,9938,10035,10179,10419,10218,10580,10746,10513,10791,10675,10263,10540,10354,10403,10212,10282,9737,9756,9716,10266,10217,9909,10067,10011,9906,10194,10250,10543,10530,10877,10294,10825,10903,11154,11021,10982,11028,11163,10869,11491,11585,11298,11359,11112,11318,11084,11263,11020,11124,10844,10605,10341,10746,10720,10357,10553,10755,10711,10886,11043,11260,11157,11055,11351,11369,11251,11124,11205,10818,10693,10638,10734,10850,11039,10943,11136,10839,10903,11280,11156,10887,11177,11227,11284,11460,11680,11947,11941,11900,12064,11820,11706,12122,12033,12186,12367,12175,11957,12367,12385,12491,12707,13174,12785,13063,13320,13346,13578,13828,13888,13929,14150,14340,14391,14505,14741,14935,14946,14938,14933,14962,14956,14853,15314,15630,15596,15947,15919,16013,16005,16084,15783,16083,16360,16227,16363,16369,16191,15947,15475,15251,14952,14508,14231,14023,13961,13663,13819
"44","36","    Metal and mineral (except petroleum) wholesalers","S42150",13257,13582,13676,13787,13795,13964,13965,13991,13979,13960,13990,14028,14092,14116,14184,14167,14245,14096,13944,14176,14095,14042,14088,13926,14032,13745,13489,13605,13827,13926,13857,13810,13952,14152,14357,14432,14761,15015,15244,15497,15306,15372,15405,15336,15195,14958,14797,14568,14530,14358,14122,13894,13850,13759,13660,13622,13333,13239,12945,12888,12810,12889,12919,12982,13117,13278,13515,13611,13861,13664,13647,13582,13306,13489,13522,13479,13222,13262,13192,13162,13277,13370,13692,14214,15043,16017,17135,17251,17782,18052,18911,20005,20200,21540,22190,22318,22695,22617,22851,22629,22189,21719,21554,21587,21735,22218,22469,22565,23209,23661,23945,25092,26251,27198,27834,28642,29214,29276,29241,29079,29050,29445,30037,29860,30140,29761,29312,28765,28347,28305,28396,29285,30261,31753,33498,35815,37089,38441,39057,39227,37481,35194,32960,30129,29967,29430,27377,25727,24562,23579,23421,23500,23622,23454,23548
"45","37","    Electrical goods wholesalers","S42160",21116,20989,21338,20955,20892,21218,21030,21099,21036,20859,20700,21033,20779,20995,21449,21770,21978,22060,21929,22141,22422,22318,22474,22763,22856,23223,23059,22840,23183,23348,23975,23976,24191,24460,24984,25539,25521,25774,25948,25958,26402,27093,27651,27862,27985,28636,28875,28818,29072,28762,28872,28945,28277,27694,26592,26048,25823,25523,24630,23988,23709,23535,23347,23211,23306,22986,23198,23755,23386,23398,22958,22647,22698,22554,22641,22866,22631,22649,22336,22213,22291,21890,21333,21782,21388,22002,22364,22678,23015,23110,23138,23231,23300,23376,23612,23760,24051,24406,24490,24371,24293,24696,25123,24995,24764,24504,24651,24889,24730,25241,25478,25973,26243,26224,26928,27123,27411,27943,27936,27869,27857,27641,27688,27540,28031,28151,28025,28091,28154,28391,28577,29010,29264,28992,29267,29443,29529,29823,29754,30401,31005,31489,30850,30114,29472,28805,27969,27350,26637,25930,25491,25396,25334,25330,25091
"46","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9281,9314,9125,9389,9422,9415,9313,9366,9498,9461,9498,9490,9610,9897,9801,9943,9959,10045,10007,10073,10044,10115,10207,10343,10444,10362,10410,10413,10455,10474,10605,10380,10468,10526,10689,10619,10569,10770,10755,11031,11112,11296,11362,11448,11370,11475,11515,11621,11537,11483,11438,11336,11189,11260,11207,11377,11325,11228,11125,11020,11076,10914,10956,10871,11009,10994,11085,11073,11113,10964,10936,11027,10985,11348,11482,11433,11260,11157,11177,10969,10959,11013,11076,11145,11171,11208,11321,11356,11624,11729,11892,12048,12202,12365,12404,12444,12704,12817,12866,12887,12920,12953,12814,12902,12919,13130,13128,13310,13687,13518,13564,13589,13600,13806,13902,14080,14129,14161,14436,14499,14495,14421,14732,15137,14937,14907,14995,14942,15044,15009,15026,15009,14909,14791,14693,14647,14692,14711,14975,15124,15077,15065,14988,14671,14732,14387,14414,14364,14115,14102,13947,13740,13593,13575,13493
"47","39","    Machinery, equipment, and supplies wholesalers","S42180",39245,39475,40109,40796,41526,42215,40907,40942,41567,42182,42655,43531,43587,44358,44747,45075,45940,46149,46808,47321,48045,48673,48647,49406,49671,49993,50327,50856,50478,50523,50794,50721,50778,50999,51612,51527,51109,51239,51522,51975,52304,52493,52085,52866,52990,52733,53184,52960,53346,53365,53524,53057,53895,53216,52681,52027,52121,52142,51337,51037,51221,50785,50682,50267,49823,49637,50100,49724,49310,48693,48461,48749,48363,48644,48576,48659,48589,47901,47785,47564,47556,47339,47678,47481,48117,48897,48626,48944,49536,50485,51067,51622,51793,52425,52869,53606,53810,54693,55508,56025,56158,56738,57056,57954,57988,58336,59130,59341,59280,59130,59541,60062,60740,61733,62001,62412,62954,63856,63867,63528,64915,65708,64637,64792,65295,65072,65012,65126,65771,66569,67033,67509,68300,69227,69981,70788,70753,70411,72581,73523,74956,74991,75252,76003,76988,75969,75703,74869,74382,73385,72132,71167,70207,69593,68736
"48","40","    Miscellaneous durable goods wholesalers","S42190",15108,15190,15704,15187,14702,15224,15269,15639,15797,15537,16073,16472,16390,16674,16506,16608,16761,16704,16632,17012,17460,17560,17352,17205,17283,17271,17664,17429,17479,17422,17368,17516,17836,17997,18411,18337,18433,18788,18813,18972,19211,19530,19734,19542,19149,19215,19355,19577,19818,19506,19450,19312,19674,18404,18329,18065,17938,17769,17818,17643,17493,17508,17483,17613,17366,17626,17436,17610,17500,17624,17432,17514,17605,17954,17930,18250,18301,18292,18358,18178,18517,18700,18739,19171,19060,18950,19280,19368,19325,19887,20733,21058,21372,21594,21632,21516,21954,22127,22096,21995,22183,21864,22209,21582,22382,23209,23344,23430,23612,23559,23687,23892,24165,24208,23712,23579,23420,22731,23165,23582,22996,23933,24206,24311,23741,23548,23094,23248,23648,24099,24064,23618,24462,24801,25256,25467,25728,25713,25876,25896,25133,23852,23405,22868,23017,23134,22721,22651,22859,23525,23944,23576,22949,22905,23162
"49","41","  Nondurable goods merchant wholesale industries","S42WN0",90687,90637,90899,90963,90887,91482,91853,92719,93270,94622,95936,95668,94966,95788,96262,95876,96433,96426,96215,95808,96169,96346,98083,97580,97530,98327,98628,99804,98889,98151,99642,101079,101742,102977,103723,103996,105632,106447,107502,107915,108057,107770,107661,107728,108827,110987,112313,112995,112453,113002,113224,114463,115902,116611,115418,116325,116524,115099,115560,115843,116315,115920,116739,116111,116567,117697,119714,120177,121193,121051,120288,121835,122220,121964,121935,121080,120189,119883,120793,120936,122502,125788,126974,126997,126972,128626,128904,128814,129129,128737,130432,129448,128447,130971,132179,131551,133925,134717,136704,138177,137411,137307,137760,139246,141762,141706,141523,143526,143957,144879,145628,146665,148729,150228,151315,152797,151856,153938,159612,158019,157191,158736,160608,162690,163059,164708,167276,168784,174110,178747,184223,189407,192652,194574,192966,194765,195543,199597,201677,200259,194508,185208,176572,170890,170655,171273,170720,171467,173918,170272,167362,166046,165497,169406,177207
"50","42","    Paper and paper products wholesalers","S42210",6801,6804,6748,6757,6858,6735,7039,7296,7285,7337,7452,7622,7472,7652,7752,7772,7612,7584,7551,7408,7327,7150,7210,7265,7135,7061,7221,7323,7228,7252,7382,7414,7510,7592,7709,7618,7761,7687,8006,8193,8209,8143,8188,8201,8215,8433,8467,8482,8276,8305,8205,8248,8204,7910,7725,7546,7491,7507,7440,7344,7201,7034,6943,6968,7043,7015,6913,6867,6911,6913,7007,7008,6836,6944,6893,7055,7106,7026,7006,6916,6805,6838,6825,6944,6848,6863,7033,7175,7260,7567,7818,7899,7901,7948,7855,8024,8007,8031,7907,8069,8162,8161,8015,8198,8135,8143,8375,8461,8368,8555,8600,8806,8925,8863,8934,8911,8967,8875,8768,8847,8799,8745,8585,8703,8661,8783,8992,8862,8876,9043,9087,9116,9174,9201,9261,9168,9032,9277,9573,9627,9754,9847,9784,9676,9614,9192,8881,8990,8756,8547,8712,8559,8434,8363,8396
"51","43","    Drugs and druggists' sundries wholesalers","S42220",12652,12447,12690,12469,12711,13025,13192,13691,13836,13540,14009,14120,14180,14660,15061,15215,15482,15153,15237,15358,15358,15603,16026,16238,16397,16575,16662,17319,17636,17996,18425,18766,18774,19565,19698,19933,20503,20795,21217,21459,21450,22194,22722,22820,23162,23561,23772,24643,24471,24278,25278,26104,27224,27932,27656,28773,30126,29968,30968,31794,32266,32218,32596,32521,32487,32998,32610,32427,32827,33491,33023,33816,33803,33855,34077,34494,34441,33806,34749,34783,34322,34731,35364,34879,34498,35321,35373,34506,34829,34886,35524,35287,35115,35516,36017,35702,36743,35848,35900,35912,35864,35550,34745,34041,35063,34663,34376,35207,34381,35270,35889,35886,35714,36868,36452,37765,37124,35494,36653,36942,36862,36889,36810,37690,38177,38169,38065,38350,38464,38188,38730,39032,39067,39201,39332,39347,39906,38981,41059,40826,39718,40649,40669,40502,40425,41366,40849,41152,41033,40351,40665,40329,40728,41431,41327
"52","44","    Apparel, piece goods, and notions wholesalers","S42230",11715,11800,11890,11939,12023,12238,12274,12264,12249,12825,12956,12986,13161,12945,13015,13126,13089,13184,13077,13246,13150,13213,13313,13219,12899,13608,13153,12942,12729,12370,12347,12278,12108,12134,12307,12519,12739,12576,12441,12558,12625,12264,12456,12338,12510,12458,12531,12566,12798,13259,13252,13354,13407,13401,12982,12857,12840,12954,12668,12509,12734,12545,12300,11917,11949,12221,12359,12568,12906,12494,12417,12644,12591,12405,12609,12659,12459,12628,12515,12240,11965,11597,11789,11745,11494,11543,11559,11411,11515,11158,11271,11536,11795,11956,12464,11820,12105,12084,12135,12361,12341,12365,12263,12336,12367,12594,12646,12453,12331,12666,12814,12871,12982,13052,13281,13378,13510,13520,13598,13873,13983,13845,13745,13388,13643,13824,13969,14145,13987,14064,14091,14121,14365,14426,14847,14528,14321,14439,14398,14239,14748,14805,14828,14988,14991,15038,14510,14175,13931,13658,13398,13103,12893,12446,12369
"53","45","    Grocery and related products wholesalers","S42240",16718,16667,16705,16487,16687,16784,16724,16677,16708,17310,17443,17481,17538,17681,17223,17741,17938,17599,17641,17601,17466,17379,17512,17380,17488,17705,17727,18069,17921,17341,17791,17862,18112,18438,18802,18613,18422,18459,18380,18486,18423,18147,18164,18126,18511,18855,19294,18730,18674,18636,18541,18499,18203,18266,17805,17988,17756,17193,17334,17535,17711,17719,17990,17868,18224,18819,18940,19039,18446,18789,18365,18512,19041,18980,18742,18432,18066,18026,18216,18277,18733,18371,18169,18616,18139,18199,18522,18783,18934,18834,18969,18842,18716,19632,19775,19166,19480,19596,19649,19848,19830,19453,19387,19769,20126,20445,20817,21206,21074,21037,20917,21054,20915,21539,22007,22568,22732,22574,23245,23374,23740,24490,25102,25170,25462,25515,25390,25001,25123,25321,25565,26059,26308,25870,26075,26479,26671,26885,27103,27594,27672,27834,27312,27333,26880,26569,25985,26076,25879,25581,25139,24500,24995,25013,25347
