"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"11","3","  Durable goods","DDURRX0",498482,503551,517766,526759,532479,549419,553309,564115,579399,577529,603280,618674,623858,655668,674597,714640,716407,750861,769145,778710,822514,807711,821678,827720,841751,841332,851518,923052,912481,922077,949075,936563,937463,974111,1013204,1019750,1031036,1038271,1058712,1076082,1083293,1113592,1126681,1098405,1142277,1139363,1152103,1167921,1183693,1189884,1204996,1221172,1193169,1175732,1139580,1076759,1087201,1071746,1122748,1120274
"12","4","    Motor vehicles and parts","DMOTRX0",251556,251355,257576,261959,264665,268791,268168,270409,282487,272853,290710,298486,289822,312171,316426,345792,329626,353105,354161,343691,372892,346111,352246,353263,363115,356996,361259,415944,386312,388460,412909,388463,388800,405349,417484,409494,409223,407482,412305,416266,408832,423677,427561,378518,393252,393247,400344,399688,402366,404060,400516,402557,384421,361444,337792,306200,311212,306190,335155,314749
"13","5","      New motor vehicles (55)","DNMVRX0",142398,143597,142802,149805,148802,147342,143998,148639,149974,144921,159301,166042,159000,178847,167471,184054,183406,192756,194690,198513,211243,200975,203959,195116,209803,208128,205751,266801,239812,228710,252688,237282,235692,254084,261343,253538,256899,250744,253626,253433,242184,263853,269294,220246,232131,232650,238375,235076,241749,238909,232034,236447,221084,201480,183200,156348,155811,153963,185735,168920
"14","6","        New autos","DNEARX0",77631,79056,78990,82803,79981,78718,75801,77730,78593,72872,80276,82332,79306,86487,81124,87056,86480,92652,93445,97345,102281,98609,95888,91782,95264,91304,87688,110490,95909,92937,98511,91051,92974,90883,92667,90084,93844,91515,90496,95287,94220,99280,102031,94260,99408,98818,100752,97355,98074,95103,90302,98441,96752,96319,80557,67605,64343,60842,86594,71875
"15","7","          New domestic autos","DNDCRX0",52122,53175,54805,58678,57406,55785,51248,52754,51672,47831,52548,52604,50810,57365,53241,57737,57585,60500,60940,61307,68287,65069,62800,58397,64172,58745,56583,76824,63886,62058,66865,60323,60476,60796,61611,59931,61490,58362,58922,60427,61436,65254,66466,59659,65133,61939,63439,58660,61930,59355,55422,62449,61429,58734,48430,42123,40252,37581,57808,46696
"16","8","          New foreign autos","DNFCRX0",25510,25881,24186,24125,22576,22934,24553,24976,26921,25041,27728,29728,28496,29122,27883,29319,28895,32152,32505,36038,33994,33540,33088,33385,31092,32559,31105,33666,32023,30879,31647,30728,32498,30087,31056,30153,32354,33153,31574,34860,32785,34026,35565,34601,34275,36879,37313,38695,36145,35748,34880,35992,35323,37585,32128,25482,24091,23262,28788,25181
"17","9","        New light trucks","DNWTRX0",64788,64535,63796,66990,68859,68676,68272,70997,71468,72158,79144,83841,79819,92507,86482,97138,97055,100251,101386,101346,109133,102546,108202,103459,114638,116888,118106,156340,143915,135787,154192,146244,142748,163165,168630,163406,163026,159199,163093,158146,148008,164600,167286,125893,132602,133715,137513,137687,143735,143928,141902,137880,123963,104416,102384,88603,91567,93398,98756,97050
"18","10","      Net purchases of used motor vehicles (56)","DNPVRX0",73298,71181,77689,74291,77302,82479,85049,81915,92242,87776,90045,90688,89031,90790,107889,119842,103286,116643,115058,100234,116256,100436,103261,114133,110258,105162,112319,104897,103491,116247,116550,107927,109689,107028,110804,110541,106348,110855,112559,115642,119136,111662,110391,109637,111510,112423,113666,116066,111751,116351,119601,117390,115715,112136,108188,104313,111078,108569,105686,102120
"19","11","        Used autos","DNPURX0",52623,49745,54956,49745,50929,55160,56678,52128,59948,54658,54509,55895,53979,53525,64251,68802,58172,65230,64385,54237,64646,53752,54760,64601,59340,57714,59554,53356,54305,59911,59225,54498,55719,53924,55693,55527,52380,55180,55397,56806,58734,55444,54400,54117,54390,54482,54275,53838,50619,51660,52606,52121,52042,50528,48094,44877,47912,47125,47004,46625
"20","12","          Net transactions in used autos","DNETRX0",27583,24863,29442,25947,26053,29369,30943,27796,34574,29884,28848,30899,30225,29179,38310,41434,33773,38448,37737,30339,37609,29567,29606,37429,32386,29910,32661,27765,28673,35508,36740,31977,31687,31295,31514,31633,30833,30626,30833,32249,32008,30918,31696,31089,30707,30808,29915,29366,28201,28169,27927,27677,27100,26515,25091,23607,25045,23850,23826,22724
"21","13","          Used auto margin","DMARRX0",27601,28001,27782,26379,27639,28162,27832,26668,27027,26851,27940,27004,25671,26435,27128,28414,25922,28090,28029,25643,28454,26079,27190,28478,28976,30367,28954,27950,27718,25853,23740,24056,25739,24233,25926,25616,23303,26291,26326,26350,28499,26282,24433,24708,25359,25359,26072,26110,24081,25172,26234,26030,26526,25519,24532,22892,24357,24661,24483,25331
"22","14","          Employee reimbursement","DREERX0",-1973,-1990,-1969,-1962,-1924,-1945,-1941,-1977,-1918,-1894,-1869,-1844,-1843,-1838,-1779,-1794,-1815,-1771,-1775,-1713,-1734,-1712,-1708,-1715,-1729,-1781,-1834,-1806,-1716,-1666,-1663,-1731,-1746,-1715,-1703,-1687,-1739,-1744,-1767,-1794,-1761,-1760,-1732,-1686,-1691,-1695,-1697,-1622,-1635,-1676,-1588,-1614,-1606,-1535,-1543,-1605,-1517,-1445,-1384,-1461
"23","15","        Used light trucks","DUTRRX0",20888,21631,22958,24699,26514,27493,28550,29955,32449,33293,35682,34958,35204,37402,43809,51201,45236,51544,50800,46082,51722,46748,48553,49705,50991,47553,52821,51541,49224,56360,57341,53441,53984,53112,55118,55022,53964,55674,57165,58838,60404,56221,55990,55517,57124,57945,59388,62214,61120,64686,66988,65261,63669,61601,60087,59424,63156,61443,58741,55630
"24","16","          Net transactions in used trucks","DUTNRX0",11508,11916,12829,14110,15470,16091,16785,17794,19335,20312,22185,21785,22173,23490,28656,34304,30077,34593,33936,30267,34314,30765,31842,32908,33872,30093,35341,33789,31702,38844,40721,36322,35856,35346,35960,36075,36477,36106,37193,39165,39456,37142,38149,37312,38453,39442,40093,42208,42315,44667,46038,45598,44146,43505,42276,42322,45217,42937,41495,37784
"25","17","          Used truck margin","DUTMRX0",10267,10635,11002,11366,11729,12090,12449,12806,13792,13487,13932,13588,13394,14315,15267,16779,15133,16854,16815,15914,17417,16060,16827,16825,17125,17929,17403,17830,17654,17306,16250,16938,18072,17704,19226,18997,17511,19556,19958,19665,20942,19078,17843,18210,18671,18500,19294,20004,18813,20027,20952,19701,19551,18115,17836,17126,17974,18432,17246,17630
"26","18","      Motor vehicle parts and accessories (58)","DMVPRX0",36601,37332,38026,38637,39451,39960,40234,40931,41415,41388,42376,42635,42809,43022,42140,42749,43558,44336,45038,45541,45815,45223,45486,44434,43156,43906,43292,44032,43005,43239,43571,43309,43414,44108,45189,45383,45716,45882,46130,47248,47673,48167,47905,48437,49494,48106,48278,48494,48796,48761,48821,48746,47531,47379,45786,44539,43866,43160,43214,42886
"27","19","        Tires","DTATRX0",15846,15972,16029,16207,16451,16574,16471,16529,16495,16415,16800,16962,17010,16754,16395,16486,16729,16754,16914,17017,17225,16903,16862,16298,16376,16854,16756,16429,16285,16561,16755,16930,16955,17298,17921,18284,18415,18739,18746,19337,19900,20069,20013,20857,21200,20870,21064,21205,21624,21834,21901,21831,21697,21853,21427,21540,21242,20997,20913,20570
"28","20","        Accessories and parts","DPAARX0",20658,21273,21926,22363,22938,23330,23718,24369,24900,24955,25558,25653,25781,26264,25741,26265,26832,27594,28138,28539,28605,28335,28642,28157,26789,27055,26536,27620,26731,26681,26818,26379,26458,26809,27265,27097,27298,27143,27383,27910,27773,28098,27893,27581,28294,27238,27216,27293,27178,26936,26928,26921,25848,25545,24382,23034,22659,22199,22334,22342
"29","21","    Furnishings and durable household equipment","DFDHRX0",130801,131964,133899,135471,134376,139208,139282,142326,142803,143356,146549,148492,152416,154810,158382,163520,168283,172269,177958,183558,188171,191791,194335,195478,198400,200181,202107,208226,214816,216659,216344,220055,219031,227063,236217,240197,243389,246708,252300,254841,257001,261003,265377,272188,279286,276175,277555,278776,284078,281217,283555,285629,280876,282596,274361,264164,259407,254164,258370,264416
"30","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",74777,75232,76255,77458,76820,80024,80602,82279,83450,83387,85670,87544,89375,90272,92203,95038,97257,99466,102972,106599,109262,112075,113269,112349,114555,115115,116404,119844,123931,124418,123544,125341,124626,129320,134060,137235,138777,140890,145034,146087,148125,151068,154517,157644,161800,160228,161081,161294,164594,164027,165442,167015,163891,164460,158837,152433,150179,146128,148342,151495
"31","23","        Furniture","DFNRRX0",45666,45942,46947,47828,47559,49454,49641,50838,52120,52141,53875,55315,56770,57069,57889,59749,61164,62107,64508,66813,68631,71086,71557,70256,71776,72273,73598,76228,78618,78719,77731,78969,78075,80424,82449,84534,85021,86103,88534,90053,90798,92154,94632,95617,96630,95165,96354,96715,97995,97006,97515,98758,96928,96540,92788,89139,88108,84610,85957,87649
"32","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11248,11624,11729,11777,11715,12379,12726,13160,13147,13066,13398,13469,13713,13647,14111,14386,14984,15332,15745,16327,16770,17106,17836,18146,18345,18237,18195,18455,19389,19691,19703,20234,20244,21418,23326,23642,23910,24604,25599,24563,25431,26475,27569,28664,30755,30908,31872,32579,34088,34595,35917,36599,36653,36943,36718,36402,36287,36239,37007,38547
"33","25","        Carpets and other floor coverings","DFLRRX0",13902,13364,13136,13316,12860,13340,13130,12837,12775,12731,12819,13007,13082,13593,13943,14631,14772,15350,15882,16338,16931,16800,16719,16439,16569,16804,16857,17100,17459,17540,17377,17418,17615,18294,18844,19463,19824,20153,20741,20977,20891,21246,21234,21707,22417,22253,21360,20868,21304,21076,20730,20575,19698,20210,18961,17323,16474,16110,16069,16048
"34","26","        Window coverings","DWCTRX0",4824,4939,5024,5154,5206,5342,5459,5649,5639,5688,5790,6004,6053,6305,6565,6673,6668,7030,7233,7503,7363,7473,7427,7659,8021,8009,8000,8335,8678,8651,8879,8827,8796,9244,9425,9603,10036,10043,10175,10546,11017,11188,11076,11655,12061,11999,11699,11442,11636,11880,12012,11901,11581,11740,11538,10997,10857,10882,11121,11302
"35","27","      Household appliances (part of 33)","DAPPRX0",23700,23579,24119,23974,23803,24335,23843,24360,23664,23917,24108,24153,24912,25998,26637,27233,28285,29354,30259,30403,31324,31873,32302,33315,33371,33578,34006,35090,35740,36402,36128,36402,36247,37561,39366,40177,40845,41645,42520,43501,42949,43289,43021,44273,44738,43992,44197,43750,44010,42941,43242,43621,43397,43385,41961,40458,39657,38488,39753,41242
"36","28","        Major household appliances","DMHARX0",20897,20793,21281,21081,20894,21320,20916,21428,20840,21061,21173,21181,21923,23088,23702,24211,25153,26150,27004,27107,28029,28506,28865,29810,29839,30008,30444,31434,31991,32581,32314,32528,32312,33491,35139,35893,36495,37217,37946,38840,38247,38484,38166,39319,39677,38924,39066,38514,38629,37664,37909,38149,37821,37683,36353,35003,34223,33212,34547,35674
"37","29","        Small electric household appliances","DSEARX0",2758,2741,2794,2837,2847,2946,2863,2876,2774,2805,2875,2906,2933,2889,2922,3005,3115,3194,3252,3289,3304,3373,3440,3513,3539,3574,3573,3670,3759,3831,3822,3880,3935,4070,4231,4290,4356,4434,4577,4665,4703,4805,4855,4954,5061,5070,5134,5246,5400,5298,5355,5502,5618,5759,5674,5526,5514,5353,5267,5643
"38","30","      Glassware, tableware, and household utensils (34)","DUTERX0",19743,20610,20814,21221,20958,21782,21718,22515,22426,22529,22970,22829,23808,23854,24560,25723,26673,27411,28622,29978,30578,30978,31794,32718,33089,33705,34136,35461,36986,37501,38316,39620,39226,40829,42353,42061,43020,42824,43138,43537,44151,44453,45516,47326,48900,48872,49615,50893,52223,51337,52008,51991,50447,51296,50434,49195,48088,48750,49178,49980
"39","31","        Dishes and flatware","DCHNRX0",9530,9880,9911,10033,9840,10151,10048,10339,10246,10294,10495,10430,10942,10818,11372,12077,12460,12740,13448,14453,14781,15019,15558,16066,16408,16966,17261,18030,19030,19428,20033,20510,20323,21116,21810,21488,22070,22012,22240,22543,22736,22682,23811,24953,25819,25847,26482,27711,28601,28388,28821,28912,28064,28671,28225,27799,26776,27574,27896,28422
"40","32","        Nonelectric cookware and tableware","DNECRX0",10259,10784,10964,11256,11192,11714,11760,12276,12284,12339,12582,12506,12971,13159,13284,13730,14307,14775,15264,15582,15853,16012,16280,16692,16710,16756,16888,17440,17958,18070,18277,19108,18901,19711,20545,20582,20955,20816,20900,20993,21413,21774,21702,22374,23084,23030,23154,23250,23710,23072,23320,23228,22529,22793,22380,21609,21454,21393,21515,21809
"41","33","      Tools and equipment for house and garden (35)","DTOORX0",12792,12707,12879,12983,12972,13236,13296,13329,13439,13707,13988,14168,14513,14913,15204,15739,16295,16235,16252,16694,17133,16953,17033,17173,17454,17861,17612,17858,18162,18341,18354,18696,18959,19367,20474,20748,20766,21380,21628,21755,21779,22194,22321,22944,23857,23116,22718,22956,23416,23109,23085,23216,23280,23619,23295,22245,21668,21033,21259,21795
"42","34","        Tools, hardware, and supplies","DHDWRX0",10814,10709,10808,10895,10865,11042,11074,11052,11144,11398,11570,11710,12019,12417,12753,13206,13655,13695,13721,14058,14426,14317,14332,14423,14697,15073,14950,15200,15457,15644,15660,15984,16189,16515,17497,17749,17653,18275,18469,18552,18551,18829,18969,19506,20305,19597,19253,19452,19784,19530,19447,19463,19417,19696,19336,18385,17883,17238,17438,17851
"43","35","        Outdoor equipment and supplies","DLWNRX0",1968,1987,2057,2074,2092,2177,2204,2256,2274,2290,2394,2433,2470,2475,2438,2519,2624,2533,2524,2627,2697,2629,2690,2738,2746,2779,2658,2657,2703,2698,2695,2715,2771,2853,2981,3003,3113,3107,3160,3203,3228,3364,3352,3438,3551,3519,3466,3505,3634,3581,3641,3758,3871,3931,3969,3872,3796,3810,3836,3959
"44","36","    Recreational goods and vehicles","DREQRX0",71255,73429,77850,79880,81867,86392,88897,92058,94977,98946,103038,106571,111805,117349,124911,130680,136676,143326,150527,157644,167679,170086,174488,178376,181361,186489,190826,200566,207845,211173,214013,218457,221077,230641,244483,251638,258664,264282,273400,281388,291578,299773,305339,316720,334541,336602,342961,358806,366892,373075,388137,401645,399829,410252,407618,394303,403141,398413,414809,429582
"45","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",22454,23298,25114,26660,27774,29699,30856,32143,33752,36261,38363,40071,43100,45992,50609,53729,56931,60394,64525,68116,72705,75293,78049,80746,83173,85974,89867,95786,100539,103958,106136,109612,110583,115957,124232,129038,133670,138577,144463,150176,157962,163405,170381,179224,190196,194785,201674,212388,220539,224428,235902,247357,248941,261193,263187,261290,271731,266646,279452,294425
"46","38","        Video and audio equipment","DVAARX0",29864,30150,31770,32387,32670,33360,33550,33722,33571,34755,35408,35888,37823,40058,42714,44275,45987,48355,51350,53834,57111,58370,59726,61302,63050,64416,66853,70805,72921,74869,75502,76490,76450,79084,83332,86072,88817,91905,95406,98015,102819,105196,108777,114272,120903,122739,126746,132914,138195,139739,145572,151217,153761,161414,161655,159592,168258,162868,169519,179804
"47","39","          Televisions","DTVSRX0",4662,4682,4848,4921,4907,4972,4972,5027,4888,4954,5054,5097,5354,5567,5782,5953,6332,6710,7025,7313,7863,8201,8602,8922,9173,9544,10074,10856,11174,11586,11974,12672,13041,14060,15388,16348,17270,18518,19312,20055,21416,22411,24045,26299,28629,30168,32884,36912,39729,41383,44622,47413,49864,53608,55485,56998,62455,62719,69145,77741
"48","40","          Other video equipment","DOVARX0",2673,2715,2853,2942,3004,3031,3060,3039,3003,3136,3256,3295,3561,3857,4207,4543,4901,5272,5729,6182,6854,7340,7860,8409,8790,9442,10162,10906,11400,11790,12138,12762,13181,13972,14824,15361,15930,16821,17520,18208,19011,19182,19700,20502,21557,22174,23111,24057,24502,24787,26430,28345,29207,31243,32435,32665,34131,32427,33684,36541
"49","41","          Audio equipment","DAUDRX0",8209,8269,8641,8856,8847,9016,9053,9167,9066,9483,9516,9512,9908,10322,10792,11025,11141,11755,12451,12985,13612,13263,13256,13558,13637,13930,14208,14572,14867,15295,15577,15600,15530,16104,17141,17397,17925,18639,19702,20660,22472,23651,25062,26109,27721,27281,27695,28703,29547,29821,30211,30727,30289,31202,30351,28868,30201,29171,29585,30256
"50","42","          Recording media","DRECRX0",16561,16748,17955,18181,18465,19074,19228,19288,19598,20305,20675,21203,22271,23782,25692,26432,27082,28024,29678,30880,32083,32584,32655,32762,33836,33494,34207,36288,37293,37945,37286,36554,35516,35509,36370,37292,37950,38054,38972,39149,39938,39948,39957,41360,43015,43212,43367,43981,45450,45132,46298,47303,47642,49341,48333,47038,48762,46539,47379,48819
"51","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRX0",14274,14398,15551,15689,15889,16536,16650,16769,17130,17742,17920,18431,18742,18992,19593,19556,19514,19806,20427,20503,20610,20803,20563,20192,20249,19790,19614,19770,20138,20253,19582,19047,18789,18673,18907,19285,19623,19297,19690,19856,19868,19882,19747,20240,20655,20690,20715,20804,21281,21292,21355,21833,22036,22979,22388,21970,22525,22192,22494,23284
"52","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",3648,3711,3908,3993,4084,4141,4187,4157,4168,4321,4491,4564,5200,6237,7362,7994,8576,9168,10127,11126,12112,12397,12646,13039,13969,14044,14850,16657,17276,17785,17759,17547,16792,16893,17506,18043,18363,18768,19290,19305,20070,20067,20210,21121,22373,22537,22668,23203,24211,23870,25024,25552,25683,26424,26021,25117,26325,24327,24879,25512
"53","45","        Photographic equipment","DCAMRX0",1652,1668,1674,1699,1720,1759,1793,1808,1853,1847,1901,1876,1935,1968,2003,2096,2126,2149,2196,2318,2237,2296,2391,2557,2475,2423,2441,2473,2592,2586,2650,2681,2776,2905,3026,3104,3204,3389,3508,3657,3812,3979,4100,4244,4448,4581,4912,5312,5754,6014,6302,6724,7098,7346,7225,7128,6925,6783,6767,6962
"54","46","        Information processing equipment","DIPERX0",1642,1822,2084,2429,2715,3203,3553,3974,4612,5325,6024,6656,7445,8092,9488,10531,11613,12573,13636,14581,15873,16858,17900,18747,19475,20713,22038,23899,26106,27466,28754,30947,31763,34248,38026,39987,41757,43384,45627,48528,51344,54224,57500,60705,64850,67516,70088,74270,76719,78837,84221,89686,88340,92694,94583,94878,96742,97225,103417,107891
"55","47","          Personal computers and peripheral equipment","DCPPRX0",786,875,1004,1177,1322,1569,1746,1956,2280,2642,3001,3324,3749,4137,5002,5575,6242,6821,7574,8206,8966,9630,10329,10823,11468,12463,13572,15017,16554,17516,18380,20130,20968,22906,25771,27137,28337,29512,31238,33709,35920,38008,40847,43615,46833,48940,50956,54217,56214,58092,62381,67311,66212,70156,72311,73324,75154,76224,82280,86351
"56","48","          Computer software and accessories","DCPSRX0",1070,1189,1369,1597,1792,2109,2346,2645,3075,3568,4027,4449,4835,4970,5295,5804,6131,6449,6521,6703,7239,7443,7681,8031,7923,7980,7966,8235,8854,9195,9591,9898,9802,10253,11051,11599,12116,12507,12947,13323,13854,14561,14980,15380,16260,16784,17289,18179,18616,18861,19941,20567,20341,20883,20818,20355,20461,20121,20655,21328
"57","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",377,379,380,372,357,363,359,358,356,352,353,354,395,447,503,555,589,640,684,736,793,843,891,926,920,930,984,1014,1051,1099,1133,1183,1176,1215,1282,1328,1388,1442,1499,1511,1571,1652,1665,1721,1788,1844,1913,1970,2009,2047,2113,2177,2134,2148,2117,2061,2116,2075,2134,2101
"58","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",21350,21949,22627,22508,22608,23566,23811,23838,23800,24223,24716,25159,25450,27016,27576,28424,29516,30630,31911,33543,35087,35552,36671,37091,37707,38777,38858,40401,41183,41446,41699,42584,42779,43876,45142,45756,46804,47547,49014,49767,51106,52088,51696,54024,56774,56229,57648,59575,60034,60925,63071,64829,64023,64220,62699,59237,59536,59221,60797,62796
"59","51","      Sports and recreational vehicles (79)","DWHLRX0",23236,23828,24918,24125,24213,24857,25973,26979,27367,27089,28134,28492,29394,30099,30940,31592,31825,33105,33377,34145,37929,34926,34824,34976,34624,35759,35317,36808,37887,36696,36884,36462,37755,40264,43153,44623,45096,44830,45809,47217,47604,49070,47594,46695,49328,48032,46948,49769,49210,49876,50858,51368,50175,49526,47884,43333,43169,42715,45633,45092
"60","52","        Motorcycles","DMCYRX0",4454,4257,4404,4427,4445,4784,4819,4723,4775,4807,5022,5268,5588,5634,6156,6293,6281,6519,6491,7537,8192,7817,7975,8288,8813,9838,9289,9553,10313,9380,9515,9614,10265,10836,12234,13233,13071,13853,13666,13461,14211,14746,13648,14308,14923,15169,14797,15328,15615,15778,16386,17834,18005,18327,17283,14593,14546,13536,14715,14291
"61","53","        Bicycles and accessories","DBCYRX0",3031,3070,3154,3124,3099,3200,3207,3238,3204,3234,3291,3359,3302,3315,3190,3139,3151,3177,3163,3168,3140,3129,3140,3061,3049,3047,3014,3040,3013,2967,2958,3012,3022,3060,3183,3262,3236,3186,3336,3369,3402,3420,3369,3465,3598,3576,3556,3619,3711,3801,3857,3854,3853,3938,3917,3778,3886,3783,3847,3924
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",15747,16468,17320,16545,16641,16854,17921,18988,19357,19018,19791,19834,20472,21120,21562,22129,22361,23376,23687,23422,26573,23963,23696,23618,22763,22888,23020,24219,24570,24353,24415,23842,24477,26378,27742,28124,28788,27790,28806,30392,29989,30899,30577,28930,30811,29309,28615,30824,29912,30321,30654,29800,28474,27453,26841,25040,24815,25421,27113,26909
"63","55","          Pleasure boats","DBOARX0",6202,6220,6956,7041,6999,7072,7407,8399,8641,8479,8912,8661,8975,9395,9091,9319,9770,10301,10913,9443,11748,10620,10693,10977,10431,10254,10516,11648,11687,11273,10787,10336,10377,11772,12492,12900,13034,12929,12703,12977,13368,14433,13692,13013,14351,13402,14315,15027,14307,14591,14633,14341,13730,13711,13635,13645,13090,13302,14282,14348
"64","56","          Pleasure aircraft","DAIRRX0",935,909,985,967,934,914,927,1017,1005,965,1000,966,984,1084,1107,1092,1080,1050,1006,1108,1159,1068,1094,1178,1071,1088,965,924,897,941,1061,971,928,995,1068,1077,1166,1034,1145,1219,1256,1283,1184,1152,1258,1197,1161,1373,1222,1347,1371,1470,1345,1398,1412,1227,1299,1287,1428,1469
"65","57","          Other recreational vehicles","DREVRX0",8609,9339,9379,8538,8708,8868,9586,9572,9711,9574,9879,10208,10513,10640,11363,11718,11510,12024,11768,12871,13666,12275,11909,11463,11260,11546,11540,11648,11986,12138,12567,12536,13173,13611,14182,14146,14589,13827,14958,16196,15365,15183,15701,14764,15201,14710,13138,14424,14382,14382,14649,13989,13398,12343,11793,10166,10426,10831,11402,11091
