"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"34","25","  Fixed investment","A007RS2",-0.57,-0.83,-0.98,-0.15,0.33,0.04,0.11,0.85,0.13,-0.05,0.28,0.86,0.89,0.26,0.17,0.17,0.88,2.31,1.34,0.31,0.36,1.37,0.36,0.13,0.11,0.27,0.92,0.56,0.06,0.15,0.1,-0.03,0.02,-0.04,0.11,0.26,0.34,0.43,0.63,0.79
"35","26","    Nonresidential","A008RS2",-0.49,-0.59,-0.6,-0.13,0.18,0.07,0.01,0.64,0.05,-0.06,0.18,0.55,0.72,0.17,0.1,0.12,0.69,1.49,0.88,0.23,0.21,0.92,0.21,0.09,0.09,0.15,0.78,0.54,0.08,0.14,0.06,-0.04,0.01,0,0.07,0.12,0.18,0.29,0.41,0.49
"36","27","      Structures","A009RS2",-0.27,-0.35,-0.38,0.02,0.01,0.09,0,0.33,-0.05,-0.03,0.04,0.18,0.22,0.09,0.02,0.06,0.3,0.69,0.38,-0.01,0.04,0.38,0.09,0.07,-0.04,0.07,0.32,0.17,-0.06,0.02,0,-0.02,0.03,0.03,0.05,0.11,0.14,0.12,0.18,0.24
"37","28","      Equipment","Y033RS2",-0.2,-0.2,-0.16,-0.1,0.16,-0.03,-0.01,0.28,0.11,-0.04,0.12,0.32,0.41,0.01,0.04,0.05,0.35,0.72,0.46,0.24,0.15,0.5,0.11,0.01,0.13,0.05,0.42,0.33,0.11,0.1,0.05,-0.03,-0.03,-0.03,0,0.01,0.02,0.15,0.17,0.18
"38","29","        Information processing equipment","Y034RS2",-0.05,-0.04,-0.01,-0.02,0.03,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0.12,0.08,0.02,0,0.01,0.04,-0.01,0,0.01,0.01,0.02,0.04,0.01,0.01,0,-0.01,-0.02,-0.04,-0.02,-0.03,-0.06,-0.02,-0.01,0.01
"39","30","          Computers and peripheral equipment","B935RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,-0.02,-0.04,-0.02,-0.03,-0.08,-0.05,-0.03,-0.02
"40","31","          Other","A937RS2",-0.05,-0.04,-0.01,-0.02,0.03,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0.12,0.08,0.02,0,0.01,0.04,-0.01,0,0.01,0.01,0.02,0.04,0.01,0.01,0,0,0,0,0.01,0,0.01,0.03,0.02,0.03
"41","32","        Industrial equipment","A680RS2",-0.07,-0.06,-0.05,0,0.09,0.01,0,0.12,0.01,0,0.05,0.07,0.03,0,0.01,0.01,0.1,0.14,0.15,0.07,0.06,0.2,0.01,0.05,0.03,0.06,0.19,0.15,0.04,0.04,0.03,-0.01,0,0,0.01,0.03,0.05,0.09,0.08,0.06
"42","33","        Transportation equipment","A681RS2",-0.08,-0.06,-0.05,-0.08,0.04,-0.02,0.01,0.06,0.08,-0.01,0.04,0.16,0.29,0.01,0.03,0.03,0.05,0.27,0.15,0.09,0.04,0.13,0.1,-0.06,0.07,-0.03,0.16,0.08,0.02,0.03,0,0,-0.02,-0.01,-0.01,0,0,0.03,0.05,0.06
"43","34","        Other equipment","A862RS2",0,-0.04,-0.05,0,0.01,-0.02,-0.02,0.09,0.01,-0.03,0.02,0.07,0.07,0.01,0.01,0.01,0.09,0.22,0.15,0.07,0.04,0.13,0.01,0.03,0.02,0.02,0.05,0.07,0.03,0.02,0.02,0,0.01,0.01,0.01,0.01,0.04,0.05,0.05,0.05
"44","35","      Intellectual property products","Y001RS2",-0.02,-0.04,-0.06,-0.05,0.01,0.01,0.02,0.03,0,0,0.01,0.05,0.09,0.07,0.05,0.02,0.04,0.08,0.04,0,0.02,0.04,0.01,0.02,0.01,0.03,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0,0.02,0.01,0.02,0.02,0.06,0.07
"45","36","        Software \1\","B985RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"46","37","        Research and development","Y006RS2",-0.01,-0.02,-0.04,-0.02,0.01,0.01,0.01,0.01,-0.01,0.01,0.01,0.04,0.07,0.04,0.02,0,0.01,0.04,0.03,-0.01,0.01,0.03,0,0.01,0,0.01,0.03,0.02,0.01,0.01,0.01,0,0,0,0,-0.01,0,0.01,0.02,0.04
"47","38","        Entertainment, literary, and artistic originals","Y020RS2",-0.02,-0.02,-0.02,-0.03,0,0,0.01,0.02,0.01,0,0.01,0.01,0.02,0.02,0.03,0.01,0.03,0.05,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.03
"48","39","    Residential","A011RS2",-0.07,-0.24,-0.37,-0.02,0.15,-0.02,0.1,0.21,0.08,0.02,0.1,0.32,0.17,0.09,0.07,0.05,0.19,0.83,0.46,0.08,0.15,0.44,0.15,0.04,0.02,0.12,0.15,0.01,-0.01,0.02,0.04,0.01,0.01,-0.04,0.04,0.14,0.16,0.14,0.22,0.3
"49","40","  Change in private inventories","A014RS2",-0.04,-0.02,0.06,-0.17,-0.32,-0.09,0.02,0.04,-0.46,-0.02,0.03,0.18,0.25,0.02,-0.02,-0.03,0.05,0.4,0.03,-0.13,-0.02,0.24,-0.06,-0.09,-0.01,-0.02,0.05,0,-0.01,0,0,0,0,-0.01,0,0,0.02,0.02,0,0.02
"50","41","    Farm","B018RS2",0.01,-0.12,-0.17,-0.05,-0.24,-0.1,-0.01,-0.01,-0.46,-0.02,0,0.05,0.14,0.04,-0.02,-0.01,-0.05,-0.09,-0.03,-0.1,-0.02,0.03,-0.05,-0.1,0,-0.02,0.01,-0.02,-0.01,-0.01,0,0,0,-0.01,0,-0.01,0.01,0,-0.01,0
"51","42","    Nonfarm","A015RS2",-0.05,0.1,0.23,-0.13,-0.08,0.01,0.03,0.05,0,0,0.03,0.13,0.12,-0.01,0,-0.02,0.1,0.49,0.06,-0.03,0,0.21,-0.01,0,0,0,0.04,0.01,0,0.01,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
"52","43","Government consumption expenditures and gross investment","A822RS2",-0.31,-0.58,-1.27,0.4,1.18,0.14,0.54,0.32,0.07,-0.26,-0.14,1.19,-0.12,-0.13,-0.62,0.49,8.19,1.63,0.63,0.45,0.15,1.15,0.48,0.29,0.52,0.88,1.17,0.97,0.7,0.3,0.26,0.42,0.45,0.57,0.6,0.61,0.9,0.81,1.29,1.39
"53","44","  Federal","A823RS2",-0.09,-0.01,-0.14,0.01,0.31,0.03,0.5,0.09,0.09,-0.12,-0.22,0.68,-0.73,-0.44,-0.77,0.34,7.75,0.94,-0.08,0.39,0.1,0.47,0.18,0.15,0.41,0.73,0.69,0.63,0.57,0.13,0.1,0.18,0.21,0.35,0.42,0.32,0.43,0.3,0.69,0.67
"54","45","    National defense","A824RS2",-0.03,-0.01,-0.04,-0.01,0.07,0.05,0.03,0.04,0,0,-0.07,0.53,-1.02,-0.52,-0.83,0.3,7.58,0.96,-0.02,0.22,0.14,0.31,0.08,0.07,0.39,0.66,0.67,0.55,0.48,0.08,0.08,0.11,0.15,0.3,0.3,0.26,0.35,0.25,0.54,0.52
"55","46","      Consumption expenditures","A997RS2",-0.03,-0.01,-0.03,-0.01,0.05,0.05,0.03,0,0.01,0,-0.08,0.21,-0.76,-0.66,0.32,1.3,6.96,0.83,-0.08,0.2,0.1,0.12,0.02,0.15,0.35,0.57,0.45,0.41,0.43,0.03,0.07,0.07,0.11,0.28,0.29,0.25,0.32,0.22,0.48,0.43
"56","47","      Gross investment","A788RS2",-0.01,-0.01,-0.01,0,0.02,0,0,0.03,0,0,0.01,0.32,-0.27,0.14,-1.14,-1,0.62,0.14,0.05,0.02,0.03,0.19,0.06,-0.08,0.04,0.09,0.22,0.14,0.05,0.06,0.01,0.03,0.04,0.02,0.01,0.01,0.03,0.03,0.06,0.1
"57","48","    Nondefense","A825RS2",-0.06,0,-0.1,0.02,0.24,-0.02,0.46,0.05,0.08,-0.11,-0.15,0.15,0.3,0.09,0.05,0.05,0.18,-0.02,-0.05,0.17,-0.04,0.16,0.1,0.08,0.03,0.07,0.02,0.08,0.09,0.05,0.02,0.07,0.06,0.05,0.12,0.06,0.09,0.05,0.15,0.15
"58","49","      Consumption expenditures","A542RS2",-0.05,0.02,-0.04,-0.03,0.13,-0.03,0.41,0.02,0.08,-0.1,-0.16,0.1,0.26,0.11,0.02,0.05,0.17,-0.04,-0.07,0.16,-0.03,0.12,0.08,0.08,0.03,0.07,0,0.06,0.09,0.03,0.01,0.06,0.05,0.04,0.1,0.06,0.07,0.03,0.11,0.1
"59","50","      Gross investment","A798RS2",-0.01,-0.02,-0.07,0.05,0.11,0.02,0.06,0.03,0,-0.01,0.01,0.05,0.04,-0.02,0.03,-0.01,0,0.02,0.02,0.01,-0.01,0.05,0.02,0.01,-0.01,0,0.02,0.02,0,0.01,0.01,0,0.01,0.01,0.02,0,0.02,0.02,0.04,0.05
"60","51","  State and local","A829RS2",-0.22,-0.57,-1.13,0.39,0.87,0.11,0.04,0.23,-0.02,-0.15,0.08,0.51,0.61,0.31,0.15,0.14,0.44,0.68,0.71,0.06,0.05,0.68,0.3,0.14,0.11,0.16,0.48,0.34,0.13,0.17,0.16,0.25,0.24,0.22,0.18,0.29,0.46,0.51,0.6,0.72
"61","52","      Consumption expenditures","A991RS2",-0.05,-0.23,-0.51,0.04,0.49,0.2,-0.18,0.16,0,-0.06,0.09,0.28,0.39,0.26,0.16,0.14,0.39,0.52,0.55,0.09,0.12,0.39,0.24,0.15,0.17,0.14,0.25,0.25,0.18,0.17,0.2,0.24,0.19,0.18,0.15,0.22,0.35,0.41,0.47,0.52
"62","53","      Gross investment","A799RS2",-0.17,-0.34,-0.62,0.34,0.39,-0.09,0.22,0.07,-0.02,-0.09,0,0.24,0.22,0.05,-0.01,0,0.05,0.16,0.15,-0.03,-0.07,0.29,0.05,-0.01,-0.06,0.01,0.23,0.1,-0.05,0,-0.03,0.01,0.05,0.04,0.03,0.07,0.11,0.09,0.14,0.19
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","54","  Final sales of computers to domestic purchasers \2\","W489RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","55","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","56","  Food \3\","B981RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","57","  Energy goods and services","B982RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","58","  Gross domestic purchases excluding food and energy","B983RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","3. Food excludes personal consumption expenditures for purchased meals and beverages, which are classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
