"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Domestic corporate business","A2201C1",-0.6,-0.3,0,0.1,0.1,-0.1,-0.1,-0.1,-0.5,-0.6,-0.5,-0.6,-0.6,-0.5,-0.2,0.5,0.6,-2.1,-2.6,-3,-2.8,-2.8,-3,-2.6,-1.9,-1,0.5,-0.3,-0.5,-0.9,-0.2,1,1.8,4.8,6,6.8,7.4,7.8,7.8,7.5,7.6
"12","5","    For consistent accounting at historical cost","A1402C1",0,0,0,-0.2,-0.2,-0.1,-0.1,0,-0.1,-0.1,0,0,0.2,0.9,1.4,2.1,2.2,0,0.4,0.6,0.7,0.9,1.6,1.9,2.6,3.3,4.8,5.1,5.6,5.2,6,6.8,7.1,9.9,10.8,11.5,12.2,13,13.7,14.6,16.1
"13","6","    For current-cost valuation","A1403C1",-0.6,-0.3,-0.1,0.3,0.3,0.1,0,-0.1,-0.5,-0.5,-0.4,-0.5,-0.8,-1.4,-1.6,-1.7,-1.6,-2.1,-2.9,-3.6,-3.6,-3.6,-4.5,-4.5,-4.5,-4.3,-4.3,-5.4,-6.2,-6.1,-6.1,-5.8,-5.4,-5.1,-4.8,-4.7,-4.8,-5.1,-5.9,-7.1,-8.5
"14","7","  Financial","B393RC1",-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1
"15","8","    For consistent accounting at historical cost","B1404C1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,-0.1,0,-0.1,0,0,-0.1,-0.1,0,0
"16","9","    For current-cost valuation","B1405C1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2
"17","10","  Nonfinancial","A2203C1",-0.5,-0.2,0,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.5,-0.3,0,0.6,0.8,-1.9,-2.4,-2.7,-2.6,-2.5,-2.7,-2.3,-1.6,-0.7,0.7,0,-0.2,-0.6,0.2,1.2,2,4.9,6.2,6.8,7.6,8.1,8,7.6,7.8
"18","11","    For consistent accounting at historical cost","B1406C1",0.1,0.1,0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0.3,1,1.5,2.2,2.3,0.1,0.5,0.7,0.8,1,1.7,2.1,2.8,3.5,4.9,5.3,5.8,5.4,6.1,6.9,7.2,9.9,10.9,11.5,12.2,13.1,13.8,14.6,16.1
"19","12","    For current-cost valuation","B1407C1",-0.6,-0.3,-0.1,0.2,0.3,0.1,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.8,-1.4,-1.5,-1.6,-1.6,-2,-2.8,-3.5,-3.5,-3.5,-4.4,-4.4,-4.4,-4.2,-4.2,-5.3,-6,-6,-6,-5.7,-5.2,-4.9,-4.7,-4.6,-4.7,-5,-5.8,-6.9,-8.4
"20","13","Domestic noncorporate business","W282RC1",-1,-1,-0.7,-0.5,-0.4,-0.5,-0.4,-0.4,-0.6,-0.6,-0.6,-0.6,-0.7,-0.8,-0.7,-0.8,-0.8,-0.9,-1.1,-1.3,-1.1,-1,-1.3,-1.3,-1.2,-1.1,-1.1,-1,-1.2,-1.4,-1.4,-1.3,-1.3,-1.2,-1,-1,-1.3,-1.6,-1.8,-1.9,-2.1
"21","14","  Sole proprietorships and partnerships","A2204C1",-0.9,-0.8,-0.7,-0.5,-0.4,-0.5,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.5,-0.5,-0.7,-0.6,-0.5,-0.4,-0.5,-0.4,-0.5,-0.7,-0.7,-0.7,-0.7,-0.6,-0.5,-0.5,-0.8,-1,-1.1,-1.1,-1.1
"22","15","    Farm \1\","B044RC1",-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8
"23","16","    Nonfarm","A2205C1",-0.8,-0.8,-0.7,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1,0,-0.2,-0.1,0,0.1,0,0.1,0.1,-0.1,-0.1,-0.1,-0.2,-0.1,0,0,-0.2,-0.4,-0.5,-0.4,-0.3
"24","17","      For consistent accounting at historical cost","B1409C1",-0.7,-0.8,-0.7,-0.7,-0.7,-0.6,-0.5,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.1,0,0.1,0.1,0.2,0.6,0.7,0.9,0.9,1,1.1,1.1,1.1,1,1.3,1.4,1.2,1.2,1.1,0.9,0.9,1,1,0.8,0.7,0.8,1.1,1.5
"25","18","      For current-cost valuation","B1410C1",-0.1,0,0.1,0.2,0.2,0.1,0.1,0.1,0,-0.1,-0.1,-0.1,-0.2,-0.4,-0.4,-0.5,-0.5,-0.6,-0.9,-1,-1,-0.9,-1.2,-1.2,-1.1,-1,-1,-1.2,-1.3,-1.3,-1.3,-1.2,-1.1,-1,-1,-1,-1,-1.1,-1.2,-1.5,-1.8
"26","19","  Other private business \1\","A2206C1",-0.1,-0.1,-0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.7,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.5,-0.5,-0.6,-0.6,-0.7,-0.9,-1
"27","20","    Rental income of persons","B050RC1",-0.1,-0.1,-0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.6,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.8,-1
"28","21","      Nonfarm tenant-occupied housing","B2611C1",-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.5,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.5,-0.5,-0.6,-0.7,-0.9
"29","22","      Farm tenant-occupied housing","W283RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","23","      Farms owned by nonoperator landlords","B2614C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","24","      Nonfarm nonresidential properties","B2615C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","25","    Proprietors' income","B1411C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,-0.1,-0.1
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Except for farm proprietorships and partnerships (line 15) and other private business (line 19),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","the capital consumption adjustment is calculated in two parts. The adjustment for consistent accounting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","at historical cost converts depreciation, based on the service lives and depreciation schedules employed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","by firms when filing their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","schedules. The adjustment for current-cost valuation converts the historical-cost series with consistent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","accounting to a series valued at current cost. For farm proprietorships and partnerships and for other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","private business, the historical-cost series is based on consistent service lives and empirically based",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","depreciation schedules, so the adjustment reflects only a conversion to current-cost valuation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
