"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"12","5","    Furnishings and durable household equipment","DFDHRA3",21.651,21.623,22.59,24.936,27.587,27.477,26.045,27.642,30.154,31.74,33.041,31.771,31.162,29.78,32.328,35.569,37.475,40.547,42.263,43.806,46.041,45.411,44.349,45.86,48.217,50.788,53.124,55.426,58.022,62.807,70.089,76.848,80.755,86.651,92.83,101.644,108.402,113.912,114.79,109.561,100,107.037,113.216,118.187,124.538,132.593,140.933
"13","6","    Recreational goods and vehicles","DREQRA3",2.542,2.719,2.812,3.262,3.605,3.621,3.878,4.22,4.503,4.804,5.055,4.858,4.988,5.013,5.803,6.808,7.567,8.758,9.809,10.74,11.203,11.475,11.86,12.608,14.547,16.886,19.308,22.296,25.764,30.835,37.23,43.468,47.47,52.885,59.776,68.908,78.228,88.483,98.419,101.635,100,110.873,121.854,136.041,148.057,158.548,173.223
"14","7","    Other durable goods","DODGRA3",17.043,17.871,18.689,19.708,22.386,23.49,24.853,27.366,28.924,30.508,30.111,27.541,27.952,28.002,30.517,33.987,36.533,40.704,42.168,43.583,44.137,44.364,42.436,43.296,45.478,47.562,48.672,51.906,54.505,59.859,67.002,72.956,71.388,75.79,82.903,90.263,96.935,103.953,108.865,105.261,100,104.237,109.969,114.087,117.956,121.976,127.974
"15","8","  Nondurable goods","DNDGRA3",40.845,41.753,42.536,44.257,45.528,44.42,44.802,46.932,48.001,49.734,51.017,50.931,51.57,52.105,53.801,56.028,57.72,59.775,60.802,62.401,64.087,64.834,64.644,65.9,67.576,70.211,71.949,74.028,76.206,79.041,83.029,85.678,87.168,88.781,91.882,94.875,98.033,101.243,102.952,101.818,100,102.226,104.049,104.709,106.653,108.858,111.781
"16","9","    Food and beverages purchased for off-premises consumption","DFXARA3",58.647,60.286,61.004,62.221,61.137,59.904,60.985,63.975,64.921,64.638,65.537,66.212,65.988,67.268,68.968,70.355,72.431,73.91,73.438,75.378,76.318,77.899,77.802,77.499,78.132,80.309,80.723,81.533,82.243,83.389,86.774,88.907,90.131,90.528,92.636,94.78,98.397,101.411,102.769,101.547,100,102.145,103.271,103.338,104.348,104.88,104.885
"17","10","    Clothing and footwear","DCLORA3",21.637,21.388,22.288,23.874,25.592,25.103,25.736,26.922,28.364,31.353,33.179,34.208,36.386,36.991,39.524,42.795,44.704,48.054,49.836,51.302,54.018,53.645,53.682,56.533,58.941,62.243,64.8,67.943,70.177,74.456,79.345,83.184,83.971,86.535,90.805,94.996,100.089,103.571,105.678,105.159,100,105.274,109.395,110.561,112.06,113.674,117.473
"18","11","    Gasoline and other energy goods","DGOERA3",70.806,73.51,76.076,79.933,84.526,77.646,79.451,83.706,85.208,86.581,84.082,76.648,75.654,75.778,77.446,79.539,81.078,85.202,86.83,89.302,90.729,89.102,88.379,91.908,94.212,95.719,97.505,99.047,101.046,103.877,106.264,103.492,103.393,104.198,104.309,105.199,104.744,104.545,104.337,99.614,100,99.199,96.431,94.908,96.565,97.282,100.645
"19","12","    Other nondurable goods","DONGRA3",29.601,30.587,30.717,32.205,34.386,34.266,33.153,34.549,35.091,37.574,39.751,40.447,41.362,41.214,42.261,44.567,45.764,46.798,48.527,49.64,51.302,52.606,52.318,53.374,55.314,58.112,60.487,63.169,66.643,70.151,74.41,78.131,80.579,82.998,87.15,90.963,94.073,98.67,101.349,101.738,100,102.31,106.023,108.168,111.31,116.068,121.305
"20","13","Services","DSERRA3",28.011,29.113,30.121,31.853,33.364,34.009,35.289,36.807,38.332,40.107,41.331,41.998,42.727,43.58,45.849,47.621,50.123,51.737,54.063,56.496,58.293,60.045,61.026,63.495,65.449,67.461,69.48,71.518,73.804,77.203,80.192,84.219,86.199,87.812,89.748,92.6,95.561,98.166,100.119,100.903,100,101.19,103.051,103.905,104.941,107.462,110.425
"21","14","  Household consumption expenditures (for services)","DHCERA3",29.686,30.832,31.875,33.715,35.359,36.084,37.48,39.072,40.721,42.605,43.902,44.561,45.242,45.933,48.171,49.849,52.427,53.953,56.321,58.677,60.331,61.807,62.572,64.777,66.663,68.59,70.602,72.608,75.205,78.546,81.483,85.476,87.294,88.631,90.435,93.356,96.467,98.733,100.67,100.982,100,101.206,103.192,103.795,104.793,107.328,110.391
"22","15","    Housing and utilities","DHUTRA3",33.425,34.708,36.203,38.139,39.922,41.809,43.149,44.37,45.605,47.775,49.472,51.179,51.939,52.339,53.438,55.23,57.409,58.783,60.397,62.455,64.016,65.224,66.638,67.991,69.838,72.123,74.318,76.036,77.663,80.056,82.428,85.089,87.35,87.923,89.101,91.33,95.076,96.927,97.862,98.889,100,101.237,102.499,102.56,103.075,104.263,105.154
"23","16","    Health care","DHLCRA3",26.686,28.119,30.142,32.206,34.522,35.709,37.547,39.191,41.092,42.975,44.422,45.7,47.903,48.019,49.454,50.255,51.789,53.406,55.626,57.813,58.474,60.443,61.601,63.46,63.782,64.281,65.613,66.969,69.049,71.292,72.405,74.894,78.628,83.298,85.568,88.625,91.585,93.724,96.058,98.245,100,101.34,103.869,106.12,107.158,110.091,115.321
"24","17","    Transportation services","DTRSRA3",35.459,36.699,38.252,40.449,41.122,41.351,41.908,44.002,47.111,48.247,49.704,46.758,45.018,44.038,47.357,52.909,58.454,60.996,63.498,67.166,68.676,68.604,65.346,68.651,72.538,79.414,85.4,92.399,99.369,103.719,109.586,114.873,114.097,110.744,111.479,114.439,115.536,115.821,117.023,110.904,100,99.107,101.531,103.28,106.56,111.791,117.507
"25","18","    Recreation services","DRCARA3",17.077,17.684,18.289,19.261,20.9,22.314,23.465,25.083,26.669,27.963,29.325,30.316,32.888,34.483,37.428,39.915,42.801,44.781,46.815,51.262,54.46,56.821,56.415,60.145,63.938,67.207,72.32,75.589,77.989,80.448,84.262,86.69,86.549,87.048,89.987,94.624,96.988,100.379,104.275,103.45,100,101.318,103.614,105.691,107.59,110.679,112.776
"26","19","    Food services and accommodations","DFSARA3",39.247,40.607,40.564,43.661,45.839,45.419,47.308,50.161,51.502,53.685,55.35,55.375,55.927,56.297,58.147,59.757,60.553,62.303,65.559,69.459,71.378,73.919,73.966,75.85,77.532,78.721,78.862,79.323,81.018,83.132,85.179,89.059,88.893,90.236,93.548,97.314,100.794,104.053,105.373,104.294,100,101.545,104.152,106.85,108.517,111.784,116.894
"27","20","    Financial services and insurance","DIFSRA3",17.611,18.261,18.929,20.03,21.181,21.693,23.767,25.062,26.624,27.976,28.833,29.199,28.963,31.23,35.72,36.055,39.959,41.819,44.168,45.131,47.565,48.665,52.783,56.5,60.473,61.898,63.987,66.257,69.715,75.856,83.269,91.694,89.849,89.252,89.446,93.015,97.932,100.154,103.28,102.569,100,102.083,103.922,98.252,99.302,100.543,101.479
"28","21","    Other services","DOTSRA3",34.764,35.884,36.03,37.598,38.662,37.42,37.726,39.165,41.087,43.262,43.646,43.401,43.185,44.083,46.962,49.319,52.736,53.316,57.059,59.353,61.198,62.261,60.02,62.388,63.753,66.242,67.612,69.95,73.909,79.435,81.859,87.652,91.498,91.989,94.551,96.777,97.882,100.801,102.903,102.627,100,100.581,102.504,104.058,104.351,108.522,112.293
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",5.24,5.568,5.893,6.196,6.248,6.149,6.183,6.559,6.673,6.985,7.22,7.595,8.226,9.65,11.201,13.04,14.075,15.982,17.252,19.834,22.811,27.766,31.714,38.301,41.443,45.073,47.225,49.921,45.951,50.456,54.38,58.925,63.79,70.346,74.748,76.198,76.063,85.722,88.005,99.124,100,100.821,99.697,106.646,108.634,110.786,111.326
"30","23","    Gross output of nonprofit institutions \2\","DNPERA3",23.098,24.276,26.005,27.489,28.277,28.645,29.742,31.341,32.543,34.327,35.296,36.359,37.862,39.496,40.995,42.423,43.895,46.063,47.925,50.511,52.342,55.48,57.527,60.636,62.138,63.474,64.321,65.963,66.913,70.125,72.512,75.264,78.863,83.542,85.256,87.489,89.66,93.149,95.304,98.382,100,101.255,102.283,105.271,106.549,108.032,110.76
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",36.036,37.714,40.585,42.988,44.543,45.592,47.872,50.334,52.613,55.63,57.108,58.442,60.123,60.538,60.798,60.747,62.063,63.616,65.472,67.264,67.608,68.847,69.438,70.441,71.103,71.369,71.634,72.817,75.903,78.513,80.165,82.041,84.987,88.722,89.221,91.771,94.863,95.928,98.034,98.117,100,101.402,103.143,104.847,105.899,107.167,110.611
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRA3",24.664,25.19,26.299,28.147,29.92,29.852,30.523,32.292,33.856,35.698,36.746,36.73,37.521,38.06,40.56,43.042,45.568,47.693,49.584,51.763,53.419,54.665,54.787,57.156,59.306,61.767,63.838,66.276,69.089,73.159,77.254,81.574,83.932,86.3,89.15,92.839,96.229,99.425,101.828,101.785,100,101.967,104.698,106.604,108.45,111.716,115.51
"34","26","  Energy goods and services \5\","DNRGRA3",61.265,63.709,65.738,69.125,72.345,68.832,71.204,74.536,76.725,78.792,77.596,73.872,72.798,73.201,74.992,76.328,78.054,79.719,81.841,85.042,86.601,85.06,85.861,87.469,90.64,91.946,93.188,95.392,95.991,98.424,100.072,100.079,99.29,100.898,101.946,102.861,103.656,102.283,103.018,99.336,100,100.876,98.484,96.504,98.653,99.348,101.648
"35","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.068,56.315,57.851,58.845,58.604,60.52,62.387,64.704,66.643,69.013,71.672,75.306,79.366,83.175,85.333,87.639,90.385,93.834,97.149,99.886,102.21,101.639,100,102.005,104.494,106.342,108.207,111.141,114.677
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.771,52.998,54.587,55.65,55.343,57.483,59.399,61.77,63.875,66.392,69.325,73.237,77.45,81.588,83.983,86.505,89.392,93.106,96.547,99.543,102.078,101.824,100,102.069,105.082,107.436,109.373,112.741,116.752
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Food consists of food and beverages purchased for off-premises consumption; food services, which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","6. Market-based PCE is a supplemental measure that is based on household expenditures for which there",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","are observable price measures.It excludes most imputed transactions (for example, financial services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","furnished without payment) and the final consumption expenditures of nonprofit institutions serving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
