"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","  Other","W578RC1",5.5,5.8,6.7,7.9,9.5,11.7,14.3,15.4,16.9,18.5,20.1,22.7,24.2,25,27.1,29.6,31.9,34.9,38.5,39.5,43.4,47.2,49.3,53.6,55.4,58,59.7,62.7,66.5,73.1,79.1,86.3,92.1,99.7,98.9,100.9,109.5,115.6,118.9,122.4,126.5,125.9,123.4,123.6,124.3,126.8
"13","6","National defense","A824RC1",102.1,100.7,98,100.6,102,109.2,117,123.8,132.8,143,157.8,181,211.2,242.8,269.3,294.7,326,349.2,369.9,379.6,388.6,402.8,412,404.7,390.1,380.3,376,376.5,371.4,367.7,382.7,391.7,412.7,456.8,519.9,570.2,608.3,642.4,678.7,754.1,788.3,832.8,836.9,817.8,767.7,748.2
"14","7","Public order and safety","W579RC1",11,12.5,14.5,16.4,18.1,20.6,23.5,25.5,27.9,30.9,34.3,38.2,42.7,47.5,51.9,56.6,63.1,68.9,75,83,93.5,103.6,113,122.8,132.5,141.9,151.6,161.7,171.2,182.2,197.7,213.5,230.1,246.3,253.7,269.3,283.3,299.9,321,343.7,350.8,353.2,359,360.9,361.3,370.7
"15","8","  Police","W580RC1",5.4,6.1,7.1,8.1,9,10,11.4,12.2,13.3,14.5,15.8,17.3,19.2,21,22.9,24.7,27.1,29.1,31,33.9,37.4,40.7,44.1,48.4,52.7,55.9,59.4,64.1,68.2,72.6,78.2,83.9,90.5,99.9,105.9,114.6,120.6,127.7,137.4,149.3,153.6,157.4,161.8,164.4,165.8,170.6
"16","9","  Fire","W581RC1",2.3,2.6,3,3.3,3.5,3.9,4.4,4.8,5.1,5.6,6.1,6.7,7.5,8.3,8.9,9.6,10.4,11.4,12.3,12.9,14.4,15.6,16.6,18.4,18.9,19.9,20.8,22,23.1,24.3,26.3,28.6,30.4,33,34.6,36.9,39.4,42.6,45.8,49.1,50.8,51.1,52.2,52.5,53.2,54.5
"17","10","  Law courts","W582RC1",1.6,1.9,2.2,2.4,2.8,3.2,3.7,4,4.4,5,5.8,6.7,7.4,8.2,8.8,9.4,10.4,11.2,12.1,14,16,18,19.9,21.5,24.3,25.8,27.8,29.7,31.2,33.8,36.9,40,43.6,45.5,45,46.8,49.2,51.2,53.7,56.5,57.7,58.2,58.4,58.1,55.5,56.3
"18","11","  Prisons","W583RC1",1.6,1.9,2.2,2.5,2.8,3.4,4,4.5,5.1,5.8,6.6,7.5,8.5,10,11.4,13,15.1,17.2,19.5,22.2,25.6,29.3,32.4,34.4,36.6,40.3,43.5,45.8,48.7,51.4,56.3,61,65.6,67.9,68.2,71,74.1,78.4,84.1,88.8,88.7,86.5,86.6,85.9,86.9,89.3
"19","12","Economic affairs","W584RC1",43.4,46,49.8,52.7,55.3,63.1,70.8,73.7,79,90.5,100.7,114,126.8,129.8,137.8,141.8,155.5,164.4,166,165.7,178.5,195.2,202.6,214.1,221.3,228.6,234,240.4,251.4,258.3,278.4,298.5,314.1,331.2,342.1,352.6,367.2,389.6,418.2,442.4,457,476.3,464.3,469.1,467.9,479
"20","13","  Transportation","W589RC1",22.8,25,26.8,28,29.8,34.9,38.2,38.2,39.5,43.9,50.1,56,59.8,62.5,66.4,72.2,77.8,82.6,86.7,91.2,94.6,103.1,108,111.5,117.5,124.8,127.1,132.3,140.1,146.9,158.3,170.8,184.5,195.1,203.7,209,221,235.4,250.2,267.8,274.6,279.5,284.7,288.6,289.5,298.6
"21","14","    Highways","W590RC1",19.1,20.9,22.6,23.1,24.4,28.7,31.5,31.2,32.1,35.6,40.5,44.7,47.8,49.7,51.7,56.7,61.6,65.9,69.3,72.9,74.6,81,83.9,86.2,90.8,96.8,99.9,103.8,110.6,115.8,125.3,133.9,144.6,148.1,150.6,157.4,169.6,185.4,199.1,210.2,212.1,214.4,219.2,222.7,225.4,231.8
"22","15","    Air","W591RC1",1.5,1.9,2,2.2,2.3,2.6,2.7,2.8,2.9,3.3,3.7,4.2,4.3,4.3,5.3,5.7,6.4,7,7.5,8,8.8,9.8,11,12.2,12.9,12.6,11.7,12.6,13.3,14.4,15.3,16.5,18.3,23.3,26,25.5,25.6,25.4,26.4,28.9,30.6,31.6,31.1,30.6,29.2,29.7
"23","16","    Water","W592RC1",1.3,1.3,1.4,1.6,1.7,2,2.2,2.3,2.5,2.9,3.5,4,4.3,4.5,5.2,5.4,5.5,5.3,5.5,5.9,6,6.4,7,7,7.1,7.3,7.2,7.5,7.4,8.2,8.5,10.5,10.9,9.8,11.6,10.7,11.5,11.9,11.7,13.7,14.4,15.8,16.3,16.5,16,16.2
"24","17","    Transit and railroad","W593RC1",0.8,0.8,0.8,1.2,1.3,1.5,1.7,1.9,2,2.2,2.4,3,3.5,4,4.3,4.4,4.3,4.4,4.4,4.5,5.1,5.8,6.1,6.1,6.6,8.1,8.3,8.4,8.7,8.5,9.2,10,10.7,13.8,15.5,15.4,14.3,12.6,13,15.1,17.5,17.7,18.1,18.8,19,20.9
"25","18","  Space","W595RC1",7.1,6.9,7,6.9,6.7,7.3,7.8,7.9,8.1,8.2,8.8,10.1,11.1,11.7,12.7,13.1,13.9,13.8,14.9,16.8,19.6,22.4,23.8,24,24.3,23.6,23.8,24.7,25,24.3,24,24,24.5,26.1,26.7,27.8,28.1,27.9,29.9,31.6,32.1,32.1,30.7,30.8,30.5,31.5
"26","19","  Other economic affairs","W596RC1",13.5,14.1,16,17.8,18.8,20.9,24.8,27.6,31.4,38.3,41.8,47.9,55.8,55.6,58.7,56.4,63.7,67.9,64.4,57.6,64.3,69.7,70.8,78.6,79.6,80.2,83,83.4,86.3,87.1,96.1,103.7,105.1,110.1,111.7,115.8,118.1,126.3,138.1,142.9,150.3,164.8,148.9,149.7,147.9,148.9
"27","20","    General economic and labor affairs","W585RC1",3.4,3.8,4.7,5.3,5.8,5.2,5.6,6.4,7.4,8.4,9.4,11.1,11.2,11.2,10.9,11.4,12.6,13.2,14.3,15,17.5,21.5,18.5,20.8,21.6,21.9,23,24.1,24.8,25.8,27.9,32.2,31.1,30,29.9,31.5,32.9,33.5,36,38.5,44.1,46.2,41.4,42,41.8,41.5
"28","21","    Agriculture","W586RC1",3.3,2.5,2.7,2.7,2.8,3.1,4.2,4.3,4.6,5.4,5.8,8,8.2,10.7,12.7,9.4,13.5,18.4,13.1,5.8,10.1,9.7,11.7,13,12.1,11.6,11.2,11.3,13.2,12.5,14.7,15.3,16.8,16.7,15.8,15.6,15.3,17.8,16.4,16.7,15.8,19.6,16.5,16.5,15.9,16
"29","22","    Energy","W587RC1",3.5,3.9,4.2,4.7,5,6.6,8,9.5,11.8,16,16.6,17.6,23.8,20.6,20.7,20.6,21.3,19.8,19.1,18.6,18,18.4,18.7,22.2,24,22.4,24,21.1,20.9,19.6,22.4,22.1,22.3,25.7,29.5,29.3,27.7,30,35,37.8,39.7,45.6,37.7,39.4,40.5,40.1
"30","23","    Natural resources","W588RC1",3,3.6,4,4.4,4.5,5.2,6.2,6.4,6.8,7.7,9.1,10.2,11.5,11.9,13.1,13.4,14.5,14.6,15.2,15.9,16.5,17.3,18.5,19.3,19.2,21.6,21.9,23.2,23.3,24.7,25.9,29.1,30.5,34.3,33.5,35.7,37.9,40.4,46,45.5,46.5,49.7,49.8,48.6,46.7,47.9
"31","24","    Postal service","W594RC1",0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,1,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.5,2.5,2.7,3.3,3.9,4.2,4.8,4.5,3.9,2.8,2.6,3.1,3.7,4,4,3.5,3.3,3,2.7,2.4,2.4,2.7
"32","25","    Other","W684RC1",0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7
"33","26","Housing and community services","W597RC1",5.2,5.6,6.3,6.4,7.2,8.5,9.7,10.1,10,11.9,13.1,15.7,15.7,15.3,14.8,16.4,17.8,20.1,22.1,23.2,24.3,26.6,27.7,28.1,27.9,26.6,27.6,30,31.4,32,34.2,33.1,37.9,41.9,44,45.8,49.2,57.3,59.5,61.5,60.5,63.8,58.8,54.6,54.3,55
"34","27","Health","W598RC1",10.8,12.6,14.3,16.2,18.1,20.8,23.6,24.7,26.7,29.6,31.6,36.3,38.9,40.3,42.6,46.4,49.8,52,55.8,60.9,66,71.8,76.3,79,81,84.2,86,87.7,89.2,93.3,101.1,109.7,116,127,139.4,146.4,158.8,163.4,179.7,197.7,205.2,214.3,222.6,228.2,229.4,238.9
"35","28","Recreation and culture","W599RC1",2.3,2.6,2.9,3.1,3.4,4.2,5,5.1,5.4,6,6.6,7.1,7.5,8,8.3,8.9,9.9,10.7,11.3,12.1,13.5,15,15.9,16.7,17.1,18.1,19.4,20.7,22.4,23.7,25,28.1,30.6,33,32.9,34.4,36.6,37.9,40.9,43.2,43.3,42.9,41.1,40.2,40.2,41.6
"36","29","Education","W600RC1",48.4,54.6,61,66.8,72.9,81.2,92.3,98.8,105.1,112.9,124.2,135.2,145.5,154.9,163.9,178.1,194.1,210.9,226.1,244.5,269,292.7,311.3,329.3,343.3,362.4,387.9,408.4,434.1,460.3,495.3,536,574.1,592.9,616.6,652.3,685.6,727.5,775.6,816.3,827.8,830.4,831.8,833.3,837.9,855.1
"37","30","  Elementary and secondary","W601RC1",37.1,41.2,46.1,50.3,54.5,60.8,69.4,74.4,79.3,85.4,94.2,102.1,108.8,115.8,123.4,134.6,146.3,159.8,172.6,186.7,205,223.7,238.9,253.6,262.6,276,296.8,314.1,334.6,355.2,382.9,412.9,439.1,459.3,483,509.2,535.8,570.2,602.8,630.6,637.2,636.8,632,628.6,629.6,637.2
"38","31","  Higher","W602RC1",8.6,10.2,11.3,12.5,14.3,15.9,17.5,18.8,20,21.4,23.4,25.9,29,31.1,32.2,34.5,38.1,40.7,42.4,45.8,50.8,54.9,57.7,60.3,64.6,69.2,72.7,74.9,79.3,83.8,89.6,98.1,107.5,105.1,104.8,113.2,118.5,125.5,139.8,151.1,154.9,157.1,163.5,171.9,175.6,184.6
"39","32","  Libraries and other","W682RC1",2.7,3.2,3.6,4,4.2,4.6,5.4,5.6,5.8,6.1,6.6,7.1,7.7,7.9,8.3,9.1,9.7,10.4,11.1,12,13.2,14.1,14.7,15.3,16,17.2,18.3,19.4,20.2,21.2,22.7,25,27.4,28.4,28.8,29.8,31.3,31.8,33.1,34.6,35.8,36.5,36.3,32.7,32.7,33.4
"40","33","    Libraries","W603RC1",0.7,0.8,0.8,0.9,1,1.1,1.3,1.3,1.4,1.5,1.7,1.9,2,2.2,2.4,2.6,2.9,3.2,3.5,3.8,4.1,4.5,4.9,5.1,5.2,5.5,5.9,6.3,6.8,7,7.5,8,8.7,9.3,9.6,10.4,11,11.5,12.2,12.9,13.2,12.8,12.6,12.6,12.6,12.8
"41","34","    Other","W604RC1",2,2.4,2.8,3.1,3.2,3.4,4.1,4.2,4.4,4.6,4.9,5.3,5.7,5.7,5.9,6.4,6.8,7.1,7.6,8.2,9.1,9.6,9.8,10.2,10.8,11.7,12.5,13,13.4,14.2,15.3,17,18.8,19.2,19.2,19.5,20.3,20.3,20.9,21.7,22.6,23.7,23.8,20.1,20.1,20.5
"42","35","Income security","W605RC1",3.5,4.2,4.9,6,6.8,8.5,9.3,10.5,12.1,13.1,14.3,15.9,16.8,17.5,19.3,20.8,22.2,23,24.3,26,28.9,32.3,35.4,39.7,41.5,45.3,47.3,48.4,51.6,56.1,60,64.9,71.1,79.6,81.6,81.9,87.8,96.9,91,92.8,94.8,96.2,92.8,92.3,95.5,98.3
"43","36","  Disability","W606RC1",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.7,0.7,0.9,1,1.1,1.2,0.9,1.2,1.1,1.3,1.5,1.8,2.1,2.1,2.5,2.8,2.9,3.1,3.5,3.2,3.3,3.6,4.8,5.1,5,5.3,5.5,5.2,4.8,4.6,4.2,4,3.8,4.3,4.3
"44","37","  Retirement \1\","W607RC1",0.5,0.5,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1,1.2,1.1,1.1,1,1,1,1,1,0.9,1,1.1,1.1,1,1.1,0.9,1,1.3,0.7,1.3,1.2,1.7,2,1.9,2.1,2.5,2.6,2.6,3,3,2.6,3.1,2.9,3.2
"45","38","  Welfare and social services","W608RC1",2.8,3.3,4,4.8,5.5,6.9,7.7,8.8,10.1,11,12.1,13.3,14.2,14.7,16.4,17.8,19.2,20.3,21.4,23.1,25.8,29,31.6,34.5,36.6,39.4,41.3,42.3,45.2,48.9,53.6,57.9,63.4,69.8,70.5,70.8,73.3,74.5,76.1,79.5,81.8,84,81,80.5,82.4,85
"46","39","  Unemployment","W609RC1",0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.3,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0.1
"47","40","  Other","W610RC1",0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.3,2,2.2,2.2,2.3,2.4,2.3,2.6,2.9,3.7,3.9,7,14.3,6.8,5.7,5.3,4.7,5,4.8,5.8,5.7
"48","41","      Federal","A823RC1",131.1,132.7,134.4,141.5,145.6,158.1,172.8,183.8,198.8,216.7,237.7,272.4,311.7,345.6,380.2,407.6,449.3,478.4,500.2,508.8,531.4,560,580.7,586.6,578.4,572.7,575.4,578.2,582.4,584.1,610.4,632.4,669.2,740.6,824.8,892.4,946.3,1002,1049.8,1155.6,1217.7,1303.9,1303.5,1292.5,1230.6,1219.9
"49","42","General public service","W611RC1",3.7,4.7,5.9,6.5,6.9,8.4,9.1,9.6,10.2,10.4,11.7,12.8,12.7,14.2,13.7,13.9,16.2,17.2,18.1,17.9,18.6,21.8,24,24.5,21.9,21.8,24.7,21.3,24.1,23.1,24.9,23.6,28.8,33,35.2,43.6,45.6,47.8,51.1,56.6,61.8,66.5,67.4,67.8,64,63.1
"50","43","  Executive and legislative","W612RC1",2,2.5,3.2,3.6,3.9,5,5.2,5.3,5.6,6,7.4,8.4,8.2,9,7.5,8.2,9,8.9,9.6,8.6,8.6,11,11.3,11.2,12.1,12.1,14.5,11.8,13.4,13.2,13.4,14,15.4,20.8,23.5,31.6,33.3,34.3,37,40.9,46.5,49.3,52.9,51.9,47.9,49.6
"51","44","  Tax collection and financial management","W613RC1",1.7,2.1,2.6,2.9,3,3.4,3.9,4.3,4.6,4.4,4.3,4.4,4.5,5.2,6.2,5.6,7.2,8.3,8.4,9.4,10,10.8,12.7,13.3,9.8,9.8,10.2,9.6,10.7,9.8,11.5,9.5,13.4,12.2,11.7,12,12.4,13.5,14.1,15.7,15.3,17.1,14.5,15.9,16.1,13.5
"52","45","  Other \2\","W614RC1",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","National defense","A824RC1",102.1,100.7,98,100.6,102,109.2,117,123.8,132.8,143,157.8,181,211.2,242.8,269.3,294.7,326,349.2,369.9,379.6,388.6,402.8,412,404.7,390.1,380.3,376,376.5,371.4,367.7,382.7,391.7,412.7,456.8,519.9,570.2,608.3,642.4,678.7,754.1,788.3,832.8,836.9,817.8,767.7,748.2
"54","47","Public order and safety","W615RC1",0.7,0.9,1,1.3,1.5,1.7,2,2.3,2.5,2.8,3.1,3.4,3.5,3.7,4.3,4.9,5.3,5.8,6.4,7.9,8.8,9.4,11.1,12.4,15.6,16.1,16.8,18.9,19.9,21,23,26,27.9,33.3,35.9,38.9,41.1,44.2,47,53.9,57.4,58.9,61.2,61.7,57.1,58.7
"55","48","  Police","W616RC1",0.4,0.5,0.7,0.9,1,1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.3,2.7,3,3.1,3.4,4.2,4.5,4.7,5,5.8,8.1,8.1,7.8,9,10.1,10.8,11.5,13.2,13.9,18.6,22,25.4,27,28.9,31.3,37.1,39.6,40.4,42.4,42.8,40.5,41.9
"56","49","  Fire","W617RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.4,0.8,0.3,0.2,0.9,0.6,0.9,1.2,1.1,1.1,1,1,0.9
"57","50","  Law courts","W618RC1",0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8,1,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.2,2.6,2.9,3.3,3.9,4.3,4.8,5,5.6,6.1,6.1,6.7,7.3,7.9,8.7,8.7,7.6,7.6,8.1,8.5,8.9,9.2,9.7,10.4,10.4,10.5,8.2,8.3
"58","51","  Prisons","W619RC1",0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.6,0.8,0.8,1.1,1.3,1.4,2.1,2.3,2.7,3,3.4,3.6,3.6,3.4,4.1,4.7,5.1,5.5,5.5,5.7,5.8,6,6.2,6.8,6.9,7,7.3,7.4,7.4,7.6
"59","52","Economic affairs","W620RC1",18.2,18.8,20.7,22.2,22.8,24.7,28.7,30.7,34.3,39.9,43.2,49.8,57.2,57.3,62.4,60.6,66.7,69.9,67.6,62.6,71.4,78.9,82,89.2,90.7,91.2,92.1,93.7,95.8,96.1,101.5,106.2,106.2,114.3,119.1,122.4,124.3,130.2,137.5,145.1,152.9,173.7,160.1,162.3,156.5,157.5
"60","53","  Transportation","W625RC1",2.4,2.9,3.3,3.7,4,4.4,4.7,4.9,5.4,6,6.7,7.4,7.8,8.1,9.4,10,10.5,10.5,10.7,11.3,11.9,12.8,14.5,15.3,16.2,17.5,16.5,17.2,17.5,18.5,18.5,19,20.6,24.8,29.1,28.4,29.8,31.5,31.4,34.9,35.9,38.9,40.9,41.7,39.4,40
"61","54","    Highways","W626RC1",0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.7,1.6,1.8,1.4,1.3,1.5,1.5,1.4,1.5,1.6,2,2,2.1,2.5,2.6,2.8,2.8,2.7,3.1,3.3,3.5,3.1,2.9
"62","55","    Air","W627RC1",1,1.3,1.5,1.6,1.7,1.9,2,2.1,2.3,2.5,2.6,2.9,3,3,3.8,4,4.6,4.9,5,5.4,5.9,6.4,7.2,7.7,8.1,8.5,8.4,8.8,8.8,9.2,9.4,9.4,10.5,15,17.5,16.6,17,18.1,18.1,19.8,20.4,21.4,22.3,22.9,21.8,21.8
"63","56","    Water","W628RC1",1,1.1,1.2,1.3,1.5,1.7,1.9,1.9,2.2,2.5,2.9,3.3,3.5,3.9,4.5,4.7,4.8,4.5,4.7,5,5.1,5.5,6.2,6.3,6.1,6.3,6.2,6.3,6.3,6.9,7.2,7.6,8,7.3,9.1,9.2,9.9,10.4,10,11.9,12.4,13.8,14.4,14.4,13.7,14.1
"64","57","    Transit and railroad","W629RC1",0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.5,0.6,0.7,0.7,0.8,0.7,0.6,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.4,0.6,0.4,0.9,0.7,0.8,1,0.8,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.6,0.9,0.9,0.9,1.1
"65","58","  Space","W631RC1",7.1,6.9,7,6.9,6.7,7.3,7.8,7.9,8.1,8.2,8.8,10.1,11.1,11.7,12.7,13.1,13.9,13.8,14.9,16.8,19.6,22.4,23.8,24,24.3,23.6,23.8,24.7,25,24.3,24,24,24.5,26.1,26.7,27.8,28.1,27.9,29.9,31.6,32.1,32.1,30.7,30.8,30.5,31.5
"66","59","  Other economic affairs","W632RC1",8.7,8.9,10.4,11.6,12.1,13.1,16.2,17.9,20.8,25.6,27.7,32.3,38.3,37.5,40.3,37.5,42.2,45.6,41.9,34.4,39.9,43.6,43.7,49.9,50.2,50.1,51.7,51.7,53.3,53.3,59,63.2,61.1,63.4,63.3,66.2,66.4,70.9,76.2,78.6,84.9,102.7,88.5,89.8,86.6,86
"67","60","    General economic and labor affairs","W621RC1",1.9,2,2.6,3,3.2,2.3,2.3,2.8,3.4,4,4.5,5.7,5.4,5.1,4.9,5.1,6,6,6.3,6.7,8.3,11.4,8,9.3,9.7,9.7,10.6,11.3,11.5,11.9,13,16.5,13.2,10.6,11.2,12.4,12.7,12.5,14.5,16,21.3,24.7,20.5,21.2,20.8,20
"68","61","    Agriculture","W622RC1",2.6,1.8,2,1.9,1.9,2.1,3,3,3.2,3.9,4.1,6.1,6.2,8.5,10.3,6.7,10.6,15.3,9.9,2.5,6.6,5.9,7.8,9,8,7.5,7,7,8.6,7.7,9.3,9.3,10.6,10.5,9.6,9.5,9.2,11.7,10.2,10.3,9.5,13.3,10.2,10.3,9.7,9.7
"69","62","    Energy","W623RC1",2.4,2.8,3,3.4,3.6,4.8,6.3,7.3,9.1,12,12.3,13,18.1,15.2,15.5,15.7,15.1,14,14.4,14,13.9,14.3,14.6,17.6,19.4,18.4,20,17.5,17.1,16.3,18.3,17.3,17.3,20.2,21.8,22.4,20.2,20.9,22.3,25.2,26,32.7,26,27.6,27.2,27.1
"70","63","    Natural resources","W624RC1",1.5,2,2.4,2.8,2.8,3.2,3.9,4,4.4,5.1,6.1,6.6,7.6,7.7,8.6,8.4,9,8.7,8.9,9.2,9.2,9.5,10.5,10.9,10.5,12,11.5,12.5,12.1,13.2,13.6,15.5,16.1,19.3,18.1,18.9,20.6,21.8,25.2,23.6,24.8,29,29.1,28.3,26.4,26.6
"71","64","    Postal service","W630RC1",0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,1,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.5,2.5,2.7,3.3,3.9,4.2,4.8,4.5,3.9,2.8,2.6,3.1,3.7,4,4,3.5,3.3,3,2.7,2.4,2.4,2.7
"72","65","Housing and community services","W633RC1",0.2,0.4,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.5,0.4,0.6,0.7,0.6,0.7,0.7,0.7,1,0.8,0.7,0.8,0.8,0.7,0.7,1.9,0.9,0.7,0.7,0.9,1.5,1.5,-0.1,0.7,1.1,1.3,0.8,1.5,1.2,1.5,1.9,1.8,2.1,2.5,2.4,2.3,2.3
