"","Table 1#10# Gross Domestic Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","      To persons","W270RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.4,134.6,147.1,171.5,185.5,198.9,197.1,212,228.9,239.8,241.2,259.7,272.7,280.4,299.2,314.7,337.6,363.6,400.1,428.8,471.7,518.1
"12","5","      To the rest of the world","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"13","6","  Supplements to wages and salaries","A038RC1",1,1,1,0.9,0.8,0.9,1,1.4,2.2,2.5,2.6,2.9,4.2,6,7,7.7,8.9,10.6,9.4,8.9,9.8,11.2,14.3,15.7,16.5,17.2,18.7,20.6,23,23.8,26.5,29,30.6,33.6,36.3,39,42.6,50,53.9,60.1,67.7
"14","7","Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9
"15","8","Less: Subsidies \1\","A107RC1",0,0.1,0.1,0.1,0.2,0.5,0.6,0.3,0.3,0.5,0.8,0.8,0.5,0.5,0.6,1,1.1,1.4,0.4,0.5,0.5,0.8,1,0.8,0.5,0.3,0.2,0.7,1.1,1.4,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5
"16","9","Net operating surplus","W271RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.5,131.3,137.5,150,159.7,172,190.9,205.1,207.8,221.7,228.1
"17","10","  Private enterprises","W260RC1",35.2,28.3,20.5,13.1,12.1,16.3,20.9,23.4,26.4,22.8,25.1,29.5,40.1,52.9,62.3,63.5,60.7,62.7,67.8,80.1,73.9,85,96.5,96.9,98.4,99.2,112.9,114.9,117.8,117.5,129.9,130.9,137.2,149.6,158.9,171.2,190.2,204.8,207.6,221.4,228.1
"18","11","    Net interest and miscellaneous payments, domestic industries","W272RC1",4,4.3,4.3,4.1,3.7,3.8,3.9,3.7,3.6,3.6,3.6,3.3,3.3,3.2,2.9,2.5,2.3,1.9,2.4,2.5,2.8,3.1,3.6,4,4.7,5.5,6.1,6.9,8.1,9.5,9.6,10.5,12.2,13.9,14.8,17,19.2,22,25.1,27.1,34.1
"19","12","    Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.8,1.2,1.2,1.2,0.9,1.3,1.7,1.8,1.7,1.7,1.7,1.9,2.1,2.5,3,3.5,3.4,3.6,4.2,4.8
"20","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14,10.9,8.3,5,5.3,7,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43,42,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77
"21","14","    Rental income of persons with capital consumption adjustment","A048RC1",6.1,5.4,4.4,3.6,2.9,2.5,2.6,2.7,3,3.5,3.7,3.8,4.4,5.5,6,6.3,6.6,6.9,6.9,7.5,7.8,8.8,9.7,10.8,12,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18,18.7,18.8,19.3,19.9,20.3,20.1,20.4
"22","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",10.6,7.4,3,-0.2,-0.2,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.3,20.4,24.5,24.5,20.1,17.6,23.2,30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8
"23","16","      Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40
"24","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",9.2,6.5,2.5,-0.5,-0.7,1.7,2.9,4.7,5.3,3.7,4.8,6.8,7.7,9,10.5,11.6,9.4,8.4,11.9,17.7,17.7,16.9,16.9,18.4,18.2,19.9,25.8,24.8,24.6,22.4,29.1,28.8,29.7,36.2,40.1,45.1,53.5,57.7,56.2,56.5,51.8
"25","18","        Net dividends","A449RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4
"26","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.7,0.8,1.2,3,3.5,5,6.2,7.3,5,3.3,6.3,11.5,11.3,9,9.5,10.9,10.5,12,16.9,15.4,14.8,12.5,18.4,17.4,18.2,23.8,26.5,30.1,36.6,39.9,37.9,36.3,31.4
"27","20","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.3,0.4,0.8,0.8,0.7,0.3,0.2,0.3,0
"28","21","Consumption of fixed capital","A262RC1",10.4,10.2,9.5,8.3,8,8.4,8.5,8.8,9.7,10,10.1,10.6,12.1,14.9,18,21.4,23.2,25.8,29.2,31.4,32.3,33.4,37.8,40.6,43.5,46,48.9,54.1,58.9,62.4,65.4,67.9,70.6,74.1,78,82.4,88,95.3,103.5,113.3,124.9
"29","22","  Private","A024RC1",9.4,9.2,8.6,7.5,7,7.3,7.3,7.5,8.4,8.6,8.6,9,10,11.2,11.5,12,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33,35,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4
"30","23","  Government","A264RC1",1,1,0.9,0.9,1,1.1,1.1,1.3,1.4,1.5,1.5,1.6,2.1,3.6,6.5,9.3,10.7,11.5,11.5,10.6,9.7,9.1,10,11.1,12.1,13,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.8,25.1,26.4,28.1,30.2,32.7,35.4
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Statistical discrepancy","A030RC1",0.7,-0.4,0.7,0.3,0.5,0.4,-0.2,1.2,-0.1,0.7,1.3,1.1,0.3,-0.9,-1.8,2.5,3.8,1.2,2.9,-0.3,1.7,1.2,3.4,2.6,3.8,2.9,2.1,-2.1,-0.4,0.6,0.1,-1.4,-1,-0.1,-1.5,0,0.8,5.1,3.4,3.2,1.6
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
