"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","4","  Employer contributions","A1580C1",22.1,23.1,25.6,30.2,38.7,43.5,45.4,52.7,59,68.8,79.5,85.8,100.4,106.6,116.8,135.7,144,153.5,161.1,178.5,186.6,198.4,205.9,218.1,228.6,242.7,253.1,264.6,280.4,298.7,315.4,337,347.9,353.9,366.5,389.4,408.9,430.3,446.5,457.3,445.4,457.5,482.1,502.2,515.1,534.7
"13","5","    Government","L313051",2.8,3.2,3.8,4.3,5,5.8,7,7.7,8,8.7,9.7,10.8,12.8,13.8,15.6,17.3,18.9,20.7,21.9,25.8,27.9,30.7,33.2,35.6,36.8,37.6,38.3,39.3,40.8,42.1,44.4,47.1,50,53.4,56.5,59.3,61.6,65.1,67.8,71.2,75.1,76.9,77.7,77.6,77.1,77.7
"14","6","    Other","L313061",19.3,19.8,21.8,26,33.7,37.7,38.4,45,50.9,60.1,69.8,75.1,87.7,92.8,101.2,118.4,125,132.8,139.1,152.7,158.7,167.7,172.7,182.5,191.8,205.1,214.8,225.3,239.6,256.5,271,289.9,297.9,300.4,310,330.1,347.3,365.2,378.7,386.1,370.4,380.5,404.5,424.6,438,456.9
"15","7","  From the rest of the world","W781RC1",0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,0.9,0.9,1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.7,1.7,2,2.1,2.1,2.2,2.5,2.7,2.8,3,3.1,3.3,3.6,3.7,3.8,3.9,4.4,4.7,4.6,4.7,4.8,5,4.9,4.4,4.6,5.2,5.1
"16","8","Interest received","L313071",2.5,3.7,3.4,3.6,4,4.6,4.7,4.5,4.5,4.9,5.2,5.9,6.8,6.7,6,9,11.7,12.7,15.2,20.4,28,34.8,39.3,43.5,45.8,48.3,53.3,56.7,62.7,65.9,77.9,88.6,98.1,106.3,106.9,109.8,115.8,126.3,133.7,139.9,139.4,137.2,131.7,124.2,116.1,111.1
"17","9","Other \1\","W798RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.6,114.3,2.6,NA
"18","10","    Current expenditures","A1670C1",40.1,48.2,56.8,62.5,72.7,85.5,109.1,120.4,129.6,138.3,155,185.3,214.1,247.1,266.9,272.5,288.7,306,318.1,336.1,363.3,394.5,435.3,482.1,508.5,529.1,559.6,589.2,613.2,625,640.2,672.9,733.2,796,832.3,867.5,920.7,1020.2,1085,1169.2,1343.3,1399,1414.3,1465.8,1500.5,1535.6
"19","11","Administrative expenses (consumption expenditures)","L313091",1.5,1.8,1.9,2.3,2.2,2.8,3.2,3.6,3.8,4.1,4.2,4.8,5.2,5.7,6.1,6.3,6.5,6.5,6.6,7.3,7.2,7.4,8.3,9,9.7,8.8,9.5,9.6,9.1,9.7,9.8,10.1,10.7,12,12.4,13.1,14.4,14.7,14.6,15.5,16.3,18.2,18.8,23,24,25.1
"20","12","Government social benefits","W026RC1",38.6,46.4,54.8,60.1,70.5,82.8,105.9,116.8,125.9,134.2,150.8,180.5,208.9,241.5,260.8,266.2,282.2,299.4,311.5,328.9,356,387.1,426.9,473,498.8,520.3,550.1,579.5,604,615.4,630.4,662.9,722.5,784,819.9,854.4,906.3,1005.5,1070.3,1153.7,1327,1380.8,1395.5,1442.8,1476.5,1510.6
"21","13","  To persons","A1588C1",38,45.7,54,59.2,69.4,81.6,104.5,114.9,124.1,132.3,148.7,178.1,206,238.5,257.7,263,278.6,295.6,307.8,324.9,351.7,382.3,421.4,467.5,493.2,514.1,544,572.8,597,607.9,622.9,654.9,713.7,775,810.4,844.3,895.7,993.7,1057.8,1140.3,1312.1,1365.2,1379.4,1425.9,1458.8,1492.3
"22","14","  To the rest of the world","W872RC1",0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.8,1.8,1.9,2.1,2.4,2.9,3,3.1,3.2,3.5,3.8,3.7,4,4.3,4.7,5.5,5.5,5.6,6.2,6.2,6.8,7,7.4,7.5,8,8.9,9,9.5,10.1,10.6,11.8,12.6,13.4,14.9,15.6,16.1,16.9,17.7,18.3
"23","15","    Net saving","B243RC1",5.7,1,-3,-0.6,5.9,3.2,-16.3,-16,-14.1,-4.7,0,-15.8,-14.3,-34.4,-37.9,-9.4,0.9,5.7,14.5,39.1,42.6,42.4,24.7,5.4,2.8,15.4,15.6,12.9,28.9,58.3,92.5,114.3,88.1,49.7,37.8,51.2,48.4,11.8,-4.1,-54.9,-253.1,-290.9,-271,-289.1,-288.4,-279.3
"24",NA,"          State and local"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","    Current receipts","A743RC1",1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.5,3.2,3.9,4.6,4.4,4.8,5.3,5.6,6.3,6.7,7.9,9.2,10.5,11.2,12.4,14.3,16.2,17.3,17.6,17.1,16.2,14.5,14.9,15.1,16.1,18.3,19.7,23.7,28.8,29,26.3,23.9,23,23.2,23.9,24.4,23.9,24.1,24.4
"26","17","Contributions for government social insurance","B104RC1",1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.4,9.8,10.8,13.7,15.8,19.9,24.7,24.6,21.5,18.9,18.7,18.6,18.1,18.2,18,18.6,18.9
"27","18","  Employee and self-employed contributions","B738RC1",0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.5,0.7,0.9,1,1.3,1.1,1.6,2,2.2,1.9,2,2.4,2.8,3,3.1,2.6,2.2,1.6,1.8,1.8,2.6,3.6,3.6,3.9,5.4,5.5,4.4,3.7,4.7,5.9,6.2,6.4,5.9,6.2,6.4
"28","19","  Employer contributions","A744RC1",0.7,0.8,0.8,0.9,1,1.2,1.4,1.7,2.2,2.7,3.1,3.1,3.2,3.2,3.1,3.3,3.8,4.4,5.2,6.2,7.1,8,9.2,10.3,11.1,11.5,11,10.2,9.2,8.6,8,8.2,10,12.2,16,19.3,19.2,17,15.2,14,12.7,11.9,11.8,12.1,12.4,12.5
"29","20","    Government","B739RC1",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.9,0.9,0.8,0.7,0.8,0.8,0.8,0.9,1.1,1.2,1.6,2.1,2.5,2.9,2.8,2.5,2.4,2.5,2.4,2.2,2.3,2.1,2.3,2.3,2.4,2.4,2.1,1.9,1.7,1.7,1.8,1.9,2.1,2.1
"30","21","    Other","B740RC1",0.6,0.6,0.7,0.7,0.9,1,1.1,1.3,1.7,2.1,2.3,2.3,2.3,2.3,2.3,2.6,3,3.6,4.4,5.2,6.1,6.8,7.6,8.2,8.7,8.6,8.2,7.8,6.8,6.1,5.6,6,7.7,10.1,13.7,17,16.8,14.7,13,12.2,11,10.2,10,10.2,10.3,10.4
"31","22","Interest received","B746RC1",0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,1,1.3,1.5,1.6,1.8,1.9,2,2.1,2.2,2.3,2.6,3.1,3.2,3.1,3.5,3.7,3.7,4.5,5.4,5.3,4.6,3.9,3.8,4.2,4.4,4.8,5,4.3,4.6,5.8,6.1,5.9,5.5,5.5
"32","23","    Current expenditures","A745RC1",1,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.8,3.1,3.5,4.1,4.4,4.9,5.4,6,7,8,8.8,10.4,11.9,13,13.1,13,13,13.3,13.3,13.2,13.4,14.1,15.7,18.3,20.5,21.5,21.8,21.7,21.2,21.3,21.1,20.7,19.9,19.8,20.1,20.1
"33","24","Administrative expenses (consumption expenditures)","B741RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.4,1.6,1.7,2,2.3,2.4,2.6,2.8,2.8,2.7,3,4.1,4.8,4.7,4.8,4.8,4.5,4.2,3.9,3.5,3.4,3.5,3.8,3.8
"34","25","Government social benefit payments to persons","B742RC1",0.9,0.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.5,2.8,3.2,3.7,4,4.4,4.9,5.5,6.4,7.2,7.9,9.2,10.5,11.5,11.4,11,10.7,11,10.7,10.4,10.6,11.4,12.7,14.2,15.7,16.8,17,16.9,16.7,17,17.2,17.2,16.6,16.2,16.3,16.4
"35","26","    Net saving","B118RC1",0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.4,3.2,7.3,7.2,4.6,2.7,1.7,2.2,3.2,4.4,4.2,4.1,4.2
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Beginning with 2011, includes government transfers to the Social Security trust fund to offset the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","reduction in contributions from employees and the self-employed during the payroll tax holiday which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","was established by the Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
