"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","3","  Contributions received by federal employee pension and insurance funds \1\","M318041",1.5,1.8,2,2.1,2.2,2.3,2.6,2.8,3,3.2,3.5,3.7,4,4.2,4.4,4.6,4.8,4.7,4.7,4.6,4.5,4.5,4.6,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.5,4.8,4.7,4.6,4.6,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.1,3.7,3.6,3.5
"12","4","  Capital transfers received \2\","M318051",3.5,3.6,3.7,5.4,4.9,5,4.6,5.2,7.3,5.2,5.3,6.3,6.7,7.8,5.9,5.8,6.3,6.8,7.3,7.3,8.6,11.3,11,11,12.4,15.1,14.6,17.1,19.7,23.9,27.6,28.8,28.2,26.4,21.7,24.7,24.6,27.7,25.8,28.6,23.3,18.3,7.3,13.9,18.8,19.2
"13","5","  Financial transactions","M318061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","6","  Other \3\","M318071",0.1,0.1,-0.1,0.3,0.2,0,0.2,0.3,0.3,0.1,0.1,0.1,0.5,0.8,-0.6,-0.5,0.5,1,0.1,0.6,0.5,0.4,0.3,0.4,0.2,0.3,0.3,1.3,1.3,3.1,4.1,5,4.7,5.8,5.8,6.8,7.4,7.7,7.7,8.5,8.4,8.9,9.4,10.6,10.2,15.3
"15","7","Less: Netting and grossing differences","M318081",-3.9,-3.7,-2.9,-4,-4.1,-3.1,-4.4,-6,-8.7,-8.9,-12.4,-14.1,-19.1,-29.8,-31.9,-36.4,-42.1,-46.1,-44.3,-48.6,-53.4,-50.5,-62.9,-63.1,-70.8,-70.1,-71.1,-73.3,-80.8,-78.4,-78.1,-83.6,-81.7,-91.7,-96,-103.8,-110.4,-124.3,-135.2,-214.7,-182.3,-262.4,-232.5,-189.4,-264.6,-257.4
"16","8","  Supplementary medical insurance premiums","M318091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.8,-26,-28.4,-32.1,-38.2,-45.1,-50.2,-54.2,-57,-60.7,-63.1,-64.5,-68.6,-72
"17","9","  Interest receipts","W704MC1",-2.5,-2.5,-2.7,-3,-3.1,-3,-3.3,-4.1,-4.7,-5.7,-7.1,-8.4,-11,-14.4,-15.3,-16.6,-17.6,-22.3,-17.3,-18.4,-16.7,-16.4,-22.3,-17.4,-15.1,-11.6,-11.7,-13.9,-12.1,-11.7,-12.4,-13.6,-11.4,-11.4,-11.3,-10,-10.2,-10.8,-12.1,-12.1,-29.2,-38.9,-41.9,-37.9,-114.5,-92.1
"18","10","  Current surplus of government enterprises","W705MC1",1.1,1.8,2.7,2.6,2.7,3.6,3.8,3.8,3.3,3.4,2.4,3.4,3.3,2,1.9,2.5,2.2,0.6,0.4,-0.4,-1.8,2.1,-0.9,-2.9,-5.2,-3.4,-5.5,-4.2,-6.2,-7.4,-7.6,-6.5,-1.9,-5.8,-6.8,-6.2,-0.8,-1.4,-2.5,-1,-1.1,1.6,7.1,7.8,11.8,9.8
"19","11","  Other \4\","M318111",-2.6,-3,-3,-3.6,-3.7,-3.7,-4.8,-5.7,-7.2,-6.6,-7.6,-9.1,-11.3,-13.5,-14.2,-17.4,-21.1,-18.6,-20.8,-21,-23.3,-24.7,-27.4,-29.5,-35.2,-37.3,-33.7,-35.1,-42.1,-38.6,-36.6,-41.6,-44.6,-48.6,-49.5,-55.4,-61.2,-66.9,-70.4,-147.4,-95,-164.5,-134.5,-94.9,-93.3,-103.1
"20","12","Plus: Timing differences","M318121",-1.2,-2.9,-0.2,0.3,2.5,1.3,-3.6,6.3,0.5,3.4,3.9,-4.9,-6.9,-8.4,7.4,7.5,-0.7,2.2,0,-0.5,3.6,2.6,2,-0.8,1.9,2.2,1.7,1.4,5.5,0.6,-4.2,-13.7,5.9,-18.8,23.8,28.3,33.1,12.6,-14.9,-62.3,0.4,-20.2,57.6,34.4,45.9,5.7
"21","13","  Taxes on corporate income","M318131",-2.4,-3.1,1.8,-0.9,0.8,0.2,-3.8,4.8,-0.8,1.4,1.6,-5.1,-4.2,-10.9,5.6,4.5,-0.3,2.3,2.4,-0.4,2.3,3.9,0.6,-3.1,4,-1.1,3,0.4,3,-3.6,0.2,-12.6,6.6,-16.3,27.2,27,30.6,14.6,-14.3,-55,2.4,17.8,43.6,25.6,27.6,-6.9
"22","14","  Federal and state unemployment insurance taxes","M318141",0,0,-0.1,0.5,0.4,0.1,-0.1,0.6,0.3,0.4,0.1,0.1,0.1,0.4,1.7,-0.1,0,0.6,-1.1,0.6,0.9,-0.2,0.2,0.6,0.2,0.7,0.1,-0.2,-0.3,-0.2,0.5,0.4,0,1,-0.5,-0.1,0.5,-0.4,-0.2,-1,0.3,1.7,-0.4,-8,0.4,-0.2
"23","15","  Withheld personal income tax and social security contributions","M318151",1.1,0.2,-1.7,0.8,1.2,1,0.2,1,0.9,1.6,2,-0.4,-3.1,2.6,0.2,4.3,0.9,1.1,0.8,0.1,0.7,0.7,0.4,0.8,-0.1,1,-0.5,2.3,1.9,1.4,1.9,0.9,0.2,-1.6,-2.4,2.3,3.5,1.8,0.6,-2.5,-5,-6,0.4,5,5.2,8.2
"24","16","  Excise taxes","M318161",0,0,-0.4,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,-0.1,-0.7,-0.2,-1.3,-1.2,-1.8,-2.1,-1.7,-0.8,-1.2,0.6,0,-3,1.4,-1.2,-1.2,0.8,3,-7.1,-2.7,-1.1,-2,-0.6,-1,-1.5,-3.2,-0.7,-3.7,2.1,-0.4,0.7,-0.3,2.4,2.8
"25","17","  Other","M318171",0.1,0.1,0.1,0.1,0.2,0.1,0.2,0,0.3,0.2,0.3,0.2,0.3,0.2,0,0,0,0,0,0.9,0.5,-0.7,0.2,0.9,0.8,0.3,0.3,0,0.1,0,0.2,0.3,0.2,0.1,0.2,0.1,0,-0.1,-0.3,-0.1,0.5,-33.2,13.2,12,10.4,1.9
"26","18","Equals: Federal government current receipts, NIPAs","M318181",185.4,189,185.5,205.1,231.6,262,274.3,303.9,355.5,405.7,473.2,519.1,603.6,626.4,630.1,697.5,763.7,804.4,885.9,943.9,1034.1,1068.2,1103.4,1136.6,1209.7,1311,1405.2,1504.9,1640.1,1769.4,1865.1,2056.5,2041,1889.3,1869.9,1976.1,2260.7,2503.9,2650.6,2635.1,2251.7,2373.7,2572.7,2645.6,3053,3246.6
"27",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","Budget outlays","M318191",184.5,196.6,211.4,231.9,246.5,268.4,324.6,365.6,401.9,450.8,493.2,579,660.5,728.4,795.9,841.8,936.9,989.9,1002.2,1062.6,1144,1251.8,1323.8,1380.8,1409.1,1461.9,1515.7,1560.5,1601.1,1652.5,1701.8,1789,1862.8,2010.9,2159.9,2292.8,2472,2655.1,2728.7,2982.5,3517.7,3457.1,3603.1,3537,3454.6,3506.1
"29","20","Less: Coverage differences","M318201",-1.9,-7.9,-18.2,-18.9,-25.4,-28.2,-20.1,-15.2,-13.2,-10.4,-9.4,-3.8,-8.3,-4,-12.4,-4,21.4,15.6,7.3,9.5,12.6,43.8,61.9,-18.8,-51.7,-44.4,-57.2,-48.1,-66.1,-49.1,-43.7,-35.6,-39.6,-10.6,4.3,8.2,27.7,33.9,-5.8,40,311.5,0.2,-24.2,63.8,5.4,-34.6
"30","21","  Federal employee pension and insurance fund transactions \1\","M318221",-15.1,-18.2,-22,-23.5,-24.2,-24.2,-23.2,-22.7,-24,-28.2,-29.5,-28.8,-27.7,-29.5,-29.5,-32.7,-54.7,-56.5,-55.7,-57,-59,-59.6,-61.6,-63.8,-62.9,-61.6,-61.7,-61.4,-61.8,-63.8,-65.5,-66.6,-67.8,-68.5,-76.5,-79.2,-82.9,-82.9,-82.7,-88.1,-75.5,-85.8,-97.6,-95,-91.9,-92.1
"31","22","    Interest accrued","M318231",-11.3,-14.6,-18,-19.4,-21.3,-23,-24.9,-26.8,-29.9,-35.8,-39.5,-42.3,-45.1,-48.8,-51.5,-55.3,-58.9,-63.2,-67.2,-71.5,-75.5,-79.8,-84.7,-88.8,-93.6,-96.6,-100.8,-104,-108.1,-112.4,-115.2,-117.7,-121.3,-122.3,-126.1,-131.7,-137.5,-142.5,-146.8,-154.1,-147.8,-153.8,-162.9,-165.1,-168.7,-175.1
"32","23","    Contributions accrued (employer)","M318241",-8.7,-9.3,-10.7,-11.8,-11.9,-12.1,-11.8,-11.8,-12.2,-12.8,-13,-13.6,-14.5,-15.7,-15.4,-16.4,-35.4,-35.9,-33.4,-33.7,-34.2,-33.9,-34.8,-34.8,-30.9,-29.4,-28.5,-27.3,-27.1,-27.2,-27.7,-28.5,-29.6,-32,-42.8,-44.2,-48.1,-49.3,-51.1,-54.5,-57,-64.6,-68.5,-68.8,-66.3,-65.4
"33","24","    Benefits paid","M318251",4.9,5.7,6.7,7.8,9,10.9,13.5,15.8,18,20.4,23,27,31.8,35,37.3,39,39.6,42.5,44.8,48.2,50.7,54,57.9,59.7,61.6,64.3,67.5,69.8,73.3,75.6,77.2,79.5,83.1,85.7,92.2,96.5,102.4,108.7,114.9,120.2,129.1,132.3,133.5,138.6,142.9,148.1
"34","25","    Administrative expenses","M318261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2
"35","26","  Financing disbursements from credit programs \5\","M318271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,1.3,-2.3,-4.3,-11.7,-20.7,-11,-15.4,-17.1,-23.3,-15.7,-6.9,4.2,5.7,16,-17.8,-33.3,-404.2,-157.4,-60.7,-98.8,-137.1,-108.9
"36","27","  Other differences in funds covered \6\","M318281",-2.2,-2.7,-3.6,-4.2,-6.2,-8.6,-15.7,-16.2,-17.2,-19.5,-22.6,-26.1,-34.5,-32.3,-28.2,-26.3,-8.6,-2.5,-1.6,-0.3,-0.3,-0.4,-0.3,0.1,-0.3,-0.4,0.5,0.4,0.9,1.6,3.1,2.8,4.5,4.8,8.1,3,5.6,6,6.2,6.7,6.8,7.8,7.5,8.3,7.8,7.9
"37","28","  Net investment \7\","M318291",6.2,3.7,0.5,-0.7,0.1,-0.5,0.8,3.8,5.4,6,9.9,11.7,14.1,16.7,21.5,27.1,37.4,41.1,44.8,35,28.7,27.2,21.6,14.8,8.3,-1.1,-3.3,-2.6,-9.7,-6.5,-4.1,-2.9,-1.5,12,24.4,30,34.3,36.2,38.7,44.8,50.7,52.9,45.5,26.4,5,-4.6
"38","29","  Capital transfers paid \8\","M318301",6.1,5.6,5.5,5.8,6.4,7.1,8.3,10,11.4,11.4,13.6,16.2,16.6,14.9,15.3,17,18.9,20.9,19,19.6,19.7,20.8,21.5,21.9,23.4,24.5,27.4,27.9,29.1,28.3,31.7,35.7,41.6,45.5,46.2,47.3,65.6,52.3,53.6,59.7,236.7,143.3,102.5,98.5,83.4,72.8
"39","30","  Financial transactions","M318311",3.2,3.6,2.4,3.5,1.1,4.8,11.4,10.9,12.3,20.5,20,25.1,30.7,28.6,15.5,13.6,29.5,14.1,1.6,11.8,23.2,55.8,80,9.3,-21.9,-4.1,-8.3,-0.2,7.9,8.2,7.5,12.5,7.9,10.7,9.4,2.9,0.8,7.5,10.3,61.5,514.6,40,-21.5,125,140.4,92.3
"40","31","    Loan disbursements less loan repayments and sales","M318321",3.2,3.6,2.4,3.2,1.2,4.8,11.7,10.8,12.6,21.2,20.1,25.6,29.4,26.6,19.4,15.5,25.9,12.5,-0.2,-0.1,12,5.4,12.7,4.4,4.8,0.4,11.8,12.8,21.3,13.5,20.2,12.7,17.2,16.7,14.9,12,7.2,16.1,18.7,37.2,322,144.6,16.8,124,154.5,133.1
"41","32","    Deposit insurance","B1069C1",0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.3,1.5,2.3,0.7,-3.8,-1.7,1.6,23.8,57.9,69.6,5.5,-22.8,-2,-14.8,-7.8,-9.8,-3.1,-3.2,-2.1,-0.8,0.7,0.9,0.2,0.5,1.2,0.8,22.5,33.8,29.4,1.2,5.1,-0.6,-4
"42","33","    Net purchases of foreign currency","M318341",0.3,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","34","    Other","M318351",-0.3,-0.3,-0.3,0.1,0,0,-0.3,0.1,-0.3,-0.6,-0.2,-0.5,0.4,0.7,-5.4,-4.1,2.9,5.4,3.5,10.2,-12.6,-7.5,-2.4,-0.5,-3.8,-2.5,-5.3,-5.2,-3.6,-2.2,-9.5,1.9,-8.5,-6.8,-6.4,-9.4,-6.9,-9.8,-9.2,1.9,158.8,-134.1,-39.5,-4.2,-13.5,-36.8
"44","35","  Net purchases of nonproduced assets","M318361",-0.1,-0.1,-0.7,0.2,-2.4,-6,-1.6,-1,-1.4,-0.9,-1.5,-2.4,-7.7,-2.2,-7.4,-3.4,-1.7,-1.9,-1.4,-0.1,-0.8,-1,0.1,0.2,0.2,0.1,-7.8,-1,-12.2,-6.2,-1.5,-0.6,-1.6,-0.1,-1,-0.6,-2.1,-1.8,-14.9,-11.9,-18.4,-1.2,-0.7,-1.3,-3.1,-2.7
"45","36","  Other \9\","M318391",0,0.1,-0.3,0,-0.1,-0.9,0,0.1,0.3,0.2,0.7,0.6,0.2,-0.2,0.4,0.7,0.6,0.6,0.6,0.5,1,0.9,0.5,-0.1,0.2,0.5,0.4,0.4,0.4,0.4,0.5,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.7,0.8,0.8,0.8,0.8
"46","37","Less: Netting and grossing differences","M318401",-3.9,-3.7,-2.9,-4,-4.1,-3.1,-4.4,-6,-8.7,-8.9,-12.4,-14.1,-19.1,-29.8,-31.9,-36.4,-42.1,-46.1,-44.3,-48.6,-53.4,-50.5,-62.9,-63.1,-70.8,-70.1,-71.1,-73.3,-80.8,-78.4,-78.1,-83.6,-81.7,-91.7,-96,-103.8,-110.4,-124.3,-135.2,-214.7,-182.3,-262.4,-232.5,-189.4,-264.6,-257.4
"47","38","  Supplementary medical insurance premiums","M318411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.8,-26,-28.4,-32.1,-38.2,-45.1,-50.2,-54.2,-57,-60.7,-63.1,-64.5,-68.6,-72
"48","39","  Interest receipts","W706MC1",-2.5,-2.5,-2.7,-3,-3.1,-3,-3.3,-4.1,-4.7,-5.7,-7.1,-8.4,-11,-14.4,-15.3,-16.6,-17.6,-22.3,-17.3,-18.4,-16.7,-16.4,-22.3,-17.4,-15.1,-11.6,-11.7,-13.9,-12.1,-11.7,-12.4,-13.6,-11.4,-11.4,-11.3,-10,-10.2,-10.8,-12.1,-12.1,-29.2,-38.9,-41.9,-37.9,-114.5,-92.1
"49","40","  Current surplus of government enterprises","W707MC1",1.1,1.8,2.7,2.6,2.7,3.6,3.8,3.8,3.3,3.4,2.4,3.4,3.3,2,1.9,2.5,2.2,0.6,0.4,-0.4,-1.8,2.1,-0.9,-2.9,-5.2,-3.4,-5.5,-4.2,-6.2,-7.4,-7.6,-6.5,-1.9,-5.8,-6.8,-6.2,-0.8,-1.4,-2.5,-1,-1.1,1.6,7.1,7.8,11.8,9.8
"50","41","  Other \4\","M318431",-2.6,-3,-3,-3.6,-3.7,-3.7,-4.8,-5.7,-7.2,-6.6,-7.6,-9.1,-11.3,-13.5,-14.2,-17.4,-21.1,-18.6,-20.8,-21,-23.3,-24.7,-27.4,-29.5,-35.2,-37.3,-33.7,-35.1,-42.1,-38.6,-36.6,-41.6,-44.6,-48.6,-49.5,-55.4,-61.2,-66.9,-70.4,-147.4,-95,-164.5,-134.5,-94.9,-93.3,-103.1
"51","42","Plus: Timing differences","M318441",-0.8,-0.2,-0.1,-0.6,2.9,-0.2,-0.6,1.1,1.9,1.6,3.1,-1.8,-1.1,-1.9,-0.3,3.4,0,-1.8,10.5,-0.1,-2.3,9.1,1.2,-2.2,2.9,-4.2,5.7,12.4,-4.1,-0.8,0.6,-11.5,7.9,-7,3,13.7,9.4,-7.1,13.6,12.4,-4.2,-3.5,-27.4,116.8,82.2,65.6
"52","43","  Purchases (increase in payables net of advances)","M318451",-1.3,-0.5,-0.4,-1.1,2.7,-1.1,-0.6,0.9,1.5,0.7,1.7,-1.9,-0.4,-2,-1.4,0.1,-0.9,0.1,5.8,3.8,-3.9,3.9,3.7,-1.5,2.2,0.4,4.6,7.4,-0.7,0.3,1.1,-2.7,0.4,-2.7,-1.1,-0.4,-2.7,1,5.7,-0.3,-2.2,-1.8,-1.3,7.7,4.8,4.1
"53","44","  Interest payments","M318461",0.1,0,0,-0.1,0,-0.1,0,-0.1,-0.2,-0.3,-0.5,-0.7,-0.9,-1.1,-0.8,-1.3,-1.2,-1.7,0.9,-1.6,-0.8,-1.3,-4.5,-1.5,1.5,1.3,0.1,0.6,-1.1,-1.5,-0.3,-1.5,0.2,-0.8,0,-1.3,-1.8,-2.5,3.6,-2.8,0.5,-2.4,-0.3,0.4,-0.5,-1.3
"54","45","  Current transfer payments","M318471",0.1,0.3,0.2,0.3,0.5,0.9,-0.4,0.3,0.6,0.7,1.6,0.6,0.4,0.6,0.5,3.1,0,0.1,2.6,-1.2,1.4,2.9,0.2,1.9,0.5,-3.8,-0.6,2.7,-1.2,-1.1,-1.9,-6.1,5,0.4,2.7,13.3,-4.7,9.8,3.7,13.1,1.7,2.6,-24.1,105.3,83.8,61.7
"55","46","  Other \10\","W708MC1",0.3,0,0.1,0.3,-0.3,0,0.4,0,0,0.5,0.4,0.1,-0.2,0.6,1.4,1.5,2.2,-0.3,1.3,-1,1.1,3.5,1.8,-1.2,-1.2,-2.2,1.7,1.6,-1.1,1.6,1.7,-1.4,2.4,-4,1.4,2,18.7,-15.3,0.5,2.4,-4.3,-1.8,-1.8,3.4,-5.9,1.1
"56","47","Equals: Federal government current expenditures, NIPAs","M318491",189.6,208,232.4,254.2,279,299.5,348.4,387.9,425.7,471.6,518.1,595,686.8,760.3,839.9,885.6,957.6,1018.5,1049.7,1101.6,1182.5,1267.6,1326,1460.4,1534.5,1572.3,1649.8,1694.3,1744,1779.2,1824.3,1896.6,1992,2106.2,2254.5,2402.2,2564.1,2738.3,2883.3,3169.6,3384.3,3715.8,3832.3,3779.4,3796,3863.6
"57",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","48","Budget surplus or deficit (-) (1-19)","M318501",3.2,-2.8,-23,-23.2,-14.3,-3.5,-43.6,-65.6,-45,-48.8,-27.3,-59,-57.9,-110.7,-195.4,-178.2,-203.2,-221.1,-148.4,-154.3,-153.3,-220.5,-269.5,-290.3,-254.6,-203.2,-164,-107.4,-21.9,69.3,125.6,236.2,128.2,-157.8,-377.6,-412.7,-318.3,-248.2,-160.7,-458.5,-1412.7,-1294.4,-1299.6,-1087,-679.5,-484.6
"59","49","Plus: Net investment (28)","M318291",6.2,3.7,0.5,-0.7,0.1,-0.5,0.8,3.8,5.4,6,9.9,11.7,14.1,16.7,21.5,27.1,37.4,41.1,44.8,35,28.7,27.2,21.6,14.8,8.3,-1.1,-3.3,-2.6,-9.7,-6.5,-4.1,-2.9,-1.5,12,24.4,30,34.3,36.2,38.7,44.8,50.7,52.9,45.5,26.4,5,-4.6
"60","50","Less: Net capital transfers received (4-29)","M318521",-2.6,-2,-1.8,-0.4,-1.4,-2.1,-3.7,-4.8,-4.1,-6.2,-8.2,-9.8,-9.9,-7.1,-9.3,-11.1,-12.7,-14.1,-11.7,-12.3,-11.1,-9.5,-10.6,-10.9,-11,-9.4,-12.8,-10.9,-9.4,-4.4,-4,-6.9,-13.3,-19.2,-24.5,-22.6,-41.1,-24.6,-27.7,-31.1,-213.4,-125.1,-95.2,-84.6,-64.6,-53.6
"61","51","Less: Federal employee retirement plans (3-21)","M318531",16.5,20,23.9,25.6,26.4,26.5,25.8,25.6,27,31.4,33,32.5,31.7,33.7,34,37.3,59.4,61.3,60.4,61.6,63.5,64.1,66.1,68.6,67.7,66.3,66.3,65.9,66.2,68.2,70,71.4,72.5,73.1,81.1,83.8,87.4,87.2,87,92.3,79.6,89.9,101.7,98.8,95.4,95.6
"62","52","Less: Other coverage differences (5+6-26-27-30-35-36)","M318541",-0.7,-0.8,2.2,0.8,7.8,10.6,6.1,6.6,6.2,-0.2,3.5,2.9,11.8,6.9,19,14.9,-19.3,-9.1,0.9,-11.2,-22.7,-54.9,-80,-7.9,20.7,6.4,19.8,13.3,25.1,10.2,9.9,6.8,16.6,5.5,-4.4,-3.2,-3.3,-20.6,23,-15.2,-91.1,119.1,84.1,-23.4,1.4,26
"63","53","Less: Timing differences (42-12)","M318551",0.5,2.7,0.1,-0.9,0.5,-1.6,3,-5.2,1.4,-1.9,-0.8,3.1,5.7,6.5,-7.7,-4.1,0.7,-4,10.5,0.4,-5.9,6.5,-0.8,-1.4,1.1,-6.4,4,11,-9.5,-1.4,4.8,2.2,2,11.8,-20.8,-14.6,-23.7,-19.7,28.5,74.8,-4.6,16.7,-85,82.4,36.2,59.9
"64","54","Equals: Federal government saving, national income and product accounts (18-47)","M318561",-4.2,-19,-46.9,-49.1,-47.4,-37.5,-74.1,-83.9,-70.2,-65.9,-44.8,-75.9,-83.2,-133.9,-209.8,-188.1,-193.9,-214.1,-163.7,-157.7,-148.5,-199.4,-222.6,-323.9,-324.8,-261.3,-244.6,-189.4,-103.9,-9.8,40.8,159.8,49,-216.9,-384.6,-426.1,-303.4,-234.3,-232.7,-534.5,-1132.5,-1342.1,-1259.6,-1133.7,-743,-617.1
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
