"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"56","38","  Welfare and social services","W608RC1","2,776.0","3,314.0","3,966.0","4,801.0","5,506.0","6,911.0","7,699.0","8,843.0","10,066.0","11,035.0","12,073.0","13,326.0","14,191.0","14,734.0","16,435.0","17,795.0","19,216.0","20,264.0","21,435.0","23,103.0","25,812.0","29,003.0","31,556.0","34,480.0","36,574.0","39,385.0","41,293.0","42,328.0","45,216.0","48,944.0","53,607.0","57,937.0","63,416.0","69,825.0","70,518.0","70,803.0","73,267.0","74,457.0","76,132.0","79,518.0","81,759.0","84,003.0","81,038.0","81,974.0","83,282.0"
"57","39","  Unemployment","W609RC1","35.0","54.0","45.0","58.0","40.0","42.0","35.0","51.0","45.0","56.0","51.0","52.0","53.0","52.0","46.0","69.0","95.0","97.0","37.0","24.0","183.0","129.0","135.0","146.0","154.0","87.0","113.0","134.0","126.0","108.0","55.0","107.0","359.0","330.0","195.0","294.0","131.0","244.0","260.0","243.0","119.0","222.0","169.0","219.0","211.0"
"58","40","  Other","W610RC1","73.0","151.0","96.0","137.0","304.0","423.0","363.0","368.0","577.0","495.0","593.0","858.0","757.0","685.0","699.0","726.0","722.0","684.0","688.0","785.0","686.0","736.0","907.0","1,944.0","1,564.0","2,283.0","2,000.0","2,189.0","2,151.0","2,327.0","2,364.0","2,283.0","2,639.0","2,949.0","3,696.0","3,880.0","7,032.0","14,307.0","6,811.0","5,651.0","5,343.0","4,724.0","5,027.0","4,813.0","5,787.0"
"59","41","      Federal","A823RC1","131,146.0","132,749.0","134,409.0","141,521.0","145,565.0","158,128.0","172,772.0","183,753.0","198,795.0","216,707.0","237,733.0","272,364.0","311,729.0","345,614.0","380,191.0","407,620.0","449,276.0","478,377.0","500,219.0","508,819.0","531,380.0","560,019.0","580,738.0","586,605.0","578,383.0","572,690.0","575,360.0","578,210.0","582,401.0","584,096.0","610,427.0","632,433.0","669,236.0","740,604.0","824,808.0","892,379.0","946,320.0","1,001,989.0","1,049,772.0","1,155,606.0","1,217,685.0","1,303,864.0","1,303,451.0","1,291,389.0","1,231,526.0"
"60","42","General public service","W611RC1","3,652.0","4,660.0","5,862.0","6,531.0","6,930.0","8,402.0","9,099.0","9,641.0","10,223.0","10,360.0","11,683.0","12,790.0","12,720.0","14,200.0","13,701.0","13,872.0","16,231.0","17,237.0","18,063.0","17,916.0","18,569.0","21,835.0","24,017.0","24,478.0","21,933.0","21,837.0","24,669.0","21,325.0","24,067.0","23,068.0","24,877.0","23,551.0","28,849.0","32,978.0","35,155.0","43,649.0","45,638.0","47,849.0","51,134.0","56,584.0","61,776.0","66,457.0","67,442.0","70,604.0","65,597.0"
"61","43","  Executive and legislative","W612RC1","1,998.0","2,535.0","3,243.0","3,605.0","3,885.0","4,953.0","5,153.0","5,300.0","5,623.0","5,954.0","7,385.0","8,425.0","8,229.0","8,999.0","7,535.0","8,233.0","8,999.0","8,929.0","9,617.0","8,556.0","8,606.0","11,032.0","11,289.0","11,187.0","12,117.0","12,062.0","14,471.0","11,750.0","13,397.0","13,242.0","13,392.0","14,032.0","15,439.0","20,803.0","23,504.0","31,627.0","33,276.0","34,327.0","37,007.0","40,913.0","46,471.0","49,336.0","52,927.0","54,589.0","49,292.0"
"62","44","  Tax collection and financial management","W613RC1","1,654.0","2,125.0","2,619.0","2,926.0","3,045.0","3,449.0","3,944.0","4,339.0","4,595.0","4,399.0","4,292.0","4,358.0","4,485.0","5,195.0","6,158.0","5,631.0","7,224.0","8,301.0","8,444.0","9,360.0","9,963.0","10,803.0","12,728.0","13,291.0","9,816.0","9,775.0","10,198.0","9,575.0","10,670.0","9,826.0","11,485.0","9,519.0","13,410.0","12,175.0","11,651.0","12,022.0","12,362.0","13,522.0","14,127.0","15,671.0","15,305.0","17,121.0","14,515.0","16,015.0","16,305.0"
"63","45","  Other \2\","W614RC1",".....",".....",".....","0.0","0.0","0.0","2.0","2.0","5.0","7.0","6.0","7.0","6.0","6.0","8.0","8.0","8.0","7.0","2.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"64","46","National defense","A824RC1","102,070.0","100,713.0","97,991.0","100,638.0","102,041.0","109,199.0","116,971.0","123,786.0","132,845.0","143,023.0","157,785.0","180,963.0","211,186.0","242,784.0","269,346.0","294,660.0","325,960.0","349,188.0","369,943.0","379,614.0","388,639.0","402,759.0","411,952.0","404,718.0","390,067.0","380,316.0","376,049.0","376,548.0","371,434.0","367,702.0","382,716.0","391,702.0","412,726.0","456,844.0","519,884.0","570,230.0","608,254.0","642,390.0","678,726.0","754,127.0","788,276.0","832,766.0","836,938.0","818,015.0","769,943.0"
"65","47","Public order and safety","W615RC1","718.0","863.0","1,029.0","1,329.0","1,515.0","1,732.0","2,040.0","2,309.0","2,510.0","2,774.0","3,104.0","3,398.0","3,510.0","3,686.0","4,314.0","4,889.0","5,342.0","5,771.0","6,447.0","7,923.0","8,799.0","9,431.0","11,130.0","12,415.0","15,575.0","16,086.0","16,807.0","18,874.0","19,888.0","21,042.0","22,954.0","25,968.0","27,937.0","33,326.0","35,892.0","38,889.0","41,105.0","44,225.0","47,043.0","53,899.0","57,446.0","58,914.0","61,184.0","61,764.0","57,177.0"
"66","48","  Police","W616RC1","443.0","520.0","653.0","878.0","1,002.0","1,047.0","1,208.0","1,325.0","1,388.0","1,517.0","1,620.0","1,726.0","1,773.0","1,856.0","2,338.0","2,663.0","2,964.0","3,053.0","3,385.0","4,188.0","4,494.0","4,661.0","5,006.0","5,790.0","8,062.0","8,118.0","7,788.0","9,046.0","10,070.0","10,831.0","11,512.0","13,220.0","13,929.0","18,628.0","21,999.0","25,369.0","27,014.0","28,878.0","31,305.0","37,089.0","39,648.0","40,386.0","42,420.0","42,813.0","40,625.0"
"67","49","  Fire","W617RC1","0.0","0.0","0.0","0.0","0.0","0.0","6.0","9.0","17.0","14.0","35.0","49.0","21.0","20.0","33.0","31.0","37.0","34.0","27.0","42.0","40.0","51.0","74.0","38.0","9.0","26.0","87.0","106.0","101.0","83.0","49.0","108.0","207.0","448.0","840.0","283.0","244.0","852.0","619.0","855.0","1,185.0","1,100.0","1,085.0","1,031.0","924.0"
"68","50","  Law courts","W618RC1","184.0","220.0","262.0","306.0","340.0","407.0","522.0","648.0","731.0","835.0","1,001.0","1,169.0","1,268.0","1,310.0","1,422.0","1,598.0","1,782.0","1,909.0","2,188.0","2,590.0","2,934.0","3,299.0","3,944.0","4,281.0","4,814.0","4,962.0","5,556.0","6,136.0","6,091.0","6,689.0","7,296.0","7,949.0","8,696.0","8,733.0","7,550.0","7,580.0","8,094.0","8,493.0","8,885.0","9,185.0","9,719.0","10,413.0","10,418.0","10,491.0","8,264.0"
"69","51","  Prisons","W619RC1","91.0","123.0","114.0","145.0","173.0","278.0","304.0","327.0","374.0","408.0","448.0","454.0","448.0","500.0","521.0","597.0","559.0","775.0","847.0","1,103.0","1,331.0","1,420.0","2,106.0","2,306.0","2,690.0","2,980.0","3,376.0","3,586.0","3,626.0","3,439.0","4,097.0","4,691.0","5,105.0","5,517.0","5,503.0","5,657.0","5,753.0","6,002.0","6,234.0","6,770.0","6,894.0","7,015.0","7,261.0","7,429.0","7,364.0"
"70","52","Economic affairs","W620RC1","18,199.0","18,751.0","20,650.0","22,209.0","22,799.0","24,714.0","28,696.0","30,719.0","34,338.0","39,888.0","43,203.0","49,766.0","57,204.0","57,282.0","62,401.0","60,587.0","66,660.0","69,850.0","67,604.0","62,602.0","71,409.0","78,889.0","82,006.0","89,238.0","90,676.0","91,208.0","92,114.0","93,691.0","95,789.0","96,093.0","101,485.0","106,213.0","106,240.0","114,273.0","119,133.0","122,385.0","124,315.0","130,239.0","137,481.0","145,148.0","152,921.0","173,681.0","160,126.0","159,798.0","154,639.0"
"71","53","  Transportation","W625RC1","2,388.0","2,933.0","3,279.0","3,658.0","3,957.0","4,362.0","4,694.0","4,905.0","5,435.0","6,037.0","6,655.0","7,383.0","7,821.0","8,122.0","9,423.0","10,020.0","10,511.0","10,451.0","10,744.0","11,338.0","11,893.0","12,845.0","14,495.0","15,297.0","16,200.0","17,483.0","16,543.0","17,237.0","17,506.0","18,490.0","18,481.0","18,983.0","20,629.0","24,801.0","29,063.0","28,438.0","29,842.0","31,459.0","31,384.0","34,917.0","35,919.0","38,924.0","40,928.0","41,559.0","39,295.0"
"72","54","    Highways","W626RC1","223.0","319.0","320.0","372.0","368.0","421.0","453.0","469.0","448.0","474.0","501.0","526.0","569.0","525.0","491.0","581.0","562.0","572.0","607.0","546.0","498.0","610.0","693.0","732.0","1,606.0","1,773.0","1,350.0","1,333.0","1,468.0","1,482.0","1,414.0","1,477.0","1,576.0","1,967.0","1,984.0","2,149.0","2,482.0","2,608.0","2,838.0","2,815.0","2,699.0","3,123.0","3,297.0","3,457.0","3,039.0"
"73","55","    Air","W627RC1","989.0","1,292.0","1,474.0","1,598.0","1,733.0","1,879.0","2,012.0","2,147.0","2,307.0","2,473.0","2,556.0","2,859.0","2,954.0","2,969.0","3,777.0","4,017.0","4,575.0","4,865.0","4,990.0","5,381.0","5,938.0","6,370.0","7,154.0","7,695.0","8,090.0","8,512.0","8,355.0","8,776.0","8,762.0","9,215.0","9,383.0","9,354.0","10,456.0","15,046.0","17,486.0","16,630.0","16,964.0","18,063.0","18,090.0","19,846.0","20,420.0","21,396.0","22,326.0","22,833.0","21,853.0"
"74","56","    Water","W628RC1","1,009.0","1,097.0","1,200.0","1,349.0","1,483.0","1,749.0","1,882.0","1,941.0","2,183.0","2,472.0","2,914.0","3,285.0","3,526.0","3,881.0","4,522.0","4,746.0","4,800.0","4,529.0","4,732.0","5,042.0","5,128.0","5,549.0","6,235.0","6,265.0","6,125.0","6,315.0","6,163.0","6,280.0","6,278.0","6,948.0","7,197.0","7,634.0","8,007.0","7,258.0","9,101.0","9,164.0","9,916.0","10,360.0","9,974.0","11,852.0","12,381.0","13,783.0","14,421.0","14,358.0","13,487.0"
"75","57","    Transit and railroad","W629RC1","167.0","225.0","285.0","339.0","373.0","313.0","347.0","348.0","497.0","618.0","684.0","713.0","772.0","747.0","633.0","676.0","574.0","485.0","415.0","369.0","329.0","316.0","413.0","605.0","379.0","883.0","675.0","848.0","998.0","845.0","487.0","518.0","590.0","530.0","492.0","495.0","480.0","428.0","482.0","404.0","419.0","622.0","884.0","911.0","916.0"
"76","58","  Space","W631RC1","7,125.0","6,946.0","6,950.0","6,902.0","6,743.0","7,289.0","7,819.0","7,883.0","8,087.0","8,211.0","8,821.0","10,086.0","11,133.0","11,673.0","12,716.0","13,097.0","13,908.0","13,805.0","14,948.0","16,830.0","19,630.0","22,404.0","23,762.0","24,047.0","24,279.0","23,629.0","23,834.0","24,724.0","25,011.0","24,263.0","24,005.0","24,040.0","24,525.0","26,071.0","26,736.0","27,774.0","28,112.0","27,896.0","29,906.0","31,642.0","32,142.0","32,062.0","30,688.0","30,616.0","30,241.0"
"77","59","  Other economic affairs","W632RC1","8,686.0","8,872.0","10,421.0","11,649.0","12,099.0","13,063.0","16,183.0","17,931.0","20,816.0","25,640.0","27,727.0","32,297.0","38,250.0","37,487.0","40,262.0","37,470.0","42,241.0","45,594.0","41,912.0","34,434.0","39,886.0","43,640.0","43,749.0","49,894.0","50,197.0","50,096.0","51,737.0","51,730.0","53,272.0","53,340.0","58,999.0","63,190.0","61,086.0","63,401.0","63,334.0","66,173.0","66,361.0","70,884.0","76,191.0","78,589.0","84,860.0","102,695.0","88,510.0","87,623.0","85,103.0"
"78","60","    General economic and labor affairs","W621RC1","1,898.0","2,039.0","2,610.0","2,984.0","3,161.0","2,271.0","2,334.0","2,810.0","3,429.0","4,006.0","4,509.0","5,686.0","5,387.0","5,131.0","4,852.0","5,145.0","6,004.0","6,024.0","6,326.0","6,724.0","8,283.0","11,448.0","8,013.0","9,272.0","9,740.0","9,702.0","10,570.0","11,348.0","11,545.0","11,943.0","13,046.0","16,533.0","13,233.0","10,644.0","11,245.0","12,370.0","12,693.0","12,510.0","14,471.0","16,008.0","21,339.0","24,681.0","20,479.0","19,995.0","20,098.0"
"79","61","    Agriculture","W622RC1","2,600.0","1,762.0","1,950.0","1,858.0","1,923.0","2,066.0","2,965.0","3,008.0","3,239.0","3,872.0","4,103.0","6,111.0","6,155.0","8,457.0","10,253.0","6,723.0","10,648.0","15,321.0","9,923.0","2,523.0","6,582.0","5,894.0","7,762.0","8,950.0","8,032.0","7,452.0","6,995.0","7,007.0","8,628.0","7,680.0","9,255.0","9,263.0","10,564.0","10,472.0","9,606.0","9,493.0","9,213.0","11,684.0","10,214.0","10,313.0","9,473.0","13,281.0","10,212.0","10,129.0","9,419.0"
"80","62","    Energy","W623RC1","2,414.0","2,762.0","3,037.0","3,407.0","3,623.0","4,836.0","6,335.0","7,294.0","9,094.0","11,973.0","12,306.0","13,016.0","18,149.0","15,233.0","15,456.0","15,701.0","15,118.0","14,023.0","14,381.0","13,989.0","13,888.0","14,255.0","14,550.0","17,622.0","19,425.0","18,386.0","19,986.0","17,539.0","17,112.0","16,314.0","18,265.0","17,332.0","17,260.0","20,174.0","21,812.0","22,373.0","20,165.0","20,876.0","22,304.0","25,186.0","25,981.0","32,718.0","25,997.0","27,189.0","26,995.0"
"81","63","    Natural resources","W624RC1","1,503.0","2,037.0","2,444.0","2,811.0","2,798.0","3,241.0","3,947.0","4,021.0","4,443.0","5,124.0","6,073.0","6,648.0","7,607.0","7,669.0","8,577.0","8,390.0","9,014.0","8,690.0","8,896.0","9,222.0","9,169.0","9,536.0","10,471.0","10,948.0","10,479.0","12,023.0","11,503.0","12,499.0","12,128.0","13,203.0","13,591.0","15,528.0","16,093.0","19,301.0","18,117.0","18,865.0","20,556.0","21,777.0","25,192.0","23,570.0","24,798.0","28,994.0","29,090.0","27,889.0","26,242.0"
"82","64","    Postal service","W630RC1","271.0","272.0","380.0","589.0","594.0","649.0","602.0","798.0","611.0","665.0","736.0","836.0","952.0","997.0","1,124.0","1,511.0","1,457.0","1,536.0","2,386.0","1,976.0","1,964.0","2,507.0","2,953.0","3,102.0","2,521.0","2,533.0","2,683.0","3,337.0","3,859.0","4,200.0","4,842.0","4,534.0","3,936.0","2,810.0","2,554.0","3,072.0","3,734.0","4,037.0","4,010.0","3,512.0","3,269.0","3,021.0","2,732.0","2,421.0","2,349.0"
"83","65","Housing and community services","W633RC1","209.0","400.0","717.0","660.0","756.0","695.0","635.0","636.0","593.0","527.0","445.0","576.0","722.0","609.0","699.0","721.0","730.0","1,002.0","757.0","693.0","759.0","768.0","739.0","707.0","1,857.0","891.0","656.0","733.0","897.0","1,467.0","1,513.0","-138.0","745.0","1,082.0","1,283.0","838.0","1,537.0","1,176.0","1,508.0","1,921.0","1,779.0","2,144.0","2,476.0","2,346.0","2,253.0"
"84","66","Health","W634RC1","4,196.0","4,952.0","5,529.0","7,026.0","8,280.0","9,187.0","10,800.0","11,669.0","12,395.0","14,051.0","15,002.0","17,488.0","19,009.0","19,740.0","22,477.0","24,975.0","26,557.0","27,874.0","29,648.0","32,276.0","34,749.0","37,329.0","40,786.0","43,168.0","46,304.0","49,263.0","51,514.0","53,321.0","55,811.0","58,830.0","60,978.0","67,773.0","74,177.0","79,033.0","88,942.0","91,212.0","94,920.0","98,110.0","104,028.0","114,379.0","124,319.0","135,256.0","142,786.0","146,514.0","148,594.0"
"85","67","Recreation and culture","W635RC1","411.0","419.0","462.0","551.0","603.0","766.0","891.0","967.0","1,077.0","1,182.0","1,199.0","1,229.0","1,293.0","1,253.0","1,139.0","1,220.0","1,261.0","1,265.0","1,283.0","1,398.0","1,477.0","1,542.0","1,807.0","1,981.0","2,220.0","2,313.0","2,366.0","2,462.0","2,846.0","3,052.0","2,834.0","3,297.0","3,443.0","4,142.0","4,301.0","4,486.0","4,631.0","4,547.0","4,616.0","4,963.0","5,230.0","6,032.0","5,730.0","5,603.0","5,433.0"
"86","68","Education","W636RC1","726.0","899.0","992.0","990.0","1,027.0","853.0","1,094.0","1,080.0","1,146.0","1,176.0","1,289.0","1,460.0","1,650.0","1,643.0","1,851.0","2,130.0","2,053.0","2,159.0","2,270.0","2,289.0","2,490.0","2,666.0","3,029.0","3,105.0","3,340.0","3,848.0","4,194.0","4,408.0","4,423.0","4,778.0","5,249.0","5,667.0","6,474.0","7,074.0","7,131.0","7,274.0","7,868.0","7,228.0","7,084.0","7,335.0","7,779.0","8,005.0","8,743.0","8,801.0","8,655.0"
"87","69","  Elementary and secondary","W637RC1","33.0","21.0","82.0","93.0","86.0","217.0","282.0","303.0","325.0","300.0","330.0","397.0","353.0","352.0","380.0","435.0","357.0","351.0","446.0","429.0","496.0","562.0","573.0","436.0","526.0","514.0","477.0","484.0","445.0","609.0","724.0","625.0","593.0","877.0","1,417.0","1,459.0","1,742.0","1,539.0","1,346.0","1,250.0","1,507.0","1,194.0","1,378.0","1,174.0","1,029.0"
"88","70","  Higher","W638RC1","183.0","246.0","225.0","150.0","217.0","70.0","164.0","166.0","172.0","184.0","224.0","243.0","242.0","241.0","247.0","271.0","304.0","308.0","326.0","295.0","292.0","296.0","422.0","510.0","543.0","680.0","913.0","951.0","976.0","990.0","1,107.0","1,226.0","1,309.0","1,419.0","1,428.0","1,575.0","1,721.0","1,276.0","1,016.0","1,225.0","1,261.0","1,402.0","1,612.0","1,781.0","1,874.0"
"89","71","  Other","W639RC1","510.0","632.0","685.0","747.0","724.0","566.0","648.0","611.0","649.0","692.0","735.0","820.0","1,055.0","1,050.0","1,224.0","1,424.0","1,392.0","1,500.0","1,498.0","1,565.0","1,702.0","1,808.0","2,034.0","2,159.0","2,271.0","2,654.0","2,804.0","2,973.0","3,002.0","3,179.0","3,418.0","3,816.0","4,572.0","4,778.0","4,286.0","4,240.0","4,405.0","4,413.0","4,722.0","4,860.0","5,011.0","5,409.0","5,753.0","5,846.0","5,752.0"
"90","72","Income security","W640RC1","965.0","1,092.0","1,177.0","1,587.0","1,614.0","2,580.0","2,546.0","2,946.0","3,668.0","3,726.0","4,023.0","4,694.0","4,435.0","4,417.0","4,263.0","4,566.0","4,482.0","4,031.0","4,204.0","4,108.0","4,489.0","4,800.0","5,272.0","6,795.0","6,411.0","6,928.0","6,991.0","6,848.0","7,246.0","8,064.0","7,821.0","8,400.0","8,645.0","11,852.0","13,087.0","13,416.0","18,052.0","26,225.0","18,152.0","17,250.0","18,159.0","20,609.0","18,026.0","17,944.0","19,234.0"
"91","73","  Disability","W641RC1","95.0","107.0","151.0","201.0","135.0","228.0","247.0","248.0","350.0","292.0","341.0","354.0","383.0","453.0","585.0","645.0","650.0","368.0","489.0","324.0","371.0","375.0","415.0","510.0","384.0","455.0","511.0","466.0","526.0","637.0","409.0","598.0","570.0","681.0","337.0","322.0","450.0","696.0","693.0","599.0","723.0","713.0","654.0","683.0","739.0"
"92","74","  Retirement \1\","W642RC1","466.0","479.0","526.0","681.0","664.0","789.0","803.0","823.0","874.0","968.0","981.0","986.0","1,003.0","1,156.0","1,054.0","1,098.0","1,013.0","972.0","1,037.0","1,014.0","956.0","908.0","1,018.0","1,082.0","1,060.0","1,028.0","1,091.0","891.0","1,008.0","1,271.0","735.0","1,288.0","1,170.0","1,695.0","2,012.0","1,881.0","2,095.0","2,461.0","2,595.0","2,563.0","2,994.0","3,029.0","2,583.0","2,667.0","2,676.0"
"93","75","  Welfare and social services","W643RC1","296.0","301.0","359.0","510.0","471.0","1,098.0","1,098.0","1,456.0","1,822.0","1,915.0","2,057.0","2,444.0","2,239.0","2,071.0","1,879.0","2,028.0","2,002.0","1,910.0","1,953.0","1,961.0","2,293.0","2,652.0","2,797.0","3,113.0","3,249.0","3,075.0","3,276.0","3,168.0","3,435.0","3,721.0","4,258.0","4,124.0","3,907.0","6,197.0","6,847.0","7,039.0","8,344.0","8,517.0","7,793.0","8,194.0","8,980.0","11,921.0","9,593.0","9,562.0","9,821.0"
"94","76","  Unemployment","W644RC1","35.0","54.0","45.0","58.0","40.0","42.0","35.0","51.0","45.0","56.0","51.0","52.0","53.0","52.0","46.0","69.0","95.0","97.0","37.0","24.0","183.0","129.0","135.0","146.0","154.0","87.0","113.0","134.0","126.0","108.0","55.0","107.0","359.0","330.0","195.0","294.0","131.0","244.0","260.0","243.0","119.0","222.0","169.0","219.0","211.0"
"95","77","  Other","W645RC1","73.0","151.0","96.0","137.0","304.0","423.0","363.0","368.0","577.0","495.0","593.0","858.0","757.0","685.0","699.0","726.0","722.0","684.0","688.0","785.0","686.0","736.0","907.0","1,944.0","1,564.0","2,283.0","2,000.0","2,189.0","2,151.0","2,327.0","2,364.0","2,283.0","2,639.0","2,949.0","3,696.0","3,880.0","7,032.0","14,307.0","6,811.0","5,651.0","5,343.0","4,724.0","5,027.0","4,813.0","5,787.0"
"96","78","      State and local","A829RC1","109,255.0","121,447.0","134,922.0","146,724.0","160,800.0","184,985.0","210,165.0","222,071.0","236,964.0","260,680.0","287,804.0","318,483.0","343,005.0","364,407.0","385,553.0","417,549.0","459,154.0","496,090.0","530,541.0","569,349.0","620,539.0","678,342.0","717,425.0","758,766.0","787,678.0","831,050.0","876,802.0","918,239.0","971,758.0","1,029,418.0","1,115,611.0","1,201,995.0","1,289,529.0","1,354,333.0","1,396,041.0","1,465,023.0","1,547,370.0","1,640,205.0","1,752,155.0","1,847,585.0","1,871,406.0","1,870,162.0","1,865,292.0","1,877,766.0","1,912,383.0"
"97","79","General public service","W646RC1","10,002.0","10,699.0","11,860.0","13,511.0","15,571.0","18,648.0","22,663.0","23,962.0","26,518.0","29,076.0","31,280.0","34,677.0","37,076.0","39,838.0","44,189.0","47,528.0","53,753.0","58,104.0","62,142.0","65,192.0","70,989.0","76,505.0","80,144.0","86,501.0","89,509.0","94,534.0","97,679.0","101,418.0","107,354.0","116,962.0","126,714.0","135,386.0","143,206.0","153,385.0","155,434.0","160,869.0","171,246.0","179,429.0","186,067.0","194,932.0","199,599.0","197,740.0","193,935.0","194,246.0","199,148.0"
"98","80","  Executive and legislative","W647RC1","1,329.0","1,484.0","1,673.0","1,867.0","2,133.0","2,464.0","2,837.0","3,067.0","3,336.0","3,709.0","4,129.0","4,674.0","5,236.0","5,892.0","6,082.0","6,371.0","7,013.0","7,618.0","8,261.0","8,997.0","9,855.0","11,137.0","11,894.0","12,443.0","12,774.0","13,591.0","14,320.0","15,084.0","16,123.0","17,527.0","19,232.0","20,502.0","22,161.0","23,921.0","25,921.0","28,316.0","29,330.0","31,914.0","34,957.0","36,336.0","35,752.0","34,854.0","34,985.0","35,704.0","36,070.0"
"99","81","  Tax collection and financial management","W648RC1","3,144.0","3,441.0","3,490.0","3,742.0","3,901.0","4,496.0","5,559.0","5,491.0","6,297.0","6,874.0","7,095.0","7,343.0","7,666.0","8,975.0","10,976.0","11,539.0","14,876.0","15,592.0","15,377.0","16,715.0","17,722.0","18,119.0","18,920.0","20,427.0","21,385.0","22,935.0","23,626.0","23,631.0","24,766.0","26,340.0","28,384.0","28,607.0","28,944.0","29,806.0","30,664.0","31,641.0","32,390.0","31,898.0","32,200.0","36,152.0","37,378.0","36,988.0","35,598.0","35,537.0","37,549.0"
"100","82","  Other \3\","W649RC1","5,529.0","5,774.0","6,698.0","7,902.0","9,537.0","11,688.0","14,267.0","15,405.0","16,884.0","18,493.0","20,057.0","22,659.0","24,175.0","24,971.0","27,131.0","29,618.0","31,864.0","34,894.0","38,505.0","39,479.0","43,412.0","47,249.0","49,331.0","53,631.0","55,350.0","58,007.0","59,732.0","62,703.0","66,465.0","73,095.0","79,098.0","86,277.0","92,101.0","99,659.0","98,850.0","100,912.0","109,526.0","115,617.0","118,910.0","122,443.0","126,469.0","125,897.0","123,353.0","123,004.0","125,529.0"
"101","83","Public order and safety","W650RC1","10,281.0","11,654.0","13,421.0","15,028.0","16,553.0","18,823.0","21,509.0","23,208.0","25,412.0","28,139.0","31,229.0","34,824.0","39,179.0","43,777.0","47,604.0","51,755.0","57,728.0","63,126.0","68,527.0","75,096.0","84,662.0","94,195.0","101,875.0","110,349.0","116,918.0","125,802.0","134,752.0","142,819.0","151,324.0","161,142.0","174,782.0","187,520.0","202,162.0","212,960.0","217,838.0","230,391.0","242,186.0","255,668.0","273,984.0","289,781.0","293,304.0","294,265.0","297,803.0","303,664.0","315,987.0"
"102","84","  Police","W651RC1","4,987.0","5,599.0","6,467.0","7,260.0","7,964.0","8,991.0","10,211.0","10,854.0","11,869.0","12,997.0","14,225.0","15,591.0","17,430.0","19,170.0","20,525.0","21,996.0","24,166.0","26,006.0","27,617.0","29,714.0","32,863.0","36,013.0","39,084.0","42,643.0","44,644.0","47,771.0","51,617.0","55,053.0","58,179.0","61,725.0","66,688.0","70,726.0","76,585.0","81,299.0","83,924.0","89,245.0","93,586.0","98,870.0","106,130.0","112,212.0","113,931.0","117,012.0","119,417.0","122,699.0","128,598.0"
"103","85","  Fire","W652RC1","2,292.0","2,610.0","2,990.0","3,264.0","3,484.0","3,915.0","4,434.0","4,745.0","5,076.0","5,562.0","6,087.0","6,681.0","7,492.0","8,239.0","8,875.0","9,528.0","10,399.0","11,413.0","12,316.0","12,903.0","14,399.0","15,569.0","16,534.0","18,364.0","18,869.0","19,906.0","20,756.0","21,936.0","22,962.0","24,261.0","26,255.0","28,454.0","30,175.0","32,508.0","33,777.0","36,618.0","39,109.0","41,727.0","45,225.0","48,240.0","49,581.0","49,959.0","51,083.0","53,109.0","58,363.0"
"104","86","  Law courts","W653RC1","1,453.0","1,653.0","1,894.0","2,139.0","2,461.0","2,770.0","3,140.0","3,388.0","3,699.0","4,181.0","4,780.0","5,495.0","6,161.0","6,880.0","7,344.0","7,837.0","8,624.0","9,255.0","9,944.0","11,430.0","13,113.0","14,689.0","15,958.0","17,247.0","19,480.0","20,851.0","22,263.0","23,584.0","25,134.0","27,149.0","29,601.0","32,033.0","34,952.0","36,801.0","37,447.0","39,234.0","41,121.0","42,700.0","44,769.0","47,275.0","47,968.0","47,828.0","47,940.0","48,349.0","48,149.0"
"105","87","  Prisons","W654RC1","1,549.0","1,792.0","2,070.0","2,365.0","2,645.0","3,147.0","3,725.0","4,221.0","4,767.0","5,399.0","6,138.0","7,057.0","8,097.0","9,488.0","10,861.0","12,393.0","14,538.0","16,452.0","18,650.0","21,050.0","24,286.0","27,923.0","30,300.0","32,096.0","33,925.0","37,274.0","40,116.0","42,245.0","45,048.0","48,008.0","52,236.0","56,307.0","60,451.0","62,351.0","62,690.0","65,295.0","68,369.0","72,371.0","77,860.0","82,054.0","81,824.0","79,466.0","79,363.0","79,507.0","80,878.0"
"106","88","Economic affairs","W655RC1","25,180.0","27,292.0","29,135.0","30,510.0","32,525.0","38,381.0","42,121.0","42,967.0","44,663.0","50,571.0","57,511.0","64,232.0","69,559.0","72,469.0","75,447.0","81,165.0","88,814.0","94,508.0","98,411.0","103,097.0","107,100.0","116,359.0","120,548.0","124,894.0","130,624.0","137,435.0","141,884.0","146,662.0","155,586.0","162,171.0","176,956.0","192,267.0","207,838.0","216,906.0","222,968.0","230,167.0","242,911.0","259,365.0","280,709.0","297,207.0","304,056.0","302,666.0","304,209.0","309,486.0","319,894.0"
