"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Durable goods","DDURRC1","9,828.0","7,661.0","5,910.0","3,957.0","3,761.0","4,563.0","5,493.0","6,749.0","7,394.0","6,123.0","7,167.0","8,288.0","10,269.0","7,630.0","7,470.0","7,742.0","9,099.0","17,113.0","21,833.0","24,454.0","26,624.0","32,445.0","31,740.0","31,242.0","34,616.0","33,711.0","40,745.0","40,169.0","42,030.0","39,530.0","44,887.0","45,626.0","44,206.0","49,464.0","54,228.0","59,557.0","66,391.0","71,745.0","73,981.0","84,827.0","90,482.0"
"22","4","    Motor vehicles and parts","DMOTRC1","3,330.0","2,233.0","1,625.0","975.0","1,089.0","1,420.0","1,938.0","2,403.0","2,505.0","1,684.0","2,242.0","2,830.0","3,497.0","718.0","776.0","771.0","970.0","4,092.0","6,519.0","7,935.0","10,528.0","13,651.0","12,108.0","11,351.0","13,846.0","12,748.0","17,657.0","15,711.0","17,482.0","15,022.0","18,789.0","19,582.0","17,722.0","21,386.0","24,246.0","25,802.0","29,645.0","29,927.0","29,601.0","35,414.0","37,448.0"
"23","5","    Furnishings and durable household equipment","DFDHRC1","3,777.0","3,004.0","2,600.0","1,853.0","1,743.0","2,046.0","2,335.0","2,903.0","3,204.0","2,846.0","3,161.0","3,498.0","4,360.0","4,179.0","3,778.0","3,844.0","4,525.0","7,680.0","9,557.0","10,539.0","10,062.0","11,800.0","12,366.0","12,192.0","12,585.0","12,524.0","14,010.0","14,814.0","14,777.0","14,562.0","15,517.0","15,424.0","15,572.0","16,423.0","17,510.0","19,517.0","20,661.0","22,643.0","23,679.0","26,089.0","27,588.0"
"24","6","    Recreational goods and vehicles","DREQRC1","1,549.0","1,362.0","887.0","537.0","443.0","517.0","574.0","721.0","842.0","773.0","882.0","993.0","1,202.0","1,229.0","1,019.0","1,049.0","1,233.0","2,540.0","2,971.0","3,106.0","3,242.0","4,113.0","4,108.0","4,317.0","4,692.0","4,886.0","5,338.0","5,689.0","5,756.0","5,883.0","6,369.0","6,365.0","6,581.0","6,943.0","7,565.0","8,772.0","10,086.0","12,278.0","13,578.0","15,333.0","16,732.0"
"25","7","    Other durable goods","DODGRC1","1,172.0","1,062.0","798.0","592.0","486.0","580.0","646.0","722.0","843.0","820.0","882.0","967.0","1,210.0","1,504.0","1,897.0","2,078.0","2,371.0","2,801.0","2,786.0","2,874.0","2,792.0","2,881.0","3,158.0","3,382.0","3,493.0","3,553.0","3,740.0","3,955.0","4,015.0","4,063.0","4,212.0","4,255.0","4,331.0","4,712.0","4,907.0","5,466.0","5,999.0","6,897.0","7,123.0","7,991.0","8,714.0"
"26","8","  Nondurable goods","DNDGRC1","33,941.0","30,504.0","25,798.0","20,168.0","19,995.0","23,920.0","26,135.0","29,220.0","30,980.0","29,882.0","30,754.0","32,344.0","37,179.0","43,395.0","48,861.0","52,790.0","58,525.0","69,130.0","77,595.0","82,967.0","81,458.0","84,385.0","93,010.0","97,542.0","100,217.0","102,053.0","106,653.0","111,984.0","117,575.0","122,038.0","127,720.0","131,389.0","134,603.0","139,505.0","143,926.0","152,697.0","163,285.0","177,875.0","185,010.0","199,788.0","214,195.0"
"27","9","    Food and beverages purchased for off-premises consumption","DFXARC1","16,252.0","14,830.0","11,911.0","9,034.0","9,488.0","11,706.0","13,280.0","15,123.0","16,018.0","15,119.0","15,163.0","15,892.0","18,159.0","21,616.0","24,251.0","25,977.0","28,216.0","34,896.0","40,192.0","41,838.0","40,354.0","41,410.0","46,016.0","48,419.0","49,285.0","50,573.0","52,047.0","54,166.0","57,135.0","59,768.0","61,597.0","62,556.0","63,747.0","64,656.0","65,870.0","69,491.0","74,442.0","80,610.0","82,559.0","88,831.0","95,371.0"
"28","10","    Clothing and footwear","DCLORC1","9,029.0","7,754.0","6,691.0","4,887.0","4,483.0","5,489.0","5,828.0","6,344.0","6,607.0","6,535.0","6,893.0","7,197.0","8,497.0","10,615.0","12,914.0","14,115.0","15,856.0","17,510.0","18,037.0","19,334.0","18,613.0","18,930.0","20,478.0","21,182.0","21,320.0","21,393.0","22,375.0","23,397.0","23,579.0","23,919.0","25,367.0","25,939.0","26,571.0","27,859.0","28,618.0","31,085.0","32,659.0","35,812.0","37,547.0","41,260.0","44,331.0"
"29","11","    Gasoline and other energy goods","DGOERC1","3,407.0","3,276.0","2,846.0","2,603.0","2,607.0","2,891.0","3,012.0","3,343.0","3,547.0","3,444.0","3,566.0","3,807.0","4,307.0","3,923.0","3,315.0","3,408.0","3,977.0","5,826.0","6,937.0","8,202.0","8,343.0","8,864.0","9,595.0","10,184.0","10,843.0","11,328.0","12,359.0","13,290.0","14,245.0","14,718.0","15,290.0","15,809.0","15,723.0","16,316.0","16,922.0","17,659.0","19,132.0","20,656.0","21,876.0","23,217.0","24,968.0"
"30","12","    Other nondurable goods","DONGRC1","5,253.0","4,644.0","4,350.0","3,644.0","3,417.0","3,834.0","4,015.0","4,410.0","4,808.0","4,784.0","5,132.0","5,448.0","6,216.0","7,241.0","8,381.0","9,290.0","10,476.0","10,898.0","12,429.0","13,593.0","14,148.0","15,181.0","16,921.0","17,757.0","18,769.0","18,759.0","19,872.0","21,131.0","22,616.0","23,633.0","25,466.0","27,085.0","28,562.0","30,674.0","32,516.0","34,462.0","37,052.0","40,797.0","43,028.0","46,480.0","49,525.0"
"31","13","Services","DSERRC1","33,615.0","31,971.0","28,963.0","24,587.0","22,188.0","22,977.0","24,303.0","26,218.0","28,465.0","28,263.0","29,288.0","30,658.0","33,623.0","37,979.0","43,569.0","48,116.0","52,355.0","58,060.0","62,551.0","67,589.0","70,390.0","75,362.0","83,735.0","90,687.0","98,179.0","104,160.0","111,281.0","119,416.0","127,130.0","134,459.0","144,901.0","154,563.0","163,157.0","174,139.0","184,328.0","198,939.0","213,906.0","230,977.0","248,421.0","272,834.0","299,809.0"
"32","14","  Household consumption expenditures (for services)","DHCERC1","32,336.0","30,681.0","27,756.0","23,550.0","21,276.0","22,070.0","23,400.0","25,276.0","27,505.0","27,281.0","28,293.0","29,598.0","32,505.0","36,715.0","42,090.0","46,451.0","50,623.0","56,089.0","60,438.0","65,287.0","68,061.0","72,924.0","81,137.0","87,795.0","95,153.0","100,929.0","107,902.0","115,621.0","123,103.0","130,126.0","140,037.0","149,504.0","157,911.0","168,660.0","178,559.0","192,506.0","206,944.0","223,522.0","240,372.0","264,041.0","290,366.0"
"33","15","    Housing and utilities","DHUTRC1","12,876.0","12,499.0","11,782.0","10,499.0","9,357.0","9,106.0","9,248.0","9,604.0","10,172.0","10,614.0","10,888.0","11,306.0","12,082.0","12,990.0","13,535.0","14,189.0","14,713.0","16,312.0","18,276.0","20,536.0","22,591.0","25,088.0","28,102.0","31,175.0","34,470.0","37,367.0","40,033.0","42,898.0","45,934.0","49,187.0","52,849.0","56,720.0","60,301.0","64,476.0","68,208.0","72,148.0","76,618.0","81,226.0","86,344.0","92,748.0","100,982.0"
"34","16","    Health care","DHLCRC1","2,251.0","2,205.0","2,012.0","1,676.0","1,530.0","1,629.0","1,733.0","1,883.0","1,981.0","1,979.0","2,069.0","2,192.0","2,319.0","2,580.0","2,779.0","3,185.0","3,396.0","4,320.0","5,005.0","5,762.0","5,973.0","6,389.0","6,874.0","7,605.0","8,359.0","9,287.0","9,904.0","10,881.0","11,966.0","13,405.0","14,831.0","16,030.0","17,120.0","19,135.0","20,978.0","24,150.0","26,038.0","28,678.0","31,929.0","36,576.0","42,059.0"
"35","17","    Transportation services","DTRSRC1","2,399.0","2,098.0","1,760.0","1,421.0","1,343.0","1,453.0","1,520.0","1,691.0","1,772.0","1,701.0","1,841.0","1,930.0","2,191.0","2,562.0","3,249.0","3,511.0","3,823.0","4,662.0","4,902.0","5,236.0","5,326.0","5,403.0","5,993.0","6,291.0","6,753.0","6,761.0","7,148.0","7,594.0","8,019.0","8,128.0","8,696.0","9,180.0","9,562.0","10,133.0","10,621.0","11,350.0","12,133.0","13,067.0","14,275.0","15,872.0","17,977.0"
"36","18","    Recreation services","DRCARC1","1,582.0","1,528.0","1,420.0","1,099.0","993.0","1,099.0","1,185.0","1,337.0","1,481.0","1,428.0","1,459.0","1,589.0","1,744.0","1,996.0","2,312.0","2,559.0","2,847.0","3,503.0","3,573.0","3,593.0","3,576.0","3,612.0","3,775.0","3,977.0","4,208.0","4,480.0","4,843.0","5,230.0","5,242.0","5,398.0","5,921.0","6,480.0","6,945.0","7,455.0","7,926.0","8,480.0","8,976.0","9,768.0","10,452.0","11,703.0","12,925.0"
"37","19","    Food services and accommodations","DFSARC1","3,422.0","3,273.0","2,954.0","2,439.0","2,127.0","2,602.0","3,006.0","3,422.0","4,020.0","3,864.0","4,121.0","4,412.0","5,347.0","6,878.0","9,143.0","10,888.0","12,657.0","12,687.0","12,465.0","12,605.0","12,397.0","12,738.0","14,960.0","16,027.0","16,475.0","16,611.0","16,989.0","17,687.0","18,481.0","18,667.0","19,738.0","20,485.0","20,964.0","22,257.0","23,306.0","24,878.0","27,181.0","29,635.0","30,957.0","34,594.0","37,461.0"
"38","20","    Financial services and insurance","DIFSRC1","2,906.0","2,595.0","2,203.0","1,877.0","1,921.0","1,825.0","2,067.0","2,246.0","2,381.0","2,250.0","2,295.0","2,368.0","2,480.0","2,565.0","2,840.0","2,972.0","3,187.0","3,776.0","4,246.0","4,685.0","4,898.0","5,583.0","6,314.0","6,714.0","7,772.0","8,609.0","9,586.0","10,396.0","11,053.0","11,574.0","12,484.0","13,551.0","14,765.0","15,351.0","15,909.0","17,740.0","19,395.0","21,273.0","22,843.0","25,797.0","28,502.0"
"39","21","    Other services","DOTSRC1","6,900.0","6,483.0","5,625.0","4,539.0","4,005.0","4,356.0","4,641.0","5,093.0","5,698.0","5,445.0","5,620.0","5,801.0","6,342.0","7,144.0","8,232.0","9,147.0","10,000.0","10,829.0","11,971.0","12,870.0","13,300.0","14,111.0","15,119.0","16,006.0","17,116.0","17,814.0","19,399.0","20,935.0","22,408.0","23,767.0","25,518.0","27,058.0","28,254.0","29,853.0","31,611.0","33,760.0","36,603.0","39,875.0","43,572.0","46,751.0","50,460.0"
"40","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","1,279.0","1,290.0","1,207.0","1,037.0","912.0","907.0","903.0","942.0","960.0","982.0","995.0","1,060.0","1,118.0","1,264.0","1,479.0","1,665.0","1,732.0","1,971.0","2,113.0","2,302.0","2,329.0","2,438.0","2,598.0","2,892.0","3,026.0","3,231.0","3,379.0","3,795.0","4,027.0","4,333.0","4,864.0","5,059.0","5,246.0","5,479.0","5,769.0","6,433.0","6,962.0","7,455.0","8,049.0","8,793.0","9,443.0"
"41","23","    Gross output of nonprofit institutions \2\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,908.0","14,834.0","15,783.0","16,932.0","18,339.0","20,250.0","22,079.0","24,339.0","26,978.0","30,348.0","34,009.0"
"42","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,044.0","9,775.0","10,537.0","11,453.0","12,570.0","13,817.0","15,117.0","16,884.0","18,929.0","21,555.0","24,566.0"
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","25","  PCE excluding food and energy \4\","DPCCRC1","56,552.0","50,795.0","44,672.0","35,865.0","32,698.0","35,686.0","38,427.0","42,466.0","45,967.0","44,360.0","47,080.0","50,093.0","57,049.0","61,807.0","70,622.0","77,452.0","85,866.0","101,475.0","112,484.0","122,306.0","126,829.0","138,563.0","149,101.0","156,714.0","168,330.0","172,977.0","188,714.0","198,015.0","208,816.0","214,435.0","232,940.0","244,844.0","253,628.0","272,656.0","289,772.0","313,588.0","339,079.0","367,777.0","390,724.0","432,385.0","470,130.0"
"45","26","  Energy goods and services \5\","DNRGRC1","4,580.0","4,511.0","4,088.0","3,813.0","3,758.0","4,068.0","4,224.0","4,598.0","4,854.0","4,789.0","4,966.0","5,305.0","5,863.0","5,581.0","5,027.0","5,219.0","5,897.0","7,932.0","9,303.0","10,866.0","11,289.0","12,219.0","13,368.0","14,338.0","15,397.0","16,374.0","17,918.0","19,388.0","20,784.0","21,824.0","22,971.0","24,178.0","24,591.0","25,796.0","26,840.0","28,114.0","30,061.0","32,210.0","34,129.0","36,233.0","38,985.0"
"46","27","  Market-based PCE \6\","DPCMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"47","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
