"","Table 7#20# Transactions of Defined Benefit and Defined Contribu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Current receipts","Y201RC1","469,081.0","504,669.0","552,958.0","593,560.0","621,556.0","685,180.0","729,144.0","761,458.0","811,191.0","824,030.0","861,766.0","909,287.0","938,192.0","983,756.0","997,547.0","1,029,970.0","1,054,836.0","1,107,227.0","1,172,352.0","1,221,910.0","1,290,134.0","1,345,781.0","1,433,535.0","1,531,910.0","1,651,030.0","1,693,881.0","1,706,769.0","1,734,713.0","1,788,613.0","1,804,282.0"
"20","2","  Output \1\","Y204RC1","3,421.0","4,230.0","4,705.0","4,773.0","5,136.0","5,716.0","6,147.0","6,793.0","7,157.0","7,984.0","8,684.0","9,049.0","11,036.0","12,671.0","14,088.0","13,515.0","15,469.0","16,754.0","16,947.0","17,083.0","19,155.0","20,794.0","24,377.0","26,665.0","23,432.0","21,284.0","24,214.0","25,129.0","26,017.0","27,396.0"
"21","3","  Contributions","Y202RC1","307,737.0","334,142.0","366,688.0","391,475.0","408,330.0","453,445.0","479,882.0","502,112.0","543,571.0","555,032.0","578,439.0","609,562.0","633,406.0","667,895.0","687,386.0","721,454.0","745,414.0","781,504.0","824,120.0","859,094.0","913,789.0","955,302.0","1,018,656.0","1,087,265.0","1,162,470.0","1,183,236.0","1,206,101.0","1,226,959.0","1,259,335.0","1,275,308.0"
"22","4","    Claims to benefits","Y206RC1","150,187.0","168,306.0","185,650.0","194,735.0","200,894.0","228,453.0","237,704.0","250,711.0","284,408.0","295,579.0","305,514.0","320,357.0","341,336.0","367,108.0","394,431.0","428,561.0","453,584.0","474,584.0","494,819.0","515,337.0","558,690.0","587,945.0","630,679.0","672,038.0","700,150.0","697,278.0","734,185.0","749,139.0","760,537.0","779,086.0"
"23","5","      Actual employer contributions","Y203RC1","136,961.0","143,885.0","148,822.0","151,707.0","148,119.0","154,313.0","155,415.0","167,111.0","175,307.0","185,066.0","195,074.0","200,605.0","199,888.0","202,935.0","214,613.0","213,268.0","225,298.0","244,656.0","290,541.0","339,139.0","331,078.0","347,398.0","370,330.0","389,546.0","453,281.0","467,041.0","503,467.0","525,841.0","531,723.0","533,945.0"
"24","6","      Imputed employer contributions","Y604RC1","-28,567.0","-23,369.0","-14,470.0","-11,861.0","-4,618.0","10,456.0","15,571.0","12,265.0","28,190.0","23,400.0","19,598.0","19,720.0","30,628.0","42,285.0","48,888.0","63,189.0","67,803.0","64,286.0","31,716.0","-878.0","36,951.0","36,130.0","34,873.0","39,211.0","-5,794.0","-22,876.0","-30,123.0","-51,533.0","-53,475.0","-50,621.0"
"25","7","      Actual household contributions","Y208RC1","44,841.0","51,559.0","55,476.0","59,090.0","61,875.0","68,373.0","71,928.0","76,976.0","86,768.0","93,536.0","97,808.0","107,610.0","120,176.0","132,156.0","141,900.0","163,511.0","173,829.0","180,347.0","187,525.0","192,183.0","207,725.0","222,883.0","247,328.0","267,193.0","273,287.0","270,994.0","280,517.0","295,155.0","303,843.0","317,802.0"
"26","8","      Less: Pension service charges for defined benefit pension plans \1\","Y616RC1","3,048.0","3,769.0","4,178.0","4,201.0","4,482.0","4,689.0","5,210.0","5,641.0","5,857.0","6,423.0","6,966.0","7,578.0","9,356.0","10,268.0","10,970.0","11,407.0","13,346.0","14,705.0","14,963.0","15,107.0","17,064.0","18,466.0","21,852.0","23,912.0","20,624.0","17,881.0","19,676.0","20,324.0","21,554.0","22,040.0"
"27","9","    Household pension contribution supplements \2\","Y209RC1","157,923.0","166,297.0","181,565.0","197,312.0","208,090.0","226,019.0","243,115.0","252,553.0","260,463.0","261,014.0","274,643.0","290,676.0","293,750.0","303,190.0","296,073.0","295,001.0","293,953.0","308,969.0","331,285.0","345,733.0","357,190.0","369,685.0","390,502.0","417,980.0","465,128.0","489,361.0","476,454.0","482,625.0","503,261.0","501,578.0"
"28","10","    Less: Pension service charges for defined contribution pension plans \1\","Y349RC1","373.0","461.0","527.0","572.0","654.0","1,027.0","937.0","1,152.0","1,300.0","1,561.0","1,718.0","1,471.0","1,680.0","2,403.0","3,118.0","2,108.0","2,123.0","2,049.0","1,984.0","1,976.0","2,091.0","2,328.0","2,525.0","2,753.0","2,808.0","3,403.0","4,538.0","4,805.0","4,463.0","5,356.0"
"29","11","  Income receipts on assets","Y209RC1","157,923.0","166,297.0","181,565.0","197,312.0","208,090.0","226,019.0","243,115.0","252,553.0","260,463.0","261,014.0","274,643.0","290,676.0","293,750.0","303,190.0","296,073.0","295,001.0","293,953.0","308,969.0","331,285.0","345,733.0","357,190.0","369,685.0","390,502.0","417,980.0","465,128.0","489,361.0","476,454.0","482,625.0","503,261.0","501,578.0"
"30","12","    Interest","Y216RC1","138,245.0","144,023.0","158,333.0","172,320.0","182,140.0","196,578.0","210,399.0","216,330.0","220,870.0","218,460.0","228,268.0","240,109.0","238,071.0","243,896.0","236,396.0","234,527.0","233,920.0","248,950.0","270,293.0","280,855.0","279,790.0","278,975.0","284,943.0","296,044.0","335,403.0","371,318.0","360,880.0","366,219.0","375,603.0","360,891.0"
"31","13","      Monetary interest","Y210RC1","80,548.0","94,404.0","105,050.0","113,654.0","119,324.0","132,937.0","142,927.0","150,875.0","147,598.0","147,037.0","158,025.0","172,457.0","180,560.0","195,164.0","198,981.0","205,344.0","203,193.0","186,844.0","177,469.0","173,876.0","171,907.0","174,366.0","182,383.0","194,518.0","188,900.0","172,252.0","166,030.0","171,044.0","165,130.0","164,989.0"
"32","14","      Imputed interest on plans' claims on employers \3\","Y609RC1","57,697.0","49,619.0","53,283.0","58,666.0","62,816.0","63,641.0","67,472.0","65,455.0","73,272.0","71,423.0","70,243.0","67,652.0","57,511.0","48,732.0","37,415.0","29,183.0","30,727.0","62,106.0","92,824.0","106,979.0","107,883.0","104,609.0","102,560.0","101,526.0","146,503.0","199,066.0","194,850.0","195,175.0","210,473.0","195,902.0"
"33","15","    Dividends","Y217RC1","19,678.0","22,274.0","23,232.0","24,992.0","25,950.0","29,441.0","32,716.0","36,223.0","39,593.0","42,554.0","46,375.0","50,567.0","55,679.0","59,294.0","59,677.0","60,474.0","60,033.0","60,019.0","60,992.0","64,878.0","77,400.0","90,710.0","105,559.0","121,936.0","129,725.0","118,043.0","115,574.0","116,406.0","127,658.0","140,687.0"
"34","16","Current expenditures","Y212RC1","469,080.0","504,669.0","552,958.0","593,561.0","621,556.0","685,180.0","729,143.0","761,458.0","811,191.0","824,030.0","861,766.0","909,287.0","938,192.0","983,756.0","997,547.0","1,029,970.0","1,054,835.0","1,107,226.0","1,172,352.0","1,221,910.0","1,290,134.0","1,345,781.0","1,433,535.0","1,531,910.0","1,651,030.0","1,693,881.0","1,706,769.0","1,734,713.0","1,788,612.0","1,804,282.0"
"35","17","  Administrative expenses (8+10)","Y204RC1","3,421.0","4,230.0","4,705.0","4,773.0","5,136.0","5,716.0","6,147.0","6,793.0","7,157.0","7,984.0","8,684.0","9,049.0","11,036.0","12,671.0","14,088.0","13,515.0","15,469.0","16,754.0","16,947.0","17,083.0","19,155.0","20,794.0","24,377.0","26,665.0","23,432.0","21,284.0","24,214.0","25,129.0","26,017.0","27,396.0"
"36","18","  Imputed income payments on assets to persons","Y215RC1","157,922.0","166,297.0","181,565.0","197,313.0","208,090.0","226,019.0","243,114.0","252,553.0","260,463.0","261,014.0","274,643.0","290,676.0","293,750.0","303,190.0","296,073.0","295,001.0","293,952.0","308,968.0","331,285.0","345,733.0","357,190.0","369,685.0","390,502.0","417,980.0","465,128.0","489,361.0","476,454.0","482,625.0","503,260.0","501,578.0"
"37","19","    Interest","Y233RC1","138,244.0","144,023.0","158,333.0","172,321.0","182,140.0","196,578.0","210,398.0","216,330.0","220,870.0","218,460.0","228,268.0","240,109.0","238,071.0","243,896.0","236,396.0","234,527.0","233,919.0","248,949.0","270,293.0","280,855.0","279,790.0","278,975.0","284,943.0","296,044.0","335,403.0","371,318.0","360,880.0","366,219.0","375,602.0","360,891.0"
"38","20","    Dividends","Y234RC1","19,678.0","22,274.0","23,232.0","24,992.0","25,950.0","29,441.0","32,716.0","36,223.0","39,593.0","42,554.0","46,375.0","50,567.0","55,679.0","59,294.0","59,677.0","60,474.0","60,033.0","60,019.0","60,992.0","64,878.0","77,400.0","90,710.0","105,559.0","121,936.0","129,725.0","118,043.0","115,574.0","116,406.0","127,658.0","140,687.0"
"39","21","  Benefit payments and withdrawals","Y235RC1","141,975.0","170,681.0","203,652.0","201,055.0","203,857.0","223,124.0","227,746.0","241,578.0","265,185.0","277,888.0","294,083.0","324,204.0","363,630.0","395,804.0","447,093.0","501,290.0","542,893.0","525,064.0","541,609.0","541,948.0","590,760.0","628,527.0","706,902.0","772,861.0","766,448.0","762,201.0","831,748.0","864,692.0","923,538.0","960,388.0"
"40","22","  Net change in benefit entitlements for defined benefit plans \4\","Y632RC1","134,440.0","131,241.0","130,308.0","139,821.0","152,668.0","170,142.0","181,595.0","181,951.0","199,444.0","190,959.0","194,736.0","197,739.0","181,373.0","184,378.0","165,645.0","154,483.0","139,517.0","153,318.0","169,457.0","191,201.0","201,166.0","200,533.0","186,805.0","187,098.0","211,914.0","231,420.0","221,651.0","207,151.0","176,627.0","140,949.0"
"41","23","  Net change in assets from current transactions for defined contribution plans","Y905RC1","31,322.0","32,220.0","32,728.0","50,599.0","51,805.0","60,179.0","70,541.0","78,583.0","78,942.0","86,185.0","89,620.0","87,619.0","88,403.0","87,713.0","74,648.0","65,681.0","63,004.0","103,122.0","113,054.0","125,945.0","121,863.0","126,242.0","124,949.0","127,306.0","184,108.0","189,615.0","152,702.0","155,116.0","159,170.0","173,971.0"
"42","24","Cash flow","Y218RC1","136,632.0","137,211.0","124,223.0","143,615.0","146,275.0","156,224.0","169,093.0","182,814.0","176,924.0","182,321.0","194,515.0","197,986.0","181,637.0","181,074.0","153,990.0","127,792.0","103,991.0","130,048.0","157,971.0","211,045.0","178,195.0","186,036.0","174,321.0","173,667.0","255,313.0","244,845.0","209,626.0","218,625.0","178,799.0","169,639.0"
"43","25","  Actual employer and household contributions (5+7)","Y219RC1","181,802.0","195,444.0","204,298.0","210,797.0","209,994.0","222,686.0","227,343.0","244,087.0","262,075.0","278,602.0","292,882.0","308,215.0","320,064.0","335,091.0","356,513.0","376,779.0","399,127.0","425,003.0","478,066.0","531,322.0","538,803.0","570,281.0","617,658.0","656,739.0","726,568.0","738,035.0","783,984.0","820,996.0","835,566.0","851,747.0"
"44","26","  Monetary income receipts on assets (13+15)","Y220RC1","100,226.0","116,678.0","128,282.0","138,646.0","145,274.0","162,378.0","175,643.0","187,098.0","187,191.0","189,591.0","204,400.0","223,024.0","236,239.0","254,458.0","258,658.0","265,818.0","263,226.0","246,863.0","238,461.0","238,754.0","249,307.0","265,076.0","287,942.0","316,454.0","318,625.0","290,295.0","281,604.0","287,450.0","292,788.0","305,676.0"
"45","27","  Less: Benefit payments and withdrawals","Y235RC1","141,975.0","170,681.0","203,652.0","201,055.0","203,857.0","223,124.0","227,746.0","241,578.0","265,185.0","277,888.0","294,083.0","324,204.0","363,630.0","395,804.0","447,093.0","501,290.0","542,893.0","525,064.0","541,609.0","541,948.0","590,760.0","628,527.0","706,902.0","772,861.0","766,448.0","762,201.0","831,748.0","864,692.0","923,538.0","960,388.0"
"46","28","  Less: Administrative expenses","Y204RC1","3,421.0","4,230.0","4,705.0","4,773.0","5,136.0","5,716.0","6,147.0","6,793.0","7,157.0","7,984.0","8,684.0","9,049.0","11,036.0","12,671.0","14,088.0","13,515.0","15,469.0","16,754.0","16,947.0","17,083.0","19,155.0","20,794.0","24,377.0","26,665.0","23,432.0","21,284.0","24,214.0","25,129.0","26,017.0","27,396.0"
"47",NA,"Effect of participation in defined benefit and defined contribution pension plans on"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,"personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","29","Effect on personal income (1-7-9 or 16-7-9)","Y226RC1","266,317.0","286,813.0","315,917.0","337,158.0","351,591.0","390,788.0","414,101.0","431,929.0","463,960.0","469,480.0","489,315.0","511,001.0","524,266.0","548,410.0","559,574.0","571,458.0","587,054.0","617,911.0","653,542.0","683,994.0","725,219.0","753,213.0","795,705.0","846,737.0","912,615.0","933,526.0","949,798.0","956,933.0","981,509.0","984,902.0"
"50","30","Less: Effect on personal consumption expenditures (2)","Y204RC1","3,421.0","4,230.0","4,705.0","4,773.0","5,136.0","5,716.0","6,147.0","6,793.0","7,157.0","7,984.0","8,684.0","9,049.0","11,036.0","12,671.0","14,088.0","13,515.0","15,469.0","16,754.0","16,947.0","17,083.0","19,155.0","20,794.0","24,377.0","26,665.0","23,432.0","21,284.0","24,214.0","25,129.0","26,017.0","27,396.0"
"51","31","Equals: Effect on personal saving","Y228RC1","262,896.0","282,583.0","311,212.0","332,385.0","346,455.0","385,072.0","407,954.0","425,136.0","456,803.0","461,496.0","480,631.0","501,952.0","513,230.0","535,739.0","545,486.0","557,943.0","571,585.0","601,157.0","636,595.0","666,911.0","706,064.0","732,419.0","771,328.0","820,072.0","889,183.0","912,242.0","925,584.0","931,804.0","955,492.0","957,506.0"
"52","32","Plus: Implied funding of benefits from holding gains and other changes in assets \5\","Y229RC1","29,241.0","132,920.0","36,356.0","60,038.0","29,795.0","85,537.0","-21,776.0","116,438.0","33,767.0","95,644.0","25,330.0","262,105.0","204,435.0","342,156.0","370,992.0","376,681.0","42,705.0","-259,297.0","-205,815.0","561,800.0","313,390.0","389,843.0","394,017.0","304,201.0","-1,064,652.0","647,341.0","503,982.0","-9,330.0","445,639.0","922,548.0"
"53","33","Equals: Change in personal wealth \6\","Y232RC1","292,137.0","415,503.0","347,568.0","392,423.0","376,250.0","470,609.0","386,178.0","541,574.0","490,570.0","557,140.0","505,961.0","764,057.0","717,665.0","877,895.0","916,478.0","934,624.0","614,290.0","341,860.0","430,780.0","1,228,711.0","1,019,454.0","1,122,262.0","1,165,345.0","1,124,273.0","-175,469.0","1,559,583.0","1,429,566.0","922,474.0","1,401,131.0","1,880,054.0"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Included in personal consumption expenditures as part of financial services furnished",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","without payment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Imputed income payments received by persons from the pension plans (line 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","are reinvested as household pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. For defined benefit plans, plans' claims on employers equals the difference between actuarial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","liabilities and financial assets held by plans.  When actuarial liabilities exceed plan assets,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","imputed interest is positive; when plan assets exceed actuarial liabilities, imputed interest is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4. Excludes implied funding of benefits from holding gains on assets and excludes effects on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","change in the estimated value of benefit entitlements that come from differences between actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","experience and previous actuarial assumptions, changes in actuarial assumptions, and changes in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Consists of implied funding of benefits from holding gains on assets for defined benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","plans (table 7.21, line 30) and holding gains and other changes in assets for defined contribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","pension plans (table 7.25, line 30).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","6. For defined benefit plans, excludes effects on change in the estimated value of benefit entitlements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","that come from differences between actual experience and previous actuarial assumptions, changes in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","actuarial assumptions,and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Note. In the NIPAs, pension plans are classified as financial corporations that receive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","contributions and property income on behalf of plan participants but do not have saving or net worth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","of their own.  Tables 7.20, 7.21, 7.22, 7.23, 7.24, and 7.25 show the transactions of the pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
