"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Personal consumption expenditures (PCE)","DPCERC1","604,486.0","647,688.0","700,990.0","769,431.0","851,143.0","931,999.0","1,032,755.0","1,150,172.0","1,276,673.0","1,426,173.0","1,589,496.0","1,754,616.0","1,937,512.0","2,073,913.0","2,286,519.0","2,498,155.0","2,722,674.0","2,898,411.0","3,092,050.0","3,346,889.0","3,592,814.0","3,825,630.0","3,960,151.0","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,307,022.0","6,792,396.0","7,103,104.0","7,384,053.0","7,765,529.0","8,260,018.0","8,794,112.0","9,303,992.0","9,750,505.0","10,013,648.0","9,846,968.0","10,202,191.0","10,689,299.0","11,083,146.0","11,484,344.0"
"20","2","Goods","DGDSRC1","304,677.0","318,794.0","342,116.0","373,815.0","416,636.0","451,539.0","491,334.0","546,305.0","600,383.0","663,567.0","737,938.0","799,792.0","869,373.0","899,292.0","973,780.0","1,063,700.0","1,137,606.0","1,195,629.0","1,256,296.0","1,337,308.0","1,423,803.0","1,491,302.0","1,497,435.0","1,563,269.0","1,642,347.0","1,746,554.0","1,815,532.0","1,917,673.0","2,006,764.0","2,108,719.0","2,286,769.0","2,452,854.0","2,525,237.0","2,598,581.0","2,721,556.0","2,900,255.0","3,080,281.0","3,235,797.0","3,361,573.0","3,375,702.0","3,198,444.0","3,362,811.0","3,596,461.0","3,741,883.0","3,851,168.0"
"21","3","  Durable goods","DDURRC1","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","779,295.0","855,570.0","912,571.0","941,515.0","985,367.0","1,017,526.0","1,079,823.0","1,127,231.0","1,156,115.0","1,184,633.0","1,102,283.0","1,023,319.0","1,070,692.0","1,125,327.0","1,192,054.0","1,249,276.0"
"22","4","    Motor vehicles and parts","DMOTRC1","37,448.0","34,538.0","43,233.0","49,365.0","54,358.0","48,166.0","52,643.0","68,172.0","79,796.0","89,173.0","90,175.0","84,430.0","93,017.0","100,014.0","122,945.0","147,192.0","170,065.0","187,519.0","188,181.0","202,213.0","207,771.0","205,119.0","185,748.0","204,798.0","224,715.0","249,843.0","255,709.0","273,486.0","293,083.0","320,205.0","350,730.0","363,227.0","383,289.0","401,347.0","401,518.0","409,312.0","409,954.0","394,950.0","400,573.0","339,630.0","317,058.0","341,955.0","363,458.0","395,089.0","417,673.0"
"23","5","    Furnishings and durable household equipment","DFDHRC1","27,588.0","28,152.0","29,944.0","33,522.0","37,961.0","40,891.0","42,612.0","47,172.0","53,355.0","59,004.0","65,254.0","67,843.0","71,461.0","71,811.0","79,770.0","88,832.0","94,619.0","103,455.0","109,536.0","115,154.0","121,387.0","120,941.0","118,786.0","124,288.0","131,367.0","140,510.0","146,742.0","153,535.0","160,491.0","173,579.0","191,185.0","208,106.0","214,940.0","225,868.0","235,161.0","254,311.0","271,273.0","283,597.0","283,458.0","268,714.0","244,311.0","250,417.0","260,672.0","271,058.0","280,921.0"
"24","6","    Recreational goods and vehicles","DREQRC1","16,732.0","17,924.0","19,197.0","22,591.0","25,346.0","26,585.0","30,363.0","34,172.0","37,730.0","41,702.0","45,835.0","46,490.0","49,879.0","51,287.0","58,655.0","67,844.0","74,074.0","83,016.0","91,802.0","99,877.0","103,905.0","105,558.0","107,716.0","110,995.0","123,473.0","140,340.0","153,723.0","164,929.0","174,632.0","191,360.0","210,922.0","230,858.0","234,934.0","244,772.0","259,193.0","284,088.0","305,023.0","324,101.0","335,780.0","329,331.0","303,775.0","312,735.0","320,981.0","334,789.0","348,696.0"
"25","7","    Other durable goods","DODGRC1","8,714.0","9,374.0","10,073.0","10,966.0","12,862.0","14,535.0","16,547.0","19,108.0","21,082.0","23,470.0","25,076.0","27,627.0","29,583.0","29,920.0","33,659.0","38,288.0","41,605.0","47,450.0","52,502.0","57,808.0","61,265.0","65,462.0","64,935.0","68,001.0","71,977.0","76,478.0","79,564.0","84,347.0","87,324.0","94,151.0","102,733.0","110,380.0","108,352.0","113,380.0","121,654.0","132,112.0","140,981.0","153,467.0","164,822.0","164,608.0","158,175.0","165,585.0","180,216.0","191,118.0","201,986.0"
"26","8","  Nondurable goods","DNDGRC1","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,329,424.0","1,431,199.0","1,540,283.0","1,583,722.0","1,613,214.0","1,704,030.0","1,820,432.0","1,953,050.0","2,079,682.0","2,176,940.0","2,273,419.0","2,175,125.0","2,292,119.0","2,471,134.0","2,549,829.0","2,601,892.0"
"27","9","    Food and beverages purchased for off-premises consumption","DFXARC1","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","487,437.0","515,530.0","540,579.0","564,003.0","575,052.0","599,581.0","632,604.0","668,217.0","700,260.0","737,331.0","772,884.0","769,958.0","788,899.0","829,146.0","854,909.0","872,159.0"
"28","10","    Clothing and footwear","DCLORC1","44,331.0","45,450.0","49,046.0","53,491.0","59,243.0","62,423.0","66,867.0","72,191.0","79,305.0","89,317.0","96,371.0","103,002.0","113,178.0","116,745.0","126,445.0","137,621.0","146,845.0","157,201.0","167,726.0","178,213.0","190,397.0","195,245.0","199,098.0","211,234.0","219,054.0","227,435.0","231,245.0","239,542.0","247,496.0","257,805.0","271,097.0","280,832.0","277,868.0","278,836.0","285,347.0","297,485.0","310,659.0","320,213.0","323,692.0","319,506.0","306,498.0","320,558.0","338,946.0","353,736.0","360,723.0"
"29","11","    Gasoline and other energy goods","DGOERC1","24,968.0","26,286.0","27,647.0","29,393.0","34,325.0","43,849.0","48,020.0","53,013.0","57,817.0","61,453.0","80,388.0","101,898.0","113,443.0","108,350.0","106,456.0","108,200.0","110,532.0","91,191.0","96,369.0","99,850.0","110,439.0","124,199.0","121,129.0","125,007.0","126,882.0","129,231.0","133,405.0","144,745.0","147,662.0","132,355.0","146,545.0","184,516.0","177,985.0","167,900.0","196,412.0","232,733.0","283,770.0","319,650.0","345,546.0","389,148.0","284,500.0","333,415.0","409,558.0","415,481.0","408,311.0"
"30","12","    Other nondurable goods","DONGRC1","49,525.0","53,564.0","55,851.0","60,015.0","65,826.0","72,052.0","77,716.0","85,180.0","91,528.0","103,336.0","116,469.0","129,335.0","143,473.0","154,024.0","168,814.0","184,621.0","196,913.0","209,382.0","225,868.0","241,386.0","263,251.0","283,602.0","297,070.0","314,481.0","331,407.0","350,608.0","371,397.0","395,210.0","421,300.0","451,827.0","498,027.0","534,356.0","563,866.0","591,426.0","622,690.0","657,610.0","690,404.0","739,559.0","770,371.0","791,881.0","814,169.0","849,247.0","893,484.0","925,703.0","960,699.0"
"31","13","Services","DSERRC1","299,809.0","328,894.0","358,874.0","395,616.0","434,507.0","480,460.0","541,421.0","603,867.0","676,290.0","762,606.0","851,558.0","954,824.0","1,068,139.0","1,174,621.0","1,312,739.0","1,434,455.0","1,585,068.0","1,702,782.0","1,835,754.0","2,009,581.0","2,169,011.0","2,334,328.0","2,462,716.0","2,652,385.0","2,828,655.0","2,994,464.0","3,168,646.0","3,350,398.0","3,553,956.0","3,794,314.0","4,020,253.0","4,339,542.0","4,577,867.0","4,785,472.0","5,043,973.0","5,359,763.0","5,713,831.0","6,068,195.0","6,388,932.0","6,637,946.0","6,648,524.0","6,839,380.0","7,092,838.0","7,341,263.0","7,633,176.0"
"32","14","  Household consumption expenditures (for services)","DHCERC1","290,366.0","318,420.0","347,170.0","382,802.0","420,752.0","464,963.0","524,408.0","584,885.0","655,655.0","739,588.0","825,438.0","924,791.0","1,033,999.0","1,136,657.0","1,271,983.0","1,389,072.0","1,537,161.0","1,650,172.0","1,780,057.0","1,946,288.0","2,100,974.0","2,258,467.0","2,382,589.0","2,564,451.0","2,738,590.0","2,896,702.0","3,066,318.0","3,240,354.0","3,448,368.0","3,670,507.0","3,882,024.0","4,181,501.0","4,398,785.0","4,587,130.0","4,838,461.0","5,153,391.0","5,503,563.0","5,829,010.0","6,140,152.0","6,355,802.0","6,372,507.0","6,564,030.0","6,817,839.0","7,052,812.0","7,327,534.0"
"33","15","    Housing and utilities","DHUTRC1","100,982.0","109,421.0","119,981.0","131,185.0","143,486.0","158,579.0","176,527.0","194,663.0","217,806.0","244,279.0","273,403.0","312,453.0","352,071.0","387,499.0","421,227.0","457,510.0","500,609.0","536,976.0","571,559.0","614,437.0","655,168.0","696,539.0","735,247.0","771,112.0","814,940.0","863,343.0","913,679.0","962,439.0","1,009,822.0","1,065,472.0","1,123,133.0","1,198,556.0","1,287,492.0","1,333,584.0","1,394,121.0","1,469,083.0","1,583,621.0","1,682,374.0","1,758,184.0","1,839,073.0","1,880,993.0","1,908,992.0","1,959,856.0","2,008,997.0","2,086,341.0"
"34","16","    Health care","DHLCRC1","42,059.0","47,663.0","53,725.0","59,842.0","67,175.0","76,083.0","89,000.0","101,849.0","115,691.0","131,202.0","148,840.0","171,661.0","201,914.0","225,182.0","253,125.0","276,478.0","302,195.0","330,160.0","366,011.0","410,051.0","451,209.0","506,202.0","555,759.0","612,785.0","648,809.0","680,461.0","719,886.0","752,067.0","790,949.0","832,046.0","863,590.0","918,425.0","996,564.0","1,082,873.0","1,154,646.0","1,240,115.0","1,322,285.0","1,394,226.0","1,481,787.0","1,556,486.0","1,627,380.0","1,690,701.0","1,764,711.0","1,854,686.0","1,920,324.0"
"35","17","    Transportation services","DTRSRC1","17,977.0","20,043.0","22,359.0","24,544.0","26,078.0","28,472.0","32,045.0","36,155.0","41,395.0","45,200.0","50,705.0","55,366.0","59,790.0","61,729.0","68,899.0","80,016.0","90,145.0","95,009.0","103,098.0","114,150.0","121,848.0","126,372.0","123,674.0","133,622.0","146,099.0","161,896.0","177,946.0","194,955.0","214,308.0","227,631.0","244,091.0","263,548.0","264,704.0","258,159.0","265,464.0","276,562.0","289,385.0","302,056.0","312,216.0","311,715.0","289,694.0","292,922.0","308,124.0","319,890.0","332,622.0"
"36","18","    Recreation services","DRCARC1","12,925.0","14,001.0","15,118.0","16,329.0","18,348.0","20,948.0","23,653.0","26,535.0","29,562.0","32,850.0","36,725.0","40,837.0","47,125.0","52,473.0","59,430.0","66,117.0","73,958.0","80,369.0","87,276.0","99,233.0","110,665.0","121,766.0","127,181.0","139,799.0","153,375.0","164,661.0","181,092.0","195,583.0","208,318.0","220,205.0","238,056.0","254,392.0","262,290.0","271,404.0","289,178.0","312,103.0","328,899.0","351,945.0","375,845.0","384,491.0","375,999.0","385,051.0","400,558.0","418,443.0","435,975.0"
"37","19","    Food services and accommodations","DFSARC1","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,407.0","308,298.0","316,137.0","326,558.0","343,428.0","361,836.0","380,330.0","408,782.0","419,663.0","436,311.0","461,897.0","496,424.0","530,642.0","566,252.0","595,634.0","612,466.0","600,334.0","617,711.0","649,504.0","684,967.0","714,677.0"
"38","20","    Financial services and insurance","DIFSRC1","28,502.0","31,073.0","34,139.0","38,339.0","41,501.0","45,906.0","54,018.0","59,262.0","67,792.0","80,634.0","87,631.0","95,609.0","102,006.0","116,335.0","145,888.0","156,571.0","188,094.0","199,804.0","205,301.0","219,809.0","238,375.0","247,390.0","266,788.0","295,090.0","332,586.0","346,875.0","366,379.0","392,349.0","429,244.0","467,277.0","509,124.0","566,284.0","552,822.0","562,584.0","588,472.0","635,347.0","689,633.0","724,208.0","768,491.0","771,483.0","718,956.0","763,238.0","795,799.0","788,443.0","826,722.0"
"39","21","    Other services","DOTSRC1","50,460.0","54,595.0","58,051.0","63,677.0","69,332.0","74,361.0","80,344.0","88,620.0","97,744.0","108,319.0","117,213.0","127,144.0","137,178.0","150,931.0","169,864.0","187,464.0","207,860.0","221,167.0","242,433.0","262,761.0","281,112.0","297,463.0","300,546.0","325,730.0","344,374.0","371,168.0","391,199.0","416,403.0","452,299.0","496,040.0","523,700.0","571,514.0","615,250.0","642,215.0","684,683.0","723,757.0","759,098.0","807,949.0","847,995.0","880,088.0","879,151.0","905,415.0","939,287.0","977,386.0","1,010,873.0"
"40","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","9,443.0","10,474.0","11,704.0","12,814.0","13,755.0","15,497.0","17,013.0","18,982.0","20,635.0","23,018.0","26,120.0","30,033.0","34,140.0","37,964.0","40,756.0","45,383.0","47,907.0","52,610.0","55,697.0","63,293.0","68,037.0","75,861.0","80,127.0","87,934.0","90,065.0","97,762.0","102,328.0","110,044.0","105,588.0","123,807.0","138,229.0","158,041.0","179,082.0","198,342.0","205,512.0","206,372.0","210,268.0","239,185.0","248,780.0","282,144.0","276,017.0","275,350.0","274,999.0","288,451.0","305,642.0"
"41","23","    Gross output of nonprofit institutions \2\","DNPERC1","34,009.0","38,091.0","42,770.0","47,353.0","51,832.0","58,803.0","67,193.0","76,310.0","85,160.0","96,659.0","109,356.0","126,100.0","145,650.0","163,805.0","179,216.0","194,432.0","209,278.0","227,298.0","246,863.0","275,519.0","301,238.0","334,437.0","362,892.0","396,390.0","418,746.0","440,076.0","458,544.0","483,135.0","502,624.0","542,521.0","576,319.0","621,641.0","676,441.0","737,060.0","774,643.0","818,994.0","868,456.0","932,226.0","983,141.0","1,040,912.0","1,072,564.0","1,105,893.0","1,139,563.0","1,196,091.0","1,242,886.0"
"42","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,314.0","356,216.0","373,091.0","397,036.0","418,714.0","438,090.0","463,600.0","497,359.0","538,718.0","569,131.0","612,622.0","658,188.0","693,041.0","734,361.0","758,768.0","796,547.0","830,543.0","864,564.0","907,640.0","937,244.0"
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","25","  PCE excluding food and energy \4\","DPCCRC1","470,130.0","502,677.0","549,521.0","607,122.0","670,045.0","721,498.0","799,522.0","897,238.0","1,001,302.0","1,126,355.0","1,243,770.0","1,357,047.0","1,505,084.0","1,625,591.0","1,822,135.0","2,013,963.0","2,220,181.0","2,403,426.0","2,582,385.0","2,810,006.0","3,018,116.0","3,211,486.0","3,331,136.0","3,579,821.0","3,815,591.0","4,062,528.0","4,288,756.0","4,536,504.0","4,811,714.0","5,158,150.0","5,519,133.0","5,929,672.0","6,211,512.0","6,495,462.0","6,809,168.0","7,226,581.0","7,652,257.0","8,083,371.0","8,457,448.0","8,628,101.0","8,577,377.0","8,858,521.0","9,231,790.0","9,604,957.0","9,984,201.0"
"45","26","  Energy goods and services \5\","DNRGRC1","38,985.0","41,505.0","44,344.0","47,837.0","54,383.0","67,463.0","76,667.0","85,637.0","95,601.0","103,706.0","127,356.0","158,402.0","177,089.0","181,181.0","187,348.0","193,090.0","199,540.0","178,570.0","185,353.0","194,076.0","209,310.0","222,968.0","226,062.0","231,368.0","241,939.0","246,381.0","251,675.0","269,688.0","274,230.0","257,446.0","272,359.0","322,145.0","327,589.0","313,539.0","356,780.0","400,833.0","473,638.0","520,361.0","555,726.0","612,663.0","499,633.0","554,771.0","628,363.0","623,280.0","627,984.0"
"46","27","  Market-based PCE \6\","DPCMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,783,238.0","3,012,242.0","3,237,584.0","3,453,841.0","3,572,086.0","3,793,960.0","4,004,335.0","4,233,716.0","4,449,832.0","4,697,714.0","4,951,672.0","5,234,606.0","5,594,970.0","6,003,347.0","6,276,582.0","6,518,598.0","6,853,181.0","7,281,961.0","7,747,822.0","8,181,197.0","8,576,655.0","8,815,402.0","8,705,503.0","9,012,969.0","9,463,699.0","9,839,380.0","10,182,061.0"
"47","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,274,315.0","2,476,091.0","2,663,558.0","2,840,337.0","2,943,678.0","3,158,702.0","3,349,467.0","3,555,737.0","3,754,888.0","3,966,593.0","4,203,080.0","4,490,106.0","4,807,431.0","5,140,943.0","5,385,274.0","5,630,289.0","5,897,096.0","6,248,865.0","6,606,353.0","6,961,042.0","7,284,000.0","7,430,276.0","7,436,306.0","7,669,693.0","8,006,562.0","8,361,582.0","8,682,333.0"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
