"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Gross domestic product","A191RX1","1,056,555.0","966,654.0","904,836.0","788,205.0","778,281.0","862,206.0","939,014.0","1,060,497.0","1,114,566.0","1,077,658.0","1,163,620.0","1,266,115.0","1,490,250.0","1,771,770.0","2,073,742.0","2,239,390.0","2,217,790.0","1,960,925.0","1,939,443.0","2,019,967.0","2,008,940.0","2,183,987.0","2,359,993.0","2,456,103.0","2,571,384.0","2,556,850.0","2,739,027.0","2,797,432.0","2,856,269.0","2,835,335.0","3,030,971.0","3,108,707.0","3,188,123.0","3,383,085.0","3,530,412.0","3,734,043.0","3,976,660.0","4,238,931.0","4,355,242.0","4,569,047.0","4,712,483.0"
"20","2","Personal consumption expenditures","DPCERX1","780,977.0","739,142.0","716,055.0","651,949.0","637,569.0","683,117.0","724,580.0","798,292.0","827,816.0","814,586.0","860,149.0","904,694.0","968,638.0","945,657.0","972,021.0","999,667.0","1,061,484.0","1,193,550.0","1,216,414.0","1,243,887.0","1,278,454.0","1,360,469.0","1,381,714.0","1,425,313.0","1,493,338.0","1,524,714.0","1,637,264.0","1,685,098.0","1,726,758.0","1,741,699.0","1,840,467.0","1,890,951.0","1,929,948.0","2,025,399.0","2,108,843.0","2,234,399.0","2,376,030.0","2,510,587.0","2,585,556.0","2,734,027.0","2,836,243.0"
"21","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"22","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"23","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"24","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","7","Gross private domestic investment","A006RX1","123,595.0","84,177.0","54,721.0","20,183.0","27,299.0","45,153.0","78,564.0","99,338.0","122,335.0","84,169.0","105,568.0","143,791.0","176,000.0","98,010.0","61,141.0","72,977.0","93,915.0","224,952.0","216,517.0","272,881.0","210,867.0","293,744.0","294,452.0","270,401.0","285,601.0","274,371.0","337,698.0","336,764.0","324,159.0","300,643.0","358,399.0","359,718.0","360,869.0","403,762.0","431,170.0","465,177.0","529,558.0","577,114.0","556,923.0","590,212.0","623,085.0"
"26","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"27","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","11","      Equipment","Y033RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","12","      Intellectual property products","Y001RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","13","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","14","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","15","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","16","  Exports","A020RX1","40,492.0","33,466.0","27,812.0","21,795.0","21,929.0","24,375.0","25,701.0","27,000.0","34,008.0","33,635.0","35,505.0","40,391.0","41,410.0","27,342.0","23,046.0","24,754.0","34,688.0","74,932.0","85,439.0","67,293.0","66,670.0","58,379.0","71,537.0","68,443.0","63,857.0","66,949.0","74,098.0","86,330.0","93,857.0","81,168.0","89,534.0","105,064.0","105,622.0","110,950.0","118,883.0","132,886.0","136,603.0","146,047.0","149,386.0","161,175.0","169,036.0"
"35","17","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","18","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","19","  Imports","A021RX1","52,654.0","45,801.0","39,952.0","33,148.0","34,534.0","35,282.0","46,226.0","45,694.0","51,419.0","39,966.0","41,972.0","42,988.0","52,856.0","47,992.0","60,513.0","63,331.0","67,340.0","55,812.0","52,992.0","61,833.0","59,647.0","70,500.0","73,270.0","79,718.0","87,211.0","82,912.0","92,902.0","100,444.0","104,661.0","109,633.0","121,170.0","122,782.0","121,959.0","135,799.0","139,460.0","146,870.0","162,503.0","186,653.0","200,252.0","230,094.0","243,205.0"
"38","20","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","21","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"40","22","Government consumption expenditures and gross investment","A822RX1","165,723.0","182,492.0","190,144.0","184,163.0","177,985.0","199,721.0","205,990.0","239,134.0","229,428.0","246,835.0","268,347.0","277,917.0","467,118.0","1,084,178.0","1,625,993.0","1,826,311.0","1,604,535.0","566,792.0","482,462.0","510,600.0","566,115.0","569,554.0","778,857.0","931,709.0","994,762.0","931,098.0","901,012.0","903,234.0","944,811.0","976,697.0","1,000,918.0","1,006,970.0","1,060,615.0","1,129,511.0","1,157,069.0","1,185,899.0","1,224,194.0","1,330,966.0","1,436,416.0","1,485,723.0","1,488,033.0"
"41","23","  Federal","A823RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"42","24","    National defense","A824RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"43","25","    Nondefense","A825RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"44","26","  State and local","A829RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"45","27","Residual","A960RX1","-1,500.0","-26,800.0","-43,900.0","-56,800.0","-52,000.0","-54,900.0","-49,700.0","-57,500.0","-47,500.0","-61,500.0","-63,900.0","-57,700.0","-109,900.0","-335,400.0","-547,900.0","-621,100.0","-509,500.0","-43,600.0","-8,400.0","-12,900.0","-53,700.0","-27,700.0","-93,300.0","-160,000.0","-179,000.0","-157,300.0","-118,200.0","-113,600.0","-128,700.0","-155,300.0","-137,100.0","-131,300.0","-146,900.0","-150,800.0","-146,100.0","-137,500.0","-127,200.0","-139,100.0","-172,800.0","-172,000.0","-160,600.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
