"","Table 7#8# Supplements to Wages and Salaries by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      Supplements to wages and salaries","A038RC1","67,683.0","73,557.0","82,481.0","94,856.0","106,277.0","118,038.0","135,337.0","151,489.0","174,827.0","199,655.0","227,721.0","252,807.0","283,895.0","306,802.0","336,394.0","372,489.0","406,415.0","441,509.0","468,043.0","510,258.0","559,515.0","601,471.0","637,520.0","705,591.0","741,331.0","773,540.0","784,627.0","805,641.0","837,849.0","896,207.0","952,303.0","1,030,716.0","1,092,110.0","1,145,500.0","1,226,616.0","1,317,601.0","1,394,842.0","1,444,935.0","1,503,094.0","1,546,387.0","1,535,577.0","1,583,923.0","1,635,871.0","1,674,416.0","1,720,056.0"
"20","2","Employer contributions for government social insurance","B039RC1","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,451.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,045.0","382,517.0","408,689.0","428,053.0","447,360.0","461,670.0","471,313.0","458,104.0","469,361.0","493,886.0","513,901.0","526,148.0"
"21","3","Employer contributions for employee pension and insurance funds","B040RC1","44,929.0","49,718.0","56,035.0","63,699.0","66,494.0","73,344.0","88,613.0","97,091.0","113,723.0","128,127.0","145,134.0","163,867.0","180,285.0","197,033.0","216,512.0","233,451.0","258,681.0","283,640.0","301,783.0","325,625.0","365,842.0","395,020.0","422,388.0","477,193.0","501,652.0","519,401.0","520,507.0","530,836.0","548,256.0","588,970.0","628,964.0","685,496.0","734,124.0","779,455.0","844,099.0","908,912.0","966,789.0","997,575.0","1,041,424.0","1,075,074.0","1,077,473.0","1,114,562.0","1,141,985.0","1,160,515.0","1,193,908.0"
"22",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","4","Pension and other employee benefit plans \1\","A2209C1","45,094.0","47,947.0","54,447.0","61,516.0","66,167.0","73,642.0","84,627.0","88,240.0","99,446.0","109,576.0","125,301.0","138,791.0","153,230.0","163,337.0","177,510.0","196,407.0","214,394.0","235,216.0","246,769.0","265,031.0","294,597.0","311,561.0","323,834.0","354,432.0","365,277.0","380,103.0","393,769.0","413,274.0","440,446.0","473,180.0","499,086.0","531,175.0","556,476.0","573,962.0","595,703.0","637,109.0","664,169.0","702,568.0","739,660.0","769,100.0","756,849.0","786,120.0","798,820.0","816,693.0","833,864.0"
"24","5","  Old-age, survivors, and disability insurance","L306051","15,621.0","16,182.0","18,214.0","20,612.0","25,172.0","29,186.0","30,483.0","33,833.0","37,477.0","42,870.0","50,339.0","55,561.0","64,927.0","69,214.0","73,461.0","85,724.0","91,510.0","98,070.0","104,105.0","118,316.0","126,565.0","137,280.0","141,020.0","147,378.0","153,244.0","161,916.0","169,930.0","179,030.0","191,523.0","205,897.0","218,854.0","234,392.0","243,842.0","248,156.0","253,842.0","264,932.0","276,827.0","293,111.0","306,873.0","317,223.0","307,602.0","307,468.0","319,394.0","332,520.0","344,131.0"
"25","6","  Federal civilian pension plans","B4945C1","4,845.0","6,069.0","8,165.0","8,729.0","9,328.0","10,056.0","10,906.0","11,727.0","12,649.0","13,715.0","14,694.0","15,878.0","17,094.0","17,630.0","17,605.0","18,573.0","19,862.0","19,311.0","16,166.0","16,777.0","17,470.0","18,406.0","19,497.0","20,176.0","18,802.0","18,943.0","18,732.0","18,717.0","18,929.0","19,195.0","19,872.0","20,575.0","21,558.0","23,022.0","24,155.0","25,383.0","26,800.0","27,808.0","29,199.0","31,146.0","32,880.0","37,731.0","38,880.0","39,977.0","40,261.0"
"26","7","  Federal military pension plans","B1583C1","6,747.0","6,920.0","7,033.0","7,358.0","7,430.0","7,575.0","7,756.0","7,920.0","8,244.0","8,697.0","9,255.0","10,419.0","12,160.0","13,519.0","14,261.0","15,256.0","16,272.0","17,084.0","17,552.0","18,044.0","18,031.0","16,878.0","17,314.0","15,852.0","13,361.0","12,897.0","12,184.0","11,377.0","11,313.0","11,380.0","11,614.0","12,090.0","12,818.0","14,259.0","16,046.0","16,619.0","17,110.0","16,924.0","18,044.0","20,523.0","23,424.0","26,782.0","27,551.0","27,831.0","27,627.0"
"27","8","  Railroad retirement","CON1701","464.0","517.0","535.0","567.0","766.0","1,131.0","1,124.0","1,255.0","1,384.0","1,456.0","1,652.0","1,712.0","1,872.0","1,972.0","1,949.0","2,194.0","2,273.0","2,536.0","2,514.0","2,670.0","2,619.0","2,610.0","2,620.0","2,622.0","2,628.0","2,555.0","2,525.0","2,594.0","2,669.0","2,802.0","2,841.0","2,851.0","2,831.0","2,713.0","2,545.0","2,509.0","2,567.0","2,660.0","2,699.0","2,795.0","2,681.0","2,692.0","2,874.0","3,020.0","3,184.0"
"28","9","  Pension benefit guaranty","B1043C1",".....",".....",".....",".....",".....","17.0","33.0","29.0","29.0","62.0","74.0","79.0","88.0","93.0","95.0","95.0","95.0","258.0","304.0","544.0","644.0","685.0","817.0","935.0","939.0","960.0","990.0","1,133.0","1,034.0","980.0","933.0","831.0","861.0","836.0","1,055.0","1,640.0","1,247.0","1,593.0","1,331.0","1,595.0","2,402.0","2,616.0","2,244.0","2,904.0","3,225.0"
"29","10","  State and local employee retirement","Y239RC1","6,812.0","7,507.0","9,125.0","10,867.0","10,532.0","11,813.0","13,575.0","12,745.0","13,967.0","15,522.0","17,296.0","18,283.0","19,703.0","21,200.0","23,389.0","25,249.0","27,350.0","29,520.0","31,841.0","34,291.0","43,529.0","48,099.0","52,429.0","66,073.0","69,615.0","73,636.0","78,449.0","82,821.0","88,485.0","94,767.0","101,197.0","109,526.0","117,870.0","123,710.0","133,021.0","153,456.0","158,245.0","167,554.0","175,223.0","180,544.0","184,620.0","201,993.0","201,082.0","200,194.0","200,980.0"
"30","11","  Private pension plans","B4921C1","10,605.0","10,752.0","11,375.0","13,383.0","12,939.0","13,864.0","20,750.0","20,731.0","25,696.0","27,254.0","31,991.0","36,859.0","37,386.0","39,709.0","46,750.0","49,316.0","57,032.0","68,437.0","74,287.0","74,389.0","85,739.0","87,603.0","90,137.0","101,396.0","106,688.0","109,196.0","110,959.0","117,602.0","126,493.0","138,159.0","143,775.0","150,910.0","156,696.0","161,266.0","165,039.0","172,570.0","181,373.0","192,918.0","206,291.0","215,274.0","203,240.0","206,838.0","206,795.0","210,247.0","214,456.0"
"31","12","Health insurance","A2210C1","12,389.0","14,683.0","16,345.0","19,193.0","23,914.0","26,827.0","31,409.0","38,554.0","45,972.0","54,969.0","63,531.0","73,070.0","88,106.0","100,115.0","110,876.0","121,663.0","133,636.0","144,534.0","154,875.0","172,809.0","191,494.0","211,879.0","231,304.0","256,051.0","276,236.0","292,067.0","291,434.0","296,681.0","303,748.0","328,325.0","358,425.0","397,920.0","429,421.0","457,684.0","502,347.0","539,677.0","580,715.0","596,512.0","621,768.0","645,558.0","654,679.0","665,481.0","692,567.0","709,000.0","735,139.0"
"32","13","  Federal hospital insurance","L306061","2,263.0","2,342.0","2,407.0","2,721.0","5,255.0","5,374.0","5,609.0","6,225.0","6,892.0","8,583.0","10,526.0","11,612.0","15,942.0","16,806.0","18,680.0","20,573.0","22,742.0","26,101.0","27,722.0","29,490.0","31,555.0","33,472.0","36,809.0","38,612.0","40,309.0","44,714.0","47,537.0","50,258.0","54,131.0","58,545.0","62,532.0","67,541.0","69,077.0","69,303.0","71,007.0","75,041.0","78,907.0","83,917.0","88,644.0","90,450.0","86,317.0","88,079.0","91,732.0","95,713.0","98,323.0"
"33","14","  Military medical insurance","B1606C1","178.0","211.0","237.0","263.0","286.0","280.0","261.0","251.0","265.0","300.0","347.0","358.0","431.0","545.0","633.0","689.0","791.0","921.0","1,052.0","1,264.0","1,345.0","1,534.0","1,653.0","1,698.0","1,622.0","1,362.0","1,047.0","959.0","942.0","975.0","1,031.0","1,159.0","1,317.0","1,480.0","2,122.0","2,612.0","3,076.0","3,798.0","4,016.0","4,379.0","4,907.0","5,010.0","5,237.0","5,520.0","5,103.0"
"34","15","  Temporary disability insurance","S252101","19.0","28.0","37.0","44.0","47.0","41.0","29.0","29.0","34.0","42.0","54.0","75.0","82.0","95.0","70.0","50.0","30.0","11.0","14.0","16.0","14.0","15.0","16.0","18.0","19.0","20.0","19.0","17.0","14.0","15.0","16.0","21.0","27.0","27.0","28.0","35.0","36.0","32.0","29.0","34.0","40.0","42.0","41.0","37.0","38.0"
"35","16","  Publicly administered government employee insurance funds \2\","Y390RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,877.0","8,186.0","8,740.0","10,848.0","11,426.0","11,498.0","11,245.0","10,757.0","11,152.0","11,273.0","10,491.0","8,256.0"
"36","17","  Private group health insurance \3\","B4923C1","9,929.0","12,102.0","13,664.0","16,165.0","18,326.0","21,132.0","25,510.0","32,049.0","38,781.0","46,044.0","52,604.0","61,025.0","71,651.0","82,669.0","91,493.0","100,351.0","110,073.0","117,501.0","126,087.0","142,039.0","158,580.0","176,858.0","192,826.0","215,723.0","234,286.0","245,971.0","242,831.0","245,447.0","248,661.0","268,790.0","294,846.0","329,199.0","359,000.0","384,997.0","421,004.0","453,249.0","487,848.0","497,339.0","517,581.0","539,450.0","552,658.0","561,198.0","584,284.0","597,239.0","623,419.0"
"37","18","Life insurance","A2211C1","2,414.0","2,447.0","2,469.0","2,517.0","2,526.0","2,728.0","3,065.0","3,114.0","3,331.0","3,728.0","3,874.0","4,132.0","4,359.0","4,669.0","4,880.0","4,899.0","5,568.0","6,071.0","6,132.0","6,459.0","6,665.0","7,251.0","6,991.0","7,971.0","8,585.0","9,134.0","9,489.0","10,030.0","10,820.0","11,472.0","11,603.0","12,383.0","13,062.0","12,336.0","11,450.0","12,628.0","13,207.0","16,032.0","17,755.0","12,984.0","11,109.0","10,524.0","11,267.0","12,481.0","12,665.0"
"38","19","  Veterans life insurance","CON2101","9.0","11.0","8.0","12.0","9.0","2.0","9.0","7.0","6.0","3.0","5.0","6.0","9.0","9.0","6.0","7.0","9.0","8.0","10.0","11.0","13.0","14.0","15.0","22.0","16.0","16.0","7.0","33.0","47.0","30.0","40.0","20.0","18.0","20.0","22.0","33.0","29.0","38.0","49.0","53.0","36.0","58.0","78.0","100.0","119.0"
"39","20","  Private group life insurance \3\","B4924C1","2,405.0","2,436.0","2,461.0","2,505.0","2,517.0","2,726.0","3,056.0","3,107.0","3,325.0","3,725.0","3,869.0","4,126.0","4,350.0","4,660.0","4,874.0","4,892.0","5,559.0","6,063.0","6,122.0","6,448.0","6,652.0","7,237.0","6,976.0","7,949.0","8,569.0","9,118.0","9,482.0","9,997.0","10,773.0","11,442.0","11,563.0","12,363.0","13,044.0","12,316.0","11,428.0","12,595.0","13,178.0","15,994.0","17,706.0","12,931.0","11,073.0","10,466.0","11,189.0","12,381.0","12,546.0"
"40","21","Workers' compensation","A2212C1","4,258.0","4,693.0","4,978.0","5,492.0","6,388.0","7,446.0","8,579.0","10,535.0","13,102.0","15,622.0","18,102.0","19,657.0","20,418.0","19,979.0","20,440.0","22,201.0","25,244.0","28,940.0","33,541.0","38,127.0","41,464.0","46,258.0","50,654.0","58,333.0","59,920.0","60,298.0","58,179.0","54,453.0","52,491.0","53,866.0","54,498.0","59,930.0","64,543.0","71,727.0","82,676.0","87,182.0","92,499.0","86,479.0","82,914.0","79,652.0","73,080.0","72,113.0","75,108.0","76,447.0","80,416.0"
"41","22","  Federal","CON2201","121.0","147.0","176.0","203.0","237.0","309.0","415.0","517.0","571.0","636.0","717.0","838.0","870.0","917.0","933.0","989.0","1,089.0","1,124.0","1,173.0","1,253.0","1,379.0","1,492.0","1,645.0","1,788.0","1,833.0","1,863.0","1,889.0","1,902.0","1,911.0","1,973.0","2,035.0","2,161.0","2,334.0","2,342.0","2,342.0","2,383.0","2,456.0","2,458.0","2,439.0","2,506.0","2,592.0","2,728.0","2,995.0","3,010.0","2,971.0"
"42","23","  State and local","S253001","664.0","725.0","786.0","864.0","994.0","1,154.0","1,337.0","1,650.0","2,118.0","2,675.0","3,028.0","3,040.0","3,084.0","3,098.0","3,036.0","3,290.0","3,741.0","4,395.0","5,176.0","6,139.0","7,104.0","8,015.0","9,211.0","10,277.0","11,102.0","11,444.0","11,021.0","10,222.0","9,203.0","8,558.0","7,947.0","8,199.0","10,015.0","12,154.0","15,984.0","19,253.0","19,122.0","17,011.0","15,130.0","13,987.0","12,634.0","11,851.0","11,733.0","11,800.0","11,584.0"
"43","24","  Private insurance \3\","B4925C1","3,473.0","3,821.0","4,016.0","4,425.0","5,157.0","5,983.0","6,827.0","8,368.0","10,413.0","12,311.0","14,357.0","15,779.0","16,464.0","15,964.0","16,471.0","17,922.0","20,414.0","23,421.0","27,192.0","30,735.0","32,981.0","36,751.0","39,798.0","46,268.0","46,985.0","46,991.0","45,269.0","42,329.0","41,377.0","43,335.0","44,516.0","49,570.0","52,194.0","57,231.0","64,350.0","65,546.0","70,921.0","67,010.0","65,345.0","63,159.0","57,854.0","57,534.0","60,380.0","61,637.0","65,861.0"
"44","25","Unemployment insurance","A2213C1","3,527.0","3,787.0","4,242.0","6,137.0","7,283.0","7,396.0","7,658.0","11,046.0","12,976.0","15,761.0","16,912.0","17,157.0","17,782.0","18,703.0","22,688.0","27,319.0","27,572.0","26,748.0","26,726.0","27,832.0","25,295.0","24,523.0","24,738.0","28,804.0","31,313.0","31,939.0","31,757.0","31,202.0","30,344.0","29,367.0","28,694.0","29,309.0","28,607.0","29,790.0","34,439.0","41,006.0","44,252.0","43,345.0","40,998.0","39,093.0","39,859.0","49,685.0","58,111.0","59,795.0","57,972.0"
"45","26","  State unemployment insurance","CON1201","2,482.0","2,414.0","2,612.0","4,078.0","5,064.0","5,401.0","5,246.0","8,138.0","9,369.0","11,486.0","12,152.0","11,618.0","11,998.0","12,771.0","15,514.0","19,387.0","19,469.0","18,209.0","17,788.0","18,044.0","16,735.0","15,517.0","15,487.0","18,307.0","21,375.0","22,920.0","22,688.0","22,035.0","21,285.0","20,358.0","19,774.0","20,475.0","20,125.0","21,431.0","25,954.0","32,474.0","35,793.0","34,827.0","32,475.0","30,368.0","30,894.0","40,195.0","47,392.0","49,498.0","47,815.0"
"46","27","  Federal unemployment tax","CON1501","669.0","854.0","853.0","1,182.0","1,511.0","1,281.0","1,277.0","1,402.0","1,997.0","2,745.0","3,048.0","3,365.0","3,570.0","3,729.0","4,915.0","5,466.0","5,444.0","5,693.0","5,896.0","6,384.0","5,182.0","5,240.0","5,149.0","5,402.0","5,317.0","5,571.0","5,784.0","5,990.0","6,280.0","6,579.0","6,826.0","7,099.0","7,044.0","6,862.0","6,765.0","6,958.0","7,236.0","7,160.0","7,273.0","7,109.0","6,625.0","6,832.0","8,014.0","7,917.0","8,361.0"
"47","28","  Railroad employees unemployment insurance","CON1601","131.0","128.0","123.0","119.0","118.0","119.0","110.0","150.0","220.0","219.0","196.0","148.0","205.0","180.0","163.0","240.0","229.0","212.0","199.0","190.0","218.0","219.0","172.0","96.0","20.0","22.0","24.0","27.0","27.0","79.0","102.0","64.0","63.0","107.0","154.0","108.0","87.0","88.0","90.0","92.0","94.0","100.0","236.0","215.0","28.0"
"48","29","  Federal employees unemployment insurance","CONBFE1","133.0","280.0","458.0","492.0","324.0","399.0","791.0","912.0","742.0","451.0","449.0","528.0","532.0","340.0","427.0","334.0","312.0","331.0","307.0","312.0","300.0","359.0","518.0","1,243.0","1,255.0","776.0","659.0","605.0","527.0","446.0","408.0","407.0","432.0","614.0","697.0","711.0","670.0","667.0","622.0","722.0","1,280.0","1,690.0","1,916.0","1,647.0","1,266.0"
"49","30","  Private supplemental unemployment","B4926C1","112.0","111.0","196.0","266.0","266.0","196.0","234.0","444.0","648.0","860.0","1,067.0","1,498.0","1,477.0","1,683.0","1,669.0","1,892.0","2,118.0","2,303.0","2,536.0","2,902.0","2,860.0","3,188.0","3,412.0","3,756.0","3,346.0","2,650.0","2,602.0","2,545.0","2,225.0","1,905.0","1,584.0","1,264.0","943.0","776.0","869.0","755.0","466.0","603.0","538.0","802.0","966.0","868.0","553.0","518.0","502.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Employer contributions to privately administered programs and government employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","pension plans are classified as employer contributions for employee pension and insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","funds.  Employer contributions to other publicly administered programs are classified as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","employer contributions for government social insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Includes the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Government contributions to privately administered health, life, and workers' compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","insurance for government employees are classified as employer contributions for employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","pension and insurance funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
