"","Table 6#2D# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"36","29","        Apparel and leather and allied products","N4030C0",17936,16690,16262,14781,13314,13613,12167,11787,11606
"37","30","        Paper products","N4032C0",31015,31697,32589,32023,32862,35854,31438,31669,31868
"38","31","        Printing and related support activities","N4033C0",33067,33885,35303,34196,32724,32946,32619,32902,33473
"39","32","        Petroleum and coal products","N4034C0",9937,9600,9648,9938,11649,10861,14077,15118,15673
"40","33","        Chemical products","N4035C0",65155,67579,72096,71604,78162,79990,85273,88063,89526
"41","34","        Plastics and rubber products","N4036C0",37077,37943,40119,38304,38520,38270,39963,40580,41575
"42","35","    Wholesale trade","N4037C0",291042,313945,328582,334075,333424,344760,363194,384290,411218
"43","36","      Durable goods","N4038C0",182224,197935,207849,208644,202306,207743,218268,231880,249157
"44","37","      Nondurable goods","N4039C0",108818,116010,120734,125431,131118,137017,144926,152411,162061
"45","38","    Retail trade","N4040C0",342302,368225,396611,410526,422335,432592,446369,463321,477795
"46","39","      Motor vehicle and parts dealers","N4041C0",66927,73062,77655,81821,85239,87366,88601,91698,93533
"47","40","      Food and beverage stores","N4042C0",57458,60232,63207,65444,67577,68383,70534,71422,72889
"48","41","      General merchandise stores","N4043C0",47376,50274,55088,57618,61009,63605,66048,69459,72088
"49","42","      Other retail \2\","N4044C0",170541,184657,200661,205644,208510,213238,221187,230742,239285
"50","43","    Transportation and warehousing","N4045C0",174859,186120,199338,203486,204141,204061,222182,231041,243109
"51","44","      Air transportation","N4046C0",31824,34109,37339,40116,38659,36255,38057,36722,36945
"52","45","      Rail transportation","N4047C0",17043,17115,16941,16664,16711,16659,17121,17503,18539
"53","46","      Water transportation","N4048C0",3077,3359,3455,3571,3757,3828,4259,4606,4975
"54","47","      Truck transportation","N4049C0",53663,56780,60281,60867,61051,60980,68171,72513,76261
"55","48","      Transit and ground passenger transportation","N4050C0",9033,9688,10019,10458,10829,11180,11936,12523,13234
"56","49","      Pipeline transportation","N4051C0",3887,4224,5140,5029,3983,3966,3864,3904,4350
"57","50","      Other transportation and support activities \3\","N4052C0",40088,43398,46927,47235,48781,49240,54887,57729,61060
"58","51","      Warehousing and storage","N4053C0",16245,17448,19234,19546,20370,21953,23888,25542,27745
"59","52","    Information","N4054C0",185591,217519,248037,244368,227913,225614,231617,236804,247404
"60","53","      Publishing industries (includes software)","N4055C0",59537,69536,78090,75996,71108,71853,70625,73357,77972
"61","54","      Motion picture and sound recording industries","N4056C0",17937,18289,20007,20205,21278,21203,23680,24116,24937
"62","55","      Broadcasting and telecommunications","N4057C0",84503,98755,109581,109191,102975,100342,103950,104541,107293
"63","56","      Information and data processing services","N4058C0",23613,30940,40359,38976,32552,32217,33363,34790,37201
"64","57","    Finance and insurance","N4059C0",344499,370657,409270,436988,447980,472265,508107,547328,595498
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4060C0",122190,128437,130959,145933,162669,178477,185394,198124,205988
"66","59","      Securities, commodity contracts, and investments","N4061C0",98399,112031,140232,144847,131957,130525,141943,161062,190612
"67","60","      Insurance carriers and related activities","N4062C0",116959,122153,128877,137003,143648,154003,166526,173236,183388
"68","61","      Funds, trusts, and other financial vehicles","N4063C0",6951,8036,9201,9204,9706,9261,14244,14906,15510
"69","62","    Real estate and rental and leasing","N4064C0",66230,70705,77401,81264,84098,87657,94402,101693,109255
"70","63","      Real estate","N4065C0",45782,49103,53475,56707,59699,62876,68261,74252,79977
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4066C0",20448,21601,23926,24557,24399,24781,26141,27441,29278
"72","65","    Professional, scientific, and technical services","N4067C0",378347,421972,486853,499604,489146,497387,526376,568750,619701
"73","66","      Legal services","N4068C0",72491,77968,85396,91445,92332,97706,102598,107216,112442
"74","67","      Computer systems design and related services","N4069C0",73316,90745,114860,111787,104168,99694,104016,112150,124559
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4070C0",232540,253259,286596,296373,292646,299987,319762,349384,382701
"76","69","    Management of companies and enterprises \6\","N4071C0",127482,136054,147400,139885,139463,148209,162630,179381,188843
"77","70","    Administrative and waste management services","N4072C0",193921,213076,211741,217033,222922,232927,242235,265275,284434
"78","71","      Administrative and support services","N4073C0",181541,199175,197720,202179,207396,216667,224666,246726,264845
"79","72","      Waste management and remediation services","N4074C0",12380,13901,14021,14854,15526,16261,17569,18549,19589
"80","73","    Educational services","N4075C0",61248,65903,71987,78103,85509,90911,96864,102473,109068
"81","74","    Health care and social assistance","N4076C0",425881,447132,478784,516242,553840,590918,628033,663483,704247
"82","75","      Ambulatory health care services","N4077C0",194581,202869,217827,234879,249008,264314,276330,294567,312895
"83","76","      Hospitals","N4078C0",142938,149098,156646,168613,182962,197774,216707,228401,242556
"84","77","      Nursing and residential care facilities","N4079C0",52495,55381,59947,64893,69996,73554,76901,79674,83882
"85","78","      Social assistance","N4080C0",35867,39784,44364,47857,51875,55277,58095,60841,64913
"86","79","    Arts, entertainment, and recreation","N4081C0",44475,48364,53596,56948,59856,63071,67053,68813,73635
"87","80","      Performing arts, spectator sports, museums, and related activities","N4082C0",20966,23221,25606,27304,28839,30434,32547,33216,36839
"88","81","      Amusements, gambling, and recreation industries","N4083C0",23509,25143,27990,29644,31017,32637,34506,35596,36796
"89","82","    Accommodation and food services","N4084C0",143720,152818,164689,170604,177810,186842,199638,209575,222462
"90","83","      Accommodation","N4085C0",39821,43363,47228,47556,47437,49706,53128,55400,58351
"91","84","      Food services and drinking places","N4086C0",103898,109455,117462,123048,130374,137136,146510,154176,164111
"92","85","    Other services, except government","N4087C0",141510,148531,157150,165563,176713,184631,194398,199706,209037
"93","86","  Government","A4076C0",916240,955307,1010811,1064825,1139032,1212373,1280345,1346276,1410814
"94","87","    Federal","B4077C0",270047,277379,293875,302949,330074,355837,386543,408360,424234
"95","88","      General government","B568RC0",215079,221292,233761,242905,269383,298871,324052,345709,359219
"96","89","        Civilian","B4079C0",129739,134187,142298,145369,158261,170444,184907,194775,203125
"97","90","        Military \7\","W4080C0",85341,87105,91463,97537,111122,128427,139145,150934,156094
"98","91","      Government enterprises","A4081C0",54968,56087,60114,60043,60691,56966,62491,62651,65015
"99","92","    State and local","B4082C0",646194,677927,716937,761876,808958,856536,893802,937916,986580
"100","93","      General government","B251RC0",603303,633051,669441,710834,754175,798004,831949,872675,918683
"101","94","        Education","B4084C0",322869,339494,360115,381149,404051,430135,448363,469655,495416
"102","95","        Other \8\","B4085C0",280434,293557,309326,329685,350124,367870,383586,403020,423267
"103","96","      Government enterprises \8\","B4086C0",42891,44876,47496,51042,54783,58531,61853,65241,67897
"104","97","Rest of the world","A4187C0",-4563,-5213,-4592,-5163,-5441,-5704,-6148,-6407,-6538
"105","98","  Receipts from the rest of the world","B4188C0",2437,2748,2933,2931,2943,2813,2822,2890,2880
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,7961,7525,8094,8384,8517,8970,9297,9418
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
