"","Table 7#2#1B# Percent Change from Preceding Period in Real Motor","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"18","11","      Used light trucks (including utility vehicles)","W241RL1",-7.1,4.6,6,15.9,12,26.2,-4.3,-9.4,36.8,28.7,17.2,16.3,16.1,-4.9,-0.4,19.7,26.9,30.1,49.8,10.4,19.2,18,25.9,5.6,13.4,1.6,-0.7,13.6,24.8,21.2,22.9,15.5,1.6,3.1,6.7,0.4,3.8,1.3,3.2
"19","12","  Private fixed investment","AB62RL1",22.8,10.4,-18.4,21.2,16.4,16,-8.8,-18.3,21.5,23.4,9.7,-4.6,-24.5,4.5,-3.8,23.1,24.8,5.4,-6.9,-6.8,4.8,-9.6,-6.2,-4.1,4.1,23.3,27.3,5.3,5.3,6.8,3.1,10.8,-5.9,-14,-5.9,-6,19,18.1,11.7
"20","13","    New motor vehicles","AB68RL1",19.4,10.4,-16.3,17,14.3,15.6,-6.6,-14.5,18.3,19.2,9.7,-2.6,-20.9,2.6,-4.3,18.4,28.4,8.6,-5.6,-1.6,6.2,-6.3,-1.4,0.8,7.3,14.6,19.2,3.5,9.6,7.3,8,10.7,-3.4,-10.3,-2,-4.7,13.1,10.9,8.5
"21","14","      Autos","B139RL1",20,5.2,-15.7,23.6,5.5,14,-7.5,1.4,16.1,17.6,6.7,-6.1,-13.4,10.3,-1.6,20.3,26.7,5.2,-0.6,-6,9.7,-7.6,3.8,5.7,0.6,7.2,16.5,-3.9,4,0.9,-1,6.2,-1.2,-6.9,-2.4,-7.7,1.9,7,5.1
"22","15","      Trucks","B705RL1",18.7,17.6,-17.1,9.2,25.9,17.4,-5.8,-29.8,21.4,21.3,13.3,1.2,-28.4,-6.2,-7.9,15.7,30.9,13.2,-12.1,5,1.6,-4.4,-8.3,-6.7,19,25.2,22.4,11.9,15.1,13.1,15.3,13.8,-4.8,-12.5,-1.6,-2.6,20.3,13,10.3
"23","16","        Light trucks (including utility vehicles)","B196RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,-8.1,7.8,0.3,13.2,20.5,31.7,12.9,33.3,22,11.7,14.2,-1.7,-7.5,-2.7,0.2,15.5,11.2,10.3
"24","17","        Other","B197RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.6,-0.8,-22.6,-15.4,27.7,31.4,10.8,10.5,-11.9,-6.8,25.8,12.8,-12.5,-26.2,2.1,-11.2,37,18.3,10.2
"25","18","    Net purchases of used autos and used light trucks","W242RL1",4.1,10.9,-4.8,-3.7,1.2,13.3,9,8.2,4.8,-0.8,10,10.3,-0.1,-5.2,-6.8,0.1,44,20,-1.3,15.8,9.9,2,9.6,10.9,13.2,1,4.4,-0.2,18.6,8.4,17.8,10.5,0.9,-4.5,3.5,-2.7,4.3,-1.9,1.9
"26","19","      Used autos","B140RL1",4,10.8,-4.6,-3.8,0.8,12.3,8.2,8.1,4.3,-0.5,8.4,9.9,-0.4,-5.6,-5.9,-4.1,44.9,17.4,-6,11.3,7.5,0.8,-0.8,12,6.1,2.3,10.1,-1.4,9.4,5.3,8.6,0.8,-1.4,-9.2,0.5,-2.5,4.3,-0.4,-1.1
"27","20","      Used light trucks (including utility vehicles)","W243RL1",16.4,19,-16,11.4,31.7,71,42.1,9.1,20.1,-11.5,62.2,17.7,6.5,2.1,-21,88.5,35,50.4,41.2,42.5,21.1,6.9,49.9,8.1,31.9,-1.7,-8.2,2.8,42.1,14.7,34.7,24.7,3.6,0.7,6.6,-3,4.3,-3.3,4.9
"28","21","  Gross government investment","AB64RL1",-9.5,-2.4,0.1,-0.2,8.4,28,10.9,-4.7,7.5,6.1,5.8,5.9,-2.8,-2.5,-7.3,8.6,35.4,2.7,-7.4,-9,5.8,21.9,2.6,-10.7,4.4,-9.2,-7.5,2.4,-1,5.9,7.4,4.9,3.4,-0.1,1.6,9.3,0.6,6.8,1.9
"29","22","    Autos","B144RL1",3.1,3.7,-0.1,6.2,3.6,-4.6,6.8,-2.6,6.4,19,11.3,-2,-4.2,3,-1.4,-2.3,15.6,-4.6,-6,-0.6,20.7,11.1,13.1,-16.5,18,-6.7,1.8,6.1,-5.4,-10.1,4.4,2.7,-3,3.9,-6.6,-1.1,-1.6,7.3,7.6
"30","23","    Trucks","B708RL1",-15.4,-6,0.3,-4.3,12,51.3,12.7,-5.5,8,1.1,3.3,9.7,-2.2,-4.7,-9.9,13.7,43.3,5.1,-7.8,-11.7,0.3,26.8,-1.5,-8.1,-1.1,-10.4,-12,0.4,1.6,14.9,8.7,5.9,6.1,-1.5,4.9,13,1.3,6.7,0.3
"31","24","  Net exports","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","25","    Exports","AB69RL1",12.7,6.9,-11.9,19.8,8.9,26.9,22.3,18.8,-3.2,-2.7,8.8,12.7,-20.3,-11.2,-27.7,9,12.7,15.4,4.5,7.9,18.4,8.2,-13.5,14.7,12.4,2.3,12.1,3.5,4.4,5.5,-4.9,-3.7,1.5,-3.4,12.3,10,10.8,18.6,10.9
"33","26","      Autos","B142RL1",18.2,-0.7,-19.8,32.4,7.3,28.8,12.8,6.1,4.4,1.3,0,12.9,-23.1,-14.6,-28.5,30.1,10.8,15.5,0.4,2.7,20.7,2.5,-5,16.5,0.8,-4.3,6.7,-1.6,2.7,-2.2,-3.4,-2.9,2.1,7.3,12,4.6,2.9,23,16.4
"34","27","      Trucks","B706RL1",1.8,24.4,2.9,1.4,12.1,23.3,42.1,40.4,-13.2,-9.1,24.5,12.4,-15.7,-6,-26.7,-19.7,16.9,15.2,13.2,17.5,14.8,17.7,-25.9,11.5,35.4,12,18.9,9.2,6.1,13.1,-6.2,-4.3,1,-12.8,12.7,15.8,18.3,15,6.1
"35","28","    Imports","AB70RL1",57.4,19,0.1,23.2,6.6,1,3,-20.4,24,10.8,11.8,-1.8,4.8,-4.6,7.3,13.6,25.9,12.9,7.9,-1.2,-7.3,-6,2.6,-5.5,1.8,7.7,10.5,1.9,2.7,9.9,6.2,22.2,9.2,-2.1,5.2,-0.2,5,1,9
"36","29","      Autos","B143RL1",58,14.6,0.7,25.8,2.4,-1.1,2.6,-20.5,19.7,9.2,7.4,-0.8,6.6,-6.9,8.7,14.4,24,9.8,7.2,-4.9,-10.1,-5.6,-3.4,-9.2,-2.7,11.7,2.8,7.2,-7.1,11.1,4,18.5,9,-2.5,6.2,-3.5,0.2,-3.6,10.7
"37","30","      Trucks","B707RL1",54.4,45.4,-2.5,9.6,33.4,12.4,4.6,-19.7,47.4,18.1,30.3,-5.5,-2.2,4.8,2.2,10.3,33.5,24.3,10.4,10.9,0.7,-7,18,2.3,10.2,1.2,24.6,-6.1,19.7,8.3,9.2,26.9,9.4,-1.7,4.1,3.7,10.3,5.6,7.5
"38","31","Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","  Autos","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","33","    New","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","      Domestic","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","      Foreign","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","    Used","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","37","  Trucks","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","    New","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","      Domestic","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","      Foreign","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Used \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RL1",17.1,4.3,-14.6,20.2,14.8,11.3,-15.6,-6.4,23,14.6,5.8,-6.3,-17.9,2.4,0.4,21.2,20.8,11.5,3.5,-5.4,5.3,-1.8,-3.1,-11.2,7.7,8.6,10.7,-0.1,4.6,7,9.3,10.3,1.1,1.1,3.5,1.2,4.9,3.9,0.6
"51","43","  Private fixed investment in new autos and new light trucks","AB76RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,-7.8,4.8,4.3,3.8,11,21.3,1.9,15.1,10.1,5.1,10.3,-1.5,-7.2,-2.6,-3.6,9.3,9.4,8.1
"52","44","  Domestic output of new autos \2\","B148RL1",23.4,-4.3,-23.3,34.5,6.7,12.5,-23,-6.2,29.8,11.3,-0.4,-7.6,-21.2,6.4,-13.4,36.3,17.7,6.1,-2.7,-5.4,1.2,-1.5,-8.6,-7,4.8,4.2,13.6,-5.4,-2.7,-0.7,-1.3,2.4,0.5,-8.5,3.7,-10.4,-2.5,11.4,2.5
"53","45","  Sales of imported new autos \3\","B149RL1",38,26.8,11.1,16.9,14.1,13.5,-6.8,6.9,3.6,24,2,9.4,4.9,7.1,10.7,13.8,12.8,13.1,16,-5,6.5,-8.7,0.2,-14.3,3.8,3.9,1.1,-3.6,-2.7,8.7,13,16.8,7.1,-1.2,7.7,-1.7,3.9,2.9,8.7
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of personal consumption expenditures, private fixed investment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
