"","Table 5#4#5BU# Private Fixed Investment in Structures by Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"11","3","  Commercial and health care","W001RC0",103641,100114,106828,106633,109296,115772,115423,121302,121621,123871,125374,126384,129128,136088,141329,143657,142313,138764,130633,124214,119316,116398,112503,111748,107894,107495,108479,109684,105796
"12","4","    Office\1\","W031RC0",35812,34462,39252,41314,43127,46347,45720,50495,51910,51888,52463,50840,53545,59611,62647,65109,64772,60985,54257,48662,43553,41149,39086,37791,34493,33325,33206,35760,34252
"13","5","    Health care","W032RC0",19712,19078,19887,19616,19364,20319,20119,20049,20473,20291,20959,21038,20403,21670,22405,23091,22630,22079,21370,21736,22722,24772,25317,26713,26387,26862,26432,26308,25594
"14","6","      Hospitals and special care","C311RC0",15483,15009,15220,14676,14793,15654,15673,15518,15096,15164,15125,15404,14931,15848,16699,17420,17306,17068,16349,16335,17489,19039,19844,21366,20473,20733,20365,20029,19208
"15","7","        Hospitals","W033RC0",11781,11299,11227,10651,10627,10689,10688,10704,10959,10693,10606,10548,10361,10944,11960,12663,13262,13064,12388,12311,13693,14967,15861,17288,16839,17271,16995,16556,16274
"16","8","        Special care","W034RC0",3701,3710,3993,4025,4166,4964,4985,4814,4137,4471,4519,4856,4571,4903,4739,4757,4045,4004,3960,4025,3796,4072,3984,4078,3633,3462,3371,3473,2933
"17","9","      Medical buildings","W035RC0",4230,4069,4667,4940,4571,4665,4446,4531,5377,5127,5834,5634,5472,5823,5706,5671,5324,5010,5021,5400,5233,5732,5473,5347,5914,6129,6067,6279,6386
"18","10","    Multimerchandise shopping","W036RC0",12166,11199,11715,11085,11613,12664,12783,13270,14053,14637,14673,14486,14349,13412,14048,14813,15628,15969,15478,15099,15597,14902,14085,14123,13962,14667,15329,15578,15772
"19","11","    Food and beverage establishments","W037RC0",8634,7410,8283,8202,8540,9195,8380,8509,6843,8130,7912,8545,8619,8573,8271,7901,7643,8071,9266,8304,7396,7534,7345,7833,8197,7216,7556,7908,6877
"20","12","    Warehouses","W038RC0",11962,12220,12224,11300,11244,11461,12496,13018,12933,12792,12910,13395,13773,13813,14020,14678,15126,15564,14893,14001,13004,11546,10498,10182,10370,10422,10367,10752,10278
"21","13","    Other commercial\2\","W039RC0",15355,15746,15467,15117,15408,15785,15925,15960,15408,16132,16455,18079,18439,19008,19939,18064,16513,16097,15369,16412,17044,16496,16171,15106,14485,15004,15589,13379,13025
"22","14","  Manufacturing","C307RC0",37252,36180,38982,38082,40809,41124,40300,39695,36315,32936,31526,29748,30579,32861,31765,31995,33538,31155,29687,23736,20143,17536,14886,13860,13381,13697,13649,13660,13105
"23","15","  Power and communication","W003RC0",27517,28194,29319,30082,32786,33628,33890,33901,35368,37742,41323,43731,44068,45588,47945,49627,49269,50788,49695,48760,49918,49806,49519,50009,51923,48929,47237,47914,51706
"24","16","    Power","W028RC0",15618,15805,16472,17553,19998,21013,21583,21717,20122,20408,21280,22734,25890,27569,28861,29712,29320,29807,30276,30725,31155,31567,31960,32334,35802,32677,31161,31957,34183
"25","17","      Electric","C571RC0",11071,11207,11397,11625,11938,12209,12508,12869,12756,13679,15060,16845,19872,21617,22923,23740,23263,23655,23999,24294,24541,24739,24888,24988,26856,24460,23235,23497,24666
"26","18","      Other power","W029RC0",4547,4598,5075,5928,8060,8804,9075,8848,7366,6729,6220,5889,6018,5951,5939,5972,6057,6152,6276,6430,6614,6828,7072,7345,8946,8217,7926,8459,9517
"27","19","    Communication","C314RC0",11899,12388,12848,12529,12788,12614,12306,12184,15246,17333,20043,20997,18178,18019,19083,19915,19949,20980,19420,18035,18763,18239,17559,17675,16120,16252,16076,15957,17522
"28","20","  Mining exploration, shafts, and wells","E318RC0",21069,22437,22408,23633,23295,24587,24175,21702,19779,20933,19559,22055,23249,26007,28496,30924,34913,39704,43807,38425,29175,24803,25492,23863,25603,29795,31128,31647,32300
"29","21","    Petroleum and natural gas","C319RC0",19571,20979,21012,22318,22098,23476,23135,20714,18840,19984,18564,20982,22012,24691,27129,29540,33592,38412,42558,37235,28056,23770,24559,23044,24356,28613,29945,30470,31106
"30","22","    Mining","C320RC0",1498,1458,1396,1316,1197,1111,1040,988,939,949,995,1073,1236,1316,1367,1384,1322,1292,1248,1190,1119,1033,933,819,1247,1183,1183,1177,1194
"31","23","  Other structures","W004RC0",53606,56236,57635,61523,57969,62420,63706,65166,65208,66528,63861,65030,68177,69873,71545,69833,66369,66827,80325,65433,61444,61035,56951,56862,57271,59292,59299,58973,57451
"32","24","    Religious","C309RC0",5163,5596,5577,6156,6344,5868,6411,7067,7260,7227,7059,7127,7752,7718,7904,7862,7838,8113,8383,8314,8305,8195,7739,7734,8054,8131,8182,7898,7326
"33","25","    Educational and vocational","W044RC0",8666,9570,10315,10749,11332,11426,10398,10730,10132,11012,11010,11405,12136,12849,13699,13480,13593,13725,14527,15511,15035,14823,13757,14588,14310,15302,15275,14587,14668
"34","26","    Lodging","W045RC0",15409,16287,16154,16014,15119,17716,20072,20463,20527,19964,19263,19247,20192,21161,20278,19097,17819,18375,18910,16786,14239,14237,11718,10767,11149,12271,11192,11186,10594
"35","27","    Amusement and recreation","W046RC0",10066,10290,10449,10175,8980,10264,10644,11341,11861,11807,11080,11094,11386,10926,10464,9311,9033,9600,9324,9618,9148,9087,8811,8485,7947,8416,8598,9495,8739
"36","28","    Transportation","W047RC0",5868,5995,6177,6368,7009,7225,7333,7001,6641,6342,6152,6197,6323,6536,6734,6914,7038,7037,6745,6683,6494,6711,6851,6921,7369,6847,6382,6196,6222
"37","29","      Air","W048RC0",1045,998,1014,972,1173,1159,1224,1076,1176,1288,1361,1526,1579,1780,2066,2329,2443,2355,1970,1783,1303,1379,1434,1478,1360,1030,1056,1059,920
"38","30","      Land\3\","W049RC0",4822,4996,5163,5396,5837,6067,6109,5925,5465,5054,4790,4672,4744,4756,4668,4585,4595,4682,4775,4900,5190,5332,5417,5443,6008,5818,5326,5137,5302
"39","31","    Farm","C316RC0",3625,3689,3970,3975,4070,4535,4267,4264,4550,5573,4899,5214,5554,5539,6294,6565,5169,5090,5267,5014,4936,4863,4974,5388,5887,5460,6071,5888,5572
"40","32","    Other\4\","W050RC0",3727,3768,3889,3817,4130,4402,3651,3317,3255,3702,3531,3885,3872,4104,5083,5511,4726,3813,3290,2633,2478,2383,2473,2346,1934,2252,2993,3109,3735
"41","33","    Brokers' commissions on sale of structures","C321RC0",1991,1959,2065,2053,2135,2210,2214,2288,2303,2243,2222,2232,2334,2413,2457,2461,2508,2414,2304,2162,2078,1982,1854,1838,1827,1816,1809,1817,1798
"42","34","    Net purchases of used structures","E322RC0",-908,-919,-961,2216,-1152,-1226,-1284,-1306,-1321,-1341,-1356,-1371,-1372,-1373,-1369,-1368,-1355,-1340,11575,-1291,-1269,-1247,-1226,-1204,-1204,-1204,-1204,-1204,-1204
"43","35","Residential","A012RC0",334526,340503,345055,351246,359529,372085,386154,399267,406726,414670,420613,429294,441179,441461,435720,439813,448543,458488,470037,470288,480637,492444,498760,512683,526696,535264,566864,588427,598188
"44","36","  Permanent site","A943RC0",193921,197078,197840,203409,210079,217609,229099,239145,245673,247783,251630,259998,269321,267974,260250,262643,270821,277217,285059,284467,288425,296301,300219,308856,321033,321937,339682,363338,371294
"45","37","    Single-family structures","A944RC0",172004,174162,175454,179096,185143,193739,204772,213982,218553,220705,223765,232325,240602,238898,233310,234341,241677,247600,254404,252663,256700,263623,267139,276094,287184,288372,304692,328635,337110
"46","38","    Multifamily structures","C292RC0",21918,22917,22385,24312,24936,23870,24327,25163,27120,27078,27865,27673,28719,29076,26940,28301,29144,29617,30655,31804,31725,32678,33080,32762,33849,33565,34990,34703,34184
"47","39","  Other structures","A863RC0",140605,143425,147215,147837,149450,154476,157055,160122,161053,166887,168983,169296,171858,173487,175470,177170,177722,181271,184978,185821,192212,196143,198541,203827,205663,213327,227182,225089,226894
"48","40","    Manufactured homes","A945RC0",13164,13850,14203,14238,14443,15025,15592,16100,15863,15160,14386,14119,13514,11977,10934,9416,8833,8882,9614,9931,8922,8184,8590,8388,7495,6161,6767,7032,6506
"49","41","    Dormitories","C295RC0",708,769,821,862,836,930,943,1116,1138,1174,1237,1554,1598,1304,1154,1375,1741,1440,1398,1649,1676,1459,1172,1629,1574,1619,1671,1574,1617
"50","42","    Improvements","A946RC0",89939,90719,91329,91817,91748,92481,93561,95006,97193,99058,100948,102818,104734,106420,107974,109418,110322,111971,113808,115831,118043,120441,123027,125801,129418,130749,133169,135872,138336
"51","43","    Brokers' commissions on sale of structures","A758RC0",38850,40335,43317,43585,45288,49063,50120,51130,50465,55061,55776,53982,54205,55485,56731,57778,58058,60467,62015,61045,66430,69031,68705,70822,69988,77610,88387,83423,83246
"52","44","    Net purchases of used structures","A759RC0",-2056,-2250,-2455,-2665,-2866,-3022,-3161,-3230,-3604,-3566,-3365,-3178,-2193,-1698,-1322,-817,-1232,-1488,-1856,-2635,-2858,-2972,-2954,-2812,-2812,-2812,-2812,-2812,-2812
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RC0",539734,544537,558261,566011,580278,602589,615759,632150,637175,644283,648977,664577,683407,697050,700305,707796,716967,725673,730146,711575,696253,695227,691731,700381,714969,719062,740476,769080,777517
"55","46","    Nonresidential structures","A771RC0",242002,242119,254068,255685,263171,276545,276564,280783,277309,281108,280776,286087,294240,309376,319993,324944,325249,326163,320268,299697,279188,268842,258723,255708,255450,258596,259187,261264,259763
"56","47","    Residential structures","A756RC0",297732,302418,304193,310326,317107,326044,339195,351367,359866,363175,368201,378490,389167,387674,380312,382852,391718,399510,409878,411878,417065,426385,433008,444673,459519,460466,481289,507816,517754
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
