"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"11","3","D Manufacturing industries","I300",9680,8368,6956,5448,13128,10032,12184,15920,14472,5760,-2612,-7588,-17100,-6456,-9140,-5020,-3672,-1012,8732,16556,10732,800,-2008,-5820,-15040,-3968,-464,-10620,-21876
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","D     Durable goods industries","I30D0",4936,5724,5624,4500,8356,6204,8836,10944,9088,4656,-212,-2732,-8620,280,-3416,1204,1184,-100,3740,5728,4492,-348,280,-1552,-3192,-452,1368,-5548,-14588
"14","5","D       Wood product manufacturing","I3210",-816,-304,48,48,-116,80,328,624,116,-264,-396,224,-204,336,620,240,216,28,300,600,160,-192,-24,200,-208,-20,-404,-500,-588
"15","6","D       Nonmetallic mineral product manufacturing","I3270",168,68,-92,-268,20,-16,-68,120,48,-96,-80,-208,-480,-244,-392,-368,-676,-136,-52,184,352,272,40,-208,-272,-148,-12,-308,-456
"16","7","D       Primary metal manufacturing","I3310",-2468,604,944,1152,1832,1516,2156,2656,2080,724,-224,-776,-1324,316,-312,124,252,816,1124,1120,412,-652,-160,-376,-948,-308,-636,-2100,-3984
"17","8","D       Fabricated metal product manufacturing","I3320",-340,240,112,-12,596,524,828,1280,1312,464,0,-420,-1516,-272,-616,-200,168,296,1008,1128,536,-72,-508,-740,-1176,-168,8,-724,-3408
"18","9","D       Machinery manufacturing","I3330",1896,-496,-548,-636,104,-260,-164,-4,248,588,-128,-220,-1412,-488,-184,220,988,240,1120,180,1084,240,-208,-684,-888,-216,252,-292,-1640
"19","10","D       Computer and electronic product manufacturing","I3340",5956,5628,5152,3868,4576,3380,3488,3876,3288,3072,1712,172,16,2180,-256,1976,1192,-800,196,2300,1856,1048,2216,1288,2128,1880,2848,104,-296
"20","11","D       Electrical equipment, appliance, and component manufacturing","I3350",-960,196,280,424,520,376,556,560,452,124,-236,-380,-612,-60,-344,276,48,292,332,280,316,52,16,-16,-164,-160,-8,-228,-904
"21","12","D       Transportation equipment manufacturing","I3360",1344,-92,-44,-24,432,512,1256,1264,880,148,-204,-764,-1988,-1588,-1668,-932,-928,-520,-836,-800,-648,-1448,-940,-1124,-1096,-832,-468,-1024,-1624
"22","13","D         Motor vehicle and parts manufacturing","I336MV0",724,232,204,-20,436,360,800,1040,812,344,4,-60,-924,-16,-408,-100,-96,200,116,188,632,-176,132,-452,-296,-104,16,-480,-748
"23","14","D         Other transportation equipment manufacturing","I336OT0",620,-324,-248,-4,-4,152,456,224,68,-196,-208,-704,-1064,-1572,-1260,-832,-832,-720,-952,-988,-1280,-1272,-1072,-672,-800,-728,-484,-544,-876
"24","15","D       Furniture and related product manufacturing","I3370",108,-72,-60,-80,56,-40,100,204,132,-120,-192,-16,-172,-64,96,-40,48,-236,56,192,64,-20,-116,-80,-268,-24,-428,-340,-312
"25","16","D       Miscellaneous durable goods manufacturing","I3390",48,-48,-168,28,336,132,356,364,532,16,-464,-344,-928,164,-360,-92,-124,-80,492,544,360,424,-36,188,-300,-456,216,-136,-1376
"26","17","D     Nondurable goods industries","I30N0",4744,2644,1332,948,4772,3828,3348,4976,5384,1104,-2400,-4856,-8480,-6736,-5724,-6224,-4856,-912,4992,10828,6240,1148,-2288,-4268,-11848,-3516,-1832,-5072,-7288
"27","18","D       Food manufacturing","I3110",-376,492,736,-340,1552,500,368,916,1844,672,-724,-372,-896,-1448,152,-820,-1204,-1248,-600,1996,1052,596,-932,-1352,-2680,-2092,-1940,-2728,-1120
"28","19","D       Beverage and tobacco product manufacturing","I3120",-116,-256,-216,-152,-160,-196,-180,-216,-8,4,-64,-60,-220,-268,-284,-324,-28,-12,56,120,-152,-136,-164,-200,-172,-124,-120,-124,-127
"29","20","D       Textile mills","I3130",172,8,24,48,20,-20,120,232,288,316,124,140,0,-68,52,-56,-148,288,232,168,60,76,40,20,-32,-88,36,-20,-10
"30","21","D       Textile product mills","I3140",-128,76,72,52,-16,4,116,192,196,184,132,76,-8,-60,-76,-108,4,192,232,220,176,192,96,108,-16,-24,104,44,5
"31","22","D       Apparel manufacturing","I3150",-140,152,116,0,-212,-40,316,300,368,404,416,-12,40,108,-100,-44,-160,136,16,324,104,232,168,68,152,-64,148,100,44
"32","23","D       Leather and allied product manufacturing","I3160",-128,44,72,28,168,20,24,92,28,4,20,-52,-60,-8,-48,-128,-76,-204,76,80,-44,48,20,-80,-152,-16,-28,-60,-173
"33","24","D       Paper manufacturing","I3220",1648,-56,-40,112,-356,272,-36,20,672,1148,860,-92,-224,-640,-824,-1180,-1268,-932,392,1600,1792,1380,536,-272,-112,-516,-508,-188,-562
"34","25","D       Printing and related support activities","I3230",840,-476,-240,-136,-252,56,-152,-100,608,832,540,-52,-220,-308,-528,-588,-556,-544,352,1064,876,672,108,-172,-56,-360,-184,-8,-258
"35","26","D       Petroleum and coal product manufacturing","I3240",2260,2000,808,864,2812,1752,1328,1620,-788,-2916,-2372,-3032,-3260,-844,-1640,-1344,1136,936,1100,2356,-420,-1336,-220,-580,-3140,2332,172,-812,-1143
"36","27","D       Chemical manufacturing","I3250",412,812,-92,200,1004,936,568,900,1352,568,-672,-800,-2740,-1752,-1804,-1560,-2336,444,1812,1668,1824,-444,-1252,-1564,-4232,-1020,156,-1272,-2813
"37","28","D       Plastics and rubber product manufacturing","I3260",300,-152,92,272,212,544,876,1020,824,-112,-660,-600,-892,-1448,-624,-72,-220,32,1324,1232,972,-132,-688,-244,-1408,-1544,332,-4,-1132
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","I30M0",3860,2500,2536,2456,4864,4728,5308,6168,6444,2840,-360,-2456,-3948,-3124,-1940,-1640,76,912,4776,7104,4928,388,-1476,-2476,-5272,-1792,-1308,-5412,-8109
"40","30","D       Durable goods industries","I30DM0",1336,1912,2056,2140,3184,3132,3804,4276,4020,1812,296,-772,-1588,-408,-320,528,1928,1504,2920,2884,1680,-244,-416,-704,-1248,-440,-432,-3344,-5708
"41","31","D       Nondurable goods industries","I30NM0",2524,588,480,316,1680,1596,1504,1892,2424,1028,-656,-1684,-2360,-2716,-1620,-2168,-1852,-592,1856,4220,3248,632,-1060,-1772,-4024,-1352,-876,-2068,-2401
"42","32","D     Work-in-process","I30W0",3064,2844,2476,1996,3984,2732,3580,4600,3596,1568,-356,-1932,-4852,-1124,-2684,-896,-516,-840,1112,2824,1128,-652,-500,-1376,-2808,36,492,-2296,-5668
"43","33","D       Durable goods industries","I30DW0",2872,2284,2184,1672,2992,2024,2924,3668,2984,1660,116,-1024,-3304,-332,-1696,168,-56,-796,276,1080,700,-620,-36,-536,-840,52,648,-1388,-4496
"44","34","D       Nondurable goods industries","I30NW0",192,560,292,324,992,708,656,932,612,-92,-472,-908,-1548,-792,-988,-1064,-460,-44,836,1744,428,-32,-464,-840,-1968,-16,-156,-908,-1172
"45","35","D     Finished goods","I30F0",2756,3024,1944,996,4280,2572,3296,5152,4432,1352,-1896,-3200,-8300,-2208,-4516,-2484,-3232,-1084,2844,6628,4676,1064,-32,-1968,-6960,-2212,352,-2912,-8098
"46","36","D       Durable goods industries","I30DF0",728,1528,1384,688,2180,1048,2108,3000,2084,1184,-624,-936,-3728,1020,-1400,508,-688,-808,544,1764,2112,516,732,-312,-1104,-64,1152,-816,-4384
"47","37","D       Nondurable goods industries","I30NF0",2028,1496,560,308,2100,1524,1188,2152,2348,168,-1272,-2264,-4572,-3228,-3116,-2992,-2544,-276,2300,4864,2564,548,-764,-1656,-5856,-2148,-800,-2096,-3714
"48","38","D Wholesale trade industries","IWT0",5380,6700,7724,6408,9072,7272,11144,6748,4912,2088,-1576,-4960,-11116,-3380,2268,-2920,1300,3516,5264,9492,1300,-396,-8752,-3588,-8108,600,-1208,-13532,-17956
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","D     Durable goods industries","IWTD0",4372,4640,5720,5612,6124,5812,7196,6120,5236,3192,388,-1608,-3476,848,1876,3180,5560,2220,3076,3844,2416,-524,-164,-1024,-524,-288,4,-5216,-10904
"51","40","D     Nondurable goods industries","IWTN0",1008,2060,2004,796,2948,1460,3948,628,-324,-1104,-1964,-3352,-7640,-4228,392,-6100,-4260,1296,2188,5648,-1116,128,-8588,-2564,-7584,888,-1212,-8316,-7052
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","D     Merchant wholesale industries","I42W0",3536,5004,6408,5536,7516,6508,9948,4944,3752,1796,-912,-3932,-8284,-3308,3556,-2512,1664,3520,4544,7740,-184,-272,-9088,-2968,-6440,468,-1748,-12920,-15888
"54","42","D       Durable goods industries","I42WD0",3140,3464,4528,4840,5300,5520,6360,4872,4348,2540,516,-1372,-1984,276,2384,2856,5640,2440,2936,3208,1276,-568,-704,-764,-308,-392,-568,-5000,-9656
"55","43","D         Motor vehicles, parts, and supplies wholesalers","I42110",404,640,848,716,224,-32,-172,-528,28,-132,-188,-512,-120,-364,-364,-384,336,388,-96,768,188,344,508,-48,-28,272,296,-228,133
"56","44","D         Furniture and home furnishings wholesalers","I42120",48,76,16,28,-76,-68,-20,-52,20,-16,-44,-36,-28,-72,-68,-52,-56,-8,20,-8,-32,12,-88,-56,0,-88,-104,0,122
"57","45","D         Lumber and other construction materials wholesalers","I42130",-320,-372,140,384,132,220,200,232,-516,-564,-476,400,-160,240,500,256,48,-616,48,584,-188,-164,52,200,-128,-208,-428,-320,-695
"58","46","D         Professional and commercial equipment wholesalers","I42140",2588,2724,3136,3016,4100,4120,3876,3056,3232,2500,2052,1444,1484,1272,1080,1504,3348,1264,1548,1224,924,776,948,720,1052,568,532,292,34
"59","47","D           Computers and software wholesalers","I421430",2740,2896,3144,3088,4140,4072,3872,3148,3156,2556,2152,1508,1468,1300,1280,1716,3240,1360,1792,1452,1012,704,1044,900,1260,636,652,664,451
"60","48","D           Other professional and commercial equipment wholesalers","I4214X0",-152,-172,-8,-72,-40,48,4,-92,76,-56,-100,-64,16,-28,-200,-212,108,-96,-244,-228,-88,72,-96,-180,-208,-68,-120,-372,-417
"61","49","D         Metal and mineral (except petroleum) wholesalers","I42150",-116,-108,148,140,356,452,788,1220,1232,504,8,-540,-1148,-432,244,584,580,604,652,456,108,-764,-908,-760,-456,-84,116,-1056,-3545
"62","50","D         Electrical goods wholesalers","I42160",744,356,188,528,496,332,412,40,72,368,496,340,288,100,28,316,560,576,464,240,68,368,284,328,452,148,160,200,429
"63","51","D         Hardware and plumbing and heating equipment wholesalers","I42170",-40,-40,-56,-84,-16,32,12,-20,-40,-12,-140,-108,-72,-88,-88,-24,-108,-108,-120,-136,-72,-8,-24,-64,-84,-144,-92,-76,-196
"64","52","D         Machinery, equipment, and supplies wholesalers","I42180",-36,160,100,124,-512,-408,-296,-504,-484,-244,-80,-224,-460,-384,-320,-352,-416,-548,-440,-388,-204,-216,-448,-552,-408,-532,-624,-532,-727
"65","53","D         Miscellaneous durable goods wholesalers","I42190",-132,28,8,-12,596,872,1560,1428,804,136,-1112,-2136,-1768,4,1372,1008,1348,888,860,468,484,-916,-1028,-532,-708,-324,-424,-3280,-5210
"66","54","D       Nondurable goods industries","I42WN0",396,1540,1880,696,2216,988,3588,72,-596,-744,-1428,-2560,-6300,-3584,1172,-5368,-3976,1080,1608,4532,-1460,296,-8384,-2204,-6132,860,-1180,-7920,-6232
"67","55","D         Paper and paper products wholesalers","I42210",232,328,-136,-380,-340,24,228,416,248,-240,-380,-372,-452,-972,-240,-56,-12,168,412,248,284,212,-128,-84,-4,-204,136,160,58
"68","56","D         Drugs and druggists' sundries wholesalers","I42220",-32,144,-108,-268,-1092,-1976,-732,-608,24,20,-312,-208,-164,-64,-252,-180,-136,-8,-28,-176,-148,-104,-272,-280,-184,-228,-328,-236,-315
"69","57","D         Apparel, piece goods, and notions wholesalers","I42230",-60,-136,-116,-132,-128,8,92,24,172,108,100,44,-40,32,88,-4,-48,-172,64,144,224,276,80,-24,-168,-20,84,68,71
"70","58","D         Grocery and related products wholesalers","I42240",192,328,104,4,-268,-116,-280,-192,-220,-380,-232,192,-168,-568,380,-376,-1260,-420,-76,132,-1076,1576,260,-104,-1180,-744,-932,-1176,541
"71","59","D         Farm product raw material wholesalers","I42250",-212,-220,2320,1044,1540,2164,3660,448,1052,1624,1732,512,-2320,-804,3160,-2712,-1148,1328,-368,1348,-252,224,-6240,-384,-188,-348,856,-4428,-3410
"72","60","D         Chemical and allied products wholesalers","I42260",8,152,-48,12,136,120,172,136,176,64,-188,-368,-376,-332,-316,-56,-336,116,476,304,168,-384,-264,-284,-852,0,76,-104,-646
"73","61","D         Petroleum amd petroleum products wholesalers","I42270",512,1480,-120,444,1988,752,864,520,-508,-2020,-1748,-1400,-2368,-200,-848,-820,988,392,1044,2560,-976,-840,-908,-956,-3800,3316,-848,-1212,-1480
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-132,-96,-36,68,-112,-64,-96,-196,-24,40,-108,-16,-96,-288,-236,-104,-136,-52,-4,-60,12,-24,-32,-120,20,-136,16,20,-57
"75","63","D         Miscellaneous nondurable goods wholesalers","I42290",-112,-440,20,-96,492,76,-320,-476,-1516,40,-292,-944,-316,-388,-564,-1060,-1888,-272,88,32,304,-640,-880,32,224,-776,-240,-1012,-993
"76","64","D     Nonmerchant wholesale industries","I42N0",1844,1696,1316,872,1556,764,1196,1804,1160,292,-664,-1028,-2832,-72,-1288,-408,-364,-4,720,1752,1484,-124,336,-620,-1668,132,540,-612,-2068
"77","65","D       Durable goods industries","I42ND0",1232,1176,1192,772,824,292,836,1248,888,652,-128,-236,-1492,572,-508,324,-80,-220,140,636,1140,44,540,-260,-216,104,572,-216,-1248
"78","66","D       Nondurable goods industries","I42NN0",612,520,124,100,732,472,360,556,272,-360,-536,-792,-1340,-644,-780,-732,-284,216,580,1116,344,-168,-204,-360,-1452,28,-32,-396,-820
"79","67","D Retail trade industries","I440",4404,4160,4820,3432,5804,2172,3300,1032,2252,24,-5316,-4696,-1492,-2388,-496,-2220,-308,-2320,1888,5224,2032,2140,-552,-1140,-2856,1640,240,956,-348
"80","68","D   Motor vehicle and parts dealers","I4410",324,680,2060,688,1424,616,-28,-720,1288,-92,-2360,-3124,360,-1516,-1092,-2156,-1048,-768,1360,2132,1300,2224,1208,748,748,660,3332,4528,2254
"81","69","D   Furniture, furnishings, electronics, and appliance stores","I44230",1864,1356,1516,1112,1540,1440,2004,1272,1288,1092,504,472,528,672,664,812,1248,600,760,500,636,492,480,272,648,96,32,160,88
"82","70","D   Building material and garden equipment and supplies dealers","I4440",-208,-320,-100,260,84,-144,-108,128,156,-264,-680,132,-584,-568,-24,144,124,-248,-120,260,-4,-608,-648,-180,36,-492,-584,-960,-951
"83","71","D   Food and beverage stores","I4450",288,16,228,-28,264,-112,-116,-180,-420,-12,-444,-276,356,-412,216,-180,-1112,-972,-536,-312,-372,456,-180,-116,-456,-728,-440,-1136,240
"84","72","D   Clothing and clothing accessories stores","I4480",-36,-128,-40,-20,-88,0,104,-56,36,144,80,64,-192,-160,-48,-8,192,-96,60,224,312,324,104,-216,-556,-428,-168,-116,-229
"85","73","D   General merchandise stores","I4520",108,28,48,40,64,-100,-32,8,-24,144,-44,-148,320,216,276,300,-280,-392,-220,-24,60,-48,-172,-212,-204,-212,-180,-316,-143
"86","74","D     Department stores","I45210",88,88,92,80,60,12,92,100,220,212,172,140,332,360,364,360,-172,-240,-168,-144,-24,-52,-84,-124,-64,-44,-12,-8,-38
"87","75","D     Other general merchandise stores","I45290",20,-60,-44,-40,4,-112,-124,-92,-244,-68,-216,-288,-12,-144,-88,-60,-108,-152,-52,120,84,4,-88,-88,-140,-168,-168,-308,-105
"88","76","D   Other retail stores","I44X0",2064,2528,1108,1380,2516,472,1476,580,-72,-988,-2372,-1816,-2280,-620,-488,-1132,568,-444,584,2444,100,-700,-1344,-1436,-3072,2744,-1752,-1204,-1607
"89","77","D Other industries","IOTH0",968,1144,-52,-188,988,420,624,1356,1048,-420,-1140,-1404,-2184,-520,-328,-984,-844,-624,1296,3468,996,476,80,-740,-2136,2176,-560,-116,-316
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
