"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"11","3","Q1NEW1 B     New autos (70)","Q1NEW10",110789,103765,102002,93295,79275,79043,80627,80113,85675,82840,82966,85227,81132,86423,86300,91939,89425,88355,86881,88395,80119,81588,81521,85455,82543,81240,78229,80220,81111,75207,82848,84969,82542,89471,84508,91542,90772,97647,99442,102084,108018,105490,103052,97769,100880,100508,96536,117108,102322,103082,107721,98156,98577,103304,104281,97226,99390
"12","4","Q1NDC1 D       New domestic autos","Q1NDC10",70738,64825,65195,57527,50618,48880,50101,51412,54300,51353,53673,54595,53165,56154,56999,62887,61056,59598,57547,61113,53792,54879,56561,60558,59245,57572,52890,54444,53327,49363,54232,54289,52808,58415,54283,59405,58873,61922,63068,61413,69061,66638,64314,58347,64149,60859,58436,75466,62860,63534,67683,58181,59722,65348,65311,58153,61402
"13","5","Q1NFC1 D       New foreign autos","Q1NFC10",40053,38942,36810,35769,28659,30164,30528,28703,31377,31489,29295,30633,27968,30270,29302,29053,28370,28758,29336,27282,26327,26710,24961,24898,23299,23669,25339,25776,27784,25843,28616,30680,29734,31056,30225,32137,31899,35724,36374,40671,38957,38851,38738,39422,36731,39648,38101,41642,39462,39548,40037,39976,38855,37955,38970,39073,37988
"14","6","Q1NPU1 B     Net purchases of used autos (71)","Q1NPU10",42481,42078,42617,42436,46241,41877,46784,44362,47288,48667,47623,47683,49930,49043,48246,46244,55514,51736,53166,53487,53677,50743,56059,50740,51951,56265,57813,53175,61149,55754,55603,57016,55069,54610,65517,70151,59328,66511,65654,55342,65757,54754,55938,66152,57329,65936,63155,48040,62602,61402,46810,57914,58567,47729,52210,58637,47593
"15","7","Q1NET1 D       Net transactions in used autos","Q1NET10",22363,22961,23055,23269,25985,23131,27433,25200,27386,28338,27170,26806,29061,27850,26872,25609,33339,30109,31447,29889,30823,27783,32900,28994,29113,32818,34577,31061,38635,33394,32236,34528,33775,32607,42809,46300,37739,42964,42170,33903,41854,32930,33109,42106,33141,40619,39183,23951,39628,39567,26525,37688,38208,29004,32365,38656,28968
"16","8","Q1MAR1 D       Used auto margin","Q1MAR10",22628,21376,21906,21401,22585,21191,21269,21402,22265,22656,22779,23294,22958,23498,23851,23100,24067,23690,23729,25819,24932,25293,25095,23827,24967,25438,25140,24088,24414,24255,25237,24393,23189,23879,24504,25666,23415,25373,25318,23163,25702,23557,24560,25723,26015,27132,25799,25932,24790,23624,21973,21825,21971,20632,21620,21573,20355
"17","9","Q1REE1 D       Employee reimbursement","Q1REE10",-1861,-1843,-1857,-1845,-2076,-2054,-1999,-2060,-2300,-2322,-2168,-2137,-2127,-2123,-2138,-2096,-2055,-2038,-2055,-2031,-1994,-2011,-1990,-1983,-1944,-1965,-1962,-1998,-1938,-1914,-1888,-1863,-1863,-1857,-1798,-1813,-1834,-1791,-1793,-1730,-1753,-1733,-1724,-1729,-1747,-1807,-1851,-1818,-1730,-1697,-1679,-1738,-1759,-1756,-1715,-1688,-1749
"18","10","Q1OAU1 C     Other motor vehicles (72)","Q1OAU10",86187,80467,78273,73429,70282,70933,75288,74315,77899,81962,85474,87513,86425,92248,91277,96899,98152,98523,95839,102041,97547,98760,99379,103672,107679,108663,110030,114319,117490,118952,129030,133526,129822,145769,146500,165545,159237,169478,169709,165881,180254,167216,174726,170795,178965,186758,190724,224372,214187,208182,225470,215384,209582,229341,260584,250976,235416
"19","11","Q1TRU1 D       Trucks, new and net used","Q1TRU10",79388,73796,71202,67600,63065,64131,69467,67734,70885,75408,78929,80241,79353,84461,83097,89074,89809,89688,87259,92509,89132,89620,90201,95316,99153,99983,100656,104950,107985,109575,119338,123511,119578,135192,135338,154071,147946,157756,158210,153285,167117,155222,163138,159576,168176,175493,179529,213351,202743,196849,213701,203414,197170,216173,246897,237020,220740
"20","12","Q1REV1 D       Recreational vehicles","Q1REV10",6904,6733,7059,5918,7118,6754,5918,6590,7009,6637,6664,7334,7145,7844,8205,7895,8392,8869,8613,9562,8461,9178,9217,8390,8558,8715,9421,9406,9544,9409,9709,10031,10277,10580,11182,11468,11292,11721,11495,12609,13142,11996,11587,11217,10794,11271,11204,11076,11480,11364,11819,11994,12404,13177,13756,13990,14626
"21","13","Q1TBA1 C     Tires, tubes, accessories, and other parts (73)","Q1TBA10",29668,29446,29332,28588,28064,29311,28866,28105,28777,28993,29498,30391,30525,31735,32975,33348,34762,34971,35807,36464,36099,36837,37538,38157,38977,39492,39769,40466,40946,40918,41902,42165,42824,43957,43674,44710,45766,46652,47675,48639,49245,48665,49441,48796,47404,47995,47445,48580,47462,47450,47969,47942,48126,49008,50120,50797,51340
"22","14","Q1TAT1 D       Tires and tubes","Q1TAT10",14193,14152,14169,13620,13439,14091,13731,13164,13394,13414,13599,13940,13906,14334,14807,14915,15529,15502,15757,15829,15634,15846,15987,16250,16580,16797,16794,16965,17045,17054,17517,17718,18043,18464,18324,18893,19370,19643,20234,20711,21096,20685,20925,20741,20125,20290,20028,20546,20050,20047,20471,20522,20556,20980,21548,21924,22223
"23","15","Q1PAA1 D       Accessories and parts","Q1PAA10",15434,15254,15124,14929,14587,15180,15095,14903,15345,15542,15861,16412,16583,17365,18134,18399,19199,19437,20020,20614,20445,20976,21545,21901,22391,22689,22973,23504,23909,23870,24390,24450,24782,25495,25354,25817,26396,27011,27441,27929,28150,27980,28517,28055,27279,27706,27419,28035,27413,27404,27498,27420,27570,28029,28573,28876,29122
"24","16","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122168,120213,118983,118079,118770,121874,122609,121101,124606,125557,128858,132022,136196,139794,142773,145586,148712,154229,158813,165312,166166,169474,176076,181546,183201,192663,195636,201978,206387,212683,220171,225847,233460,238554,249033,257604,266140,275073,285650,296066,306671,311280,315898,317779,322498,326669,332855,343706,356213,362841,366167,373473,374675,391672,412393,422465,432616
"25","17","Q1FNR1 C     Furniture, including mattresses and bedsprings (29)","Q1FNR10",43828,41916,41031,40383,40498,41198,41175,41125,41048,40763,41735,41853,42661,43915,44171,44470,44553,45457,46934,48605,47730,48031,49116,50072,49806,51837,52049,53338,54698,54721,56551,58070,58928,58625,58954,60444,61391,61989,63958,65559,66747,68593,68543,66501,67376,67417,68482,70214,72366,72567,71992,72873,71875,74574,76906,78235,79307
"26","18","Q1APP1 C     Kitchen and other household appliances (30)","Q1APP10",22522,22292,22009,21883,21868,22450,22024,21773,22854,22980,23106,23643,23417,23813,24421,24073,23870,24075,24076,24848,24983,24819,25385,25228,25042,25610,25076,25660,24902,25156,25339,25381,25869,26496,26813,27104,27899,28896,29541,29327,30036,30185,30412,31006,30908,30654,30923,31601,31906,32433,32255,32680,33034,34365,36024,37117,38113
"27","19","Q1MHA1 D       Major household appliances","Q1MHA10",20094,19742,19388,19171,19071,19520,19017,18713,19553,19640,19698,20137,19990,20363,20899,20405,20267,20511,20442,21059,21189,21071,21595,21410,21241,21697,21280,21842,21234,21507,21638,21658,22042,22685,22912,23068,23730,24602,25155,24885,25557,25607,25709,26202,26067,25788,25946,26438,26598,27019,26804,27156,27459,28624,30023,30985,31800
"28","20","Q1SEA1 D       Small electric appliances","Q1SEA10",2561,2663,2718,2794,2868,2995,3050,3090,3320,3356,3417,3511,3438,3467,3541,3665,3603,3571,3635,3787,3793,3748,3793,3819,3802,3914,3797,3820,3670,3653,3705,3726,3828,3817,3905,4036,4169,4296,4387,4443,4480,4579,4703,4805,4842,4868,4981,5171,5323,5431,5472,5546,5596,5757,6018,6143,6327
"29","21","Q1CHN1 C     China, glassware, tableware, and utensils (31)","Q1CHN10",18233,17623,17548,17816,17793,17816,17406,17300,17871,18448,19041,19248,19701,19607,20015,19870,20366,20965,21370,21719,21570,22542,22787,23258,22994,23930,23887,24795,24719,24831,25319,25166,25763,25546,26370,27326,27706,28233,29066,30735,31020,30601,30922,31429,31395,31727,31878,32472,33361,33817,34458,35110,34650,35849,37053,37255,38203
"30","22","Q1RAD1 C     Video and audio goods, including musical instruments, and computer goods (91)","Q1RAD10",18406,18662,18696,18723,19043,20243,21286,20740,21576,21850,22726,23764,25261,26568,27530,28923,30243,32020,33429,35532,36430,37733,40780,43350,45030,48251,50028,52286,54864,59134,62422,65428,69815,73557,79958,84179,88947,94225,100069,104674,111749,115179,118468,120995,124439,128560,133835,141437,149293,154445,158156,162983,165532,174025,186206,192729,199125
"31","23","Q1VAM1 C       Video and audio goods, including musical instruments (92)","Q1VAM10",32246,32423,32278,31713,31190,32455,33044,31832,33263,33009,33747,34898,35804,37010,37305,38066,39365,41432,42694,44275,44321,44568,46926,47784,47887,48914,48972,49373,49021,50753,51401,52175,54019,55659,57742,58731,60305,62968,66085,68141,71504,72378,73267,73906,74962,76109,77980,80497,83274,85784,86915,87239,87422,90620,94900,97358,100333
"32","24","Q1TVV1 D         Television receivers, video cassette recorders, and videotapes","Q1TVV10",10919,10908,10702,10464,10294,10509,10547,10171,10445,10270,10369,10582,10829,11277,11627,11686,12037,12547,12870,13323,13279,13408,13980,14229,14342,14536,14604,14653,14435,14774,15196,15377,16078,16629,17356,17968,18992,20149,21203,22037,23641,24641,25718,26592,27463,28624,30190,31789,32764,34045,35030,36457,37485,39967,42624,44515,46708
"33","25","Q1TVS1 D           Television receivers","Q1TVS10",7758,7754,7596,7287,7115,7312,7264,7024,7198,7081,7170,7333,7382,7691,8011,7950,8058,8285,8576,8855,8758,8795,9106,9243,9217,9340,9338,9443,9181,9305,9494,9574,10012,10257,10575,10775,11374,12032,12529,12858,13727,14181,14740,15041,15356,15864,16646,17634,18176,18855,19368,20126,20618,22108,23794,24977,26505
"34","26","Q1OVE1 D           Video equipment and media","Q1OVE10",3475,3469,3411,3427,3408,3447,3511,3373,3474,3413,3432,3490,3659,3808,3868,3961,4175,4438,4494,4669,4705,4788,5041,5151,5268,5341,5401,5363,5377,5574,5793,5888,6154,6443,6832,7220,7646,8142,8689,9183,9915,10458,10977,11553,12119,12785,13579,14182,14615,15222,15699,16373,16921,17898,18841,19533,20165
"35","27","Q1AMI1 D         Audio equipment, media, and instruments","Q1AMI10",20836,21066,21229,20939,20589,21739,22368,21532,22779,22748,23454,24465,25139,25860,25683,26468,27443,29061,30032,31179,31293,31389,33241,33858,33819,34698,34671,35048,34951,36414,36568,37180,38289,39370,40710,41016,41469,42932,44990,46187,47889,47723,47532,47320,47545,47608,48036,49067,50862,52157,52420,51622,51030,52105,54031,54897,56026
"36","28","Q1AUD1 D           Audio equipment","Q1AUD10",10843,11030,10937,10510,10169,10506,10706,10292,10995,11111,11312,11721,11794,12251,12747,12864,13391,14075,14556,15237,15203,15207,15856,16201,16053,16307,16304,16402,16053,16836,16842,16830,17598,18339,19141,19419,19643,20848,22245,23080,24435,23753,23773,24185,24470,24907,25662,26390,27214,28170,28807,28971,28887,30353,32208,32540,33585
"37","29","Q1RTD1 D           Records, tapes, and disks","Q1RTD10",7829,7898,8177,8315,8335,9037,9413,9121,9617,9546,9999,10504,11016,11215,10681,11247,11619,12373,12783,13113,13286,13401,14474,14603,14789,15392,15498,15609,15944,16514,16680,17155,17430,17723,18263,18254,18268,18528,19020,19147,19282,19551,19278,18833,18854,18333,18063,18180,18831,18974,18588,17926,17638,17600,17676,17977,18258
"38","30","Q1MSC1 D           Musical instruments","Q1MSC10",2062,2022,2018,2059,2055,2196,2264,2131,2158,2059,2130,2237,2362,2412,2187,2325,2392,2586,2665,2784,2768,2750,2910,3049,2986,3031,2900,3077,3033,3134,3125,3308,3345,3370,3357,3384,3594,3567,3726,3957,4176,4420,4480,4299,4218,4392,4377,4585,4900,5122,5190,4968,4776,4557,4704,4920,4792
"39","31","Q1CPT1 C       Computers, peripherals, and software (93)","Q1CPT10",543,574,593,650,763,881,1042,1058,1084,1185,1313,1429,1716,1909,2158,2474,2675,2881,3117,3537,3850,4285,4922,5765,6472,7667,8531,9568,11150,12921,14655,16227,18224,19951,23492,26217,29085,31582,34230,36692,40297,42783,45172,47084,49562,52758,56470,62191,67987,70849,73905,79711,82839,89190,98936,103918,107816
"40","32","Q1CPP1 D         Computers and peripherals","Q1CPP10",357,376,388,423,495,570,672,679,693,754,834,906,1096,1225,1389,1588,1723,1860,2021,2301,2510,2794,3208,3762,4224,5013,5578,6247,7285,8439,9586,10619,12062,13486,16385,18409,20755,22788,25261,27476,30387,32644,34768,36258,38983,42293,46279,51969,57509,60226,63010,68931,72282,78439,87872,92282,95576
"41","33","Q1CPS1 D         Software","Q1CPS10",211,226,237,263,312,365,436,448,467,515,576,629,739,809,907,1047,1120,1197,1277,1433,1549,1722,1983,2313,2596,3055,3399,3831,4455,5169,5833,6444,6947,7066,7467,8138,8565,8972,9030,9234,9915,10134,10405,10825,10625,10628,10586,10942,11529,11841,12249,12632,12754,13389,14386,15118,15774
"42","34","Q1ODH1 C     Other durable house furnishings (32)","Q1ODH10",40501,39551,38866,37943,37958,37755,36851,36609,37694,37850,38568,39467,40529,40811,41301,42124,42968,44683,45848,47122,47168,47641,48103,48814,48473,50859,51753,52791,53277,53578,54796,55501,56020,56544,58345,59674,60997,62222,63278,65960,67160,66718,67522,67836,68392,68506,68238,68931,70720,71463,71679,72611,72820,76478,80802,82369,83761
"43","35","Q1FLR1 D       Floor coverings","Q1FLR10",14626,14110,13775,13212,12865,13077,12547,12397,12709,12712,12659,12957,13365,13132,13000,13063,13013,13632,13822,14352,14059,13628,13505,13797,13427,14045,13950,13778,13854,13922,14097,14343,14198,14492,14660,15245,15272,15773,16174,16522,16872,16612,16419,16031,15984,15972,15847,15830,15743,15663,15700,16062,16595,17692,18317,18834,19066
"44","36","Q1DHF1 D       Durable house furnishings n.e.c.","Q1DHF10",18117,17767,17394,17152,17488,16991,16584,16494,16931,17086,17611,18042,18524,18823,19273,19879,20477,21323,22124,22748,22951,23821,24199,24510,24558,26041,26865,27946,28196,28309,29176,29553,29927,29917,31241,31644,32509,33159,33766,35652,36264,36239,37291,37942,38545,38470,38472,38969,40751,41399,41650,41895,41655,43802,46961,47652,48505
"45","37","Q1CLF1 D         Clocks, lamps, and furnishings","Q1CLF10",14211,13917,13599,13476,13862,13462,13106,13140,13602,13787,14290,14616,15050,15298,15712,16263,16797,17550,18327,18797,19033,19824,20148,20370,20394,21777,22520,23465,23727,23798,24579,24791,25148,25025,26187,26555,27443,27880,28384,30142,30865,30819,31897,32393,32687,32631,32671,33037,34696,35298,35393,35669,35503,37374,40448,41069,41684
"46","38","Q1TEX1 D         Blinds, rods, and other","Q1TEX10",3946,3890,3835,3714,3661,3564,3513,3384,3356,3324,3346,3453,3499,3550,3585,3639,3701,3795,3817,3972,3937,4016,4070,4160,4186,4281,4360,4496,4481,4524,4608,4779,4794,4916,5073,5106,5073,5292,5397,5515,5397,5420,5396,5550,5862,5843,5802,5935,6054,6101,6259,6226,6151,6427,6524,6596,6828
"47","39","Q1WTR1 D       Writing equipment","Q1WTR10",3243,3181,3166,3175,3233,3252,3256,3239,3276,3290,3348,3380,3307,3341,3331,3387,3365,3346,3320,3317,3230,3237,3256,3169,3011,3006,2991,2968,2924,2844,2794,2790,2875,2896,2959,2990,3029,3036,3017,3148,3058,3102,3058,3029,2880,2802,2746,2731,2727,2663,2633,2604,2530,2531,2540,2516,2534
"48","40","Q1TOO1 D       Hand tools","Q1TOO10",5511,5441,5470,5305,5220,5365,5371,5373,5677,5651,5799,5941,6168,6303,6423,6488,6742,7002,7152,7278,7432,7356,7512,7692,7759,8010,8133,8220,8408,8590,8784,8871,9061,9301,9520,9846,10222,10290,10351,10648,10967,10760,10748,10845,11016,11296,11222,11466,11634,11912,11887,12227,12175,12610,13281,13647,13962
"49","41","Q1HDW1 D         Tools, hardware, and supplies","Q1HDW10",4715,4627,4602,4463,4356,4469,4449,4411,4602,4590,4706,4808,5054,5161,5252,5309,5509,5738,5895,6023,6137,6063,6163,6340,6389,6585,6683,6731,6913,7099,7195,7251,7422,7661,7901,8179,8486,8597,8656,8881,9151,8981,8926,8975,9152,9417,9416,9637,9791,10015,9995,10299,10229,10606,11196,11508,11708
"50","42","Q1LWN1 D         Outdoor equipment and supplies","Q1LWN10",793,811,866,840,862,895,921,960,1074,1059,1092,1132,1112,1140,1169,1177,1231,1262,1254,1252,1292,1291,1347,1350,1367,1422,1447,1486,1493,1488,1586,1617,1636,1637,1617,1666,1734,1694,1696,1767,1816,1779,1822,1870,1863,1879,1805,1829,1842,1897,1893,1928,1945,2004,2086,2140,2256
"51","43","Q1TOD1 B   Other","Q1TOD10",94617,92237,91991,92075,90623,89969,88046,86366,88300,88687,91534,92380,94391,95789,98316,99411,100448,103095,104888,108548,108266,110148,112884,113452,114972,119210,120693,123637,124816,125084,128298,130927,132676,136187,138870,142497,146562,148950,152910,158371,162942,163858,164702,164101,162301,161734,160826,164825,168190,169601,170144,173040,177598,185872,191435,194482,196008
"52","44","Q1OPT1 C     Ophthalmic products and orthopedic appliances (46)","Q1OPT10",18108,17234,17024,16999,16468,15483,14865,14522,14754,15012,15609,15693,15476,15001,15110,15714,16100,16387,16497,16406,16430,16401,16146,16423,16818,17778,18293,18829,19202,19207,20106,20305,20138,20404,21038,21476,21241,20764,21272,22475,22866,22931,21359,21309,20761,19637,18872,19492,19050,19830,20470,20715,20170,20589,20964,20734,21137
"53","45","Q1WHG1 C     Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","Q1WHG10",31365,30209,29609,30495,29990,29129,29250,29118,29161,28761,29935,30273,32031,32303,32451,33056,32816,34660,35135,37271,36772,37133,38867,38813,38771,40057,40714,41905,42190,42385,43700,44003,44741,46815,47597,48509,49917,51431,52794,53929,58452,56346,57418,58031,57673,59345,59060,61724,63066,63364,63654,64406,66976,73385,76414,77450,77096
"54","46","Q1WHE1 D       Sports and photo equipment, bicycles and motorcycles","Q1WHE10",21919,21388,21314,21268,21077,21155,21905,21352,21997,21911,22735,23120,23995,24524,24753,25268,25523,26185,26547,28227,27232,27649,28434,28364,28470,29721,30019,30008,30068,30478,31224,31838,32300,33520,34483,35349,36109,37077,37892,40519,42028,41376,42382,42835,43240,44956,44464,45766,46713,46701,46989,47628,48819,51157,53361,54165,54591
"55","47","Q1GUN1 D         Guns","Q1GUN10",1496,1427,1403,1393,1351,1351,1358,1306,1337,1319,1352,1364,1396,1412,1417,1436,1440,1447,1461,1513,1451,1474,1502,1475,1465,1507,1502,1482,1452,1461,1480,1501,1519,1597,1633,1676,1727,1775,1835,1937,2018,1996,2041,2039,2052,2111,2111,2179,2210,2249,2251,2252,2252,2301,2335,2349,2415
"56","48","Q1SPT1 D         Sporting equipment","Q1SPT10",11743,11454,11515,11690,11576,11836,12178,11989,12606,12708,13268,13604,13929,14254,14466,14831,15050,15302,15639,16402,15935,16398,16921,16850,16939,17676,17881,17922,17926,18268,18656,18997,19082,20026,20438,20943,21632,22237,22985,24269,25287,25003,25571,25548,25714,26445,26443,27297,27688,28174,28201,28220,28219,28828,29254,29434,30262
"57","49","Q1CAM1 D         Photographic equipment","Q1CAM10",2773,2688,2613,2561,2507,2440,2364,2267,2204,2146,2164,2201,2230,2270,2332,2369,2397,2468,2520,2591,2598,2623,2632,2671,2704,2765,2819,2843,2912,2904,2988,2950,3049,3131,3202,3401,3408,3448,3506,3757,3581,3689,3836,4127,3926,3900,3995,4201,4426,4482,4547,4662,4780,5037,5252,5389,5734
"58","50","Q1BCY1 D         Bicycles","Q1BCY10",3097,2968,2883,2844,2780,2768,2793,2697,2719,2610,2639,2675,2761,2804,2841,2919,2936,2996,3040,3114,2980,3018,3101,3071,3046,3146,3153,3183,3150,3179,3235,3302,3341,3454,3463,3466,3497,3551,3579,3741,3826,3749,3813,3768,3737,3822,3802,3900,3949,3962,3999,3972,3965,4022,4166,4277,4296
"59","51","Q1MCY1 D         Motorcycles","Q1MCY10",2762,2851,2913,2712,2849,2670,3289,3138,3118,3088,3285,3199,3725,3835,3700,3698,3670,4004,3876,4712,4313,4122,4265,4287,4304,4632,4667,4573,4624,4655,4863,5101,5345,5317,5775,5883,5846,6069,5973,6814,7319,6938,7118,7352,7804,8656,8109,8195,8452,7879,8033,8548,9582,10898,12221,12576,11853
"60","52","Q1BTA1 D       Pleasure boats and aircraft","Q1BTA10",9559,8898,8332,9343,9009,7984,7269,7755,7067,6728,7082,7018,7950,7654,7557,7636,7084,8358,8467,8907,9481,9407,10410,10430,10266,10265,10644,11947,12192,11944,12539,12180,12464,13351,13128,13154,13817,14368,14921,13383,16427,14968,15036,15198,14449,14418,14619,15957,16348,16648,16653,16769,18111,22048,22869,23102,22352
"61","53","Q1BOA1 D         Pleasure boats","Q1BOA10",8599,7989,7466,8355,8041,7109,6457,6873,6242,5934,6242,6187,7053,6808,6737,6823,6342,7498,7613,8026,8562,8514,9442,9480,9348,9367,9733,10948,11205,10995,11556,11230,11481,12295,12087,12109,12723,13230,13739,12323,15126,13783,13845,13994,13304,13276,13461,14693,15054,15330,15334,15442,16677,20302,21058,21273,20582
"62","54","Q1AIR1 D         Pleasure aircraft","Q1AIR10",960,910,866,989,967,875,812,882,825,794,840,831,897,847,820,814,742,860,854,881,919,894,969,950,918,898,912,999,988,949,983,950,983,1056,1042,1046,1094,1138,1182,1060,1301,1185,1191,1204,1144,1142,1158,1264,1295,1319,1319,1328,1434,1746,1811,1830,1770
"63","55","Q1JRY1 C     Jewelry and watches (18)","Q1JRY10",26828,26261,26726,26044,25725,26757,25401,24477,25847,26260,26734,27175,27216,28213,29945,29445,29992,30016,30458,31521,31188,32447,32873,33790,34802,35765,36220,36419,36481,36727,37702,38937,39942,41293,42121,43552,45166,45737,47075,49296,49030,50424,51969,50849,49729,48781,48571,49438,51570,52321,51934,53796,55629,56372,57299,59997,60655
"64","56","Q1BKS1 C     Books and maps (87)","Q1BKS10",19099,19291,19271,19284,19127,18905,18971,18774,18873,18976,19683,19595,20036,20457,20770,21392,21754,22353,23154,23584,24215,24345,25169,24459,24573,25696,25562,26673,27172,26964,26993,27863,27977,27754,28211,29051,30288,31034,31779,32675,32605,34157,33954,33902,34137,34008,34373,34247,34641,34227,34200,34288,35086,35864,37103,36798,37563
"65","57","Q1TND1 A Nondurable goods","Q1TND10",1483214,1486388,1491003,1475250,1474043,1485648,1486524,1475912,1500622,1498733,1508606,1532576,1530492,1544434,1559623,1566827,1582016,1596990,1610581,1626023,1627989,1636187,1642243,1648046,1657509,1677040,1686542,1700679,1710843,1711408,1736157,1742953,1765424,1787155,1799734,1825457,1849213,1867867,1873670,1915730,1917190,1944003,1954966,1972705,1974477,1969103,1983376,2006197,2035931,2037800,2038794,2061810,2090492,2096860,2134285,2162442,2196479
"66","58","Q1TFD1 B   Food","Q1TFD10",777563,787444,789877,782605,779691,786528,786426,780653,789489,780635,783096,798472,795225,799647,806169,807594,810814,821869,825237,829456,826634,826468,827291,827976,830714,835312,834156,838652,844684,841881,848755,845665,852872,862697,869571,877065,878425,889018,894476,912387,916134,925580,927754,931178,936516,935692,936266,939569,952947,957674,958359,963910,979610,985374,1002785,1010936,1030799
