"","Table 5#4#4BU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"49","41","    Dormitories","B295RG3",88.137,88.408,89.515,90.303,90.288,90.722,91.656,92.714,93.912,95.09,96.02,96.879,98.805,99.716,100.446,101.32,102.746,103.995,106.242,107.413,107.242,107.31,107.376,108.788,110.863,111.295,112.015,114.522,116.048
"50","42","    Improvements","B946RG3",90.036,90.775,91.106,91.44,91.59,92.198,92.888,93.607,94.524,95.554,96.445,97.103,98.705,99.668,100.418,101.21,102.325,103.479,104.88,105.465,105.462,105.756,105.987,106.882,108.373,109.023,109.849,111.545,112.893
"51","43","    Brokers' commissions on sale of structures","B758RG3",90.122,90.682,90.916,91.481,91.781,92.501,93.372,93.765,94.101,95.065,95.728,96.599,97.798,99.268,100.797,102.087,104.122,106.536,107.405,106.599,107.29,108.3,109.194,110.152,111.109,112.574,114.01,115.086,115.56
"52","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RG3",88.276,88.876,89.788,90.625,91.36,92.165,93.022,93.892,94.753,95.609,96.365,97.148,98.656,99.54,100.41,101.394,102.803,104.223,106.032,106.732,106.622,106.788,106.911,107.809,109.36,109.789,110.535,112.455,113.833
"55","46","    Nonresidential structures","A771RG3",87.993,88.795,89.761,90.759,92.091,93.111,93.886,94.645,95.283,95.863,96.5,97.323,98.481,99.371,100.467,101.681,103.317,105.076,106.711,107.005,106.766,106.897,106.986,107.287,108.289,108.582,109.316,110.592,111.83
"56","47","    Residential structures","A756RG3",88.528,88.966,89.835,90.541,90.789,91.417,92.344,93.303,94.337,95.408,96.257,97.013,98.79,99.675,100.368,101.167,102.397,103.548,105.501,106.509,106.487,106.675,106.818,108.065,109.931,110.437,111.189,113.454,114.907
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
