"","Table 3#6# Contributions for Government Social Insurance        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Federal social insurance funds","A1580C1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","4,959.0","3,811.0","2,872.0","3,203.0","3,201.0","3,900.0","3,917.0","3,959.0","4,347.0","4,900.0","5,366.0","6,041.0","6,031.0","7,530.0","8,890.0","9,226.0","10,771.0","11,955.0","12,152.0","12,588.0","16,300.0","17,429.0","19,316.0","22,071.0","23,086.0","25,623.0","30,249.0","38,742.0","43,499.0","45,358.0","52,719.0","58,952.0","68,811.0","79,505.0","85,825.0","100,444.0","106,576.0","116,776.0","135,698.0","143,963.0","153,463.0","161,070.0","178,478.0","186,555.0","198,422.0","205,905.0","218,103.0","228,558.0","242,675.0","253,080.0","264,566.0","280,376.0","298,664.0","315,376.0","337,000.0","347,944.0","353,833.0","366,285.0","388,675.0","408,196.0","429,384.0","444,788.0","456,314.0"
"22","4","    Old-age, survivors, disability, and hospital insurance","CON1101",".....",".....",".....",".....",".....",".....",".....",".....","288.0","261.0","291.0","329.0","419.0","532.0","625.0","648.0","630.0","687.0","780.0","839.0","816.0","1,308.0","1,660.0","1,776.0","1,882.0","2,458.0","2,825.0","3,043.0","3,673.0","3,657.0","4,556.0","5,632.0","5,700.0","6,226.0","7,464.0","7,846.0","8,330.0","12,053.0","13,411.0","15,243.0","17,884.0","18,524.0","20,621.0","23,333.0","30,427.0","34,560.0","36,092.0","40,058.0","44,369.0","51,453.0","60,865.0","67,173.0","80,869.0","86,020.0","92,141.0","106,297.0","114,252.0","124,171.0","131,827.0","147,806.0","158,120.0","170,752.0","177,829.0","185,990.0","193,553.0","206,630.0","217,467.0","229,288.0","245,654.0","264,442.0","281,386.0","301,933.0","312,919.0","317,428.0","324,971.0","339,831.0","355,996.0","377,439.0","395,047.0","408,173.0"
"23","5","      Old-age, survivors, and disability insurance","L306051",".....",".....",".....",".....",".....",".....",".....",".....","288.0","261.0","291.0","329.0","419.0","532.0","625.0","648.0","630.0","687.0","780.0","839.0","816.0","1,308.0","1,660.0","1,776.0","1,882.0","2,458.0","2,825.0","3,043.0","3,673.0","3,657.0","4,556.0","5,632.0","5,700.0","6,226.0","7,464.0","7,846.0","8,330.0","11,033.0","11,866.0","13,138.0","15,621.0","16,182.0","18,214.0","20,612.0","25,172.0","29,186.0","30,483.0","33,833.0","37,477.0","42,870.0","50,339.0","55,561.0","64,927.0","69,214.0","73,459.0","85,724.0","91,511.0","98,071.0","104,106.0","118,316.0","126,565.0","137,280.0","141,020.0","147,378.0","153,242.0","161,913.0","169,928.0","179,029.0","191,525.0","205,897.0","218,856.0","234,393.0","243,842.0","248,135.0","253,837.0","264,902.0","277,044.0","293,422.0","306,565.0","317,595.0"
"24","6","      Hospital insurance","L306061",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,020.0","1,545.0","2,105.0","2,263.0","2,342.0","2,407.0","2,721.0","5,255.0","5,374.0","5,609.0","6,225.0","6,892.0","8,583.0","10,526.0","11,612.0","15,942.0","16,806.0","18,682.0","20,573.0","22,741.0","26,100.0","27,721.0","29,490.0","31,555.0","33,472.0","36,809.0","38,612.0","40,311.0","44,717.0","47,539.0","50,259.0","54,129.0","58,545.0","62,530.0","67,540.0","69,077.0","69,293.0","71,134.0","74,929.0","78,952.0","84,017.0","88,482.0","90,578.0"
"25","7","    Unemployment insurance","A1581C1",".....",".....",".....",".....",".....","3.0","7.0","240.0","677.0","882.0","953.0","978.0","1,215.0","1,349.0","1,547.0","1,494.0","1,425.0","2,683.0","2,146.0","1,638.0","1,638.0","1,505.0","1,756.0","1,645.0","1,649.0","1,497.0","1,632.0","1,932.0","1,990.0","2,033.0","2,611.0","2,891.0","3,179.0","4,182.0","4,127.0","3,919.0","3,849.0","3,795.0","3,402.0","3,374.0","3,415.0","3,676.0","4,046.0","5,871.0","7,017.0","7,200.0","7,424.0","10,602.0","12,328.0","14,901.0","15,845.0","15,659.0","16,305.0","17,020.0","21,019.0","25,427.0","25,454.0","24,445.0","24,190.0","24,930.0","22,435.0","21,335.0","21,326.0","25,048.0","27,967.0","29,289.0","29,155.0","28,657.0","28,119.0","27,462.0","27,110.0","28,045.0","27,664.0","29,014.0","33,570.0","40,251.0","43,786.0","42,742.0","40,461.0","38,638.0"
"26","8","      State unemployment insurance","CON1201",".....",".....",".....",".....",".....","3.0","7.0","159.0","588.0","780.0","815.0","813.0","1,011.0","1,089.0","1,246.0","1,177.0","1,011.0","893.0","1,029.0","965.0","1,010.0","1,217.0","1,465.0","1,350.0","1,288.0","1,081.0","1,193.0","1,448.0","1,476.0","1,435.0","1,967.0","2,245.0","2,405.0","2,944.0","2,974.0","3,001.0","3,027.0","2,973.0","2,572.0","2,486.0","2,482.0","2,414.0","2,612.0","4,078.0","5,064.0","5,401.0","5,246.0","8,138.0","9,369.0","11,486.0","12,152.0","11,618.0","11,998.0","12,771.0","15,514.0","19,387.0","19,469.0","18,209.0","17,788.0","18,044.0","16,735.0","15,517.0","15,487.0","18,307.0","21,375.0","22,920.0","22,688.0","22,035.0","21,285.0","20,358.0","19,774.0","20,475.0","20,125.0","21,431.0","25,954.0","32,474.0","35,793.0","34,827.0","32,475.0","30,368.0"
"27","9","      Federal unemployment tax","CON1501",".....",".....",".....",".....",".....",".....",".....","81.0","89.0","102.0","105.0","98.0","124.0","161.0","183.0","184.0","174.0","184.0","212.0","228.0","223.0","232.0","263.0","263.0","298.0","289.0","304.0","326.0","337.0","326.0","337.0","343.0","456.0","947.0","847.0","619.0","558.0","597.0","601.0","634.0","669.0","854.0","853.0","1,182.0","1,511.0","1,281.0","1,277.0","1,402.0","1,997.0","2,745.0","3,048.0","3,365.0","3,570.0","3,729.0","4,915.0","5,466.0","5,444.0","5,693.0","5,896.0","6,384.0","5,182.0","5,240.0","5,149.0","5,402.0","5,317.0","5,571.0","5,784.0","5,990.0","6,280.0","6,579.0","6,826.0","7,099.0","7,044.0","6,862.0","6,765.0","6,958.0","7,236.0","7,160.0","7,273.0","7,454.0"
"28","10","      Railroad employees unemployment insurance","CON1601",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","33.0","67.0","80.0","99.0","118.0","129.0","130.0","139.0","143.0","25.0","23.0","24.0","26.0","25.0","25.0","24.0","25.0","76.0","97.0","106.0","151.0","165.0","153.0","160.0","156.0","153.0","149.0","146.0","141.0","136.0","131.0","128.0","123.0","119.0","118.0","119.0","110.0","150.0","220.0","219.0","196.0","148.0","205.0","180.0","163.0","240.0","229.0","212.0","199.0","190.0","218.0","219.0","172.0","96.0","20.0","22.0","24.0","27.0","27.0","79.0","102.0","64.0","63.0","107.0","154.0","108.0","87.0","88.0","90.0","92.0"
"29","11","      Federal employees unemployment insurance","TRP1501",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0","110.0","1,467.0","762.0","420.0","382.0","32.0","2.0","7.0","38.0","103.0","110.0","82.0","80.0","166.0","156.0","138.0","165.0","131.0","150.0","146.0","115.0","79.0","88.0","118.0","133.0","280.0","458.0","492.0","324.0","399.0","791.0","912.0","742.0","451.0","449.0","528.0","532.0","340.0","427.0","334.0","312.0","331.0","307.0","312.0","300.0","359.0","518.0","1,243.0","1,255.0","776.0","659.0","605.0","527.0","446.0","408.0","407.0","432.0","614.0","697.0","711.0","670.0","667.0","623.0","724.0"
"30","12","    Railroad retirement","CON1701",".....",".....",".....",".....",".....",".....",".....",".....","62.0","54.0","58.0","67.0","80.0","98.0","129.0","140.0","140.0","163.0","271.0","283.0","277.0","282.0","307.0","319.0","312.0","294.0","308.0","316.0","304.0","265.0","287.0","297.0","275.0","289.0","287.0","305.0","326.0","363.0","402.0","438.0","464.0","517.0","535.0","567.0","766.0","1,131.0","1,124.0","1,255.0","1,384.0","1,456.0","1,652.0","1,712.0","1,872.0","1,972.0","1,949.0","2,194.0","2,273.0","2,536.0","2,514.0","2,670.0","2,619.0","2,610.0","2,620.0","2,622.0","2,628.0","2,555.0","2,525.0","2,594.0","2,669.0","2,802.0","2,841.0","2,851.0","2,831.0","2,713.0","2,545.0","2,509.0","2,570.0","2,663.0","2,694.0","2,746.0"
"31","13","    Pension benefit guaranty","B1043C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17.0","33.0","29.0","29.0","62.0","74.0","79.0","88.0","93.0","95.0","95.0","95.0","258.0","304.0","544.0","644.0","685.0","817.0","935.0","939.0","960.0","990.0","1,133.0","1,034.0","980.0","933.0","831.0","861.0","836.0","1,055.0","1,640.0","1,247.0","1,593.0","1,536.0","1,488.0"
"32","14","    Veterans life insurance","CON2101","8.0","7.0","5.0","8.0","4.0","4.0","5.0","2.0","3.0","2.0","2.0","2.0","2.0","29.0","27.0","255.0","1,268.0","1,413.0","599.0","98.0","459.0","80.0","144.0","138.0","71.0","50.0","82.0","23.0","18.0","13.0","12.0","10.0","10.0","8.0","8.0","10.0","9.0","7.0","9.0","9.0","9.0","11.0","8.0","12.0","9.0","2.0","9.0","7.0","6.0","3.0","5.0","6.0","9.0","9.0","6.0","7.0","9.0","8.0","10.0","11.0","13.0","14.0","15.0","22.0","16.0","16.0","7.0","33.0","47.0","30.0","40.0","20.0","18.0","20.0","22.0","33.0","29.0","38.0","49.0","53.0"
"33","15","    Workers' compensation","CON2201",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13.0","14.0","14.0","14.0","23.0","33.0","39.0","43.0","44.0","48.0","52.0","56.0","63.0","64.0","60.0","62.0","66.0","69.0","72.0","74.0","82.0","93.0","104.0","121.0","147.0","176.0","203.0","237.0","309.0","415.0","517.0","571.0","636.0","717.0","838.0","870.0","917.0","933.0","989.0","1,089.0","1,124.0","1,173.0","1,253.0","1,379.0","1,492.0","1,645.0","1,788.0","1,833.0","1,863.0","1,889.0","1,902.0","1,911.0","1,973.0","2,035.0","2,161.0","2,334.0","2,342.0","2,371.0","2,450.0","2,465.0","2,457.0","2,552.0","2,526.0"
"34","16","    Military medical insurance \1\","B1606C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","112.0","148.0","178.0","211.0","237.0","263.0","286.0","280.0","261.0","251.0","265.0","300.0","347.0","358.0","431.0","545.0","633.0","689.0","791.0","921.0","1,052.0","1,264.0","1,345.0","1,534.0","1,653.0","1,698.0","1,622.0","1,362.0","1,047.0","959.0","942.0","975.0","1,031.0","1,159.0","1,317.0","1,480.0","1,751.0","1,961.0","2,103.0","2,452.0","2,449.0","2,690.0"
"35","17","  State and local social insurance funds","A744RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","107.0","120.0","132.0","146.0","172.0","194.0","226.0","251.0","265.0","274.0","302.0","327.0","318.0","325.0","360.0","384.0","411.0","450.0","480.0","505.0","546.0","590.0","634.0","683.0","753.0","823.0","908.0","1,041.0","1,195.0","1,366.0","1,679.0","2,152.0","2,717.0","3,082.0","3,115.0","3,166.0","3,193.0","3,106.0","3,340.0","3,771.0","4,406.0","5,190.0","6,155.0","7,118.0","8,030.0","9,227.0","10,295.0","11,121.0","11,464.0","11,040.0","10,239.0","9,217.0","8,573.0","7,963.0","8,220.0","10,042.0","12,278.0","16,142.0","19,420.0","19,296.0","17,323.0","16,048.0","16,350.0"
"36","18","    Temporary disability insurance","S252101",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","7.0","2.0","4.0","4.0","4.0","5.0","4.0","6.0","6.0","6.0","7.0","7.0","8.0","8.0","8.0","9.0","10.0","10.0","15.0","19.0","28.0","37.0","44.0","47.0","41.0","29.0","29.0","34.0","42.0","54.0","75.0","82.0","95.0","70.0","50.0","30.0","11.0","14.0","16.0","14.0","15.0","16.0","18.0","19.0","20.0","19.0","17.0","14.0","15.0","16.0","21.0","27.0","27.0","28.0","32.0","36.0","32.0","29.0","36.0"
"37","19","    Workers' compensation","S253001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","107.0","120.0","132.0","144.0","165.0","192.0","222.0","247.0","261.0","269.0","298.0","321.0","312.0","319.0","353.0","377.0","403.0","442.0","472.0","496.0","536.0","580.0","619.0","664.0","725.0","786.0","864.0","994.0","1,154.0","1,337.0","1,650.0","2,118.0","2,675.0","3,028.0","3,040.0","3,084.0","3,098.0","3,036.0","3,290.0","3,741.0","4,395.0","5,176.0","6,139.0","7,104.0","8,015.0","9,211.0","10,277.0","11,102.0","11,444.0","11,021.0","10,222.0","9,203.0","8,558.0","7,947.0","8,199.0","10,015.0","12,251.0","16,114.0","19,388.0","19,260.0","17,291.0","16,019.0","16,314.0"
"38","20","Employee and self-employed contributions","B228RC1","66.0","66.0","65.0","63.0","59.0","62.0","60.0","70.0","443.0","418.0","448.0","494.0","618.0","884.0","1,450.0","1,810.0","1,877.0","1,552.0","1,633.0","1,612.0","1,541.0","2,109.0","2,540.0","2,780.0","2,896.0","3,462.0","3,917.0","4,319.0","5,045.0","5,035.0","5,979.0","7,194.0","7,395.0","7,935.0","9,264.0","9,755.0","10,323.0","14,490.0","16,848.0","18,745.0","21,373.0","22,520.0","24,730.0","28,047.0","35,713.0","40,487.0","42,586.0","46,936.0","51,990.0","59,732.0","70,162.0","77,248.0","92,091.0","99,125.0","106,071.0","118,432.0","133,636.0","145,569.0","156,853.0","176,849.0","191,558.0","203,657.0","215,050.0","226,553.0","237,746.0","254,041.0","268,680.0","280,273.0","297,648.0","317,414.0","337,946.0","360,620.0","375,210.0","385,342.0","396,490.0","419,213.0","445,225.0","475,122.0","498,502.0","517,935.0"
"39","21","  Federal social insurance funds","A1585C1","66.0","66.0","65.0","63.0","59.0","62.0","60.0","70.0","443.0","418.0","448.0","494.0","618.0","882.0","1,445.0","1,805.0","1,873.0","1,504.0","1,578.0","1,543.0","1,493.0","2,058.0","2,492.0","2,728.0","2,841.0","3,403.0","3,854.0","4,251.0","4,975.0","4,958.0","5,891.0","7,093.0","7,287.0","7,798.0","9,085.0","9,553.0","10,070.0","14,215.0","16,561.0","18,437.0","21,030.0","22,184.0","24,379.0","27,635.0","35,262.0","40,017.0","42,109.0","46,428.0","51,367.0","59,039.0","69,364.0","76,791.0","91,397.0","98,275.0","105,037.0","117,095.0","132,521.0","144,018.0","154,836.0","174,627.0","189,702.0","201,652.0","212,658.0","223,725.0","234,738.0","250,990.0","266,120.0","278,059.0","296,042.0","315,636.0","336,157.0","358,018.0","371,561.0","381,696.0","392,570.0","414,565.0","439,768.0","470,674.0","494,756.0","513,147.0"
