"","Table 5#6#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"29","11","  Motor vehicle and parts dealers","N631RX1","5,143.0","1,942.0","12,336.0","11,734.0","-8,920.0","17,173.0","12,921.0","7,627.0","-2,788.0","-367.0","2,965.0","-484.0","-10,373.0"
"30","12","  Food and beverage stores","N542RX1","403.0","1,102.0","1,762.0","-639.0","454.0","173.0","-1,279.0","407.0","-104.0","910.0","860.0","244.0","-107.0"
"31","13","  General merchandise stores","N543RX1","151.0","380.0","2,812.0","1,078.0","161.0","1,467.0","1,011.0","4,525.0","2,210.0","1,639.0","-328.0","-3,118.0","-2,556.0"
"32","14","  Other retail stores","N558RX1","8,326.0","11,923.0","8,629.0","7,961.0","-1,884.0","4,246.0","4,401.0","11,117.0","5,300.0","8,479.0","2,384.0","-8,275.0","-12,901.0"
"33","15","Other industries","N154RX1","5,655.0","5,791.0","7,540.0","12,739.0","-227.0","-1,036.0","1,593.0","6,328.0","2,295.0","4,648.0","3,474.0","2,545.0","-4,118.0"
"34","16","Residual","N969RX1","700.0","800.0","4,000.0","3,800.0","-4,400.0","3,000.0","300.0","800.0","0.0","500.0","300.0","-2,300.0","1,900.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Change in private inventories","A014RX1","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","19,469.0","-25,889.0","-108,238.0"
"37","18","    Durable goods industries","N355RX1","40,237.0","40,620.0","39,485.0","37,651.0","-46,426.0","18,125.0","13,514.0","38,127.0","35,220.0","25,249.0","7,566.0","9,395.0","-87,980.0"
"38","19","    Nondurable goods industries","N357RX1","36,112.0","29,535.0","27,667.0","21,389.0","7,299.0","-6,365.0","3,624.0","28,052.0","14,733.0","34,134.0","11,813.0","-33,736.0","-22,167.0"
"39","20","  Nonfarm industries","B015RX1","73,563.0","69,460.0","70,789.0","61,248.0","-41,530.0","15,572.0","17,239.0","58,345.0","49,836.0","63,180.0","20,365.0","-20,388.0","-108,291.0"
"40","21","  Wholesale trade","N658RX1","26,917.0","23,705.0","21,084.0","20,670.0","-13,612.0","-69.0","-375.0","20,497.0","18,129.0","13,356.0","6,413.0","-5,151.0","-46,621.0"
"41","22","    Merchant wholesale trade","N151RX1","23,890.0","21,299.0","17,998.0","16,103.0","-8,766.0","600.0","41.0","18,420.0","14,329.0","14,743.0","7,463.0","1,211.0","-39,039.0"
"42","23","      Durable goods industries","N626RX1","14,971.0","15,379.0","12,950.0","10,870.0","-14,146.0","-227.0","917.0","17,118.0","10,972.0","10,200.0","797.0","9,505.0","-37,684.0"
"43","24","      Nondurable goods industries","N627RX1","8,758.0","5,409.0","4,687.0","5,079.0","6,167.0","867.0","-901.0","1,181.0","3,357.0","4,577.0","6,296.0","-7,266.0","-2,694.0"
"44","25","    Nonmerchant wholesale trade","N152RX1","2,994.0","2,328.0","3,097.0","4,650.0","-5,040.0","-718.0","-440.0","2,046.0","3,800.0","-1,374.0","-1,033.0","-6,427.0","-7,656.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Chained (2005) dollar series for real change in private inventories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","as the period-to-period change in chained-dollar end-of-period inventories. Quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","changes in end-of-period inventories are stated at annual rates. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
