"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"37","19","    To persons","A063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,428.0","28,089.0","28,843.0","30,341.0","31,317.0","33,913.0","37,504.0","45,752.0","53,306.0","58,973.0","71,737.0","85,412.0","94,808.0","108,628.0","128,556.0","163,134.0","177,280.0","189,122.0","203,175.0","227,087.0","270,841.0","307,194.0","342,446.0","369,945.0","380,405.0","402,638.0","428,018.0","447,384.0","475,863.0","519,431.0","572,714.0","648,231.0","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,578.0","1,141,337.0","1,247,949.0","1,316,047.0","1,398,575.0","1,482,742.0","1,583,630.0","1,687,812.0","1,843,234.0","2,072,022.0"
"38","20","    To the rest of the world \3\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","246.0","276.0","299.0","324.0","346.0","453.0","464.0","555.0","557.0","585.0","721.0","811.0","965.0","1,158.0","1,322.0","1,987.0","2,490.0","2,579.0","2,742.0","3,049.0","3,543.0","4,288.0","4,103.0","3,625.0","3,673.0","4,028.0","4,398.0","4,280.0","4,580.0","5,132.0","6,164.0","6,272.0","6,225.0","6,199.0","6,826.0","6,793.0","7,574.0","7,850.0","8,208.0","8,528.0","8,668.0","9,438.0","9,657.0","10,089.0","10,648.0","11,222.0","12,427.0","13,305.0","15,953.0","15,698.0"
"39","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","34.0","36.0","40.0","21.0","17.0","10.0","20.0","32.0","60.0","29.0","27.0","32.0","-14.0","90.0","-53.0","-88.0","352.0","2,260.0","1,969.0","3,852.0","5,134.0","3,589.0","3,163.0","2,175.0","2,075.0","1,885.0","2,168.0","2,010.0","1,950.0","1,978.0","4,001.0","3,463.0","3,497.0","3,621.0","3,603.0","3,400.0","3,589.0","3,986.0","3,999.0","4,546.0","4,546.0","4,818.0","6,012.0","7,177.0","5,391.0","5,995.0","6,135.0","4,534.0","4,247.0","4,992.0","5,846.0","7,330.0","6,662.0","8,141.0","8,931.0","11,216.0","13,767.0","14,198.0","12,715.0","13,194.0","13,547.0","13,529.0","-25,625.0","20,551.0","21,692.0","19,947.0","15,379.0","20,378.0","16,956.0","17,967.0","18,724.0","22,250.0","18,182.0","23,298.0","28,632.0","30,918.0","40,887.0","34,948.0","42,211.0","44,807.0","45,972.0"
"40","22","Interest payments \1\","A180RC1","663.0","658.0","860.0","945.0","1,027.0","1,064.0","988.0","931.0","1,105.0","1,063.0","1,052.0","1,270.0","1,290.0","1,472.0","2,032.0","2,572.0","3,325.0","4,235.0","4,316.0","4,353.0","4,543.0","4,710.0","4,844.0","4,915.0","5,045.0","5,246.0","5,284.0","5,821.0","6,308.0","6,143.0","7,273.0","10,406.0","10,152.0","11,078.0","11,969.0","12,933.0","13,701.0","15,069.0","16,362.0","18,771.0","20,207.0","23,060.0","24,471.0","26,273.0","31,274.0","35,607.0","39,983.0","46,287.0","50,814.0","60,238.0","72,932.0","89,072.0","116,737.0","138,910.0","156,876.0","187,284.0","208,771.0","216,343.0","230,772.0","247,730.0","272,524.0","294,213.0","311,744.0","312,300.0","312,748.0","322,734.0","353,870.0","364,572.0","370,618.0","371,615.0","357,879.0","362,009.0","341,542.0","312,556.0","298,015.0","306,574.0","342,722.0","372,201.0","410,957.0","395,903.0","379,072.0"
"41","23","  To persons and business \1\","A204RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,074.0","9,874.0","10,739.0","11,568.0","12,480.0","13,212.0","14,520.0","15,764.0","18,069.0","19,430.0","22,036.0","22,627.0","23,589.0","27,438.0","31,345.0","35,441.0","41,767.0","45,272.0","51,564.0","61,810.0","76,388.0","99,424.0","119,628.0","137,883.0","166,129.0","185,642.0","191,718.0","204,554.0","216,015.0","234,160.0","253,443.0","270,872.0","273,219.0","273,372.0","278,542.0","298,247.0","297,954.0","288,917.0","287,461.0","277,354.0","277,492.0","263,161.0","237,648.0","224,181.0","224,038.0","238,848.0","237,222.0","246,626.0","230,593.0","242,828.0"
"42","24","  To the rest of the world","B093RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","6.0","7.0","9.0","12.0","17.0","15.0","16.0","17.0","25.0","31.0","47.0","64.0","86.0","59.0","94.0","154.0","201.0","139.0","281.0","332.0","278.0","339.0","401.0","453.0","489.0","549.0","598.0","702.0","777.0","1,024.0","1,844.0","2,684.0","3,836.0","4,262.0","4,542.0","4,520.0","5,542.0","8,674.0","11,122.0","12,684.0","17,313.0","19,282.0","18,993.0","21,155.0","23,129.0","24,625.0","26,218.0","31,715.0","38,364.0","40,770.0","40,872.0","39,081.0","39,376.0","44,192.0","55,623.0","66,618.0","81,701.0","84,154.0","80,525.0","84,517.0","78,381.0","74,908.0","73,834.0","82,536.0","103,874.0","134,979.0","164,331.0","165,310.0","136,244.0"
"43","25","Subsidies \2\","A107RC1","-24.0","4.0","77.0","56.0","101.0","389.0","508.0","192.0","245.0","378.0","689.0","626.0","314.0","361.0","408.0","877.0","971.0","1,158.0","196.0","305.0","257.0","585.0","748.0","409.0","123.0","-105.0","-201.0","356.0","687.0","914.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,756.0","53,516.0","59,630.0"
"44","26","Less: Wage accruals less disbursements","A184RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","44.0","32.0","-76.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","209.0","333.0","-12.0","-480.0","100.0","100.0","100.0","271.0","-181.0","-40.0","59.0","-4.0","-445.0","220.0","-230.0","0.0","0.0","0.0","0.0","50.0","-50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","27","    Net government saving","A922RC1","2,556.0","1,584.0","-1,111.0","-676.0","-524.0","-958.0","-751.0","-916.0","2,246.0","637.0","-55.0","1,642.0","4,138.0","-7,197.0","-12,621.0","-25,288.0","-27,299.0","-3,477.0","6,745.0","4,883.0","-4,140.0","6,877.0","12,242.0","6,710.0","5,286.0","1,544.0","9,188.0","11,910.0","7,443.0","-2,565.0","7,041.0","11,421.0","6,834.0","7,659.0","10,991.0","7,291.0","9,773.0","10,011.0","-2,324.0","5,053.0","16,535.0","-8,380.0","-22,226.0","-9,271.0","3,883.0","-5,158.0","-68,173.0","-46,289.0","-32,994.0","-10,227.0","-961.0","-47,833.0","-49,202.0","-137,468.0","-171,354.0","-147,527.0","-156,262.0","-173,882.0","-137,367.0","-121,182.0","-113,806.0","-170,256.0","-224,242.0","-303,879.0","-281,169.0","-212,163.0","-196,993.0","-125,263.0","-23,838.0","80,489.0","140,618.0","226,472.0","24,581.0","-306,855.0","-415,213.0","-387,828.0","-257,082.0","-152,745.0","-214,805.0","-682,736.0","-1,243,847.0"
"46","28","Social insurance funds","A221RC1","61.0","64.0","56.0","42.0","39.0","39.0","45.0","247.0","1,387.0","990.0","1,031.0","1,036.0","1,611.0","2,179.0","3,289.0","3,881.0","4,256.0","3,289.0","3,248.0","2,481.0","1,570.0","-186.0","2,695.0","2,746.0","2,184.0","1,289.0","1,640.0","1,813.0","1,204.0","-2,636.0","-658.0","412.0","-2,325.0","-568.0","861.0","1,296.0","523.0","6,117.0","4,237.0","3,312.0","5,856.0","1,141.0","-2,778.0","-381.0","6,187.0","3,587.0","-15,814.0","-15,420.0","-13,072.0","-3,209.0","1,729.0","-14,455.0","-12,974.0","-33,150.0","-36,645.0","-7,933.0","2,193.0","7,515.0","16,651.0","41,574.0","44,973.0","44,358.0","27,017.0","8,504.0","7,025.0","19,991.0","19,668.0","15,732.0","30,115.0","59,974.0","94,246.0","116,262.0","90,745.0","51,216.0","40,944.0","57,164.0","56,433.0","17,031.0","-2,734.0","-53,223.0","-229,951.0"
"47","29","Other","A391RC1","2,495.0","1,520.0","-1,167.0","-718.0","-563.0","-997.0","-796.0","-1,163.0","859.0","-353.0","-1,086.0","606.0","2,527.0","-9,376.0","-15,910.0","-29,169.0","-31,555.0","-6,766.0","3,497.0","2,402.0","-5,710.0","7,062.0","9,547.0","3,964.0","3,102.0","255.0","7,548.0","10,097.0","6,239.0","71.0","7,699.0","11,008.0","9,159.0","8,227.0","10,130.0","5,994.0","9,249.0","3,894.0","-6,561.0","1,741.0","10,679.0","-9,522.0","-19,448.0","-8,890.0","-2,304.0","-8,745.0","-52,360.0","-30,870.0","-19,922.0","-7,018.0","-2,690.0","-33,378.0","-36,228.0","-104,318.0","-134,709.0","-139,594.0","-158,455.0","-181,397.0","-154,019.0","-162,756.0","-158,778.0","-214,615.0","-251,259.0","-312,383.0","-288,193.0","-232,154.0","-216,661.0","-140,995.0","-53,953.0","20,515.0","46,372.0","110,210.0","-66,163.0","-358,071.0","-456,157.0","-444,992.0","-313,516.0","-169,776.0","-212,071.0","-629,512.0","-1,013,897.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","30","  Total receipts","W066RC1","10,769.0","10,217.0","8,908.0","8,338.0","8,806.0","9,924.0","10,816.0","12,383.0","14,792.0","14,395.0","14,737.0","17,073.0","24,276.0","31,800.0","48,185.0","50,114.0","52,161.0","51,273.0","56,391.0","57,827.0","54,505.0","66,918.0","82,861.0","87,501.0","91,950.0","87,099.0","97,912.0","105,754.0","111,589.0","109,867.0","124,788.0","136,633.0","141,541.0","153,209.0","165,058.0","169,908.0","183,935.0","206,713.0","221,664.0","256,169.0","288,169.0","291,617.0","309,399.0","353,837.0","396,988.0","438,067.0","448,523.0","513,168.0","576,601.0","653,261.0","736,464.0","807,439.0","926,948.0","949,389.0","1,008,591.0","1,121,824.0","1,223,554.0","1,300,098.0","1,413,754.0","1,513,556.0","1,639,619.0","1,725,024.0","1,775,306.0","1,860,915.0","1,965,870.0","2,112,110.0","2,235,542.0","2,403,535.0","2,584,191.0","2,762,159.0","2,939,185.0","3,168,082.0","3,155,610.0","3,000,515.0","3,071,358.0","3,295,975.0","3,691,606.0","4,028,263.0","4,240,994.0","4,091,442.0","3,775,693.0"
"50","31","    Current receipts","W021RC1","10,544.0","9,975.0","8,685.0","8,171.0","8,628.0","9,700.0","10,462.0","11,886.0","14,266.0","13,873.0","14,249.0","16,622.0","23,764.0","31,224.0","47,619.0","49,432.0","51,366.0","50,395.0","55,395.0","56,759.0","53,590.0","66,093.0","81,921.0","86,446.0","90,802.0","85,936.0","96,659.0","104,150.0","109,802.0","108,172.0","122,983.0","134,391.0","139,032.0","150,571.0","162,173.0","166,603.0","180,327.0","202,827.0","217,686.0","252,081.0","283,544.0","286,853.0","303,602.0","347,033.0","390,387.0","431,769.0","442,075.0","505,932.0","567,325.0","646,072.0","728,923.0","798,661.0","917,686.0","939,286.0","1,000,301.0","1,113,464.0","1,214,620.0","1,290,079.0","1,403,178.0","1,502,442.0","1,627,184.0","1,709,269.0","1,759,709.0","1,845,120.0","1,948,233.0","2,091,882.0","2,215,503.0","2,380,425.0","2,557,217.0","2,729,766.0","2,902,480.0","3,132,442.0","3,118,188.0","2,967,867.0","3,043,390.0","3,265,721.0","3,659,271.0","3,995,154.0","4,209,165.0","4,057,554.0","3,745,486.0"
"51","32","    Capital transfer receipts","W067RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","526.0","522.0","488.0","451.0","512.0","576.0","566.0","682.0","795.0","878.0","996.0","1,068.0","915.0","825.0","940.0","1,055.0","1,148.0","1,163.0","1,253.0","1,604.0","1,787.0","1,695.0","1,805.0","2,242.0","2,509.0","2,638.0","2,885.0","3,305.0","3,608.0","3,886.0","3,978.0","4,088.0","4,625.0","4,764.0","5,797.0","6,804.0","6,601.0","6,298.0","6,448.0","7,236.0","9,276.0","7,189.0","7,541.0","8,778.0","9,262.0","10,103.0","8,290.0","8,360.0","8,934.0","10,019.0","10,576.0","11,114.0","12,435.0","15,755.0","15,597.0","15,795.0","17,637.0","20,228.0","20,039.0","23,110.0","26,974.0","32,393.0","36,705.0","35,640.0","37,422.0","32,648.0","27,968.0","30,254.0","32,335.0","33,109.0","31,829.0","33,888.0","30,207.0"
"52","33","  Total expenditures","W068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","137,650.0","149,590.0","161,506.0","169,138.0","177,840.0","189,102.0","214,732.0","242,852.0","268,287.0","286,747.0","313,165.0","340,693.0","370,680.0","400,749.0","453,810.0","535,247.0","575,621.0","622,573.0","685,159.0","763,138.0","883,092.0","1,000,471.0","1,110,693.0","1,210,383.0","1,312,225.0","1,439,077.0","1,538,579.0","1,622,113.0","1,700,215.0","1,821,349.0","1,976,861.0","2,076,654.0","2,233,995.0","2,304,124.0","2,374,360.0","2,480,079.0","2,583,189.0","2,657,965.0","2,735,185.0","2,874,801.0","3,021,520.0","3,220,751.0","3,422,889.0","3,624,638.0","3,827,033.0","4,109,918.0","4,319,822.0","4,636,031.0","5,025,019.0","5,349,770.0"
"53","34","    Current expenditures","W022RC1","7,988.0","8,391.0","9,796.0","8,847.0","9,152.0","10,658.0","11,213.0","12,802.0","12,020.0","13,236.0","14,304.0","14,980.0","19,626.0","38,421.0","60,240.0","74,720.0","78,665.0","53,872.0","48,650.0","51,876.0","57,730.0","59,216.0","69,679.0","79,736.0","85,516.0","84,392.0","87,471.0","92,240.0","102,359.0","110,737.0","115,942.0","122,970.0","132,198.0","142,912.0","151,182.0","159,312.0","170,554.0","192,816.0","220,010.0","247,028.0","267,009.0","295,233.0","325,828.0","356,304.0","386,504.0","436,927.0","510,248.0","552,221.0","600,319.0","656,299.0","729,884.0","846,494.0","966,888.0","1,076,754.0","1,171,655.0","1,260,991.0","1,370,882.0","1,463,961.0","1,540,545.0","1,623,624.0","1,740,990.0","1,879,525.0","1,983,951.0","2,148,999.0","2,229,402.0","2,304,045.0","2,412,496.0","2,505,688.0","2,581,055.0","2,649,277.0","2,761,862.0","2,905,970.0","3,093,607.0","3,274,722.0","3,458,603.0","3,653,549.0","3,916,353.0","4,147,899.0","4,423,970.0","4,740,290.0","4,989,333.0"
"54","35","    Gross government investment","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","461,556.0","496,331.0","513,792.0"
"55","36","    Capital transfer payments","W069RC1",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0","130.0","155.0","224.0","194.0","259.0","298.0","249.0","225.0","251.0","351.0","404.0","324.0","312.0","139.0","106.0","147.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","4,153.0","17,119.0","21,619.0","42,335.0","18,368.0","29,114.0","105,539.0","165,549.0"
"56","37","    Net purchases of nonproduced assets","AD07RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,321.0","1,491.0","1,657.0","1,682.0","1,890.0","1,771.0","2,019.0","1,156.0","506.0","1,092.0","836.0","1,196.0","949.0","-1,472.0","-3,782.0","1,530.0","-618.0","154.0","994.0","-1,133.0","-2,264.0","-3,533.0","-1,583.0","-2,676.0","-1,343.0","1,915.0","693.0","3,759.0","4,208.0","4,190.0","5,000.0","6,031.0","6,114.0","6,096.0","6,369.0","-815.0","2,239.0","-1,761.0","1,790.0","8,253.0","8,350.0","9,454.0","11,489.0","11,248.0","11,386.0","9,780.0","-2,211.0","11,836.0","-6,220.0","6,334.0"
"57","38","    Less: Consumption of fixed capital","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","290,445.0","310,921.0","325,238.0"
"58","39","  Net lending or net borrowing (-)","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,017.0","-8,049.0","-8,297.0","-4,080.0","-7,932.0","-5,167.0","-8,019.0","-21,188.0","-12,118.0","1,422.0","-21,548.0","-31,294.0","-16,843.0","-3,761.0","-15,743.0","-86,724.0","-62,453.0","-45,972.0","-31,898.0","-26,674.0","-75,653.0","-73,523.0","-161,304.0","-201,792.0","-190,401.0","-215,523.0","-238,481.0","-208,359.0","-186,659.0","-181,730.0","-251,837.0","-301,348.0","-373,080.0","-338,254.0","-262,250.0","-244,537.0","-179,654.0","-73,774.0","26,974.0","64,384.0","146,562.0","-65,141.0","-422,374.0","-553,280.0","-531,058.0","-418,312.0","-291,559.0","-395,037.0","-933,577.0","-1,574,077.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","of interest receipts. Miscellaneous receipts on line 9 includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Prior to 1959, subsidies (line 25) and the current surplus of government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","(line 14) are not shown separately; subsidies are presented net of the current surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Prior to 1960, government social benefits to the rest of the world are included in line 21,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","""other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
