"","Table 3#12# Government Social Benefits                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Federal","B087RC1","645.0","683.0","1,658.0","867.0","625.0","513.0","539.0","1,962.0","721.0","1,084.0","1,122.0","1,295.0","1,239.0","1,287.0","1,092.0","1,651.0","4,054.0","8,654.0","8,383.0","7,186.0","8,200.0","10,227.0","7,894.0","8,081.0","8,702.0","10,680.0","11,502.0","12,300.0","14,531.0","18,191.0","18,578.0","19,867.0","23,107.0","23,503.0","24,644.0","25,163.0","27,262.0","29,883.0","36,520.0","41,860.0","45,756.0","55,636.0","66,080.0","72,855.0","84,544.0","103,280.0","132,332.0","143,142.0","152,083.0","162,408.0","182,771.0","219,640.0","250,104.0","281,249.0","303,039.0","309,236.0","325,378.0","343,674.0","356,658.0","377,362.0","410,083.0","445,059.0","491,714.0","549,483.0","581,503.0","606,433.0","642,583.0","676,943.0","702,192.0","716,143.0","735,263.0","769,145.0","836,268.0","914,940.0","962,637.0","1,014,300.0","1,077,977.0","1,180,721.0","1,254,154.0","1,388,190.0"
"22","4","    Benefits from social insurance funds","A1588C1","26.0","29.0","33.0","40.0","40.0","42.0","36.0","35.0","79.0","541.0","628.0","762.0","629.0","664.0","445.0","529.0","1,249.0","3,480.0","2,618.0","2,440.0","3,646.0","5,882.0","4,099.0","4,518.0","5,297.0","7,215.0","7,739.0","8,505.0","10,653.0","14,174.0","14,580.0","15,878.0","18,976.0","19,273.0","20,251.0","20,584.0","22,278.0","24,668.0","30,330.0","35,131.0","37,983.0","45,711.0","54,031.0","59,237.0","69,385.0","81,594.0","104,495.0","114,937.0","124,071.0","132,306.0","148,692.0","178,139.0","205,985.0","238,507.0","257,674.0","263,027.0","278,637.0","295,618.0","307,820.0","324,872.0","351,720.0","382,324.0","421,418.0","467,507.0","493,172.0","514,055.0","543,965.0","572,754.0","597,000.0","607,949.0","622,871.0","654,866.0","713,660.0","774,821.0","810,222.0","843,921.0","894,379.0","992,091.0","1,055,439.0","1,140,748.0"
"23","5","      Old-age, survivors, and disability insurance","TRP0251",".....",".....",".....",".....",".....",".....",".....",".....","1.0","10.0","14.0","35.0","88.0","130.0","165.0","209.0","273.0","378.0","463.0","552.0","664.0","954.0","1,872.0","2,177.0","2,979.0","3,633.0","4,915.0","5,652.0","7,321.0","8,478.0","10,175.0","11,130.0","12,614.0","14,298.0","15,245.0","16,018.0","18,067.0","19,786.0","21,122.0","24,598.0","26,382.0","31,380.0","36,617.0","40,948.0","50,665.0","57,607.0","65,895.0","74,501.0","83,239.0","91,380.0","102,581.0","118,586.0","138,644.0","153,708.0","164,426.0","173,027.0","183,275.0","193,631.0","200,995.0","213,916.0","227,380.0","244,135.0","264,204.0","281,776.0","297,935.0","312,161.0","327,675.0","342,005.0","356,592.0","369,182.0","379,864.0","401,393.0","425,084.0","446,909.0","463,531.0","485,512.0","512,728.0","544,096.0","575,648.0","605,571.0"
"24","6","      Hospital and supplementary medical insurance","TRP0501",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,008.0","4,699.0","5,890.0","6,695.0","7,254.0","8,049.0","8,836.0","10,244.0","12,726.0","15,633.0","18,795.0","22,101.0","25,543.0","29,936.0","36,201.0","43,499.0","50,927.0","57,797.0","64,748.0","69,720.0","75,269.0","81,585.0","86,289.0","98,175.0","107,638.0","117,487.0","132,596.0","146,785.0","164,423.0","181,220.0","194,868.0","206,917.0","205,558.0","208,736.0","219,117.0","242,580.0","259,189.0","276,862.0","304,659.0","331,924.0","399,193.0","428,097.0","464,716.0"
"25","7","      Unemployment insurance","A1589C1",".....",".....",".....",".....",".....",".....",".....",".....","2.0","393.0","435.0","534.0","358.0","350.0","81.0","67.0","558.0","2,600.0","1,591.0","1,270.0","2,247.0","1,489.0","886.0","1,075.0","1,084.0","2,324.0","1,598.0","1,575.0","1,948.0","4,244.0","2,853.0","3,079.0","4,401.0","3,182.0","3,061.0","2,776.0","2,365.0","1,913.0","2,237.0","2,207.0","2,327.0","4,186.0","6,160.0","6,033.0","4,570.0","7,021.0","18,140.0","16,386.0","13,129.0","9,417.0","9,692.0","16,097.0","15,885.0","25,227.0","26,411.0","15,991.0","15,861.0","16,467.0","14,625.0","13,328.0","14,410.0","18,162.0","26,787.0","39,617.0","34,848.0","23,942.0","21,734.0","22,274.0","20,103.0","19,693.0","20,509.0","20,741.0","31,899.0","53,481.0","53,174.0","36,424.0","31,774.0","30,367.0","32,740.0","51,058.0"
"26","8","        State","L311071",".....",".....",".....",".....",".....",".....",".....",".....","2.0","393.0","429.0","518.0","344.0","344.0","80.0","62.0","446.0","1,095.0","775.0","790.0","1,730.0","1,367.0","837.0","992.0","954.0","2,015.0","1,341.0","1,373.0","1,724.0","3,796.0","2,408.0","2,727.0","3,981.0","2,868.0","2,763.0","2,506.0","2,149.0","1,756.0","2,074.0","2,008.0","2,100.0","3,811.0","5,582.0","5,454.0","4,188.0","6,570.0","16,548.0","14,280.0","11,533.0","8,612.0","9,100.0","15,331.0","15,087.0","23,376.0","20,135.0","13,165.0","14,612.0","15,956.0","14,169.0","12,915.0","14,019.0","17,714.0","25,416.0","24,825.0","21,589.0","21,432.0","21,013.0","21,604.0","19,504.0","19,186.0","20,036.0","20,253.0","31,369.0","42,091.0","41,484.0","34,276.0","31,031.0","29,622.0","32,034.0","42,517.0"
"27","9","        Railroad employees","TRP2001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6.0","16.0","14.0","6.0","1.0","1.0","2.0","38.0","54.0","60.0","135.0","90.0","47.0","76.0","92.0","206.0","147.0","120.0","144.0","282.0","289.0","214.0","255.0","183.0","148.0","124.0","101.0","78.0","75.0","81.0","94.0","95.0","120.0","87.0","58.0","52.0","137.0","219.0","174.0","191.0","143.0","238.0","266.0","394.0","379.0","188.0","181.0","180.0","149.0","101.0","91.0","89.0","88.0","81.0","72.0","63.0","62.0","65.0","72.0","61.0","65.0","81.0","98.0","96.0","94.0","79.0","72.0","78.0","83.0","84.0"
"28","10","        Federal employees","TRP1501",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0","110.0","1,467.0","762.0","420.0","382.0","32.0","2.0","7.0","38.0","103.0","110.0","82.0","80.0","166.0","156.0","138.0","165.0","131.0","150.0","146.0","115.0","79.0","88.0","118.0","133.0","280.0","458.0","492.0","324.0","399.0","791.0","912.0","742.0","451.0","449.0","528.0","532.0","340.0","427.0","334.0","312.0","331.0","307.0","312.0","300.0","359.0","518.0","1,243.0","1,255.0","776.0","659.0","605.0","527.0","446.0","408.0","407.0","432.0","614.0","697.0","711.0","670.0","667.0","623.0","724.0"
"29","11","        Special unemployment benefits","B1590C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","664.0","975.0","680.0","163.0","0.0","0.0","0.0","1,117.0","5,470.0","2,304.0","756.0","0.0","0.0","0.0","0.0","0.0","765.0","13,468.0","11,932.0","1,671.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,680.0","10,899.0","1,358.0","1.0","0.0","0.0","7,733.0"
"30","12","      Railroad retirement","TRP2501",".....",".....",".....",".....",".....",".....",".....","1.0","40.0","98.0","110.0","118.0","124.0","128.0","132.0","137.0","146.0","161.0","198.0","251.0","288.0","307.0","318.0","442.0","469.0","529.0","566.0","624.0","688.0","737.0","833.0","949.0","994.0","1,040.0","1,070.0","1,097.0","1,140.0","1,202.0","1,308.0","1,471.0","1,541.0","1,745.0","1,995.0","2,154.0","2,566.0","2,797.0","3,265.0","3,550.0","3,783.0","3,985.0","4,313.0","4,812.0","5,314.0","5,771.0","6,011.0","6,065.0","6,211.0","6,351.0","6,478.0","6,708.0","6,958.0","7,221.0","7,513.0","7,744.0","7,825.0","7,961.0","8,025.0","8,087.0","8,198.0","8,229.0","8,206.0","8,267.0","8,412.0","8,700.0","8,854.0","9,007.0","9,191.0","9,519.0","9,813.0","10,068.0"
"31","13","      Pension benefit guaranty","B1044C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","3.0","14.0","26.0","25.0","26.0","44.0","71.0","79.0","103.0","160.0","224.0","402.0","228.0","274.0","256.0","377.0","436.0","431.0","447.0","583.0","400.0","448.0","674.0","322.0","342.0","996.0","1,971.0","2,227.0","2,599.0","2,454.0","2,621.0","2,593.0"
"32","14","      Veterans life insurance","TRP3501","26.0","29.0","33.0","40.0","40.0","42.0","36.0","34.0","36.0","40.0","69.0","75.0","59.0","56.0","67.0","116.0","272.0","328.0","352.0","353.0","433.0","3,109.0","990.0","785.0","722.0","685.0","612.0","602.0","640.0","652.0","655.0","660.0","905.0","687.0","806.0","621.0","632.0","677.0","759.0","713.0","739.0","788.0","797.0","800.0","817.0","854.0","886.0","936.0","980.0","1,031.0","1,080.0","1,222.0","1,316.0","1,368.0","1,392.0","1,439.0","1,587.0","1,695.0","1,688.0","1,712.0","1,845.0","1,868.0","1,873.0","1,911.0","1,885.0","1,904.0","1,898.0","2,002.0","1,930.0","1,891.0","1,816.0","1,706.0","1,692.0","1,724.0","1,708.0","1,681.0","1,595.0","1,553.0","1,519.0","1,526.0"
"33","15","      Workers' compensation","TRP3751",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13.0","14.0","14.0","14.0","23.0","33.0","39.0","43.0","44.0","48.0","52.0","56.0","63.0","64.0","60.0","62.0","66.0","69.0","72.0","74.0","82.0","93.0","104.0","121.0","147.0","176.0","203.0","237.0","309.0","415.0","517.0","571.0","636.0","717.0","838.0","870.0","917.0","933.0","989.0","1,089.0","1,124.0","1,173.0","1,253.0","1,379.0","1,492.0","1,645.0","1,788.0","1,836.0","1,871.0","1,919.0","1,976.0","1,918.0","1,973.0","2,035.0","2,161.0","2,334.0","2,342.0","2,371.0","2,450.0","2,465.0","2,457.0","2,552.0","2,526.0"
"34","16","      Military medical insurance \1\","B1606C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","112.0","148.0","178.0","211.0","237.0","263.0","286.0","280.0","261.0","251.0","265.0","300.0","347.0","358.0","431.0","545.0","633.0","689.0","791.0","921.0","1,052.0","1,264.0","1,345.0","1,534.0","1,653.0","1,698.0","1,622.0","1,362.0","1,047.0","959.0","942.0","975.0","1,031.0","1,159.0","1,317.0","1,480.0","1,751.0","1,961.0","2,103.0","2,452.0","2,449.0","2,690.0"
"35","17","    Veterans benefits","A1594C1","508.0","544.0","1,513.0","709.0","483.0","375.0","409.0","1,821.0","524.0","458.0","448.0","451.0","441.0","437.0","443.0","827.0","2,565.0","5,042.0","5,468.0","4,408.0","4,214.0","3,986.0","3,500.0","3,342.0","3,215.0","3,343.0","3,651.0","3,682.0","3,752.0","3,836.0","3,774.0","3,745.0","3,827.0","3,841.0","3,926.0","3,987.0","4,193.0","4,121.0","4,753.0","5,091.0","5,798.0","6,587.0","7,540.0","8,504.0","9,284.0","10,462.0","12,895.0","12,797.0","12,334.0","12,536.0","13,047.0","13,414.0","14,444.0","14,902.0","15,033.0","14,826.0","14,952.0","14,882.0","14,763.0","15,011.0","15,357.0","15,807.0","16,245.0","16,695.0","17,409.0","17,787.0","18,634.0","19,413.0","20,367.0","21,367.0","22,314.0","23,288.0","24,895.0","27,808.0","30,112.0","32,353.0","34,761.0","37,308.0","40,118.0","43,578.0"
"36","18","      Pension and disability","TRP4501","415.0","438.0","517.0","539.0","425.0","347.0","380.0","391.0","390.0","399.0","412.0","423.0","422.0","427.0","437.0","589.0","940.0","1,580.0","2,042.0","2,110.0","2,147.0","2,192.0","2,126.0","2,239.0","2,400.0","2,514.0","2,706.0","2,764.0","2,921.0","3,145.0","3,282.0","3,442.0","3,647.0","3,743.0","3,871.0","3,954.0","4,184.0","4,038.0","4,446.0","4,592.0","5,090.0","5,433.0","5,884.0","6,312.0","6,461.0","7,107.0","7,795.0","8,452.0","9,189.0","9,713.0","10,636.0","11,372.0","12,520.0","13,310.0","13,682.0","13,735.0","14,048.0","14,187.0","14,199.0","14,584.0","14,975.0","15,550.0","15,891.0","16,184.0","16,707.0","16,934.0","17,548.0","18,274.0","19,137.0","20,147.0","20,991.0","21,966.0","23,386.0","26,142.0","28,177.0","30,194.0","32,505.0","35,018.0","37,720.0","40,797.0"
"37","19","      Readjustment","TRP5001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","33.0","1,313.0","1,843.0","1,864.0","1,898.0","1,676.0","1,220.0","649.0","459.0","504.0","648.0","726.0","708.0","624.0","479.0","301.0","179.0","97.0","54.0","32.0","9.0","83.0","307.0","499.0","708.0","1,154.0","1,656.0","2,192.0","2,823.0","3,355.0","5,100.0","4,345.0","3,145.0","2,823.0","2,411.0","2,042.0","1,924.0","1,592.0","1,351.0","1,091.0","904.0","695.0","564.0","427.0","382.0","257.0","354.0","511.0","702.0","853.0","1,086.0","1,139.0","1,230.0","1,220.0","1,323.0","1,322.0","1,509.0","1,666.0","1,935.0","2,159.0","2,256.0","2,290.0","2,398.0","2,781.0"
"38","20","      Other \2\","TRP5701","93.0","106.0","996.0","170.0","58.0","28.0","29.0","1,430.0","134.0","59.0","36.0","28.0","19.0","10.0","6.0","237.0","1,592.0","2,149.0","1,583.0","434.0","169.0","118.0","154.0","454.0","356.0","325.0","297.0","192.0","123.0","67.0","13.0","2.0","1.0","1.0","1.0","1.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","21","    Supplemental Nutrition Assistance Program (SNAP) \3\","TRP6001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","14.0","26.0","28.0","45.0","84.0","139.0","198.0","264.0","1,103.0","1,698.0","1,980.0","2,209.0","3,433.0","4,597.0","4,598.0","4,394.0","4,585.0","6,332.0","8,214.0","10,065.0","9,896.0","11,066.0","10,669.0","10,690.0","10,553.0","10,607.0","11,213.0","12,325.0","14,741.0","18,264.0","21,295.0","22,211.0","22,842.0","22,447.0","21,953.0","18,732.0","16,465.0","15,473.0","14,565.0","15,967.0","18,612.0","22,125.0","25,946.0","29,492.0","29,390.0","30,920.0","36,442.0"
