"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Domestic business","W276RC1","7,603.0","7,401.0","6,878.0","6,044.0","5,689.0","5,803.0","5,825.0","5,916.0","6,599.0","6,747.0","6,703.0","6,969.0","7,712.0","8,726.0","8,733.0","9,007.0","9,285.0","10,325.0","13,497.0","15,889.0","17,321.0","18,564.0","21,171.0","22,415.0","23,614.0","24,628.0","25,831.0","28,620.0","31,172.0","33,054.0","34,297.0","34,628.0","35,427.0","36,611.0","38,059.0","40,003.0","42,933.0","46,859.0","51,191.0","56,096.0","61,937.0","68,155.0","74,601.0","81,168.0","90,611.0","106,096.0","125,750.0","138,454.0","155,455.0","176,416.0","203,511.0","235,390.0","271,191.0","300,679.0","311,393.0","325,951.0","347,978.0","369,884.0","390,338.0","417,610.0","444,396.0","469,817.0","490,593.0","500,927.0","521,165.0","549,420.0","585,954.0","619,158.0","658,470.0","702,082.0","756,841.0","824,313.0","876,541.0","908,506.0","935,434.0","978,714.0","1,045,725.0","1,123,284.0","1,188,500.0","1,252,313.0"
"22","4","    Corporate business","A438RC1","4,988.0","4,816.0","4,496.0","3,992.0","3,784.0","3,864.0","3,924.0","3,960.0","4,424.0","4,484.0","4,456.0","4,632.0","5,104.0","5,780.0","5,816.0","5,956.0","6,140.0","6,884.0","8,884.0","10,384.0","11,228.0","11,960.0","13,628.0","14,460.0","15,388.0","16,176.0","17,088.0","19,220.0","21,260.0","22,692.0","23,668.0","23,980.0","24,616.0","25,520.0","26,684.0","28,180.0","30,396.0","33,388.0","36,780.0","40,620.0","45,120.0","50,004.0","54,832.0","59,700.0","66,924.0","78,820.0","94,416.0","104,532.0","117,988.0","134,228.0","155,120.0","179,836.0","208,140.0","231,388.0","240,436.0","252,904.0","271,728.0","289,812.0","306,472.0","328,816.0","350,840.0","373,040.0","392,064.0","402,008.0","420,052.0","444,852.0","476,804.0","505,984.0","540,856.0","578,312.0","625,812.0","685,064.0","730,252.0","755,892.0","775,528.0","809,160.0","862,868.0","925,856.0","980,964.0","1,036,832.0"
"23","5","      Financial","B580RC1","212.0","204.0","192.0","164.0","152.0","164.0","164.0","172.0","188.0","192.0","192.0","196.0","228.0","268.0","248.0","256.0","236.0","220.0","344.0","388.0","420.0","440.0","500.0","536.0","572.0","612.0","636.0","720.0","796.0","892.0","940.0","916.0","952.0","1,000.0","1,064.0","1,152.0","1,304.0","1,456.0","1,628.0","1,880.0","2,204.0","2,524.0","2,876.0","3,236.0","3,796.0","4,656.0","5,792.0","6,756.0","7,872.0","9,080.0","10,856.0","13,168.0","15,720.0","18,548.0","21,140.0","24,064.0","27,724.0","31,808.0","36,424.0","41,548.0","46,912.0","52,020.0","55,952.0","57,924.0","61,016.0","64,784.0","68,552.0","70,924.0","74,000.0","78,452.0","86,548.0","94,996.0","98,296.0","101,372.0","106,536.0","113,564.0","119,908.0","124,912.0","131,520.0","138,400.0"
"24","6","      Nonfinancial","B456RC1","4,776.0","4,612.0","4,304.0","3,828.0","3,632.0","3,700.0","3,760.0","3,788.0","4,236.0","4,292.0","4,264.0","4,436.0","4,876.0","5,512.0","5,568.0","5,700.0","5,904.0","6,664.0","8,540.0","9,996.0","10,808.0","11,520.0","13,128.0","13,924.0","14,816.0","15,564.0","16,452.0","18,500.0","20,464.0","21,800.0","22,728.0","23,064.0","23,664.0","24,520.0","25,620.0","27,028.0","29,092.0","31,932.0","35,152.0","38,740.0","42,916.0","47,480.0","51,956.0","56,464.0","63,128.0","74,164.0","88,624.0","97,776.0","110,116.0","125,148.0","144,264.0","166,668.0","192,420.0","212,840.0","219,296.0","228,840.0","244,004.0","258,004.0","270,048.0","287,268.0","303,928.0","321,020.0","336,112.0","344,084.0","359,036.0","380,068.0","408,252.0","435,060.0","466,856.0","499,860.0","539,264.0","590,068.0","631,956.0","654,520.0","668,992.0","695,596.0","742,960.0","800,944.0","849,444.0","898,432.0"
"25","7","    Noncorporate business","W277RC1","2,615.0","2,585.0","2,382.0","2,052.0","1,905.0","1,939.0","1,901.0","1,956.0","2,175.0","2,263.0","2,247.0","2,337.0","2,608.0","2,946.0","2,917.0","3,051.0","3,145.0","3,441.0","4,613.0","5,505.0","6,093.0","6,604.0","7,543.0","7,955.0","8,226.0","8,452.0","8,743.0","9,400.0","9,912.0","10,362.0","10,629.0","10,648.0","10,811.0","11,091.0","11,375.0","11,823.0","12,537.0","13,471.0","14,411.0","15,476.0","16,817.0","18,151.0","19,769.0","21,468.0","23,687.0","27,276.0","31,334.0","33,922.0","37,467.0","42,188.0","48,391.0","55,554.0","63,051.0","69,291.0","70,957.0","73,047.0","76,250.0","80,072.0","83,866.0","88,794.0","93,556.0","96,777.0","98,529.0","98,919.0","101,113.0","104,568.0","109,150.0","113,174.0","117,614.0","123,770.0","131,029.0","139,249.0","146,289.0","152,614.0","159,906.0","169,554.0","182,857.0","197,428.0","207,536.0","215,481.0"
"26","8","      Sole proprietorships and partnerships","A1615C1","2,235.0","2,206.0","2,036.0","1,773.0","1,630.0","1,635.0","1,595.0","1,625.0","1,797.0","1,864.0","1,836.0","1,899.0","2,115.0","2,404.0","2,348.0","2,440.0","2,501.0","2,735.0","3,726.0","4,512.0","5,055.0","5,511.0","6,336.0","6,694.0","6,930.0","7,124.0","7,365.0","7,944.0","8,412.0","8,827.0","9,056.0","8,948.0","8,980.0","9,111.0","9,343.0","9,702.0","10,276.0","11,014.0","11,799.0","12,658.0","13,747.0","14,895.0","16,234.0","17,593.0","19,363.0","22,344.0","25,776.0","27,916.0","30,798.0","34,628.0","39,823.0","45,814.0","52,303.0","57,851.0","59,226.0","60,890.0","63,556.0","66,580.0","69,575.0","73,746.0","77,793.0","80,370.0","81,719.0","81,822.0","83,387.0","86,229.0","90,090.0","93,540.0","97,285.0","102,739.0","109,049.0","116,019.0","121,850.0","127,313.0","133,325.0","141,028.0","152,160.0","164,524.0","173,582.0","181,601.0"
"27","9","        Farm","B1616C1","707.0","701.0","651.0","580.0","544.0","534.0","518.0","535.0","586.0","617.0","606.0","615.0","682.0","802.0","799.0","847.0","877.0","934.0","1,235.0","1,542.0","1,799.0","2,008.0","2,296.0","2,464.0","2,551.0","2,604.0","2,634.0","2,752.0","2,838.0","2,968.0","3,042.0","2,978.0","2,977.0","3,021.0","3,106.0","3,222.0","3,422.0","3,678.0","3,962.0","4,222.0","4,490.0","4,761.0","5,111.0","5,484.0","5,951.0","6,993.0","8,312.0","9,252.0","10,342.0","11,522.0","13,143.0","15,042.0","16,505.0","17,477.0","17,364.0","17,066.0","16,635.0","16,262.0","15,901.0","15,747.0","16,020.0","16,293.0","16,503.0","16,402.0","16,377.0","16,703.0","17,171.0","17,665.0","18,020.0","18,749.0","19,274.0","19,585.0","20,061.0","20,650.0","21,508.0","22,720.0","24,488.0","26,181.0","27,381.0","28,807.0"
"28","10","        Nonfarm","B1617C1","1,528.0","1,505.0","1,385.0","1,193.0","1,086.0","1,101.0","1,077.0","1,090.0","1,211.0","1,247.0","1,230.0","1,284.0","1,433.0","1,602.0","1,549.0","1,593.0","1,624.0","1,801.0","2,491.0","2,970.0","3,256.0","3,503.0","4,040.0","4,230.0","4,379.0","4,520.0","4,731.0","5,192.0","5,574.0","5,859.0","6,014.0","5,970.0","6,003.0","6,090.0","6,237.0","6,480.0","6,854.0","7,336.0","7,837.0","8,436.0","9,257.0","10,134.0","11,123.0","12,109.0","13,412.0","15,351.0","17,464.0","18,664.0","20,456.0","23,106.0","26,680.0","30,772.0","35,798.0","40,374.0","41,862.0","43,824.0","46,921.0","50,318.0","53,674.0","57,999.0","61,773.0","64,077.0","65,216.0","65,420.0","67,010.0","69,526.0","72,919.0","75,875.0","79,265.0","83,990.0","89,775.0","96,434.0","101,789.0","106,663.0","111,817.0","118,308.0","127,672.0","138,343.0","146,201.0","152,794.0"
"29","11","      Other private business","A1618C1","380.0","379.0","346.0","279.0","275.0","304.0","306.0","331.0","378.0","399.0","411.0","438.0","493.0","542.0","569.0","611.0","644.0","706.0","887.0","993.0","1,038.0","1,093.0","1,207.0","1,261.0","1,296.0","1,328.0","1,378.0","1,456.0","1,500.0","1,535.0","1,573.0","1,700.0","1,831.0","1,980.0","2,032.0","2,121.0","2,261.0","2,457.0","2,612.0","2,818.0","3,070.0","3,256.0","3,535.0","3,875.0","4,324.0","4,932.0","5,558.0","6,006.0","6,669.0","7,560.0","8,568.0","9,740.0","10,748.0","11,440.0","11,731.0","12,157.0","12,694.0","13,492.0","14,291.0","15,048.0","15,763.0","16,407.0","16,810.0","17,097.0","17,726.0","18,339.0","19,060.0","19,634.0","20,329.0","21,031.0","21,980.0","23,230.0","24,439.0","25,301.0","26,581.0","28,526.0","30,697.0","32,904.0","33,954.0","33,880.0"
"30","12","        Rental income of persons","B1620C1","380.0","379.0","346.0","279.0","275.0","304.0","301.0","316.0","353.0","366.0","373.0","393.0","437.0","472.0","504.0","542.0","574.0","630.0","772.0","854.0","880.0","922.0","1,012.0","1,055.0","1,079.0","1,101.0","1,143.0","1,198.0","1,225.0","1,243.0","1,278.0","1,415.0","1,541.0","1,683.0","1,726.0","1,808.0","1,940.0","2,125.0","2,263.0","2,446.0","2,676.0","2,833.0","3,077.0","3,389.0","3,800.0","4,331.0","4,839.0","5,195.0","5,748.0","6,536.0","7,422.0","8,428.0","9,309.0","9,928.0","10,219.0","10,670.0","11,137.0","11,816.0","12,553.0","13,247.0","13,891.0","14,470.0","14,845.0","15,108.0","15,675.0","16,233.0","16,922.0","17,487.0","18,163.0","18,850.0","19,753.0","20,869.0","21,965.0","22,762.0","24,042.0","26,013.0","28,100.0","30,149.0","31,069.0","30,849.0"
"31","13","          Nonfarm tenant-occupied housing","B2608C1","345.0","344.0","314.0","254.0","250.0","276.0","273.0","287.0","320.0","332.0","339.0","357.0","397.0","429.0","458.0","491.0","521.0","568.0","693.0","766.0","788.0","823.0","900.0","937.0","957.0","974.0","1,009.0","1,052.0","1,073.0","1,090.0","1,123.0","1,257.0","1,382.0","1,523.0","1,566.0","1,645.0","1,769.0","1,942.0","2,065.0","2,231.0","2,441.0","2,577.0","2,798.0","3,088.0","3,477.0","3,978.0","4,456.0","4,800.0","5,334.0","6,092.0","6,933.0","7,878.0","8,709.0","9,276.0","9,538.0","9,950.0","10,351.0","10,951.0","11,616.0","12,238.0","12,805.0","13,314.0","13,647.0","13,906.0","14,458.0","14,977.0","15,620.0","16,152.0","16,782.0","17,392.0","18,191.0","19,209.0","20,229.0","20,925.0","22,091.0","23,941.0","25,865.0","27,757.0","28,574.0","28,268.0"
"32","14","          Farm tenant-occupied housing","W278RC1","13.0","13.0","12.0","9.0","9.0","10.0","10.0","10.0","12.0","12.0","12.0","13.0","14.0","15.0","16.0","18.0","19.0","21.0","26.0","29.0","30.0","31.0","34.0","36.0","36.0","37.0","37.0","39.0","39.0","39.0","39.0","39.0","38.0","38.0","38.0","38.0","39.0","40.0","42.0","44.0","46.0","47.0","50.0","53.0","58.0","65.0","71.0","75.0","83.0","94.0","105.0","116.0","125.0","129.0","129.0","132.0","135.0","140.0","145.0","151.0","157.0","161.0","163.0","165.0","171.0","182.0","194.0","203.0","213.0","222.0","236.0","248.0","259.0","265.0","277.0","299.0","321.0","337.0","338.0","328.0"
"33","15","          Farms owned by nonoperator landlords","B2609C1","16.0","16.0","14.0","11.0","11.0","12.0","12.0","13.0","14.0","15.0","15.0","15.0","17.0","18.0","20.0","22.0","23.0","26.0","32.0","35.0","36.0","38.0","41.0","43.0","44.0","44.0","45.0","47.0","47.0","47.0","46.0","46.0","46.0","46.0","45.0","45.0","46.0","48.0","49.0","52.0","54.0","55.0","58.0","62.0","67.0","73.0","80.0","84.0","92.0","104.0","115.0","127.0","136.0","140.0","139.0","142.0","143.0","148.0","152.0","157.0","161.0","164.0","164.0","165.0","170.0","177.0","183.0","185.0","189.0","193.0","200.0","209.0","217.0","222.0","232.0","250.0","267.0","282.0","282.0","268.0"
"34","16","          Nonfarm nonresidential properties","B2610C1","6.0","6.0","6.0","5.0","5.0","6.0","6.0","6.0","7.0","7.0","7.0","8.0","9.0","10.0","10.0","11.0","11.0","15.0","21.0","24.0","26.0","30.0","37.0","39.0","42.0","46.0","52.0","60.0","66.0","67.0","70.0","73.0","75.0","76.0","77.0","80.0","86.0","95.0","107.0","119.0","135.0","154.0","171.0","186.0","198.0","215.0","232.0","236.0","239.0","246.0","269.0","307.0","339.0","383.0","413.0","446.0","508.0","577.0","640.0","701.0","768.0","831.0","871.0","872.0","876.0","897.0","925.0","947.0","979.0","1,043.0","1,126.0","1,203.0","1,260.0","1,350.0","1,442.0","1,523.0","1,647.0","1,773.0","1,875.0","1,985.0"
"35","17","        Proprietors' income","B1619C1","0.0","0.0","0.0","0.0","0.0","0.0","5.0","15.0","25.0","33.0","38.0","45.0","56.0","70.0","65.0","69.0","70.0","76.0","115.0","139.0","158.0","171.0","195.0","206.0","217.0","227.0","235.0","258.0","275.0","292.0","295.0","285.0","290.0","297.0","306.0","313.0","321.0","332.0","349.0","372.0","394.0","423.0","458.0","486.0","524.0","601.0","719.0","811.0","921.0","1,024.0","1,146.0","1,312.0","1,439.0","1,512.0","1,512.0","1,487.0","1,557.0","1,676.0","1,738.0","1,801.0","1,872.0","1,937.0","1,965.0","1,989.0","2,051.0","2,106.0","2,138.0","2,147.0","2,166.0","2,181.0","2,227.0","2,361.0","2,474.0","2,539.0","2,539.0","2,513.0","2,597.0","2,755.0","2,885.0","3,031.0"
"36","18","  Households and institutions","W279RC1","1,106.0","1,100.0","1,008.0","825.0","809.0","894.0","888.0","939.0","1,055.0","1,096.0","1,118.0","1,178.0","1,308.0","1,420.0","1,528.0","1,649.0","1,757.0","1,989.0","2,561.0","2,965.0","3,178.0","3,463.0","3,991.0","4,325.0","4,591.0","4,842.0","5,226.0","5,721.0","6,077.0","6,334.0","6,663.0","6,955.0","7,204.0","7,468.0","7,819.0","8,294.0","8,927.0","9,622.0","10,368.0","11,326.0","12,553.0","13,547.0","14,927.0","16,545.0","18,848.0","21,739.0","24,699.0","27,090.0","30,693.0","35,546.0","40,951.0","46,900.0","52,058.0","55,759.0","58,126.0","61,515.0","64,796.0","69,179.0","74,147.0","79,504.0","85,208.0","90,599.0","94,840.0","98,973.0","105,218.0","111,533.0","118,665.0","124,194.0","131,240.0","139,485.0","150,396.0","162,515.0","175,052.0","185,527.0","200,499.0","222,160.0","245,085.0","268,104.0","281,073.0","283,852.0"
