"","Table 3#18A# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"45","24","          Benefits paid","L318251",".....",".....","393.0","408.0","409.0","422.0","434.0","448.0","451.0","462.0","482.0","499.0","503.0","515.0","538.0","549.0","555.0","597.0","609.0","643.0","657.0","674.0","695.0","711.0","724.0","746.0","770.0","811.0","868.0","892.0","924.0","945.0","985.0","1,011.0","1,033.0","1,062.0"
"46","25","          Administrative expenses","L318261",".....",".....","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"47","26","        District of Columbia","L318271",".....",".....","62.0","62.0","64.0","67.0","65.0","75.0","72.0","74.0","76.0","75.0","84.0","82.0","70.0","89.0","69.0","86.0","75.0","88.0","79.0","93.0","85.0","96.0","85.0","97.0","92.0","99.0","102.0","112.0","94.0","112.0","108.0","127.0","109.0","126.0"
"48","27","        Federal Home Loan Banks and Federal Land Banks","L318281",".....",".....","532.0","314.0","-561.0","145.0","-115.0","104.0","-662.0","417.0","422.0","430.0","-442.0","651.0","460.0","306.0","-1,080.0","841.0","1,059.0","640.0","-463.0","542.0","337.0","299.0","-349.0","952.0","487.0","175.0","-12.0","1,174.0","824.0","-600.0","-2,041.0","-1,151.0","579.0","310.0"
"49","28","        Net investment \7\","L318291",".....",".....","1,390.0","1,036.0","934.0","829.0","1,052.0","953.0","1,327.0","1,243.0","1,381.0","1,458.0","1,502.0","1,443.0","1,607.0","1,401.0","956.0","962.0","1,274.0","844.0","851.0","802.0","870.0","792.0","536.0","468.0","613.0","473.0","817.0","579.0","1,097.0","1,081.0","1,072.0","781.0","1,118.0","843.0"
"50","29","        Capital transfers paid \8\","L318301",".....",".....","995.0","908.0","476.0","566.0","796.0","778.0","539.0","598.0","850.0","867.0","556.0","686.0","867.0","958.0","600.0","723.0","1,095.0","1,168.0","679.0","824.0","1,305.0","1,256.0","778.0","842.0","1,173.0","1,243.0","840.0","909.0","1,319.0","1,319.0","832.0","711.0","1,295.0","1,422.0"
"51","30","        Financial transactions","L318311",".....",".....","147.0","729.0","984.0","606.0","864.0","575.0","835.0","910.0","2,091.0","920.0","1,258.0","540.0","658.0","755.0","977.0","384.0","248.0","1,506.0","1,241.0","727.0","296.0","1,057.0","614.0","1,906.0","-416.0","2,010.0","2,193.0","195.0","1,434.0","1,741.0","-392.0","-727.0","2,109.0","1,347.0"
"52","31","          Loan disbursements less loan repayments and sales \9\","L318321",".....",".....","-105.0","524.0","705.0","265.0","623.0","251.0","472.0","536.0","1,895.0","668.0","971.0","179.0","380.0","583.0","679.0","-42.0","4.0","1,208.0","1,263.0","361.0","129.0","811.0","449.0","1,617.0","-273.0","1,707.0","1,985.0","56.0","1,603.0","1,651.0","-436.0","-751.0","1,698.0","1,226.0"
"53","32","          Net purchases of foreign currency","L318331",".....",".....","252.0","205.0","279.0","341.0","241.0","324.0","363.0","374.0","196.0","252.0","287.0","361.0","278.0","172.0","298.0","426.0","244.0","298.0","-22.0","366.0","167.0","246.0","165.0","289.0","-143.0","303.0","208.0","139.0","-169.0","90.0","44.0","24.0","411.0","121.0"
"54","33","        Other \10\","L318341",".....",".....","-494.0","-394.0","-77.0","-92.0","-244.0","-343.0","-225.0","-185.0","-214.0","-414.0","-380.0","-675.0","-307.0","-569.0","-180.0","-241.0","-517.0","-393.0","-418.0","-443.0","-482.0","-346.0","-533.0","222.0","-263.0","-633.0","-700.0","-418.0","-455.0","-496.0","-549.0","-65.0","-673.0","-66.0"
"55","34","Less: Netting and grossing differences","L318351",".....",".....","76.0","137.0","-141.0","-55.0","-164.0","-204.0","-191.0","-78.0","-168.0","-276.0","-222.0","-186.0","-154.0","-36.0","-154.0","-94.0","-174.0","-139.0","-143.0","-317.0","-280.0","-223.0","-397.0","-385.0","-259.0","-224.0","-155.0","-72.0","-56.0","-258.0","-433.0","-333.0","-507.0","-576.0"
"56","35","        Current surplus of government enterprises \4\","W702LC1",".....",".....","99.0","-26.0","106.0","19.0","146.0","49.0","141.0","143.0","176.0","37.0","105.0","125.0","163.0","88.0","72.0","90.0","106.0","-1.0","44.0","70.0","135.0","44.0","40.0","108.0","141.0","57.0","149.0","110.0","262.0","94.0","156.0","160.0","215.0","106.0"
"57","36","        Interest receipts \5\","W703LC1",".....",".....","0.0","0.0","-282.0","-311.0","-347.0","-393.0","-304.0","-346.0","-341.0","-428.0","-342.0","-427.0","-380.0","-457.0","-378.0","-430.0","-410.0","-483.0","-406.0","-448.0","-451.0","-442.0","-442.0","-490.0","-440.0","-461.0","-416.0","-499.0","-458.0","-578.0","-468.0","-565.0","-550.0","-671.0"
"58","37","        Other \6\","L318371",".....",".....","-23.0","163.0","35.0","237.0","37.0","140.0","-28.0","125.0","-3.0","115.0","15.0","116.0","63.0","333.0","153.0","246.0","130.0","345.0","219.0","61.0","36.0","175.0","5.0","-3.0","40.0","180.0","112.0","317.0","141.0","226.0","-121.0","72.0","-172.0","-11.0"
"59","38","Plus: Timing differences","L318381",".....",".....","-310.0","504.0","559.0","-121.0","-21.0","198.0","813.0","-399.0","469.0","232.0","1,033.0","429.0","-45.0","-269.0","861.0","17.0","-227.0","242.0","403.0","628.0","-181.0","46.0","175.0","790.0","-647.0","284.0","34.0","102.0","-563.0","-188.0","58.0","103.0","-535.0","412.0"
"60","39","        Purchases (increase in payables net of advances) \11\","L318391",".....",".....","0.0","343.0","-75.0","23.0","167.0","129.0","145.0","-109.0","185.0","229.0","37.0","-79.0","14.0","174.0","-189.0","-498.0","112.0","187.0","-212.0","-1,324.0","851.0","428.0","-180.0","-178.0","-66.0","274.0","-391.0","-128.0","-279.0","155.0","-943.0","291.0","-1,568.0","445.0"
"61","40","        Interest payments","L318401",".....",".....","406.0","219.0","67.0","-205.0","-68.0","244.0","-198.0","257.0","-298.0","666.0","457.0","-149.0","392.0","143.0","254.0","109.0","250.0","308.0","320.0","71.0","294.0","137.0","298.0","112.0","114.0","392.0","203.0","72.0","521.0","308.0","221.0","-345.0","656.0","260.0"
"62","41","        Current transfer payments","L318411",".....",".....","57.0","12.0","34.0","-11.0","34.0","7.0","-22.0","-230.0","156.0","53.0","33.0","40.0","15.0","14.0","47.0","11.0","-10.0","30.0","-14.0","13.0","-3.0","7.0","30.0","9.0","26.0","-3.0","7.0","-2.0","16.0","-11.0","97.0","124.0","102.0","123.0"
"63","42","        Subsidies","L318421",".....",".....","-72.0","50.0","1.0","64.0","-147.0","56.0","39.0","8.0","33.0","24.0","-57.0","285.0","20.0","-80.0","-22.0","224.0","215.0","-316.0","50.0","456.0","-140.0","-110.0","74.0","111.0","73.0","49.0","-79.0","137.0","311.0","-309.0","-151.0","47.0","280.0","36.0"
"64","43","        Checks outstanding and certain other accounts","L318431",".....",".....","-701.0","-120.0","532.0","8.0","-7.0","-238.0","849.0","-325.0","393.0","-740.0","563.0","332.0","-486.0","-520.0","771.0","171.0","-794.0","33.0","259.0","1,412.0","-1,183.0","-416.0","-47.0","736.0","-794.0","-428.0","294.0","23.0","-1,132.0","-331.0","834.0","-14.0","-5.0","-452.0"
"65","44","Equals: Federal government current expenditures, NIPAs","L318441",".....",".....","21,165.0","21,513.0","20,636.0","21,772.0","21,724.0","22,681.0","22,283.0","23,960.0","22,490.0","24,198.0","24,326.0","25,642.0","24,959.0","26,265.0","25,886.0","26,333.0","27,330.0","26,952.0","26,924.0","28,238.0","28,249.0","27,477.0","27,271.0","29,054.0","30,592.0","30,801.0","30,962.0","33,479.0","35,925.0","35,354.0","37,451.0","38,775.0","39,837.0","40,153.0"
"66",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","45","Consolidated cash budget surplus or deficit (-) (1-19)","L318451",".....",".....","-3,011.0","-4,498.0","3,819.0","4,439.0","-804.0","-3,898.0","1,356.0","1,046.0","-3,334.0","-5,884.0","291.0","3,130.0","-2,473.0","-6,617.0","1,658.0","3,420.0","-3,648.0","-6,078.0","1,615.0","3,309.0","-3,878.0","-6,286.0","2,399.0","5,069.0","-3,910.0","-8,101.0","-1,288.0","9,962.0","-6,668.0","-7,737.0","1,389.0","11,470.0","-9,184.0","-10,946.0"
"68","46","Plus: Net investment (28)","L318461",".....",".....","1,390.0","1,036.0","934.0","829.0","1,052.0","953.0","1,327.0","1,243.0","1,381.0","1,458.0","1,502.0","1,443.0","1,607.0","1,401.0","956.0","962.0","1,274.0","844.0","851.0","802.0","870.0","792.0","536.0","468.0","613.0","473.0","817.0","579.0","1,097.0","1,081.0","1,072.0","781.0","1,118.0","843.0"
"69","47","Less: Net capital transfers received (4-29)","L318471",".....",".....","-664.0","-589.0","-67.0","-21.0","-428.0","-341.0","-23.0","-27.0","-402.0","-452.0","-82.0","-9.0","-407.0","-515.0","-53.0","-8.0","-557.0","-727.0","-125.0","34.0","-708.0","-698.0","-83.0","21.0","-544.0","-615.0","-76.0","133.0","-675.0","-723.0","-80.0","270.0","-592.0","-793.0"
"70","48","      Federal employee retirement plans (3-21)","L318481",".....",".....","-1.0","67.0","-1.0","60.0","62.0","88.0","-33.0","112.0","-40.0","66.0","-57.0","121.0","-70.0","70.0","-73.0","81.0","-97.0","53.0","-106.0","35.0","-91.0","28.0","-174.0","13.0","-154.0","-12.0","-293.0","-62.0","-245.0","-53.0","-378.0","-63.0","-342.0","39.0"
"71","49","      Other coverage differences (5+6+7-26-27-30-33)","L318491",".....",".....","-30.0","-427.0","-268.0","-266.0","-414.0","-192.0","256.0","-492.0","-2,128.0","-874.0","-361.0","-396.0","-318.0","-304.0","260.0","-869.0","-583.0","-1,672.0","-258.0","-729.0","-85.0","-703.0","380.0","-3,005.0","335.0","-1,511.0","-1,350.0","-701.0","-1,660.0","-278.0","3,118.0","2,641.0","-1,845.0","-1,637.0"
"72","50","      Timing differences (38-12)","L318501",".....",".....","-1,110.0","-1,314.0","1,971.0","557.0","90.0","-629.0","2,566.0","-252.0","-262.0","-1,972.0","1,476.0","554.0","-89.0","-1,749.0","1,372.0","-249.0","-919.0","-1,860.0","2,230.0","836.0","-794.0","-1,696.0","798.0","1,980.0","-1,159.0","-1,967.0","-95.0","4,581.0","-303.0","-2,610.0","929.0","7,413.0","-1,470.0","-1,354.0"
"73","51","Equals: Net federal government saving, national income and product accounts (18-44)","L318511",".....",".....","184.0","-1,199.0","3,118.0","4,938.0","938.0","-1,871.0","-83.0","2,948.0","879.0","-1,194.0","817.0","4,303.0","18.0","-2,718.0","1,108.0","5,427.0","-218.0","-1,028.0","725.0","3,935.0","-1,330.0","-2,425.0","2,015.0","6,528.0","-1,775.0","-3,524.0","1,343.0","6,590.0","-2,688.0","-2,992.0","-1,128.0","1,990.0","-3,817.0","-6,358.0"
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. These transactions are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","3. Consists largely of sales of land, receipts from offshore oil leases, and U.S. Treasury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","receipts from sales of foreign currencies to government agencies. Includes certain revenues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
