"","Table 5#8#5A# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"45","27","  State and local","A842RC1","2,413.0","2,715.0","2,447.0","1,580.0","1,176.0","1,624.0","1,459.0","2,763.0","2,368.0","2,756.0","3,131.0","2,556.0","2,074.0","1,400.0","771.0","603.0","708.0","1,405.0","2,527.0","3,589.0","4,887.0","5,385.0","6,419.0","6,727.0","7,278.0","8,479.0","9,274.0","10,367.0","11,458.0","12,482.0","12,839.0","12,702.0","13,786.0","14,524.0","15,969.0","17,232.0","18,953.0","20,993.0","23,042.0","25,220.0","25,579.0","25,789.0","26,953.0","27,106.0","29,137.0","34,740.0","38,136.0","38,148.0","36,911.0","42,846.0","49,040.0","55,058.0","55,421.0","54,245.0","54,222.0","60,536.0","67,553.0","74,207.0","78,821.0","84,793.0","88,727.0","98,539.0","103,180.0","104,232.0","104,487.0","108,710.0","117,256.0","126,838.0","139,530.0"
"46","28","    New","A843RC1","2,331.0","2,649.0","2,388.0","1,529.0","1,132.0","1,585.0","1,419.0","2,721.0","2,322.0","2,705.0","3,050.0","2,446.0","2,000.0","1,364.0","742.0","578.0","668.0","1,368.0","2,479.0","3,527.0","4,781.0","5,242.0","6,274.0","6,593.0","7,103.0","8,284.0","8,946.0","10,004.0","11,083.0","12,069.0","12,346.0","12,241.0","13,269.0","13,956.0","15,356.0","16,485.0","18,048.0","20,043.0","22,061.0","24,238.0","24,651.0","24,806.0","25,888.0","26,092.0","28,129.0","33,745.0","37,204.0","37,197.0","35,994.0","42,001.0","48,081.0","54,004.0","54,278.0","53,055.0","52,893.0","58,998.0","65,811.0","72,171.0","76,596.0","82,472.0","86,019.0","95,379.0","99,904.0","101,060.0","101,536.0","105,755.0","114,185.0","123,938.0","136,608.0"
"47","29","      Buildings","A844RC1","633.0","617.0","547.0","282.0","136.0","299.0","269.0","625.0","468.0","590.0","951.0","578.0","504.0","367.0","146.0","98.0","129.0","324.0","594.0","1,099.0","1,909.0","2,218.0","2,894.0","2,925.0","2,959.0","3,302.0","3,658.0","3,766.0","4,254.0","4,534.0","4,318.0","4,487.0","4,915.0","5,001.0","5,308.0","5,802.0","6,433.0","7,639.0","8,991.0","9,503.0","10,227.0","9,755.0","10,320.0","10,368.0","11,666.0","13,486.0","15,094.0","14,612.0","13,340.0","14,706.0","16,288.0","18,444.0","18,490.0","18,737.0","19,010.0","20,638.0","23,782.0","27,083.0","28,172.0","31,290.0","34,775.0","38,779.0","42,600.0","43,591.0","43,099.0","44,728.0","52,412.0","57,881.0","64,498.0"
"48","30","        Residential","B845RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","61.0","196.0","215.0","182.0","45.0","8.0","0.0","126.0","194.0","121.0","323.0","330.0","580.0","641.0","537.0","334.0","264.0","273.0","351.0","489.0","472.0","428.0","551.0","735.0","390.0","457.0","453.0","570.0","673.0","686.0","907.0","1,014.0","1,012.0","732.0","811.0","816.0","1,074.0","994.0","1,222.0","1,205.0","1,553.0","1,835.0","2,247.0","2,091.0","2,419.0","2,394.0","2,595.0","2,675.0","2,808.0","2,873.0","2,941.0","3,370.0","3,615.0","4,033.0","3,775.0","3,389.0","4,123.0","4,367.0","4,622.0"
"49","31","        Industrial","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"50","32","        Educational \8\","B847RC1","388.0","363.0","283.0","126.0","49.0","146.0","151.0","364.0","251.0","309.0","466.0","154.0","156.0","126.0","61.0","37.0","54.0","96.0","229.0","615.0","934.0","1,133.0","1,511.0","1,601.0","1,705.0","2,125.0","2,436.0","2,548.0","2,817.0","2,864.0","2,645.0","2,798.0","3,024.0","2,955.0","3,451.0","3,766.0","4,270.0","5,320.0","5,966.0","6,047.0","5,857.0","5,604.0","5,545.0","5,692.0","6,590.0","7,263.0","7,448.0","6,952.0","5,991.0","6,515.0","7,141.0","7,860.0","7,335.0","7,027.0","6,864.0","7,823.0","9,074.0","10,441.0","10,623.0","12,820.0","14,688.0","16,044.0","19,087.0","20,251.0","19,108.0","20,335.0","25,757.0","28,578.0","33,533.0"
"51","33","        Hospital","B848RC1","100.0","116.0","106.0","76.0","44.0","48.0","35.0","70.0","69.0","93.0","124.0","50.0","38.0","31.0","40.0","53.0","75.0","75.0","47.0","115.0","289.0","353.0","395.0","382.0","303.0","298.0","278.0","263.0","309.0","355.0","370.0","345.0","314.0","342.0","337.0","367.0","402.0","381.0","540.0","629.0","709.0","708.0","831.0","850.0","846.0","1,069.0","1,483.0","1,699.0","1,556.0","1,514.0","1,695.0","1,956.0","1,867.0","1,914.0","1,728.0","1,710.0","1,757.0","1,859.0","2,035.0","2,049.0","2,132.0","2,443.0","2,688.0","3,048.0","3,179.0","2,967.0","3,077.0","3,043.0","3,263.0"
"52","34","        Other \5\","B849RC1","145.0","138.0","158.0","80.0","43.0","105.0","83.0","191.0","148.0","185.0","300.0","178.0","95.0","28.0","0.0","0.0","0.0","27.0","124.0","248.0","363.0","402.0","408.0","301.0","414.0","545.0","680.0","682.0","777.0","826.0","831.0","916.0","1,026.0","969.0","1,130.0","1,212.0","1,308.0","1,368.0","1,812.0","2,141.0","2,754.0","2,429.0","2,932.0","3,094.0","3,419.0","4,338.0","5,089.0","4,967.0","4,571.0","5,472.0","5,899.0","6,793.0","7,041.0","7,705.0","7,999.0","8,711.0","10,356.0","12,108.0","12,706.0","13,548.0","15,014.0","16,922.0","17,210.0","16,259.0","17,037.0","18,037.0","19,455.0","21,893.0","23,080.0"
"53","35","      Highways and streets \9\","B851RC1","1,255.0","1,499.0","1,333.0","937.0","803.0","939.0","781.0","1,309.0","1,184.0","1,384.0","1,346.0","1,272.0","1,040.0","717.0","439.0","355.0","387.0","743.0","1,307.0","1,624.0","1,962.0","2,089.0","2,315.0","2,627.0","2,959.0","3,645.0","3,785.0","4,338.0","4,833.0","5,432.0","5,667.0","5,301.0","5,720.0","6,205.0","6,901.0","6,960.0","7,381.0","8,157.0","8,347.0","9,088.0","9,039.0","9,728.0","10,370.0","10,131.0","10,236.0","11,808.0","12,840.0","12,032.0","12,064.0","13,748.0","16,560.0","17,753.0","17,654.0","16,756.0","17,436.0","21,040.0","23,272.0","24,916.0","26,668.0","28,695.0","28,513.0","31,877.0","32,150.0","32,237.0","33,961.0","36,991.0","37,308.0","39,096.0","42,347.0"
"54","36","      Conservation and development","B857RC1","29.0","26.0","21.0","11.0","21.0","73.0","63.0","89.0","95.0","67.0","75.0","33.0","12.0","7.0","0.0","0.0","0.0","20.0","30.0","41.0","59.0","61.0","58.0","46.0","61.0","68.0","100.0","149.0","153.0","134.0","149.0","170.0","184.0","226.0","357.0","360.0","513.0","529.0","627.0","610.0","593.0","541.0","450.0","410.0","358.0","495.0","692.0","677.0","580.0","547.0","835.0","1,150.0","1,029.0","1,079.0","1,264.0","1,411.0","1,608.0","1,736.0","1,716.0","1,666.0","1,953.0","2,003.0","1,831.0","1,689.0","1,707.0","1,887.0","2,209.0","2,350.0","2,245.0"
"55","37","      Sewer systems","B858RC1","127.0","142.0","114.0","69.0","45.0","102.0","101.0","230.0","209.0","235.0","243.0","184.0","118.0","76.0","37.0","26.0","37.0","97.0","185.0","300.0","353.0","383.0","425.0","432.0","520.0","568.0","615.0","701.0","781.0","836.0","906.0","882.0","914.0","1,072.0","947.0","1,325.0","1,195.0","1,300.0","1,058.0","1,551.0","1,344.0","1,544.0","1,829.0","2,002.0","2,429.0","3,384.0","3,748.0","4,243.0","4,033.0","5,136.0","5,561.0","6,644.0","5,886.0","5,574.0","5,007.0","5,903.0","6,049.0","6,815.0","8,107.0","8,519.0","8,497.0","9,059.0","9,172.0","9,588.0","8,958.0","8,141.0","8,160.0","9,177.0","9,453.0"
"56","38","      Water systems","B859RC1","126.0","201.0","156.0","87.0","50.0","71.0","74.0","112.0","102.0","120.0","128.0","154.0","134.0","93.0","70.0","53.0","60.0","97.0","163.0","235.0","265.0","276.0","350.0","355.0","363.0","414.0","470.0","574.0","563.0","551.0","561.0","605.0","667.0","682.0","882.0","956.0","1,266.0","1,066.0","1,270.0","1,514.0","1,336.0","1,094.0","996.0","1,076.0","1,068.0","1,382.0","1,962.0","1,904.0","1,677.0","2,213.0","2,522.0","3,213.0","3,074.0","3,221.0","2,813.0","3,421.0","3,946.0","4,650.0","5,295.0","5,321.0","5,496.0","6,126.0","6,333.0","5,592.0","4,990.0","5,206.0","4,969.0","6,238.0","7,556.0"
"57","39","      Other \7\","B860RC1","161.0","164.0","217.0","143.0","77.0","101.0","131.0","356.0","264.0","309.0","307.0","225.0","192.0","104.0","50.0","46.0","55.0","87.0","200.0","228.0","233.0","215.0","232.0","208.0","241.0","287.0","318.0","476.0","499.0","582.0","745.0","796.0","869.0","770.0","961.0","1,082.0","1,260.0","1,352.0","1,768.0","1,972.0","2,112.0","2,144.0","1,923.0","2,105.0","2,372.0","3,190.0","2,868.0","3,729.0","4,300.0","5,651.0","6,315.0","6,800.0","8,145.0","7,688.0","7,363.0","6,585.0","7,154.0","6,971.0","6,638.0","6,981.0","6,785.0","7,535.0","7,818.0","8,363.0","8,821.0","8,802.0","9,127.0","9,196.0","10,509.0"
"58","40","    Net purchases of used structures","B870RC1","82.0","66.0","59.0","51.0","44.0","39.0","40.0","42.0","46.0","51.0","81.0","110.0","74.0","36.0","29.0","25.0","40.0","37.0","48.0","62.0","106.0","143.0","145.0","134.0","175.0","195.0","328.0","363.0","375.0","413.0","493.0","461.0","517.0","568.0","613.0","747.0","905.0","950.0","981.0","982.0","928.0","983.0","1,065.0","1,014.0","1,008.0","995.0","932.0","951.0","917.0","845.0","959.0","1,054.0","1,143.0","1,190.0","1,329.0","1,538.0","1,742.0","2,036.0","2,225.0","2,321.0","2,708.0","3,160.0","3,276.0","3,172.0","2,951.0","2,955.0","3,071.0","2,900.0","2,922.0"
"59","41","Equipment and software \2\","A871RC1","257.0","235.0","256.0","224.0","223.0","399.0","487.0","413.0","462.0","545.0","590.0","646.0","4,544.0","16,429.0","32,078.0","33,370.0","21,573.0","1,802.0","1,588.0","2,382.0","3,354.0","2,786.0","8,078.0","11,206.0","12,333.0","10,401.0","8,966.0","9,515.0","9,505.0","9,982.0","12,446.0","11,667.0","13,314.0","14,655.0","13,712.0","13,570.0","12,709.0","14,702.0","16,523.0","15,089.0","14,309.0","14,410.0","10,520.0","11,036.0","12,490.0","15,940.0","18,572.0","21,518.0","23,216.0","25,576.0","30,661.0","34,944.0","40,528.0","47,331.0","57,132.0","66,848.0","77,686.0","84,240.0","88,771.0","87,151.0","95,701.0","103,128.0","103,319.0","103,361.0","98,355.0","96,231.0","97,850.0","99,845.0","96,807.0"
"60","42","  Federal","A872RC1","27.0","42.0","54.0","39.0","74.0","253.0","344.0","275.0","266.0","333.0","352.0","445.0","4,383.0","16,296.0","31,981.0","33,273.0","21,475.0","1,627.0","1,274.0","1,952.0","2,899.0","2,309.0","7,530.0","10,611.0","11,701.0","9,686.0","8,205.0","8,620.0","8,443.0","8,930.0","11,363.0","10,446.0","12,052.0","13,309.0","12,166.0","11,813.0","10,814.0","12,577.0","14,256.0","12,642.0","11,586.0","11,450.0","7,409.0","7,501.0","8,410.0","11,043.0","13,119.0","15,827.0","17,340.0","18,942.0","22,867.0","26,031.0","30,992.0","36,749.0","44,905.0","52,409.0","60,855.0","65,636.0","69,143.0","65,640.0","69,721.0","74,431.0","74,446.0","73,253.0","67,171.0","61,896.0","61,138.0","62,905.0","57,402.0"
"61","43","    National defense","A873RC1","12.0","23.0","33.0","24.0","42.0","41.0","42.0","80.0","92.0","115.0","151.0","201.0","3,631.0","15,739.0","31,537.0","32,952.0","20,995.0","1,227.0","792.0","1,588.0","2,561.0","1,906.0","7,117.0","10,146.0","11,377.0","9,379.0","7,958.0","8,357.0","8,196.0","8,708.0","11,171.0","10,115.0","11,498.0","12,532.0","11,001.0","10,190.0","8,907.0","10,503.0","12,312.0","10,910.0","9,856.0","9,752.0","5,677.0","5,679.0","6,623.0","8,889.0","10,711.0","13,152.0","14,359.0","15,292.0","18,876.0","21,113.0","25,725.0","30,792.0","37,110.0","43,758.0","51,287.0","56,146.0","58,757.0","53,920.0","56,339.0","59,825.0","58,778.0","56,336.0","50,145.0","47,199.0","45,126.0","45,362.0","39,212.0"
"62","44","      Aircraft","B874RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,641.0","2,321.0","2,310.0","3,602.0","3,419.0","3,740.0","3,693.0","4,847.0","6,131.0","7,463.0","8,411.0","10,066.0","10,883.0","13,384.0","17,902.0","17,579.0","13,526.0","12,179.0","11,983.0","9,214.0","8,327.0","9,341.0","10,457.0","9,007.0","9,163.0","5,798.0"
"63","45","      Missiles","B875RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,532.0","1,517.0","1,678.0","1,260.0","1,393.0","1,209.0","1,070.0","1,765.0","2,261.0","2,752.0","3,440.0","4,577.0","5,733.0","6,609.0","7,894.0","8,738.0","7,846.0","8,836.0","11,151.0","10,832.0","10,554.0","7,907.0","5,733.0","4,699.0","4,066.0","2,856.0"
"64","46","      Ships","B876RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,799.0","1,615.0","2,191.0","2,169.0","2,362.0","3,070.0","3,867.0","4,274.0","4,140.0","5,121.0","6,217.0","7,135.0","8,044.0","8,986.0","8,880.0","8,805.0","8,617.0","9,980.0","10,803.0","10,202.0","10,083.0","8,665.0","8,054.0","8,001.0","6,776.0","6,109.0"
"65","47","      Vehicles","B877RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","413.0","315.0","313.0","275.0","480.0","642.0","842.0","915.0","1,168.0","1,076.0","2,069.0","3,449.0","4,161.0","3,747.0","3,818.0","4,308.0","3,704.0","3,144.0","3,185.0","3,440.0","2,789.0","1,850.0","1,032.0","1,089.0","1,195.0","1,383.0"
"66","48","      Electronics and software","B878RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","816.0","922.0","983.0","1,200.0","1,282.0","1,472.0","1,795.0","2,070.0","2,607.0","3,247.0","3,808.0","4,586.0","5,629.0","7,040.0","7,776.0","8,706.0","9,170.0","9,553.0","9,855.0","9,671.0","9,821.0","9,867.0","9,256.0","8,766.0","8,994.0","9,029.0"
"67","49","      Other equipment","B879RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,522.0","-67.0","1,414.0","2,205.0","4,216.0","4,226.0","4,025.0","5,005.0","4,806.0","6,066.0","6,847.0","7,297.0","9,308.0","11,521.0","9,876.0","10,621.0","11,057.0","12,647.0","12,848.0","15,419.0","14,762.0","12,515.0","12,667.0","13,564.0","15,168.0","14,037.0"
"68","50","    Nondefense","B880RC1","15.0","19.0","21.0","15.0","32.0","212.0","302.0","195.0","174.0","218.0","201.0","244.0","752.0","557.0","444.0","321.0","480.0","400.0","482.0","364.0","338.0","403.0","413.0","465.0","324.0","307.0","247.0","263.0","247.0","222.0","192.0","331.0","554.0","777.0","1,165.0","1,623.0","1,907.0","2,074.0","1,944.0","1,732.0","1,730.0","1,698.0","1,732.0","1,822.0","1,787.0","2,154.0","2,408.0","2,675.0","2,981.0","3,650.0","3,991.0","4,918.0","5,267.0","5,957.0","7,795.0","8,651.0","9,568.0","9,490.0","10,386.0","11,720.0","13,382.0","14,606.0","15,668.0","16,917.0","17,026.0","14,697.0","16,012.0","17,543.0","18,190.0"
"69","51","  State and local","B881RC1","230.0","193.0","202.0","185.0","149.0","146.0","143.0","138.0","196.0","212.0","238.0","201.0","161.0","133.0","97.0","97.0","98.0","175.0","314.0","430.0","455.0","477.0","548.0","595.0","632.0","715.0","761.0","895.0","1,062.0","1,052.0","1,083.0","1,221.0","1,262.0","1,346.0","1,546.0","1,757.0","1,895.0","2,125.0","2,267.0","2,447.0","2,723.0","2,960.0","3,111.0","3,535.0","4,080.0","4,897.0","5,453.0","5,691.0","5,876.0","6,634.0","7,794.0","8,913.0","9,536.0","10,582.0","12,227.0","14,439.0","16,831.0","18,604.0","19,628.0","21,511.0","25,980.0","28,697.0","28,873.0","30,108.0","31,184.0","34,335.0","36,712.0","36,940.0","39,405.0"
"70",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","52","  Government enterprise gross fixed investment","A882RC1","544.0","646.0","633.0","433.0","279.0","386.0","414.0","857.0","731.0","835.0","940.0","930.0","833.0","1,530.0","1,996.0","1,508.0","218.0","521.0","935.0","1,165.0","1,575.0","1,704.0","2,104.0","2,249.0","2,213.0","2,153.0","2,225.0","2,676.0","2,983.0","3,338.0","3,641.0","3,763.0","4,240.0","4,454.0","4,570.0","5,361.0","5,676.0","5,808.0","6,473.0","7,589.0","7,722.0","8,055.0","8,274.0","9,048.0","10,001.0","12,425.0","13,700.0","15,071.0","15,186.0","19,164.0","21,372.0","25,294.0","26,642.0","26,529.0","26,058.0","28,123.0","31,544.0","33,948.0","35,649.0","35,530.0","36,677.0","40,451.0","42,497.0","45,113.0","45,063.0","41,785.0","44,168.0","46,464.0","49,020.0"
"72","53","    Federal","A883RC1","9.0","16.0","27.0","49.0","39.0","27.0","37.0","47.0","49.0","42.0","46.0","46.0","82.0","1,017.0","1,759.0","1,345.0","32.0","49.0","67.0","100.0","176.0","253.0","249.0","347.0","241.0","171.0","127.0","173.0","247.0","297.0","347.0","454.0","508.0","499.0","544.0","674.0","681.0","755.0","776.0","797.0","863.0","1,029.0","1,136.0","1,383.0","1,455.0","1,784.0","2,019.0","2,329.0","2,295.0","2,997.0","2,880.0","3,286.0","3,658.0","3,644.0","3,393.0","3,947.0","4,633.0","4,923.0","5,085.0","4,252.0","4,781.0","5,251.0","5,864.0","7,366.0","7,392.0","4,833.0","5,798.0","5,966.0","6,156.0"
"73","54","      Structures","B884RC1","9.0","16.0","23.0","47.0","37.0","27.0","37.0","47.0","49.0","42.0","46.0","44.0","46.0","43.0","34.0","25.0","22.0","35.0","43.0","71.0","126.0","140.0","113.0","99.0","108.0","101.0","75.0","107.0","150.0","182.0","217.0","257.0","292.0","368.0","422.0","530.0","556.0","567.0","532.0","498.0","511.0","583.0","649.0","707.0","766.0","856.0","1,072.0","1,341.0","1,294.0","1,838.0","1,757.0","2,087.0","2,384.0","2,076.0","2,114.0","2,432.0","2,857.0","3,322.0","3,615.0","2,031.0","2,130.0","2,529.0","2,646.0","2,988.0","3,067.0","2,232.0","2,613.0","2,211.0","2,548.0"
"74","55","      Equipment and software","B885RC1","0.0","0.0","4.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","36.0","974.0","1,725.0","1,320.0","10.0","14.0","24.0","29.0","50.0","113.0","136.0","248.0","133.0","70.0","52.0","66.0","97.0","115.0","130.0","197.0","216.0","131.0","122.0","144.0","125.0","188.0","244.0","299.0","352.0","446.0","487.0","676.0","689.0","928.0","947.0","988.0","1,001.0","1,159.0","1,123.0","1,199.0","1,274.0","1,568.0","1,279.0","1,515.0","1,776.0","1,601.0","1,470.0","2,221.0","2,651.0","2,722.0","3,218.0","4,378.0","4,325.0","2,601.0","3,185.0","3,755.0","3,608.0"
"75","56","    State and local","A886RC1","535.0","630.0","606.0","384.0","240.0","359.0","377.0","810.0","682.0","793.0","894.0","884.0","751.0","513.0","237.0","163.0","186.0","472.0","868.0","1,065.0","1,399.0","1,451.0","1,855.0","1,902.0","1,972.0","1,982.0","2,098.0","2,503.0","2,736.0","3,041.0","3,294.0","3,309.0","3,732.0","3,955.0","4,026.0","4,687.0","4,995.0","5,053.0","5,697.0","6,792.0","6,859.0","7,026.0","7,138.0","7,665.0","8,546.0","10,641.0","11,681.0","12,742.0","12,891.0","16,167.0","18,492.0","22,008.0","22,984.0","22,885.0","22,665.0","24,176.0","26,911.0","29,025.0","30,564.0","31,278.0","31,896.0","35,200.0","36,633.0","37,747.0","37,671.0","36,952.0","38,370.0","40,498.0","42,864.0"
"76","57","      Structures","B887RC1","503.0","603.0","577.0","358.0","218.0","339.0","357.0","790.0","654.0","763.0","860.0","856.0","728.0","494.0","223.0","150.0","172.0","447.0","824.0","1,005.0","1,335.0","1,384.0","1,778.0","1,818.0","1,883.0","1,882.0","1,991.0","2,378.0","2,587.0","2,894.0","3,141.0","3,122.0","3,542.0","3,769.0","3,768.0","4,489.0","4,781.0","4,803.0","5,441.0","6,481.0","6,498.0","6,637.0","6,677.0","6,968.0","7,806.0","9,852.0","10,727.0","11,792.0","11,994.0","15,079.0","17,134.0","20,284.0","21,136.0","20,732.0","19,969.0","20,970.0","23,505.0","25,255.0","26,741.0","27,792.0","27,771.0","30,547.0","32,078.0","32,715.0","32,211.0","31,036.0","32,070.0","34,918.0","37,453.0"
"77","58","      Equipment and software","B888RC1","32.0","27.0","29.0","26.0","22.0","20.0","20.0","20.0","28.0","30.0","34.0","28.0","23.0","19.0","14.0","13.0","14.0","25.0","44.0","60.0","64.0","67.0","77.0","84.0","89.0","100.0","107.0","125.0","149.0","147.0","153.0","187.0","190.0","186.0","258.0","198.0","214.0","250.0","256.0","311.0","361.0","389.0","461.0","697.0","740.0","789.0","954.0","950.0","897.0","1,088.0","1,358.0","1,724.0","1,848.0","2,153.0","2,696.0","3,206.0","3,406.0","3,770.0","3,823.0","3,486.0","4,125.0","4,653.0","4,555.0","5,032.0","5,460.0","5,916.0","6,300.0","5,580.0","5,411.0"
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
