"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"38","20","  Mining exploration, shafts, and wells","E318RC1","420.0","315.0","210.0","210.0","210.0","210.0","315.0","315.0","525.0","425.0","392.0","425.0","452.0","346.0","393.0","594.0","687.0","753.0","903.0","1,233.0","1,216.0","1,435.0","1,709.0","1,950.0","2,144.0","2,306.0","2,522.0","2,653.0","2,603.0","2,369.0","2,521.0","2,339.0","2,324.0","2,485.0","2,251.0","2,415.0","2,435.0","2,453.0","2,430.0","2,560.0","2,795.0","2,786.0","2,661.0","3,069.0","3,483.0","5,163.0","7,362.0","8,615.0","11,462.0","15,419.0","19,034.0","27,377.0","42,458.0","44,751.0","29,998.0","31,284.0","27,923.0","15,682.0","13,056.0","15,721.0","14,909.0","17,920.0","18,544.0","14,197.0","16,590.0","16,393.0","15,048.0","16,777.0","22,387.0","22,297.0","18,296.0","23,741.0","34,590.0","30,249.0","38,448.0","51,928.0","77,064.0","114,221.0","142,484.0","165,886.0"
"39","21","    Petroleum and natural gas","C319RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","715.0","844.0","1,167.0","1,158.0","1,364.0","1,623.0","1,867.0","2,052.0","2,227.0","2,441.0","2,570.0","2,524.0","2,263.0","2,405.0","2,214.0","2,189.0","2,341.0","2,097.0","2,257.0","2,272.0","2,285.0","2,258.0","2,345.0","2,537.0","2,484.0","2,316.0","2,686.0","3,023.0","4,484.0","6,505.0","7,498.0","10,079.0","14,094.0","17,677.0","25,591.0","39,959.0","42,687.0","28,459.0","29,564.0","26,256.0","14,619.0","12,255.0","14,864.0","13,928.0","16,790.0","17,244.0","12,942.0","15,253.0","14,609.0","13,762.0","15,297.0","20,970.0","21,213.0","17,307.0","22,415.0","33,327.0","27,978.0","36,620.0","49,119.0","73,530.0","109,023.0","136,756.0","160,016.0"
"40","22","    Mining","C320RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","38.0","59.0","66.0","58.0","71.0","86.0","83.0","92.0","79.0","81.0","83.0","79.0","106.0","116.0","125.0","135.0","144.0","154.0","158.0","163.0","168.0","172.0","215.0","258.0","302.0","345.0","383.0","460.0","679.0","857.0","1,117.0","1,383.0","1,325.0","1,357.0","1,786.0","2,499.0","2,064.0","1,539.0","1,720.0","1,667.0","1,063.0","801.0","857.0","981.0","1,130.0","1,300.0","1,255.0","1,337.0","1,784.0","1,286.0","1,480.0","1,417.0","1,084.0","989.0","1,326.0","1,263.0","2,271.0","1,827.0","2,809.0","3,534.0","5,198.0","5,728.0","5,870.0"
"41","23","  Other structures","W004RC1","1,815.0","1,593.0","1,009.0","523.0","398.0","453.0","492.0","621.0","765.0","661.0","702.0","705.0","857.0","776.0","818.0","1,007.0","1,204.0","2,669.0","2,608.0","2,918.0","2,916.0","2,907.0","3,165.0","3,278.0","3,465.0","3,610.0","3,699.0","3,962.0","4,126.0","4,245.0","4,659.0","5,171.0","5,034.0","5,199.0","5,591.0","6,245.0","7,239.0","7,782.0","7,846.0","7,292.0","7,761.0","7,761.0","7,879.0","8,563.0","9,946.0","10,328.0","10,110.0","11,005.0","12,477.0","15,236.0","18,507.0","20,008.0","21,217.0","21,344.0","23,275.0","28,122.0","31,795.0","30,717.0","33,698.0","32,513.0","34,273.0","37,563.0","33,155.0","30,979.0","34,464.0","34,880.0","40,569.0","48,922.0","57,173.0","62,216.0","64,659.0","69,357.0","68,903.0","59,348.0","58,856.0","62,898.0","63,728.0","74,601.0","90,884.0","103,307.0"
"42","24","    Religious","C309RC1","147.0","135.0","87.0","45.0","22.0","21.0","28.0","34.0","44.0","51.0","48.0","59.0","62.0","31.0","6.0","11.0","26.0","76.0","126.0","251.0","360.0","409.0","452.0","399.0","472.0","593.0","696.0","806.0","868.0","863.0","947.0","1,013.0","1,003.0","1,033.0","1,001.0","992.0","1,201.0","1,145.0","1,063.0","1,079.0","993.0","939.0","824.0","862.0","833.0","944.0","894.0","988.0","1,088.0","1,366.0","1,748.0","1,918.0","2,025.0","1,945.0","2,270.0","2,719.0","3,096.0","3,471.0","3,715.0","3,949.0","4,277.0","4,083.0","3,776.0","3,392.0","3,783.0","3,766.0","4,211.0","4,413.0","5,623.0","6,459.0","7,249.0","7,942.0","8,347.0","8,335.0","8,559.0","8,153.0","7,715.0","7,740.0","7,522.0","7,096.0"
"43","25","    Educational and vocational","W044RC1","120.0","118.0","100.0","53.0","15.0","14.0","17.0","40.0","42.0","40.0","39.0","50.0","58.0","24.0","6.0","11.0","31.0","123.0","174.0","253.0","269.0","294.0","345.0","351.0","426.0","529.0","466.0","562.0","525.0","574.0","525.0","566.0","609.0","680.0","678.0","751.0","787.0","987.0","1,048.0","1,147.0","1,083.0","925.0","1,008.0","1,063.0","983.0","737.0","653.0","717.0","742.0","878.0","1,088.0","1,585.0","1,707.0","1,936.0","2,127.0","2,257.0","2,677.0","3,230.0","4,700.0","3,776.0","4,278.0","4,800.0","4,934.0","5,134.0","5,319.0","5,500.0","6,246.0","7,643.0","9,825.0","10,881.0","10,400.0","12,662.0","13,844.0","14,200.0","14,301.0","13,527.0","13,794.0","14,437.0","16,909.0","18,195.0"
"44","26","    Lodging","W045RC1","151.0","132.0","80.0","38.0","29.0","29.0","30.0","40.0","54.0","65.0","68.0","57.0","64.0","31.0","12.0","21.0","41.0","125.0","97.0","168.0","197.0","188.0","217.0","203.0","235.0","282.0","234.0","298.0","320.0","409.0","527.0","632.0","745.0","704.0","898.0","1,402.0","1,430.0","1,369.0","1,219.0","1,192.0","1,330.0","1,321.0","1,360.0","1,955.0","2,298.0","1,670.0","1,105.0","931.0","982.0","1,350.0","2,501.0","3,464.0","4,442.0","4,533.0","5,718.0","7,375.0","8,078.0","8,341.0","8,460.0","7,913.0","8,944.0","10,772.0","7,457.0","4,569.0","5,651.0","5,754.0","8,804.0","13,508.0","15,966.0","18,343.0","19,750.0","20,182.0","17,973.0","12,968.0","12,303.0","14,845.0","15,692.0","21,835.0","34,047.0","43,833.0"
"45","27","    Amusement and recreation","W046RC1","247.0","213.0","134.0","67.0","58.0","54.0","53.0","64.0","85.0","100.0","104.0","91.0","100.0","50.0","19.0","33.0","64.0","191.0","160.0","254.0","299.0","300.0","320.0","309.0","367.0","431.0","380.0","455.0","515.0","634.0","734.0","891.0","848.0","889.0","988.0","981.0","1,322.0","1,401.0","1,394.0","751.0","956.0","1,057.0","1,092.0","1,158.0","1,317.0","1,317.0","1,301.0","1,499.0","1,670.0","2,076.0","2,506.0","2,870.0","3,123.0","3,735.0","4,240.0","5,417.0","6,656.0","6,347.0","6,921.0","7,539.0","6,848.0","7,311.0","6,924.0","6,910.0","7,640.0","7,960.0","8,533.0","9,294.0","10,245.0","10,307.0","11,460.0","10,522.0","9,394.0","8,974.0","9,338.0","10,119.0","9,010.0","11,192.0","12,233.0","12,380.0"
"46","28","    Transportation","W047RC1","912.0","849.0","539.0","294.0","237.0","289.0","289.0","351.0","421.0","309.0","356.0","390.0","459.0","526.0","631.0","763.0","779.0","713.0","783.0","892.0","853.0","805.0","932.0","1,032.0","1,041.0","894.0","849.0","977.0","953.0","733.0","703.0","742.0","639.0","644.0","721.0","762.0","850.0","961.0","901.0","977.0","1,065.0","970.0","1,072.0","1,170.0","1,313.0","1,591.0","1,556.0","2,028.0","2,379.0","2,892.0","3,172.0","3,248.0","3,409.0","3,342.0","3,413.0","4,101.0","4,747.0","3,577.0","3,191.0","3,230.0","3,390.0","3,372.0","3,129.0","3,614.0","3,904.0","4,199.0","4,411.0","5,433.0","6,102.0","7,190.0","6,456.0","6,830.0","7,031.0","6,770.0","6,566.0","6,838.0","7,121.0","8,650.0","9,007.0","9,895.0"
"47","29","      Air","W048RC1","25.0","22.0","13.0","7.0","5.0","5.0","5.0","6.0","9.0","10.0","11.0","9.0","10.0","5.0","2.0","3.0","7.0","20.0","16.0","26.0","31.0","30.0","34.0","32.0","38.0","45.0","38.0","47.0","52.0","65.0","76.0","92.0","87.0","91.0","102.0","100.0","136.0","143.0","143.0","70.0","89.0","96.0","99.0","107.0","124.0","122.0","117.0","138.0","151.0","190.0","226.0","265.0","286.0","347.0","392.0","500.0","596.0","583.0","629.0","721.0","629.0","656.0","614.0","583.0","676.0","730.0","767.0","958.0","1,007.0","1,162.0","1,345.0","1,957.0","2,165.0","1,445.0","1,104.0","1,038.0","907.0","887.0","996.0","885.0"
"48","30","      Land \3\","W049RC1","887.0","828.0","525.0","287.0","232.0","284.0","284.0","344.0","413.0","299.0","345.0","381.0","449.0","521.0","629.0","760.0","772.0","693.0","767.0","866.0","822.0","774.0","898.0","1,000.0","1,004.0","850.0","811.0","930.0","901.0","668.0","627.0","650.0","551.0","553.0","620.0","662.0","714.0","818.0","758.0","906.0","976.0","874.0","972.0","1,063.0","1,189.0","1,469.0","1,439.0","1,890.0","2,228.0","2,702.0","2,946.0","2,983.0","3,123.0","2,995.0","3,020.0","3,601.0","4,151.0","2,994.0","2,562.0","2,509.0","2,761.0","2,716.0","2,514.0","3,031.0","3,227.0","3,469.0","3,644.0","4,475.0","5,094.0","6,028.0","5,111.0","4,873.0","4,866.0","5,325.0","5,462.0","5,800.0","6,214.0","7,763.0","8,010.0","9,011.0"
"49","31","    Farm","C316RC1","139.0","70.0","30.0","10.0","15.0","25.0","57.0","72.0","88.0","76.0","82.0","60.0","84.0","93.0","134.0","149.0","144.0","659.0","755.0","786.0","743.0","747.0","798.0","866.0","780.0","733.0","703.0","789.0","761.0","841.0","1,115.0","1,201.0","1,156.0","1,283.0","1,321.0","1,331.0","1,387.0","1,484.0","1,702.0","1,598.0","1,689.0","1,875.0","1,916.0","1,785.0","2,525.0","3,249.0","3,731.0","3,971.0","4,431.0","5,209.0","5,789.0","5,213.0","4,713.0","3,757.0","3,279.0","3,256.0","2,256.0","2,139.0","2,605.0","2,392.0","2,530.0","2,801.0","2,753.0","2,398.0","3,392.0","3,226.0","3,014.0","3,658.0","3,815.0","4,284.0","5,059.0","5,988.0","5,135.0","5,611.0","5,103.0","5,485.0","5,854.0","5,817.0","6,292.0","6,401.0"
"50","32","    Other \4\","W050RC1","73.0","61.0","42.0","26.0","28.0","23.0","19.0","18.0","23.0","23.0","23.0","24.0","24.0","14.0","5.0","9.0","16.0","42.0","49.0","54.0","64.0","82.0","58.0","68.0","91.0","97.0","110.0","102.0","144.0","151.0","165.0","216.0","196.0","214.0","239.0","253.0","320.0","362.0","346.0","362.0","467.0","583.0","611.0","588.0","611.0","684.0","746.0","792.0","951.0","1,131.0","1,431.0","1,491.0","1,683.0","1,890.0","2,175.0","2,823.0","3,958.0","3,362.0","3,853.0","3,255.0","3,634.0","4,300.0","4,254.0","5,050.0","4,737.0","4,264.0","4,980.0","4,255.0","3,800.0","3,886.0","3,496.0","4,278.0","3,255.0","2,367.0","2,721.0","3,289.0","3,126.0","3,994.0","4,433.0","4,649.0"
"51","33","    Brokers' commissions on sale of structures","C321RC1","73.0","54.0","32.0","20.0","20.0","20.0","22.0","27.0","35.0","26.0","27.0","34.0","47.0","27.0","21.0","24.0","43.0","126.0","112.0","104.0","81.0","82.0","91.0","88.0","101.0","102.0","122.0","130.0","138.0","152.0","155.0","178.0","188.0","204.0","204.0","227.0","289.0","320.0","308.0","275.0","265.0","228.0","202.0","194.0","315.0","415.0","403.0","402.0","564.0","571.0","580.0","582.0","586.0","586.0","627.0","832.0","1,027.0","1,059.0","1,146.0","1,278.0","1,424.0","1,519.0","1,330.0","1,290.0","1,302.0","1,439.0","1,635.0","1,827.0","2,017.0","2,212.0","2,250.0","2,416.0","2,380.0","2,066.0","1,997.0","2,080.0","2,242.0","2,608.0","3,218.0","3,631.0"
"52","34","    Net purchases of used structures","E322RC1","-48.0","-39.0","-35.0","-30.0","-26.0","-23.0","-23.0","-24.0","-27.0","-29.0","-45.0","-61.0","-41.0","-20.0","-16.0","-14.0","61.0","613.0","353.0","156.0","50.0","0.0","-48.0","-38.0","-49.0","-51.0","139.0","-157.0","-99.0","-111.0","-212.0","-268.0","-350.0","-452.0","-459.0","-454.0","-347.0","-248.0","-135.0","-89.0","-87.0","-138.0","-205.0","-213.0","-249.0","-279.0","-279.0","-323.0","-330.0","-236.0","-310.0","-363.0","-471.0","-380.0","-573.0","-658.0","-700.0","-809.0","-893.0","-818.0","-1,052.0","-1,396.0","-1,401.0","-1,377.0","-1,263.0","-1,227.0","-1,265.0","-1,109.0","-220.0","-1,346.0","-1,463.0","-1,464.0","1,544.0","-1,943.0","-2,031.0","-1,438.0","-827.0","-1,671.0","-2,776.0","-2,772.0"
"53","35","Residential","A012RC1","3,880.0","2,287.0","1,725.0","732.0","578.0","888.0","1,235.0","1,648.0","1,969.0","2,058.0","2,958.0","3,438.0","3,979.0","2,142.0","1,395.0","1,327.0","1,652.0","7,634.0","11,756.0","15,308.0","14,349.0","20,162.0","18,053.0","18,224.0","19,002.0","20,688.0","24,571.0","23,095.0","21,715.0","21,871.0","27,538.0","25,756.0","25,879.0","28,436.0","31,544.0","33,646.0","33,530.0","31,594.0","31,646.0","37,853.0","41,610.0","40,244.0","54,486.0","68,129.0","73,607.0","64,082.0","60,811.0","80,361.0","107,900.0","128,865.0","137,826.0","119,815.0","118,946.0","101,991.0","148,633.0","175,870.0","183,116.0","214,615.0","227,881.0","233,245.0","233,361.0","217,973.0","199,363.0","230,411.0","259,893.0","295,866.0","296,527.0","327,728.0","342,782.0","379,237.0","418,486.0","441,187.0","464,414.0","501,261.0","569,122.0","671,448.0","765,166.0","751,573.0","618,605.0","467,197.0"
"54","36","  Permanent site","A943RC1","3,179.0","1,667.0","1,372.0","503.0","312.0","405.0","759.0","1,275.0","1,568.0","1,691.0","2,374.0","2,713.0","3,236.0","1,589.0","847.0","686.0","815.0","5,188.0","8,280.0","11,155.0","10,687.0","16,126.0","13,802.0","13,368.0","13,915.0","15,377.0","18,580.0","16,518.0","15,073.0","15,445.0","19,673.0","17,497.0","17,405.0","19,946.0","22,414.0","24,098.0","23,846.0","21,811.0","21,541.0","26,723.0","29,224.0","27,059.0","38,670.0","50,095.0","54,619.0","43,420.0","36,318.0","50,770.0","72,231.0","85,601.0","89,272.0","69,629.0","69,425.0","57,000.0","94,961.0","114,616.0","115,889.0","135,169.0","142,668.0","142,391.0","143,233.0","132,136.0","114,575.0","135,070.0","150,911.0","176,390.0","171,404.0","191,114.0","198,062.0","223,983.0","251,271.0","265,047.0","279,391.0","298,841.0","345,691.0","417,501.0","480,808.0","468,798.0","354,144.0","229,934.0"
"55","37","    Single-family structures","A944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,131.0","16,696.0","14,866.0","14,089.0","15,104.0","15,976.0","17,649.0","17,839.0","16,568.0","16,817.0","19,520.0","19,696.0","17,541.0","25,806.0","32,848.0","35,181.0","29,701.0","29,639.0","43,860.0","62,214.0","72,769.0","72,257.0","52,921.0","51,965.0","41,462.0","72,514.0","86,395.0","87,350.0","104,131.0","117,216.0","120,093.0","120,929.0","112,886.0","99,427.0","121,976.0","140,123.0","162,309.0","153,515.0","170,790.0","175,179.0","199,409.0","223,837.0","236,788.0","249,086.0","265,889.0","310,575.0","377,557.0","433,510.0","415,997.0","305,185.0","185,776.0"
"56","38","    Multifamily structures","C292RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,314.0","2,977.0","2,631.0","3,316.0","4,842.0","6,438.0","6,449.0","6,007.0","5,243.0","4,724.0","7,203.0","9,528.0","9,518.0","12,864.0","17,247.0","19,438.0","13,720.0","6,679.0","6,910.0","10,017.0","12,832.0","17,015.0","16,708.0","17,460.0","15,538.0","22,447.0","28,221.0","28,539.0","31,038.0","25,452.0","22,298.0","22,304.0","19,250.0","15,148.0","13,094.0","10,788.0","14,081.0","17,889.0","20,324.0","22,883.0","24,574.0","27,434.0","28,259.0","30,305.0","32,952.0","35,116.0","39,944.0","47,298.0","52,801.0","48,959.0","44,158.0"
"57","39","  Other structures","A863RC1","701.0","620.0","353.0","229.0","266.0","483.0","476.0","373.0","401.0","367.0","584.0","725.0","743.0","553.0","548.0","641.0","837.0","2,446.0","3,476.0","4,153.0","3,662.0","4,036.0","4,251.0","4,856.0","5,087.0","5,311.0","5,991.0","6,577.0","6,642.0","6,426.0","7,865.0","8,259.0","8,474.0","8,490.0","9,130.0","9,548.0","9,684.0","9,783.0","10,105.0","11,130.0","12,386.0","13,185.0","15,816.0","18,034.0","18,988.0","20,662.0","24,493.0","29,591.0","35,669.0","43,264.0","48,554.0","50,186.0","49,521.0","44,991.0","53,672.0","61,254.0","67,227.0","79,446.0","85,213.0","90,854.0","90,128.0","85,837.0","84,788.0","95,341.0","108,982.0","119,476.0","125,123.0","136,614.0","144,720.0","155,254.0","167,215.0","176,140.0","185,023.0","202,420.0","223,431.0","253,947.0","284,358.0","282,775.0","264,461.0","237,263.0"
"58","40","    Manufactured homes","A945RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","167.0","200.0","101.0","126.0","139.0","223.0","225.0","235.0","368.0","542.0","564.0","517.0","561.0","529.0","510.0","564.0","638.0","856.0","1,025.0","1,084.0","1,209.0","1,725.0","2,333.0","2,316.0","3,152.0","3,944.0","4,386.0","3,338.0","2,536.0","3,223.0","4,161.0","4,651.0","5,104.0","4,604.0","4,936.0","4,810.0","6,266.0","6,346.0","6,110.0","5,325.0","5,288.0","5,220.0","5,093.0","4,898.0","4,375.0","5,542.0","7,348.0","9,567.0","11,604.0","13,191.0","13,864.0","14,695.0","14,304.0","11,015.0","8,953.0","9,513.0","7,911.0","8,378.0","10,110.0","8,316.0","6,893.0","5,850.0"
"59","41","    Dormitories","C295RC1","86.0","70.0","25.0","14.0","12.0","16.0","18.0","21.0","28.0","26.0","32.0","32.0","33.0","18.0","5.0","9.0","14.0","51.0","44.0","54.0","65.0","61.0","67.0","65.0","94.0","104.0","119.0","157.0","176.0","224.0","238.0","233.0","315.0","519.0","443.0","550.0","615.0","594.0","481.0","416.0","346.0","232.0","166.0","107.0","135.0","116.0","210.0","122.0","60.0","104.0","66.0","99.0","202.0","263.0","328.0","401.0","366.0","423.0","632.0","605.0","650.0","751.0","263.0","345.0","535.0","324.0","490.0","574.0","790.0","956.0","1,275.0","1,357.0","1,555.0","1,528.0","1,761.0","1,669.0","1,537.0","2,065.0","2,900.0","3,746.0"
"60","42","    Improvements","A946RC1","454.0","409.0","235.0","141.0","195.0","269.0","338.0","399.0","434.0","402.0","436.0","457.0","512.0","308.0","220.0","304.0","523.0","1,814.0","2,731.0","3,437.0","3,076.0","3,356.0","3,486.0","3,897.0","4,107.0","4,184.0","4,675.0","5,107.0","5,384.0","5,301.0","6,062.0","6,548.0","6,740.0","6,226.0","6,508.0","6,613.0","6,574.0","6,984.0","7,384.0","7,631.0","8,183.0","8,994.0","10,114.0","10,869.0","10,836.0","13,218.0","16,355.0","19,011.0","21,773.0","26,625.0","30,234.0","34,145.0","34,606.0","31,621.0","34,290.0","40,024.0","43,814.0","53,954.0","58,099.0","60,767.0","60,993.0","57,861.0","56,860.0","63,843.0","73,961.0","78,888.0","81,302.0","87,031.0","90,951.0","93,782.0","101,206.0","109,027.0","115,902.0","125,946.0","137,275.0","150,235.0","164,434.0","173,787.0","171,867.0","165,493.0"
"61","43","    Brokers' commissions on sale of structures","A758RC1","195.0","168.0","117.0","95.0","77.0","214.0","145.0","123.0","130.0","119.0","127.0","162.0","176.0","181.0","208.0","268.0","310.0","510.0","525.0","460.0","474.0","573.0","653.0","763.0","783.0","907.0","1,009.0","977.0","932.0","1,057.0","1,353.0","1,242.0","1,268.0","1,495.0","1,729.0","1,808.0","1,882.0","1,751.0","1,792.0","2,110.0","2,275.0","2,506.0","3,483.0","4,238.0","4,722.0","4,882.0","5,759.0","7,589.0","10,183.0","12,549.0","13,675.0","12,013.0","10,532.0","9,139.0","13,483.0","15,437.0","18,236.0","22,055.0","23,474.0","25,226.0","24,652.0","23,887.0","24,782.0","27,117.0","29,156.0","31,716.0","32,952.0","37,532.0","41,522.0","48,900.0","53,821.0","56,050.0","60,415.0","68,792.0","80,265.0","96,077.0","109,855.0","101,472.0","86,559.0","66,864.0"
"62","44","    Net purchases of used structures","A759RC1","-34.0","-27.0","-24.0","-21.0","-18.0","-16.0","-25.0","-170.0","-191.0","-180.0","-11.0","74.0","22.0","46.0","115.0","60.0","-10.0","-13.0","9.0","2.0","-54.0","-80.0","-94.0","-92.0","-122.0","-119.0","-180.0","-206.0","-414.0","-673.0","-349.0","-293.0","-359.0","-314.0","-188.0","-279.0","-412.0","-630.0","-761.0","-752.0","-751.0","-863.0","-1,099.0","-1,124.0","-1,091.0","-893.0","-367.0","-354.0","-508.0","-665.0","-525.0","-675.0","-755.0","-842.0","-695.0","-954.0","-1,299.0","-2,311.0","-2,280.0","-964.0","-1,260.0","-1,560.0","-1,492.0","-1,506.0","-2,018.0","-1,019.0","-1,225.0","-1,713.0","-2,407.0","-3,079.0","-3,391.0","-1,308.0","-1,801.0","-3,359.0","-3,782.0","-2,413.0","-1,578.0","-2,864.0","-3,759.0","-4,689.0"
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","45","  Private fixed investment in new structures \5\","W040RC1","9,185.0","6,579.0","4,254.0","2,060.0","1,616.0","1,927.0","2,549.0","3,570.0","4,728.0","4,246.0","5,077.0","5,786.0","7,025.0","4,149.0","2,837.0","3,358.0","4,584.0","13,779.0","18,894.0","24,112.0","22,976.0","29,544.0","29,405.0","29,727.0","31,859.0","33,714.0","38,638.0","40,531.0","40,108.0","39,075.0","44,740.0","44,465.0","44,847.0","48,281.0","51,457.0","56,081.0","60,439.0","61,750.0","61,953.0","69,866.0","77,606.0","78,798.0","94,784.0","112,207.0","124,893.0","121,194.0","116,645.0","138,962.0","172,569.0","210,230.0","242,107.0","244,428.0","276,368.0","271,052.0","290,135.0","338,610.0","360,369.0","371,148.0","380,636.0","391,312.0","403,313.0","398,440.0","359,749.0","377,459.0","409,868.0","451,726.0","471,701.0","515,774.0","552,136.0","607,679.0","651,214.0","703,638.0","731,583.0","718,457.0","774,538.0","883,792.0","1,007,228.0","1,085,699.0","1,070,712.0","1,013,669.0"
"65","46","    Nonresidential structures","A771RC1","5,466.0","4,433.0","2,622.0","1,402.0","1,097.0","1,237.0","1,434.0","1,875.0","2,698.0","2,127.0","2,235.0","2,584.0","3,244.0","2,234.0","1,765.0","2,359.0","3,232.0","6,642.0","7,672.0","9,266.0","9,047.0","9,875.0","11,911.0","12,174.0","13,518.0","13,814.0","14,896.0","18,207.0","18,911.0","17,588.0","18,206.0","19,658.0","19,877.0","21,026.0","21,454.0","23,964.0","28,379.0","31,277.0","31,338.0","33,371.0","37,520.0","40,197.0","42,682.0","47,192.0","54,917.0","61,101.0","61,226.0","65,836.0","74,344.0","93,249.0","117,431.0","135,951.0","167,199.0","177,358.0","154,290.0","177,223.0","194,190.0","176,277.0","173,949.0","182,329.0","193,344.0","202,794.0","183,676.0","172,659.0","177,113.0","186,557.0","206,901.0","223,864.0","248,469.0","274,263.0","283,158.0","317,193.0","325,782.0","282,629.0","281,900.0","306,009.0","350,339.0","432,733.0","534,908.0","608,647.0"
"66","47","    Residential structures","A756RC1","3,719.0","2,146.0","1,632.0","658.0","519.0","690.0","1,115.0","1,695.0","2,030.0","2,119.0","2,842.0","3,202.0","3,781.0","1,915.0","1,072.0","999.0","1,352.0","7,137.0","11,222.0","14,846.0","13,929.0","19,669.0","17,494.0","17,553.0","18,341.0","19,900.0","23,742.0","22,324.0","21,197.0","21,487.0","26,534.0","24,807.0","24,970.0","27,255.0","30,003.0","32,117.0","32,060.0","30,473.0","30,615.0","36,495.0","40,086.0","38,601.0","52,102.0","65,015.0","69,976.0","60,093.0","55,419.0","73,126.0","98,225.0","116,981.0","124,676.0","108,477.0","109,169.0","93,694.0","135,845.0","161,387.0","166,179.0","194,871.0","206,687.0","208,983.0","209,969.0","195,646.0","176,073.0","204,800.0","232,755.0","265,169.0","264,800.0","291,910.0","303,667.0","333,416.0","368,056.0","386,445.0","405,801.0","435,828.0","492,638.0","577,783.0","656,889.0","652,966.0","535,804.0","405,022.0"
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
