"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"38","20","      Public utilities \4\","L305171",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","348.0","360.0","383.0","410.0","428.0","461.0","477.0","536.0","558.0","610.0","678.0","831.0","944.0","1,151.0","1,316.0","1,387.0","1,546.0","1,862.0","2,111.0","2,395.0","2,693.0","2,932.0","3,706.0","4,621.0","5,350.0","5,868.0","5,935.0","6,185.0","6,028.0","6,071.0","6,121.0","6,243.0","6,665.0","6,977.0","7,930.0","7,977.0","8,525.0","7,932.0","8,872.0","8,890.0","8,840.0","9,361.0","8,803.0","9,833.0","10,345.0","10,534.0","10,620.0","11,726.0","13,889.0","14,305.0","14,653.0"
"39","21","      Insurance receipts \4\","L305181",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","501.0","541.0","558.0","589.0","615.0","637.0","707.0","780.0","818.0","839.0","927.0","1,223.0","1,116.0","1,371.0","1,431.0","1,603.0","1,683.0","1,740.0","1,988.0","2,376.0","2,685.0","2,912.0","3,241.0","3,425.0","3,547.0","4,017.0","4,200.0","4,769.0","5,946.0","6,651.0","7,273.0","7,314.0","7,535.0","7,883.0","7,888.0","8,148.0","8,460.0","8,960.0","8,859.0","9,180.0","9,604.0","9,696.0","9,835.0","10,370.0","11,598.0","13,118.0","14,516.0","15,086.0","15,196.0","15,439.0","15,703.0"
"40","22","      Other \4\","L305191",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","380.0","409.0","427.0","462.0","524.0","574.0","617.0","662.0","685.0","796.0","937.0","1,030.0","1,159.0","1,259.0","1,460.0","1,512.0","1,614.0","1,924.0","2,110.0","2,230.0","2,303.0","2,352.0","2,726.0","3,023.0","3,455.0","4,113.0","4,282.0","4,440.0","4,539.0","5,101.0","5,241.0","5,692.0","6,602.0","9,234.0","10,922.0","10,974.0","11,872.0","12,482.0","12,868.0","14,789.0","15,984.0","16,038.0","15,748.0","17,000.0","19,418.0","19,518.0","23,758.0","25,924.0","28,634.0","28,534.0"
"41","23","    Local","A1667C1","25.0","25.0","26.0","26.0","28.0","30.0","60.0","90.0","101.0","120.0","111.0","130.0","131.0","133.0","134.0","136.0","156.0","183.0","306.0","400.0","451.0","484.0","551.0","627.0","718.0","703.0","779.0","889.0","1,031.0","1,079.0","1,150.0","1,339.0","1,432.0","1,456.0","1,562.0","1,932.0","2,050.0","1,998.0","1,944.0","2,287.0","2,869.0","3,452.0","3,971.0","4,577.0","5,240.0","6,148.0","6,954.0","7,892.0","8,993.0","10,167.0","11,546.0","12,823.0","14,296.0","15,868.0","17,690.0","20,119.0","22,121.0","24,082.0","25,713.0","27,243.0","30,064.0","31,765.0","33,160.0","34,626.0","37,004.0","39,742.0","42,240.0","44,352.0","47,354.0","50,611.0","55,621.0","61,328.0","61,858.0","63,175.0","66,785.0","70,240.0","76,508.0","84,161.0","88,643.0","89,990.0"
"42","24","      General","L305211",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","747.0","875.0","921.0","958.0","1,065.0","1,220.0","1,311.0","1,276.0","1,202.0","1,439.0","1,809.0","2,183.0","2,476.0","2,955.0","3,447.0","4,074.0","4,556.0","5,167.0","5,905.0","6,709.0","7,717.0","8,801.0","9,822.0","10,836.0","12,212.0","14,027.0","15,516.0","16,917.0","17,936.0","18,805.0","21,039.0","22,177.0","23,008.0","23,902.0","25,527.0","27,465.0","29,316.0","30,589.0","32,789.0","35,439.0","39,501.0","43,601.0","43,570.0","44,157.0","46,712.0","49,228.0","53,932.0","60,047.0","63,408.0","64,289.0"
"43","25","      Public utilities","L305221",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","233.0","268.0","298.0","312.0","332.0","362.0","372.0","392.0","381.0","467.0","612.0","731.0","876.0","996.0","1,117.0","1,309.0","1,544.0","1,771.0","2,038.0","2,299.0","2,517.0","2,600.0","2,793.0","3,211.0","3,480.0","3,766.0","3,973.0","4,111.0","4,270.0","4,491.0","4,816.0","5,149.0","5,589.0","6,019.0","6,464.0","6,841.0","7,217.0","7,520.0","7,904.0","8,220.0","8,485.0","9,186.0","9,874.0","10,373.0","10,644.0","11,268.0","12,070.0","12,670.0","13,188.0","13,618.0"
"44","26","      Other","L305231",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","170.0","196.0","213.0","186.0","165.0","350.0","367.0","330.0","361.0","381.0","448.0","538.0","619.0","626.0","676.0","765.0","854.0","954.0","1,050.0","1,159.0","1,312.0","1,422.0","1,681.0","1,821.0","1,998.0","2,326.0","2,632.0","3,054.0","3,507.0","3,947.0","4,209.0","4,439.0","4,563.0","4,705.0","5,013.0","5,436.0","5,707.0","6,243.0","6,661.0","6,952.0","7,635.0","8,541.0","8,414.0","8,645.0","9,429.0","9,744.0","10,506.0","11,444.0","12,047.0","12,083.0"
"45","27","  Property taxes","B249RC1","4,543.0","4,727.0","4,539.0","4,424.0","3,962.0","3,907.0","4,023.0","4,058.0","4,162.0","4,277.0","4,285.0","4,407.0","4,449.0","4,397.0","4,494.0","4,565.0","4,642.0","4,836.0","5,346.0","5,938.0","6,642.0","7,143.0","7,696.0","8,385.0","9,096.0","9,673.0","10,448.0","11,453.0","12,609.0","13,764.0","14,812.0","16,238.0","17,580.0","18,958.0","20,245.0","21,687.0","23,187.0","24,535.0","26,964.0","29,896.0","32,763.0","36,674.0","40,445.0","43,227.0","46,355.0","48,980.0","53,384.0","58,247.0","63,200.0","63,748.0","64,403.0","68,826.0","77,080.0","85,300.0","91,877.0","99,700.0","107,491.0","116,158.0","126,422.0","136,496.0","149,864.0","161,533.0","176,071.0","184,678.0","187,258.0","199,369.0","202,579.0","212,352.0","223,530.0","231,008.0","242,802.0","254,669.0","268,018.0","289,409.0","306,760.0","326,701.0","346,887.0","370,051.0","396,288.0","410,590.0"
"46","28","  Motor vehicle licenses","S230201","124.0","124.0","118.0","108.0","106.0","113.0","127.0","140.0","143.0","152.0","156.0","175.0","187.0","186.0","187.0","190.0","207.0","244.0","294.0","333.0","374.0","416.0","468.0","514.0","563.0","600.0","647.0","668.0","678.0","673.0","721.0","765.0","783.0","820.0","851.0","899.0","961.0","991.0","1,030.0","1,040.0","1,068.0","1,136.0","1,184.0","1,261.0","1,359.0","1,450.0","1,444.0","1,610.0","1,636.0","1,741.0","1,840.0","1,951.0","2,074.0","2,145.0","2,108.0","2,317.0","2,552.0","2,733.0","2,954.0","3,191.0","3,404.0","3,564.0","3,667.0","3,978.0","4,480.0","4,937.0","5,467.0","5,424.0","5,776.0","6,065.0","6,279.0","6,689.0","6,604.0","6,899.0","7,172.0","7,670.0","7,940.0","8,398.0","8,586.0","8,668.0"
"47","29","  Severance taxes \5\","S230431",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","407.0","436.0","451.0","460.0","478.0","497.0","510.0","565.0","595.0","625.0","652.0","701.0","746.0","803.0","887.0","1,596.0","1,810.0","2,101.0","2,335.0","2,574.0","3,464.0","4,950.0","7,538.0","7,759.0","7,074.0","7,289.0","7,005.0","4,959.0","4,310.0","4,148.0","4,409.0","5,224.0","5,089.0","4,776.0","4,392.0","4,390.0","4,041.0","4,517.0","4,721.0","3,577.0","3,530.0","5,285.0","5,756.0","4,283.0","5,867.0","7,041.0","9,144.0","10,562.0","12,799.0","21,724.0"
"48","30","  Special assessments","S230551",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","334.0","369.0","392.0","381.0","449.0","532.0","519.0","493.0","419.0","485.0","533.0","586.0","662.0","751.0","800.0","825.0","852.0","875.0","933.0","1,066.0","1,212.0","1,321.0","1,476.0","1,612.0","1,813.0","2,046.0","2,141.0","2,336.0","2,514.0","2,379.0","2,374.0","2,368.0","2,473.0","2,768.0","2,887.0","3,070.0","3,137.0","3,391.0","3,700.0","3,678.0","3,760.0","3,904.0","4,501.0","5,583.0","6,224.0","6,325.0","6,847.0","7,807.0","8,679.0","9,489.0"
"49","31","  Other taxes \6\","S230401","467.0","488.0","475.0","452.0","424.0","406.0","417.0","529.0","621.0","612.0","638.0","656.0","691.0","760.0","806.0","847.0","908.0","1,033.0","1,153.0","1,340.0","1,494.0","1,625.0","1,774.0","1,980.0","2,176.0","2,291.0","2,499.0","2,791.0","2,850.0","1,675.0","1,435.0","1,511.0","1,581.0","1,619.0","1,702.0","1,776.0","1,920.0","2,225.0","2,395.0","2,432.0","2,466.0","2,590.0","3,100.0","3,604.0","3,940.0","3,827.0","4,022.0","4,421.0","4,819.0","5,491.0","6,217.0","6,761.0","6,800.0","6,962.0","8,376.0","10,121.0","11,768.0","13,639.0","15,079.0","16,031.0","16,756.0","17,098.0","17,365.0","19,575.0","21,357.0","23,075.0","24,391.0","26,030.0","27,401.0","30,577.0","32,214.0","33,944.0","35,725.0","38,702.0","42,656.0","50,617.0","58,364.0","60,166.0","61,438.0","60,974.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and trucks, and of refunds other than those for alcoholic beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Consists of the capital stock tax in 1933-45.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. For 1929-30, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","4. Prior to 1958, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","5. Prior to 1959, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","6. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","See also footnotes 3, 4, and 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
