"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Durable goods","DDURRC1","9,828.0","7,661.0","5,910.0","3,957.0","3,761.0","4,563.0","5,493.0","6,749.0","7,394.0","6,123.0","7,167.0","8,288.0","10,269.0","7,630.0","7,470.0","7,742.0","9,099.0","17,113.0","21,833.0","24,454.0","26,623.0","32,445.0","31,740.0","31,242.0","34,616.0","33,711.0","40,745.0","40,169.0","42,030.0","39,530.0","44,887.0","45,626.0","44,206.0","49,464.0","54,228.0","59,557.0","66,391.0","71,745.0","73,981.0","84,827.0","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","780,006.0","857,356.0","915,778.0","946,347.0","992,102.0","1,014,802.0","1,061,587.0","1,105,492.0","1,133,026.0","1,160,499.0","1,095,154.0"
"22","4","    Motor vehicles and parts","DMOTRC1","3,330.0","2,233.0","1,625.0","975.0","1,089.0","1,420.0","1,938.0","2,403.0","2,505.0","1,684.0","2,242.0","2,830.0","3,497.0","718.0","776.0","771.0","970.0","4,092.0","6,519.0","7,935.0","10,527.0","13,651.0","12,108.0","11,351.0","13,846.0","12,748.0","17,657.0","15,711.0","17,482.0","15,022.0","18,789.0","19,582.0","17,722.0","21,386.0","24,246.0","25,802.0","29,645.0","29,927.0","29,601.0","35,414.0","37,448.0","34,538.0","43,233.0","49,365.0","54,358.0","48,166.0","52,643.0","68,172.0","79,796.0","89,173.0","90,175.0","84,430.0","93,017.0","100,014.0","122,945.0","147,192.0","170,065.0","187,519.0","188,181.0","202,213.0","207,771.0","205,119.0","185,748.0","204,798.0","224,715.0","249,843.0","255,709.0","273,486.0","293,083.0","320,205.0","350,729.0","363,227.0","383,290.0","401,347.0","401,528.0","404,734.0","409,647.0","397,132.0","400,294.0","342,333.0"
"23","5","      New motor vehicles (55)","DNMVRC1","2,638.0","1,672.0","1,158.0","633.0","780.0","1,041.0","1,534.0","1,961.0","2,027.0","1,244.0","1,709.0","2,219.0","2,653.0","127.0","136.0","50.0","37.0","2,239.0","4,322.0","5,354.0","8,001.0","10,656.0","9,009.0","8,281.0","11,410.0","11,134.0","14,221.0","11,983.0","13,005.0","10,088.0","13,623.0","14,467.0","12,450.0","15,559.0","17,887.0","18,998.0","22,216.0","22,046.0","21,081.0","25,990.0","26,842.0","23,438.0","30,535.0","35,171.0","38,710.0","31,691.0","34,568.0","46,639.0","55,858.0","62,734.0","61,406.0","54,331.0","59,142.0","64,278.0","82,867.0","99,666.0","117,830.0","134,047.0","128,790.0","138,220.0","139,304.0","134,664.0","112,903.0","126,690.0","138,896.0","151,200.0","147,451.0","152,971.0","162,209.0","179,374.0","200,058.0","210,708.0","230,018.0","243,551.0","251,607.0","252,431.0","248,894.0","233,047.0","233,282.0","184,511.0"
"24","6","      Net purchases of used motor vehicles (56)","DNPVRC1","44.0","38.0","34.0","28.0","29.0","33.0","36.0","40.0","45.0","42.0","49.0","81.0","171.0","288.0","274.0","272.0","281.0","462.0","812.0","1,266.0","1,310.0","1,450.0","1,592.0","1,437.0","974.0","296.0","1,854.0","1,994.0","2,503.0","2,812.0","2,783.0","2,628.0","2,703.0","3,002.0","3,347.0","3,567.0","3,979.0","4,116.0","4,519.0","4,811.0","5,203.0","5,013.0","5,562.0","6,190.0","6,750.0","6,968.0","7,788.0","10,166.0","11,061.0","12,022.0","12,434.0","12,173.0","14,301.0","15,306.0","17,961.0","24,732.0","28,752.0","29,928.0","35,451.0","37,682.0","41,501.0","42,201.0","45,042.0","49,381.0","55,022.0","64,906.0","72,892.0","82,868.0","91,741.0","101,354.0","109,602.0","110,731.0","112,012.0","116,122.0","106,633.0","107,115.0","112,707.0","113,524.0","114,530.0","105,389.0"
"25","7","      Motor vehicle parts and accessories (58)","DMVPRC1","648.0","523.0","433.0","314.0","280.0","346.0","368.0","402.0","433.0","398.0","484.0","530.0","673.0","303.0","366.0","449.0","652.0","1,391.0","1,385.0","1,315.0","1,216.0","1,545.0","1,507.0","1,633.0","1,462.0","1,318.0","1,582.0","1,734.0","1,974.0","2,122.0","2,383.0","2,487.0","2,569.0","2,825.0","3,012.0","3,237.0","3,450.0","3,765.0","4,001.0","4,613.0","5,403.0","6,087.0","7,136.0","8,004.0","8,898.0","9,507.0","10,287.0","11,367.0","12,877.0","14,417.0","16,335.0","17,926.0","19,574.0","20,430.0","22,117.0","22,794.0","23,483.0","23,544.0","23,940.0","26,311.0","26,966.0","28,254.0","27,803.0","28,727.0","30,797.0","33,737.0","35,366.0","37,647.0","39,133.0","39,477.0","41,069.0","41,788.0","41,260.0","41,674.0","43,288.0","45,188.0","48,046.0","50,561.0","52,482.0","52,433.0"
"26","8","    Furnishings and durable household equipment","DFDHRC1","3,777.0","3,004.0","2,600.0","1,853.0","1,743.0","2,046.0","2,335.0","2,903.0","3,204.0","2,846.0","3,161.0","3,498.0","4,360.0","4,179.0","3,778.0","3,844.0","4,525.0","7,680.0","9,557.0","10,539.0","10,062.0","11,800.0","12,366.0","12,192.0","12,585.0","12,524.0","14,010.0","14,814.0","14,777.0","14,562.0","15,517.0","15,424.0","15,572.0","16,423.0","17,510.0","19,517.0","20,661.0","22,643.0","23,679.0","26,089.0","27,588.0","28,152.0","29,944.0","33,522.0","37,961.0","40,891.0","42,612.0","47,172.0","53,355.0","59,004.0","65,254.0","67,843.0","71,461.0","71,811.0","79,770.0","88,832.0","94,619.0","103,455.0","109,536.0","115,154.0","121,387.0","120,941.0","118,786.0","124,288.0","131,367.0","140,510.0","146,742.0","153,535.0","160,491.0","173,579.0","191,185.0","208,105.0","214,939.0","225,868.0","233,340.0","249,154.0","263,892.0","276,511.0","279,833.0","270,124.0"
"27","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRC1","2,278.0","1,804.0","1,547.0","1,054.0","933.0","1,081.0","1,274.0","1,662.0","1,783.0","1,601.0","1,842.0","2,029.0","2,489.0","2,564.0","2,666.0","2,781.0","3,093.0","4,361.0","4,855.0","5,402.0","5,275.0","6,078.0","6,523.0","6,516.0","6,736.0","6,680.0","7,630.0","8,086.0","8,105.0","8,081.0","8,663.0","8,662.0","8,763.0","9,390.0","10,193.0","11,520.0","12,263.0","13,265.0","13,809.0","15,085.0","15,745.0","15,765.0","16,591.0","18,597.0","21,183.0","22,883.0","23,527.0","25,967.0","29,617.0","32,632.0","36,055.0","36,934.0","38,422.0","37,827.0","43,158.0","49,334.0","53,133.0","59,392.0","64,509.0","67,473.0","70,795.0","69,228.0","67,120.0","69,274.0","73,535.0","79,384.0","83,382.0","88,322.0","93,791.0","101,193.0","111,282.0","121,676.0","124,482.0","130,213.0","134,187.0","144,032.0","152,838.0","160,061.0","161,231.0","153,481.0"
"28","10","      Household appliances (part of 33)","DAPPRC1","699.0","611.0","514.0","313.0","371.0","471.0","559.0","667.0","769.0","647.0","704.0","802.0","1,054.0","736.0","265.0","156.0","329.0","1,632.0","2,867.0","3,134.0","2,833.0","3,579.0","3,526.0","3,482.0","3,645.0","3,698.0","4,084.0","4,336.0","4,320.0","4,149.0","4,420.0","4,291.0","4,284.0","4,323.0","4,511.0","4,873.0","4,900.0","5,344.0","5,537.0","6,225.0","6,808.0","7,257.0","7,944.0","8,997.0","9,895.0","10,334.0","10,581.0","11,506.0","12,725.0","13,605.0","14,806.0","15,104.0","15,518.0","15,177.0","16,795.0","18,375.0","19,819.0","21,243.0","21,781.0","22,696.0","23,852.0","23,660.0","23,262.0","24,287.0","25,195.0","25,819.0","26,571.0","26,798.0","26,532.0","28,638.0","31,616.0","34,078.0","35,739.0","37,605.0","38,625.0","40,971.0","43,383.0","45,271.0","45,995.0","45,240.0"
"29","11","      Glassware, tableware, and household utensils (34)","DUTERC1","640.0","452.0","437.0","412.0","369.0","410.0","413.0","464.0","524.0","481.0","485.0","521.0","635.0","672.0","627.0","659.0","818.0","1,279.0","1,363.0","1,468.0","1,419.0","1,531.0","1,631.0","1,592.0","1,647.0","1,657.0","1,765.0","1,825.0","1,763.0","1,734.0","1,780.0","1,780.0","1,800.0","1,906.0","1,951.0","2,182.0","2,434.0","2,808.0","3,022.0","3,337.0","3,505.0","3,561.0","3,735.0","4,083.0","4,715.0","5,213.0","5,732.0","6,511.0","7,321.0","8,558.0","9,537.0","10,550.0","11,815.0","12,809.0","13,351.0","14,084.0","14,397.0","15,142.0","15,123.0","16,271.0","17,502.0","18,360.0","18,537.0","20,050.0","21,145.0","22,766.0","23,743.0","24,772.0","25,682.0","28,326.0","31,909.0","35,274.0","37,115.0","39,973.0","41,415.0","43,376.0","45,361.0","47,759.0","49,092.0","48,191.0"
"30","12","      Tools and equipment for house and garden (35)","DTOORC1","160.0","137.0","102.0","74.0","70.0","84.0","89.0","110.0","128.0","117.0","130.0","146.0","182.0","207.0","220.0","248.0","285.0","408.0","472.0","535.0","535.0","612.0","686.0","602.0","557.0","489.0","531.0","567.0","589.0","598.0","654.0","691.0","725.0","804.0","855.0","942.0","1,064.0","1,226.0","1,311.0","1,442.0","1,530.0","1,569.0","1,674.0","1,845.0","2,168.0","2,461.0","2,772.0","3,188.0","3,692.0","4,209.0","4,856.0","5,255.0","5,706.0","5,998.0","6,466.0","7,039.0","7,270.0","7,678.0","8,123.0","8,714.0","9,238.0","9,693.0","9,867.0","10,677.0","11,492.0","12,541.0","13,046.0","13,643.0","14,486.0","15,422.0","16,378.0","17,077.0","17,603.0","18,077.0","19,113.0","20,775.0","22,310.0","23,420.0","23,515.0","23,212.0"
"31","13","    Recreational goods and vehicles","DREQRC1","1,549.0","1,362.0","887.0","537.0","443.0","517.0","574.0","721.0","842.0","773.0","882.0","993.0","1,202.0","1,229.0","1,019.0","1,049.0","1,233.0","2,540.0","2,971.0","3,106.0","3,242.0","4,113.0","4,108.0","4,317.0","4,692.0","4,886.0","5,338.0","5,689.0","5,756.0","5,883.0","6,369.0","6,365.0","6,581.0","6,943.0","7,565.0","8,772.0","10,086.0","12,278.0","13,578.0","15,333.0","16,732.0","17,924.0","19,197.0","22,591.0","25,346.0","26,585.0","30,363.0","34,172.0","37,730.0","41,702.0","45,835.0","46,490.0","49,879.0","51,287.0","58,655.0","67,844.0","74,074.0","83,016.0","91,802.0","99,877.0","103,905.0","105,558.0","107,716.0","110,995.0","123,473.0","140,340.0","153,723.0","164,929.0","174,632.0","192,072.0","212,709.0","234,066.0","239,766.0","251,507.0","262,565.0","284,309.0","303,352.0","323,424.0","337,693.0","339,881.0"
"32","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC1","1,002.0","906.0","487.0","278.0","206.0","243.0","266.0","353.0","409.0","366.0","445.0","520.0","643.0","658.0","437.0","360.0","412.0","1,222.0","1,525.0","1,567.0","1,747.0","2,454.0","2,304.0","2,429.0","2,677.0","2,828.0","3,007.0","3,114.0","3,037.0","3,038.0","3,272.0","3,237.0","3,359.0","3,541.0","3,916.0","4,556.0","5,372.0","6,547.0","7,331.0","7,941.0","8,323.0","8,806.0","9,233.0","10,637.0","12,089.0","12,951.0","14,346.0","15,858.0","17,016.0","18,602.0","20,717.0","21,930.0","23,487.0","24,477.0","30,202.0","34,235.0","38,464.0","44,778.0","49,502.0","54,248.0","55,764.0","56,095.0","58,085.0","59,695.0","66,711.0","76,705.0","84,728.0","91,118.0","96,173.0","106,971.0","118,993.0","130,886.0","133,442.0","140,803.0","144,149.0","156,265.0","167,743.0","179,192.0","186,265.0","188,484.0"
"33","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC1","146.0","118.0","110.0","81.0","69.0","82.0","92.0","111.0","131.0","130.0","140.0","154.0","188.0","192.0","177.0","209.0","256.0","461.0","536.0","571.0","538.0","592.0","653.0","698.0","736.0","757.0","873.0","973.0","1,048.0","1,108.0","1,219.0","1,284.0","1,376.0","1,392.0","1,391.0","1,525.0","1,723.0","2,169.0","2,413.0","2,715.0","2,868.0","2,876.0","2,961.0","3,604.0","3,830.0","4,282.0","5,068.0","6,173.0","6,788.0","7,577.0","8,120.0","8,893.0","9,460.0","9,509.0","9,967.0","11,439.0","12,156.0","13,147.0","15,381.0","17,149.0","18,778.0","19,943.0","20,452.0","21,743.0","23,603.0","25,924.0","27,167.0","28,529.0","29,522.0","32,081.0","35,276.0","39,092.0","41,266.0","43,075.0","45,445.0","48,833.0","52,228.0","56,830.0","60,541.0","62,276.0"
"34","16","      Sports and recreational vehicles (79)","DWHLRC1","97.0","75.0","67.0","45.0","40.0","52.0","61.0","77.0","92.0","88.0","98.0","108.0","136.0","115.0","102.0","122.0","151.0","337.0","412.0","426.0","367.0","389.0","409.0","430.0","469.0","499.0","599.0","675.0","728.0","766.0","842.0","766.0","697.0","783.0","907.0","1,150.0","1,371.0","1,721.0","1,945.0","2,631.0","3,258.0","3,472.0","4,178.0","5,479.0","6,409.0","6,199.0","7,451.0","8,578.0","9,983.0","10,845.0","11,706.0","9,826.0","10,424.0","10,346.0","10,748.0","13,759.0","14,622.0","15,714.0","16,434.0","17,024.0","17,310.0","16,617.0","15,963.0","15,864.0","17,979.0","20,379.0","22,491.0","24,076.0","26,034.0","28,655.0","31,824.0","34,917.0","35,377.0","36,547.0","40,639.0","45,012.0","47,741.0","49,660.0","51,104.0","48,979.0"
"35","17","      Recreational books (part of 90)","DRBKRC1","231.0","197.0","189.0","114.0","114.0","123.0","137.0","156.0","182.0","165.0","169.0","175.0","191.0","218.0","274.0","336.0","389.0","440.0","397.0","437.0","469.0","504.0","580.0","590.0","622.0","604.0","650.0","713.0","737.0","766.0","816.0","853.0","907.0","963.0","1,056.0","1,207.0","1,235.0","1,380.0","1,387.0","1,507.0","1,726.0","2,185.0","2,225.0","2,201.0","2,275.0","2,365.0","2,630.0","2,619.0","2,974.0","3,638.0","4,173.0","4,704.0","5,346.0","5,850.0","6,496.0","7,061.0","7,348.0","7,771.0","8,757.0","9,565.0","10,112.0","10,853.0","11,041.0","11,507.0","12,795.0","14,632.0","16,410.0","18,116.0","19,691.0","20,884.0","22,690.0","24,423.0","24,749.0","25,902.0","27,151.0","28,599.0","29,845.0","31,435.0","33,209.0","33,871.0"
