"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"36","18","    Gross investment","A798RC1","153.0","200.0","253.0","315.0","512.0","778.0","1,071.0","971.0","904.0","906.0","797.0","813.0","1,361.0","1,008.0","845.0","512.0","642.0","396.0","807.0","1,043.0","1,426.0","1,579.0","1,521.0","1,558.0","1,378.0","1,210.0","862.0","1,160.0","1,374.0","1,626.0","1,673.0","1,995.0","2,425.0","2,898.0","3,484.0","4,171.0","4,662.0","4,906.0","4,161.0","3,817.0","3,619.0","3,755.0","4,191.0","4,532.0","4,894.0","5,554.0","6,481.0","7,259.0","7,979.0","9,786.0","10,244.0","11,992.0","12,993.0","12,741.0","14,529.0","15,685.0","16,912.0","17,495.0","19,417.0","18,568.0","20,265.0","22,598.0","24,836.0","27,209.0","28,267.0","24,909.0","26,808.0","28,799.0","28,099.0","30,666.0","33,448.0","30,860.0","30,594.0","33,104.0","33,464.0","33,687.0","36,252.0","39,715.0","40,628.0","44,266.0","46,059.0"
"37","19","      Structures","A830RC1","138.0","181.0","232.0","300.0","480.0","566.0","769.0","776.0","730.0","688.0","596.0","569.0","609.0","451.0","401.0","191.0","162.0","-4.0","325.0","679.0","1,088.0","1,176.0","1,108.0","1,093.0","1,054.0","903.0","615.0","897.0","1,127.0","1,404.0","1,481.0","1,664.0","1,871.0","2,121.0","2,319.0","2,548.0","2,755.0","2,832.0","2,217.0","2,085.0","1,889.0","2,057.0","2,459.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","4,998.0","6,136.0","6,253.0","7,074.0","7,726.0","6,784.0","6,734.0","7,034.0","7,344.0","8,005.0","9,031.0","6,848.0","6,883.0","7,992.0","9,168.0","10,292.0","11,241.0","10,212.0","10,796.0","11,256.0","9,909.0","10,761.0","10,726.0","8,277.0","8,141.0","9,946.0","10,320.0","9,065.0","8,267.0","9,505.0","11,096.0","11,726.0","13,342.0"
"38","20","      Equipment and software","B880RC1","15.0","19.0","21.0","15.0","32.0","212.0","302.0","195.0","174.0","218.0","201.0","244.0","752.0","557.0","444.0","321.0","480.0","400.0","482.0","364.0","338.0","403.0","413.0","465.0","324.0","307.0","247.0","263.0","247.0","222.0","192.0","331.0","554.0","777.0","1,165.0","1,623.0","1,907.0","2,074.0","1,944.0","1,732.0","1,730.0","1,698.0","1,732.0","1,822.0","1,787.0","2,154.0","2,408.0","2,675.0","2,981.0","3,650.0","3,991.0","4,918.0","5,267.0","5,957.0","7,795.0","8,651.0","9,568.0","9,490.0","10,386.0","11,720.0","13,382.0","14,606.0","15,668.0","16,917.0","17,026.0","14,697.0","16,012.0","17,543.0","18,190.0","19,905.0","22,722.0","22,583.0","22,453.0","23,158.0","23,144.0","24,622.0","27,985.0","30,210.0","29,532.0","32,540.0","32,717.0"
"39","21","State and local","A829RC1","7,627.0","8,162.0","8,006.0","6,869.0","6,373.0","7,231.0","7,514.0","7,526.0","7,710.0","8,098.0","8,774.0","8,560.0","8,556.0","8,576.0","8,370.0","8,385.0","8,963.0","10,770.0","13,748.0","16,346.0","18,996.0","20,742.0","23,047.0","24,438.0","26,147.0","28,902.0","31,591.0","34,701.0","38,344.0","42,155.0","44,668.0","47,470.0","51,608.0","54,854.0","59,456.0","64,780.0","71,042.0","79,219.0","87,884.0","98,049.0","108,150.0","120,284.0","132,783.0","143,791.0","159,206.0","183,374.0","208,684.0","223,297.0","238,658.0","262,651.0","290,172.0","322,404.0","347,299.0","369,682.0","390,529.0","422,645.0","466,140.0","510,891.0","539,856.0","577,326.0","619,160.0","674,222.0","709,529.0","740,551.0","769,822.0","811,212.0","855,253.0","893,970.0","943,475.0","995,032.0","1,076,344.0","1,154,874.0","1,234,731.0","1,302,706.0","1,356,071.0","1,408,175.0","1,493,582.0","1,586,705.0","1,699,806.0","1,800,595.0","1,785,903.0"
"40","22","  Consumption expenditures","A991RC1","4,984.0","5,254.0","5,357.0","5,104.0","5,048.0","5,461.0","5,912.0","4,625.0","5,146.0","5,130.0","5,405.0","5,803.0","6,321.0","7,043.0","7,502.0","7,685.0","8,157.0","9,190.0","10,907.0","12,328.0","13,655.0","14,880.0","16,080.0","17,117.0","18,237.0","19,708.0","21,556.0","23,439.0","25,824.0","28,622.0","30,747.0","33,547.0","36,560.0","38,984.0","41,941.0","45,790.0","50,194.0","56,101.0","62,575.0","70,381.0","79,849.0","91,535.0","102,719.0","113,150.0","125,989.0","143,737.0","165,095.0","179,458.0","195,871.0","213,171.0","233,339.0","258,433.0","282,343.0","304,855.0","324,080.0","347,670.0","381,756.0","418,080.0","441,406.0","471,023.0","504,453.0","546,985.0","577,477.0","606,211.0","634,151.0","668,167.0","701,285.0","730,192.0","764,540.0","808,598.0","870,608.0","930,616.0","994,230.0","1,049,382.0","1,096,506.0","1,139,068.0","1,212,029.0","1,282,338.0","1,366,134.0","1,452,431.0","1,430,549.0"
"41","23","  Gross investment","A799RC1","2,643.0","2,908.0","2,649.0","1,765.0","1,325.0","1,770.0","1,602.0","2,901.0","2,564.0","2,968.0","3,369.0","2,757.0","2,235.0","1,533.0","868.0","700.0","806.0","1,580.0","2,841.0","4,019.0","5,342.0","5,862.0","6,967.0","7,322.0","7,910.0","9,194.0","10,035.0","11,262.0","12,520.0","13,534.0","13,922.0","13,923.0","15,048.0","15,870.0","17,515.0","18,989.0","20,848.0","23,118.0","25,309.0","27,667.0","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0","186,434.0","205,736.0","224,258.0","240,502.0","253,324.0","259,565.0","269,107.0","281,553.0","304,367.0","333,672.0","348,164.0","355,354.0"
"42","24","    Structures","A842RC1","2,413.0","2,715.0","2,447.0","1,580.0","1,176.0","1,624.0","1,459.0","2,763.0","2,368.0","2,756.0","3,131.0","2,556.0","2,074.0","1,400.0","771.0","603.0","708.0","1,405.0","2,527.0","3,589.0","4,887.0","5,385.0","6,419.0","6,727.0","7,278.0","8,479.0","9,274.0","10,367.0","11,458.0","12,482.0","12,839.0","12,702.0","13,786.0","14,524.0","15,969.0","17,232.0","18,953.0","20,993.0","23,042.0","25,220.0","25,579.0","25,789.0","26,953.0","27,106.0","29,137.0","34,740.0","38,136.0","38,148.0","36,911.0","42,846.0","49,040.0","55,058.0","55,421.0","54,245.0","54,222.0","60,536.0","67,553.0","74,207.0","78,821.0","84,793.0","88,727.0","98,539.0","103,180.0","104,232.0","104,487.0","108,710.0","117,256.0","126,838.0","139,530.0","143,562.0","159,678.0","175,975.0","192,323.0","205,844.0","211,751.0","220,239.0","230,758.0","249,912.0","277,231.0","290,903.0","299,649.0"
"43","25","    Equipment and software","B881RC1","230.0","193.0","202.0","185.0","149.0","146.0","143.0","138.0","196.0","212.0","238.0","201.0","161.0","133.0","97.0","97.0","98.0","175.0","314.0","430.0","455.0","477.0","548.0","595.0","632.0","715.0","761.0","895.0","1,062.0","1,052.0","1,083.0","1,221.0","1,262.0","1,346.0","1,546.0","1,757.0","1,895.0","2,125.0","2,267.0","2,447.0","2,723.0","2,960.0","3,111.0","3,535.0","4,080.0","4,897.0","5,453.0","5,691.0","5,876.0","6,634.0","7,794.0","8,913.0","9,536.0","10,582.0","12,227.0","14,439.0","16,831.0","18,604.0","19,628.0","21,511.0","25,980.0","28,697.0","28,873.0","30,108.0","31,184.0","34,335.0","36,712.0","36,940.0","39,405.0","42,872.0","46,058.0","48,283.0","48,179.0","47,480.0","47,814.0","48,868.0","50,795.0","54,455.0","56,441.0","57,261.0","55,705.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
