"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","2","Contributions for government social insurance","W780RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,890.0","3,773.0","4,342.0","5,336.0","6,463.0","5,389.0","4,415.0","4,696.0","5,259.0","6,410.0","6,667.0","6,823.0","7,776.0","8,780.0","9,647.0","11,047.0","11,026.0","13,461.0","16,017.0","16,565.0","18,626.0","21,106.0","21,782.0","22,742.0","30,620.0","34,102.0","37,897.0","43,314.0","45,504.0","50,330.0","58,258.0","74,546.0","84,085.0","88,054.0","99,786.0","111,078.0","128,715.0","149,798.0","163,631.0","193,009.0","206,043.0","223,068.0","254,129.0","277,909.0","298,933.0","317,431.0","354,779.0","377,963.0","402,040.0","420,613.0","443,965.0","465,517.0","496,152.0","521,903.0","545,413.0","579,432.0","617,402.0","654,826.0","698,571.0","723,253.0","739,279.0","762,774.0","807,626.0","852,625.0","904,642.0","944,373.0","974,488.0"
"22","3","  Employee and self-employed contributions","A1585C1","66.0","66.0","65.0","63.0","59.0","62.0","60.0","70.0","443.0","418.0","448.0","494.0","618.0","882.0","1,445.0","1,805.0","1,873.0","1,504.0","1,578.0","1,543.0","1,493.0","2,058.0","2,492.0","2,728.0","2,841.0","3,403.0","3,854.0","4,251.0","4,975.0","4,958.0","5,891.0","7,093.0","7,287.0","7,798.0","9,085.0","9,553.0","10,070.0","14,215.0","16,561.0","18,437.0","21,030.0","22,184.0","24,379.0","27,635.0","35,262.0","40,017.0","42,109.0","46,428.0","51,367.0","59,039.0","69,364.0","76,791.0","91,397.0","98,275.0","105,037.0","117,095.0","132,521.0","144,018.0","154,836.0","174,627.0","189,702.0","201,652.0","212,658.0","223,725.0","234,738.0","250,990.0","266,120.0","278,059.0","296,042.0","315,636.0","336,157.0","358,018.0","371,561.0","381,696.0","392,570.0","414,565.0","439,768.0","470,674.0","494,756.0","513,147.0"
"23","4","  Employer contributions","A1580C1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","4,959.0","3,811.0","2,872.0","3,203.0","3,201.0","3,900.0","3,917.0","3,959.0","4,347.0","4,900.0","5,366.0","6,041.0","6,031.0","7,530.0","8,890.0","9,226.0","10,771.0","11,955.0","12,152.0","12,588.0","16,300.0","17,429.0","19,316.0","22,071.0","23,086.0","25,623.0","30,249.0","38,742.0","43,499.0","45,358.0","52,719.0","58,952.0","68,811.0","79,505.0","85,825.0","100,444.0","106,576.0","116,776.0","135,698.0","143,963.0","153,463.0","161,070.0","178,478.0","186,555.0","198,422.0","205,905.0","218,103.0","228,558.0","242,675.0","253,080.0","264,566.0","280,376.0","298,664.0","315,376.0","337,000.0","347,944.0","353,833.0","366,285.0","388,675.0","408,196.0","429,384.0","444,788.0","456,314.0"
"24","5","    Government","L313051","8.0","7.0","5.0","8.0","4.0","4.0","5.0","2.0","3.0","2.0","2.0","2.0","2.0","29.0","27.0","259.0","1,378.0","2,893.0","1,375.0","532.0","855.0","135.0","216.0","226.0","198.0","265.0","364.0","347.0","517.0","662.0","734.0","815.0","884.0","946.0","1,106.0","1,183.0","1,215.0","1,643.0","2,012.0","2,359.0","2,815.0","3,242.0","3,819.0","4,296.0","5,037.0","5,828.0","6,950.0","7,678.0","8,031.0","8,664.0","9,743.0","10,757.0","12,764.0","13,756.0","15,625.0","17,246.0","18,931.0","20,664.0","21,943.0","25,785.0","27,873.0","30,730.0","33,223.0","35,627.0","36,767.0","37,624.0","38,302.0","39,312.0","40,817.0","42,144.0","44,372.0","47,088.0","50,041.0","53,415.0","56,234.0","58,525.0","60,589.0","63,582.0","66,679.0","70,597.0"
"25","6","    Other","L313061","0.0","0.0","0.0","0.0","0.0","3.0","7.0","240.0","1,027.0","1,197.0","1,302.0","1,374.0","1,714.0","1,979.0","2,301.0","2,278.0","2,085.0","2,066.0","2,436.0","2,340.0","2,348.0","3,066.0","3,684.0","3,691.0","3,761.0","4,082.0","4,536.0","5,019.0","5,524.0","5,369.0","6,796.0","8,075.0","8,342.0","9,825.0","10,849.0","10,969.0","11,373.0","14,657.0","15,417.0","16,957.0","19,256.0","19,844.0","21,804.0","25,953.0","33,705.0","37,671.0","38,408.0","45,041.0","50,921.0","60,147.0","69,762.0","75,068.0","87,680.0","92,820.0","101,151.0","118,452.0","125,032.0","132,799.0","139,127.0","152,693.0","158,682.0","167,691.0","172,682.0","182,476.0","191,791.0","205,051.0","214,778.0","225,254.0","239,559.0","256,520.0","271,004.0","289,912.0","297,903.0","300,418.0","310,051.0","330,150.0","347,607.0","365,802.0","378,109.0","385,717.0"
"26","7","  From the rest of the world","W781RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","22.0","23.0","26.0","26.0","30.0","31.0","37.0","40.0","34.0","52.0","57.0","66.0","77.0","84.0","105.0","112.0","144.0","213.0","234.0","328.0","374.0","542.0","569.0","587.0","639.0","759.0","865.0","929.0","1,015.0","1,168.0","1,192.0","1,255.0","1,336.0","1,425.0","1,452.0","1,525.0","1,674.0","1,706.0","1,967.0","2,050.0","2,137.0","2,221.0","2,487.0","2,703.0","2,788.0","3,014.0","3,102.0","3,293.0","3,553.0","3,748.0","3,750.0","3,919.0","4,386.0","4,661.0","4,584.0","4,829.0","5,027.0"
"27","8","Interest received","L313071","13.0","20.0","19.0","11.0","16.0","15.0","16.0","22.0","126.0","52.0","67.0","75.0","92.0","124.0","171.0","250.0","367.0","473.0","522.0","600.0","687.0","708.0","701.0","812.0","909.0","964.0","974.0","1,054.0","1,142.0","1,125.0","1,085.0","1,105.0","1,133.0","1,108.0","1,123.0","1,202.0","1,304.0","1,482.0","1,834.0","2,075.0","2,464.0","3,652.0","3,434.0","3,553.0","4,036.0","4,629.0","4,748.0","4,542.0","4,486.0","4,856.0","5,187.0","5,915.0","6,833.0","6,719.0","5,992.0","9,046.0","11,672.0","12,692.0","15,177.0","20,419.0","27,957.0","34,803.0","39,319.0","43,456.0","45,800.0","48,322.0","53,301.0","56,655.0","62,688.0","65,898.0","77,921.0","88,618.0","98,136.0","106,333.0","106,931.0","109,764.0","115,764.0","126,296.0","133,664.0","139,811.0"
"28","9","    Current expenditures","A1670C1","26.0","29.0","33.0","40.0","40.0","45.0","43.0","87.0","212.0","679.0","788.0","909.0","815.0","836.0","656.0","710.0","1,444.0","3,723.0","2,731.0","2,614.0","3,871.0","6,219.0","4,486.0","4,820.0","5,646.0","7,539.0","8,202.0","8,991.0","11,090.0","14,827.0","15,229.0","16,738.0","20,035.0","20,316.0","21,398.0","21,732.0","23,613.0","26,104.0","31,829.0","36,804.0","40,081.0","48,195.0","56,770.0","62,452.0","72,702.0","85,504.0","109,082.0","120,353.0","129,622.0","138,267.0","155,028.0","185,319.0","214,120.0","247,136.0","266,914.0","272,535.0","288,703.0","305,974.0","318,149.0","336,147.0","363,277.0","394,462.0","435,274.0","482,057.0","508,484.0","529,122.0","559,581.0","589,153.0","613,178.0","625,019.0","640,208.0","672,907.0","733,247.0","795,913.0","832,152.0","867,134.0","919,364.0","1,018,577.0","1,082,624.0","1,169,497.0"
"29","10","Administrative expenses (consumption expenditures)","L313091","0.0","0.0","0.0","0.0","0.0","3.0","7.0","52.0","133.0","138.0","160.0","147.0","186.0","172.0","211.0","181.0","195.0","243.0","113.0","174.0","225.0","337.0","387.0","302.0","346.0","318.0","453.0","473.0","417.0","628.0","613.0","616.0","787.0","748.0","827.0","806.0","886.0","976.0","948.0","1,120.0","1,515.0","1,767.0","1,932.0","2,331.0","2,248.0","2,753.0","3,188.0","3,595.0","3,756.0","4,055.0","4,245.0","4,780.0","5,248.0","5,658.0","6,119.0","6,292.0","6,548.0","6,526.0","6,611.0","7,261.0","7,242.0","7,408.0","8,338.0","9,042.0","9,708.0","8,837.0","9,463.0","9,633.0","9,144.0","9,654.0","9,788.0","10,055.0","10,730.0","12,045.0","12,407.0","13,152.0","14,387.0","14,725.0","14,624.0","15,489.0"
"30","11","Government social benefits","W026RC1","26.0","29.0","33.0","40.0","40.0","42.0","36.0","35.0","79.0","541.0","628.0","762.0","629.0","664.0","445.0","529.0","1,249.0","3,480.0","2,618.0","2,440.0","3,646.0","5,882.0","4,099.0","4,518.0","5,300.0","7,221.0","7,749.0","8,518.0","10,673.0","14,199.0","14,616.0","16,122.0","19,248.0","19,568.0","20,571.0","20,926.0","22,727.0","25,128.0","30,881.0","35,684.0","38,566.0","46,428.0","54,838.0","60,121.0","70,454.0","82,751.0","105,894.0","116,758.0","125,866.0","134,212.0","150,783.0","180,539.0","208,872.0","241,478.0","260,795.0","266,243.0","282,155.0","299,448.0","311,538.0","328,886.0","356,035.0","387,054.0","426,936.0","473,015.0","498,776.0","520,285.0","550,118.0","579,520.0","604,034.0","615,365.0","630,420.0","662,852.0","722,517.0","783,868.0","819,745.0","853,982.0","904,977.0","1,003,852.0","1,068,000.0","1,154,008.0"
"31","12","  To persons","A1588C1","26.0","29.0","33.0","40.0","40.0","42.0","36.0","35.0","79.0","541.0","628.0","762.0","629.0","664.0","445.0","529.0","1,249.0","3,480.0","2,618.0","2,440.0","3,646.0","5,882.0","4,099.0","4,518.0","5,297.0","7,215.0","7,739.0","8,505.0","10,653.0","14,174.0","14,580.0","15,878.0","18,976.0","19,273.0","20,251.0","20,584.0","22,278.0","24,668.0","30,330.0","35,131.0","37,983.0","45,711.0","54,031.0","59,237.0","69,385.0","81,594.0","104,495.0","114,937.0","124,071.0","132,306.0","148,692.0","178,139.0","205,985.0","238,507.0","257,674.0","263,027.0","278,637.0","295,618.0","307,820.0","324,872.0","351,720.0","382,324.0","421,418.0","467,507.0","493,172.0","514,055.0","543,965.0","572,754.0","597,000.0","607,949.0","622,871.0","654,866.0","713,660.0","774,821.0","810,222.0","843,921.0","894,379.0","992,091.0","1,055,439.0","1,140,748.0"
"32","13","  To the rest of the world","W872RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","244.0","272.0","295.0","320.0","342.0","449.0","460.0","551.0","553.0","583.0","717.0","807.0","884.0","1,069.0","1,157.0","1,399.0","1,821.0","1,795.0","1,906.0","2,091.0","2,400.0","2,887.0","2,971.0","3,121.0","3,216.0","3,518.0","3,830.0","3,718.0","4,014.0","4,315.0","4,730.0","5,518.0","5,508.0","5,604.0","6,230.0","6,153.0","6,766.0","7,034.0","7,416.0","7,549.0","7,986.0","8,857.0","9,047.0","9,523.0","10,061.0","10,598.0","11,761.0","12,561.0","13,260.0"
"33","14","    Net saving","B243RC1","61.0","64.0","56.0","42.0","39.0","39.0","45.0","247.0","1,387.0","990.0","1,031.0","1,036.0","1,611.0","2,178.0","3,288.0","3,882.0","4,259.0","3,212.0","3,180.0","2,401.0","1,512.0","-252.0","2,625.0","2,659.0","2,086.0","1,196.0","1,546.0","1,710.0","1,099.0","-2,677.0","-683.0","384.0","-2,337.0","-582.0","831.0","1,252.0","433.0","5,998.0","4,107.0","3,168.0","5,697.0","961.0","-3,006.0","-641.0","5,880.0","3,210.0","-16,280.0","-16,025.0","-14,058.0","-4,696.0","-43.0","-15,773.0","-14,278.0","-34,374.0","-37,854.0","-9,360.0","878.0","5,651.0","14,459.0","39,051.0","42,643.0","42,381.0","24,658.0","5,364.0","2,833.0","15,352.0","15,623.0","12,915.0","28,942.0","58,281.0","92,539.0","114,282.0","88,142.0","49,699.0","37,553.0","50,256.0","49,025.0","12,361.0","-4,587.0","-55,198.0"
"34",NA,"          State and local"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","    Current receipts","A743RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","5.0","4.0","170.0","191.0","219.0","214.0","244.0","264.0","303.0","333.0","353.0","368.0","405.0","435.0","435.0","455.0","507.0","542.0","602.0","687.0","746.0","827.0","898.0","965.0","1,043.0","1,142.0","1,224.0","1,328.0","1,492.0","1,693.0","1,903.0","2,118.0","2,501.0","3,150.0","3,908.0","4,574.0","4,421.0","4,848.0","5,298.0","5,637.0","6,325.0","6,723.0","7,886.0","9,239.0","10,493.0","11,170.0","12,372.0","14,251.0","16,173.0","17,307.0","17,645.0","17,093.0","16,157.0","14,514.0","14,898.0","15,116.0","16,086.0","18,287.0","19,814.0","23,876.0","28,247.0","29,186.0","26,612.0","24,842.0","26,070.0"
"36","16","Contributions for government social insurance","B104RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","5.0","4.0","155.0","175.0","201.0","194.0","223.0","242.0","278.0","306.0","324.0","337.0","370.0","397.0","395.0","413.0","461.0","492.0","548.0","629.0","682.0","758.0","821.0","877.0","942.0","1,026.0","1,089.0","1,174.0","1,320.0","1,492.0","1,665.0","1,843.0","2,187.0","2,775.0","3,410.0","3,880.0","3,572.0","3,860.0","4,043.0","4,140.0","4,677.0","4,886.0","5,957.0","7,207.0","8,377.0","8,974.0","10,035.0","11,619.0","13,123.0","14,129.0","14,515.0","13,600.0","12,453.0","10,823.0","10,351.0","9,752.0","10,822.0","13,691.0","15,924.0","20,062.0","24,068.0","24,753.0","21,771.0","19,794.0","21,138.0"
"37","17","  Employee and self-employed contributions","B738RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","5.0","4.0","48.0","55.0","69.0","48.0","51.0","48.0","52.0","55.0","59.0","63.0","68.0","70.0","77.0","88.0","101.0","108.0","137.0","179.0","202.0","253.0","275.0","287.0","308.0","343.0","336.0","351.0","412.0","451.0","470.0","477.0","508.0","623.0","693.0","798.0","457.0","694.0","850.0","1,034.0","1,337.0","1,115.0","1,551.0","2,017.0","2,222.0","1,856.0","2,005.0","2,392.0","2,828.0","3,008.0","3,051.0","2,560.0","2,214.0","1,606.0","1,778.0","1,789.0","2,602.0","3,649.0","3,646.0","3,920.0","4,648.0","5,457.0","4,448.0","3,746.0","4,788.0"
"38","18","  Employer contributions","A744RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","107.0","120.0","132.0","146.0","172.0","194.0","226.0","251.0","265.0","274.0","302.0","327.0","318.0","325.0","360.0","384.0","411.0","450.0","480.0","505.0","546.0","590.0","634.0","683.0","753.0","823.0","908.0","1,041.0","1,195.0","1,366.0","1,679.0","2,152.0","2,717.0","3,082.0","3,115.0","3,166.0","3,193.0","3,106.0","3,340.0","3,771.0","4,406.0","5,190.0","6,155.0","7,118.0","8,030.0","9,227.0","10,295.0","11,121.0","11,464.0","11,040.0","10,239.0","9,217.0","8,573.0","7,963.0","8,220.0","10,042.0","12,278.0","16,142.0","19,420.0","19,296.0","17,323.0","16,048.0","16,350.0"
