"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"31","12","      Rental income of persons","B1130C1","582.0","612.0","712.0","822.0","953.0","1,085.0","1,212.0","1,350.0","1,506.0","1,665.0","1,807.0","2,049.0","2,251.0","2,427.0","2,630.0","2,868.0","3,085.0","3,379.0","3,728.0","4,065.0","4,400.0","4,637.0","5,003.0","5,393.0","5,965.0","6,606.0","7,442.0","8,414.0","9,485.0","10,460.0","11,452.0","12,592.0","13,939.0","15,453.0","17,225.0","18,827.0","20,341.0","21,509.0","24,734.0","28,654.0","32,714.0","35,389.0","38,232.0","41,334.0","42,875.0","43,663.0","39,759.0","35,190.0","33,180.0","33,100.0","32,153.0","32,054.0","32,038.0","33,067.0","35,347.0","35,694.0","36,701.0","37,670.0","40,937.0","45,311.0","50,841.0","55,886.0","60,250.0"
"32","13","      Proprietors' income","B2631C1","14.0","15.0","20.0","28.0","33.0","39.0","45.0","50.0","53.0","57.0","61.0","65.0","70.0","77.0","84.0","88.0","93.0","101.0","105.0","112.0","120.0","129.0","148.0","153.0","162.0","154.0","106.0","188.0","290.0","649.0","790.0","1,048.0","1,204.0","1,662.0","2,273.0","3,001.0","2,972.0","2,976.0","2,719.0","2,257.0","2,145.0","2,024.0","2,078.0","2,455.0","2,440.0","2,249.0","1,989.0","1,926.0","1,860.0","1,374.0","1,315.0","1,247.0","1,238.0","1,228.0","1,216.0","1,204.0","1,182.0","1,169.0","1,137.0","1,105.0","1,105.0","1,105.0","1,105.0"
"33","14","  Households and nonprofit institutions","W291RC1","1,796.0","2,307.0","2,907.0","3,410.0","4,157.0","4,727.0","5,404.0","6,428.0","7,088.0","8,167.0","9,479.0","10,533.0","11,331.0","12,584.0","14,190.0","15,200.0","16,636.0","18,403.0","20,492.0","22,661.0","24,539.0","25,846.0","28,336.0","31,721.0","34,260.0","37,510.0","42,306.0","48,782.0","54,485.0","58,535.0","65,670.0","76,841.0","92,903.0","112,184.0","134,801.0","155,944.0","177,178.0","193,690.0","221,711.0","247,871.0","270,620.0","281,845.0","299,611.0","328,598.0","348,273.0","355,584.0","353,948.0","348,160.0","358,803.0","399,827.0","425,989.0","454,656.0","476,310.0","501,545.0","559,986.0","583,239.0","589,008.0","598,859.0","634,355.0","718,202.0","818,904.0","889,944.0","871,182.0"
"34","15","    Households","W292RC1","1,737.0","2,244.0","2,842.0","3,339.0","4,082.0","4,650.0","5,322.0","6,344.0","7,000.0","8,075.0","9,384.0","10,434.0","11,229.0","12,474.0","14,065.0","15,060.0","16,481.0","18,228.0","20,269.0","22,386.0","24,183.0","25,399.0","27,796.0","31,081.0","33,510.0","36,685.0","41,396.0","47,717.0","53,235.0","57,107.0","64,113.0","75,160.0","90,758.0","109,460.0","131,356.0","151,592.0","171,941.0","187,579.0","213,554.0","240,033.0","261,523.0","272,366.0","288,884.0","316,933.0","336,403.0","343,256.0","341,133.0","333,316.0","344,950.0","385,117.0","410,293.0","438,235.0","459,371.0","484,255.0","542,415.0","565,640.0","571,803.0","582,230.0","618,341.0","702,660.0","803,566.0","874,697.0","856,277.0"
"35","16","      Owner-occupied housing","W498RC1","1,005.0","1,193.0","1,414.0","1,585.0","1,807.0","2,136.0","2,453.0","2,768.0","3,185.0","3,627.0","4,281.0","4,970.0","5,651.0","6,348.0","7,051.0","7,716.0","8,632.0","9,351.0","10,297.0","11,262.0","12,150.0","12,862.0","13,949.0","15,368.0","16,727.0","18,844.0","21,747.0","25,290.0","29,035.0","32,571.0","37,470.0","44,495.0","53,276.0","64,926.0","77,652.0","90,680.0","104,541.0","115,087.0","129,849.0","145,437.0","160,480.0","171,607.0","183,781.0","199,930.0","214,452.0","220,133.0","222,184.0","216,212.0","219,046.0","238,784.0","247,623.0","263,384.0","275,487.0","294,136.0","326,300.0","347,144.0","365,691.0","381,552.0","408,367.0","469,850.0","547,866.0","594,510.0","599,203.0"
"36","17","      Persons \3\","W293RC1","732.0","1,051.0","1,428.0","1,754.0","2,275.0","2,514.0","2,869.0","3,576.0","3,815.0","4,448.0","5,103.0","5,464.0","5,578.0","6,126.0","7,014.0","7,344.0","7,849.0","8,877.0","9,972.0","11,124.0","12,033.0","12,537.0","13,847.0","15,713.0","16,783.0","17,841.0","19,649.0","22,427.0","24,200.0","24,536.0","26,643.0","30,664.0","37,482.0","44,534.0","53,704.0","60,912.0","67,400.0","72,492.0","83,706.0","94,596.0","101,043.0","100,759.0","105,103.0","117,003.0","121,951.0","123,123.0","118,949.0","117,104.0","125,904.0","146,333.0","162,670.0","174,851.0","183,884.0","190,119.0","216,115.0","218,496.0","206,112.0","200,678.0","209,974.0","232,810.0","255,700.0","280,187.0","257,074.0"
"37","18","    Nonprofit institutions","W319RC1","59.0","63.0","65.0","71.0","75.0","77.0","82.0","84.0","88.0","92.0","95.0","99.0","102.0","110.0","125.0","140.0","155.0","175.0","223.0","275.0","356.0","447.0","540.0","640.0","750.0","825.0","910.0","1,065.0","1,250.0","1,428.0","1,557.0","1,681.0","2,145.0","2,724.0","3,445.0","4,352.0","5,237.0","6,111.0","8,156.0","7,838.0","9,097.0","9,479.0","10,727.0","11,665.0","11,870.0","12,328.0","12,815.0","14,844.0","13,853.0","14,710.0","15,696.0","16,421.0","16,939.0","17,290.0","17,571.0","17,599.0","17,205.0","16,629.0","16,014.0","15,542.0","15,338.0","15,247.0","14,905.0"
"38","19","  Government","W500RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,406.0","10,161.0","11,111.0","11,970.0","12,933.0","13,702.0","15,080.0","16,415.0","18,807.0","20,669.0","23,363.0","24,471.0","26,306.0","31,274.0","35,607.0","39,983.0","46,287.0","50,814.0","60,238.0","72,932.0","89,072.0","116,737.0","138,910.0","156,876.0","187,284.0","211,490.0","226,119.0","236,506.0","253,697.0","276,925.0","297,843.0","314,607.0","316,297.0","318,103.0","327,100.0","358,280.0","368,111.0","373,713.0","375,286.0","362,002.0","366,307.0","344,455.0","317,491.0","304,807.0","313,306.0","350,476.0","379,720.0","417,470.0","401,643.0"
"39","20","    Federal","A091RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,354.0","7,913.0","8,644.0","9,295.0","10,013.0","10,561.0","11,639.0","12,664.0","14,600.0","15,823.0","17,747.0","17,927.0","18,772.0","22,818.0","25,987.0","28,919.0","33,776.0","37,132.0","45,340.0","55,692.0","69,714.0","93,893.0","111,785.0","124,581.0","150,293.0","169,396.0","178,162.0","184,580.0","199,311.0","219,346.0","237,455.0","250,945.0","251,266.0","253,377.0","261,341.0","290,393.0","297,252.0","299,980.0","298,842.0","282,661.0","283,255.0","258,583.0","229,076.0","212,871.0","220,962.0","255,396.0","279,198.0","312,241.0","291,954.0"
"40","21","    State and local","W497RC1","557.0","550.0","549.0","579.0","623.0","677.0","733.0","810.0","945.0","1,088.0","1,241.0","1,399.0","1,566.0","1,782.0","2,052.0","2,248.0","2,467.0","2,675.0","2,920.0","3,141.0","3,441.0","3,751.0","4,207.0","4,846.0","5,616.0","6,544.0","7,534.0","8,456.0","9,620.0","11,064.0","12,511.0","13,682.0","14,898.0","17,240.0","19,358.0","22,844.0","27,125.0","32,295.0","36,991.0","42,095.0","47,955.0","51,926.0","54,388.0","57,576.0","60,388.0","63,663.0","65,031.0","64,726.0","65,736.0","67,907.0","70,859.0","73,733.0","76,444.0","79,341.0","83,052.0","85,872.0","88,415.0","91,936.0","92,344.0","95,080.0","100,522.0","105,232.0","109,689.0"
"41","22","  Rest of the world","W290RC1","179.0","224.0","269.0","277.0","301.0","384.0","406.0","448.0","487.0","516.0","481.0","550.0","712.0","810.0","1,019.0","1,185.0","1,387.0","1,577.0","1,811.0","2,081.0","2,394.0","2,654.0","3,061.0","3,656.0","4,062.0","4,070.0","4,395.0","5,970.0","9,526.0","9,893.0","11,535.0","13,674.0","18,007.0","27,462.0","37,491.0","57,053.0","65,211.0","60,743.0","76,055.0","65,487.0","61,229.0","62,708.0","78,936.0","100,379.0","105,889.0","90,546.0","70,840.0","63,582.0","76,546.0","98,778.0","103,576.0","121,056.0","135,736.0","138,329.0","173,258.0","134,336.0","102,412.0","97,184.0","112,425.0","183,895.0","279,790.0","349,487.0","258,901.0"
"42","23","    To business and persons","B1132C1","158.0","158.0","167.0","179.0","192.0","186.0","202.0","196.0","215.0","242.0","287.0","345.0","405.0","461.0","670.0","802.0","914.0","1,078.0","1,349.0","1,571.0","1,795.0","2,018.0","2,305.0","2,731.0","3,155.0","3,164.0","3,529.0","5,035.0","8,459.0","8,787.0","10,230.0","12,053.0","16,166.0","25,217.0","35,024.0","53,915.0","61,591.0","56,186.0","71,048.0","60,218.0","55,210.0","57,744.0","72,530.0","95,734.0","97,936.0","85,013.0","65,741.0","59,728.0","73,334.0","94,854.0","99,464.0","117,876.0","132,562.0","135,401.0","169,685.0","131,115.0","99,402.0","92,775.0","109,740.0","181,488.0","277,758.0","347,751.0","257,195.0"
"43","24","    To federal government","B1133C1","21.0","66.0","102.0","98.0","109.0","198.0","204.0","252.0","272.0","274.0","194.0","205.0","307.0","349.0","349.0","383.0","473.0","499.0","462.0","510.0","599.0","636.0","756.0","925.0","907.0","906.0","866.0","935.0","1,067.0","1,106.0","1,305.0","1,621.0","1,841.0","2,245.0","2,467.0","3,138.0","3,620.0","4,557.0","5,007.0","5,269.0","6,019.0","4,964.0","6,406.0","4,645.0","7,953.0","5,533.0","5,099.0","3,854.0","3,212.0","3,924.0","4,112.0","3,180.0","3,174.0","2,928.0","3,573.0","3,221.0","3,010.0","4,409.0","2,685.0","2,407.0","2,032.0","1,736.0","1,706.0"
