"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"34","15","  Goods \1\","A255RC1","5,612.0","6,292.0","5,828.0","6,160.0","7,340.0","7,644.0","7,708.0","7,536.0","7,164.0","6,852.0","6,620.0","6,860.0","7,184.0","7,808.0","10,464.0","10,868.0","11,772.0","12,040.0","10,808.0","10,084.0","10,696.0","10,604.0","10,768.0","11,284.0","10,988.0","11,516.0","11,152.0","10,244.0","9,976.0","11,048.0","10,224.0","10,164.0","11,104.0","11,232.0","11,296.0","12,476.0","13,020.0","12,692.0","12,620.0","12,880.0","13,188.0","13,376.0","13,060.0","13,540.0","12,580.0","12,668.0","12,780.0","13,780.0","14,484.0","15,532.0","15,796.0","15,428.0","15,700.0","15,888.0","15,056.0","14,236.0","14,064.0","14,256.0","15,760.0","16,132.0","16,440.0","16,920.0","17,084.0","17,032.0","16,916.0","17,568.0","18,152.0","18,216.0","18,344.0","19,080.0","19,720.0","20,424.0","19,552.0","22,436.0","22,808.0","24,192.0","24,852.0","25,612.0","27,160.0","27,712.0","27,704.0","26,796.0","27,012.0","29,532.0","32,116.0","33,152.0","35,408.0","35,108.0","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","975,465.0","1,020,788.0","1,073,898.0","1,120,600.0","1,188,886.0","1,227,631.0","1,280,514.0","1,288,969.0","1,261,591.0","1,184,758.0","1,139,469.0","1,100,895.0","1,119,147.0","1,192,432.0","1,219,243.0","1,244,677.0","1,268,003.0","1,271,007.0","1,281,611.0","1,336,409.0","1,401,087.0","1,483,001.0","1,521,380.0","1,601,183.0","1,628,851.0","1,671,680.0","1,719,991.0","1,811,398.0","1,842,891.0","1,884,311.0","1,925,044.0","1,887,467.0","1,926,905.0","1,951,085.0","1,993,785.0","2,078,850.0","2,143,139.0","2,226,763.0","2,243,329.0","1,892,520.0","1,508,243.0","1,461,119.0","1,592,820.0","1,739,353.0"
"35","16","    Durable","A333RC1","1,659.0","1,886.0","1,796.0","1,923.0","2,324.0","2,419.0","2,439.0","2,354.0","2,208.0","2,140.0","2,013.0","2,115.0","2,264.0","2,525.0","3,471.0","3,696.0","4,021.0","4,114.0","3,692.0","3,445.0","3,785.0","3,973.0","4,169.0","4,509.0","4,405.0","4,420.0","4,092.0","3,543.0","3,411.0","3,680.0","3,769.0","3,640.0","4,148.0","4,343.0","4,472.0","4,905.0","5,121.0","5,093.0","4,946.0","5,528.0","5,219.0","5,412.0","5,184.0","5,329.0","4,882.0","4,664.0","4,963.0","5,351.0","5,892.0","6,708.0","6,942.0","6,968.0","7,148.0","6,632.0","6,160.0","5,524.0","5,424.0","5,628.0","6,444.0","6,672.0","6,876.0","7,004.0","6,984.0","6,920.0","6,984.0","7,312.0","7,672.0","7,608.0","7,808.0","8,240.0","8,696.0","8,864.0","9,048.0","10,420.0","10,632.0","11,556.0","12,016.0","12,604.0","13,876.0","14,612.0","14,286.0","13,952.0","14,274.0","15,672.0","17,936.0","18,420.0","19,270.0","19,678.0","17,264.0","22,168.0","21,818.0","21,778.0","21,658.0","22,418.0","23,088.0","23,936.0","25,048.0","27,200.0","27,430.0","26,730.0","32,016.0","31,938.0","33,096.0","36,110.0","38,926.0","40,444.0","41,170.0","42,672.0","44,458.0","49,908.0","53,572.0","53,346.0","47,748.0","43,104.0","44,838.0","46,866.0","52,304.0","55,636.0","58,892.0","60,424.0","62,898.0","68,077.0","70,601.0","75,198.0","82,646.0","88,504.0","90,817.0","94,136.0","95,568.0","99,784.0","99,710.0","106,727.0","114,440.0","109,693.0","107,432.0","116,164.0","119,195.0","126,281.0","125,502.0","133,217.0","129,965.0","129,174.0","125,373.0","116,006.0","132,818.0","139,324.0","149,642.0","167,508.0","181,574.0","192,053.0","196,808.0","199,321.0","195,689.0","202,111.0","204,566.0","214,294.0","221,517.0","239,083.0","245,327.0","249,250.0","250,291.0","261,554.0","264,829.0","280,059.0","284,282.0","289,534.0","293,799.0","311,496.0","312,446.0","314,913.0","304,661.0","309,113.0","309,080.0","315,475.0","316,855.0","316,688.0","309,867.0","308,347.0","318,200.0","325,682.0","334,638.0","342,300.0","350,983.0","358,880.0","370,375.0","380,258.0","387,425.0","407,530.0","419,478.0","444,838.0","462,162.0","489,701.0","501,114.0","514,643.0","512,371.0","514,903.0","525,064.0","529,709.0","539,093.0","539,713.0","563,406.0","582,352.0","600,502.0","607,850.0","624,949.0","633,420.0","631,182.0","661,347.0","677,274.0","703,715.0","730,629.0","754,989.0","790,332.0","819,064.0","845,116.0","839,879.0","809,934.0","761,821.0","738,504.0","723,013.0","743,767.0","777,031.0","788,320.0","789,072.0","780,374.0","795,423.0","800,386.0","850,344.0","874,018.0","930,554.0","954,701.0","985,829.0","998,618.0","1,018,591.0","1,025,624.0","1,058,591.0","1,105,204.0","1,120,974.0","1,138,208.0","1,156,488.0","1,166,404.0","1,157,966.0","1,183,734.0","1,192,457.0","1,187,614.0","1,206,403.0","1,187,688.0","1,062,080.0","862,474.0","820,933.0","895,297.0","991,605.0"
"36","17","    Nondurable","A340RC1","3,953.0","4,406.0","4,032.0","4,237.0","5,016.0","5,225.0","5,269.0","5,182.0","4,956.0","4,712.0","4,607.0","4,745.0","4,920.0","5,283.0","6,993.0","7,172.0","7,751.0","7,926.0","7,116.0","6,639.0","6,911.0","6,631.0","6,599.0","6,775.0","6,583.0","7,096.0","7,060.0","6,701.0","6,565.0","7,368.0","6,455.0","6,524.0","6,956.0","6,889.0","6,824.0","7,571.0","7,899.0","7,599.0","7,674.0","7,352.0","7,969.0","7,964.0","7,876.0","8,211.0","7,698.0","8,004.0","7,817.0","8,429.0","8,592.0","8,824.0","8,854.0","8,460.0","8,552.0","9,256.0","8,896.0","8,712.0","8,640.0","8,628.0","9,316.0","9,460.0","9,564.0","9,916.0","10,100.0","10,112.0","9,932.0","10,256.0","10,480.0","10,608.0","10,536.0","10,840.0","11,024.0","11,560.0","10,504.0","12,016.0","12,176.0","12,636.0","12,836.0","13,008.0","13,284.0","13,100.0","13,418.0","12,844.0","12,738.0","13,860.0","14,180.0","14,732.0","16,138.0","15,430.0","13,508.0","16,948.0","16,718.0","17,050.0","17,690.0","17,650.0","18,092.0","18,888.0","18,328.0","20,240.0","22,210.0","19,014.0","23,076.0","22,154.0","24,192.0","25,154.0","27,534.0","29,596.0","30,930.0","36,100.0","44,374.0","56,480.0","57,028.0","58,914.0","53,188.0","49,160.0","53,934.0","57,162.0","61,236.0","65,688.0","70,028.0","74,320.0","84,726.0","85,073.0","82,569.0","81,374.0","87,688.0","86,629.0","88,589.0","90,630.0","96,613.0","104,291.0","117,065.0","131,389.0","145,215.0","138,774.0","126,714.0","135,848.0","150,990.0","145,492.0","134,990.0","135,589.0","127,658.0","116,670.0","131,831.0","125,489.0","109,690.0","123,437.0","136,209.0","132,081.0","140,880.0","145,870.0","143,048.0","145,709.0","129,699.0","142,314.0","135,954.0","148,551.0","136,188.0","126,017.0","129,432.0","133,210.0","139,246.0","147,509.0","157,969.0","157,620.0","157,204.0","156,145.0","157,322.0","158,718.0","169,540.0","175,800.0","172,786.0","179,907.0","201,296.0","180,328.0","189,428.0","203,132.0","187,100.0","182,676.0","182,236.0","188,773.0","188,832.0","195,582.0","202,877.0","205,615.0","205,490.0","209,887.0","204,684.0","205,394.0","207,745.0","217,184.0","233,498.0","232,643.0","244,350.0","249,612.0","247,348.0","245,453.0","259,462.0","268,688.0","275,316.0","292,746.0","298,053.0","289,607.0","297,867.0","302,980.0","295,851.0","293,456.0","291,316.0","291,482.0","298,191.0","317,073.0","343,269.0","365,611.0","398,554.0","408,567.0","435,398.0","449,090.0","451,657.0","422,937.0","400,965.0","377,882.0","375,380.0","415,401.0","430,923.0","455,605.0","487,629.0","475,584.0","481,225.0","486,065.0","527,069.0","552,447.0","566,679.0","615,354.0","630,233.0","653,089.0","694,367.0","752,807.0","737,687.0","763,337.0","786,836.0","730,979.0","760,501.0","793,119.0","810,051.0","886,393.0","955,525.0","1,020,360.0","1,055,641.0","830,440.0","645,769.0","640,186.0","697,523.0","747,748.0"
"37","18","  Services \1\","B656RC1","1,907.0","1,911.0","1,835.0","2,187.0","2,284.0","2,392.0","2,748.0","2,588.0","2,440.0","2,512.0","2,316.0","2,232.0","2,317.0","2,421.0","2,569.0","2,817.0","3,094.0","3,138.0","3,502.0","3,906.0","4,262.0","4,026.0","4,482.0","5,058.0","4,807.0","4,931.0","5,155.0","5,263.0","4,804.0","5,136.0","5,080.0","5,296.0","5,065.0","5,865.0","6,125.0","5,633.0","5,905.0","6,281.0","6,633.0","5,661.0","6,912.0","6,894.0","6,702.0","6,094.0","6,875.0","7,407.0","6,959.0","7,043.0","6,912.0","7,012.0","7,072.0","7,076.0","7,588.0","7,567.0","7,823.0","7,506.0","7,594.0","7,643.0","7,566.0","7,738.0","7,874.0","7,964.0","8,027.0","8,518.0","8,269.0","8,322.0","8,552.0","8,548.0","8,634.0","8,646.0","8,709.0","8,861.0","8,905.0","9,243.0","9,222.0","9,756.0","10,138.0","10,628.0","11,011.0","11,117.0","11,728.0","12,224.0","12,531.0","12,121.0","12,283.0","12,264.0","12,833.0","13,063.0","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","195,169.0","201,376.0","207,833.0","210,430.0","221,843.0","225,987.0","234,514.0","232,819.0","230,886.0","235,548.0","224,708.0","216,991.0","229,168.0","231,579.0","237,168.0","247,385.0","248,095.0","244,847.0","259,237.0","271,369.0","283,976.0","293,885.0","299,938.0","311,214.0","310,941.0","316,970.0","322,142.0","329,189.0","346,915.0","353,114.0","356,636.0","365,003.0","367,381.0","375,803.0","389,849.0","395,179.0","404,911.0","413,389.0","427,192.0","404,225.0","379,621.0","371,716.0","383,140.0","390,322.0"
"38","19","Income payments","A655RC1","466.0","465.0","461.0","556.0","533.0","545.0","649.0","573.0","666.0","647.0","667.0","675.0","708.0","732.0","761.0","783.0","863.0","877.0","864.0","852.0","813.0","873.0","883.0","918.0","917.0","915.0","947.0","996.0","955.0","948.0","934.0","939.0","975.0","1,065.0","1,094.0","1,099.0","1,118.0","1,097.0","1,159.0","1,175.0","1,195.0","1,194.0","1,228.0","1,236.0","1,256.0","1,172.0","1,234.0","1,300.0","1,379.0","1,457.0","1,549.0","1,648.0","1,842.0","1,788.0","1,770.0","1,701.0","1,724.0","1,741.0","1,814.0","1,873.0","1,803.0","1,839.0","1,858.0","1,887.0","1,912.0","2,010.0","2,103.0","2,188.0","2,230.0","2,293.0","2,305.0","2,448.0","2,489.0","2,550.0","2,635.0","2,734.0","2,801.0","2,884.0","3,103.0","3,217.0","3,232.0","3,239.0","3,242.0","3,442.0","3,699.0","3,987.0","4,137.0","4,245.0","4,750.0","5,373.0","6,112.0","6,421.0","6,585.0","6,538.0","6,440.0","6,197.0","5,871.0","6,099.0","6,692.0","7,005.0","7,017.0","7,630.0","7,765.0","8,467.0","9,611.0","10,796.0","11,356.0","11,926.0","12,603.0","13,931.0","15,185.0","15,481.0","15,529.0","14,873.0","15,090.0","14,588.0","15,638.0","15,609.0","15,435.0","15,383.0","15,015.0","16,204.0","17,245.0","19,168.0","20,379.0","23,835.0","25,349.0","29,121.0","31,938.0","34,655.0","37,319.0","41,649.0","45,585.0","43,812.0","40,455.0","49,776.0","54,337.0","59,733.0","63,214.0","59,073.0","62,332.0","66,255.0","66,423.0","62,923.0","59,753.0","62,051.0","67,374.0","70,010.0","77,795.0","85,669.0","89,935.0","88,901.0","86,001.0","85,555.0","85,615.0","86,409.0","92,608.0","95,411.0","90,387.0","95,134.0","97,848.0","102,427.0","107,367.0","112,996.0","119,646.0","122,653.0","131,870.0","138,872.0","147,286.0","156,154.0","152,686.0","148,856.0","153,249.0","153,054.0","157,842.0","152,203.0","148,654.0","140,840.0","137,780.0","125,648.0","123,917.0","126,546.0","121,501.0","118,663.0","115,009.0","123,776.0","120,503.0","136,840.0","136,672.0","151,230.0","168,558.0","183,620.0","189,225.0","196,627.0","208,753.0","203,840.0","201,486.0","208,713.0","218,601.0","227,844.0","246,486.0","251,560.0","262,334.0","263,829.0","263,907.0","269,897.0","271,944.0","269,888.0","270,388.0","281,098.0","303,625.0","311,550.0","330,533.0","349,627.0","346,846.0","344,018.0","317,767.0","285,966.0","281,105.0","199,626.0","246,663.0","278,864.0","280,473.0","251,584.0","279,545.0","277,052.0","289,112.0","292,797.0","307,579.0","348,577.0","359,482.0","413,797.0","428,713.0","455,075.0","475,315.0","544,452.0","578,500.0","640,902.0","679,673.0","695,470.0","723,991.0","775,976.0","759,124.0","725,096.0","685,312.0","711,627.0","664,843.0","607,434.0","479,682.0","478,642.0","469,072.0","510,506.0"
"39","20","  Wage and salary payments","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,803.0","2,719.0","2,583.0","2,655.0","2,588.0","2,536.0","2,180.0","2,096.0","1,909.0","1,917.0","1,713.0","1,909.0","2,062.0","2,218.0","2,298.0","2,630.0","3,286.0","3,370.0","3,482.0","3,778.0","3,608.0","3,936.0","4,104.0","4,516.0","4,716.0","4,752.0","4,704.0","4,872.0","4,847.0","5,091.0","5,139.0","5,483.0","5,779.0","5,983.0","5,991.0","6,079.0","6,211.0","6,251.0","6,251.0","6,363.0","6,046.0","6,246.0","6,286.0","6,646.0","6,431.0","6,607.0","6,735.0","6,915.0","6,754.0","6,838.0","7,070.0","7,338.0","7,822.0","7,942.0","8,022.0","8,058.0","7,522.0","7,518.0","7,366.0","7,694.0","8,030.0","8,030.0","8,090.0","8,226.0","8,383.0","8,527.0","8,183.0","8,447.0","8,594.0","8,286.0","8,505.0","8,681.0","8,728.0","8,928.0","8,860.0","9,364.0","9,116.0","9,208.0","9,464.0","9,400.0","9,432.0","9,412.0","9,388.0","9,752.0","9,716.0","10,068.0","10,100.0","10,396.0","10,364.0","10,292.0","10,308.0","10,516.0","10,204.0","9,992.0","9,976.0","10,028.0"
"40","21","  Income payments on assets","W161RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","89,815.0","92,690.0","87,801.0","92,478.0","95,256.0","99,891.0","105,188.0","110,898.0","117,739.0","120,734.0","130,159.0","136,960.0","145,241.0","153,940.0","150,388.0","146,229.0","149,963.0","149,684.0","154,365.0","148,429.0","145,046.0","136,903.0","133,674.0","121,135.0","119,205.0","121,794.0","116,794.0","113,795.0","110,158.0","118,687.0","115,362.0","131,357.0","130,896.0","145,249.0","162,561.0","177,542.0","183,017.0","190,380.0","202,501.0","197,474.0","195,440.0","202,471.0","212,315.0","221,198.0","240,052.0","244,951.0","255,599.0","256,914.0","257,156.0","263,057.0","264,872.0","262,551.0","262,569.0","273,154.0","295,603.0","303,490.0","323,011.0","342,110.0","339,482.0","336,324.0","309,734.0","277,930.0","273,008.0","191,393.0","238,272.0","270,329.0","272,283.0","243,130.0","270,951.0","268,773.0","280,608.0","284,111.0","298,854.0","339,647.0","350,626.0","404,427.0","419,594.0","445,865.0","465,852.0","535,054.0","569,073.0","631,494.0","670,282.0","685,718.0","714,274.0","765,909.0","749,023.0","714,702.0","674,953.0","701,338.0","654,533.0","596,916.0","469,476.0","468,647.0","459,093.0","500,474.0"
"41","22","    Interest","B1869C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","81,303.0","81,434.0","79,845.0","83,226.0","83,528.0","89,319.0","92,264.0","102,478.0","102,391.0","105,354.0","115,971.0","123,492.0","134,865.0","142,156.0","141,300.0","143,953.0","142,903.0","143,232.0","146,577.0","150,405.0","146,814.0","136,531.0","132,134.0","125,199.0","119,229.0","114,006.0","109,770.0","107,631.0","106,734.0","104,163.0","104,726.0","111,869.0","110,636.0","122,401.0","132,961.0","144,014.0","150,481.0","157,864.0","163,117.0","164,242.0","161,320.0","165,439.0","172,543.0","182,570.0","190,136.0","198,507.0","204,383.0","212,730.0","215,376.0","216,385.0","221,312.0","218,467.0","215,748.0","218,547.0","230,849.0","248,512.0","256,592.0","276,859.0","287,707.0","292,342.0","278,587.0","262,655.0","243,513.0","215,793.0","205,342.0","213,975.0","211,611.0","207,020.0","190,711.0","191,523.0","193,613.0","194,937.0","197,355.0","213,752.0","233,145.0","256,720.0","280,520.0","304,553.0","334,536.0","368,303.0","405,441.0","450,771.0","480,089.0","509,843.0","538,903.0","587,079.0","597,768.0","592,974.0","521,487.0","494,704.0","493,212.0","450,166.0","383,082.0","359,933.0","341,507.0","339,072.0"
"42","23","    Dividends","B3376C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,352.0","9,032.0","10,164.0","11,412.0","10,196.0","11,072.0","10,304.0","13,256.0","10,900.0","16,980.0","13,244.0","11,812.0","23,276.0","12,984.0","14,476.0","14,376.0","18,832.0","17,396.0","16,760.0","21,748.0","17,720.0","17,804.0","14,672.0","18,280.0","16,084.0","16,832.0","15,432.0","18,248.0","22,000.0","19,976.0","16,036.0","17,528.0","24,328.0","19,524.0","17,984.0","24,108.0","23,220.0","23,636.0","30,896.0","25,396.0","26,708.0","26,024.0","29,600.0","32,400.0","27,696.0","31,596.0","30,788.0","41,040.0","35,512.0","36,760.0","42,892.0","48,744.0","66,156.0","54,608.0","41,356.0","41,728.0","49,136.0","62,664.0","62,384.0","53,484.0","47,160.0","31,396.0","54,872.0","52,728.0","43,160.0","42,600.0","38,184.0","55,056.0","40,036.0","107,988.0","59,392.0","68,256.0","81,004.0","64,976.0","47,000.0","100,320.0","95,397.0","68,438.0","125,821.0","120,259.0","72,669.0","75,181.0","97,527.0","187,077.0","86,176.0","109,539.0","108,961.0","123,694.0","106,217.0","100,960.0","102,507.0","138,646.0","119,194.0","80,926.0","67,038.0","78,102.0"
"43","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-840.0","2,224.0","-2,208.0","-2,160.0","1,532.0","-500.0","2,620.0","-4,836.0","4,448.0","-1,600.0","944.0","1,656.0","-12,900.0","-1,200.0","-5,388.0","-12,100.0","-11,772.0","-10,944.0","-8,972.0","-23,724.0","-19,488.0","-17,432.0","-13,132.0","-22,344.0","-16,108.0","-9,044.0","-8,408.0","-12,084.0","-18,576.0","-5,452.0","-5,400.0","1,960.0","-4,068.0","3,324.0","11,616.0","9,420.0","9,316.0","8,880.0","8,488.0","7,836.0","7,412.0","11,008.0","10,172.0","6,228.0","22,220.0","14,848.0","20,428.0","3,144.0","6,268.0","9,912.0","668.0","-4,660.0","-19,335.0","-1.0","23,398.0","13,250.0","17,283.0","2,587.0","-10,609.0","-9,502.0","-16,013.0","-16,121.0","-25,377.0","-77,128.0","-10,230.0","13,754.0","22,488.0","-18,946.0","40,204.0","-30,738.0","27,603.0","20,918.0","20,495.0","60,919.0","70,481.0","47,387.0","43,677.0","72,874.0","5,495.0","46,492.0","90,963.0","105,542.0","92,666.0","-11,202.0","89,195.0","69,291.0","42,294.0","-1,966.0","47,249.0","105,674.0","58,814.0","8,104.0","-32,800.0","27,788.0","50,548.0","83,300.0"
