"","Table 5#7#5A# Private Inventories and Domestic Final Sales of Bu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"26","7","    Durable goods","B377RC1","12,068.0","12,422.0","12,870.0","13,010.0","13,179.0","13,456.0","14,263.0","14,697.0","14,821.0","13,893.0","13,252.0","12,910.0","13,065.0","13,538.0","14,298.0","15,831.0","17,100.0","18,481.0","19,964.0","20,749.0","21,615.0","21,484.0","21,814.0","22,216.0","22,876.0","23,692.0","24,348.0","23,984.0","23,287.0","22,532.0","22,267.0","22,410.0","22,646.0","23,238.0","24,458.0","25,512.0","26,750.0","27,739.0","28,193.0","29,027.0","29,378.0","29,482.0","29,967.0","29,398.0","28,497.0","27,474.0","27,603.0","28,019.0","28,447.0","29,312.0","29,405.0","29,926.0","30,948.0","30,982.0","31,359.0","30,388.0","29,725.0","29,487.0","30,230.0","30,662.0","31,653.0","31,973.0","32,666.0","32,555.0","33,008.0","33,507.0","33,911.0","33,787.0","34,324.0","34,755.0","35,556.0","36,693.0","37,611.0","38,455.0","39,802.0","40,458.0","41,880.0","43,383.0","45,969.0","47,929.0","49,904.0","50,627.0","51,872.0","53,269.0","54,009.0","54,536.0","55,643.0","56,414.0","58,080.0","58,692.0","59,997.0","61,826.0","62,068.0","62,453.0","63,602.0","63,507.0","63,930.0","63,868.0","63,962.0","63,188.0","64,040.0","64,685.0","66,141.0","66,827.0","69,751.0","72,917.0","75,988.0","80,191.0","84,935.0","93,195.0","99,920.0","104,924.0","106,323.0","105,730.0","104,443.0","103,961.0","105,278.0","107,986.0","111,330.0","114,832.0","116,879.0","118,624.0","121,602.0","123,590.0","127,809.0","133,141.0","138,212.0","144,185.0","152,695.0","160,490.0","166,444.0","174,442.0","183,527.0","186,355.0","187,887.0","192,710.0","198,479.0","200,972.0","206,450.0","205,904.0","207,159.0","205,897.0","204,215.0","200,206.0","193,449.0","195,007.0","197,900.0","202,160.0","209,271.0","218,740.0","227,705.0","231,680.0","230,639.0","228,888.0","226,652.0","222,820.0","220,304.0","218,656.0","217,061.0","214,694.0","212,541.0","214,287.0","218,279.0","224,660.0","229,179.0","234,211.0","239,058.0","246,886.0","254,079.0","256,791.0","258,606.0","257,830.0","258,969.0","260,119.0","262,298.0","261,963.0","258,676.0","251,751.0","248,241.0","245,972.0","242,602.0","239,898.0","238,667.0","235,085.0","234,975.0","236,647.0","237,850.0","237,919.0","240,910.0","244,033.0","246,720.0","251,130.0","256,858.0","258,627.0","259,831.0","260,097.0","260,552.0","260,493.0","262,435.0","263,502.0","264,153.0","265,697.0","267,357.0","270,509.0"
"27","8","    Nondurable goods","B378RC1","10,798.0","10,859.0","10,805.0","11,574.0","12,049.0","12,505.0","12,679.0","12,593.0","12,243.0","11,710.0","11,502.0","11,345.0","11,567.0","11,643.0","12,362.0","13,703.0","14,916.0","15,633.0","15,620.0","15,831.0","15,998.0","15,452.0","15,466.0","15,284.0","15,233.0","15,275.0","15,350.0","15,255.0","15,167.0","15,176.0","14,971.0","14,983.0","15,135.0","15,297.0","15,438.0","15,726.0","16,126.0","16,676.0","17,027.0","17,134.0","17,484.0","17,441.0","17,335.0","17,031.0","16,986.0","16,763.0","16,642.0","16,845.0","16,893.0","17,141.0","17,424.0","17,737.0","17,809.0","18,142.0","18,490.0","18,350.0","18,815.0","19,091.0","19,241.0","19,392.0","19,653.0","20,102.0","20,526.0","20,668.0","20,767.0","20,835.0","21,017.0","21,272.0","21,468.0","21,315.0","21,408.0","21,926.0","22,036.0","22,100.0","22,411.0","22,979.0","23,524.0","24,237.0","24,522.0","25,080.0","25,880.0","26,183.0","26,355.0","26,666.0","26,899.0","27,534.0","28,213.0","28,710.0","29,277.0","29,770.0","30,736.0","30,755.0","31,196.0","31,734.0","31,850.0","31,985.0","32,635.0","33,107.0","33,092.0","33,431.0","33,727.0","34,442.0","35,194.0","35,281.0","36,820.0","38,505.0","39,290.0","41,279.0","45,378.0","49,610.0","54,245.0","57,704.0","57,075.0","55,704.0","57,258.0","58,260.0","59,546.0","61,546.0","63,378.0","63,886.0","65,550.0","67,158.0","68,257.0","69,644.0","70,499.0","72,210.0","73,415.0","75,593.0","77,301.0","80,549.0","84,920.0","87,347.0","93,984.0","97,669.0","99,155.0","100,722.0","105,615.0","107,243.0","107,173.0","107,241.0","107,608.0","105,105.0","104,917.0","104,421.0","101,181.0","102,159.0","106,452.0","106,761.0","110,088.0","113,942.0","115,522.0","112,858.0","110,919.0","110,427.0","108,540.0","110,516.0","105,029.0","104,224.0","103,444.0","105,925.0","108,240.0","110,248.0","112,076.0","114,903.0","117,451.0","121,449.0","123,179.0","125,549.0","128,779.0","131,527.0","131,469.0","132,652.0","134,840.0","134,003.0","142,343.0","142,547.0","139,035.0","137,249.0","136,918.0","138,154.0","137,898.0","139,921.0","142,680.0","142,495.0","143,368.0","144,451.0","143,204.0","142,149.0","142,504.0","145,284.0","148,416.0","153,189.0","160,172.0","164,297.0","165,264.0","164,429.0","164,312.0","162,841.0","163,507.0","165,416.0","164,790.0","166,513.0","167,599.0","169,849.0"
"28","9","  Wholesale trade","A379RC1","8,420.0","8,615.0","8,582.0","8,655.0","8,842.0","9,025.0","9,586.0","9,599.0","9,453.0","9,177.0","9,153.0","9,543.0","9,406.0","9,807.0","10,327.0","11,275.0","11,935.0","12,271.0","12,082.0","11,952.0","11,766.0","11,620.0","11,870.0","12,014.0","12,035.0","12,156.0","12,327.0","12,143.0","12,341.0","12,449.0","12,399.0","12,354.0","12,488.0","12,856.0","13,129.0","13,397.0","13,588.0","13,760.0","14,165.0","14,431.0","14,527.0","14,643.0","14,779.0","14,664.0","14,659.0","14,700.0","14,688.0","14,826.0","15,104.0","15,659.0","15,912.0","16,525.0","16,918.0","17,107.0","16,996.0","16,855.0","16,971.0","16,954.0","17,141.0","17,298.0","17,456.0","17,754.0","17,810.0","17,995.0","18,124.0","18,572.0","19,131.0","19,471.0","19,728.0","20,173.0","20,464.0","20,763.0","21,413.0","22,001.0","22,364.0","22,469.0","23,349.0","23,933.0","24,568.0","25,807.0","26,408.0","26,423.0","27,312.0","28,083.0","28,401.0","28,956.0","29,245.0","29,346.0","30,325.0","31,156.0","31,904.0","32,539.0","33,568.0","34,288.0","35,251.0","36,413.0","36,883.0","37,949.0","38,394.0","39,361.0","39,773.0","40,806.0","42,032.0","43,145.0","45,286.0","47,068.0","48,900.0","51,745.0","55,912.0","59,775.0","63,237.0","66,860.0","65,979.0","64,971.0","66,508.0","66,477.0","67,700.0","70,803.0","73,240.0","74,058.0","77,129.0","78,627.0","80,523.0","84,013.0","88,539.0","91,896.0","94,068.0","98,960.0","104,428.0","109,436.0","114,900.0","119,536.0","126,854.0","131,585.0","136,034.0","139,415.0","147,278.0","147,738.0","148,762.0","148,802.0","148,618.0","149,502.0","149,362.0","147,936.0","146,488.0","145,144.0","150,377.0","153,386.0","158,076.0","162,070.0","167,434.0","169,142.0","171,084.0","172,781.0","172,662.0","175,928.0","176,060.0","178,593.0","181,972.0","181,952.0","183,810.0","187,785.0","188,746.0","195,810.0","201,884.0","207,979.0","212,796.0","213,906.0","216,306.0","220,792.0","221,414.0","222,776.0","225,661.0","229,234.0","235,221.0","236,755.0","236,866.0","232,678.0","234,461.0","239,156.0","239,845.0","243,459.0","244,922.0","248,311.0","250,882.0","251,802.0","255,036.0","258,601.0","259,330.0","265,308.0","272,008.0","281,529.0","290,934.0","297,425.0","301,107.0","303,733.0","305,408.0","306,227.0","305,271.0","305,161.0","309,568.0","315,177.0","318,166.0","323,830.0"
"29","10","    Durable goods","A380RC1","3,725.0","3,793.0","3,921.0","3,938.0","4,084.0","4,236.0","4,600.0","4,739.0","4,773.0","4,587.0","4,586.0","5,002.0","4,646.0","4,855.0","5,001.0","5,615.0","5,861.0","6,191.0","6,244.0","6,220.0","6,118.0","5,964.0","5,926.0","6,044.0","6,164.0","6,200.0","6,333.0","6,233.0","6,234.0","6,225.0","6,240.0","6,301.0","6,438.0","6,685.0","6,882.0","7,170.0","7,247.0","7,321.0","7,400.0","7,552.0","7,596.0","7,688.0","7,805.0","7,780.0","7,745.0","7,748.0","7,699.0","7,860.0","8,125.0","8,537.0","8,458.0","8,871.0","9,339.0","9,363.0","9,334.0","9,204.0","9,085.0","9,016.0","9,190.0","9,391.0","9,530.0","9,700.0","9,869.0","10,005.0","10,092.0","10,397.0","10,611.0","10,693.0","10,820.0","11,168.0","11,405.0","11,637.0","12,063.0","12,352.0","12,668.0","12,757.0","13,518.0","13,878.0","14,294.0","15,073.0","15,380.0","15,447.0","15,853.0","16,449.0","16,743.0","16,986.0","17,270.0","17,581.0","18,268.0","18,801.0","19,352.0","19,847.0","20,448.0","20,708.0","21,341.0","21,800.0","22,157.0","22,757.0","23,398.0","24,143.0","24,503.0","25,290.0","25,814.0","26,602.0","27,686.0","28,621.0","29,218.0","30,325.0","32,252.0","34,870.0","37,500.0","40,150.0","41,026.0","40,483.0","40,391.0","41,068.0","41,952.0","43,768.0","45,559.0","46,327.0","47,752.0","49,014.0","50,808.0","52,743.0","56,047.0","58,606.0","60,608.0","63,852.0","67,390.0","69,264.0","72,360.0","74,632.0","78,016.0","80,314.0","81,980.0","85,848.0","88,924.0","91,237.0","92,764.0","95,218.0","96,205.0","97,456.0","97,428.0","94,962.0","93,329.0","92,599.0","94,770.0","97,496.0","100,786.0","103,877.0","108,133.0","110,596.0","111,655.0","112,842.0","112,861.0","114,023.0","116,089.0","119,113.0","122,749.0","121,570.0","122,140.0","124,529.0","124,012.0","128,735.0","133,236.0","133,694.0","138,376.0","139,198.0","140,357.0","143,369.0","143,862.0","143,445.0","145,207.0","146,971.0","149,766.0","149,358.0","150,497.0","146,787.0","146,307.0","149,516.0","148,374.0","150,976.0","152,360.0","153,404.0","154,914.0","155,410.0","157,635.0","160,137.0","160,871.0","166,212.0","170,507.0","176,065.0","182,015.0","185,696.0","187,037.0","190,000.0","190,651.0","190,990.0","193,415.0","192,779.0","195,788.0","201,064.0","201,911.0","205,111.0"
"30","11","    Nondurable goods","A381RC1","4,695.0","4,822.0","4,661.0","4,717.0","4,758.0","4,789.0","4,986.0","4,860.0","4,680.0","4,590.0","4,567.0","4,541.0","4,760.0","4,952.0","5,326.0","5,660.0","6,074.0","6,080.0","5,838.0","5,732.0","5,648.0","5,656.0","5,944.0","5,970.0","5,871.0","5,956.0","5,994.0","5,910.0","6,107.0","6,224.0","6,159.0","6,053.0","6,050.0","6,171.0","6,247.0","6,227.0","6,341.0","6,439.0","6,765.0","6,879.0","6,931.0","6,955.0","6,974.0","6,884.0","6,914.0","6,952.0","6,989.0","6,966.0","6,979.0","7,122.0","7,454.0","7,654.0","7,579.0","7,744.0","7,662.0","7,651.0","7,886.0","7,938.0","7,951.0","7,907.0","7,926.0","8,054.0","7,941.0","7,990.0","8,032.0","8,175.0","8,520.0","8,778.0","8,908.0","9,005.0","9,059.0","9,126.0","9,350.0","9,649.0","9,696.0","9,712.0","9,831.0","10,055.0","10,274.0","10,734.0","11,028.0","10,976.0","11,459.0","11,634.0","11,658.0","11,970.0","11,975.0","11,765.0","12,057.0","12,355.0","12,552.0","12,692.0","13,120.0","13,580.0","13,910.0","14,613.0","14,726.0","15,192.0","14,996.0","15,218.0","15,270.0","15,516.0","16,218.0","16,543.0","17,600.0","18,447.0","19,682.0","21,420.0","23,660.0","24,905.0","25,737.0","26,710.0","24,953.0","24,488.0","26,117.0","25,409.0","25,748.0","27,035.0","27,681.0","27,731.0","29,377.0","29,613.0","29,715.0","31,270.0","32,492.0","33,290.0","33,460.0","35,108.0","37,038.0","40,172.0","42,540.0","44,904.0","48,838.0","51,271.0","54,054.0","53,567.0","58,354.0","56,501.0","55,998.0","53,584.0","52,413.0","52,046.0","51,934.0","52,974.0","53,159.0","52,545.0","55,607.0","55,890.0","57,290.0","58,193.0","59,301.0","58,546.0","59,429.0","59,939.0","59,801.0","61,905.0","59,971.0","59,480.0","59,223.0","60,382.0","61,670.0","63,256.0","64,734.0","67,075.0","68,648.0","74,285.0","74,420.0","74,708.0","75,949.0","77,423.0","77,552.0","79,331.0","80,454.0","82,263.0","85,455.0","87,397.0","86,369.0","85,891.0","88,154.0","89,640.0","91,471.0","92,483.0","92,562.0","94,907.0","95,968.0","96,392.0","97,401.0","98,464.0","98,459.0","99,096.0","101,501.0","105,464.0","108,919.0","111,729.0","114,070.0","113,733.0","114,757.0","115,237.0","111,856.0","112,382.0","113,780.0","114,113.0","116,255.0","118,719.0"
"31","12","      Merchant wholesalers","A802RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,650.0","9,852.0","10,256.0","10,529.0","11,009.0","11,285.0","11,331.0","11,235.0","11,182.0","11,302.0","11,241.0","11,391.0","11,417.0","11,487.0","11,694.0","11,622.0","11,736.0","11,816.0","12,163.0","12,625.0","12,921.0","13,132.0","13,542.0","13,797.0","14,042.0","14,686.0","15,161.0","15,486.0","15,561.0","16,352.0","16,769.0","17,238.0","18,269.0","18,647.0","18,540.0","19,361.0","19,973.0","20,300.0","20,806.0","21,102.0","21,163.0","21,956.0","22,682.0","23,307.0","23,796.0","24,773.0","25,369.0","26,295.0","27,302.0","27,644.0","28,683.0","29,164.0","30,155.0","30,491.0","31,433.0","32,462.0","33,461.0","35,201.0","36,493.0","38,153.0","40,418.0","43,729.0","46,788.0","49,299.0","51,972.0","50,521.0","49,616.0","50,827.0","50,659.0","51,716.0","54,287.0","56,053.0","56,729.0","59,196.0","60,426.0","62,378.0","65,630.0","70,146.0","73,522.0","75,301.0","79,335.0","84,221.0","87,679.0","91,472.0","94,522.0","99,144.0","102,342.0","107,550.0","110,989.0","115,507.0","115,824.0","116,883.0","119,320.0","118,790.0","121,139.0","120,306.0","118,935.0","118,549.0","117,223.0","121,220.0","124,098.0","128,281.0","131,268.0","135,966.0","137,668.0","139,709.0","141,320.0","142,101.0","145,112.0","146,921.0","149,639.0","153,208.0","152,606.0","154,314.0","158,595.0","159,393.0","165,739.0","171,498.0","177,166.0","181,859.0","181,847.0","183,449.0","186,981.0","187,263.0","188,856.0","190,878.0","194,434.0","198,884.0","200,106.0","201,609.0","198,420.0","199,703.0","204,193.0","205,396.0","208,601.0","209,257.0","213,379.0","215,761.0","216,981.0","220,400.0","223,848.0","223,982.0","229,639.0","235,443.0","243,902.0","252,175.0","257,392.0","260,722.0","262,624.0","263,333.0","264,231.0","262,755.0","262,445.0","267,269.0","272,996.0","275,822.0","280,652.0"
"32","13","        Durable goods","B803RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,518.0","5,742.0","6,036.0","6,015.0","6,318.0","6,681.0","6,628.0","6,591.0","6,516.0","6,434.0","6,345.0","6,484.0","6,597.0","6,654.0","6,752.0","6,835.0","6,941.0","6,975.0","7,173.0","7,326.0","7,398.0","7,502.0","7,841.0","8,066.0","8,262.0","8,676.0","8,878.0","9,159.0","9,218.0","9,885.0","10,159.0","10,420.0","11,045.0","11,193.0","11,188.0","11,519.0","11,996.0","12,242.0","12,484.0","12,735.0","12,986.0","13,518.0","13,986.0","14,421.0","14,777.0","15,350.0","15,569.0","16,159.0","16,571.0","16,916.0","17,519.0","18,159.0","18,913.0","19,196.0","19,917.0","20,345.0","21,065.0","21,962.0","22,646.0","23,081.0","24,077.0","25,699.0","28,049.0","30,165.0","32,212.0","32,758.0","32,098.0","31,935.0","32,606.0","33,368.0","34,896.0","36,261.0","36,556.0","37,972.0","39,217.0","40,990.0","42,782.0","45,748.0","48,065.0","49,854.0","52,591.0","55,362.0","56,831.0","59,642.0","61,657.0","64,653.0","66,663.0","68,385.0","71,903.0","74,454.0","76,446.0","77,314.0","79,473.0","80,209.0","81,347.0","81,107.0","79,130.0","77,627.0","76,588.0","78,516.0","80,917.0","84,124.0","86,614.0","90,277.0","92,360.0","93,300.0","94,228.0","94,490.0","95,952.0","97,987.0","100,966.0","104,379.0","103,039.0","103,801.0","106,377.0","105,934.0","110,153.0","114,360.0","114,700.0","119,141.0","119,185.0","120,167.0","122,973.0","123,015.0","122,823.0","124,207.0","125,611.0","128,546.0","128,195.0","129,548.0","126,314.0","125,464.0","128,783.0","128,010.0","130,686.0","131,682.0","133,390.0","134,925.0","135,514.0","137,607.0","139,556.0","139,780.0","145,076.0","148,874.0","153,677.0","158,966.0","161,956.0","162,901.0","165,298.0","165,538.0","165,936.0","168,021.0","167,619.0","170,642.0","175,723.0","176,691.0","179,089.0"
"33","14","        Nondurable goods","B804RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,132.0","4,110.0","4,220.0","4,514.0","4,691.0","4,604.0","4,703.0","4,644.0","4,666.0","4,868.0","4,896.0","4,907.0","4,820.0","4,833.0","4,942.0","4,787.0","4,795.0","4,841.0","4,990.0","5,299.0","5,523.0","5,630.0","5,701.0","5,731.0","5,780.0","6,010.0","6,283.0","6,327.0","6,343.0","6,467.0","6,610.0","6,818.0","7,224.0","7,454.0","7,352.0","7,842.0","7,977.0","8,058.0","8,322.0","8,367.0","8,177.0","8,438.0","8,696.0","8,886.0","9,019.0","9,423.0","9,800.0","10,136.0","10,731.0","10,728.0","11,164.0","11,005.0","11,242.0","11,295.0","11,516.0","12,117.0","12,396.0","13,239.0","13,847.0","15,072.0","16,341.0","18,030.0","18,739.0","19,134.0","19,760.0","17,763.0","17,518.0","18,892.0","18,053.0","18,348.0","19,391.0","19,792.0","20,173.0","21,224.0","21,209.0","21,388.0","22,848.0","24,398.0","25,457.0","25,447.0","26,744.0","28,859.0","30,848.0","31,830.0","32,865.0","34,491.0","35,679.0","39,165.0","39,086.0","41,053.0","39,378.0","39,569.0","39,847.0","38,581.0","39,792.0","39,199.0","39,805.0","40,922.0","40,635.0","42,704.0","43,181.0","44,157.0","44,654.0","45,689.0","45,308.0","46,409.0","47,092.0","47,611.0","49,160.0","48,934.0","48,673.0","48,829.0","49,567.0","50,513.0","52,218.0","53,459.0","55,586.0","57,138.0","62,466.0","62,718.0","62,662.0","63,282.0","64,008.0","64,248.0","66,033.0","66,671.0","68,823.0","70,338.0","71,911.0","72,061.0","72,106.0","74,239.0","75,410.0","77,386.0","77,915.0","77,575.0","79,989.0","80,836.0","81,467.0","82,793.0","84,292.0","84,202.0","84,563.0","86,569.0","90,225.0","93,209.0","95,436.0","97,821.0","97,326.0","97,795.0","98,295.0","94,734.0","94,826.0","96,627.0","97,273.0","99,131.0","101,563.0"
"34","15","      Nonmerchant wholesalers","A805RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,176.0","5,252.0","5,403.0","5,383.0","5,516.0","5,633.0","5,776.0","5,761.0","5,673.0","5,669.0","5,713.0","5,750.0","5,881.0","5,969.0","6,060.0","6,188.0","6,259.0","6,308.0","6,409.0","6,506.0","6,550.0","6,596.0","6,631.0","6,667.0","6,721.0","6,727.0","6,840.0","6,878.0","6,908.0","6,997.0","7,164.0","7,330.0","7,538.0","7,761.0","7,883.0","7,951.0","8,110.0","8,101.0","8,150.0","8,143.0","8,183.0","8,369.0","8,474.0","8,597.0","8,743.0","8,795.0","8,919.0","8,956.0","9,111.0","9,239.0","9,266.0","9,230.0","9,206.0","9,282.0","9,373.0","9,570.0","9,684.0","10,085.0","10,575.0","10,747.0","11,327.0","12,183.0","12,987.0","13,938.0","14,888.0","15,458.0","15,355.0","15,681.0","15,818.0","15,984.0","16,516.0","17,187.0","17,329.0","17,933.0","18,201.0","18,145.0","18,383.0","18,393.0","18,374.0","18,767.0","19,625.0","20,207.0","21,757.0","23,428.0","25,014.0","27,710.0","29,243.0","28,484.0","28,426.0","31,771.0","31,914.0","31,879.0","29,482.0","29,828.0","28,363.0","29,056.0","29,001.0","27,939.0","27,921.0","29,157.0","29,288.0","29,795.0","30,802.0","31,468.0","31,474.0","31,375.0","31,461.0","30,561.0","30,816.0","29,139.0","28,954.0","28,764.0","29,346.0","29,496.0","29,190.0","29,353.0","30,071.0","30,386.0","30,813.0","30,937.0","32,059.0","32,857.0","33,811.0","34,151.0","33,920.0","34,783.0","34,800.0","36,337.0","36,649.0","35,257.0","34,258.0","34,758.0","34,963.0","34,449.0","34,858.0","35,665.0","34,932.0","35,121.0","34,821.0","34,636.0","34,753.0","35,348.0","35,669.0","36,565.0","37,627.0","38,759.0","40,033.0","40,385.0","41,109.0","42,075.0","41,996.0","42,516.0","42,716.0","42,299.0","42,181.0","42,344.0","43,178.0"
"35","16","        Durable goods","B806RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,342.0","2,383.0","2,501.0","2,443.0","2,553.0","2,658.0","2,735.0","2,743.0","2,688.0","2,651.0","2,671.0","2,706.0","2,794.0","2,876.0","2,948.0","3,034.0","3,064.0","3,117.0","3,224.0","3,285.0","3,295.0","3,318.0","3,327.0","3,339.0","3,375.0","3,387.0","3,474.0","3,509.0","3,539.0","3,633.0","3,719.0","3,874.0","4,028.0","4,187.0","4,259.0","4,334.0","4,453.0","4,501.0","4,502.0","4,535.0","4,595.0","4,750.0","4,815.0","4,931.0","5,070.0","5,098.0","5,139.0","5,182.0","5,229.0","5,241.0","5,238.0","5,239.0","5,230.0","5,307.0","5,373.0","5,469.0","5,537.0","5,724.0","5,975.0","6,137.0","6,248.0","6,553.0","6,821.0","7,335.0","7,938.0","8,268.0","8,385.0","8,456.0","8,462.0","8,584.0","8,872.0","9,298.0","9,771.0","9,780.0","9,797.0","9,818.0","9,961.0","10,299.0","10,541.0","10,754.0","11,261.0","12,028.0","12,433.0","12,718.0","12,975.0","13,363.0","13,651.0","13,595.0","13,945.0","14,470.0","14,791.0","15,450.0","15,745.0","15,996.0","16,109.0","16,321.0","15,832.0","15,702.0","16,011.0","16,254.0","16,579.0","16,662.0","17,263.0","17,856.0","18,236.0","18,355.0","18,614.0","18,371.0","18,071.0","18,102.0","18,147.0","18,370.0","18,531.0","18,339.0","18,152.0","18,078.0","18,582.0","18,876.0","18,994.0","19,235.0","20,013.0","20,190.0","20,396.0","20,847.0","20,622.0","21,000.0","21,360.0","21,220.0","21,163.0","20,949.0","20,473.0","20,843.0","20,733.0","20,364.0","20,290.0","20,678.0","20,014.0","19,989.0","19,896.0","20,028.0","20,581.0","21,091.0","21,136.0","21,633.0","22,388.0","23,049.0","23,740.0","24,136.0","24,702.0","25,113.0","25,054.0","25,394.0","25,160.0","25,146.0","25,341.0","25,220.0","26,022.0"
"36","17","        Nondurable goods","B807RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,834.0","2,869.0","2,902.0","2,940.0","2,963.0","2,975.0","3,041.0","3,018.0","2,985.0","3,018.0","3,042.0","3,044.0","3,087.0","3,093.0","3,112.0","3,154.0","3,195.0","3,191.0","3,185.0","3,221.0","3,255.0","3,278.0","3,304.0","3,328.0","3,346.0","3,340.0","3,366.0","3,369.0","3,369.0","3,364.0","3,445.0","3,456.0","3,510.0","3,574.0","3,624.0","3,617.0","3,657.0","3,600.0","3,648.0","3,608.0","3,588.0","3,619.0","3,659.0","3,666.0","3,673.0","3,697.0","3,780.0","3,774.0","3,882.0","3,998.0","4,028.0","3,991.0","3,976.0","3,975.0","4,000.0","4,101.0","4,147.0","4,361.0","4,600.0","4,610.0","5,079.0","5,630.0","6,166.0","6,603.0","6,950.0","7,190.0","6,970.0","7,225.0","7,356.0","7,400.0","7,644.0","7,889.0","7,558.0","8,153.0","8,404.0","8,327.0","8,422.0","8,094.0","7,833.0","8,013.0","8,364.0","8,179.0","9,324.0","10,710.0","12,039.0","14,347.0","15,592.0","14,889.0","14,481.0","17,301.0","17,123.0","16,429.0","13,737.0","13,832.0","12,254.0","12,735.0","13,169.0","12,237.0","11,910.0","12,903.0","12,709.0","13,133.0","13,539.0","13,612.0","13,238.0","13,020.0","12,847.0","12,190.0","12,745.0","11,037.0","10,807.0","10,394.0","10,815.0","11,157.0","11,038.0","11,275.0","11,489.0","11,510.0","11,819.0","11,702.0","12,046.0","12,667.0","13,415.0","13,304.0","13,298.0","13,783.0","13,440.0","15,117.0","15,486.0","14,308.0","13,785.0","13,915.0","14,230.0","14,085.0","14,568.0","14,987.0","14,918.0","15,132.0","14,925.0","14,608.0","14,172.0","14,257.0","14,533.0","14,932.0","15,239.0","15,710.0","16,293.0","16,249.0","16,407.0","16,962.0","16,942.0","17,122.0","17,556.0","17,153.0","16,840.0","17,124.0","17,156.0"
