"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"43","24","      Gross output of general government","W085RX1","436,245.0","433,681.0","431,730.0","417,671.0","421,567.0","428,520.0","422,152.0","424,559.0","412,526.0","423,452.0","414,731.0","417,128.0","395,499.0","407,616.0","410,694.0","407,696.0","404,772.0","401,940.0","413,766.0","425,310.0","398,782.0","417,428.0","407,534.0","407,001.0","418,848.0","419,692.0","422,933.0","429,516.0","439,931.0","445,433.0","453,380.0","464,124.0","460,032.0","501,675.0","493,112.0","501,407.0","509,858.0","511,764.0","524,787.0","510,252.0","518,009.0","519,025.0","532,734.0","511,016.0","524,578.0","522,344.0","522,516.0","529,001.0","520,804.0","527,466.0","542,319.0","541,618.0","549,987.0","553,203.0","578,771.0","583,408.0","576,447.0","593,246.0","604,755.0","602,774.0","604,008.0"
"44","25","        Value added","W086RX1","301,574.0","298,898.0","296,039.0","290,715.0","288,971.0","288,362.0","286,823.0","283,218.0","281,243.0","278,968.0","278,101.0","275,135.0","273,464.0","271,255.0","270,828.0","268,027.0","266,173.0","265,074.0","265,477.0","265,010.0","263,076.0","263,917.0","263,821.0","263,148.0","263,853.0","264,091.0","264,334.0","264,335.0","267,412.0","269,279.0","270,226.0","269,445.0","274,177.0","277,159.0","277,872.0","278,083.0","280,821.0","280,243.0","282,582.0","284,110.0","284,611.0","283,830.0","284,237.0","284,893.0","281,755.0","281,379.0","284,093.0","284,712.0","282,843.0","282,466.0","285,651.0","286,901.0","289,673.0","292,622.0","298,456.0","302,593.0","305,980.0","312,272.0","318,551.0","323,355.0","325,465.0"
"45","26","          Compensation of general government employees","B237RX1","232,402.0","229,784.0","226,928.0","221,320.0","219,739.0","219,486.0","218,120.0","214,491.0","212,654.0","210,519.0","209,951.0","207,122.0","205,733.0","203,690.0","203,562.0","200,779.0","199,002.0","198,031.0","198,690.0","198,391.0","196,485.0","197,586.0","197,629.0","197,106.0","198,092.0","198,477.0","198,860.0","198,937.0","202,197.0","204,115.0","205,037.0","204,103.0","208,803.0","211,606.0","212,104.0","212,006.0","214,455.0","213,523.0","215,469.0","216,586.0","216,633.0","215,407.0","215,312.0","215,471.0","211,889.0","211,026.0","213,232.0","213,373.0","211,055.0","210,078.0","212,494.0","212,855.0","214,565.0","216,731.0","222,002.0","225,839.0","228,160.0","233,117.0","237,856.0","240,276.0","241,243.0"
"46","27","          Consumption of general government fixed capital \2\","B432RX1","70,584.0","70,321.0","70,077.0","69,818.0","69,577.0","69,291.0","69,058.0","68,802.0","68,559.0","68,296.0","68,022.0","67,714.0","67,397.0","67,128.0","66,885.0","66,683.0","66,506.0","66,343.0","66,180.0","66,029.0","65,888.0","65,743.0","65,631.0","65,477.0","65,299.0","65,197.0","65,102.0","65,042.0","65,022.0","65,049.0","65,107.0","65,218.0","65,372.0","65,598.0","65,811.0","66,099.0","66,407.0","66,740.0","67,137.0","67,541.0","67,982.0","68,424.0","68,924.0","69,418.0","69,880.0","70,386.0","70,889.0","71,372.0","71,855.0","72,498.0","73,264.0","74,184.0","75,268.0","76,053.0","76,566.0","76,830.0","77,910.0","79,223.0","80,760.0","83,258.0","84,470.0"
"47","28","        Intermediate goods and services purchased \3\","W087RX1","140,786.0","140,696.0","141,287.0","133,121.0","138,051.0","144,843.0","140,360.0","145,577.0","136,323.0","148,238.0","141,018.0","145,705.0","127,353.0","140,374.0","143,558.0","143,220.0","142,139.0","140,474.0","151,109.0","162,192.0","139,246.0","155,884.0","146,766.0","146,874.0","157,269.0","157,854.0","160,665.0","166,843.0","173,934.0","177,466.0","184,176.0","195,184.0","186,712.0","224,507.0","215,473.0","223,371.0","229,051.0","231,521.0","242,118.0","226,246.0","233,427.0","235,193.0","248,449.0","226,143.0","242,911.0","241,011.0","238,415.0","244,293.0","237,857.0","245,077.0","256,943.0","254,948.0","260,608.0","260,861.0","280,612.0","281,107.0","270,454.0","281,125.0","286,346.0","279,262.0","278,300.0"
"48","29","          Durable goods","A998RX1","22,503.0","20,299.0","24,399.0","19,509.0","20,126.0","22,847.0","22,645.0","20,424.0","21,105.0","22,716.0","21,005.0","21,556.0","20,666.0","21,143.0","22,963.0","22,326.0","20,799.0","23,642.0","25,284.0","22,810.0","23,194.0","23,062.0","23,172.0","22,191.0","21,653.0","23,480.0","24,942.0","22,188.0","22,555.0","23,832.0","25,485.0","24,188.0","23,501.0","27,108.0","27,313.0","27,456.0","27,830.0","29,695.0","30,188.0","29,191.0","28,384.0","29,197.0","30,326.0","30,285.0","31,019.0","31,098.0","32,244.0","33,712.0","32,429.0","34,307.0","36,565.0","37,405.0","38,414.0","40,912.0","43,137.0","44,124.0","40,963.0","44,810.0","48,019.0","45,672.0","44,005.0"
"49","30","          Nondurable goods","A725RX1","11,035.0","11,237.0","11,057.0","9,820.0","11,582.0","12,469.0","12,465.0","11,127.0","12,334.0","11,445.0","12,223.0","11,981.0","11,983.0","11,750.0","13,325.0","12,514.0","12,175.0","13,452.0","16,230.0","13,543.0","16,114.0","15,424.0","13,400.0","13,185.0","13,800.0","15,315.0","14,514.0","16,153.0","16,119.0","17,414.0","16,480.0","18,277.0","19,302.0","19,202.0","15,466.0","18,113.0","21,618.0","20,803.0","22,966.0","17,640.0","19,770.0","21,601.0","22,233.0","19,952.0","20,071.0","19,433.0","21,811.0","19,201.0","21,107.0","20,914.0","22,270.0","19,185.0","20,166.0","21,204.0","22,178.0","22,803.0","21,949.0","23,657.0","23,185.0","20,053.0","20,040.0"
"50","31","          Services","A489RX1","106,263.0","108,773.0","104,412.0","103,149.0","106,006.0","108,823.0","104,534.0","113,658.0","102,424.0","113,257.0","107,445.0","111,692.0","94,334.0","106,940.0","106,884.0","107,822.0","108,729.0","102,909.0","109,626.0","125,538.0","100,072.0","117,459.0","109,856.0","111,241.0","121,715.0","119,036.0","120,855.0","128,747.0","135,373.0","136,544.0","142,099.0","152,972.0","144,470.0","178,177.0","171,926.0","177,436.0","179,839.0","180,972.0","189,070.0","179,161.0","185,176.0","184,401.0","195,916.0","175,971.0","191,942.0","190,623.0","184,249.0","191,418.0","184,264.0","189,824.0","198,080.0","198,833.0","202,485.0","199,066.0","215,897.0","214,724.0","207,977.0","213,313.0","215,932.0","214,291.0","214,903.0"
"51","32","      Less: Own-account investment \4\","W088RX1","2,459.0","2,287.0","2,322.0","2,106.0","2,100.0","2,112.0","2,205.0","2,090.0","2,319.0","2,167.0","1,895.0","1,731.0","1,988.0","2,217.0","1,977.0","1,535.0","1,147.0","2,074.0","1,939.0","1,761.0","1,387.0","1,422.0","1,437.0","1,482.0","1,825.0","1,678.0","1,731.0","2,072.0","2,358.0","2,434.0","2,460.0","2,528.0","2,385.0","2,391.0","2,276.0","2,376.0","2,095.0","2,179.0","2,194.0","2,219.0","2,030.0","2,048.0","2,060.0","2,082.0","1,983.0","1,997.0","2,013.0","2,052.0","1,966.0","1,927.0","1,902.0","1,877.0","1,995.0","2,009.0","2,029.0","1,993.0","2,235.0","2,275.0","2,315.0","2,356.0","2,502.0"
"52","33","            Sales to other sectors","W089RX1","3,742.0","2,546.0","2,326.0","3,427.0","2,842.0","3,394.0","4,203.0","3,643.0","2,396.0","3,134.0","2,667.0","2,538.0","3,018.0","815.0","3,646.0","1,351.0","1,007.0","1,972.0","3,472.0","2,125.0","3,969.0","1,647.0","2,656.0","1,251.0","3,634.0","1,686.0","1,996.0","2,190.0","1,879.0","1,460.0","4,368.0","2,055.0","2,251.0","3,073.0","3,174.0","1,968.0","2,193.0","2,555.0","3,678.0","2,137.0","3,470.0","3,423.0","3,797.0","2,526.0","3,416.0","4,422.0","3,779.0","2,480.0","4,225.0","3,306.0","4,565.0","3,029.0","2,631.0","2,759.0","2,691.0","2,716.0","2,706.0","2,717.0","2,806.0","2,719.0","2,836.0"
"53","34","    Nondefense consumption expenditures \1\","A542RX1","204,239.0","203,894.0","204,095.0","192,549.0","194,887.0","197,383.0","194,843.0","197,807.0","202,331.0","203,734.0","203,536.0","203,006.0","203,147.0","204,156.0","193,486.0","204,160.0","203,545.0","201,131.0","202,916.0","203,896.0","209,197.0","217,042.0","212,807.0","210,723.0","217,012.0","225,517.0","226,355.0","227,860.0","232,922.0","239,192.0","242,403.0","244,259.0","249,097.0","242,882.0","250,358.0","246,185.0","249,099.0","249,788.0","248,785.0","252,962.0","251,430.0","247,872.0","249,883.0","254,819.0","264,429.0","257,254.0","259,047.0","249,157.0","249,673.0","252,123.0","256,788.0","262,233.0","268,402.0","273,842.0","273,272.0","278,437.0","280,111.0","283,957.0","288,334.0","294,312.0","295,337.0"
"54","35","      Gross output of general government","W128RX1","214,428.0","213,025.0","213,630.0","203,376.0","203,844.0","206,691.0","205,873.0","207,197.0","210,490.0","211,401.0","210,212.0","209,972.0","210,338.0","211,366.0","210,387.0","210,123.0","209,350.0","209,446.0","210,118.0","210,494.0","216,022.0","224,414.0","219,872.0","221,845.0","223,101.0","232,209.0","232,758.0","235,223.0","239,839.0","244,610.0","247,860.0","249,598.0","254,314.0","249,496.0","256,195.0","252,143.0","254,565.0","255,348.0","255,630.0","260,285.0","259,873.0","254,408.0","258,593.0","264,626.0","271,430.0","264,214.0","266,113.0","255,446.0","255,513.0","258,750.0","263,298.0","268,440.0","274,809.0","280,336.0","282,494.0","285,584.0","288,082.0","292,309.0","296,955.0","303,061.0","304,430.0"
"55","36","        Value added","W129RX1","140,449.0","141,596.0","141,513.0","131,933.0","134,169.0","138,694.0","137,907.0","136,485.0","137,332.0","138,008.0","137,700.0","135,944.0","137,653.0","139,307.0","139,975.0","142,327.0","144,007.0","141,843.0","140,428.0","140,854.0","145,456.0","152,790.0","145,468.0","144,069.0","146,926.0","148,491.0","148,741.0","147,408.0","148,932.0","149,900.0","151,626.0","153,798.0","154,507.0","155,078.0","154,633.0","154,377.0","153,732.0","153,832.0","153,344.0","154,617.0","154,729.0","154,327.0","153,642.0","154,702.0","154,664.0","155,196.0","156,270.0","155,756.0","156,592.0","156,482.0","157,711.0","158,495.0","160,591.0","162,550.0","163,872.0","166,539.0","168,677.0","171,785.0","173,653.0","174,575.0","178,431.0"
"56","37","          Compensation of general government employees","W130RX1","125,435.0","126,483.0","126,172.0","115,639.0","117,734.0","122,297.0","121,150.0","119,357.0","119,941.0","120,349.0","119,728.0","117,568.0","119,099.0","120,466.0","120,773.0","122,800.0","124,046.0","121,285.0","119,362.0","119,371.0","123,744.0","131,009.0","123,038.0","121,285.0","124,054.0","125,427.0","125,459.0","123,861.0","125,193.0","125,988.0","127,583.0","129,666.0","130,263.0","130,720.0","130,167.0","129,785.0","129,053.0","129,032.0","128,394.0","129,502.0","129,438.0","128,832.0","127,940.0","128,758.0","128,400.0","128,644.0","129,423.0","128,648.0","129,268.0","128,903.0","129,816.0","130,268.0","131,975.0","133,631.0","134,770.0","137,319.0","139,027.0","141,671.0","143,040.0","143,168.0","146,683.0"
"57","38","          Consumption of general government fixed capital \2\","B546RX1","16,976.0","17,099.0","17,245.0","17,413.0","17,623.0","17,812.0","18,026.0","18,220.0","18,444.0","18,665.0","18,877.0","19,096.0","19,300.0","19,580.0","19,874.0","20,207.0","20,593.0","20,967.0","21,310.0","21,652.0","21,989.0","22,294.0","22,562.0","22,804.0","22,963.0","23,167.0","23,355.0","23,538.0","23,744.0","23,918.0","24,067.0","24,188.0","24,293.0","24,402.0","24,494.0","24,607.0","24,686.0","24,807.0","24,954.0","25,119.0","25,292.0","25,495.0","25,701.0","25,943.0","26,266.0","26,559.0","26,856.0","27,122.0","27,342.0","27,610.0","27,933.0","28,274.0","28,665.0","28,967.0","29,147.0","29,246.0","29,682.0","30,138.0","30,653.0","31,503.0","31,813.0"
"58","39","        Intermediate goods and services purchased \3\","W131RX1","74,507.0","72,327.0","72,945.0","71,817.0","70,327.0","69,055.0","68,997.0","71,397.0","73,660.0","73,912.0","73,100.0","74,413.0","73,272.0","72,772.0","71,273.0","68,947.0","66,710.0","68,721.0","70,621.0","70,586.0","71,622.0","72,883.0","75,263.0","78,435.0","77,013.0","84,180.0","84,468.0","88,024.0","91,038.0","94,757.0","96,269.0","95,913.0","99,819.0","94,534.0","101,544.0","97,810.0","100,839.0","101,516.0","102,285.0","105,660.0","105,135.0","100,071.0","104,954.0","109,940.0","116,822.0","109,020.0","109,844.0","99,658.0","98,848.0","102,226.0","105,552.0","109,924.0","114,214.0","117,793.0","118,631.0","119,062.0","119,414.0","120,516.0","123,309.0","128,518.0","126,006.0"
"59","40","          Durable goods","A543RX1","1,177.0","1,127.0","1,182.0","1,224.0","1,289.0","1,322.0","1,396.0","1,428.0","1,425.0","1,430.0","1,473.0","1,445.0","1,466.0","1,479.0","1,419.0","1,418.0","1,526.0","1,600.0","1,611.0","1,591.0","1,606.0","1,651.0","1,708.0","1,789.0","1,717.0","1,791.0","1,848.0","1,904.0","2,145.0","2,172.0","2,232.0","2,250.0","2,169.0","2,117.0","2,178.0","2,152.0","2,232.0","2,419.0","2,451.0","2,546.0","2,585.0","2,705.0","2,850.0","2,980.0","3,170.0","2,943.0","2,966.0","2,801.0","2,833.0","2,952.0","3,111.0","3,217.0","3,362.0","3,460.0","3,463.0","3,571.0","3,556.0","3,604.0","3,763.0","3,851.0","3,954.0"
"60","41","          Nondurable goods","A729RX1","12,148.0","11,016.0","11,622.0","11,414.0","10,339.0","10,111.0","10,258.0","10,456.0","12,041.0","12,247.0","12,406.0","12,443.0","13,682.0","13,660.0","13,581.0","13,543.0","9,827.0","9,925.0","9,712.0","9,315.0","10,453.0","10,456.0","11,412.0","12,329.0","13,388.0","16,096.0","14,060.0","14,799.0","14,226.0","15,572.0","14,915.0","14,717.0","14,504.0","16,693.0","17,255.0","17,554.0","17,848.0","17,887.0","16,703.0","19,123.0","21,673.0","17,081.0","19,174.0","20,975.0","20,681.0","18,972.0","18,420.0","17,205.0","16,871.0","17,709.0","18,327.0","19,266.0","20,099.0","20,523.0","20,113.0","20,139.0","21,629.0","22,430.0","21,328.0","22,252.0","21,759.0"
"61","42","            Commodity Credit Corporation inventory change","B826RX1","344.0","-592.0","-32.0","-34.0","-18.0","-190.0","-207.0","-118.0","31.0","-68.0","-61.0","42.0","83.0","183.0","273.0","80.0","75.0","290.0","215.0","-74.0","622.0","599.0","787.0","1,254.0","829.0","2,937.0","-165.0","-361.0","-162.0","570.0","144.0","-270.0","-381.0","258.0","-316.0","-168.0","-1,073.0","-591.0","-1,719.0","-429.0","1,401.0","-2,845.0","-768.0","79.0","-277.0","28.0","-20.0","-7.0","-71.0","-118.0","27.0","1.0","24.0","-902.0","52.0","-59.0","-321.0","-282.0","-304.0","117.0","-738.0"
"62","43","            Other nondurable goods","B828RX1","11,804.0","11,608.0","11,654.0","11,448.0","10,357.0","10,301.0","10,465.0","10,574.0","12,010.0","12,316.0","12,467.0","12,401.0","13,599.0","13,478.0","13,308.0","13,463.0","9,753.0","9,635.0","9,497.0","9,388.0","9,830.0","9,857.0","10,625.0","11,075.0","12,559.0","13,159.0","14,225.0","15,160.0","14,388.0","15,002.0","14,771.0","14,988.0","14,885.0","16,435.0","17,570.0","17,722.0","18,921.0","18,478.0","18,422.0","19,552.0","20,273.0","19,926.0","19,942.0","20,896.0","20,958.0","18,944.0","18,439.0","17,212.0","16,942.0","17,827.0","18,300.0","19,265.0","20,075.0","21,426.0","20,061.0","20,199.0","21,950.0","22,712.0","21,633.0","22,135.0","22,497.0"
"63","44","          Services","A544RX1","61,453.0","61,079.0","60,562.0","59,566.0","58,921.0","58,026.0","57,701.0","59,817.0","60,425.0","60,544.0","59,510.0","60,759.0","58,355.0","57,818.0","56,461.0","54,274.0","55,422.0","57,185.0","59,316.0","59,765.0","59,464.0","60,674.0","62,010.0","64,229.0","61,885.0","66,297.0","68,548.0","71,105.0","74,511.0","76,886.0","78,987.0","78,767.0","83,020.0","75,657.0","82,068.0","78,025.0","80,906.0","81,233.0","83,228.0","83,898.0","80,798.0","80,341.0","82,956.0","85,980.0","92,992.0","87,099.0","88,488.0","79,671.0","79,184.0","81,615.0","84,154.0","87,409.0","90,610.0","93,965.0","94,896.0","95,194.0","94,211.0","94,614.0","98,558.0","102,690.0","100,734.0"
"64","45","      Less: Own-account investment \4\","W136RX1","4,005.0","3,830.0","4,132.0","3,479.0","3,495.0","3,657.0","3,921.0","3,582.0","3,965.0","3,700.0","3,377.0","2,956.0","3,652.0","4,051.0","3,808.0","2,886.0","2,178.0","3,788.0","3,713.0","3,204.0","2,471.0","2,578.0","2,703.0","2,658.0","3,139.0","3,427.0","3,130.0","2,797.0","2,688.0","2,661.0","2,823.0","2,604.0","2,449.0","2,518.0","2,414.0","2,633.0","2,426.0","2,491.0","2,599.0","2,458.0","2,532.0","2,588.0","2,652.0","2,580.0","2,513.0","2,526.0","2,599.0","2,561.0","2,456.0","2,442.0","2,513.0","2,405.0","2,573.0","2,616.0","2,755.0","2,853.0","2,934.0","2,837.0","2,926.0","2,869.0","2,997.0"
"65","46","            Sales to other sectors","W137RX1","6,023.0","5,172.0","5,292.0","7,161.0","5,328.0","5,525.0","6,899.0","5,663.0","4,190.0","3,951.0","3,296.0","3,940.0","3,506.0","3,148.0","12,822.0","2,992.0","3,517.0","4,451.0","3,447.0","3,359.0","4,294.0","4,723.0","4,306.0","8,216.0","2,928.0","3,227.0","3,233.0","4,512.0","4,187.0","2,721.0","2,605.0","2,707.0","2,736.0","4,071.0","3,389.0","3,282.0","2,991.0","3,021.0","4,229.0","4,863.0","5,914.0","3,943.0","6,064.0","7,223.0","4,485.0","4,436.0","4,470.0","3,726.0","3,367.0","4,182.0","3,994.0","3,814.0","3,869.0","3,930.0","6,479.0","4,206.0","5,004.0","5,517.0","5,704.0","5,894.0","6,123.0"
"66","47","State and local consumption expenditures \1\","A991RX1","976,265.0","981,001.0","984,906.0","989,915.0","989,528.0","1,000,663.0","1,004,090.0","1,009,894.0","1,014,845.0","1,022,469.0","1,031,876.0","1,041,733.0","1,053,755.0","1,065,914.0","1,077,178.0","1,086,197.0","1,096,704.0","1,105,173.0","1,114,044.0","1,121,959.0","1,124,967.0","1,130,813.0","1,136,121.0","1,142,899.0","1,153,970.0","1,166,137.0","1,178,783.0","1,191,664.0","1,203,322.0","1,211,137.0","1,215,577.0","1,215,057.0","1,211,419.0","1,208,792.0","1,205,735.0","1,204,135.0","1,205,980.0","1,207,204.0","1,207,180.0","1,209,132.0","1,210,203.0","1,210,732.0","1,213,720.0","1,213,461.0","1,214,056.0","1,216,537.0","1,222,311.0","1,229,983.0","1,235,636.0","1,242,255.0","1,245,115.0","1,247,408.0","1,249,638.0","1,250,135.0","1,252,523.0","1,253,611.0","1,252,310.0","1,252,704.0","1,246,550.0","1,246,100.0","1,242,894.0"
"67","48","      Gross output of general government","W138RX1","1,217,375.0","1,223,806.0","1,228,956.0","1,235,332.0","1,235,760.0","1,247,633.0","1,252,033.0","1,260,000.0","1,269,007.0","1,278,164.0","1,289,856.0","1,302,611.0","1,315,930.0","1,330,102.0","1,343,321.0","1,353,370.0","1,365,198.0","1,375,543.0","1,386,244.0","1,397,790.0","1,405,170.0","1,413,873.0","1,423,158.0","1,433,801.0","1,450,514.0","1,466,721.0","1,481,010.0","1,495,691.0","1,507,587.0","1,515,534.0","1,520,115.0","1,519,517.0","1,515,087.0","1,512,320.0","1,509,994.0","1,508,771.0","1,511,819.0","1,513,924.0","1,514,151.0","1,516,390.0","1,517,505.0","1,518,345.0","1,521,483.0","1,522,110.0","1,522,930.0","1,526,962.0","1,533,795.0","1,542,963.0","1,550,369.0","1,559,366.0","1,564,603.0","1,569,089.0","1,574,770.0","1,576,826.0","1,579,784.0","1,580,242.0","1,578,599.0","1,579,821.0","1,573,428.0","1,572,307.0","1,568,372.0"
"68","49","        Value added","W139RX1","850,428.0","853,552.0","856,179.0","860,352.0","859,240.0","868,866.0","870,592.0","874,807.0","878,546.0","882,596.0","887,896.0","893,270.0","898,074.0","903,168.0","907,404.0","909,727.0","912,537.0","916,141.0","921,678.0","927,746.0","932,879.0","937,150.0","941,017.0","944,860.0","950,616.0","957,973.0","965,287.0","971,411.0","975,549.0","980,353.0","983,600.0","984,099.0","986,440.0","986,876.0","986,594.0","986,783.0","988,237.0","990,569.0","991,416.0","993,740.0","995,599.0","996,585.0","999,584.0","999,163.0","1,001,199.0","1,003,547.0","1,008,316.0","1,013,086.0","1,017,549.0","1,022,918.0","1,025,222.0","1,029,286.0","1,034,588.0","1,037,606.0","1,040,400.0","1,040,619.0","1,039,662.0","1,040,329.0","1,036,167.0","1,036,072.0","1,033,723.0"
"69","50","          Compensation of general government employees","B251RX1","775,651.0","778,009.0","779,858.0","783,275.0","781,319.0","790,260.0","791,130.0","794,497.0","797,422.0","800,528.0","804,850.0","809,197.0","812,898.0","816,889.0","819,990.0","821,138.0","822,787.0","825,227.0","829,619.0","834,549.0","838,517.0","841,649.0","844,394.0","847,144.0","851,854.0","858,159.0","864,450.0","869,576.0","872,738.0","876,602.0","878,941.0","878,567.0","880,083.0","879,702.0","878,617.0","878,007.0","878,228.0","879,492.0","879,440.0","881,013.0","882,254.0","882,577.0","884,856.0","883,665.0","884,900.0","886,421.0","890,350.0","894,265.0","897,854.0","902,347.0","903,759.0","906,937.0","911,352.0","913,496.0","915,429.0","914,784.0","912,972.0","912,709.0","907,519.0","906,345.0","902,832.0"
"70","51","          Consumption of general government fixed capital \2\","B986RX1","76,451.0","77,146.0","77,844.0","78,546.0","79,245.0","79,972.0","80,725.0","81,511.0","82,261.0","83,127.0","84,043.0","85,004.0","86,024.0","87,052.0","88,102.0","89,167.0","90,234.0","91,319.0","92,409.0","93,501.0","94,609.0","95,687.0","96,746.0","97,786.0","98,802.0","99,838.0","100,847.0","101,826.0","102,774.0","103,694.0","104,583.0","105,438.0","106,259.0","107,077.0","107,889.0","108,702.0","109,961.0","111,049.0","111,962.0","112,719.0","113,342.0","114,012.0","114,732.0","115,494.0","116,292.0","117,114.0","117,951.0","118,801.0","119,666.0","120,534.0","121,404.0","122,276.0","123,151.0","124,006.0","124,843.0","125,665.0","126,466.0","127,353.0","128,325.0","129,374.0","130,503.0"
"71","52","        Intermediate goods and services purchased \3\","W140RX1","368,740.0","371,990.0","374,469.0","376,666.0","378,135.0","380,470.0","383,075.0","386,766.0","391,902.0","396,900.0","403,175.0","410,412.0","418,759.0","427,693.0","436,557.0","444,208.0","453,181.0","459,900.0","465,051.0","470,514.0","472,763.0","477,168.0","482,551.0","489,301.0","500,181.0","509,014.0","516,008.0","524,642.0","532,513.0","535,659.0","536,973.0","535,832.0","528,896.0","525,606.0","523,499.0","522,038.0","523,661.0","523,403.0","522,767.0","522,666.0","521,911.0","521,763.0","521,900.0","522,937.0","521,746.0","523,422.0","525,488.0","529,875.0","532,816.0","536,432.0","539,332.0","539,769.0","540,201.0","539,341.0","539,569.0","539,787.0","539,100.0","539,659.0","537,426.0","536,392.0","534,807.0"
"72","53","          Durable goods","B989RX1","14,062.0","14,265.0","14,449.0","14,638.0","14,596.0","14,632.0","14,799.0","15,002.0","15,428.0","15,656.0","15,933.0","16,161.0","16,786.0","17,359.0","17,912.0","18,238.0","18,664.0","19,012.0","19,335.0","19,762.0","20,104.0","20,365.0","20,794.0","21,046.0","21,620.0","22,081.0","22,348.0","22,486.0","22,562.0","22,469.0","22,398.0","22,311.0","22,108.0","22,058.0","22,052.0","22,035.0","22,138.0","22,182.0","22,207.0","22,179.0","22,190.0","22,251.0","22,282.0","22,354.0","22,417.0","22,560.0","22,680.0","22,859.0","23,120.0","23,293.0","23,471.0","23,562.0","23,604.0","23,650.0","23,678.0","23,789.0","23,757.0","23,809.0","23,781.0","23,686.0","23,583.0"
"73","54","          Nondurable goods","B337RX1","124,328.0","125,542.0","126,507.0","127,384.0","127,950.0","128,826.0","129,788.0","131,004.0","132,594.0","134,285.0","136,195.0","138,501.0","141,060.0","143,769.0","146,646.0","149,366.0","152,469.0","154,788.0","156,646.0","158,496.0","159,191.0","160,740.0","163,038.0","165,510.0","169,168.0","172,180.0","174,779.0","176,916.0","179,084.0","179,938.0","180,094.0","179,592.0","177,471.0","176,506.0","176,091.0","175,876.0","176,697.0","176,771.0","176,885.0","176,862.0","176,694.0","176,855.0","177,019.0","177,207.0","177,316.0","177,974.0","178,731.0","179,777.0","181,244.0","182,228.0","183,097.0","183,645.0","183,836.0","183,914.0","183,935.0","184,540.0","184,311.0","184,273.0","183,840.0","183,471.0","183,063.0"
"74","55","          Services","A988RX1","230,868.0","232,682.0","233,990.0","235,092.0","236,089.0","237,544.0","239,004.0","241,256.0","244,284.0","247,358.0","251,414.0","256,122.0","261,154.0","266,690.0","272,048.0","276,676.0","282,119.0","286,162.0","289,126.0","292,268.0","293,420.0","296,010.0","298,677.0","302,730.0","309,362.0","314,717.0","318,883.0","325,166.0","330,752.0","333,136.0","334,340.0","333,779.0","329,187.0","326,921.0","325,267.0","324,069.0","324,792.0","324,425.0","323,671.0","323,621.0","323,022.0","322,655.0","322,599.0","323,383.0","322,011.0","322,887.0","324,075.0","327,239.0","328,458.0","330,919.0","332,783.0","332,565.0","332,772.0","331,736.0","331,934.0","331,378.0","330,954.0","331,480.0","329,734.0","329,160.0","328,079.0"
"75","56","      Less: Own-account investment \4\","W144RX1","14,122.0","14,324.0","14,116.0","14,207.0","14,254.0","14,390.0","14,250.0","14,554.0","16,160.0","15,901.0","15,455.0","15,312.0","15,275.0","15,987.0","16,483.0","16,386.0","16,633.0","16,484.0","16,302.0","17,158.0","17,784.0","17,187.0","17,786.0","17,623.0","18,534.0","19,590.0","19,163.0","19,287.0","19,437.0","19,131.0","19,041.0","18,946.0","18,582.0","18,363.0","18,840.0","18,740.0","18,746.0","19,122.0","19,024.0","18,970.0","18,852.0","19,163.0","19,107.0","19,438.0","19,267.0","19,878.0","19,849.0","19,859.0","20,325.0","20,586.0","20,753.0","21,009.0","20,957.0","21,408.0","21,357.0","21,088.0","20,820.0","21,291.0","21,071.0","20,469.0","19,812.0"
"76","57","            Sales to other sectors","W145RX1","226,998.0","228,483.0","229,944.0","231,217.0","231,973.0","232,598.0","233,715.0","235,558.0","237,930.0","239,737.0","242,481.0","245,523.0","246,889.0","248,194.0","249,657.0","250,804.0","251,892.0","253,921.0","255,939.0","258,683.0","262,407.0","265,887.0","269,259.0","273,313.0","278,046.0","281,007.0","283,084.0","284,750.0","284,833.0","285,281.0","285,513.0","285,530.0","285,111.0","285,194.0","285,437.0","285,908.0","287,098.0","287,596.0","287,943.0","288,286.0","288,450.0","288,448.0","288,654.0","289,213.0","289,607.0","290,554.0","291,638.0","293,122.0","294,413.0","296,534.0","298,752.0","300,701.0","304,232.0","305,368.0","305,985.0","305,609.0","305,529.0","305,887.0","305,837.0","305,758.0","305,661.0"
