"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"44","25","    Imports of goods and services","A021RX1","933,245.0","942,119.0","945,357.0","957,436.0","988,561.0","1,010,688.0","1,043,461.0","1,064,042.0","1,109,488.0","1,146,733.0","1,188,991.0","1,214,654.0","1,260,215.0","1,289,095.0","1,306,469.0","1,348,725.0","1,383,077.0","1,427,155.0","1,478,929.0","1,514,404.0","1,575,814.0","1,623,851.0","1,680,568.0","1,679,324.0","1,654,828.0","1,605,542.0","1,566,677.0","1,548,000.0","1,586,785.0","1,640,366.0","1,667,429.0","1,697,394.0","1,676,895.0","1,700,926.0","1,720,712.0","1,784,380.0","1,829,767.0","1,903,065.0","1,930,724.0","1,979,660.0","1,991,032.0","2,012,901.0","2,025,235.0","2,081,994.0","2,121,325.0","2,144,880.0","2,170,548.0","2,168,061.0","2,190,837.0","2,188,125.0","2,208,336.0","2,188,007.0","2,174,293.0","2,146,478.0","2,134,428.0","2,038,891.0","1,821,043.0","1,749,826.0","1,836,247.0","1,904,768.0","1,945,822.0"
"45","26","Imports of goods \1\","A255RX1","755,326.0","765,745.0","767,386.0","776,021.0","803,637.0","823,850.0","851,771.0","872,474.0","910,027.0","944,640.0","979,034.0","1,001,068.0","1,038,082.0","1,062,418.0","1,074,547.0","1,114,063.0","1,144,435.0","1,184,612.0","1,230,980.0","1,263,895.0","1,312,813.0","1,354,182.0","1,402,021.0","1,402,413.0","1,381,298.0","1,325,983.0","1,300,593.0","1,288,939.0","1,314,328.0","1,370,172.0","1,395,488.0","1,413,492.0","1,397,947.0","1,434,455.0","1,440,265.0","1,490,952.0","1,526,401.0","1,592,919.0","1,618,790.0","1,660,669.0","1,675,033.0","1,694,894.0","1,706,284.0","1,755,709.0","1,782,719.0","1,804,741.0","1,829,253.0","1,818,589.0","1,841,070.0","1,836,534.0","1,849,356.0","1,831,618.0","1,815,414.0","1,793,978.0","1,777,063.0","1,682,648.0","1,474,430.0","1,409,430.0","1,490,562.0","1,561,094.0","1,594,919.0"
"46","27","  Foods, feeds, and beverages","B647RX1","34,599.0","33,991.0","34,539.0","34,885.0","36,575.0","37,188.0","38,811.0","39,230.0","39,821.0","41,147.0","43,212.0","42,994.0","44,448.0","44,597.0","45,040.0","45,333.0","47,162.0","49,063.0","49,580.0","50,258.0","50,665.0","52,012.0","53,394.0","53,406.0","52,651.0","53,715.0","56,953.0","55,745.0","56,046.0","57,381.0","58,624.0","58,566.0","60,212.0","61,367.0","62,693.0","64,223.0","64,814.0","66,269.0","65,434.0","66,329.0","66,020.0","67,305.0","69,152.0","69,900.0","71,961.0","71,394.0","72,186.0","73,337.0","74,033.0","72,663.0","73,369.0","72,476.0","72,195.0","71,899.0","71,624.0","72,952.0","68,793.0","68,518.0","68,336.0","68,581.0","69,821.0"
"47","28","  Industrial supplies and materials, except petroleum and products","A649RX1","152,331.0","153,747.0","147,687.0","148,088.0","152,606.0","156,087.0","161,442.0","165,957.0","165,964.0","170,806.0","173,760.0","178,051.0","185,876.0","192,163.0","192,852.0","193,821.0","191,485.0","197,086.0","202,413.0","210,835.0","213,550.0","213,647.0","215,949.0","212,850.0","214,620.0","204,117.0","204,574.0","203,117.0","205,354.0","210,231.0","214,607.0","219,801.0","210,075.0","213,656.0","219,846.0","219,946.0","228,663.0","247,704.0","259,580.0","261,856.0","264,046.0","263,051.0","261,563.0","275,467.0","277,562.0","277,887.0","282,813.0","271,327.0","266,080.0","269,924.0","271,535.0","258,445.0","252,917.0","247,280.0","252,225.0","234,251.0","195,402.0","172,348.0","182,025.0","193,410.0","203,742.0"
"48","29","    Durable goods","A820RX1","74,441.0","73,295.0","68,631.0","69,478.0","72,854.0","75,319.0","77,847.0","80,109.0","79,509.0","81,499.0","82,466.0","86,167.0","91,077.0","95,222.0","96,268.0","97,922.0","96,046.0","97,308.0","98,061.0","104,461.0","106,858.0","105,750.0","104,738.0","104,639.0","103,774.0","98,207.0","97,924.0","97,519.0","102,608.0","102,826.0","104,833.0","107,868.0","105,200.0","103,166.0","104,180.0","109,883.0","113,746.0","124,155.0","132,400.0","137,916.0","136,412.0","136,109.0","130,843.0","140,697.0","151,644.0","148,747.0","151,131.0","143,383.0","139,297.0","137,227.0","132,980.0","127,580.0","127,767.0","123,199.0","123,095.0","117,068.0","94,835.0","80,064.0","81,129.0","89,565.0","94,668.0"
"49","30","    Nondurable goods","B696RX1","78,162.0","80,945.0","79,717.0","79,196.0","80,227.0","81,164.0","84,005.0","86,257.0","86,936.0","89,851.0","91,930.0","92,278.0","95,042.0","97,021.0","96,545.0","95,668.0","95,307.0","99,909.0","104,830.0","106,467.0","106,592.0","107,987.0","111,543.0","108,533.0","111,119.0","106,178.0","106,992.0","105,953.0","102,646.0","107,615.0","110,048.0","112,211.0","105,215.0","110,645.0","115,827.0","110,153.0","115,089.0","123,740.0","127,212.0","123,644.0","127,732.0","126,992.0","130,703.0","134,637.0","125,893.0","128,813.0","131,109.0","127,562.0","126,692.0","133,188.0","139,920.0","131,970.0","125,932.0","124,873.0","130,036.0","117,917.0","101,202.0","92,943.0","102,019.0","104,459.0","109,678.0"
"50","31","  Petroleum and products","B648RX1","168,724.0","161,327.0","170,674.0","171,792.0","177,092.0","180,659.0","183,672.0","187,821.0","188,419.0","185,971.0","188,584.0","196,455.0","199,959.0","200,719.0","204,428.0","206,667.0","208,755.0","205,078.0","205,714.0","198,766.0","213,728.0","211,630.0","215,955.0","222,334.0","233,708.0","222,121.0","212,008.0","221,257.0","210,428.0","215,282.0","214,812.0","227,705.0","218,382.0","237,294.0","239,841.0","230,694.0","247,720.0","241,209.0","243,267.0","255,351.0","250,575.0","249,075.0","249,014.0","258,759.0","244,119.0","247,101.0","259,753.0","237,499.0","238,002.0","246,320.0","244,182.0","237,566.0","236,697.0","230,993.0","232,528.0","238,310.0","228,222.0","214,518.0","217,308.0","198,188.0","201,504.0"
"51","32","  Capital goods, except automotive","A650RX1","123,779.0","131,725.0","139,489.0","146,330.0","150,356.0","153,762.0","160,891.0","171,116.0","182,955.0","195,644.0","206,719.0","212,992.0","223,005.0","227,949.0","230,088.0","237,073.0","242,582.0","258,446.0","270,576.0","280,881.0","289,788.0","314,147.0","330,035.0","330,153.0","313,763.0","280,645.0","264,775.0","260,985.0","268,259.0","276,900.0","277,586.0","279,313.0","280,615.0","287,420.0","289,523.0","308,107.0","320,731.0","338,837.0","349,770.0","360,320.0","362,835.0","380,456.0","383,642.0","396,024.0","411,075.0","419,843.0","428,861.0","432,432.0","443,028.0","443,267.0","448,573.0","454,682.0","460,519.0","462,747.0","453,722.0","422,421.0","365,365.0","345,670.0","363,842.0","399,970.0","411,300.0"
"52","33","    Civilian aircraft, engines, and parts","B932RX1","14,530.0","14,967.0","13,980.0","14,274.0","14,406.0","16,346.0","16,847.0","17,858.0","17,505.0","19,162.0","23,547.0","22,418.0","22,159.0","27,674.0","27,520.0","29,427.0","27,016.0","27,764.0","30,781.0","28,764.0","27,601.0","29,251.0","30,999.0","35,016.0","35,323.0","34,936.0","34,337.0","36,051.0","31,553.0","27,231.0","24,472.0","28,603.0","25,337.0","25,761.0","24,458.0","27,737.0","22,171.0","25,573.0","24,771.0","28,275.0","25,956.0","28,242.0","23,927.0","24,878.0","27,541.0","26,572.0","26,089.0","29,054.0","30,814.0","31,951.0","31,682.0","31,564.0","32,702.0","32,943.0","29,366.0","27,217.0","25,112.0","25,806.0","23,694.0","25,249.0","23,737.0"
"53","34","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"54","35","    Other","B853RX1","101,794.0","107,705.0","113,298.0","116,570.0","119,716.0","120,468.0","126,556.0","135,483.0","143,710.0","151,952.0","157,473.0","163,933.0","169,866.0","168,245.0","169,725.0","169,693.0","172,248.0","182,154.0","190,319.0","200,648.0","211,754.0","229,070.0","238,022.0","237,976.0","225,458.0","195,281.0","181,399.0","174,375.0","178,491.0","190,644.0","193,399.0","191,349.0","193,757.0","198,506.0","199,912.0","209,751.0","224,240.0","233,840.0","240,652.0","244,293.0","248,411.0","261,331.0","264,509.0","272,465.0","279,289.0","285,891.0","291,227.0","290,905.0","290,875.0","294,262.0","300,234.0","301,377.0","302,738.0","302,533.0","302,089.0","286,093.0","239,714.0","216,153.0","225,784.0","239,024.0","246,931.0"
"55","36","  Automotive vehicles, engines, and parts","B651RX1","138,616.0","134,749.0","126,973.0","124,480.0","129,998.0","137,314.0","140,700.0","134,602.0","146,187.0","146,484.0","147,725.0","146,064.0","151,174.0","152,813.0","150,419.0","169,965.0","178,161.0","182,779.0","191,197.0","194,496.0","204,964.0","202,344.0","204,131.0","200,069.0","195,685.0","197,525.0","199,050.0","194,575.0","200,468.0","210,576.0","215,821.0","215,327.0","211,687.0","217,873.0","211,017.0","223,358.0","225,002.0","232,690.0","232,268.0","232,407.0","232,143.0","234,697.0","240,011.0","250,945.0","256,769.0","255,898.0","250,127.0","259,791.0","252,950.0","249,922.0","261,912.0","257,810.0","246,326.0","238,788.0","223,058.0","191,061.0","123,960.0","121,651.0","169,788.0","197,477.0","191,957.0"
"56","37","  Consumer goods, except automotive","A652RX1","153,014.0","153,744.0","154,190.0","150,673.0","157,832.0","160,065.0","167,714.0","172,971.0","177,161.0","185,567.0","192,515.0","199,130.0","206,517.0","213,811.0","217,155.0","218,560.0","227,014.0","232,853.0","245,274.0","255,829.0","266,060.0","280,302.0","287,273.0","295,624.0","292,503.0","288,388.0","285,252.0","281,611.0","292,207.0","312,531.0","324,577.0","328,613.0","334,342.0","335,805.0","342,694.0","357,429.0","362,260.0","383,020.0","380,542.0","396,398.0","408,492.0","412,683.0","409,251.0","415,707.0","430,367.0","437,088.0","447,249.0","463,093.0","475,959.0","467,002.0","462,131.0","475,027.0","472,201.0","474,597.0","472,399.0","440,172.0","409,253.0","405,294.0","409,764.0","434,750.0","438,583.0"
"57","38","    Durable goods","B697RX1","75,383.0","75,442.0","75,374.0","74,518.0","78,433.0","79,744.0","83,897.0","84,662.0","87,275.0","91,015.0","94,152.0","98,162.0","102,869.0","106,804.0","108,468.0","110,755.0","112,759.0","119,680.0","125,832.0","130,683.0","139,587.0","144,487.0","147,468.0","153,091.0","148,766.0","143,933.0","143,544.0","143,341.0","150,727.0","163,198.0","167,204.0","166,815.0","166,188.0","168,477.0","176,737.0","187,320.0","189,405.0","201,953.0","202,843.0","214,432.0","219,704.0","220,786.0","226,985.0","228,580.0","236,799.0","235,469.0","242,384.0","254,597.0","259,206.0","253,222.0","256,824.0","266,761.0","259,117.0","261,832.0","262,244.0","238,182.0","216,175.0","216,912.0","215,172.0","229,142.0","234,471.0"
"58","39","    Nondurable goods","B698RX1","77,962.0","78,678.0","79,235.0","76,443.0","79,650.0","80,549.0","84,011.0","88,753.0","90,265.0","94,995.0","98,850.0","101,386.0","103,978.0","107,319.0","109,002.0","108,003.0","114,627.0","113,265.0","119,555.0","125,300.0","126,394.0","135,902.0","139,933.0","142,569.0","143,945.0","144,830.0","142,009.0","138,480.0","141,604.0","149,367.0","157,514.0","162,032.0","168,508.0","167,623.0","166,100.0","170,170.0","172,934.0","181,130.0","177,728.0","181,949.0","188,783.0","191,895.0","182,272.0","187,128.0","193,572.0","201,635.0","204,871.0","208,467.0","216,732.0","213,760.0","205,301.0","208,273.0","213,057.0","212,764.0","210,174.0","201,939.0","192,909.0","188,294.0","194,411.0","205,431.0","204,020.0"
"59","40","  Other","A653RX1","45,916.0","47,918.0","44,470.0","47,211.0","48,433.0","49,117.0","47,380.0","47,421.0","51,028.0","53,773.0","57,904.0","59,150.0","59,419.0","61,081.0","66,666.0","71,364.0","74,314.0","75,655.0","77,267.0","76,969.0","81,278.0","80,086.0","93,126.0","87,745.0","86,486.0","88,890.0","86,808.0","87,278.0","87,767.0","90,672.0","91,079.0","91,018.0","84,858.0","88,279.0","83,310.0","87,196.0","81,823.0","83,387.0","88,374.0","89,531.0","91,626.0","87,666.0","93,564.0","88,254.0","93,141.0","97,743.0","88,206.0","85,998.0","97,069.0","91,734.0","93,491.0","85,444.0","84,756.0","81,940.0","79,688.0","77,471.0","75,096.0","72,655.0","72,130.0","72,256.0","81,030.0"
"60","41","Imports of services \1\","B656RX1","180,769.0","178,458.0","180,281.0","183,984.0","187,043.0","188,544.0","193,221.0","192,517.0","200,412.0","202,556.0","210,496.0","214,042.0","222,682.0","227,185.0","232,580.0","235,039.0","238,882.0","242,591.0","247,829.0","250,205.0","262,828.0","269,377.0","278,181.0","276,392.0","273,038.0","280,052.0","266,191.0","259,012.0","272,471.0","270,029.0","271,761.0","283,797.0","278,893.0","266,630.0","280,270.0","293,214.0","303,139.0","310,052.0","311,913.0","318,983.0","316,024.0","318,023.0","318,948.0","326,246.0","338,642.0","340,145.0","341,285.0","349,475.0","349,813.0","351,633.0","358,987.0","356,379.0","358,983.0","352,468.0","357,703.0","356,924.0","346,155.0","339,512.0","345,275.0","343,661.0","350,890.0"
"61","42","  Direct defense expenditures","B752RX1","14,093.0","12,362.0","12,503.0","13,116.0","14,379.0","14,198.0","14,475.0","14,534.0","15,757.0","15,361.0","17,175.0","18,096.0","17,868.0","17,003.0","18,468.0","17,799.0","18,147.0","19,322.0","20,416.0","18,666.0","19,027.0","20,327.0","21,131.0","19,570.0","20,130.0","20,438.0","21,473.0","25,414.0","26,590.0","27,023.0","27,185.0","27,794.0","28,555.0","30,109.0","31,461.0","33,201.0","32,111.0","33,572.0","32,821.0","30,241.0","29,828.0","30,419.0","29,999.0","30,054.0","30,873.0","29,219.0","29,522.0","28,326.0","29,192.0","28,283.0","27,605.0","27,507.0","26,626.0","25,273.0","26,696.0","27,704.0","29,073.0","27,624.0","26,988.0","26,196.0","26,365.0"
"62","43","  Travel","B768RX1","56,658.0","55,286.0","54,019.0","57,080.0","58,668.0","56,895.0","57,998.0","58,238.0","61,821.0","61,221.0","63,741.0","65,006.0","69,848.0","71,136.0","72,013.0","71,632.0","70,447.0","72,014.0","73,024.0","74,653.0","79,490.0","80,292.0","80,411.0","82,836.0","81,022.0","85,889.0","74,474.0","66,274.0","73,678.0","71,648.0","69,740.0","73,666.0","69,358.0","58,253.0","66,225.0","69,359.0","70,020.0","70,882.0","70,190.0","69,760.0","70,585.0","69,073.0","67,178.0","69,044.0","69,572.0","69,591.0","68,562.0","69,749.0","69,125.0","67,585.0","67,777.0","67,331.0","67,145.0","64,012.0","64,115.0","72,013.0","69,921.0","65,467.0","68,057.0","67,439.0","68,016.0"
"63","44","  Passenger fares","B769RX1","19,583.0","20,639.0","21,297.0","21,648.0","21,608.0","21,946.0","22,644.0","22,307.0","23,251.0","24,382.0","24,794.0","23,349.0","24,214.0","26,121.0","26,911.0","26,881.0","26,756.0","26,662.0","27,007.0","27,826.0","28,628.0","29,699.0","30,232.0","28,011.0","25,776.0","27,094.0","25,689.0","20,866.0","20,897.0","20,514.0","19,617.0","22,484.0","20,646.0","19,834.0","22,287.0","23,235.0","24,576.0","26,638.0","26,228.0","25,548.0","25,203.0","25,871.0","26,971.0","26,550.0","26,106.0","26,490.0","26,038.0","25,627.0","24,285.0","25,478.0","26,040.0","25,470.0","26,459.0","25,456.0","25,061.0","24,008.0","22,611.0","23,399.0","24,075.0","21,103.0","21,073.0"
"64","45","  Other transportation","B770RX1","41,060.0","40,256.0","40,581.0","39,131.0","37,964.0","40,399.0","40,603.0","39,739.0","41,341.0","42,696.0","42,421.0","44,925.0","45,553.0","45,026.0","45,273.0","47,264.0","46,601.0","45,049.0","45,886.0","46,427.0","48,658.0","50,807.0","52,868.0","51,884.0","51,069.0","49,372.0","45,774.0","47,415.0","46,918.0","50,266.0","50,443.0","52,242.0","53,910.0","51,783.0","50,546.0","51,156.0","56,393.0","56,766.0","58,033.0","60,389.0","63,971.0","61,874.0","59,564.0","62,339.0","62,416.0","64,418.0","67,385.0","68,567.0","66,830.0","68,795.0","69,894.0","69,535.0","70,245.0","67,403.0","65,706.0","62,433.0","57,748.0","54,498.0","55,360.0","57,535.0","61,213.0"
"65","46","  Royalties and license fees","B908RX1","7,824.0","8,199.0","8,748.0","9,441.0","8,748.0","8,800.0","11,061.0","9,316.0","10,538.0","10,409.0","11,566.0","11,041.0","12,919.0","12,562.0","13,362.0","14,145.0","14,492.0","15,027.0","15,310.0","16,043.0","17,166.0","17,445.0","20,919.0","19,056.0","18,376.0","18,049.0","18,082.0","18,904.0","21,581.0","20,805.0","21,919.0","20,368.0","19,336.0","19,815.0","21,008.0","21,219.0","22,206.0","23,195.0","25,638.0","25,423.0","23,698.0","24,739.0","25,937.0","24,075.0","23,426.0","21,603.0","21,345.0","24,648.0","23,887.0","23,366.0","23,366.0","22,263.0","23,708.0","23,862.0","27,596.0","21,924.0","20,240.0","20,224.0","20,740.0","21,097.0","24,393.0"
"66","47","  Other private services","B909RX1","36,232.0","36,769.0","38,032.0","38,295.0","39,846.0","40,700.0","40,747.0","42,250.0","42,021.0","42,783.0","44,699.0","45,945.0","46,476.0","48,982.0","49,796.0","50,761.0","55,159.0","56,959.0","58,255.0","58,704.0","61,684.0","62,709.0","64,210.0","66,289.0","67,711.0","70,157.0","70,831.0","70,925.0","73,585.0","71,469.0","74,228.0","78,289.0","78,320.0","77,763.0","79,575.0","85,518.0","87,859.0","88,901.0","88,747.0","97,184.0","92,339.0","95,930.0","99,087.0","103,920.0","115,976.0","118,499.0","118,208.0","122,420.0","126,160.0","128,120.0","134,219.0","134,179.0","134,937.0","137,114.0","139,027.0","137,927.0","135,188.0","136,097.0","137,984.0","138,435.0","138,507.0"
"67","48","  Other","B910RX1","8,427.0","7,866.0","7,971.0","7,906.0","8,071.0","8,111.0","8,312.0","8,288.0","8,314.0","8,481.0","8,706.0","8,561.0","8,678.0","8,597.0","9,131.0","8,968.0","8,742.0","8,646.0","9,123.0","8,852.0","9,087.0","9,288.0","9,483.0","9,461.0","9,579.0","9,654.0","9,695.0","9,714.0","9,784.0","9,585.0","9,515.0","9,578.0","9,627.0","9,507.0","9,646.0","9,846.0","10,190.0","10,357.0","10,465.0","10,350.0","10,466.0","10,107.0","10,213.0","10,207.0","10,109.0","10,111.0","10,137.0","10,131.0","10,231.0","10,122.0","10,270.0","10,195.0","10,066.0","9,855.0","9,934.0","10,872.0","10,950.0","11,338.0","11,422.0","11,874.0","11,924.0"
"68","49","Residual","A978RX1","-77,300.0","-66,200.0","-64,400.0","-60,000.0","-60,800.0","-61,900.0","-60,700.0","-58,800.0","-52,900.0","-46,200.0","-43,500.0","-45,700.0","-43,000.0","-40,800.0","-42,200.0","-37,100.0","-30,400.0","-20,600.0","-16,300.0","-8,600.0","-12,100.0","-5,000.0","-2,300.0","-5,400.0","-14,200.0","-15,300.0","-13,000.0","-19,900.0","-8,300.0","-6,100.0","-3,700.0","-9,300.0","-4,700.0","-9,400.0","-9,800.0","-900.0","-5,000.0","-1,000.0","-700.0","-900.0","-800.0","-100.0","0.0","800.0","-2,200.0","-1,800.0","400.0","-4,700.0","-7,100.0","-5,500.0","-7,600.0","-12,200.0","-12,500.0","-17,300.0","-11,200.0","5,000.0","7,100.0","5,600.0","400.0","-15,500.0","-17,000.0"
"69",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","50","  Exports of durable goods","A332RX1","346,901.0","355,894.0","371,294.0","380,264.0","387,578.0","397,642.0","407,069.0","429,477.0","450,854.0","476,789.0","494,390.0","492,884.0","497,479.0","483,820.0","486,987.0","508,513.0","500,009.0","504,354.0","523,883.0","542,947.0","559,096.0","582,090.0","602,353.0","594,792.0","584,504.0","549,979.0","513,561.0","495,631.0","492,049.0","512,138.0","516,826.0","501,223.0","498,439.0","503,166.0","512,211.0","544,192.0","556,302.0","568,963.0","577,168.0","581,384.0","596,949.0","618,603.0","627,716.0","656,163.0","678,250.0","688,150.0","688,425.0","712,740.0","721,455.0","732,035.0","758,425.0","784,637.0","783,269.0","808,299.0","807,010.0","737,419.0","637,298.0","611,439.0","651,780.0","710,243.0","719,326.0"
"71","51","  Exports of nondurable goods","A339RX1","214,043.0","213,506.0","219,481.0","217,805.0","223,207.0","218,547.0","220,213.0","231,741.0","232,098.0","237,114.0","239,781.0","242,719.0","239,541.0","236,159.0","233,833.0","240,703.0","234,234.0","238,435.0","242,432.0","248,171.0","248,920.0","250,322.0","266,118.0","260,499.0","259,788.0","257,482.0","250,916.0","252,595.0","256,327.0","261,827.0","260,247.0","257,966.0","264,589.0","258,910.0","264,552.0","267,194.0","267,979.0","268,935.0","271,225.0","280,481.0","282,323.0","289,445.0","277,899.0","275,245.0","292,095.0","299,747.0","299,931.0","306,714.0","305,597.0","310,730.0","320,911.0","327,235.0","338,626.0","351,033.0","347,750.0","333,255.0","314,855.0","324,017.0","337,195.0","354,872.0","363,005.0"
"72","52","  Exports of agricultural goods \3\","B181RX1","60,060.0","59,180.0","60,291.0","56,636.0","59,882.0","55,695.0","55,629.0","59,215.0","57,295.0","57,809.0","59,218.0","61,022.0","60,704.0","57,866.0","55,558.0","61,091.0","55,127.0","58,878.0","62,797.0","60,087.0","62,297.0","62,665.0","67,597.0","63,617.0","64,932.0","66,258.0","65,735.0","67,227.0","66,471.0","66,276.0","63,232.0","61,489.0","64,046.0","64,280.0","67,420.0","65,150.0","61,382.0","58,127.0","60,829.0","66,558.0","64,459.0","65,523.0","63,639.0","65,930.0","69,450.0","71,664.0","70,592.0","69,757.0","69,167.0","73,347.0","79,666.0","79,000.0","80,578.0","81,392.0","79,579.0","79,460.0","75,662.0","77,894.0","77,443.0","85,355.0","87,064.0"
"73","53","  Exports of nonagricultural goods","A182RX1","494,826.0","504,761.0","525,168.0","536,876.0","545,971.0","557,052.0","568,612.0","598,797.0","623,671.0","654,978.0","674,443.0","673,675.0","676,005.0","661,420.0","664,959.0","688,378.0","679,355.0","684,101.0","704,546.0","731,959.0","747,500.0","772,317.0","803,140.0","793,765.0","781,314.0","742,227.0","698,902.0","680,233.0","680,347.0","706,407.0","712,744.0","696,166.0","696,989.0","696,430.0","707,826.0","745,470.0","762,455.0","779,769.0","787,362.0","794,927.0","814,704.0","842,591.0","842,091.0","865,406.0","900,777.0","916,104.0","917,628.0","949,633.0","957,928.0","969,208.0","998,820.0","1,032,019.0","1,041,439.0","1,078,860.0","1,075,994.0","992,366.0","878,430.0","859,941.0","914,732.0","981,818.0","997,585.0"
"74","54","  Imports of durable goods","A333RX1","414,851.0","422,899.0","422,828.0","430,836.0","446,963.0","460,534.0","477,522.0","487,489.0","515,660.0","537,603.0","557,466.0","570,735.0","595,471.0","610,474.0","615,627.0","647,395.0","663,263.0","694,133.0","723,264.0","747,811.0","780,687.0","808,327.0","835,485.0","834,853.0","807,061.0","764,621.0","747,445.0","738,691.0","764,300.0","798,064.0","810,020.0","813,430.0","805,430.0","821,134.0","823,366.0","872,560.0","890,002.0","939,207.0","961,119.0","989,518.0","996,708.0","1,015,848.0","1,028,349.0","1,060,519.0","1,103,207.0","1,108,992.0","1,116,798.0","1,132,275.0","1,141,488.0","1,127,836.0","1,144,267.0","1,145,502.0","1,132,046.0","1,122,275.0","1,097,598.0","1,004,689.0","835,310.0","798,080.0","863,504.0","949,367.0","970,644.0"
"75","55","  Imports of nondurable goods","A340RX1","358,561.0","359,396.0","361,903.0","360,281.0","371,801.0","377,315.0","387,826.0","399,649.0","405,847.0","417,571.0","432,222.0","440,799.0","451,429.0","460,385.0","468,679.0","470,920.0","486,789.0","491,694.0","508,033.0","514,145.0","528,700.0","541,428.0","562,612.0","564,139.0","575,296.0","565,778.0","558,701.0","556,923.0","552,374.0","574,307.0","588,752.0","605,527.0","597,571.0","619,591.0","623,484.0","620,223.0","639,178.0","654,906.0","657,975.0","671,214.0","678,654.0","678,990.0","677,785.0","695,067.0","681,192.0","696,655.0","712,640.0","687,622.0","700,562.0","708,976.0","706,396.0","689,621.0","686,696.0","676,366.0","680,189.0","670,712.0","629,441.0","602,100.0","618,400.0","607,998.0","620,593.0"
"76","56","  Imports of nonpetroleum goods","A187RX1","620,289.0","631,822.0","630,435.0","637,744.0","660,684.0","677,565.0","701,593.0","718,622.0","752,537.0","784,782.0","814,729.0","831,776.0","863,760.0","885,114.0","894,882.0","929,029.0","955,161.0","991,704.0","1,033,237.0","1,066,344.0","1,104,273.0","1,144,283.0","1,186,709.0","1,183,495.0","1,157,310.0","1,112,287.0","1,094,098.0","1,079,677.0","1,107,477.0","1,156,700.0","1,180,562.0","1,190,318.0","1,181,411.0","1,204,055.0","1,208,045.0","1,260,977.0","1,283,690.0","1,351,717.0","1,375,204.0","1,406,345.0","1,424,797.0","1,445,834.0","1,457,299.0","1,496,567.0","1,540,862.0","1,559,762.0","1,569,228.0","1,584,984.0","1,607,652.0","1,593,328.0","1,609,566.0","1,600,578.0","1,584,631.0","1,571,615.0","1,549,597.0","1,437,180.0","1,238,133.0","1,186,999.0","1,266,014.0","1,365,016.0","1,396,063.0"
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
