"","Table 1#12# National Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","    Government","A553RC1",5,5.2,5.3,5,5.2,6.1,6.5,7.9,7.5,8.3,8.2,8.5,10.2,16,26.6,33,34.9,20.7,17.5,19,20.8,22.6,29.2,33.4,34.3,34.9,36.6,38.8,41,44.1,46.1,49.2,52.5,56.3,60,64.9,69.9,78.4,86.5,96.7,105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397,422.6,451.3,480.2,517.7,546.8,569.2,586.8,606.2,625.5,644.4,668.1,697.3,729.3,774.7,815.9,865.9,904.4,941.8,977.7,"1,013.9"
"12","5","    Other","B203RC1",45.5,41,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79.2,83.8,82.6,91.3,105.6,116.5,113.9,124.6,142.4,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228,243,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.8,500.9,560,611.8,638.6,710.8,791.6,901.2,1018.7,1116.2,1231.7,1286.2,1359.8,1507,1621.6,1717.9,1848.1,2001.6,2116.2,2236.3,2276.2,2395.3,2502.4,2643.5,2810.2,2978.8,3206.6,3485.5,3742.1,4054.5,4126.9,4115,4223.3,4435.3,4687.1,"5,021.2"
"13","6","  Supplements to wages and salaries","A038RC1",0.7,0.7,0.6,0.6,0.5,0.6,0.7,1,1.8,2,2.2,2.3,2.7,3.2,3.8,4.5,5.8,7.6,7,6.4,7.1,8,9.8,10.5,11.2,11.9,13.5,15.5,17.6,18.2,21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.5,514.2,548.9,584.2,622.3,670.9,712.2,747.5,757.7,767.3,787,836.7,885.7,953.4,999.3,1110.3,1197.7,1273.2,1365.5,"1,454.3"
"14","7","    Employer contributions for employee pension and insurance funds","B040RC1",0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.8,0.8,0.8,0.9,0.9,1,1.2,1.5,2,2.3,2.5,3,3.4,3.8,4.7,5.7,6.4,7,7.3,8.4,9.8,11.2,11.9,13.3,14.3,15.2,16.6,18,20.3,22.7,25.5,28.1,32.4,36.5,41.8,47.9,55.2,62.7,73.3,87.6,105.2,125.3,143.4,162.4,185.2,204.7,222.4,238.1,261.5,281.5,297.5,313.2,329.6,355.2,377.8,407.1,442.5,472.4,493.3,493.6,492.5,497.5,529.7,562.4,609.9,642.7,745.1,815.6,866.1,933.2,"992.7"
"15","8","    Employer contributions for government social insurance","B039RC1",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5.1,3.9,3,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18,20,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.8,254.1,264,274.9,289.5,307,323.3,343.5,356.6,365.2,382.1,407.1,432.3,"461.5"
"16","9","Proprietors' income with IVA and CCAdj","A041RC1",14.2,11.1,8.5,5.1,5.4,7.1,10.2,10.4,12.6,10.6,11.2,12.3,16.7,23.4,28.3,29.4,30.8,35.6,34.5,39.3,34.7,37.6,42.7,43.1,42.1,42.3,44.3,45.8,47.9,50.1,50.7,50.8,53.2,55.4,56.5,59.4,63.9,68.2,69.8,74.3,77.4,78.4,84.8,95.9,113.5,113.1,119.5,132.2,145.7,166.6,180.1,174.1,183,176.3,192.5,243.3,262.3,275.7,302.2,341.6,363.3,380.6,377.1,427.6,453.8,473.3,492.1,543.2,576,627.8,678.3,728.4,771.9,768.4,811.3,911.1,970.7,"1,015.0"
"17","10","  Farm","B042RC1",5.8,4,3.1,1.8,2.3,2.7,5,4,5.7,4.1,4.1,4.1,6.1,9.7,11.6,11.5,11.8,14.2,14.4,16.7,12,12.9,15.3,14.3,12.1,11.7,10.6,10.5,10.4,12.3,10,10.5,11,11,10.8,9.6,11.8,12.8,11.5,11.5,12.6,12.7,13.2,16.8,28.9,23.2,21.7,17,15.7,19.6,21.8,11.3,18.7,13.1,6,20.6,20.8,22.6,28.7,26.8,33,31.9,26.7,34.5,31.2,33.9,22.7,37.3,34.2,29.4,28.6,22.7,19.7,10.6,29.2,36.2,30.2,"22.6"
"18","11","  Nonfarm","A045RC1",8.4,7,5.3,3.3,3.1,4.4,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,18,19,21.4,20.2,22.6,22.7,24.7,27.4,28.8,30,30.6,33.7,35.4,37.4,37.8,40.6,40.3,42.2,44.4,45.7,49.8,52.1,55.4,58.4,62.8,64.7,65.7,71.6,79.1,84.6,89.9,97.8,115.2,130,147.1,158.3,162.8,164.3,163.3,186.5,222.7,241.5,253.1,273.5,314.7,330.3,348.7,350.4,393,422.6,439.4,469.5,505.9,541.8,598.4,649.7,705.7,752.2,757.8,782.1,874.9,940.4,"992.4"
"19","12","Rental income of persons with CCAdj","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.8,3,3.6,3.8,3.9,4.5,5.5,6.1,6.5,6.7,7.1,7.2,7.9,8.2,9.2,10.1,11.2,12.5,13.5,13.9,14.2,14.6,15.4,16.2,17.1,17.9,18.8,19.5,19.6,20.2,20.8,21.2,20.9,21.2,21.4,22.4,23.4,24.3,24.3,23.7,22.3,20.7,22.1,23.8,30,38,38.8,37.8,40.2,41.9,33.5,33.5,40.6,43.1,50.7,60.3,78,95.6,119.7,122.1,131.5,128.8,137.5,147.3,150.3,167.4,152.9,133,127,72.8,"76.7"
"20","13","Corporate profits with IVA and CCAdj","A051RC1",10.8,7.5,2.9,-0.2,-0.1,2.5,4,6.2,7.1,5,6.6,9.8,15.5,20.6,24.9,24.9,20.3,17.8,23.7,31.2,29.1,36,41.2,39.3,39.7,38.8,49.5,48.5,48.4,43.5,55.7,53.8,54.9,63.3,69,76.5,87.5,93.2,91.3,98.8,95.4,83.6,98,112.1,125.5,115.8,134.8,163.3,192.4,216.6,223.2,201.1,226.1,209.7,264.2,318.6,330.3,319.5,368.8,432.6,426.6,437.8,451.2,479.3,541.9,600.3,696.7,786.2,868.5,801.6,851.3,817.9,767.3,886.3,993.1,1182.6,1330.7,"....."
"21","14","  Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.7,218.7,231.7,246.1,248.3,258.6,265.2,204.1,192.6,243.3,300.1,399.3,"....."
"22","15","  Profits after tax with IVA and CCAdj","A551RC1",9.4,6.6,2.4,-0.6,-0.7,1.8,3.1,4.8,5.6,4,5.2,7,7.9,9.2,10.9,12,9.6,8.7,12.4,18.7,18.9,18.1,18.6,19.9,19.4,21.2,27.5,26.5,26.9,24.5,32,31,32,39.2,42.6,48.3,56.4,59.3,58.4,59.2,55.4,48.9,59.9,69.7,75.5,63,83.2,98.1,118,131.8,133.2,113.9,141.8,143.2,183.6,221.1,230.9,209.8,238.4,291,280.5,292.4,312.6,330.6,370.9,406.5,478,554.5,622.4,553.3,592.6,552.7,563.2,693.7,749.9,882.5,931.4,"....."
"23","16","    Net dividends","B056RC1",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.6,106.2,112.3,129.9,158,169.1,180.7,187.9,202.8,234.7,254.2,297.6,334.5,351.6,337.4,377.9,370.9,399.2,424.7,539.5,576.9,"642.2"
"24","17","    Undistributed profits with IVA and CCAdj","A127RC1",3.6,1.1,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.9,0.8,1.4,3,3.4,5,6.4,7.4,5,3.2,6.1,11.7,11.6,9.3,10.1,11.3,10.6,11.9,17,15.3,15.2,13,19.4,17.6,18.1,24.1,26.4,30.1,36.2,38.7,36.9,35.6,31.2,24.6,34.8,42.9,45.6,29.8,50.2,59,73.2,81,75.7,49.9,68,65.4,100.1,130.3,133.4,103.7,126.1,161.1,122.6,123.3,131.9,142.7,168.1,171.8,223.8,256.9,287.9,201.7,255.3,174.8,192.3,294.5,325.1,343,354.5,"....."
"25","18","Net interest and miscellaneous payments","W255RC1",4.6,4.8,4.8,4.5,4,4,4.1,3.8,3.7,3.6,3.6,3.3,3.3,3.2,2.9,2.4,2.3,1.9,2.5,2.6,2.9,3.2,3.7,4.1,4.7,5.6,6.2,6.9,8,9.5,9.6,10.6,12.5,14.2,15.2,17.4,19.6,22.4,25.5,27.1,32.7,39.1,43.9,47.9,55.2,70.8,81.6,85.5,101.1,115,138.9,181.8,232.3,271.1,285.3,327.1,341.3,366.8,366.4,385.3,432.1,442.2,418.2,388.5,365.7,366.4,367.1,376.2,415.6,487.1,495.4,559,566.3,520.9,524.7,485.1,483.4,"510.6"
"26","19","Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.8,27.1,29.1,28.9,31.5,34.3,36.6,37.7,41.1,44.6,47,50.4,53.4,57.3,60.8,63.3,68,76.5,84,91.5,100.6,108.1,117.3,125,135.5,146.6,159.9,171.2,180.4,200.7,236,241.3,263.7,290.2,308.5,323.7,347.9,374.9,399.3,425.5,457.5,483.8,503.4,545.6,558.2,581.1,612,639.8,674,708.9,728.6,762.8,807.2,864,922.4,"964.8"
"27","20","Less: Subsidies \1\","A107RC1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.2,21,21.3,24.8,30.2,29.4,27.2,26.8,27.3,29.9,36.4,32.2,34,34.3,32.9,35.4,44.2,44.3,55.3,38.4,47.9,44.7,57.3,"52.5"
"28","21","Business current transfer payments(net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.4,10.6,13,14.4,17.6,20.1,22.5,30.1,34.8,36.6,33.8,34,39.2,39.4,39.9,42.4,40.7,43.3,46.9,53.1,49.9,64.7,67.4,87.1,92.8,84.3,83.8,85.5,74.2,"93.1"
"29","22","  To persons (net)","B931RC1",0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.9,0.9,0.8,0.6,0.9,1.2,1.4,1.2,1.3,1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.5,22.2,17.9,19.6,14.4,15.1,19,22.9,19.4,26,34.1,42.4,50,37.3,34.3,28.1,45.7,"35.3"
"30","23","  To government (net)","W061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.7,0.7,0.8,0.9,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.8,2,2.4,2.6,2.8,3.3,4.1,4.8,5.7,6.4,7.8,8.7,10.4,12.6,13.6,13.6,13.4,15.7,17.2,22,24.5,26.6,28.6,26.5,31.1,29.7,35,35.9,43.7,47.5,46.6,47.9,49.8,30.1,"57.1"
"31","24","  To the rest of the world (net)","W237RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,-4.7,0.3,1.7,7.5,-1.6,"0.8"
"32","25","Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.5,4.9,1.6,5.7,7.6,7.2,8.6,11.4,12.7,12.6,10.3,10.1,5.3,-1.4,0.9,1.7,-5,-15.4,"-9.9"
"33",NA,"Cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Net cash flow with IVA and CCAdj","A904RC1",8.5,5.9,2.8,0.8,1,2.9,4,4.1,5.1,5.1,5.6,7.4,8.3,10.5,12,13.2,11,10.1,14.8,21.8,22.5,20.8,23.3,25.3,25.3,27.6,33.6,33.9,35.7,34.6,41.2,40.9,42,48.7,52.4,57.4,65.7,71.4,72.5,74.7,75.4,73.4,87.7,102,111.6,107.9,143.1,161.8,190.6,217,232.9,230,273.3,292.9,336.2,383.2,407.3,388.1,426.1,480,467.2,490.8,527.7,551.4,589.4,628.4,710.7,770.5,841.6,790.6,887.2,864.8,944.8,1036.6,1084.9,1139.2,1211.3,"....."
"35","27","    Undistributed profits with IVA and CCAdj","A127RC1",3.6,1.1,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.9,0.8,1.4,3,3.4,5,6.4,7.4,5,3.2,6.1,11.7,11.6,9.3,10.1,11.3,10.6,11.9,17,15.3,15.2,13,19.4,17.6,18.1,24.1,26.4,30.1,36.2,38.7,36.9,35.6,31.2,24.6,34.8,42.9,45.6,29.8,50.2,59,73.2,81,75.7,49.9,68,65.4,100.1,130.3,133.4,103.7,126.1,161.1,122.6,123.3,131.9,142.7,168.1,171.8,223.8,256.9,287.9,201.7,255.3,174.8,192.3,294.5,325.1,343,354.5,"....."
"36","28","    Consumption of fixed capital","A438RC1",4.9,4.7,4.4,3.9,3.7,3.7,3.7,3.8,4.2,4.3,4.2,4.4,4.9,5.6,5.6,5.8,6.1,7,8.7,10.1,10.9,11.6,13.2,14,14.8,15.7,16.6,18.7,20.5,21.6,21.8,23.3,23.9,24.6,26,27.2,29.4,32.7,35.6,39.1,44.2,48.9,52.9,59.1,65.9,78.2,92.9,102.8,117.4,136,157.2,180.1,205.3,227.5,236,252.9,274,284.4,300,318.9,344.6,367.5,395.7,408.7,421.3,456.6,486.9,513.6,553.6,589,632,690,752.5,742.1,759.8,796.2,856.8,"865.9"
"37","29","  Less: Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,20.2,1,-14.1,11.3,-2.2,-13.6,-39.8,-32.6,"....."
"38","30","  Equals: Net cash flow","A903RC1",8,2.6,0.4,-0.3,3.1,3.6,4.2,4.8,5.1,4.1,6.4,7.6,10.8,11.7,12.8,13.5,11.6,15.4,20.7,24,20.6,25.8,24.5,24.4,26.3,27.9,35.3,36.6,37.3,34.9,41.5,41.1,41.7,48.7,52.4,57.8,66.9,73.5,74.1,78.4,81.2,80,92.3,108.6,131.1,146.2,153.7,175.9,206.3,240.7,273.1,272.1,297.9,300.4,343.6,387.2,407.3,381,442.3,502.2,483.5,503.7,522.7,554.2,593.4,640.8,729,767.5,827.4,770.4,886.3,878.9,933.5,1038.9,1098.5,1178.9,1243.9,"....."
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","31","  Proprietors' income with IVA and CCAdj","A041RC1",14.2,11.1,8.5,5.1,5.4,7.1,10.2,10.4,12.6,10.6,11.2,12.3,16.7,23.4,28.3,29.4,30.8,35.6,34.5,39.3,34.7,37.6,42.7,43.1,42.1,42.3,44.3,45.8,47.9,50.1,50.7,50.8,53.2,55.4,56.5,59.4,63.9,68.2,69.8,74.3,77.4,78.4,84.8,95.9,113.5,113.1,119.5,132.2,145.7,166.6,180.1,174.1,183,176.3,192.5,243.3,262.3,275.7,302.2,341.6,363.3,380.6,377.1,427.6,453.8,473.3,492.1,543.2,576,627.8,678.3,728.4,771.9,768.4,811.3,911.1,970.7,"1,015.0"
"41","32","    Farm","B042RC1",5.8,4,3.1,1.8,2.3,2.7,5,4,5.7,4.1,4.1,4.1,6.1,9.7,11.6,11.5,11.8,14.2,14.4,16.7,12,12.9,15.3,14.3,12.1,11.7,10.6,10.5,10.4,12.3,10,10.5,11,11,10.8,9.6,11.8,12.8,11.5,11.5,12.6,12.7,13.2,16.8,28.9,23.2,21.7,17,15.7,19.6,21.8,11.3,18.7,13.1,6,20.6,20.8,22.6,28.7,26.8,33,31.9,26.7,34.5,31.2,33.9,22.7,37.3,34.2,29.4,28.6,22.7,19.7,10.6,29.2,36.2,30.2,"22.6"
"42","33","      Proprietors' income with IVA","A043RC1",5.9,4.1,3.2,1.8,2.3,2.7,5,4,5.7,4.1,4.1,4.1,6.1,9.9,11.7,11.6,12,14.4,14.7,17.1,12.4,13.3,15.8,14.9,12.7,12.2,11.1,11.1,11.1,12.9,10.6,11.1,11.6,11.6,11.3,10.1,12.4,13.4,12.2,12.3,13.6,13.8,14.4,18.2,30.3,25.3,24.6,20.2,19.4,23.8,26.8,17.5,25.8,20.8,13.6,28,27.7,29.4,35.2,33.3,39.5,38.4,33.2,40.9,37.5,40.2,28.9,43.4,40.1,35.2,34.4,28.5,25.5,15.8,34.5,42,36.8,"29.2"
"43","34","      Capital consumption adjustment","B044RC1",-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4,-0.4,-0.5,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.7,-0.7,-0.8,-0.9,-1.1,-1.2,-1.4,-1.5,-2.1,-2.9,-3.2,-3.7,-4.2,-5,-6.1,-7.1,-7.7,-7.6,-7.4,-6.9,-6.8,-6.6,-6.5,-6.5,-6.5,-6.5,-6.4,-6.3,-6.3,-6.2,-6.1,-5.9,-5.8,-5.8,-5.8,-5.9,-5.2,-5.3,-5.8,-6.5,"-6.6"
