"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"42","22","    Merchant wholesale trade","N802RX1",".....",".....",".....","252,115.0","257,130.0","265,249.0","269,334.0","276,005.0","283,291.0","286,842.0","293,879.0","297,304.0","302,779.0","303,992.0","308,945.0","315,302.0","318,826.0","324,023.0","326,451.0","331,405.0","330,574.0","329,892.0","325,755.0","322,639.0","321,691.0","322,225.0","323,218.0","323,238.0","322,273.0","320,703.0","320,213.0","323,280.0","326,607.0","329,921.0","335,960.0","341,700.0","348,349.0","351,441.0","352,127.0","356,029.0","360,064.0","366,016.0","369,739.0","370,772.0","371,499.0","372,931.0","376,826.0","376,559.0","373,604.0","377,362.0","380,509.0","379,323.0","367,581.0","351,106.0","336,710.0","337,907.0","339,060.0","341,211.0","351,407.0","355,062.0","356,625.0","362,065.0","361,762.0","368,913.0","373,925.0","378,113.0"
"43","23","      Durable goods industries","N803RX1",".....",".....",".....","147,563.0","151,118.0","157,071.0","158,981.0","162,534.0","168,081.0","170,289.0","175,308.0","177,913.0","181,622.0","183,835.0","186,251.0","190,863.0","193,121.0","198,000.0","199,269.0","201,732.0","200,755.0","195,826.0","191,606.0","187,586.0","186,196.0","186,657.0","188,649.0","187,359.0","188,614.0","188,044.0","186,420.0","188,276.0","191,932.0","196,053.0","201,869.0","205,394.0","209,636.0","212,720.0","212,919.0","216,366.0","218,499.0","223,204.0","226,234.0","226,566.0","228,522.0","227,520.0","227,057.0","227,629.0","229,216.0","231,361.0","236,510.0","234,029.0","220,638.0","207,314.0","196,676.0","192,535.0","194,647.0","195,412.0","199,913.0","204,039.0","206,825.0","212,734.0","216,105.0","219,408.0","224,556.0","229,375.0"
"44","24","      Nondurable goods industries","N804RX1",".....",".....",".....","105,051.0","106,392.0","108,325.0","110,607.0","113,810.0","115,315.0","116,643.0","118,503.0","119,219.0","120,908.0","119,654.0","122,280.0","123,906.0","125,154.0","125,263.0","126,445.0","128,984.0","129,183.0","133,807.0","134,049.0","135,152.0","135,670.0","135,732.0","134,652.0","136,019.0","133,735.0","132,726.0","133,905.0","135,118.0","134,767.0","133,931.0","134,098.0","136,299.0","138,701.0","138,697.0","139,182.0","139,656.0","141,561.0","142,826.0","143,536.0","144,234.0","143,060.0","145,362.0","149,493.0","148,719.0","144,651.0","146,174.0","144,634.0","145,632.0","146,734.0","143,256.0","139,299.0","144,135.0","143,323.0","144,647.0","150,135.0","149,983.0","149,117.0","149,214.0","146,302.0","149,928.0","150,271.0","150,154.0"
"45","25","    Nonmerchant wholesale trade","N805RX1",".....",".....",".....","46,206.0","46,533.0","47,361.0","47,718.0","49,200.0","50,259.0","50,340.0","50,833.0","51,529.0","52,106.0","53,138.0","54,052.0","54,626.0","55,593.0","57,086.0","58,442.0","59,276.0","58,483.0","57,404.0","55,149.0","54,237.0","53,062.0","53,722.0","53,922.0","53,519.0","52,821.0","52,587.0","52,472.0","53,078.0","53,338.0","54,145.0","55,250.0","55,124.0","57,395.0","57,398.0","57,269.0","58,924.0","59,399.0","58,550.0","58,974.0","57,550.0","57,187.0","57,308.0","57,679.0","56,261.0","60,366.0","63,056.0","62,019.0","62,491.0","57,797.0","53,810.0","50,121.0","48,246.0","50,522.0","51,967.0","54,944.0","56,717.0","58,874.0","59,533.0","60,499.0","60,892.0","60,680.0","60,218.0"
"46","26","    Final sales of domestic business \2\","A809RX1",".....",".....",".....","528,567.0","533,057.0","536,764.0","547,770.0","550,708.0","554,965.0","565,527.0","572,864.0","585,432.0","589,836.0","598,955.0","607,152.0","615,595.0","624,482.0","631,376.0","634,514.0","637,950.0","639,696.0","640,857.0","638,126.0","644,210.0","643,736.0","644,470.0","646,980.0","644,778.0","648,355.0","656,169.0","671,348.0","676,309.0","680,184.0","683,230.0","689,843.0","696,643.0","703,200.0","712,817.0","718,377.0","718,666.0","731,103.0","734,993.0","734,597.0","744,426.0","746,469.0","752,885.0","760,055.0","766,061.0","760,673.0","764,300.0","753,088.0","730,367.0","723,596.0","717,355.0","716,544.0","713,254.0","715,491.0","721,634.0","723,934.0","736,570.0","739,949.0","745,918.0","751,889.0","758,164.0","765,230.0","771,184.0"
"47","27","    Final sales of goods and structures of domestic business \2\","A810RX1",".....",".....",".....","287,331.0","290,799.0","292,833.0","300,906.0","302,163.0","304,219.0","310,866.0","316,466.0","325,482.0","327,084.0","332,839.0","337,317.0","341,947.0","347,059.0","350,305.0","352,370.0","353,761.0","354,450.0","355,410.0","352,440.0","357,435.0","354,224.0","352,755.0","354,256.0","351,124.0","354,227.0","359,517.0","372,046.0","375,131.0","375,530.0","377,101.0","382,097.0","385,284.0","390,078.0","397,740.0","401,086.0","399,560.0","409,342.0","409,806.0","407,202.0","411,732.0","412,392.0","416,776.0","420,843.0","423,921.0","418,770.0","422,596.0","415,576.0","394,750.0","387,384.0","385,782.0","387,827.0","383,829.0","384,179.0","386,606.0","386,064.0","395,054.0","395,772.0","400,084.0","405,993.0","412,374.0","418,320.0","421,519.0"
"48",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","28","  Private inventories to final sales","A811RX2",".....",".....",".....","2.62","2.62","2.65","2.63","2.65","2.68","2.65","2.65","2.62","2.64","2.61","2.60","2.60","2.57","2.58","2.60","2.60","2.58","2.57","2.57","2.51","2.51","2.51","2.51","2.53","2.53","2.50","2.44","2.44","2.44","2.46","2.46","2.46","2.47","2.44","2.43","2.46","2.44","2.45","2.47","2.45","2.45","2.44","2.43","2.42","2.43","2.42","2.44","2.49","2.46","2.42","2.35","2.35","2.36","2.35","2.37","2.35","2.35","2.34","2.32","2.32","2.32","2.32"
"50","29","  Nonfarm inventories to final sales","A812RX2",".....",".....",".....","2.33","2.33","2.36","2.34","2.37","2.40","2.38","2.37","2.35","2.37","2.35","2.34","2.35","2.33","2.34","2.35","2.36","2.34","2.33","2.33","2.27","2.27","2.27","2.27","2.30","2.29","2.27","2.21","2.21","2.22","2.23","2.23","2.23","2.25","2.22","2.21","2.23","2.22","2.23","2.26","2.24","2.24","2.24","2.23","2.22","2.23","2.21","2.23","2.27","2.24","2.20","2.14","2.13","2.14","2.13","2.16","2.14","2.15","2.14","2.12","2.13","2.13","2.13"
"51","30","  Nonfarm inventories to final sales of goods and structures","A813RX2",".....",".....",".....","4.28","4.28","4.33","4.27","4.32","4.38","4.32","4.29","4.22","4.27","4.22","4.21","4.22","4.19","4.22","4.24","4.26","4.22","4.20","4.22","4.10","4.12","4.16","4.15","4.21","4.20","4.13","4.00","3.99","4.02","4.04","4.03","4.04","4.05","3.98","3.95","4.02","3.96","4.00","4.08","4.05","4.05","4.04","4.02","4.00","4.05","4.00","4.04","4.20","4.19","4.08","3.95","3.96","3.98","3.98","4.06","4.00","4.01","3.99","3.94","3.92","3.90","3.90"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change in inventories for 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","equals the current-dollar change in inventories for 2005 and that the average of the 2004 and 2005 end-of-year chain-weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
