"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"35","16","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","554,954.0","564,258.0","585,913.0","594,008.0","606,487.0","612,941.0","624,317.0","658,165.0","680,934.0","712,635.0","733,484.0","734,555.0","736,555.0","719,159.0","720,462.0","749,276.0","734,612.0","742,871.0","767,044.0","792,234.0","809,885.0","835,239.0","870,709.0","857,719.0","846,308.0","808,045.0","763,903.0","746,462.0","745,929.0","772,046.0","775,594.0","757,256.0","760,463.0","760,026.0","774,744.0","810,351.0","823,636.0","837,430.0","847,967.0","861,432.0","879,213.0","908,186.0","905,694.0","931,250.0","970,174.0","987,787.0","988,343.0","1,019,634.0","1,050,725.0","1,070,093.0","1,102,678.0","1,128,976.0","1,154,302.0","1,193,009.0","1,185,865.0","1,094,777.0","981,958.0","975,399.0","1,023,328.0","1,093,575.0","1,119,655.0","1,151,599.0","1,176,798.0","1,208,458.0","1,225,382.0","1,236,485.0","1,255,076.0","1,273,586.0","1,286,290.0","1,309,115.0"
"36","17","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","262,742.0","264,348.0","279,339.0","283,812.0","281,455.0","290,530.0","285,384.0","309,240.0","303,546.0","310,210.0","312,620.0","309,408.0","312,534.0","318,664.0","312,191.0","322,199.0","329,150.0","333,113.0","336,912.0","339,081.0","340,740.0","347,968.0","340,871.0","344,510.0","340,183.0","340,038.0","325,151.0","311,782.0","329,487.0","332,448.0","336,624.0","343,821.0","330,279.0","327,155.0","342,019.0","358,760.0","373,384.0","378,335.0","376,761.0","391,392.0","397,007.0","395,358.0","398,153.0","405,367.0","418,510.0","424,262.0","425,819.0","453,923.0","445,861.0","451,268.0","475,282.0","492,946.0","489,619.0","500,885.0","492,891.0","485,844.0","469,717.0","478,201.0","478,629.0","491,764.0","488,993.0","494,371.0","507,604.0","516,737.0","524,018.0","530,548.0","538,428.0","526,229.0","532,916.0","536,907.0"
"37","18","  Imports","A021RX1","199,416.0","238,757.0","235,663.0","233,074.0","232,311.0","236,903.0","236,359.0","240,025.0","237,195.0","255,088.0","260,727.0","243,055.0","278,577.0","268,679.0","274,271.0","286,627.0","299,872.0","291,228.0","283,183.0","285,296.0","275,620.0","290,221.0","285,149.0","282,319.0","253,991.0","233,666.0","253,092.0","266,601.0","283,303.0","295,573.0","307,632.0","317,814.0","332,860.0","335,928.0","331,246.0","335,946.0","358,484.0","359,619.0","364,315.0","369,312.0","368,300.0","370,289.0","364,641.0","372,609.0","372,885.0","345,826.0","320,954.0","338,177.0","352,621.0","353,155.0","349,127.0","359,141.0","348,905.0","343,205.0","359,128.0","345,031.0","352,931.0","380,063.0","409,666.0","429,762.0","464,313.0","483,764.0","496,283.0","510,824.0","499,554.0","524,096.0","519,039.0","539,380.0","538,889.0","561,840.0","577,408.0","581,854.0","578,374.0","592,798.0","604,327.0","618,219.0","615,329.0","608,256.0","622,615.0","641,583.0","644,561.0","647,613.0","646,733.0","658,436.0","679,319.0","678,182.0","675,447.0","657,335.0","649,847.0","661,395.0","680,010.0","695,034.0","700,088.0","711,599.0","722,822.0","740,120.0","756,146.0","771,771.0","781,933.0","813,350.0","832,302.0","863,311.0","887,595.0","912,571.0","932,582.0","941,450.0","944,686.0","956,756.0","987,859.0","1,009,970.0","1,042,719.0","1,063,286.0","1,108,700.0","1,145,918.0","1,188,147.0","1,213,792.0","1,259,320.0","1,288,179.0","1,305,541.0","1,347,767.0","1,382,095.0","1,426,142.0","1,477,878.0","1,513,328.0","1,574,694.0","1,622,698.0","1,679,374.0","1,678,131.0","1,653,653.0","1,604,402.0","1,565,564.0","1,546,899.0","1,585,655.0","1,639,198.0","1,666,244.0","1,696,194.0","1,675,715.0","1,699,638.0","1,719,621.0","1,783,761.0","1,829,202.0","1,902,640.0","1,930,429.0","1,979,389.0","1,990,914.0","2,012,881.0","2,025,283.0","2,082,083.0","2,121,521.0","2,145,233.0","2,170,909.0","2,168,194.0","2,199,757.0","2,210,676.0","2,216,020.0","2,186,527.0","2,194,139.0","2,180,094.0","2,143,325.0","2,058,579.0","1,855,954.0","1,777,401.0","1,849,269.0","1,932,730.0","1,980,923.0","2,074,155.0","2,142,808.0","2,142,960.0","2,165,407.0","2,165,996.0","2,190,765.0","2,217,280.0","2,234,201.0","2,250,139.0"
"38","19","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","754,684.0","765,094.0","766,734.0","775,361.0","802,954.0","823,150.0","851,047.0","871,732.0","909,253.0","943,837.0","978,202.0","1,000,217.0","1,037,200.0","1,061,515.0","1,073,634.0","1,113,116.0","1,143,462.0","1,183,605.0","1,229,934.0","1,262,821.0","1,311,697.0","1,353,031.0","1,400,830.0","1,401,221.0","1,380,124.0","1,324,857.0","1,299,488.0","1,287,842.0","1,313,207.0","1,369,004.0","1,394,302.0","1,412,296.0","1,396,772.0","1,433,156.0","1,439,172.0","1,490,333.0","1,525,833.0","1,592,490.0","1,618,495.0","1,660,409.0","1,674,942.0","1,694,898.0","1,706,331.0","1,755,749.0","1,782,795.0","1,804,992.0","1,829,623.0","1,818,935.0","1,856,121.0","1,863,846.0","1,865,304.0","1,839,237.0","1,836,355.0","1,825,945.0","1,783,061.0","1,694,014.0","1,507,135.0","1,432,021.0","1,502,289.0","1,584,325.0","1,630,753.0","1,723,304.0","1,781,207.0","1,786,056.0","1,808,879.0","1,805,730.0","1,818,842.0","1,846,695.0","1,855,755.0","1,867,450.0"
"39","20","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","180,769.0","178,458.0","180,281.0","183,984.0","187,043.0","188,544.0","193,221.0","192,517.0","200,412.0","202,556.0","210,496.0","214,042.0","222,682.0","227,185.0","232,580.0","235,039.0","238,882.0","242,591.0","247,829.0","250,205.0","262,828.0","269,377.0","278,181.0","276,392.0","273,038.0","280,052.0","266,191.0","259,012.0","272,471.0","270,029.0","271,761.0","283,797.0","278,893.0","266,630.0","280,270.0","293,214.0","303,139.0","310,052.0","311,913.0","318,983.0","316,024.0","318,023.0","318,948.0","326,246.0","338,642.0","340,145.0","341,285.0","349,475.0","343,824.0","346,901.0","350,647.0","347,108.0","357,840.0","354,016.0","361,091.0","366,051.0","349,182.0","344,966.0","347,392.0","349,501.0","351,585.0","352,629.0","363,451.0","358,780.0","358,261.0","361,987.0","373,878.0","372,266.0","380,415.0","384,753.0"
"40","21","Government consumption expenditures and gross investment","A822RX1","1,272,016.0","1,266,695.0","1,268,485.0","1,249,843.0","1,243,113.0","1,227,053.0","1,232,370.0","1,232,395.0","1,212,430.0","1,208,542.0","1,207,778.0","1,198,777.0","1,203,146.0","1,210,617.0","1,185,646.0","1,193,086.0","1,204,833.0","1,197,648.0","1,182,265.0","1,190,961.0","1,215,862.0","1,224,057.0","1,225,904.0","1,230,164.0","1,245,229.0","1,235,659.0","1,257,395.0","1,268,045.0","1,271,211.0","1,257,259.0","1,250,653.0","1,249,687.0","1,261,015.0","1,274,108.0","1,276,453.0","1,272,338.0","1,274,395.0","1,308,806.0","1,319,250.0","1,331,210.0","1,319,246.0","1,333,171.0","1,335,123.0","1,343,823.0","1,365,421.0","1,369,670.0","1,350,777.0","1,349,410.0","1,367,319.0","1,370,375.0","1,367,287.0","1,379,857.0","1,378,483.0","1,386,525.0","1,396,011.0","1,420,115.0","1,430,763.0","1,443,006.0","1,468,036.0","1,443,229.0","1,457,763.0","1,489,182.0","1,500,173.0","1,532,346.0","1,549,903.0","1,584,668.0","1,625,808.0","1,635,534.0","1,653,216.0","1,688,342.0","1,726,551.0","1,716,646.0","1,723,664.0","1,734,572.0","1,734,616.0","1,755,600.0","1,747,098.0","1,751,665.0","1,750,667.0","1,786,237.0","1,775,248.0","1,802,756.0","1,819,744.0","1,829,402.0","1,857,635.0","1,860,385.0","1,859,832.0","1,878,307.0","1,885,933.0","1,892,505.0","1,883,525.0","1,875,628.0","1,889,872.0","1,887,646.0","1,897,319.0","1,897,874.0","1,877,869.0","1,876,477.0","1,874,611.0","1,883,850.0","1,859,876.0","1,867,707.0","1,900,455.0","1,884,057.0","1,891,553.0","1,897,867.0","1,893,691.0","1,872,504.0","1,884,502.0","1,911,577.0","1,909,730.0","1,925,899.0","1,929,350.0","1,946,046.0","1,948,231.0","1,951,466.0","1,939,723.0","1,981,881.0","2,000,225.0","2,018,131.0","2,028,442.0","2,036,925.0","2,063,255.0","2,095,874.0","2,078,721.0","2,106,440.0","2,099,809.0","2,106,206.0","2,137,344.0","2,181,739.0","2,177,755.0","2,216,427.0","2,250,402.0","2,272,017.0","2,290,386.0","2,305,727.0","2,300,945.0","2,335,133.0","2,342,019.0","2,343,706.0","2,354,858.0","2,363,476.0","2,372,102.0","2,357,599.0","2,359,869.0","2,362,421.0","2,383,875.0","2,373,365.0","2,397,067.0","2,399,084.0","2,402,740.0","2,409,449.0","2,406,656.0","2,426,793.0","2,447,895.0","2,455,332.0","2,473,938.0","2,484,528.0","2,510,672.0","2,520,510.0","2,531,630.0","2,590,439.0","2,614,272.0","2,621,138.0","2,600,411.0","2,618,683.0","2,616,737.0","2,587,421.0","2,540,740.0","2,535,419.0","2,516,555.0","2,502,689.0","2,483,726.0","2,478,179.0"
"41","22","  Federal","A823RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","715,326.0","712,492.0","707,649.0","681,081.0","695,265.0","705,172.0","692,741.0","690,744.0","681,445.0","693,525.0","691,261.0","690,311.0","668,783.0","687,184.0","681,472.0","688,147.0","683,601.0","683,594.0","697,936.0","713,445.0","685,216.0","712,641.0","698,827.0","695,597.0","710,403.0","725,623.0","730,493.0","739,318.0","756,915.0","774,408.0","786,673.0","799,967.0","800,196.0","838,775.0","839,598.0","845,722.0","856,570.0","861,440.0","876,385.0","865,596.0","869,204.0","870,044.0","890,394.0","875,557.0","900,511.0","892,839.0","892,002.0","894,404.0","883,557.0","898,930.0","919,680.0","922,184.0","943,803.0","955,131.0","981,962.0","1,003,523.0","995,815.0","1,028,189.0","1,043,924.0","1,054,649.0","1,056,247.0","1,080,963.0","1,090,714.0","1,079,360.0","1,050,371.0","1,057,527.0","1,045,869.0","1,034,244.0","1,023,086.0","1,022,736.0"
"42","23","    National defense","A824RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","484,046.0","483,186.0","477,404.0","462,374.0","471,392.0","477,818.0","467,682.0","464,674.0","449,747.0","460,344.0","458,114.0","460,630.0","433,205.0","449,791.0","455,383.0","451,799.0","446,331.0","446,557.0","459,788.0","470,675.0","442,840.0","463,268.0","453,741.0","454,098.0","462,088.0","468,549.0","472,810.0","479,332.0","489,662.0","500,934.0","509,417.0","521,163.0","517,093.0","560,721.0","554,094.0","565,069.0","573,490.0","576,509.0","593,219.0","578,449.0","583,557.0","588,021.0","603,725.0","580,885.0","595,614.0","597,197.0","594,302.0","606,500.0","595,327.0","607,325.0","622,296.0","622,360.0","634,733.0","643,080.0","669,706.0","683,150.0","670,808.0","696,252.0","709,135.0","711,428.0","704,773.0","717,320.0","729,865.0","718,563.0","691,270.0","705,192.0","709,780.0","690,144.0","677,586.0","677,481.0"
"43","24","    Nondefense","A825RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","231,424.0","229,453.0","230,349.0","218,877.0","224,028.0","227,498.0","225,176.0","226,155.0","231,659.0","233,171.0","233,119.0","229,734.0","235,331.0","237,253.0","226,160.0","236,252.0","237,109.0","236,872.0","238,071.0","242,716.0","242,091.0","249,142.0","244,851.0","241,335.0","248,098.0","256,767.0","257,400.0","259,722.0","266,954.0","273,172.0","276,969.0","278,566.0","282,822.0","278,028.0","285,392.0","280,608.0","283,050.0","284,893.0","283,229.0","287,125.0","285,632.0","282,012.0","286,668.0","294,700.0","304,957.0","295,660.0","297,746.0","287,837.0","288,186.0","291,539.0","297,307.0","299,786.0","309,091.0","312,071.0","312,019.0","320,171.0","324,950.0","331,841.0","334,678.0","343,153.0","351,475.0","363,681.0","360,839.0","360,830.0","359,273.0","352,349.0","335,882.0","344,106.0","345,614.0","345,364.0"
"44","25","  State and local","A829RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,174,843.0","1,184,100.0","1,184,842.0","1,190,686.0","1,188,229.0","1,205,414.0","1,216,286.0","1,234,629.0","1,247,644.0","1,252,095.0","1,256,622.0","1,260,861.0","1,271,060.0","1,294,722.0","1,319,030.0","1,330,234.0","1,345,202.0","1,353,724.0","1,365,654.0","1,382,746.0","1,393,984.0","1,394,221.0","1,401,388.0","1,410,986.0","1,427,331.0","1,456,513.0","1,447,748.0","1,477,614.0","1,494,031.0","1,498,086.0","1,504,195.0","1,506,253.0","1,501,219.0","1,496,591.0","1,502,664.0","1,498,207.0","1,498,441.0","1,502,168.0","1,495,673.0","1,492,013.0","1,490,679.0","1,492,413.0","1,493,513.0","1,497,725.0","1,496,637.0","1,506,287.0","1,510,751.0","1,515,045.0","1,522,861.0","1,527,761.0","1,528,448.0","1,533,329.0","1,530,932.0","1,530,522.0","1,530,776.0","1,520,101.0","1,538,266.0","1,565,184.0","1,573,618.0","1,570,175.0","1,548,324.0","1,542,749.0","1,531,583.0","1,513,624.0","1,495,323.0","1,483,384.0","1,475,927.0","1,473,307.0","1,465,256.0","1,460,170.0"
"45","26","Residual","A960RX1","-130,600.0","-116,900.0","-115,600.0","-118,700.0","-122,200.0","-115,200.0","-114,600.0","-122,600.0","-100,600.0","-95,400.0","-90,800.0","-102,100.0","-85,100.0","-80,100.0","-70,800.0","-71,500.0","-58,500.0","-42,600.0","-47,300.0","-33,900.0","-44,400.0","-45,000.0","-64,500.0","-56,200.0","-81,800.0","-84,200.0","-86,700.0","-81,500.0","-73,400.0","-67,000.0","-67,300.0","-70,000.0","-71,300.0","-53,100.0","-37,900.0","-54,400.0","-56,500.0","-29,300.0","-22,000.0","-12,700.0","-11,100.0","-14,400.0","-12,100.0","-11,900.0","-11,500.0","-14,000.0","-15,700.0","-4,700.0","14,900.0","300.0","16,900.0","-2,200.0","-37,800.0","-34,900.0","-57,400.0","-86,200.0","-81,900.0","-75,500.0","-75,100.0","-53,400.0","-40,800.0","-41,400.0","-39,000.0","-50,900.0","-59,900.0","-68,500.0","-78,600.0","-72,500.0","-71,700.0","-87,800.0","-103,600.0","-99,200.0","-91,100.0","-92,500.0","-91,100.0","-74,400.0","-80,000.0","-68,300.0","-68,900.0","-71,700.0","-57,600.0","-57,700.0","-60,800.0","-65,400.0","-66,000.0","-63,800.0","-66,800.0","-74,500.0","-79,700.0","-78,900.0","-74,600.0","-67,400.0","-70,700.0","-63,500.0","-62,200.0","-60,400.0","-57,300.0","-57,000.0","-58,800.0","-53,400.0","-45,800.0","-38,500.0","-43,900.0","-36,100.0","-182,800.0","-187,500.0","-179,600.0","-166,400.0","-170,200.0","-162,900.0","-150,700.0","-144,100.0","-138,400.0","-127,200.0","-111,800.0","-108,000.0","-96,200.0","-97,700.0","-93,800.0","-73,800.0","-69,600.0","-52,200.0","-41,900.0","-42,300.0","-25,900.0","-26,500.0","-25,100.0","-25,500.0","-25,100.0","-35,600.0","-39,900.0","-23,400.0","-27,900.0","-24,000.0","-16,800.0","-20,100.0","-18,800.0","-14,700.0","-11,000.0","-8,100.0","-6,900.0","-5,000.0","-2,400.0","-400.0","-1,100.0","0.0","100.0","500.0","-2,500.0","-2,100.0","-1,800.0","-1,500.0","-3,100.0","0.0","100.0","-2,600.0","2,100.0","7,000.0","20,700.0","35,400.0","39,200.0","43,600.0","38,200.0","38,800.0","31,900.0","22,000.0","19,600.0","7,200.0","-5,500.0","200.0","-10,600.0","-14,500.0","-24,300.0","-26,600.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
