"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"56","36","    Capital consumption adjustment","A059RC1","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-180,480.0","-67,093.0","-101,296.0","-75,204.0","35,386.0"
"57",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Profits before tax (without IVA and CCAdj)","A464RC1","71,186.0","58,515.0","67,399.0","79,537.0","99,544.0","110,152.0","110,708.0","138,233.0","159,472.0","183,719.0","197,166.0","184,085.0","184,959.0","139,981.0","163,401.0","197,639.0","173,465.0","149,728.0","213,528.0","264,140.0","243,139.0","243,283.0","226,803.0","258,602.0","308,674.0","391,886.0","431,242.0","471,304.0","506,775.0","460,500.0","468,556.0","432,463.0","315,050.0","342,271.0","425,882.0","662,061.0","957,148.0","1,117,914.0","1,041,977.0","831,157.0","712,882.0","990,467.0","1,006,984.0"
"59","38","    Profits after tax (without IVA and CCAdj)","A466RC1","37,842.0","31,229.0","37,404.0","45,742.0","59,135.0","67,303.0","68,800.0","84,738.0","98,894.0","116,163.0","126,547.0","115,882.0","118,965.0","91,218.0","101,680.0","121,699.0","102,382.0","73,490.0","119,298.0","160,187.0","141,931.0","144,830.0","138,205.0","164,173.0","200,633.0","259,530.0","290,919.0","318,376.0","345,416.0","301,832.0","297,185.0","262,270.0","203,805.0","245,165.0","292,993.0","475,072.0","685,282.0","810,275.0","748,195.0","603,776.0","535,095.0","767,582.0","760,172.0"
"60","39","    Inventory valuation adjustment","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-47,235.0","-44,456.0","3,154.0","-38,659.0","-62,566.0"
"61","40","    Capital consumption adjustment","B470RC1","9,075.0","8,256.0","8,010.0","9,882.0","8,951.0","5,534.0","-1,216.0","-3,160.0","-1,918.0","-3,220.0","-5,253.0","-7,208.0","6,497.0","17,753.0","35,237.0","56,184.0","76,155.0","62,672.0","62,618.0","62,313.0","56,749.0","46,337.0","39,560.0","40,298.0","42,864.0","54,016.0","57,624.0","63,046.0","65,305.0","67,504.0","68,875.0","51,848.0","46,957.0","87,480.0","71,522.0","49,736.0","-128,812.0","-155,993.0","-158,801.0","-31,661.0","-55,425.0","-34,670.0","62,656.0"
"62",NA,"  Value added, in millions of chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","41","    Gross value added of nonfinancial corporate business \2\","B455RX1","1,806,927.0","1,792,355.0","1,866,329.0","2,008,989.0","2,132,728.0","2,098,971.0","2,068,152.0","2,237,200.0","2,402,944.0","2,560,151.0","2,640,354.0","2,613,386.0","2,717,765.0","2,652,962.0","2,781,121.0","3,027,652.0","3,157,854.0","3,235,503.0","3,402,489.0","3,599,072.0","3,658,763.0","3,713,123.0","3,695,372.0","3,804,910.0","3,905,049.0","4,155,293.0","4,348,981.0","4,588,634.0","4,887,815.0","5,167,340.0","5,452,379.0","5,745,743.0","5,637,759.0","5,675,492.0","5,818,089.0","6,085,138.0","6,302,783.0","6,543,180.0","6,606,392.0","6,515,901.0","6,035,408.0","6,397,814.0","6,656,737.0"
"64","42","      Consumption of fixed capital \3\","N456RX1","128,949.0","136,153.0","142,368.0","149,814.0","161,393.0","171,050.0","178,100.0","184,291.0","192,931.0","203,503.0","215,780.0","227,162.0","237,342.0","248,169.0","256,135.0","266,446.0","281,507.0","293,697.0","305,082.0","315,136.0","325,817.0","337,237.0","346,967.0","356,314.0","370,324.0","389,274.0","413,607.0","443,080.0","478,415.0","519,312.0","565,170.0","616,324.0","659,209.0","683,308.0","698,372.0","717,386.0","742,959.0","773,668.0","794,089.0","798,939.0","805,302.0","805,936.0","819,668.0"
"65","43","      Net value added \4\","A457RX1","1,677,978.0","1,656,202.0","1,723,961.0","1,859,175.0","1,971,335.0","1,927,921.0","1,890,052.0","2,052,909.0","2,210,013.0","2,356,648.0","2,424,574.0","2,386,224.0","2,480,423.0","2,404,793.0","2,524,986.0","2,761,206.0","2,876,347.0","2,941,806.0","3,097,407.0","3,283,936.0","3,332,946.0","3,375,886.0","3,348,405.0","3,448,596.0","3,534,725.0","3,766,019.0","3,935,374.0","4,145,554.0","4,409,400.0","4,648,028.0","4,887,209.0","5,129,419.0","4,978,550.0","4,992,184.0","5,119,717.0","5,367,752.0","5,559,824.0","5,769,512.0","5,812,303.0","5,716,962.0","5,230,106.0","5,591,878.0","5,837,069.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","business is calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","the 2005 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","4. Chained-dollar net value added of nonfinancial corporate business is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","difference between the gross product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
