"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"32","13","Services \2\","A341RC1","460,091.0","473,553.0","484,799.0","495,940.0","505,874.0","514,016.0","525,032.0","534,635.0","548,764.0","560,060.0","570,699.0","583,544.0","602,336.0","612,974.0","623,604.0","636,934.0","649,907.0","665,122.0","679,065.0","694,760.0","711,237.0","733,185.0","755,601.0","783,070.0","809,043.0","834,939.0","849,621.0","876,054.0","895,960.0","912,912.0","935,337.0","962,940.0","990,939.0","1,015,299.0","1,043,134.0","1,070,151.0","1,101,931.0","1,134,849.0","1,160,959.0","1,190,995.0","1,220,411.0","1,254,244.0","1,283,634.0","1,328,452.0","1,366,981.0","1,404,117.0","1,449,222.0","1,506,219.0","1,548,542.0","1,593,395.0","1,624,313.0","1,661,410.0","1,698,144.0","1,729,265.0","1,777,209.0","1,834,963.0","1,882,380.0","1,917,606.0","1,971,260.0","1,984,981.0","2,031,029.0","2,083,780.0","2,128,224.0","2,168,605.0","2,237,353.0","2,277,322.0","2,332,295.0","2,376,765.0","2,419,851.0","2,467,066.0","2,511,184.0","2,556,679.0","2,606,581.0","2,644,495.0","2,684,548.0","2,736,567.0","2,797,608.0","2,850,008.0","2,909,110.0","2,970,210.0","3,023,362.0","3,075,187.0","3,123,586.0","3,182,526.0","3,245,818.0","3,323,102.0","3,379,442.0","3,427,400.0","3,472,483.0","3,529,409.0","3,572,222.0","3,620,411.0","3,702,091.0","3,753,276.0","3,819,526.0","3,877,598.0","3,913,937.0","3,957,033.0","4,014,518.0","4,054,716.0","4,106,082.0","4,158,783.0","4,222,721.0","4,261,028.0","4,311,256.0","4,372,864.0","4,432,800.0","4,469,674.0","4,534,189.0","4,600,318.0","4,640,111.0","4,727,317.0","4,779,061.0","4,849,169.0","4,914,370.0","4,987,549.0","5,040,158.0","5,132,005.0","5,195,394.0","5,271,345.0","5,349,570.0","5,428,789.0","5,527,107.0","5,635,030.0","5,738,782.0","5,845,152.0","5,914,586.0","6,013,354.0","6,117,231.0","6,187,594.0","6,231,568.0","6,298,209.0","6,402,986.0","6,499,961.0","6,576,208.0","6,662,815.0","6,751,944.0","6,858,087.0","6,936,972.0","7,017,587.0","7,150,383.0","7,246,124.0","7,356,446.0","7,466,623.0","7,609,709.0","7,713,827.0","7,851,143.0","7,960,635.0","8,091,928.0","8,207,164.0","8,310,224.0","8,434,014.0","8,574,065.0","8,682,628.0","8,807,238.0","8,943,080.0","9,074,065.0","9,185,509.0","9,240,083.0","9,196,222.0","9,157,683.0","9,200,102.0","9,263,821.0","9,361,901.0","9,435,207.0","9,531,986.0","9,596,551.0","9,674,799.0","9,754,309.0","9,862,468.0","9,930,238.0","9,934,779.0","10,020,972.0","10,098,458.0"
"33","14","Structures","A755RC1","107,338.0","108,800.0","110,155.0","106,776.0","106,926.0","106,929.0","110,005.0","114,932.0","119,480.0","126,914.0","131,291.0","135,931.0","142,791.0","144,012.0","146,383.0","154,442.0","161,363.0","161,670.0","164,425.0","164,326.0","163,588.0","167,944.0","168,040.0","162,968.0","162,867.0","160,536.0","167,707.0","175,650.0","187,691.0","189,190.0","188,014.0","199,717.0","208,966.0","228,410.0","233,222.0","236,462.0","241,440.0","270,246.0","286,508.0","297,564.0","294,394.0","306,664.0","322,516.0","329,791.0","330,296.0","306,012.0","312,692.0","336,177.0","348,443.0","351,849.0","349,487.0","360,688.0","351,738.0","345,922.0","337,584.0","342,907.0","351,006.0","356,682.0","378,106.0","388,990.0","406,580.0","423,913.0","433,392.0","439,200.0","450,008.0","456,988.0","459,592.0","468,413.0","479,976.0","477,734.0","480,614.0","482,187.0","484,650.0","491,058.0","502,302.0","512,359.0","503,048.0","516,792.0","516,217.0","524,076.0","526,685.0","524,401.0","532,382.0","532,715.0","549,359.0","540,339.0","530,441.0","513,905.0","497,873.0","500,456.0","499,711.0","501,760.0","513,887.0","521,221.0","520,369.0","535,436.0","536,730.0","548,630.0","563,207.0","583,910.0","581,937.0","607,624.0","616,167.0","623,554.0","629,921.0","629,815.0","642,805.0","651,642.0","665,666.0","691,739.0","705,274.0","724,091.0","737,809.0","741,482.0","755,023.0","760,105.0","767,557.0","805,953.0","834,561.0","850,023.0","861,327.0","868,609.0","879,757.0","903,189.0","929,344.0","942,342.0","956,233.0","967,999.0","976,940.0","1,011,528.0","1,012,720.0","998,481.0","1,001,455.0","1,002,077.0","999,788.0","1,019,278.0","1,037,982.0","1,057,974.0","1,099,465.0","1,126,071.0","1,150,675.0","1,205,743.0","1,238,759.0","1,263,018.0","1,301,932.0","1,344,254.0","1,383,230.0","1,424,174.0","1,454,260.0","1,471,290.0","1,449,715.0","1,435,607.0","1,433,360.0","1,448,317.0","1,439,359.0","1,410,140.0","1,374,603.0","1,382,439.0","1,365,216.0","1,313,624.0","1,210,963.0","1,122,236.0","1,083,928.0","1,036,233.0","994,941.0","1,040,222.0","1,015,135.0","1,019,206.0","977,646.0","1,009,864.0","1,033,783.0","1,060,882.0","1,083,732.0","1,096,495.0"
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","  Motor vehicle output","A953RC1","45,644.0","42,813.0","47,061.0","43,200.0","38,287.0","41,992.0","41,066.0","27,410.0","51,660.0","48,977.0","47,676.0","50,809.0","54,618.0","54,866.0","50,577.0","59,865.0","67,989.0","63,942.0","62,275.0","60,143.0","55,671.0","55,085.0","63,735.0","60,224.0","48,200.0","53,794.0","63,125.0","64,207.0","74,446.0","78,805.0","78,614.0","83,354.0","94,034.0","94,441.0","97,581.0","99,531.0","96,879.0","108,306.0","106,126.0","114,797.0","120,008.0","107,990.0","101,473.0","95,222.0","91,659.0","75,922.0","82,944.0","97,798.0","98,798.0","106,238.0","102,789.0","93,910.0","87,190.0","102,148.0","104,090.0","92,811.0","108,211.0","116,173.0","136,075.0","154,637.0","159,327.0","152,662.0","156,341.0","174,921.0","171,102.0","179,373.0","191,644.0","187,041.0","179,707.0","186,270.0","193,217.0","190,191.0","186,747.0","186,135.0","187,669.0","194,987.0","190,783.0","204,079.0","198,108.0","210,816.0","221,195.0","211,489.0","207,743.0","201,188.0","199,320.0","201,687.0","202,427.0","176,397.0","165,144.0","177,906.0","193,774.0","185,816.0","188,468.0","203,997.0","207,678.0","222,146.0","223,615.0","229,520.0","225,599.0","251,709.0","269,886.0","263,956.0","274,055.0","283,321.0","273,091.0","275,227.0","272,058.0","290,953.0","272,965.0","302,217.0","304,922.0","293,674.0","308,731.0","304,696.0","325,589.0","339,895.0","328,583.0","327,621.0","330,646.0","374,555.0","365,626.0","367,884.0","379,557.0","388,046.0","392,332.0","379,209.0","359,699.0","346,256.0","330,071.0","353,760.0","349,099.0","365,353.0","380,925.0","385,342.0","396,782.0","385,461.0","369,301.0","384,039.0","385,194.0","390,129.0","393,987.0","390,260.0","404,154.0","406,996.0","412,593.0","420,466.0","435,929.0","406,761.0","422,348.0","412,121.0","414,282.0","401,917.0","411,476.0","416,842.0","414,774.0","396,530.0","376,366.0","345,607.0","318,636.0","251,412.0","205,226.0","222,358.0","274,542.0","292,357.0","312,382.0","331,672.0","345,340.0","334,827.0","365,365.0","372,761.0","378,503.0","399,464.0","428,564.0","438,283.0"
"36","16","  Gross domestic product excluding motor vehicle output","A962RC1","915,234.0","933,286.0","949,242.0","961,258.0","978,824.0","991,070.0","1,009,419.0","1,025,273.0","1,046,397.0","1,069,784.0","1,091,378.0","1,100,582.0","1,135,517.0","1,170,685.0","1,198,693.0","1,226,729.0","1,267,110.0","1,307,515.0","1,328,429.0","1,371,656.0","1,390,839.0","1,429,758.0","1,449,922.0","1,492,546.0","1,521,233.0","1,551,193.0","1,599,322.0","1,649,715.0","1,697,463.0","1,725,431.0","1,759,081.0","1,801,140.0","1,844,463.0","1,910,784.0","1,968,386.0","2,011,294.0","2,052,181.0","2,166,405.0","2,229,101.0","2,301,244.0","2,343,304.0","2,418,452.0","2,498,265.0","2,564,178.0","2,632,415.0","2,652,094.0","2,702,241.0","2,817,503.0","2,952,566.0","2,978,027.0","3,074,237.0","3,100,756.0","3,097,729.0","3,138,798.0","3,170,285.0","3,219,714.0","3,272,754.0","3,366,063.0","3,451,022.0","3,533,495.0","3,648,055.0","3,753,627.0","3,819,617.0","3,859,031.0","3,946,090.0","3,996,296.0","4,066,690.0","4,131,672.0","4,202,717.0","4,236,979.0","4,298,092.0","4,353,087.0","4,424,336.0","4,500,588.0","4,576,838.0","4,688,121.0","4,757,837.0","4,855,180.0","4,944,707.0","5,040,193.0","5,139,136.0","5,242,100.0","5,325,193.0","5,380,554.0","5,508,818.0","5,595,678.0","5,648,200.0","5,669,566.0","5,715,044.0","5,784,115.0","5,839,898.0","5,906,699.0","6,002,269.0","6,091,187.0","6,182,016.0","6,271,457.0","6,320,865.0","6,393,219.0","6,462,724.0","6,562,119.0","6,646,444.0","6,780,314.0","6,857,764.0","6,964,903.0","7,034,604.0","7,080,615.0","7,180,473.0","7,251,591.0","7,365,206.0","7,497,741.0","7,587,787.0","7,729,308.0","7,828,255.0","7,972,115.0","8,084,331.0","8,165,841.0","8,272,003.0","8,371,023.0","8,516,558.0","8,652,974.0","8,782,949.0","8,884,669.0","9,025,539.0","9,219,682.0","9,317,207.0","9,569,911.0","9,657,754.0","9,783,549.0","9,835,005.0","9,947,500.0","9,956,101.0","10,007,779.0","10,117,788.0","10,216,552.0","10,304,921.0","10,381,476.0","10,518,054.0","10,627,543.0","10,869,886.0","11,024,679.0","11,195,918.0","11,372,676.0","11,532,165.0","11,716,873.0","11,949,249.0","12,079,532.0","12,292,673.0","12,494,631.0","12,739,093.0","12,918,322.0","13,018,477.0","13,182,301.0","13,347,067.0","13,559,991.0","13,711,392.0","13,856,630.0","13,897,558.0","14,069,854.0","14,076,417.0","13,830,310.0","13,718,214.0","13,663,048.0","13,677,664.0","13,841,289.0","13,957,873.0","14,081,847.0","14,230,709.0","14,401,041.0","14,449,489.0","14,630,820.0","14,784,717.0","14,921,546.0","15,049,686.0","15,167,779.0"
"37","17","  Final sales of computers \3\","BB01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,803.0","11,279.0","12,422.0","13,508.0","14,486.0","14,947.0","16,038.0","17,439.0","17,857.0","19,277.0","21,438.0","22,115.0","23,935.0","24,269.0","25,909.0","28,785.0","29,593.0","27,682.0","27,675.0","27,962.0","30,752.0","33,018.0","35,489.0","35,900.0","37,924.0","40,716.0","44,505.0","47,608.0","45,672.0","47,362.0","43,810.0","45,077.0","44,713.0","46,032.0","44,956.0","46,801.0","47,271.0","47,628.0","49,167.0","50,087.0","52,208.0","53,176.0","54,356.0","56,212.0","54,261.0","58,286.0","58,007.0","55,031.0","54,006.0","51,664.0","51,222.0","52,499.0","51,441.0","51,789.0","51,906.0","55,266.0","54,025.0","55,990.0","55,854.0","55,139.0","57,018.0","54,611.0","56,698.0","56,993.0","58,787.0","59,036.0","60,616.0","63,053.0","68,933.0","74,036.0","75,198.0","81,359.0","84,196.0","83,241.0","85,724.0","85,876.0","88,614.0","93,047.0","98,173.0","96,634.0","96,281.0","97,446.0","96,130.0","97,092.0","99,137.0","103,930.0","105,391.0","98,893.0","105,487.0","111,571.0","110,189.0","112,406.0","110,199.0","101,749.0","91,885.0","91,687.0","85,841.0","82,523.0","83,132.0","81,367.0","80,541.0","77,318.0","84,042.0","86,058.0","79,224.0","78,743.0","77,528.0","78,752.0","75,989.0","77,430.0","76,988.0","78,379.0","81,149.0","80,820.0","79,626.0","80,647.0","78,480.0","77,032.0","80,949.0","83,979.0","82,299.0","83,913.0","80,897.0","78,053.0","81,196.0","74,975.0","62,498.0","55,281.0","54,265.0","49,481.0","52,089.0","58,852.0","62,499.0","64,692.0","66,723.0","69,782.0","70,669.0","65,873.0"
"38","18","  Gross domestic product excluding final sales of computers","BB00RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,139,257.0","2,263,432.0","2,322,805.0","2,402,533.0","2,448,826.0","2,511,495.0","2,583,700.0","2,641,961.0","2,706,217.0","2,708,739.0","2,763,747.0","2,893,186.0","3,027,429.0","3,059,996.0","3,151,117.0","3,165,881.0","3,155,326.0","3,213,264.0","3,246,700.0","3,284,563.0","3,350,213.0","3,449,218.0","3,551,608.0","3,652,232.0","3,769,458.0","3,865,573.0","3,931,453.0","3,986,344.0","4,071,520.0","4,128,307.0","4,214,524.0","4,273,636.0","4,337,711.0","4,377,217.0","4,446,353.0","4,496,477.0","4,563,812.0","4,639,095.0","4,715,340.0","4,833,021.0","4,896,412.0","5,006,083.0","5,088,459.0","5,194,797.0","5,306,070.0","5,395,303.0","5,474,929.0","5,526,711.0","5,654,132.0","5,745,701.0","5,799,405.0","5,793,464.0","5,828,747.0","5,910,232.0","5,981,766.0","6,037,249.0","6,136,712.0","6,239,194.0","6,333,840.0","6,438,464.0","6,487,462.0","6,568,128.0","6,631,625.0","6,756,835.0","6,857,543.0","6,985,234.0","7,071,203.0","7,185,171.0","7,238,762.0","7,281,806.0","7,377,333.0","7,461,185.0","7,553,975.0","7,716,717.0","7,806,985.0","7,937,106.0","8,048,372.0","8,183,764.0","8,311,747.0","8,409,102.0","8,504,305.0","8,601,198.0","8,751,074.0","8,930,437.0","9,049,438.0","9,148,623.0","9,299,705.0","9,508,835.0","9,604,052.0","9,837,549.0","9,907,264.0","10,017,399.0","10,054,877.0","10,199,511.0","10,213,315.0","10,281,445.0","10,412,872.0","10,519,371.0","10,618,571.0","10,685,570.0","10,806,814.0","10,934,264.0","11,171,038.0","11,328,750.0","11,510,681.0","11,684,193.0","11,858,791.0","12,045,117.0","12,285,853.0","12,422,568.0","12,651,614.0","12,823,013.0","13,080,292.0","13,249,623.0","13,353,133.0","13,503,571.0","13,680,063.0","13,899,801.0","14,045,217.0","14,169,181.0","14,191,625.0","14,331,548.0","14,314,156.0","14,003,669.0","13,842,244.0","13,810,431.0","13,889,708.0","14,078,365.0","14,215,990.0","14,364,038.0","14,523,960.0","14,677,016.0","14,752,355.0","14,938,889.0","15,096,497.0","15,251,228.0","15,407,581.0","15,540,189.0"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
