"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"36","27","  Market-based PCE \6\","DPCMRX0",5317189,5504809,5719740,6011719,6341442,6646774,6824177,7016289,7221680,7464979,7736030,7938688,8126121,8073532,7939332,8094115,8319893
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",4367869,4538497,4741765,5011086,5304647,5588921,5757460,5937485,6122915,6351397,6598137,6796150,6973949,6949362,6820754,6956594,7184546
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERX0",6076241,6288295,6520426,6862347,7237648,7604649,7810331,8018254,8244499,8515775,8803525,9054454,9262896,9211714,9032601,9196162,9428842
"40","30","Household consumption expenditures \7\","DPHCRX0",5935753,6139550,6380893,6709739,7074052,7428180,7619893,7809435,8025802,8298199,8591818,8819390,9017815,8939917,8757762,8918065,9140628
"41","31","  Food and beverages purchased for off-premises consumption","DFXARX0",548435,553943,558768,565464,587297,600516,607519,608935,616529,623852,644493,662998,673193,666030,654796,668846,685267
"42","32","  Clothing, footwear, and related services","DCAFRX0",216923,226928,234900,248855,264624,276822,278644,286138,299182,312410,330197,344878,356153,353009,334537,351171,363016
"43","33","  Housing, utilities, and fuels","DHUFRX0",1261812,1288210,1315750,1355177,1398266,1438178,1476058,1487177,1504944,1536202,1602565,1634757,1644043,1652285,1672951,1684824,1690706
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",249978,259666,272283,290139,312758,332549,340820,356163,375327,400195,418712,434039,440899,428267,395669,413965,436267
"45","35","  Health","DHLTRX0",1089363,1119054,1162905,1214754,1250921,1305043,1374117,1455446,1500058,1554118,1605141,1642328,1687781,1724600,1751626,1774120,1832735
"46","36","  Transportation","DTRNRX0",685335,721755,766579,820573,876144,901057,920955,938472,958221,976416,977950,958834,965523,888222,838479,842638,855370
"47","37","  Communication","DCMCRX0",90111,98244,108191,118634,134512,155404,166360,171494,177491,187050,193774,207807,228025,235064,229975,238565,251663
"48","38","  Recreation","DRRLRX0",389095,419201,450698,493580,549625,598725,621682,655725,700213,760819,817675,881760,944922,953350,924484,978140,1047016
"49","39","  Education","DEDURX0",164553,168628,172963,177955,182382,188161,190963,186691,185498,181981,181884,183033,185404,186624,185932,189813,192821
"50","40","  Food services and accommodations","DFSARX0",416022,418766,428030,439180,450019,470532,469875,477215,494981,515078,533906,551635,559071,553892,531686,545079,565249
"51","41","  Financial services and insurance","DIFSRX0",489868,508223,525705,559144,606175,665987,661334,658934,659160,675475,698429,716423,739820,732307,680583,683681,681783
"52","42","  Other goods and services","DOISRX0",431595,446699,459682,479305,499150,517934,526275,536948,556539,573722,587048,598549,605216,597852,573867,578561,588781
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-26861,-29825,-23650,-10116,-9559,-2952,3236,2144,3655,2507,43,3935,-5994,-20880,-12414,-17955,-23089
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",142245,150877,140509,153872,164936,177782,191341,208977,218717,217643,211707,235135,245219,272865,276416,279538,290075
"55","45","  Gross output of nonprofit institutions \2\","DNPERX0",636432,653411,663792,696719,720961,748985,785296,831103,844098,860458,874298,902477,926038,954929,971279,984582,1010790
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",497163,505371,526787,545989,558626,573063,595172,622527,625248,642814,662591,667518,681122,683443,696163,706271,722469
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","7. Consists of household purchases of goods and services from business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
