"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218"
"165","157","          Owner-occupied mobile homes","DOMHRA3",6.871,7.252,7.626,7.952,8.055,8.059,7.989,7.927,8.068,8.342,8.685,8.991,9.133,9.283,9.383,9.53,9.812,10.21,10.663,11.126,11.535,11.923,12.293,12.696,13.218,13.79,14.393,15.013,15.467,15.89,16.327,16.731,17.226,17.917,18.597,19.32,20.093,20.723,21.499,22.388,23.463,24.446,25.253,26.017,26.703,27.406,28.047,28.776,29.399,30.137,31.37,32.851,34.315,35.986,37.937,40.109,41.913,43.941,46.054,48.161,50.384,52.599,54.121,54.535,54.201,54.024,53.414,52.706,51.82,51.178,51.103,51.594,52.843,53.504,54.254,55.091,57.111,58.36,59.187,59.732,59.989,60.196,59.99,59.459,58.479,57.486,57.981,59.866,63.125,66.171,68.065,68.532,67.754,66.815,66.288,66.444,67.877,69.222,70.603,71.505,72.077,72.378,72.922,73.524,74.408,75.466,76.125,76.552,76.611,76.725,76.796,76.902,77.322,77.595,78.252,78.886,79.21,79.56,79.956,80.368,80.626,80.96,81.264,81.923,81.956,82.132,82.338,82.678,84.917,86.726,88.17,88.762,89.131,89.418,89.565,89.569,88.908,88.527,88.317,88.174,88.753,88.663,88.764,88.751,88.444,88.528,88.646,88.961,89.694,90.32,90.911,91.52,92.146,92.719,93.106,93.298,93.371,93.481,93.621,93.806,94.063,94.286,94.454,94.592,94.935,96.294,99.043,103.182,108.353,112.373,114.546,114.694,113.094,111.467,110.214,109.236,108.468,107.692,106.91,106.061,105.192,104.423,103.749,103.174,102.581,101.35,99.33,96.739,93.575,90.284,86.913,83.524,80.479,78.196,76.769,76.121,74.119,71.852,70.388,69.697,69.646,69.596,69.428,69.14,68.769,68.452,68.207,68.016,67.876,67.704,67.478,67.217,66.962,66.703,66.439
"166","158","          Owner-occupied stationary homes","DOSTRA3",16.97,17.222,17.563,17.856,18.085,18.292,18.537,18.877,19.077,19.223,19.451,19.812,20.005,20.416,20.702,21.107,21.178,21.348,21.59,21.842,22.03,22.308,22.601,23.009,23.27,23.523,23.882,24.211,24.404,24.612,24.967,25.269,25.45,25.724,26.096,26.433,26.705,26.873,27.209,27.621,27.977,28.425,28.809,29.171,29.283,29.448,29.743,30.141,30.451,30.817,31.26,31.804,32.221,32.556,32.849,33.282,33.609,34.013,34.479,34.976,35.631,36.194,36.697,37.121,37.233,37.435,37.765,38.124,38.431,38.814,39.148,39.415,39.593,39.846,40.146,40.576,41.518,42.278,42.96,43.676,44.135,44.657,45.265,45.775,46.336,46.795,47.119,47.37,47.548,47.711,47.73,47.792,47.671,47.586,47.694,47.855,48.082,48.166,48.758,49.369,49.833,50.252,50.828,51.277,51.406,51.694,52.063,52.462,52.536,52.837,53.365,53.874,54.233,54.496,55.27,56.042,56.357,56.753,57.386,58.071,58.49,58.905,59.261,59.661,60.007,60.326,60.677,60.956,61.323,61.745,62.394,62.942,63.378,63.856,64.366,64.834,65.162,65.569,66.254,67.054,68.168,68.92,69.728,70.36,70.745,71.247,71.673,72.122,72.601,73.054,73.523,74.019,74.642,75.341,76.041,76.753,77.448,78.177,78.972,79.808,80.674,81.506,82.277,82.984,83.659,84.406,85.209,86.098,87.035,87.801,88.213,88.321,88.269,88.375,88.721,89.311,90.087,90.765,91.385,91.911,92.364,93.159,94.358,95.959,97.876,99.564,100.842,101.718,102.591,103.291,103.615,103.563,103.098,102.763,102.767,103.097,103.568,103.9,104.123,104.237,104.287,104.342,104.406,104.479,104.551,104.623,104.72,104.822,104.926,105.038,105.075,105.077,105.06,105.035,105.015
"167","159","        Rental value of farm dwellings (22)","DFARRA3",55.796,55.729,55.782,56.339,56.778,56.722,55.809,54.883,54.944,55.86,57.016,57.886,58.191,57.024,56.409,55.147,55.345,56.767,57.371,58.419,58.666,57.725,56.824,56.155,56.549,56.948,58.038,58.723,58.382,58.829,57.521,56.985,57.444,58.1,58.647,59.242,58.874,58.561,58.724,58.752,59.493,59.377,59.089,58.133,58.604,59.345,59.423,59.259,59.436,59.792,59.136,58.824,59.378,59.934,59.703,59.174,58.797,59.485,59.949,60.093,60.225,60.273,60.361,60.375,60.45,60.742,60.759,60.59,60.771,61.099,61.039,60.788,62.308,61.785,61.279,60.92,61.514,61.999,62.259,62.468,62.156,61.985,61.879,61.945,62.345,62.588,62.212,61.711,62.053,62.432,62.078,61.669,61.619,61.715,61.724,61.756,60.614,61.43,61.841,61.755,61.387,61.281,61.086,60.925,59.696,60.935,61.439,61.589,62.134,61.976,60.518,58.477,60.499,60.829,61.063,61.198,60.772,60.652,60.55,60.559,60.478,60.841,60.904,60.903,61.008,61.067,61.077,61.034,60.821,61.068,61.249,61.129,60.986,60.998,60.988,60.951,60.828,60.718,60.748,60.764,60.929,60.907,61.095,61.224,61.103,61.103,61.093,61.129,61.048,61.216,61.483,61.896,62.521,62.754,63.396,64.353,64.977,65.344,65.426,65.198,64.859,65.495,67.388,70.609,74.888,78.287,80.152,80.298,78.993,77.903,77.347,77.277,77.579,77.755,77.752,77.556,77.309,77.923,79.705,82.615,86.35,89.97,93.063,95.558,97.436,99.186,100.888,102.49,101.579,99.987,99.117,98.951,95.471,91.53,89.392,89.031,88.746,88.174,87.856,87.764,87.91,88.033,88.074,88.02,87.845,87.642,87.458,87.281,87.094,86.979,86.969,87.052,87.053,87.001,86.971
"168","160","        Group housing (23)","DGRHRA3",259.388,252.827,229.08,220.246,219.239,221.363,229.724,227.798,229.913,227.513,209.843,203.485,206.54,197.122,196.858,195.165,188.126,172.842,188.403,188.383,189.917,192.225,199.167,202.203,204.491,208.326,211.699,213.592,213.629,217.073,213.749,217.815,227.17,245.564,264.043,274.637,266.243,262.737,264.135,269.267,281.773,290.4,301.065,303.396,301.096,296.931,290.118,286.39,284.466,282.987,281.356,277.256,275.308,273.535,271.008,268.328,268.844,267.455,273.339,275.959,279.433,286.246,290.982,295.431,297.622,303.159,304.849,302.785,301.181,298.618,291.085,279.773,265.176,254.685,248.4,238.157,222.986,215.155,208.441,200.98,198.943,195.374,188.627,181.457,175.599,169.563,161.929,156.05,152.307,149.081,146.301,143.7,146.295,143.607,139.762,135.556,121.465,115.577,112.64,112.696,117.64,118.475,117.585,115.895,110.883,107.5,104.523,102.37,98.274,94.875,91.674,90.842,89.233,89.396,89.885,90.917,96.906,96.889,98.596,97.806,100.621,103.426,106.475,111.499,115.317,113.989,112.627,113.765,117.694,120.767,119.988,118.342,109.483,105.401,101.786,101.32,107.135,108.772,109.865,109.927,107.612,106.994,107.335,107.854,109.351,110.969,113.033,115.285,118.541,120.843,121.617,120.771,118.66,117.453,117.667,119.21,121.799,123.907,125.228,125.668,125.296,124.909,124.717,124.646,124.588,124.357,123.943,123.318,122.345,120.601,118.037,114.641,110.781,108.006,106.636,106.595,107.523,108.035,108.008,107.245,105.685,104.265,102.971,101.827,100.849,100.09,99.625,99.436,99.505,99.878,100.572,101.6,102.803,103.808,104.499,104.896,105.021,105.157,105.382,105.66,106.379,107.057,107.44,107.508,107.369,107.788,108.969,110.903,113.359,115.412,116.883,117.742,118.596,119.646,120.736
"169","161","      Household utilities","DUTLRA3",26.731,26.686,27.442,27.784,28.465,28.734,28.699,29.302,29.16,30.511,30.328,30.98,31.805,31.916,32.347,33.193,34.209,33.239,34.596,34.361,35.516,35.529,36.035,36.465,36.572,37.712,37.878,38.135,38.477,39.351,39.638,40.037,39.994,41.51,41.174,42.382,42.999,42.502,43.618,44.289,45.437,44.806,46.254,47.005,47.503,47.672,48.565,48.224,48.875,49.3,48.924,49.675,50.04,51.597,52.052,54.656,52.777,53.432,54.838,54.093,52.185,54.677,55.692,56.606,55.849,58.469,58.493,56.709,57.281,57.213,59.011,62.497,61.921,59.133,62.423,62.099,63.883,63.692,63.335,64.114,66.25,65.05,63.245,64.465,65.59,65.92,67.117,68.154,63.585,66.851,65.722,66.435,68.011,66.236,65.344,65.442,64.863,67.695,69.869,70.34,68.116,70.486,68.924,69.252,73.168,69.009,70.967,72.881,70.278,71.305,71.798,72.856,72.241,74.971,74.834,74.55,77.193,76.772,78.217,77.95,78.974,77.619,78.332,82.688,75.192,78.988,79.968,79.298,78.113,82.285,80.783,78.843,77.458,79.413,79.23,81.243,82.081,81.264,84.685,84.823,85.145,86.662,84.465,83.271,82.751,85.95,88.705,87.215,90.624,89.749,86.624,88.878,87.339,88.333,87.999,91.61,89.078,92.304,92.857,88.411,90.551,92.312,94.631,90.894,90.129,94.005,94.823,99.468,97.357,92.626,92.842,91.897,92.524,95.504,96.114,98.744,98.183,98.19,96.328,97.665,98.225,98.441,96.855,98.849,98.565,100.085,101.887,99.463,94.486,99.277,101.739,98.641,99.379,100.309,101.378,98.814,100.998,99.23,95.404,99.196,99.659,98.57,98.211,98.884,99.818,100.172,101.98,101.015,98.804,100.036,101.902,96.124,92.337,100.43,103.587
"170","162","        Water supply and sanitation (25)","DWRSRA3",22.579,23.33,24.297,25.184,25.777,26.1,26.334,26.512,26.799,27.174,27.626,28.086,28.585,28.904,29.391,29.967,30.728,31.515,32.439,33.168,33.417,33.343,33.262,33.431,34.055,34.738,35.08,35.354,35.466,35.196,35.057,34.984,35.059,35.251,35.459,35.829,36.148,36.315,36.773,37.512,38.118,38.803,39.608,40.384,40.975,41.474,41.956,42.282,41.987,41.912,42.371,43.31,44.408,45.701,46.654,47.527,47.811,48.051,48.522,49.118,49.8,50.431,50.862,51.135,51.227,51.263,51.136,50.937,50.798,50.646,50.519,50.37,50.509,50.567,50.758,50.916,50.685,50.897,51.292,52.257,53.215,54.312,55.108,56.12,56.733,57.303,57.245,57.456,57.257,57.042,56.545,56.641,56.348,56.283,56.302,57.032,57.707,58.22,58.731,59.637,60.963,61.981,63.09,64.134,65.394,66.224,67.455,68.765,69.506,70.481,71.926,72.546,73.223,73.932,74.867,74.631,75.177,75.567,76.529,76.8,77.949,78.711,79.246,79.511,79.347,79.31,79.102,78.894,78.472,78.135,77.845,77.629,76.632,76.382,76.333,76.868,78.685,79.709,80.769,81.726,82.296,83.241,84.3,85.531,86.132,86.734,87.263,87.798,88.589,89.481,90.251,90.921,91.241,91.59,91.975,92.357,92.621,92.949,93.437,94.052,95.292,96.07,96.633,96.927,97.037,97.056,97.215,97.493,97.708,97.983,98.248,98.49,98.573,98.84,99.227,99.71,100.619,100.792,100.453,99.784,99.266,99.673,99.86,99.815,99.639,99.443,99.841,101.077,102.387,103.365,103.621,103.675,103.689,103.826,103.878,103.642,103.729,104.205,104.225,104.2,103.138,101.756,100.49,100.027,99.734,99.813,99.674,99.349,98.915,98.62,98.802,98.638,98.561,98.165,97.998
"171","163","          Water supply and sewage maintenance","DWSMRA3",24.587,25.597,26.729,27.756,28.403,28.662,28.857,29.005,29.339,29.832,30.327,30.831,31.383,31.742,32.239,32.828,33.667,34.585,35.626,36.452,36.739,36.672,36.466,36.608,37.335,38.165,38.528,38.839,38.977,38.643,38.45,38.358,38.46,38.735,38.914,39.338,39.699,39.861,40.331,41.142,41.841,42.587,43.45,44.301,44.975,45.528,46.037,46.402,46.085,46.006,46.503,47.525,48.741,50.204,51.214,52.162,52.471,52.735,53.253,53.883,54.657,55.35,55.838,56.16,56.242,56.264,56.114,55.902,55.762,55.59,55.458,55.275,55.444,55.509,55.725,55.857,55.542,55.77,56.144,57.169,58.208,59.385,60.193,61.254,61.857,62.412,62.273,62.524,62.363,62.18,61.595,61.719,61.253,61.106,61.162,62.184,63.285,64.126,64.799,65.797,67.236,68.228,69.323,70.383,71.898,72.841,74.165,75.549,76.234,77.168,78.704,79.236,79.872,80.58,81.67,81.399,82.247,82.872,84.036,84.245,85.138,85.671,85.923,85.942,85.436,85.215,84.923,84.737,84.58,84.449,84.185,83.859,82.71,82.399,82.228,82.624,84.182,85.091,86.019,86.878,87.349,88.238,89.292,90.537,91.173,91.628,91.93,92.175,92.724,93.445,94.008,94.433,94.619,94.702,94.728,94.651,94.464,94.488,94.821,95.427,96.19,96.809,97.258,97.477,97.471,97.531,97.74,98.071,98.469,98.907,99.403,99.933,100.474,100.944,101.393,101.789,102.027,102.01,101.85,101.411,100.563,99.982,99.622,99.464,99.455,99.661,100.112,100.773,101.515,102.193,102.737,103.119,103.31,103.38,103.392,103.304,103.276,103.328,103.438,103.572,102.959,102.031,101.21,100.483,99.8,99.149,98.56,98.02,97.515,97.16,96.996,97.011,96.903,96.698,96.518
"172","164","          Garbage and trash collection","DREFRA3",15.622,15.363,15.711,16.077,16.479,17.082,17.487,17.796,17.911,17.825,18.126,18.427,18.74,18.912,19.389,19.941,20.422,20.72,21.219,21.595,21.7,21.592,22.019,22.306,22.543,22.668,22.941,23.081,23.092,23.066,23.138,23.142,23.106,22.973,23.31,23.479,23.644,23.841,24.279,24.764,25.022,25.495,26.109,26.618,26.906,27.214,27.612,27.799,27.576,27.515,27.838,28.495,29.169,29.84,30.615,31.229,31.426,31.581,31.885,32.377,32.718,33.13,33.357,33.446,33.583,33.676,33.636,33.479,33.339,33.26,33.141,33.127,33.148,33.181,33.281,33.557,33.654,33.812,34.314,35.089,35.771,36.6,37.389,38.261,38.95,39.617,39.886,39.944,39.574,39.219,39.054,39.043,39.445,39.711,39.574,39.151,38.114,37.303,37.174,37.755,38.695,39.88,41.114,42.146,42.433,42.845,43.765,44.848,45.852,47.045,48.19,49.183,50.046,50.782,51.146,51.03,50.45,49.967,50.199,50.711,52.833,54.446,56.014,57.169,58.225,58.836,58.916,58.626,57.28,56.224,55.844,56.008,55.539,55.504,55.866,56.869,59.545,60.951,62.446,63.726,64.629,65.758,66.826,68.005,68.482,69.575,70.863,72.369,73.978,75.457,76.942,78.451,79.234,80.5,82.134,84.124,85.972,87.365,88.401,89.045,91.964,93.296,94.256,94.813,95.329,95.204,95.189,95.283,94.856,94.549,93.996,93.214,91.663,91.207,91.374,92.168,95.485,96.337,95.351,93.846,94.506,98.507,100.718,101.104,100.318,98.624,98.828,102.23,105.665,107.767,106.936,105.763,105.112,105.498,105.702,104.902,105.423,107.503,107.19,106.57,103.796,100.655,97.632,98.191,99.42,102.452,104.161,104.738,104.614,104.594,106.251,105.324,105.385,104.152,104.043
"173","165","        Electricity and gas","DELGRA3",27.594,27.402,28.122,28.364,29.064,29.325,29.24,29.923,29.702,31.239,30.936,31.626,32.516,32.587,33.009,33.911,34.98,33.662,35.108,34.679,36.018,36.048,36.673,37.156,37.161,38.396,38.526,38.779,39.168,40.286,40.665,41.166,41.098,42.903,42.449,43.842,44.526,43.88,45.144,45.801,47.074,46.133,47.732,48.475,48.948,49.038,50.028,49.52,50.407,50.957,50.371,51.071,51.25,52.867,53.194,56.221,53.803,54.56,56.2,55.127,52.605,55.534,56.685,57.742,56.795,59.977,60.031,57.903,58.629,58.579,60.801,65.086,64.352,60.941,64.909,64.479,66.722,66.439,65.908,66.638,69.032,67.318,64.948,66.219,67.463,67.751,69.206,70.408,64.971,68.919,67.663,68.497,70.442,68.331,67.259,67.234,66.413,69.699,72.201,72.59,69.664,72.31,70.216,70.403,74.859,69.677,71.785,73.825,70.507,71.543,71.825,72.982,72.067,75.272,74.88,74.586,77.742,77.121,78.688,78.285,79.277,77.379,78.135,83.552,74.115,78.938,80.242,79.449,78.061,83.498,81.651,79.212,77.711,80.316,80.092,82.55,83.093,81.718,85.861,85.755,86.008,87.708,84.474,82.494,81.602,85.642,89.126,86.972,91.254,89.794,85.373,88.147,85.994,87.197,86.625,91.329,87.847,92.096,92.674,86.399,88.861,90.982,93.952,88.758,87.697,92.975,94.007,100.123,97.19,90.818,90.98,89.609,90.416,94.351,95.032,98.426,97.341,97.288,94.906,96.934,97.872,98.021,95.812,98.52,98.2,100.308,102.569,98.923,91.953,97.923,101.087,96.957,97.952,99.152,100.56,97.216,100.089,97.58,92.542,97.54,98.513,97.524,97.495,98.587,99.975,100.432,102.991,101.779,98.872,100.717,103.262,95.212,89.89,101.61,106.224
"174","166","          Electricity (27)","DELCRA3",18.373,18.559,18.8,19.102,19.662,19.792,19.704,20.014,20.111,20.773,20.787,21.352,21.701,22.205,22.08,22.504,23.127,22.983,23.452,23.517,24.135,24.504,25.019,25.131,25.388,26.075,25.941,26.688,26.97,27.502,28.149,28.339,28.664,29.821,29.121,30.141,30.848,31.264,31.535,32.012,33.04,32.778,33.688,33.778,34.494,35.111,36.199,35.547,35.906,36.543,36.514,37.668,37.509,39.016,38.539,40.281,40.16,40.319,42.089,42.297,39.908,42.068,42.82,44.1,43.615,45.46,46.146,44.969,45.786,46.387,47.048,49.422,50.981,50.543,52.813,51.521,53.648,53.603,53.674,54.887,56.957,54.725,52.957,55.187,56.477,56.435,58.861,57.793,54.242,60.325,56.663,56.825,58.223,57.123,56.279,58.07,57.719,58.318,65.658,62.279,59.793,62.486,60.687,63.009,64.495,62.441,62.958,64.454,63.118,64.086,63.894,65.768,65.394,69.185,67.393,66.847,69.684,69.358,71.49,69.674,70.833,69.797,69.474,74.073,68.351,71.94,73.402,72.505,71.643,77.153,73.362,72.298,71.263,71.558,71.656,74.892,75.007,75.398,78.637,76.849,77.678,81.232,76.998,76.355,75.511,78.747,82.635,79.6,81.89,81.583,78.048,80.154,79.289,77.769,79.109,84.549,83.019,88.208,89.326,83.008,84.934,86.527,90.256,85.188,85.425,90.955,89.728,92.714,92.168,88.262,85.393,86.31,88.308,92.464,93.755,93.919,94.193,94.029,92.037,94.554,96.157,95.878,92.735,97.524,96.787,98.229,105.045,99.939,92.582,98.826,101.19,98.174,96.746,97.872,101.726,99.546,101.03,97.812,94.072,97.07,97.245,93.266,93.893,97.459,99.886,100.374,103.423,101.321,99.608,102.081,102.703,95.891,93.04,101.732,101.912
"175","167","          Natural gas (28)","DGHERA3",62.883,60.756,63.674,63.49,64.601,65.422,65.395,67.681,65.944,71.253,69.483,70.521,73.774,71.643,74.641,77.582,80.461,73.78,79.547,76.819,81.239,79.557,80.494,82.624,81.388,84.863,86.258,83.973,84.75,88.338,87.259,89.098,87.122,91.443,92.382,95.1,95.413,89.752,95.45,96.751,98.766,94.815,99.216,102.906,101.994,99.477,99.641,100.001,103.143,103.083,100.011,98.283,100.018,101.616,105.725,113.932,101.222,104.639,105.038,98.087,95.818,101.44,104.128,103.575,100.633,109.262,106.313,100.454,100.643,97.692,106.238,117.696,107.412,92.562,102.546,105.543,107.945,106.803,104.046,102.871,106.221,106.577,102.245,100.046,101.028,102.429,100.414,109.423,97.824,94.059,101.278,104.317,107.883,102.398,100.579,94.958,92.788,103.776,92.863,104.002,99.737,102.269,99.268,92.967,106.465,91.654,98.7,102.451,92.797,94.042,95.899,94.584,91.839,92.885,97.36,97.97,102.1,100.471,99.965,104.579,104.929,100.082,104.623,112.634,90.452,99.437,100.071,99.701,96.487,101.271,106.791,99.368,96.188,107.292,105.872,105.325,107.41,99.727,106.861,112.671,110.869,106.069,106.464,99.81,98.791,105.512,107.166,108.506,120.044,114.27,106.845,111.883,105.375,116.081,108.77,110.743,100.756,101.617,100.277,94.327,98.395,102.254,102.738,97.627,92.787,97.313,104.871,118.983,109.648,97.175,105.146,97.186,94.724,98.185,97.103,109.933,104.803,104.837,101.409,102.194,101.552,102.79,102.824,100.728,101.298,104.913,97.24,96.55,90.471,95.925,101.031,94.227,100.978,102.321,97.926,91.718,97.973,97.039,89.248,98.704,101.756,109.448,107.441,100.953,99.288,99.707,100.783,102.358,95.713,95.562,104.163,92.187,78.517,101.048,121.584
"176","168","    Health care","DHLCRA3",15.998,16.12,16.178,16.135,16.356,16.474,16.045,16.38,16.554,17.018,17.158,17.424,17.848,18.333,18.837,19.274,19.522,19.693,19.828,20.161,20.957,21.77,22.509,22.939,23.321,23.248,22.823,22.805,23.199,24.018,24.677,25.326,25.409,25.448,25.417,25.482,26.162,27.164,27.809,28.517,29.002,29.368,29.546,29.866,30.399,30.564,31.15,31.991,32.311,32.92,33.621,34.181,34.709,35.301,35.794,36.34,37.344,38.014,38.376,38.63,38.976,39.352,39.489,39.785,40.81,41.442,41.25,42.216,42.621,43.048,43.447,43.859,44.325,45.317,45.791,45.93,46.751,47.482,47.569,47.871,48.143,48.824,49.325,49.768,49.847,49.472,50.668,51.714,52.22,53.149,53.28,52.776,52.445,52.804,53.063,53.625,54.005,54.603,54.731,54.929,55.268,55.273,55.509,55.753,56.205,56.636,57.493,58.241,58.532,58.593,58.997,59.589,60.291,61.02,61.86,62.341,63.071,63.557,64.172,64.362,64.519,64.305,64.32,64.938,65.751,66.546,67.158,67.313,67.257,67.653,68.128,68.842,69.422,69.986,70.375,70.305,70.413,70.303,70.377,70.414,70.542,70.771,71.011,71.387,71.845,72.177,72.611,72.954,72.987,73.705,73.978,74.906,75.309,75.715,76.501,77.227,78.191,78.563,78.923,78.975,79.145,79.459,80.103,80.862,81.333,82.407,82.968,83.843,85.052,86.016,87.285,88.679,90.427,91.715,92.423,92.906,93.276,93.487,94.04,94.577,95.263,96.29,97.516,98.263,99.509,99.799,100.302,100.391,101.459,101.788,101.601,102.507,103.625,103.97,104.283,104.974,105.87,106.632,107.109,107.154,107.755,108.565,109.041,108.838,108.355,109.181,110.408,111.826,112.982,113.783,113.549,114.58,115.617,115.239,114.823
"177","169","      Outpatient services","DOUTRA3",14.935,15.007,15.15,15.271,15.422,15.768,15.45,15.758,15.705,16.185,16.108,16.292,16.666,17.169,17.669,18.074,18.199,18.167,18.199,18.43,19.249,20.396,21.539,22.423,22.49,22.111,21.145,20.737,20.852,21.438,22.136,22.77,22.631,21.975,21.285,20.746,21.533,22.176,22.841,23.247,23.385,23.353,23.473,23.589,23.984,24.37,24.727,24.966,24.777,24.64,24.783,25.114,25.637,25.923,26.266,27.085,27.952,28.672,29.405,29.287,29.837,29.315,29.121,29.377,30.15,30.52,30.541,30.904,30.847,31.304,31.121,31.42,31.684,32.421,33.325,33.354,33.649,33.552,33.32,33.576,34.064,34.367,35.043,35.335,35.257,34.917,36.001,37.41,37.848,38.545,38.944,38.618,38.121,38.154,38.564,39.069,39.768,40.546,41.324,41.794,42.274,42.523,43.183,43.79,44.284,44.955,45.598,46.087,46.251,46.502,47.273,48.045,49.633,50.297,51.252,51.841,52.808,53.42,54.22,54.912,55.066,55.164,55.43,56.28,57.244,58.575,59.787,60.61,60.487,60.617,61.184,61.678,63.243,64.239,64.786,64.981,64.787,64.547,64.54,64.634,64.895,65.154,65.412,65.855,66.911,67.363,67.863,68.221,68.855,69.298,69.651,69.997,70.23,70.667,71.322,72.148,72.834,73.272,73.635,73.753,73.886,74.36,75.056,75.874,76.786,77.882,78.756,79.873,80.891,82.063,83.374,84.706,86.275,87.683,88.975,90.092,90.824,91.717,92.822,93.867,95.042,96.14,97.3,98.044,98.952,99.692,100.392,100.964,101.513,102.195,102.724,103.184,103.272,103.854,104.727,105.739,106.733,107.642,108.192,108.441,107.932,107.991,108.104,108.269,108.296,108.51,109.205,110.295,111.818,112.613,112.783,112.879,113.289,113.641,113.772
"178","170","        Physician services (44)","DPHYRA3",19.084,19.121,19.253,19.348,19.47,19.949,19.176,19.574,19.274,20.039,19.644,19.76,20.169,20.742,21.334,21.776,21.908,21.811,21.786,22.002,23.021,24.486,25.862,26.946,26.829,26.237,24.53,23.941,24.084,24.884,25.827,26.71,26.874,26.513,26.091,25.723,26.366,26.797,27.345,27.887,28.091,28.418,28.875,29.256,29.619,29.976,30.292,30.54,30.555,30.647,30.961,31.398,31.899,32.308,32.55,33.231,34.139,34.789,35.438,35.237,35.592,35.24,34.938,35.419,36.032,36.657,36.318,36.445,36.237,36.391,35.298,35.547,36.241,37.454,38.873,38.234,38.5,38.325,38.138,38.413,38.914,39.382,40.323,40.853,41.072,40.728,42.214,43.874,44.069,44.484,45.108,44.685,44.359,44.316,44.632,45.169,45.839,46.265,46.858,47.416,47.802,48.116,48.659,49.289,50.017,50.497,51.025,51.492,51.431,51.52,52.253,53.322,54.68,55.951,57.137,57.777,58.839,59.536,60.089,60.31,60.167,59.982,60.214,60.746,61.407,61.972,62.483,62.832,62.935,62.94,63.141,63.477,64.602,65.233,65.319,64.987,64.133,63.205,62.405,61.944,62.132,62.167,62.243,62.317,62.974,63.153,63.368,63.594,64.517,64.734,64.902,65.026,65.467,66.176,66.896,67.616,68.239,68.775,69.224,69.553,69.789,70.257,71.058,72.163,73.483,74.734,75.866,76.854,77.714,78.762,80.082,81.654,83.448,85.165,86.809,88.348,89.482,90.603,91.859,93.132,94.286,95.51,96.728,97.91,98.925,99.783,100.438,100.854,101.891,102.924,103.528,103.653,103.106,103.05,103.664,104.966,106.276,107.488,108.28,108.575,107.917,107.512,107.51,107.604,107.575,107.323,107.68,108.536,109.955,110.62,110.529,110.287,110.657,110.837,111.028
"179","171","        Dental services (45)","DDENRA3",26.782,26.716,26.589,26.52,26.639,27.042,27.303,27.731,27.985,28.091,28.332,28.348,28.72,29.254,29.726,30.039,29.748,29.205,28.674,28.777,29.908,32.07,34.195,35.712,35.634,34.473,33.181,32.225,32.542,33.785,35.285,36.702,37.255,37.314,37.137,36.885,37.555,38.142,39.026,40.027,40.744,41.499,42.54,43.277,44.157,44.851,45.151,45.101,44.647,44.036,44.177,44.769,46.067,45.854,46.455,49.117,50.955,52.704,54.66,53.732,54.911,54.262,53.414,54.577,55.75,55.149,55.428,56.467,55.916,58.174,60.383,60.878,60.343,60.125,60.298,62.657,63.338,63.59,62.01,62.179,63.189,62.574,63.032,62.206,61.59,60.693,62.622,65.849,66.329,68.295,67.697,66.455,66.649,67.008,67.421,67.713,67.882,68.297,68.623,68.835,68.727,68.915,69.158,69.542,70.361,70.991,71.528,71.861,71.945,72.023,72.413,73.088,73.978,74.868,75.34,75.434,74.912,74.537,74.294,74.315,74.468,74.688,75.077,75.541,75.351,75.427,75.231,74.822,73.737,73.437,73.505,73.846,75.253,76.113,76.699,76.959,76.207,76.154,76.207,76.438,76.977,77.427,77.953,78.497,79.731,79.939,79.739,79.385,79.586,80.097,80.444,80.792,81.021,81.357,81.861,82.556,83.196,83.825,84.376,84.812,85.13,85.566,86.208,87.011,87.917,88.863,89.854,90.865,91.869,92.972,94.219,95.589,96.974,97.859,98.193,97.932,97.204,96.778,96.962,97.644,98.527,99.391,99.995,100.309,100.306,100.161,99.938,99.595,99.306,99.258,99.44,99.816,100.258,100.605,100.888,101.075,101.192,100.989,100.604,100.013,98.726,97.781,97.299,97.327,96.817,96.639,97.473,98.556,100.532,101.419,101.689,101.758,101.999,101.729,101.823
