"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"23","4","    Agriculture, forestry, and fishing","J424RC1","19,582.0","23,216.0","22,831.0","21,345.0","17,927.0","17,331.0","16,591.0","16,226.0","17,002.0","17,179.0","18,412.0","19,415.0","20,409.0","21,050.0","20,686.0","21,174.0","19,461.0","20,214.0","21,479.0","18,495.0","18,719.0","17,923.0","17,270.0","16,944.0","18,157.0","17,222.0","17,329.0","16,133.0","16,396.0","16,824.0","16,234.0","15,397.0","15,696.0","15,861.0","16,261.0","16,291.0","15,411.0","15,779.0","16,230.0","16,074.0","18,597.0","18,615.0","17,887.0","16,934.0","16,970.0","15,822.0","15,656.0","16,473.0","15,964.0","16,920.0","17,569.0","18,106.0","18,009.0","16,641.0","16,993.0","17,800.0","18,114.0","17,584.0","17,172.0","17,637.0","18,151.0","17,438.0","17,316.0","17,441.0","16,244.0","16,234.0","16,177.0","17,439.0","18,347.0","19,030.0","19,234.0","19,715.0","21,882.0","19,382.0","19,201.0","19,149.0","19,160.0","18,456.0","19,456.0","19,182.0","19,281.0","19,001.0","19,882.0","20,316.0","19,756.0","21,134.0","21,904.0","23,089.0","22,557.0","21,520.0","22,459.0","21,934.0","23,122.0","23,522.0","23,770.0","25,458.0","23,503.0","26,232.0","28,527.0","34,356.0","35,245.0","41,602.0","44,694.0","53,724.0","46,416.0","39,225.0","41,053.0","43,621.0","40,280.0","41,308.0","45,528.0","46,748.0","43,093.0","41,526.0","40,923.0","41,389.0","41,313.0","39,782.0","37,676.0","45,438.0","44,510.0","48,868.0","49,830.0","47,984.0","56,202.0","55,210.0","57,647.0","57,473.0","51,399.0","41,908.0","51,007.0","58,753.0","59,452.0","60,582.0","66,478.0","60,370.0","58,899.0","58,420.0","59,969.0","57,727.0","56,941.0","48,629.0","39,977.0","44,329.0","61,043.0","63,036.0","62,742.0","65,254.0","65,605.0","62,927.0","60,520.0","61,544.0","58,354.0","58,407.0","64,583.0","63,885.0","64,026.0","64,694.0","66,500.0","69,470.0"
"24","5","    Mining","J734RC1","5,621.0","5,629.0","6,187.0","6,092.0","5,728.0","5,328.0","4,699.0","4,458.0","4,800.0","5,841.0","6,346.0","6,452.0","6,315.0","6,380.0","6,454.0","6,480.0","6,619.0","5,911.0","6,083.0","6,377.0","6,275.0","6,259.0","6,409.0","6,162.0","6,085.0","6,070.0","6,041.0","6,272.0","6,470.0","6,747.0","6,827.0","7,237.0","7,514.0","7,710.0","7,507.0","7,692.0","7,645.0","7,739.0","7,718.0","7,344.0","7,065.0","6,677.0","6,792.0","6,907.0","6,791.0","6,824.0","6,320.0","6,416.0","6,629.0","6,903.0","6,871.0","6,908.0","6,785.0","6,799.0","6,998.0","7,064.0","6,945.0","6,810.0","6,703.0","6,795.0","6,932.0","7,266.0","7,350.0","7,348.0","7,425.0","7,579.0","7,408.0","7,568.0","7,633.0","7,575.0","7,644.0","7,707.0","7,864.0","7,784.0","8,082.0","8,032.0","8,051.0","8,074.0","8,226.0","8,214.0","8,555.0","9,121.0","9,198.0","8,926.0","9,019.0","9,108.0","9,336.0","9,496.0","9,808.0","10,220.0","10,626.0","11,135.0","11,063.0","10,784.0","10,878.0","10,342.0","11,820.0","11,571.0","11,868.0","12,334.0","12,805.0","13,215.0","14,379.0","15,708.0","17,734.0","20,297.0","22,343.0","22,181.0","24,863.0","24,457.0","24,585.0","25,473.0","26,096.0","25,190.0","25,964.0","27,462.0","29,281.0","32,562.0","32,994.0","32,257.0","29,558.0","36,100.0","35,798.0","38,521.0","36,994.0","40,470.0","44,797.0","47,662.0","53,515.0","60,589.0","67,198.0","76,869.0","83,961.0","85,581.0","93,538.0","93,652.0","88,849.0","85,248.0","77,454.0","71,546.0","66,462.0","63,614.0","62,899.0","63,486.0","65,606.0","68,856.0","67,772.0","66,020.0","64,918.0","61,780.0","59,124.0","55,689.0","50,112.0","44,372.0","41,136.0","36,013.0","38,135.0","42,552.0","43,992.0","47,839.0"
"25","6","    Construction","J735RC1","10,185.0","10,972.0","11,582.0","11,565.0","11,306.0","10,889.0","10,832.0","10,904.0","11,323.0","12,074.0","13,006.0","13,714.0","14,286.0","14,847.0","15,044.0","15,284.0","15,774.0","15,807.0","16,218.0","16,497.0","16,711.0","16,437.0","16,442.0","16,785.0","16,682.0","16,753.0","16,541.0","16,783.0","17,265.0","17,912.0","18,181.0","18,131.0","18,901.0","19,831.0","20,367.0","20,595.0","20,667.0","20,909.0","20,800.0","20,813.0","20,134.0","20,014.0","20,304.0","20,947.0","21,570.0","22,205.0","22,311.0","22,367.0","22,407.0","22,613.0","22,792.0","22,690.0","23,082.0","23,343.0","23,707.0","24,372.0","24,567.0","25,224.0","25,686.0","26,015.0","26,207.0","26,842.0","27,523.0","27,868.0","28,615.0","29,419.0","29,996.0","30,797.0","31,511.0","32,105.0","32,623.0","34,027.0","34,709.0","35,611.0","35,897.0","35,930.0","36,394.0","36,557.0","37,564.0","38,171.0","38,957.0","40,254.0","40,986.0","42,516.0","44,011.0","45,698.0","46,511.0","46,043.0","46,989.0","46,998.0","48,237.0","49,583.0","49,988.0","52,367.0","53,370.0","54,914.0","56,743.0","57,549.0","58,567.0","60,399.0","64,231.0","65,422.0","67,108.0","67,859.0","70,833.0","70,664.0","70,258.0","70,742.0","70,032.0","68,598.0","70,513.0","73,022.0","77,490.0","80,188.0","81,965.0","83,797.0","85,163.0","88,952.0","90,739.0","93,260.0","96,137.0","104,963.0","109,539.0","112,021.0","113,727.0","117,628.0","121,053.0","123,190.0","125,641.0","121,522.0","123,424.0","129,949.0","129,148.0","125,516.0","124,959.0","124,074.0","123,690.0","125,064.0","123,872.0","125,016.0","127,824.0","128,304.0","132,308.0","136,915.0","145,376.0","152,829.0","155,024.0","157,942.0","164,103.0","165,297.0","168,872.0","172,612.0","179,998.0","184,171.0","188,094.0","192,595.0","195,641.0","200,450.0","202,812.0","206,973.0"
"26","7","    Manufacturing","J426RC1","72,738.0","73,798.0","75,346.0","76,647.0","73,492.0","70,127.0","71,764.0","68,367.0","72,819.0","79,252.0","87,392.0","93,367.0","95,572.0","97,884.0","98,098.0","98,826.0","99,415.0","97,737.0","98,749.0","107,397.0","111,690.0","112,100.0","110,649.0","102,544.0","102,625.0","102,345.0","101,379.0","106,067.0","111,969.0","116,387.0","118,632.0","122,380.0","121,594.0","122,141.0","121,407.0","126,817.0","129,330.0","127,875.0","127,124.0","122,362.0","114,905.0","113,568.0","118,868.0","125,370.0","131,552.0","138,672.0","132,931.0","132,213.0","140,878.0","136,150.0","133,883.0","129,546.0","127,481.0","133,487.0","137,083.0","142,342.0","144,592.0","146,260.0","147,670.0","150,130.0","150,811.0","154,777.0","157,037.0","159,500.0","162,964.0","165,387.0","168,914.0","169,943.0","179,642.0","181,782.0","184,840.0","190,833.0","198,667.0","201,902.0","203,599.0","206,651.0","204,886.0","203,964.0","206,207.0","211,854.0","217,292.0","224,153.0","226,692.0","232,924.0","235,385.0","235,905.0","238,795.0","237,191.0","230,984.0","234,381.0","232,838.0","223,153.0","238,822.0","241,831.0","241,377.0","247,601.0","257,607.0","263,474.0","269,361.0","281,052.0","295,364.0","299,578.0","301,647.0","308,272.0","309,246.0","314,007.0","324,238.0","320,120.0","308,372.0","322,542.0","345,856.0","355,880.0","375,910.0","379,748.0","385,330.0","389,663.0","405,853.0","428,996.0","444,915.0","456,757.0","455,792.0","487,798.0","497,850.0","514,829.0","528,228.0","532,039.0","538,071.0","544,216.0","556,005.0","533,147.0","541,709.0","577,913.0","599,109.0","611,348.0","629,199.0","607,929.0","596,273.0","600,610.0","602,693.0","580,764.0","589,460.0","609,194.0","635,698.0","663,515.0","687,863.0","695,880.0","697,361.0","704,048.0","703,619.0","708,272.0","726,734.0","732,694.0","718,567.0","714,125.0","708,652.0","734,341.0","736,891.0","757,152.0","787,048.0","800,407.0"
"27","8","      Durable goods","J428RC1","36,251.0","36,172.0","37,470.0","38,767.0","37,608.0","35,289.0","36,440.0","33,414.0","37,113.0","41,942.0","47,873.0","51,827.0","52,748.0","54,112.0","53,598.0","54,906.0","55,856.0","54,223.0","54,363.0","61,586.0","64,912.0","64,993.0","63,926.0","57,494.0","57,245.0","57,034.0","56,110.0","59,210.0","63,703.0","66,513.0","68,023.0","69,742.0","68,723.0","69,132.0","68,388.0","73,125.0","75,616.0","74,283.0","73,490.0","69,442.0","63,096.0","61,788.0","64,895.0","70,092.0","74,887.0","81,063.0","74,862.0","74,485.0","82,027.0","77,671.0","75,185.0","72,064.0","69,912.0","74,275.0","77,009.0","81,197.0","83,165.0","84,065.0","85,492.0","86,948.0","87,531.0","90,554.0","91,374.0","93,329.0","95,562.0","96,903.0","99,482.0","99,251.0","106,916.0","108,258.0","110,321.0","114,069.0","119,461.0","120,749.0","122,194.0","123,991.0","122,165.0","122,075.0","122,830.0","125,863.0","129,574.0","133,792.0","134,305.0","139,751.0","141,847.0","140,667.0","141,993.0","140,652.0","133,891.0","136,324.0","134,184.0","124,800.0","138,038.0","139,584.0","137,872.0","142,764.0","150,277.0","155,238.0","158,052.0","167,129.0","177,271.0","179,830.0","181,369.0","183,177.0","181,914.0","182,389.0","187,515.0","187,725.0","177,858.0","182,287.0","195,751.0","199,679.0","213,739.0","218,663.0","222,155.0","225,427.0","237,174.0","250,135.0","260,015.0","270,371.0","269,910.0","290,849.0","296,628.0","308,177.0","315,792.0","315,810.0","313,693.0","314,007.0","318,313.0","300,989.0","308,822.0","335,089.0","343,472.0","351,258.0","348,780.0","338,920.0","330,714.0","336,168.0","331,124.0","311,105.0","325,099.0","336,281.0","354,229.0","375,163.0","399,637.0","401,805.0","410,366.0","414,426.0","410,894.0","413,325.0","416,795.0","421,391.0","420,201.0","419,089.0","419,372.0","432,438.0","443,826.0","446,645.0","456,590.0","456,574.0"
"28","9","      Nondurable goods","J427RC1","36,487.0","37,626.0","37,876.0","37,880.0","35,886.0","34,839.0","35,324.0","34,951.0","35,706.0","37,310.0","39,521.0","41,540.0","42,825.0","43,772.0","44,499.0","43,920.0","43,562.0","43,517.0","44,386.0","45,811.0","46,780.0","47,109.0","46,722.0","45,052.0","45,381.0","45,311.0","45,269.0","46,859.0","48,266.0","49,874.0","50,609.0","52,639.0","52,872.0","53,009.0","53,019.0","53,692.0","53,713.0","53,591.0","53,634.0","52,921.0","51,809.0","51,781.0","53,973.0","55,277.0","56,667.0","57,608.0","58,070.0","57,728.0","58,851.0","58,480.0","58,698.0","57,482.0","57,567.0","59,212.0","60,074.0","61,144.0","61,427.0","62,195.0","62,178.0","63,184.0","63,280.0","64,222.0","65,662.0","66,172.0","67,401.0","68,484.0","69,431.0","70,691.0","72,726.0","73,525.0","74,520.0","76,764.0","79,206.0","81,154.0","81,406.0","82,659.0","82,720.0","81,889.0","83,376.0","85,990.0","87,720.0","90,362.0","92,388.0","93,172.0","93,538.0","95,239.0","96,802.0","96,538.0","97,093.0","98,057.0","98,655.0","98,352.0","100,784.0","102,247.0","103,505.0","104,837.0","107,331.0","108,236.0","111,309.0","113,923.0","118,092.0","119,748.0","120,278.0","125,094.0","127,332.0","131,620.0","136,722.0","132,396.0","130,515.0","140,255.0","150,105.0","156,201.0","162,173.0","161,086.0","163,176.0","164,235.0","168,676.0","178,861.0","184,900.0","186,386.0","185,882.0","196,950.0","201,223.0","206,652.0","212,436.0","216,229.0","224,377.0","230,209.0","237,692.0","232,158.0","232,886.0","242,823.0","255,636.0","260,088.0","280,420.0","269,008.0","265,560.0","264,442.0","271,569.0","269,658.0","264,362.0","272,914.0","281,469.0","288,353.0","288,227.0","294,075.0","286,995.0","289,621.0","292,724.0","294,947.0","309,938.0","311,302.0","298,366.0","295,036.0","289,279.0","301,903.0","293,065.0","310,507.0","330,458.0","343,834.0"
"29","10","    Transportation and public utilities","J737RC1","20,827.0","21,321.0","21,369.0","21,685.0","21,361.0","21,635.0","21,555.0","21,124.0","22,083.0","23,173.0","24,942.0","25,586.0","26,261.0","26,800.0","27,013.0","27,933.0","28,674.0","27,968.0","28,539.0","29,752.0","30,095.0","30,720.0","30,684.0","30,127.0","29,517.0","29,610.0","29,756.0","30,148.0","30,975.0","31,926.0","32,475.0","33,129.0","33,930.0","34,460.0","34,538.0","35,194.0","35,995.0","36,246.0","36,566.0","36,158.0","35,462.0","35,694.0","36,424.0","37,471.0","38,432.0","39,405.0","38,919.0","39,742.0","40,808.0","41,196.0","41,186.0","41,402.0","41,158.0","41,943.0","42,692.0","43,904.0","44,216.0","44,462.0","45,060.0","45,061.0","45,829.0","46,802.0","47,423.0","48,083.0","49,221.0","49,775.0","50,310.0","50,931.0","51,857.0","52,888.0","53,662.0","55,042.0","55,927.0","57,175.0","57,894.0","58,786.0","58,826.0","59,338.0","60,205.0","61,205.0","62,587.0","63,732.0","65,520.0","66,855.0","68,071.0","70,013.0","70,617.0","71,392.0","72,823.0","73,248.0","75,797.0","76,177.0","79,471.0","81,870.0","82,818.0","83,465.0","87,018.0","89,159.0","91,046.0","94,644.0","96,083.0","97,672.0","100,633.0","101,821.0","102,834.0","105,888.0","108,523.0","109,703.0","110,387.0","112,750.0","120,245.0","124,563.0","127,687.0","132,791.0","136,704.0","138,176.0","141,278.0","146,517.0","151,781.0","154,813.0","157,298.0","166,363.0","169,218.0","174,751.0","175,391.0","176,301.0","178,017.0","184,165.0","188,699.0","189,865.0","197,245.0","207,900.0","206,173.0","211,807.0","224,257.0","227,591.0","232,021.0","235,642.0","233,527.0","233,704.0","239,379.0","252,958.0","254,046.0","263,659.0","271,596.0","277,903.0","280,419.0","282,552.0","282,712.0","285,570.0","289,371.0","291,369.0","298,728.0","303,071.0","305,402.0","306,220.0","311,468.0","323,242.0","323,490.0","328,730.0"
"30","11","      Transportation","J429RC1","13,640.0","13,869.0","13,860.0","13,891.0","13,368.0","13,312.0","13,055.0","12,655.0","13,406.0","14,119.0","15,487.0","16,027.0","16,125.0","16,523.0","16,366.0","16,906.0","17,377.0","16,708.0","16,898.0","17,640.0","17,676.0","18,033.0","17,767.0","17,152.0","16,480.0","16,325.0","16,291.0","16,553.0","17,155.0","17,704.0","18,144.0","18,327.0","18,823.0","19,107.0","18,777.0","19,324.0","19,625.0","19,657.0","19,838.0","19,188.0","18,245.0","18,110.0","18,534.0","19,186.0","19,486.0","19,939.0","18,945.0","19,369.0","20,045.0","19,947.0","19,630.0","19,601.0","19,255.0","19,664.0","20,179.0","20,755.0","20,819.0","20,807.0","20,914.0","21,020.0","21,016.0","21,830.0","21,905.0","22,320.0","22,776.0","22,886.0","23,226.0","23,343.0","23,877.0","24,749.0","25,263.0","25,822.0","26,323.0","26,903.0","26,903.0","27,506.0","27,099.0","27,032.0","27,517.0","27,824.0","28,648.0","29,265.0","29,727.0","30,233.0","30,440.0","31,629.0","31,675.0","32,155.0","32,479.0","32,187.0","34,025.0","33,623.0","35,040.0","36,481.0","37,193.0","37,151.0","39,287.0","39,563.0","40,634.0","42,704.0","43,992.0","44,430.0","45,491.0","46,821.0","48,771.0","50,254.0","50,920.0","49,326.0","47,388.0","46,930.0","51,230.0","53,565.0","55,828.0","57,903.0","60,428.0","59,665.0","62,008.0","64,562.0","66,568.0","67,599.0","66,645.0","74,322.0","75,520.0","78,250.0","79,015.0","79,745.0","80,528.0","84,400.0","84,748.0","82,184.0","84,043.0","88,526.0","88,322.0","88,097.0","90,448.0","89,570.0","88,117.0","89,104.0","85,942.0","86,542.0","87,477.0","94,000.0","97,675.0","101,165.0","105,804.0","107,927.0","108,856.0","107,877.0","107,730.0","109,104.0","110,051.0","110,907.0","114,855.0","118,535.0","120,716.0","122,417.0","123,644.0","127,178.0","128,125.0","132,124.0"
"31","12","      Communication","J430RC1","3,670.0","3,798.0","3,801.0","3,882.0","3,917.0","4,086.0","4,127.0","4,188.0","4,258.0","4,447.0","4,763.0","4,741.0","5,040.0","5,078.0","5,271.0","5,439.0","5,607.0","5,564.0","5,815.0","6,045.0","6,263.0","6,441.0","6,480.0","6,500.0","6,355.0","6,422.0","6,463.0","6,558.0","6,748.0","6,951.0","7,111.0","7,299.0","7,462.0","7,582.0","7,832.0","7,937.0","8,190.0","8,301.0","8,345.0","8,467.0","8,518.0","8,732.0","8,882.0","9,069.0","9,483.0","9,741.0","9,910.0","10,073.0","10,193.0","10,416.0","10,627.0","10,711.0","10,815.0","10,919.0","11,050.0","11,333.0","11,605.0","11,701.0","11,972.0","12,004.0","12,286.0","12,490.0","12,784.0","12,917.0","13,201.0","13,493.0","13,499.0","13,828.0","14,181.0","14,172.0","14,512.0","14,964.0","15,094.0","15,455.0","15,895.0","16,114.0","16,468.0","16,786.0","17,136.0","17,331.0","17,667.0","17,698.0","18,567.0","19,214.0","19,877.0","20,422.0","20,580.0","20,987.0","21,553.0","22,281.0","22,786.0","23,128.0","23,705.0","24,041.0","23,689.0","24,345.0","25,622.0","26,199.0","26,881.0","27,466.0","27,895.0","28,734.0","29,917.0","29,892.0","30,323.0","31,159.0","31,595.0","32,883.0","32,283.0","33,545.0","34,960.0","35,610.0","36,565.0","37,659.0","38,845.0","39,796.0","39,815.0","41,669.0","42,087.0","44,350.0","46,180.0","47,738.0","48,607.0","49,175.0","49,913.0","51,372.0","52,124.0","52,703.0","55,016.0","56,123.0","59,255.0","62,859.0","63,538.0","64,352.0","67,667.0","69,195.0","70,524.0","72,292.0","73,298.0","73,709.0","76,710.0","78,862.0","74,332.0","78,377.0","79,779.0","81,579.0","80,308.0","80,798.0","81,875.0","84,409.0","86,833.0","88,363.0","91,337.0","91,019.0","91,494.0","91,209.0","91,064.0","93,560.0","95,662.0","95,759.0"
"32","13","      Electric, gas, and sanitary services","J431RC1","3,515.0","3,653.0","3,708.0","3,912.0","4,076.0","4,235.0","4,372.0","4,282.0","4,417.0","4,607.0","4,693.0","4,819.0","5,097.0","5,199.0","5,378.0","5,588.0","5,691.0","5,697.0","5,827.0","6,069.0","6,156.0","6,246.0","6,436.0","6,475.0","6,683.0","6,863.0","7,002.0","7,038.0","7,073.0","7,271.0","7,221.0","7,505.0","7,647.0","7,770.0","7,929.0","7,933.0","8,179.0","8,287.0","8,385.0","8,503.0","8,700.0","8,852.0","9,008.0","9,215.0","9,461.0","9,726.0","10,063.0","10,300.0","10,571.0","10,834.0","10,932.0","11,091.0","11,088.0","11,360.0","11,463.0","11,815.0","11,793.0","11,955.0","12,173.0","12,036.0","12,528.0","12,482.0","12,734.0","12,847.0","13,244.0","13,395.0","13,586.0","13,761.0","13,800.0","13,968.0","13,887.0","14,257.0","14,510.0","14,817.0","15,096.0","15,164.0","15,259.0","15,520.0","15,553.0","16,051.0","16,274.0","16,770.0","17,225.0","17,409.0","17,755.0","17,961.0","18,362.0","18,249.0","18,791.0","18,780.0","18,985.0","19,426.0","20,725.0","21,346.0","21,935.0","21,968.0","22,107.0","23,396.0","23,531.0","24,473.0","24,196.0","24,507.0","25,224.0","25,108.0","23,741.0","24,476.0","26,008.0","27,494.0","30,718.0","32,273.0","34,055.0","35,387.0","35,293.0","37,231.0","37,430.0","38,713.0","39,456.0","40,287.0","43,126.0","42,864.0","44,474.0","44,301.0","45,091.0","47,325.0","46,462.0","45,182.0","45,364.0","47,062.0","48,934.0","51,558.0","53,946.0","56,515.0","54,314.0","59,358.0","66,143.0","68,826.0","73,379.0","74,246.0","74,286.0","73,452.0","75,191.0","80,095.0","82,039.0","84,115.0","86,013.0","88,398.0","91,256.0","93,877.0","93,107.0","92,057.0","92,487.0","92,098.0","92,536.0","93,519.0","93,192.0","92,596.0","96,761.0","102,504.0","99,702.0","100,847.0"
"33","14","    Wholesale trade","J433RC1","16,646.0","17,120.0","17,256.0","17,305.0","17,019.0","16,627.0","16,528.0","16,183.0","16,896.0","17,464.0","19,071.0","19,428.0","20,516.0","20,645.0","20,781.0","21,178.0","21,090.0","21,152.0","21,397.0","21,591.0","21,775.0","22,142.0","21,993.0","21,618.0","21,719.0","21,765.0","22,056.0","23,062.0","23,747.0","24,446.0","25,210.0","25,674.0","25,877.0","26,694.0","27,616.0","27,893.0","28,309.0","28,370.0","28,608.0","28,325.0","27,786.0","28,121.0","29,639.0","31,190.0","32,143.0","33,612.0","34,405.0","34,483.0","35,344.0","35,118.0","35,544.0","35,593.0","35,534.0","35,914.0","36,846.0","37,794.0","38,291.0","38,618.0","39,276.0","39,340.0","39,662.0","40,292.0","41,039.0","41,641.0","42,585.0","43,296.0","44,018.0","44,257.0","45,667.0","46,731.0","46,664.0","48,211.0","49,867.0","50,556.0","51,027.0","51,961.0","52,693.0","53,150.0","54,142.0","55,122.0","56,318.0","58,447.0","60,370.0","61,257.0","62,221.0","63,530.0","64,729.0","66,318.0","66,824.0","67,505.0","68,768.0","69,765.0","71,505.0","72,149.0","74,764.0","76,429.0","78,545.0","80,543.0","83,383.0","85,641.0","89,270.0","88,770.0","91,904.0","97,364.0","98,698.0","104,592.0","103,314.0","108,987.0","110,653.0","110,773.0","114,093.0","117,132.0","119,587.0","119,254.0","120,839.0","122,463.0","124,921.0","132,792.0","138,980.0","134,826.0","141,199.0","147,905.0","152,644.0","157,742.0","162,099.0","167,693.0","171,760.0","175,636.0","176,479.0","176,673.0","178,145.0","185,905.0","194,326.0","196,328.0","198,218.0","207,210.0","202,017.0","203,118.0","202,674.0","203,565.0","204,481.0","212,654.0","218,820.0","225,563.0","240,124.0","244,263.0","253,519.0","258,322.0","258,352.0","258,514.0","261,648.0","260,289.0","265,149.0","268,084.0","279,138.0","276,918.0","281,533.0","283,315.0","289,535.0","290,969.0"
"34","15","    Retail trade","J434RC1","27,961.0","28,974.0","29,173.0","29,538.0","29,361.0","29,110.0","28,651.0","28,233.0","29,205.0","29,806.0","30,568.0","30,519.0","33,047.0","31,674.0","32,441.0","33,120.0","32,680.0","34,362.0","34,263.0","36,000.0","35,401.0","35,491.0","35,291.0","34,588.0","34,703.0","35,205.0","36,876.0","37,252.0","38,399.0","37,954.0","38,470.0","38,698.0","38,793.0","39,659.0","40,843.0","40,851.0","41,562.0","41,798.0","42,670.0","42,109.0","41,218.0","41,872.0","43,005.0","44,891.0","45,701.0","46,680.0","46,665.0","47,228.0","47,331.0","48,163.0","47,797.0","47,426.0","48,130.0","48,598.0","49,018.0","50,037.0","51,452.0","52,260.0","52,728.0","53,128.0","53,929.0","54,394.0","54,986.0","56,068.0","57,945.0","59,513.0","61,288.0","62,027.0","63,047.0","63,546.0","64,804.0","66,557.0","67,478.0","68,483.0","69,475.0","70,709.0","72,028.0","73,529.0","75,478.0","76,697.0","79,678.0","81,653.0","83,907.0","84,867.0","86,881.0","89,226.0","90,928.0","91,560.0","93,120.0","94,919.0","96,364.0","97,120.0","100,283.0","101,714.0","105,504.0","107,866.0","108,882.0","110,525.0","112,541.0","118,934.0","120,867.0","122,841.0","125,762.0","128,076.0","127,164.0","129,655.0","131,950.0","131,934.0","137,259.0","142,772.0","148,553.0","153,337.0","160,070.0","162,298.0","166,362.0","169,406.0","172,704.0","178,471.0","185,516.0","190,424.0","194,339.0","202,957.0","204,392.0","211,625.0","215,311.0","218,032.0","221,053.0","226,371.0","221,785.0","223,219.0","230,632.0","233,098.0","246,810.0","248,256.0","252,614.0","250,848.0","255,238.0","261,805.0","265,226.0","274,046.0","281,325.0","287,925.0","296,832.0","303,089.0","316,977.0","327,511.0","330,090.0","330,679.0","342,349.0","348,020.0","355,602.0","356,349.0","370,867.0","372,273.0","382,247.0","382,782.0","390,360.0","396,056.0","405,915.0","410,650.0"
"35","16","    Finance, insurance, and real estate","J435RC1","22,281.0","22,967.0","23,549.0","23,963.0","24,407.0","24,786.0","25,187.0","25,704.0","26,441.0","27,127.0","28,042.0","28,667.0","29,492.0","29,958.0","30,694.0","31,849.0","32,329.0","33,221.0","34,138.0","35,106.0","35,954.0","36,699.0","37,656.0","38,331.0","39,055.0","39,970.0","40,768.0","41,841.0","42,702.0","43,512.0","43,829.0","44,715.0","45,544.0","46,232.0","47,156.0","48,132.0","48,843.0","49,436.0","50,404.0","51,192.0","52,249.0","53,207.0","53,948.0","54,978.0","54,472.0","56,759.0","57,959.0","59,206.0","60,422.0","61,107.0","61,635.0","62,126.0","63,365.0","64,959.0","65,556.0","66,559.0","67,518.0","68,678.0","69,991.0","70,903.0","71,430.0","72,338.0","73,673.0","75,076.0","76,547.0","77,457.0","79,005.0","79,886.0","81,385.0","82,779.0","84,244.0","86,193.0","87,571.0","88,717.0","90,067.0","91,432.0","93,424.0","95,311.0","97,496.0","99,012.0","101,684.0","103,901.0","106,231.0","107,817.0","111,975.0","113,637.0","115,614.0","117,404.0","118,610.0","120,261.0","124,506.0","127,969.0","130,398.0","134,610.0","139,174.0","141,497.0","144,452.0","144,343.0","150,151.0","154,139.0","157,792.0","160,207.0","162,586.0","166,521.0","169,453.0","173,466.0","179,611.0","184,483.0","190,633.0","192,929.0","196,864.0","201,872.0","206,074.0","211,038.0","216,226.0","221,254.0","225,473.0","234,563.0","242,963.0","251,774.0","260,563.0","270,464.0","277,307.0","285,105.0","292,339.0","297,992.0","304,597.0","318,784.0","334,650.0","334,825.0","338,842.0","368,960.0","374,588.0","380,254.0","399,777.0","405,854.0","408,886.0","422,444.0","428,968.0","441,254.0","454,971.0","468,114.0","483,712.0","496,844.0","502,622.0","519,115.0","541,278.0","556,991.0","568,684.0","575,678.0","576,235.0","591,472.0","618,831.0","627,987.0","628,830.0","633,201.0","644,003.0","661,428.0","681,957.0","699,033.0"
