"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"22","4","    Agriculture, forestry, and fishing","J424RC1","21,742.0","17,018.0","18,000.0","20,829.0","19,912.0","17,712.0","17,210.0","16,211.0","16,027.0","15,874.0","18,004.0","16,230.0","17,139.0","17,361.0","17,624.0","17,586.0","16,524.0","19,082.0","19,904.0","19,064.0","19,623.0","21,471.0","22,118.0","23,969.0","28,152.0","43,817.0","42,580.0","43,466.0","41,734.0","41,056.0","47,798.0","56,632.0","50,766.0","61,720.0","58,755.0","47,468.0","63,018.0","62,650.0","61,308.0","66,172.0"
"23","5","    Mining","J734RC1","5,882.0","5,053.0","5,860.0","6,407.0","6,248.0","6,276.0","6,117.0","6,820.0","7,606.0","7,612.0","6,861.0","6,587.0","6,828.0","6,911.0","6,813.0","7,223.0","7,496.0","7,640.0","7,940.0","8,141.0","8,949.0","9,240.0","10,449.0","10,767.0","11,898.0","14,028.0","20,639.0","24,843.0","26,177.0","31,774.0","34,994.0","42,481.0","64,543.0","89,182.0","80,775.0","64,114.0","67,064.0","60,379.0","42,909.0","43,130.0"
"24","6","    Construction","J735RC1","11,079.0","10,983.0","12,529.0","14,865.0","16,075.0","16,595.0","16,690.0","17,873.0","19,924.0","20,797.0","20,350.0","22,113.0","22,626.0","23,626.0","25,374.0","27,112.0","29,708.0","32,566.0","35,537.0","37,172.0","40,679.0","45,566.0","47,951.0","52,659.0","58,314.0","66,149.0","70,609.0","70,541.0","80,856.0","89,520.0","105,659.0","118,888.0","125,135.0","125,924.0","124,412.0","131,338.0","152,792.0","167,721.0","186,215.0","201,470.0"
"25","7","    Manufacturing","J426RC1","74,630.0","70,938.0","83,208.0","97,596.0","100,826.0","109,247.0","103,104.0","117,343.0","122,991.0","126,673.0","118,178.0","133,843.0","135,115.0","135,097.0","147,163.0","155,531.0","166,802.0","184,276.0","202,703.0","206,729.0","225,271.0","236,826.0","230,335.0","242,408.0","267,875.0","301,222.0","316,916.0","333,162.0","382,666.0","434,139.0","489,073.0","535,649.0","552,195.0","611,899.0","595,084.0","624,468.0","696,288.0","717,830.0","718,920.0","770,372.0"
"26","8","      Durable goods","J428RC1","37,165.0","35,687.0","44,689.0","53,843.0","56,505.0","62,829.0","57,399.0","66,993.0","69,840.0","73,206.0","64,966.0","76,325.0","76,737.0","75,597.0","84,918.0","90,697.0","97,799.0","109,891.0","121,597.0","123,236.0","134,361.0","141,296.0","132,294.0","139,564.0","157,671.0","180,419.0","184,900.0","188,894.0","219,998.0","254,432.0","291,396.0","314,837.0","315,806.0","345,610.0","327,277.0","347,695.0","406,559.0","415,601.0","422,776.0","450,908.0"
"27","9","      Nondurable goods","J427RC1","37,466.0","35,252.0","38,519.0","43,754.0","44,320.0","46,417.0","45,706.0","50,349.0","53,150.0","53,467.0","53,212.0","57,518.0","58,378.0","59,499.0","62,246.0","64,835.0","69,003.0","74,384.0","81,106.0","83,493.0","90,910.0","95,530.0","98,042.0","102,845.0","110,204.0","120,803.0","132,016.0","144,268.0","162,667.0","179,706.0","197,676.0","220,813.0","236,390.0","266,290.0","267,807.0","276,775.0","289,729.0","302,228.0","296,145.0","319,464.0"
"28","10","    Transportation and public utilities","J737RC1","21,300.0","21,419.0","23,946.0","27,002.0","28,734.0","30,406.0","29,757.0","32,126.0","34,531.0","36,241.0","36,262.0","39,124.0","41,147.0","42,423.0","44,700.0","47,034.0","50,059.0","53,362.0","57,446.0","59,894.0","64,674.0","70,022.0","74,514.0","81,908.0","90,467.0","99,051.0","106,737.0","116,986.0","133,839.0","148,598.0","166,908.0","178,470.0","195,928.0","217,459.0","233,724.0","252,510.0","278,116.0","287,282.0","303,367.0","321,729.0"
"29","11","      Transportation","J429RC1","13,815.0","13,098.0","14,760.0","16,480.0","17,155.0","17,657.0","16,412.0","17,833.0","19,008.0","19,576.0","18,518.0","19,434.0","19,805.0","19,963.0","20,891.0","21,767.0","23,058.0","24,928.0","26,909.0","27,368.0","29,467.0","31,474.0","33,078.0","36,467.0","40,546.0","45,181.0","49,818.0","49,778.0","58,456.0","65,185.0","73,685.0","80,922.0","84,876.0","89,109.0","87,427.0","95,080.0","107,616.0","109,447.0","119,130.0","127,767.0"
"30","12","      Communication","J430RC1","3,788.0","4,079.0","4,552.0","5,207.0","5,758.0","6,420.0","6,449.0","7,026.0","7,702.0","8,326.0","8,829.0","9,802.0","10,487.0","11,030.0","11,820.0","12,620.0","13,506.0","14,458.0","15,640.0","16,930.0","18,287.0","20,466.0","22,440.0","23,947.0","26,543.0","29,109.0","31,490.0","34,100.0","38,217.0","41,980.0","47,926.0","51,527.0","58,313.0","66,187.0","72,455.0","77,071.0","80,615.0","85,369.0","91,265.0","94,010.0"
"31","13","      Electric, gas, and sanitary services","J431RC1","3,697.0","4,241.0","4,634.0","5,315.0","5,822.0","6,328.0","6,897.0","7,268.0","7,819.0","8,338.0","8,915.0","9,887.0","10,857.0","11,431.0","11,990.0","12,648.0","13,496.0","13,978.0","14,897.0","15,596.0","16,919.0","18,082.0","18,995.0","21,493.0","23,376.0","24,759.0","25,430.0","33,109.0","37,167.0","41,433.0","45,298.0","46,019.0","52,740.0","62,160.0","73,841.0","80,360.0","89,887.0","92,465.0","92,973.0","99,952.0"
"32","14","    Wholesale trade","J433RC1","17,081.0","16,589.0","18,215.0","20,780.0","21,307.0","21,882.0","22,151.0","24,769.0","27,019.0","28,404.0","29,184.0","33,660.0","35,401.0","36,522.0","38,881.0","40,658.0","43,539.0","46,818.0","50,853.0","53,775.0","59,098.0","64,200.0","68,216.0","73,713.0","82,028.0","91,827.0","103,898.0","113,162.0","120,536.0","132,879.0","149,872.0","169,297.0","179,300.0","199,021.0","202,843.0","215,381.0","249,057.0","259,700.0","272,322.0","286,339.0"
"33","15","    Retail trade","J434RC1","28,911.0","28,839.0","30,025.0","32,570.0","34,327.0","35,193.0","36,009.0","38,381.0","40,037.0","42,035.0","42,746.0","46,568.0","47,679.0","48,945.0","52,393.0","54,844.0","60,193.0","64,489.0","69,035.0","74,433.0","82,526.0","89,649.0","95,379.0","103,842.0","112,720.0","124,385.0","130,176.0","145,481.0","164,535.0","181,779.0","203,328.0","220,192.0","227,183.0","249,631.0","264,079.0","292,293.0","326,315.0","350,580.0","377,042.0","400,745.0"
"34","16","    Finance, insurance, and real estate","J435RC1","23,190.0","25,020.0","27,569.0","30,499.0","33,700.0","37,158.0","40,408.0","43,691.0","46,765.0","49,968.0","53,596.0","57,100.0","61,323.0","65,110.0","69,274.0","73,131.0","78,222.0","83,647.0","89,445.0","96,310.0","104,911.0","114,658.0","122,836.0","136,418.0","148,273.0","161,778.0","176,753.0","195,573.0","213,649.0","238,689.0","273,361.0","303,424.0","344,317.0","390,121.0","425,387.0","475,909.0","530,007.0","578,015.0","627,214.0","671,610.0"
"35","17","    Services","J437RC1","21,154.0","21,625.0","23,151.0","25,215.0","26,947.0","28,991.0","30,008.0","33,546.0","36,635.0","39,494.0","41,692.0","45,694.0","48,702.0","51,995.0","55,982.0","59,765.0","65,243.0","70,561.0","78,234.0","86,003.0","94,274.0","104,817.0","113,996.0","123,489.0","137,083.0","154,186.0","169,423.0","188,219.0","212,507.0","242,257.0","278,351.0","314,170.0","356,337.0","398,698.0","436,446.0","482,503.0","543,795.0","597,786.0","655,716.0","734,043.0"
"36","18","  Government","B436RC1","20,270.0","22,541.0","23,548.0","30,193.0","34,795.0","35,929.0","36,877.0","38,954.0","41,296.0","44,167.0","47,609.0","50,726.0","54,323.0","57,988.0","62,294.0","67,088.0","72,655.0","78,026.0","87,444.0","96,886.0","108,607.0","119,070.0","131,678.0","144,042.0","157,841.0","170,847.0","186,752.0","206,889.0","226,421.0","245,795.0","267,891.0","290,945.0","321,541.0","355,116.0","384,700.0","411,354.0","451,058.0","490,206.0","520,249.0","551,833.0"
"37","19","Rest of the world","A192RC1","1,456.0","1,280.0","1,440.0","1,892.0","1,985.0","1,899.0","2,095.0","2,449.0","2,796.0","3,055.0","2,628.0","2,761.0","3,113.0","3,519.0","4,093.0","4,477.0","4,920.0","5,279.0","5,070.0","5,393.0","6,085.0","6,115.0","6,393.0","7,594.0","8,558.0","12,619.0","15,520.0","13,004.0","16,847.0","20,292.0","21,581.0","31,931.0","34,185.0","32,935.0","36,510.0","37,085.0","36,290.0","26,546.0","17,612.0","17,655.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
