"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","    For current-cost valuation","A1401C1","-798.0","-491.0",-104,391,416,36,-71,-149,"-654.0","-728.0","-642.0","-761.0","-1,207.0","-2,072.0","-2,155.0","-2,391.0","-2,378.0","-2,686.0","-4,566.0","-5,412.0","-5,441.0","-5,357.0","-6,609.0","-6,664.0","-6,529.0","-6,233.0","-6,079.0","-7,393.0","-8,338.0","-8,272.0","-8,434.0","-7,755.0","-7,147.0","-6,763.0","-6,426.0","-6,338.0","-6,466.0","-6,912.0","-7,807.0","-9,150.0","-10,793.0","-12,825.0","-15,035.0","-16,454.0","-18,845.0","-26,951.0","-39,284.0","-43,769.0","-50,071.0","-57,475.0","-67,665.0","-81,379.0","-97,387.0","-104,662.0","-96,284.0","-89,965.0","-86,512.0","-86,134.0","-85,000.0","-91,237.0","-95,462.0","-98,902.0","-101,488.0","-95,519.0","-94,484.0","-94,958.0","-98,108.0","-93,048.0","-88,575.0","-81,700.0","-80,169.0","-86,846.0","-89,992.0","-91,909.0","-97,420.0","-115,978.0","-149,186.0","-184,007.0","-197,221.0","-212,269.0"
"22","4","Domestic corporate business","A2201C1","-411.0","-193.0",63,163,143,-72,-131,-149,"-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-188,684.0","-64,141.0"
"23","5","    For consistent accounting at historical cost","A1402C1","144.0","125.0",139,-61,-100,-87,-41,-26,"-88.0","-114.0","-72.0","-63.0","214.0","959.0","1,385.0","2,124.0","2,209.0","-19.0","333.0","614.0","736.0","840.0","1,534.0","1,956.0","2,722.0","3,433.0","4,911.0","5,298.0","5,918.0","5,517.0","6,254.0","7,111.0","7,372.0","10,057.0","10,695.0","11,330.0","12,075.0","12,687.0","13,548.0","14,785.0","16,418.0","17,084.0","18,356.0","21,315.0","22,268.0","24,799.0","27,134.0","28,157.0","33,872.0","38,017.0","42,789.0","49,452.0","75,748.0","91,291.0","102,832.0","118,055.0","136,300.0","121,602.0","120,271.0","123,309.0","119,143.0","106,229.0","99,682.0","92,029.0","94,671.0","107,521.0","118,283.0","120,812.0","127,592.0","125,174.0","128,720.0","117,564.0","119,095.0","166,210.0","146,105.0","126,312.0","-52,209.0","-47,147.0","-49,055.0","89,919.0"
"24","6","    For current-cost valuation","A1403C1","-555.0","-318.0",-76,224,243,15,-90,-123,"-477.0","-491.0","-442.0","-526.0","-808.0","-1,368.0","-1,420.0","-1,509.0","-1,474.0","-1,714.0","-2,892.0","-3,463.0","-3,489.0","-3,473.0","-4,322.0","-4,328.0","-4,291.0","-4,124.0","-4,060.0","-5,083.0","-5,820.0","-5,767.0","-5,907.0","-5,473.0","-5,025.0","-4,744.0","-4,493.0","-4,408.0","-4,451.0","-4,734.0","-5,366.0","-6,322.0","-7,448.0","-9,018.0","-10,577.0","-11,503.0","-13,166.0","-19,228.0","-28,822.0","-32,178.0","-36,841.0","-42,017.0","-49,431.0","-59,438.0","-71,596.0","-76,682.0","-69,555.0","-64,077.0","-61,240.0","-60,498.0","-59,289.0","-64,440.0","-67,686.0","-70,575.0","-72,720.0","-67,382.0","-65,969.0","-65,890.0","-68,110.0","-63,119.0","-58,612.0","-51,384.0","-49,007.0","-54,004.0","-55,696.0","-56,799.0","-60,512.0","-74,530.0","-101,166.0","-129,228.0","-139,629.0","-154,060.0"
"25","7","  Financial","B393RC1","-92.0","-79.0",-66,-46,-35,-48,-38,-36,"-58.0","-60.0","-67.0","-57.0","-90.0","-155.0","-146.0","-159.0","-142.0","-120.0","-228.0","-250.0","-224.0","-255.0","-284.0","-293.0","-290.0","-288.0","-247.0","-279.0","-286.0","-327.0","-323.0","-213.0","-175.0","-122.0","-150.0","-74.0","-136.0","-196.0","-156.0","-120.0","-105.0","-190.0","-231.0","-70.0","151.0","37.0","-472.0","-861.0","-1,051.0","-780.0","-1,389.0","-2,778.0","-2,345.0","-3,144.0","-1,960.0","-2,206.0","-1,095.0","-1,568.0","-1,636.0","-3,444.0","-5,292.0","-10,683.0","-12,598.0","-15,651.0","-14,162.0","-12,385.0","-7,451.0","-5,353.0","3,675.0","6,286.0","10,838.0","11,712.0","16,442.0","21,931.0","14,071.0","2,047.0","-24,562.0","-20,382.0","-20,753.0","-7,299.0"
"26","8","    For consistent accounting at historical cost","B1404C1","-91.0","-86.0",-77,-71,-64,-58,-49,-39,"-52.0","-49.0","-56.0","-46.0","-57.0","-82.0","-80.0","-77.0","-73.0","-84.0","-105.0","-115.0","-92.0","-144.0","-149.0","-147.0","-155.0","-166.0","-157.0","-154.0","-134.0","-178.0","-159.0","-89.0","-62.0","-19.0","-51.0","25.0","-43.0","-116.0","-71.0","-14.0","46.0","13.0","11.0","176.0","497.0","594.0","435.0","89.0","38.0","313.0","16.0","-906.0","-40.0","-534.0","402.0","-345.0","484.0","134.0","411.0","-719.0","-2,301.0","-7,339.0","-8,909.0","-12,879.0","-11,471.0","-9,715.0","-4,651.0","-4,022.0","3,665.0","4,674.0","9,377.0","11,723.0","16,187.0","21,708.0","15,146.0","5,932.0","-17,911.0","-11,051.0","-9,562.0","5,473.0"
"27","9","    For current-cost valuation","B1405C1","-1.0","7.0",11,25,29,10,11,3,"-6.0","-11.0","-11.0","-11.0","-33.0","-73.0","-66.0","-82.0","-69.0","-36.0","-123.0","-135.0","-132.0","-111.0","-135.0","-146.0","-135.0","-122.0","-90.0","-125.0","-152.0","-149.0","-164.0","-124.0","-113.0","-103.0","-99.0","-99.0","-93.0","-80.0","-85.0","-106.0","-151.0","-203.0","-242.0","-246.0","-346.0","-557.0","-907.0","-950.0","-1,089.0","-1,093.0","-1,405.0","-1,872.0","-2,305.0","-2,610.0","-2,362.0","-1,861.0","-1,579.0","-1,702.0","-2,047.0","-2,725.0","-2,991.0","-3,344.0","-3,689.0","-2,772.0","-2,691.0","-2,670.0","-2,800.0","-1,331.0","10.0","1,612.0","1,461.0","-11.0","255.0","223.0","-1,075.0","-3,886.0","-6,652.0","-9,331.0","-11,191.0","-12,772.0"
"28","10","  Nonfinancial","A2203C1","-319.0","-114.0",129,209,178,-24,-93,-113,"-507.0","-545.0","-447.0","-532.0","-504.0","-254.0","111.0","774.0","877.0","-1,613.0","-2,331.0","-2,599.0","-2,529.0","-2,378.0","-2,504.0","-2,079.0","-1,279.0","-403.0","1,098.0","494.0","384.0","77.0","670.0","1,851.0","2,522.0","5,435.0","6,352.0","6,996.0","7,760.0","8,149.0","8,338.0","8,583.0","9,075.0","8,256.0","8,010.0","9,882.0","8,951.0","5,534.0","-1,216.0","-3,160.0","-1,918.0","-3,220.0","-5,253.0","-7,208.0","6,497.0","17,753.0","35,237.0","56,184.0","76,155.0","62,672.0","62,618.0","62,313.0","56,749.0","46,337.0","39,560.0","40,298.0","42,864.0","54,016.0","57,624.0","63,046.0","65,305.0","67,504.0","68,875.0","51,848.0","46,957.0","87,480.0","71,522.0","49,736.0","-128,812.0","-155,993.0","-167,931.0","-56,842.0"
"29","11","    For consistent accounting at historical cost","B1406C1","235.0","211.0",216,10,-36,-29,7,13,"-36.0","-65.0","-16.0","-17.0","272.0","1,040.0","1,465.0","2,201.0","2,282.0","65.0","437.0","728.0","827.0","984.0","1,683.0","2,103.0","2,877.0","3,599.0","5,068.0","5,451.0","6,052.0","5,694.0","6,412.0","7,200.0","7,433.0","10,076.0","10,746.0","11,305.0","12,118.0","12,802.0","13,619.0","14,799.0","16,373.0","17,071.0","18,345.0","21,139.0","21,771.0","24,205.0","26,700.0","28,068.0","33,834.0","37,704.0","42,774.0","50,358.0","75,788.0","91,825.0","102,431.0","118,400.0","135,816.0","121,468.0","119,861.0","124,027.0","121,443.0","113,568.0","108,591.0","104,909.0","106,142.0","117,236.0","122,934.0","124,835.0","123,927.0","120,500.0","119,342.0","105,841.0","102,908.0","144,502.0","130,958.0","120,380.0","-34,298.0","-36,096.0","-39,494.0","84,446.0"
"30","12","    For current-cost valuation","B1407C1","-554.0","-325.0",-87,199,214,5,-100,-126,"-471.0","-480.0","-431.0","-515.0","-776.0","-1,294.0","-1,354.0","-1,427.0","-1,405.0","-1,678.0","-2,768.0","-3,327.0","-3,356.0","-3,362.0","-4,187.0","-4,182.0","-4,156.0","-4,002.0","-3,970.0","-4,957.0","-5,668.0","-5,617.0","-5,742.0","-5,349.0","-4,911.0","-4,641.0","-4,394.0","-4,309.0","-4,358.0","-4,653.0","-5,281.0","-6,216.0","-7,298.0","-8,815.0","-10,335.0","-11,257.0","-12,820.0","-18,671.0","-27,916.0","-31,228.0","-35,752.0","-40,924.0","-48,027.0","-57,566.0","-69,291.0","-74,072.0","-67,194.0","-62,216.0","-59,661.0","-58,796.0","-57,243.0","-61,714.0","-64,694.0","-67,231.0","-69,031.0","-64,611.0","-63,278.0","-63,220.0","-65,310.0","-61,789.0","-58,622.0","-52,996.0","-50,467.0","-53,993.0","-55,951.0","-57,022.0","-59,436.0","-70,644.0","-94,514.0","-119,897.0","-128,437.0","-141,288.0"
"31","13","Domestic noncorporate business","W282RC1","-890.0","-850.0",-662,-413,-403,-471,-417,-405,"-546.0","-578.0","-550.0","-552.0","-642.0","-783.0","-677.0","-744.0","-728.0","-707.0","-1,058.0","-1,246.0","-1,041.0","-991.0","-1,276.0","-1,230.0","-1,097.0","-996.0","-1,012.0","-953.0","-1,074.0","-1,277.0","-1,261.0","-1,113.0","-1,160.0","-1,033.0","-924.0","-864.0","-1,197.0","-1,433.0","-1,588.0","-1,964.0","-2,120.0","-2,405.0","-2,962.0","-2,681.0","-2,925.0","-4,104.0","-5,623.0","-5,959.0","-6,379.0","-6,944.0","-7,158.0","-8,493.0","-6,009.0","-5,907.0","3,190.0","13,526.0","22,518.0","27,481.0","23,963.0","24,799.0","25,459.0","15,751.0","12,546.0","15,730.0","17,528.0","14,054.0","14,953.0","20,499.0","29,747.0","34,690.0","47,213.0","57,419.0","78,886.0","92,960.0","104,278.0","108,326.0","73,285.0","80,745.0","89,869.0","151,989.0"
"32","14","  Sole proprietorships and partnerships","A2204C1","-753.0","-720.0",-569,-388,-380,-418,-367,-342,"-450.0","-470.0","-443.0","-432.0","-484.0","-585.0","-451.0","-474.0","-428.0","-363.0","-573.0","-703.0","-496.0","-436.0","-653.0","-590.0","-461.0","-369.0","-378.0","-286.0","-399.0","-609.0","-594.0","-480.0","-564.0","-468.0","-376.0","-308.0","-597.0","-775.0","-856.0","-1,110.0","-1,121.0","-1,325.0","-1,716.0","-1,265.0","-1,245.0","-2,032.0","-3,109.0","-3,160.0","-3,126.0","-3,042.0","-2,577.0","-3,102.0","48.0","544.0","9,703.0","20,170.0","29,237.0","34,467.0","31,247.0","32,387.0","33,322.0","23,818.0","20,660.0","23,845.0","25,947.0","22,758.0","24,035.0","29,764.0","39,294.0","44,521.0","57,510.0","68,348.0","90,434.0","104,794.0","116,809.0","122,276.0","88,751.0","97,719.0","107,241.0","168,675.0"
"33","15","    Farm \1\","B044RC1","-58.0","-41.0",-8,18,11,-15,-6,-12,"-31.0","-43.0","-24.0","-20.0","-53.0","-149.0","-153.0","-190.0","-185.0","-181.0","-342.0","-435.0","-456.0","-438.0","-538.0","-576.0","-540.0","-494.0","-445.0","-526.0","-592.0","-608.0","-624.0","-550.0","-520.0","-509.0","-493.0","-489.0","-512.0","-548.0","-608.0","-677.0","-790.0","-904.0","-1,064.0","-1,179.0","-1,253.0","-1,822.0","-2,615.0","-2,917.0","-3,287.0","-3,724.0","-4,428.0","-5,578.0","-6,545.0","-7,110.0","-6,975.0","-6,677.0","-6,194.0","-6,067.0","-5,866.0","-5,733.0","-5,764.0","-5,692.0","-5,678.0","-5,560.0","-5,401.0","-5,342.0","-5,251.0","-5,116.0","-4,803.0","-4,602.0","-4,539.0","-4,467.0","-4,442.0","-4,362.0","-4,441.0","-4,883.0","-5,539.0","-6,017.0","-6,363.0","-6,825.0"
"34","16","    Nonfarm","A2205C1","-695.0","-679.0",-561,-406,-391,-403,-361,-330,"-419.0","-427.0","-419.0","-412.0","-431.0","-436.0","-298.0","-284.0","-243.0","-182.0","-231.0","-268.0","-40.0","2.0","-115.0","-14.0","79.0","125.0","67.0","240.0","193.0","-1.0","30.0","70.0","-44.0","41.0","117.0","181.0","-85.0","-227.0","-248.0","-433.0","-331.0","-421.0","-652.0","-86.0","8.0","-210.0","-494.0","-243.0","161.0","682.0","1,851.0","2,476.0","6,593.0","7,654.0","16,678.0","26,847.0","35,431.0","40,534.0","37,113.0","38,120.0","39,086.0","29,510.0","26,338.0","29,405.0","31,348.0","28,100.0","29,286.0","34,880.0","44,097.0","49,123.0","62,049.0","72,815.0","94,876.0","109,156.0","121,250.0","127,159.0","94,290.0","103,736.0","113,604.0","175,500.0"
"35","17","      For consistent accounting at historical cost","B1409C1","-647.0","-677.0",-634,-580,-576,-492,-436,-379,"-369.0","-341.0","-350.0","-317.0","-243.0","-79.0","58.0","138.0","176.0","265.0","616.0","703.0","911.0","893.0","1,011.0","1,106.0","1,141.0","1,113.0","1,007.0","1,357.0","1,444.0","1,228.0","1,266.0","1,169.0","962.0","986.0","1,009.0","1,066.0","818.0","745.0","853.0","864.0","1,225.0","1,402.0","1,496.0","2,270.0","2,754.0","3,619.0","4,839.0","5,632.0","6,851.0","8,514.0","11,076.0","13,448.0","19,782.0","22,073.0","29,919.0","39,414.0","47,790.0","53,117.0","49,674.0","51,596.0","53,235.0","44,078.0","41,314.0","43,867.0","46,043.0","43,122.0","44,951.0","50,428.0","59,710.0","65,006.0","78,375.0","90,261.0","113,182.0","128,070.0","141,186.0","149,774.0","121,305.0","135,524.0","147,461.0","210,198.0"
"36","18","      For current-cost valuation","B1410C1","-48.0","-2.0",73,174,185,89,75,49,"-50.0","-86.0","-69.0","-95.0","-188.0","-357.0","-356.0","-422.0","-419.0","-447.0","-847.0","-971.0","-951.0","-891.0","-1,126.0","-1,120.0","-1,062.0","-988.0","-940.0","-1,117.0","-1,251.0","-1,229.0","-1,236.0","-1,099.0","-1,006.0","-945.0","-892.0","-885.0","-903.0","-972.0","-1,101.0","-1,297.0","-1,556.0","-1,823.0","-2,148.0","-2,356.0","-2,746.0","-3,829.0","-5,333.0","-5,875.0","-6,690.0","-7,832.0","-9,225.0","-10,972.0","-13,189.0","-14,419.0","-13,241.0","-12,567.0","-12,359.0","-12,583.0","-12,561.0","-13,476.0","-14,149.0","-14,568.0","-14,976.0","-14,462.0","-14,695.0","-15,022.0","-15,665.0","-15,548.0","-15,613.0","-15,883.0","-16,326.0","-17,446.0","-18,306.0","-18,914.0","-19,936.0","-22,615.0","-27,015.0","-31,788.0","-33,857.0","-34,698.0"
