"","Table 5#7#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"37","18","  Retail trade","A382RX1","39,101.0","39,534.0","38,725.0","41,148.0","43,726.0","44,022.0","44,571.0","45,663.0","44,644.0","44,173.0","46,221.0","44,488.0","44,996.0","46,400.0","48,765.0","51,935.0","54,437.0","54,916.0","53,096.0","52,204.0","50,783.0","49,606.0","50,606.0","52,058.0","52,529.0","53,701.0","54,145.0","53,494.0","53,611.0","53,758.0","54,143.0","53,597.0","55,807.0","57,194.0","58,189.0","59,970.0","60,343.0","60,445.0","60,123.0","60,214.0","60,345.0","61,364.0","62,286.0","62,785.0","61,665.0","60,964.0","60,911.0","61,536.0","62,839.0","64,957.0","65,201.0","64,955.0","69,043.0","69,229.0","69,819.0","69,496.0","67,003.0","67,145.0","67,759.0","68,166.0","69,513.0","70,186.0","71,507.0","72,974.0","73,887.0","73,908.0","75,006.0","76,961.0","78,522.0","80,475.0","82,191.0","81,133.0","84,977.0","86,649.0","87,495.0","89,311.0","91,451.0","94,720.0","94,516.0","96,598.0","97,002.0","96,191.0","95,244.0","96,570.0","98,713.0","100,947.0","100,793.0","104,825.0","106,034.0","107,214.0","110,368.0","112,115.0","111,315.0","112,974.0","114,315.0","112,188.0","118,542.0","121,716.0","127,529.0","127,417.0","129,152.0","131,740.0","133,577.0","137,301.0","140,389.0","144,376.0","144,402.0","148,361.0","147,367.0","146,741.0","144,882.0","146,157.0","140,144.0","138,286.0","139,752.0","138,808.0","143,947.0","146,544.0","148,397.0","149,513.0","151,560.0","153,465.0","155,973.0","158,120.0","162,261.0","164,580.0","165,363.0","168,668.0","168,874.0","172,546.0","169,755.0","168,555.0","166,599.0","165,470.0","164,640.0","163,760.0","164,578.0","168,124.0","171,133.0","172,846.0","168,464.0","168,804.0","172,033.0","168,903.0","170,866.0","175,198.0","178,632.0","182,673.0","192,146.0","195,709.0","196,421.0","204,975.0","206,323.0","209,257.0","212,798.0","220,791.0","227,593.0","228,194.0","224,688.0","224,307.0","234,620.0","239,684.0","238,606.0","246,095.0","243,930.0","246,751.0","249,728.0","253,946.0","261,764.0","262,410.0","262,204.0","268,834.0","264,974.0","268,683.0","268,987.0","267,162.0","261,471.0","262,685.0","265,947.0","267,720.0","266,592.0","269,180.0","269,924.0","272,472.0","282,402.0","284,500.0","285,228.0","288,322.0","292,400.0","300,058.0","303,948.0","309,405.0","315,159.0","319,734.0","321,055.0","321,924.0","318,170.0","322,198.0","328,131.0","329,538.0","330,360.0","335,617.0","339,594.0","342,424.0"
"38","19","    Durable goods","B383RX1","17,163.0","17,562.0","18,027.0","18,441.0","20,284.0","20,495.0","20,591.0","21,073.0","20,548.0","19,687.0","21,953.0","20,082.0","19,387.0","20,346.0","21,322.0","24,650.0","25,472.0","26,364.0","26,111.0","25,388.0","24,627.0","23,852.0","23,952.0","24,859.0","25,551.0","26,123.0","26,840.0","26,061.0","25,693.0","25,779.0","25,807.0","25,255.0","26,505.0","27,684.0","27,916.0","28,842.0","29,123.0","28,361.0","27,922.0","27,827.0","27,760.0","28,549.0","29,424.0","29,962.0","28,929.0","28,029.0","27,590.0","27,809.0","28,592.0","29,811.0","29,562.0","28,813.0","31,386.0","31,786.0","31,962.0","31,808.0","29,702.0","29,425.0","29,151.0","29,005.0","29,260.0","29,336.0","30,342.0","30,959.0","31,101.0","30,859.0","31,463.0","32,992.0","34,099.0","34,837.0","35,841.0","34,438.0","37,128.0","38,284.0","39,065.0","39,572.0","40,709.0","42,853.0","42,320.0","43,288.0","42,373.0","41,215.0","40,502.0","41,232.0","42,489.0","44,551.0","43,784.0","47,089.0","47,554.0","47,458.0","49,551.0","50,673.0","49,874.0","50,537.0","51,108.0","47,950.0","52,369.0","54,962.0","59,351.0","57,743.0","58,599.0","59,587.0","60,420.0","63,176.0","65,121.0","68,394.0","69,616.0","71,077.0","71,164.0","70,147.0","68,931.0","71,996.0","67,632.0","68,010.0","69,995.0","68,815.0","70,783.0","72,217.0","74,422.0","75,471.0","77,089.0","78,187.0","80,130.0","81,644.0","84,027.0","84,268.0","84,257.0","87,255.0","88,631.0","91,484.0","88,724.0","86,906.0","84,441.0","81,729.0","79,806.0","79,277.0","78,603.0","81,358.0","81,829.0","82,117.0","78,968.0","78,837.0","81,900.0","78,665.0","79,966.0","81,957.0","83,681.0","86,005.0","90,507.0","91,404.0","90,592.0","96,541.0","97,545.0","99,421.0","100,507.0","106,655.0","111,282.0","111,887.0","107,307.0","106,749.0","114,998.0","118,145.0","116,463.0","122,051.0","118,507.0","121,087.0","123,199.0","127,222.0","132,664.0","130,801.0","129,133.0","134,112.0","130,312.0","133,176.0","134,173.0","132,880.0","126,631.0","127,135.0","129,244.0","128,123.0","127,545.0","129,040.0","128,384.0","129,342.0","135,313.0","136,776.0","136,100.0","138,290.0","141,900.0","145,000.0","147,735.0","151,333.0","155,366.0","158,242.0","158,987.0","160,122.0","157,289.0","160,858.0","164,761.0","164,825.0","165,090.0","167,842.0","170,446.0","172,893.0"
"39","20","      Motor vehicle dealers \4\","B864RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,227.0","11,997.0","13,227.0","12,764.0","11,729.0","14,615.0","15,150.0","15,384.0","15,174.0","12,969.0","12,983.0","12,975.0","12,984.0","13,220.0","13,155.0","13,919.0","14,694.0","15,045.0","14,794.0","15,236.0","16,675.0","17,513.0","17,911.0","19,120.0","16,909.0","19,135.0","20,618.0","21,400.0","22,320.0","22,514.0","24,204.0","23,131.0","24,542.0","23,603.0","21,746.0","20,634.0","21,518.0","22,750.0","24,422.0","23,090.0","26,432.0","26,604.0","26,202.0","27,792.0","28,792.0","27,740.0","28,481.0","29,015.0","24,899.0","29,378.0","32,005.0","36,428.0","33,851.0","33,778.0","33,741.0","33,498.0","34,833.0","36,483.0","38,795.0","39,856.0","41,585.0","40,830.0","39,439.0","38,576.0","41,799.0","37,804.0","38,496.0","40,405.0","38,236.0","39,945.0","40,323.0","41,823.0","42,238.0","43,805.0","44,913.0","46,478.0","48,261.0","49,649.0","48,741.0","48,244.0","51,591.0","53,297.0","56,505.0","53,301.0","51,684.0","48,817.0","45,776.0","44,046.0","43,919.0","37,081.0","40,009.0","40,045.0","39,636.0","37,241.0","37,819.0","41,007.0","37,061.0","37,673.0","38,693.0","39,803.0","41,544.0","44,936.0","44,546.0","43,435.0","48,333.0","48,398.0","49,957.0","49,819.0","56,097.0","59,395.0","59,612.0","53,755.0","54,537.0","63,041.0","64,037.0","61,816.0","65,843.0","61,069.0","63,322.0","64,278.0","67,887.0","73,311.0","70,668.0","67,511.0","72,674.0","67,557.0","69,891.0","71,610.0","71,091.0","65,668.0","66,458.0","68,231.0","67,093.0","67,494.0","68,496.0","68,062.0","68,489.0","73,781.0","74,702.0","72,658.0","72,444.0","75,383.0","76,111.0","77,619.0","79,860.0","83,328.0","85,056.0","83,846.0","85,429.0","81,627.0","84,672.0","88,301.0","87,934.0","86,778.0","87,525.0","89,244.0","92,238.0"
"40","21","      Other \4\","A865RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","15,454.0","15,548.0","15,677.0","15,809.0","15,939.0","16,005.0","15,952.0","15,930.0","15,952.0","15,782.0","15,535.0","15,308.0","15,176.0","15,219.0","15,333.0","15,627.0","15,581.0","15,443.0","15,421.0","15,611.0","15,857.0","16,186.0","16,524.0","16,501.0","16,914.0","17,581.0","17,486.0","17,583.0","17,351.0","18,168.0","18,768.0","19,076.0","18,890.0","18,792.0","19,143.0","19,341.0","19,325.0","19,498.0","20,035.0","20,345.0","20,738.0","21,007.0","21,215.0","21,839.0","22,067.0","22,149.0","22,171.0","22,263.0","22,621.0","23,057.0","23,316.0","23,776.0","24,317.0","25,109.0","25,988.0","26,889.0","28,260.0","28,697.0","29,785.0","30,044.0","30,016.0","30,646.0","30,796.0","30,403.0","30,644.0","29,876.0","29,686.0","29,966.0","30,591.0","30,995.0","31,952.0","32,717.0","33,314.0","33,505.0","33,599.0","34,079.0","34,010.0","35,019.0","35,930.0","36,303.0","36,337.0","36,226.0","36,246.0","36,303.0","35,962.0","36,010.0","35,964.0","35,623.0","35,282.0","40,807.0","40,962.0","41,361.0","41,961.0","41,072.0","40,472.0","40,599.0","40,959.0","41,635.0","42,602.0","43,249.0","43,911.0","45,174.0","46,338.0","46,543.0","47,840.0","48,715.0","49,106.0","50,229.0","50,526.0","51,977.0","52,358.0","53,157.0","51,969.0","52,226.0","54,295.0","54,679.0","56,365.0","57,236.0","57,677.0","58,816.0","59,408.0","59,736.0","60,310.0","61,503.0","61,654.0","62,548.0","63,193.0","62,634.0","61,881.0","60,782.0","60,565.0","60,985.0","60,940.0","60,042.0","60,557.0","60,323.0","60,843.0","61,735.0","62,281.0","63,489.0","65,761.0","66,525.0","68,817.0","70,048.0","71,424.0","72,069.0","73,229.0","75,087.0","74,695.0","75,543.0","76,127.0","76,487.0","76,892.0","77,182.0","78,536.0","79,892.0","80,671.0"
"41","22","    Nondurable goods","B384RX1","21,178.0","21,232.0","20,084.0","21,956.0","22,735.0","22,818.0","23,238.0","23,820.0","23,340.0","23,723.0","23,490.0","23,636.0","24,811.0","25,231.0","26,575.0","26,416.0","28,039.0","27,639.0","26,120.0","25,957.0","25,320.0","24,939.0","25,825.0","26,344.0","26,102.0","26,682.0","26,385.0","26,538.0","27,038.0","27,097.0","27,455.0","27,484.0","28,395.0","28,546.0","29,307.0","30,124.0","30,202.0","31,147.0","31,299.0","31,502.0","31,710.0","31,887.0","31,870.0","31,786.0","31,781.0","32,067.0","32,509.0","32,918.0","33,392.0","34,224.0","34,767.0","35,368.0","36,726.0","36,469.0","36,888.0","36,725.0","36,493.0","36,954.0","37,905.0","38,495.0","39,613.0","40,229.0","40,476.0","41,313.0","42,104.0","42,394.0","42,861.0","43,189.0","43,579.0","44,787.0","45,452.0","45,910.0","46,922.0","47,384.0","47,407.0","48,724.0","49,689.0","50,729.0","51,089.0","52,177.0","53,577.0","53,998.0","53,802.0","54,373.0","55,205.0","55,260.0","55,929.0","56,481.0","57,214.0","58,521.0","59,497.0","60,076.0","60,112.0","61,095.0","61,853.0","63,090.0","64,806.0","65,241.0","66,435.0","68,072.0","68,920.0","70,501.0","71,480.0","72,328.0","73,410.0","74,070.0","72,886.0","75,315.0","74,272.0","74,681.0","74,078.0","72,220.0","70,715.0","68,440.0","67,849.0","68,130.0","71,264.0","72,386.0","71,936.0","71,954.0","72,313.0","73,082.0","73,560.0","74,125.0","75,804.0","77,932.0","78,756.0","78,890.0","77,603.0","78,289.0","78,413.0","79,155.0","79,842.0","81,638.0","82,887.0","82,583.0","84,184.0","84,823.0","87,439.0","88,913.0","87,864.0","88,369.0","88,298.0","88,679.0","89,267.0","91,572.0","93,233.0","94,849.0","99,720.0","102,469.0","104,163.0","106,387.0","106,661.0","107,611.0","110,123.0","111,517.0","113,390.0","113,321.0","114,918.0","115,160.0","116,561.0","118,306.0","119,104.0","120,610.0","122,400.0","122,416.0","123,143.0","122,986.0","125,024.0","127,832.0","129,512.0","130,845.0","131,074.0","131,742.0","130,946.0","130,479.0","131,508.0","132,213.0","133,259.0","136,379.0","135,849.0","136,879.0","138,399.0","139,992.0","143,661.0","144,200.0","145,752.0","146,492.0","146,619.0","151,185.0","152,128.0","153,730.0","155,132.0","156,643.0","157,183.0","156,768.0","156,084.0","156,200.0","157,970.0","159,399.0","160,074.0","162,475.0","163,883.0","164,145.0"
"42","23","  Other","A385RX1","27,537.0","27,836.0","28,737.0","29,674.0","29,135.0","29,037.0","29,076.0","29,223.0","29,223.0","28,567.0","27,625.0","26,606.0","26,872.0","27,102.0","27,534.0","29,553.0","29,871.0","30,486.0","31,224.0","32,290.0","33,192.0","33,490.0","33,423.0","32,534.0","32,042.0","31,080.0","30,428.0","29,674.0","29,828.0","29,746.0","29,777.0","29,830.0","29,471.0","29,510.0","29,198.0","28,672.0","29,377.0","29,847.0","30,329.0","31,351.0","31,719.0","31,670.0","32,496.0","33,220.0","33,213.0","33,213.0","33,190.0","33,166.0","33,318.0","33,884.0","34,025.0","34,710.0","34,740.0","35,377.0","35,753.0","35,829.0","36,511.0","37,414.0","38,106.0","39,523.0","39,438.0","39,616.0","39,517.0","39,399.0","40,197.0","40,944.0","41,207.0","42,117.0","42,495.0","43,716.0","44,317.0","44,728.0","45,124.0","45,972.0","46,209.0","46,644.0","46,626.0","46,515.0","46,836.0","47,888.0","48,590.0","49,903.0","51,919.0","53,545.0","54,285.0","54,290.0","54,988.0","55,068.0","55,743.0","56,881.0","57,731.0","57,920.0","57,813.0","57,559.0","57,665.0","58,569.0","59,220.0","60,203.0","59,985.0","60,696.0","61,523.0","62,603.0","63,087.0","63,702.0","64,417.0","64,773.0","65,699.0","66,981.0","70,019.0","69,606.0","69,722.0","71,353.0","70,331.0","70,768.0","71,622.0","73,259.0","74,397.0","75,447.0","74,296.0","74,035.0","76,747.0","76,652.0","79,617.0","79,607.0","81,119.0","82,234.0","84,584.0","84,385.0","84,972.0","85,176.0","84,849.0","84,324.0","81,429.0","82,625.0","81,764.0","82,917.0","84,682.0","83,870.0","88,421.0","92,250.0","93,059.0","93,446.0","92,061.0","89,397.0","91,540.0","91,098.0","89,456.0","88,341.0","88,335.0","87,851.0","88,312.0","89,662.0","91,035.0","92,076.0","93,736.0","94,781.0","96,409.0","98,943.0","99,589.0","98,290.0","98,919.0","99,333.0","99,219.0","100,801.0","100,299.0","99,839.0","99,337.0","99,273.0","98,386.0","96,122.0","96,125.0","94,807.0","95,362.0","95,589.0","94,525.0","91,152.0","91,833.0","93,939.0","94,042.0","94,821.0","96,510.0","96,517.0","96,493.0","97,700.0","96,985.0","99,322.0","99,716.0","101,168.0","102,239.0","103,918.0","103,729.0","106,095.0","107,101.0","106,840.0","106,867.0","108,608.0","108,556.0","108,945.0","109,766.0","110,399.0","112,587.0","114,710.0","116,439.0","117,616.0"
"43","24","    Durable goods","B386RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,987.0","3,211.0","3,296.0","3,165.0","3,296.0","3,311.0","3,301.0","3,342.0","3,498.0","3,858.0","4,065.0","4,424.0","4,764.0","4,883.0","5,008.0","5,107.0","5,076.0","5,181.0","5,249.0","5,207.0","5,046.0","5,243.0","5,377.0","5,222.0","5,346.0","5,617.0","5,914.0","5,888.0","5,863.0","5,588.0","5,382.0","5,343.0","5,555.0","5,417.0","5,624.0","5,905.0","6,142.0","5,878.0","5,488.0","5,216.0","4,960.0","4,511.0","4,492.0","5,049.0","4,948.0","4,905.0","4,708.0","4,513.0","4,718.0","4,766.0","4,625.0","4,117.0","3,793.0","4,219.0","4,333.0","4,199.0","4,254.0","5,014.0","4,764.0","5,352.0","5,649.0","5,894.0","5,425.0","5,709.0","5,719.0","5,227.0","4,998.0","5,359.0","5,425.0","5,741.0","5,680.0","5,219.0","5,272.0","5,328.0","5,945.0","5,915.0","5,545.0","6,064.0","6,614.0","6,909.0","6,607.0","6,947.0","7,138.0","7,121.0","6,571.0","6,419.0","5,481.0","5,498.0","6,215.0","6,628.0","6,552.0","6,669.0","6,476.0","6,966.0","7,228.0","7,209.0","7,579.0","7,763.0","7,600.0","7,710.0","6,647.0","7,615.0","7,739.0","7,328.0","6,793.0","6,852.0","6,454.0","6,109.0","6,268.0","6,054.0","5,766.0","5,344.0","5,293.0","5,231.0","5,378.0","5,491.0","5,610.0","5,460.0","5,136.0","4,842.0","5,228.0","5,317.0","5,377.0","5,460.0","5,859.0","6,313.0","6,317.0","6,174.0","5,808.0","4,978.0","4,772.0","5,381.0","5,357.0","6,100.0","6,229.0","5,779.0","5,968.0","5,312.0","5,576.0","5,680.0","6,293.0","6,794.0","6,816.0","6,985.0","6,988.0","7,174.0","6,939.0","6,921.0","7,039.0","7,571.0","7,127.0","7,358.0","7,468.0","7,716.0","8,027.0","8,376.0","8,583.0"
"44","25","    Nondurable goods","B387RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","30,258.0","30,152.0","30,628.0","30,926.0","31,470.0","31,483.0","32,142.0","32,477.0","32,374.0","32,654.0","33,331.0","33,613.0","34,659.0","34,433.0","34,466.0","34,250.0","34,169.0","34,857.0","35,536.0","35,852.0","36,967.0","37,120.0","38,206.0","39,001.0","39,275.0","39,365.0","39,886.0","40,157.0","40,628.0","40,920.0","41,039.0","41,407.0","42,231.0","43,091.0","44,190.0","45,916.0","47,297.0","48,341.0","48,792.0","49,818.0","50,204.0","51,432.0","52,607.0","52,819.0","53,114.0","53,055.0","53,012.0","53,329.0","54,021.0","54,624.0","55,770.0","56,115.0","57,203.0","57,552.0","58,516.0","59,160.0","59,720.0","59,557.0","60,221.0","60,473.0","61,436.0","64,233.0","64,322.0","64,139.0","65,767.0","65,243.0","65,920.0","66,405.0","67,983.0","68,796.0","69,916.0","69,245.0","68,926.0","71,590.0","70,859.0","73,867.0","74,244.0","75,214.0","75,746.0","77,798.0","77,923.0","78,161.0","78,176.0","77,877.0","77,899.0","75,153.0","77,176.0","76,305.0","76,822.0","78,226.0","77,490.0","81,894.0","85,835.0","86,239.0","86,412.0","85,060.0","82,143.0","84,107.0","83,799.0","82,081.0","81,856.0","81,043.0","80,461.0","81,257.0","83,041.0","84,348.0","85,719.0","87,661.0","88,558.0","90,356.0","93,135.0","94,169.0","92,921.0","93,603.0","93,878.0","93,660.0","95,122.0","94,767.0","94,625.0","94,417.0","93,970.0","92,996.0","90,677.0","90,599.0","88,901.0","89,026.0","89,251.0","88,329.0","85,312.0","86,757.0","89,054.0","88,578.0","89,380.0","90,347.0","90,230.0","90,641.0","91,666.0","91,603.0","93,678.0","93,973.0","94,807.0","95,361.0","97,018.0","96,650.0","99,017.0","99,829.0","99,816.0","99,862.0","101,483.0","100,885.0","101,731.0","102,316.0","102,840.0","104,795.0","106,603.0","107,967.0","108,954.0"
"45","26","Residual","A968RX1","23,600.0","22,900.0","21,200.0","19,700.0","20,100.0","20,600.0","21,100.0","21,600.0","21,500.0","21,600.0","22,100.0","22,700.0","22,200.0","21,900.0","21,800.0","19,800.0","19,400.0","18,000.0","16,700.0","15,900.0","15,300.0","15,800.0","16,300.0","16,800.0","17,200.0","17,700.0","18,400.0","18,900.0","18,900.0","18,700.0","18,600.0","18,400.0","18,600.0","18,800.0","19,000.0","19,500.0","19,500.0","19,400.0","18,900.0","18,500.0","18,400.0","18,800.0","18,900.0","18,700.0","18,400.0","18,100.0","18,500.0","18,300.0","18,400.0","18,100.0","17,400.0","16,800.0","17,400.0","17,300.0","17,100.0","16,800.0","15,500.0","14,800.0","15,100.0","14,800.0","15,700.0","15,500.0","15,900.0","15,900.0","16,200.0","16,000.0","15,600.0","15,000.0","15,000.0","14,700.0","14,500.0","14,900.0","15,400.0","15,700.0","16,100.0","16,100.0","16,700.0","16,900.0","17,800.0","17,400.0","17,600.0","18,200.0","17,600.0","16,800.0","17,100.0","17,500.0","17,300.0","17,300.0","17,400.0","17,300.0","17,100.0","17,500.0","17,200.0","16,300.0","16,300.0","15,000.0","14,900.0","14,400.0","14,400.0","13,000.0","13,300.0","13,500.0","13,400.0","13,500.0","11,700.0","13,400.0","14,700.0","13,400.0","11,100.0","10,100.0","10,300.0","7,700.0","10,000.0","11,000.0","9,900.0","8,900.0","7,900.0","7,100.0","7,200.0","8,200.0","6,600.0","6,300.0","5,800.0","6,100.0","6,000.0","6,600.0","6,900.0","6,600.0","7,700.0","7,800.0","8,600.0","8,900.0","9,100.0","8,600.0","7,700.0","7,200.0","7,800.0","7,600.0","7,900.0","7,200.0","6,800.0","6,700.0","6,100.0","4,900.0","3,500.0","3,700.0","2,300.0","2,900.0","2,200.0","2,800.0","3,600.0","4,700.0","4,100.0","3,900.0","3,300.0","1,400.0","1,000.0","500.0","-100.0","-1,100.0","-600.0","300.0","-200.0","400.0","600.0","500.0","1,500.0","2,100.0","3,100.0","3,400.0","3,400.0","3,500.0","3,500.0","3,200.0","3,500.0","-800.0","-1,600.0","-2,700.0","-3,200.0","-4,100.0","-5,200.0","-5,400.0","-6,100.0","-7,100.0","-6,600.0","-7,100.0","-6,900.0","-5,900.0","-5,500.0","-4,700.0","-4,300.0","-4,100.0","-3,200.0","-2,600.0","-1,800.0","-1,000.0","-900.0","-300.0","400.0","100.0","1,100.0","2,600.0","1,900.0","900.0"
"46","27","    Final sales of domestic business \5\","A809RX1","95,742.0","96,422.0","97,497.0","97,831.0","98,182.0","98,357.0","98,152.0","98,542.0","98,726.0","99,735.0","99,744.0","100,527.0","102,215.0","104,970.0","110,678.0","107,589.0","109,195.0","108,193.0","110,561.0","112,177.0","112,057.0","113,065.0","111,230.0","115,619.0","118,066.0","118,749.0","118,579.0","117,292.0","117,601.0","118,894.0","120,596.0","123,022.0","125,806.0","127,656.0","129,705.0","130,300.0","130,127.0","130,948.0","131,825.0","133,582.0","134,141.0","133,216.0","134,247.0","133,342.0","129,368.0","128,721.0","131,890.0","134,423.0","139,089.0","141,229.0","142,679.0","141,472.0","144,199.0","145,384.0","144,402.0","144,795.0","145,107.0","146,554.0","147,475.0","151,162.0","152,643.0","155,492.0","156,019.0","156,999.0","158,178.0","161,831.0","164,107.0","166,336.0","170,912.0","173,213.0","175,833.0","176,351.0","179,719.0","183,258.0","186,151.0","191,551.0","195,176.0","194,660.0","195,746.0","195,677.0","196,040.0","198,492.0","199,045.0","200,553.0","204,613.0","206,882.0","210,416.0","211,476.0","214,524.0","214,921.0","216,046.0","215,769.0","217,237.0","217,107.0","219,469.0","218,402.0","221,820.0","223,707.0","226,132.0","229,558.0","232,711.0","237,436.0","241,070.0","248,693.0","256,010.0","257,204.0","257,803.0","257,381.0","255,297.0","255,458.0","253,726.0","247,808.0","249,667.0","252,543.0","255,662.0","259,595.0","264,772.0","265,255.0","267,399.0","272,354.0","275,139.0","280,530.0","283,758.0","286,738.0","286,159.0","300,871.0","303,736.0","308,222.0","308,814.0","308,124.0","314,670.0","315,434.0","315,458.0","305,489.0","311,191.0","315,084.0","316,256.0","316,094.0","316,082.0","312,827.0","310,810.0","310,473.0","306,371.0","311,560.0","315,343.0","320,847.0","327,662.0","335,153.0","337,614.0","344,295.0","347,754.0","353,533.0","360,962.0","363,242.0","369,182.0","369,860.0","373,984.0","375,534.0","381,219.0","383,811.0","381,482.0","388,122.0","394,161.0","394,297.0","401,787.0","408,223.0","410,024.0","414,718.0","417,436.0","420,932.0","427,401.0","426,893.0","431,757.0","431,299.0","431,854.0","428,211.0","424,105.0","428,191.0","428,662.0","427,973.0","436,384.0","440,054.0","445,194.0","451,139.0","450,377.0","455,555.0","459,753.0","466,867.0","469,838.0","474,513.0","480,134.0","485,471.0","487,487.0","490,794.0","498,436.0","503,359.0","508,848.0","517,296.0","520,200.0","529,235.0","533,730.0","537,442.0","548,462.0","551,404.0"
"47","28","    Final sales of goods and structures of domestic business \5\","A810RX1","54,660.0","54,743.0","55,440.0","56,073.0","56,402.0","56,242.0","56,170.0","56,360.0","56,249.0","56,995.0","57,239.0","57,926.0","59,043.0","60,901.0","64,678.0","62,320.0","63,416.0","62,017.0","63,631.0","64,957.0","64,663.0","65,131.0","63,696.0","66,952.0","68,489.0","68,844.0","68,711.0","68,133.0","67,991.0","68,765.0","69,466.0","71,190.0","73,155.0","75,355.0","76,194.0","75,942.0","75,631.0","76,205.0","76,588.0","77,233.0","78,036.0","77,218.0","77,843.0","76,572.0","74,181.0","73,643.0","75,293.0","77,239.0","79,714.0","80,764.0","81,819.0","80,629.0","82,610.0","83,021.0","82,838.0","82,622.0","82,647.0","82,852.0","83,899.0","86,132.0","87,088.0","88,436.0","89,146.0","89,462.0","90,181.0","92,116.0","93,902.0","94,942.0","97,724.0","98,752.0","100,626.0","100,378.0","102,533.0","104,291.0","106,520.0","110,036.0","112,710.0","111,348.0","112,432.0","111,750.0","111,491.0","113,277.0","113,378.0","114,053.0","116,511.0","117,448.0","119,699.0","120,036.0","122,334.0","121,841.0","122,472.0","121,482.0","121,936.0","121,245.0","122,527.0","121,566.0","123,717.0","124,759.0","126,385.0","127,948.0","129,987.0","133,257.0","134,772.0","139,917.0","144,913.0","145,197.0","144,922.0","144,605.0","143,726.0","142,956.0","141,414.0","135,808.0","136,423.0","137,327.0","140,044.0","141,975.0","145,165.0","145,361.0","145,908.0","148,508.0","149,953.0","153,992.0","155,628.0","157,213.0","155,567.0","166,338.0","168,290.0","171,600.0","171,227.0","170,440.0","175,651.0","175,679.0","175,534.0","168,252.0","171,430.0","173,281.0","174,589.0","173,599.0","173,817.0","171,497.0","169,658.0","169,003.0","164,841.0","167,483.0","168,836.0","172,224.0","176,652.0","182,317.0","183,959.0","188,801.0","190,586.0","194,431.0","197,840.0","198,730.0","201,827.0","201,301.0","203,934.0","204,491.0","208,529.0","209,165.0","205,570.0","210,115.0","214,646.0","213,855.0","218,120.0","222,111.0","221,700.0","224,946.0","226,350.0","229,264.0","233,642.0","231,341.0","235,305.0","232,354.0","231,691.0","229,127.0","226,031.0","227,151.0","227,362.0","225,417.0","230,153.0","232,490.0","235,132.0","238,484.0","237,218.0","241,069.0","242,880.0","248,493.0","249,802.0","252,803.0","256,265.0","260,590.0","262,097.0","262,940.0","267,591.0","271,198.0","274,149.0","280,051.0","282,607.0","287,995.0","291,471.0","293,510.0","301,602.0","302,862.0"
