"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"35","17","      Less: Consumption of fixed capital","B189RC1","4,604.0","4,491.0","4,162.0","3,703.0","3,365.0","3,402.0","3,385.0","3,434.0","3,812.0","3,963.0","3,938.0","4,141.0","4,630.0","5,304.0","5,083.0","5,259.0","5,371.0","5,976.0","8,171.0","9,835.0","11,153.0","12,209.0","13,998.0","14,856.0","15,745.0","16,618.0","17,470.0","19,389.0","21,322.0","23,067.0","23,987.0","23,967.0","24,498.0","25,259.0","26,429.0","27,938.0","30,146.0","33,114.0","36,569.0","40,241.0","44,480.0","49,093.0","53,535.0","57,908.0","63,916.0","74,613.0","89,636.0","99,742.0","112,132.0","127,233.0","146,699.0","171,060.0","194,715.0","214,445.0","225,208.0","236,899.0","254,035.0","272,224.0","291,047.0","311,694.0","333,056.0","353,761.0","371,162.0","382,051.0","398,859.0","422,433.0","452,285.0","480,066.0","511,250.0","545,572.0","594,924.0","654,166.0","693,558.0","714,954.0","734,295.0","763,141.0","802,228.0","846,533.0","894,719.0","939,699.0"
"36","18","      Equals: Net equipment and software","A747RC1","888.0","-311.0","-1,519.0","-2,243.0","-1,929.0","-1,304.0","-552.0","447.0","958.0","-562.0","-55.0","1,026.0","1,813.0","-1,239.0","-1,412.0","-257.0","1,914.0","3,969.0","7,145.0","7,445.0","4,579.0","5,590.0","5,876.0","4,838.0","5,786.0","4,194.0","6,418.0","6,954.0","7,239.0","1,810.0","4,372.0","5,839.0","4,573.0","7,018.0","8,371.0","11,287.0","16,310.0","20,920.0","18,296.0","19,609.0","22,473.0","19,632.0","17,934.0","23,755.0","34,366.0","33,615.0","22,759.0","26,704.0","42,009.0","59,746.0","69,498.0","55,162.0","57,982.0","34,457.0","37,646.0","75,337.0","77,633.0","71,083.0","58,867.0","69,300.0","80,973.0","65,762.0","43,407.0","57,503.0","90,556.0","122,209.0","150,478.0","170,717.0","207,092.0","240,435.0","276,034.0","296,377.0","204,549.0","127,729.0","119,517.0","153,242.0","193,343.0","225,126.0","210,084.0","144,415.0"
"37","19","    Residential","A011RC1","3,958.0","2,354.0","1,782.0","767.0","618.0","939.0","1,295.0","1,720.0","2,052.0","2,128.0","3,035.0","3,525.0","4,092.0","2,224.0","1,430.0","1,351.0","1,696.0","7,811.0","12,057.0","15,638.0","14,648.0","20,537.0","18,424.0","18,592.0","19,388.0","21,079.0","25,003.0","23,553.0","22,170.0","22,347.0","28,108.0","26,285.0","26,400.0","28,976.0","32,136.0","34,274.0","34,217.0","32,286.0","32,357.0","38,719.0","42,620.0","41,365.0","55,764.0","69,665.0","75,346.0","65,963.0","62,730.0","82,483.0","110,297.0","131,599.0","140,993.0","123,191.0","122,561.0","105,680.0","152,853.0","180,585.0","188,172.0","220,114.0","233,686.0","239,306.0","239,510.0","223,981.0","205,111.0","236,332.0","265,964.0","302,093.0","302,854.0","334,058.0","349,051.0","385,928.0","425,789.0","448,978.0","472,398.0","509,495.0","577,641.0","680,606.0","774,950.0","761,889.0","628,965.0","477,185.0"
"38","20","    Less: Consumption of fixed capital","A754RC1","1,555.0","1,551.0","1,417.0","1,147.0","1,128.0","1,248.0","1,233.0","1,299.0","1,451.0","1,507.0","1,537.0","1,618.0","1,801.0","1,951.0","2,096.0","2,265.0","2,415.0","2,677.0","3,370.0","3,852.0","4,094.0","4,417.0","4,980.0","5,334.0","5,595.0","5,845.0","6,232.0","6,688.0","6,985.0","7,233.0","7,561.0","7,949.0","8,278.0","8,618.0","8,923.0","9,401.0","10,073.0","10,843.0","11,612.0","12,669.0","14,051.0","15,079.0","16,604.0","18,425.0","20,971.0","24,103.0","27,124.0","29,639.0","33,584.0","38,973.0","44,870.0","51,316.0","56,867.0","60,838.0","63,248.0","66,721.0","70,177.0","75,013.0","80,284.0","85,657.0","90,875.0","95,390.0","98,661.0","101,760.0","107,451.0","113,624.0","120,864.0","126,787.0","133,812.0","141,250.0","150,893.0","161,804.0","173,244.0","182,325.0","196,097.0","217,289.0","239,683.0","262,103.0","273,111.0","271,688.0"
"39","21","    Equals: Net residential","A748RC1","2,403.0","803.0","365.0","-380.0","-510.0","-309.0","62.0","421.0","601.0","621.0","1,498.0","1,907.0","2,291.0","273.0","-666.0","-914.0","-719.0","5,134.0","8,687.0","11,786.0","10,554.0","16,120.0","13,444.0","13,258.0","13,793.0","15,234.0","18,771.0","16,865.0","15,185.0","15,114.0","20,547.0","18,336.0","18,122.0","20,358.0","23,213.0","24,873.0","24,144.0","21,443.0","20,745.0","26,050.0","28,569.0","26,286.0","39,160.0","51,240.0","54,375.0","41,860.0","35,606.0","52,844.0","76,713.0","92,626.0","96,123.0","71,875.0","65,694.0","44,842.0","89,605.0","113,864.0","117,995.0","145,101.0","153,402.0","153,649.0","148,635.0","128,591.0","106,450.0","134,572.0","158,513.0","188,469.0","181,990.0","207,271.0","215,239.0","244,678.0","274,896.0","287,174.0","299,154.0","327,170.0","381,544.0","463,317.0","535,267.0","499,786.0","355,854.0","205,497.0"
"40","22","  Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","19,355.0","-34,752.0"
"41","23","Gross government investment \1\","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","461,556.0","496,331.0"
"42","24","Less: Consumption of fixed capital","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","290,445.0","310,921.0"
"43","25","Equals: Net government investment","A889RC1","1,874.0","2,218.0","2,077.0","1,330.0","1,019.0","1,584.0","1,677.0","2,900.0","2,470.0","2,802.0","3,052.0","2,840.0","8,765.0","25,011.0","32,837.0","27,760.0","14,048.0","-7,291.0","-5,994.0","-2,593.0","1,015.0","1,884.0","8,994.0","12,765.0","13,559.0","11,386.0","9,247.0","10,146.0","10,782.0","12,616.0","14,849.0","13,266.0","15,778.0","16,811.0","16,186.0","16,557.0","16,696.0","19,814.0","21,601.0","20,641.0","18,567.0","16,966.0","13,514.0","13,203.0","15,523.0","20,406.0","23,171.0","23,769.0","21,875.0","27,615.0","34,036.0","38,458.0","36,792.0","35,210.0","41,265.0","52,471.0","66,133.0","73,814.0","77,671.0","72,249.0","75,821.0","84,963.0","81,373.0","78,654.0","67,798.0","62,702.0","67,757.0","75,061.0","78,268.0","83,873.0","100,207.0","106,830.0","117,407.0","132,525.0","137,668.0","140,479.0","141,450.0","155,766.0","171,111.0","185,410.0"
"44","26","          Federal","A890RC1","-27.0","58.0","144.0","201.0","414.0","664.0","905.0","915.0","876.0","840.0","715.0","1,156.0","7,736.0","24,887.0","33,455.0","28,484.0","14,638.0","-7,341.0","-7,011.0","-4,522.0","-2,197.0","-1,849.0","4,590.0","8,180.0","8,480.0","5,081.0","2,293.0","2,429.0","2,116.0","3,095.0","5,166.0","3,768.0","5,409.0","5,953.0","4,036.0","3,315.0","2,090.0","3,574.0","3,814.0","1,291.0","-420.0","-1,226.0","-4,761.0","-4,610.0","-3,400.0","-1,560.0","-202.0","1,180.0","1,667.0","2,611.0","4,688.0","6,284.0","8,129.0","9,911.0","15,718.0","19,828.0","26,385.0","28,852.0","30,656.0","20,751.0","19,652.0","20,766.0","16,200.0","14,170.0","5,924.0","-2,216.0","-3,072.0","-1,486.0","-9,100.0","-6,408.0","-3,420.0","-7,705.0","-7,063.0","995.0","5,383.0","8,445.0","10,026.0","14,127.0","15,297.0","28,404.0"
"45","27","            National defense","B891RC1","-130.0","-93.0","-59.0","-66.0","-43.0","-33.0","-47.0","97.0","147.0","131.0","132.0","590.0","6,692.0","24,275.0","33,004.0","28,440.0","14,430.0","-7,236.0","-7,238.0","-4,963.0","-3,000.0","-2,807.0","3,734.0","7,301.0","7,801.0","4,561.0","2,137.0","1,983.0","1,473.0","2,219.0","4,272.0","2,579.0","3,826.0","3,970.0","1,598.0","327.0","-1,207.0","268.0","1,458.0","-506.0","-1,807.0","-2,530.0","-6,277.0","-6,297.0","-5,218.0","-3,634.0","-2,672.0","-1,753.0","-1,670.0","-2,130.0","112.0","834.0","2,670.0","5,563.0","10,195.0","13,921.0","20,094.0","22,761.0","23,447.0","15,404.0","13,704.0","13,661.0","8,074.0","4,410.0","-3,912.0","-8,012.0","-9,922.0","-9,584.0","-15,041.0","-13,911.0","-11,806.0","-11,478.0","-9,537.0","-3,450.0","1,074.0","4,808.0","5,519.0","7,819.0","9,849.0","21,042.0"
"46","28","            Nondefense","B892RC1","103.0","151.0","203.0","267.0","457.0","697.0","952.0","818.0","729.0","709.0","583.0","566.0","1,044.0","612.0","451.0","44.0","208.0","-105.0","227.0","441.0","803.0","958.0","856.0","879.0","679.0","520.0","156.0","446.0","643.0","876.0","894.0","1,189.0","1,583.0","1,983.0","2,438.0","2,988.0","3,297.0","3,306.0","2,356.0","1,797.0","1,387.0","1,304.0","1,516.0","1,687.0","1,818.0","2,074.0","2,470.0","2,933.0","3,337.0","4,741.0","4,576.0","5,450.0","5,459.0","4,348.0","5,523.0","5,907.0","6,291.0","6,091.0","7,209.0","5,347.0","5,948.0","7,105.0","8,126.0","9,760.0","9,836.0","5,796.0","6,850.0","8,098.0","5,941.0","7,503.0","8,386.0","3,773.0","2,474.0","4,445.0","4,309.0","3,637.0","4,507.0","6,308.0","5,448.0","7,362.0"
"47","29","          State and local","A893RC1","1,901.0","2,160.0","1,933.0","1,129.0","605.0","920.0","772.0","1,985.0","1,594.0","1,962.0","2,337.0","1,684.0","1,029.0","124.0","-618.0","-724.0","-590.0","50.0","1,017.0","1,929.0","3,212.0","3,733.0","4,405.0","4,586.0","5,080.0","6,306.0","6,955.0","7,717.0","8,666.0","9,521.0","9,682.0","9,498.0","10,368.0","10,858.0","12,150.0","13,242.0","14,605.0","16,240.0","17,787.0","19,349.0","18,987.0","18,192.0","18,275.0","17,812.0","18,923.0","21,966.0","23,373.0","22,588.0","20,209.0","25,004.0","29,346.0","32,174.0","28,662.0","25,299.0","25,547.0","32,642.0","39,748.0","44,963.0","47,016.0","51,498.0","56,169.0","64,197.0","65,172.0","64,484.0","61,874.0","64,918.0","70,829.0","76,547.0","87,368.0","90,281.0","103,627.0","114,534.0","124,470.0","131,530.0","132,285.0","132,035.0","131,424.0","141,639.0","155,815.0","157,006.0"
"48","30","  Structures","A760RC1","2,575.0","2,933.0","2,730.0","1,923.0","1,703.0","2,262.0","2,289.0","3,718.0","3,330.0","3,647.0","3,901.0","3,727.0","6,251.0","12,117.0","6,997.0","3,278.0","2,542.0","1,689.0","3,009.0","4,636.0","6,342.0","7,013.0","9,546.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0","160,157.0","175,790.0","189,648.0","205,797.0","221,638.0","229,385.0","236,449.0","246,477.0","267,473.0","298,796.0","315,512.0"
"49","31","  Less: Consumption of fixed capital","A894RC1","727.0","718.0","679.0","576.0","669.0","813.0","807.0","923.0","983.0","1,030.0","1,050.0","1,098.0","1,284.0","1,661.0","1,964.0","1,984.0","2,007.0","2,296.0","2,732.0","3,009.0","3,024.0","2,928.0","3,495.0","3,737.0","3,857.0","3,898.0","4,080.0","4,585.0","4,987.0","5,183.0","5,377.0","5,509.0","5,743.0","6,065.0","6,426.0","6,760.0","7,201.0","7,826.0","8,412.0","9,173.0","10,205.0","11,447.0","12,751.0","13,858.0","15,597.0","19,073.0","21,458.0","22,259.0","23,525.0","25,188.0","28,264.0","32,469.0","36,690.0","39,533.0","40,339.0","41,225.0","42,743.0","44,961.0","47,623.0","49,868.0","52,134.0","54,811.0","56,803.0","58,408.0","61,176.0","64,216.0","68,160.0","71,493.0","75,842.0","79,468.0","83,898.0","89,541.0","94,609.0","99,356.0","103,968.0","112,384.0","125,518.0","137,689.0","152,015.0","163,545.0"
"50","32","  Equals: Net structures","A895RC1","1,848.0","2,215.0","2,051.0","1,347.0","1,034.0","1,449.0","1,482.0","2,795.0","2,347.0","2,617.0","2,851.0","2,629.0","4,967.0","10,456.0","5,033.0","1,294.0","535.0","-607.0","277.0","1,627.0","3,318.0","4,085.0","6,051.0","7,367.0","7,801.0","8,213.0","7,930.0","8,809.0","9,885.0","11,318.0","11,479.0","11,091.0","12,272.0","12,570.0","13,502.0","14,296.0","15,645.0","17,259.0","18,042.0","19,375.0","18,754.0","17,720.0","18,488.0","17,747.0","18,759.0","21,244.0","23,071.0","22,618.0","20,762.0","26,303.0","29,550.0","32,840.0","29,667.0","25,450.0","25,380.0","31,279.0","38,373.0","44,025.0","47,886.0","49,130.0","49,834.0","57,810.0","60,178.0","61,336.0","59,899.0","60,469.0","66,588.0","72,888.0","79,714.0","80,689.0","91,892.0","100,107.0","111,188.0","122,282.0","125,417.0","124,065.0","120,959.0","129,784.0","146,781.0","151,967.0"
"51","33","            Federal","A896RC1","48.0","111.0","183.0","256.0","431.0","522.0","706.0","804.0","789.0","701.0","577.0","960.0","3,906.0","10,264.0","5,563.0","1,942.0","1,059.0","-659.0","-643.0","-134.0","268.0","501.0","1,808.0","2,959.0","2,906.0","2,132.0","1,165.0","1,349.0","1,613.0","2,128.0","2,132.0","2,001.0","2,285.0","2,114.0","1,872.0","1,680.0","1,684.0","1,751.0","965.0","738.0","571.0","346.0","967.0","928.0","1,112.0","836.0","1,105.0","1,209.0","1,485.0","2,463.0","1,840.0","2,568.0","2,568.0","1,969.0","2,600.0","2,756.0","3,998.0","4,880.0","6,336.0","3,503.0","2,041.0","2,494.0","1,842.0","3,270.0","3,794.0","2,784.0","3,693.0","3,239.0","607.0","739.0","-317.0","-3,399.0","-4,115.0","-2,132.0","-759.0","-3,179.0","-5,344.0","-4,579.0","-1,864.0","438.0"
"52","34","              National defense","B897RC1","-49.0","-30.0","-9.0","-8.0","-7.0","12.0","1.0","110.0","157.0","126.0","96.0","515.0","3,434.0","9,955.0","5,315.0","1,918.0","1,062.0","-443.0","-717.0","-544.0","-536.0","-392.0","1,006.0","2,196.0","2,193.0","1,576.0","913.0","841.0","898.0","1,152.0","1,096.0","797.0","904.0","517.0","136.0","-259.0","-419.0","-347.0","-479.0","-513.0","-386.0","-695.0","-380.0","-575.0","-686.0","-1,065.0","-1,210.0","-1,483.0","-1,471.0","-1,458.0","-1,956.0","-1,702.0","-1,974.0","-1,331.0","-537.0","-571.0","499.0","867.0","1,472.0","1,002.0","-323.0","-781.0","-2,429.0","-2,013.0","-2,244.0","-2,008.0","-1,376.0","-1,970.0","-2,348.0","-2,822.0","-3,537.0","-3,819.0","-4,147.0","-3,791.0","-2,530.0","-3,210.0","-3,778.0","-3,997.0","-2,250.0","-79.0"
"53","35","              Nondefense","B898RC1","97.0","141.0","192.0","264.0","438.0","510.0","705.0","694.0","632.0","575.0","481.0","445.0","472.0","309.0","248.0","24.0","-3.0","-216.0","74.0","410.0","804.0","893.0","802.0","763.0","713.0","556.0","252.0","508.0","715.0","976.0","1,036.0","1,204.0","1,381.0","1,597.0","1,736.0","1,939.0","2,103.0","2,098.0","1,444.0","1,251.0","957.0","1,041.0","1,347.0","1,503.0","1,798.0","1,901.0","2,315.0","2,692.0","2,956.0","3,921.0","3,796.0","4,270.0","4,542.0","3,300.0","3,137.0","3,327.0","3,499.0","4,013.0","4,864.0","2,501.0","2,364.0","3,275.0","4,271.0","5,283.0","6,038.0","4,792.0","5,069.0","5,209.0","2,955.0","3,561.0","3,220.0","420.0","32.0","1,659.0","1,771.0","31.0","-1,566.0","-582.0","386.0","517.0"
"54","36","            State and local","B899RC1","1,800.0","2,104.0","1,868.0","1,091.0","603.0","927.0","776.0","1,991.0","1,558.0","1,916.0","2,274.0","1,669.0","1,061.0","192.0","-530.0","-648.0","-524.0","52.0","920.0","1,761.0","3,050.0","3,584.0","4,244.0","4,409.0","4,896.0","6,081.0","6,766.0","7,460.0","8,272.0","9,190.0","9,347.0","9,090.0","9,987.0","10,456.0","11,630.0","12,616.0","13,961.0","15,508.0","17,077.0","18,637.0","18,183.0","17,374.0","17,521.0","16,819.0","17,647.0","20,408.0","21,966.0","21,409.0","19,277.0","23,840.0","27,710.0","30,272.0","27,099.0","23,481.0","22,780.0","28,523.0","34,375.0","39,145.0","41,550.0","45,627.0","47,793.0","55,316.0","58,336.0","58,066.0","56,105.0","57,685.0","62,895.0","69,649.0","79,107.0","79,950.0","92,209.0","103,506.0","115,304.0","124,414.0","126,176.0","127,244.0","126,303.0","134,363.0","148,645.0","151,529.0"
"55","37","  Equipment and software","A871RC1","257.0","235.0","256.0","224.0","223.0","399.0","487.0","413.0","462.0","545.0","590.0","646.0","4,544.0","16,429.0","32,078.0","33,370.0","21,573.0","1,802.0","1,588.0","2,382.0","3,354.0","2,786.0","8,078.0","11,206.0","12,333.0","10,401.0","8,966.0","9,515.0","9,505.0","9,982.0","12,446.0","11,667.0","13,314.0","14,655.0","13,712.0","13,570.0","12,709.0","14,702.0","16,523.0","15,089.0","14,309.0","14,410.0","10,520.0","11,036.0","12,490.0","15,940.0","18,572.0","21,518.0","23,216.0","25,576.0","30,661.0","34,944.0","40,528.0","47,331.0","57,132.0","66,848.0","77,686.0","84,240.0","88,771.0","87,151.0","95,701.0","103,128.0","103,319.0","103,361.0","98,355.0","96,231.0","97,850.0","99,845.0","96,807.0","102,696.0","111,570.0","114,678.0","116,238.0","121,833.0","126,402.0","135,921.0","145,538.0","157,582.0","162,760.0","180,819.0"
"56","38","  Less: Consumption of fixed capital","A900RC1","231.0","232.0","230.0","241.0","238.0","264.0","292.0","308.0","339.0","360.0","389.0","435.0","746.0","1,874.0","4,274.0","6,904.0","8,060.0","8,486.0","7,860.0","6,602.0","5,657.0","4,987.0","5,135.0","5,808.0","6,575.0","7,228.0","7,649.0","8,178.0","8,608.0","8,684.0","9,076.0","9,492.0","9,809.0","10,414.0","11,028.0","11,309.0","11,659.0","12,147.0","12,964.0","13,824.0","14,496.0","15,164.0","15,494.0","15,580.0","15,726.0","16,777.0","18,471.0","20,368.0","22,103.0","24,264.0","26,176.0","29,326.0","33,404.0","37,571.0","41,247.0","45,657.0","49,926.0","54,450.0","58,986.0","64,031.0","69,714.0","75,975.0","82,125.0","86,043.0","90,456.0","93,998.0","96,681.0","97,672.0","98,253.0","99,511.0","103,254.0","107,955.0","110,019.0","111,590.0","114,151.0","119,507.0","125,047.0","131,600.0","138,429.0","147,376.0"
"57","39","  Equals: Net equipment and software","A901RC1","26.0","3.0","26.0","-17.0","-15.0","135.0","195.0","105.0","123.0","185.0","201.0","211.0","3,798.0","14,555.0","27,804.0","26,466.0","13,513.0","-6,684.0","-6,272.0","-4,220.0","-2,303.0","-2,201.0","2,943.0","5,398.0","5,758.0","3,173.0","1,317.0","1,337.0","897.0","1,298.0","3,370.0","2,175.0","3,505.0","4,241.0","2,684.0","2,261.0","1,050.0","2,555.0","3,559.0","1,265.0","-187.0","-754.0","-4,974.0","-4,544.0","-3,236.0","-837.0","101.0","1,150.0","1,113.0","1,312.0","4,485.0","5,618.0","7,124.0","9,760.0","15,885.0","21,191.0","27,760.0","29,790.0","29,785.0","23,120.0","25,987.0","27,153.0","21,194.0","17,318.0","7,899.0","2,233.0","1,169.0","2,173.0","-1,446.0","3,185.0","8,316.0","6,723.0","6,219.0","10,243.0","12,251.0","16,414.0","20,491.0","25,982.0","24,331.0","33,443.0"
"58","40","            Federal","A902RC1","-75.0","-53.0","-39.0","-55.0","-17.0","142.0","199.0","111.0","87.0","139.0","138.0","196.0","3,830.0","14,623.0","27,892.0","26,542.0","13,579.0","-6,682.0","-6,368.0","-4,388.0","-2,465.0","-2,350.0","2,782.0","5,221.0","5,574.0","2,949.0","1,128.0","1,080.0","503.0","967.0","3,034.0","1,767.0","3,124.0","3,839.0","2,164.0","1,635.0","406.0","1,823.0","2,849.0","553.0","-991.0","-1,572.0","-5,728.0","-5,538.0","-4,512.0","-2,396.0","-1,307.0","-29.0","182.0","148.0","2,848.0","3,716.0","5,561.0","7,942.0","13,118.0","17,072.0","22,387.0","23,972.0","24,320.0","17,248.0","17,611.0","18,272.0","14,358.0","10,900.0","2,130.0","-5,000.0","-6,765.0","-4,725.0","-9,707.0","-7,147.0","-3,103.0","-4,306.0","-2,948.0","3,127.0","6,142.0","11,624.0","15,370.0","18,706.0","17,161.0","27,966.0"
"59","41","              National defense","B905RC1","-81.0","-63.0","-50.0","-58.0","-36.0","-45.0","-48.0","-13.0","-10.0","5.0","36.0","75.0","3,258.0","14,320.0","27,689.0","26,522.0","13,368.0","-6,793.0","-6,521.0","-4,419.0","-2,464.0","-2,415.0","2,728.0","5,105.0","5,608.0","2,985.0","1,224.0","1,142.0","575.0","1,067.0","3,176.0","1,782.0","2,922.0","3,453.0","1,462.0","586.0","-788.0","615.0","1,937.0","7.0","-1,421.0","-1,835.0","-5,897.0","-5,722.0","-4,532.0","-2,569.0","-1,462.0","-270.0","-199.0","-672.0","2,068.0","2,536.0","4,644.0","6,894.0","10,732.0","14,492.0","19,595.0","21,894.0","21,975.0","14,402.0","14,027.0","14,442.0","10,503.0","6,423.0","-1,668.0","-6,004.0","-8,546.0","-7,614.0","-12,693.0","-11,089.0","-8,269.0","-7,659.0","-5,390.0","341.0","3,604.0","8,018.0","9,297.0","11,816.0","12,099.0","21,121.0"
"60","42","              Nondefense","B906RC1","6.0","10.0","11.0","3.0","19.0","187.0","247.0","124.0","97.0","134.0","102.0","121.0","572.0","303.0","203.0","20.0","211.0","111.0","153.0","31.0","-1.0","65.0","54.0","116.0","-34.0","-36.0","-96.0","-62.0","-72.0","-100.0","-142.0","-15.0","202.0","386.0","702.0","1,049.0","1,194.0","1,208.0","912.0","546.0","430.0","263.0","169.0","184.0","20.0","173.0","155.0","241.0","381.0","820.0","780.0","1,180.0","917.0","1,048.0","2,386.0","2,580.0","2,792.0","2,078.0","2,345.0","2,846.0","3,584.0","3,830.0","3,855.0","4,477.0","3,798.0","1,004.0","1,781.0","2,889.0","2,986.0","3,942.0","5,166.0","3,353.0","2,442.0","2,786.0","2,538.0","3,606.0","6,073.0","6,890.0","5,062.0","6,845.0"
"61","43","            State and local","B907RC1","101.0","56.0","65.0","38.0","2.0","-7.0","-4.0","-6.0","36.0","46.0","63.0","15.0","-32.0","-68.0","-88.0","-76.0","-66.0","-2.0","97.0","168.0","162.0","149.0","161.0","177.0","184.0","225.0","189.0","257.0","394.0","331.0","335.0","408.0","381.0","402.0","520.0","626.0","644.0","732.0","710.0","712.0","804.0","818.0","754.0","993.0","1,276.0","1,558.0","1,407.0","1,179.0","932.0","1,164.0","1,636.0","1,902.0","1,563.0","1,818.0","2,767.0","4,119.0","5,373.0","5,818.0","5,466.0","5,871.0","8,376.0","8,881.0","6,836.0","6,418.0","5,769.0","7,233.0","7,934.0","6,898.0","8,261.0","10,331.0","11,418.0","11,028.0","9,166.0","7,116.0","6,109.0","4,791.0","5,121.0","7,276.0","7,170.0","5,477.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
