"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","2","    Imputations (133-134+141+147+148+150+152+153 +158+160+161+165-166+167+170+179+181)","A2023C1","9,612.0","9,051.0","8,142.0","6,959.0","6,390.0","6,413.0","6,785.0","7,072.0","7,488.0","7,537.0","7,631.0","7,784.0","9,031.0","11,902.0","16,387.0","20,377.0","22,721.0","24,095.0","23,572.0","24,074.0","23,974.0","24,492.0","27,870.0","31,025.0","34,325.0","37,024.0","39,632.0","43,026.0","46,324.0","49,068.0","52,668.0","56,354.0","59,865.0","64,006.0","67,571.0","71,912.0","76,557.0","82,030.0","88,098.0","95,302.0","105,713.0","116,211.0","126,586.0","137,522.0","149,681.0","168,698.0","192,940.0","211,066.0","234,109.0","265,068.0","295,567.0","333,741.0","375,685.0","417,995.0","471,943.0","506,107.0","558,674.0","608,309.0","647,094.0","696,993.0","742,702.0","804,539.0","864,482.0","934,200.0","988,431.0","1,040,966.0","1,073,328.0","1,119,361.0","1,172,944.0","1,242,240.0","1,342,593.0","1,445,899.0","1,530,303.0","1,598,037.0","1,656,060.0","1,764,782.0","1,887,749.0","1,980,302.0","2,096,511.0","2,224,821.0"
"22","3","    Excluding imputations (1-2)","A2026C1","93,996.0","82,162.0","68,348.0","51,762.0","50,012.0","59,567.0","66,519.0","76,694.0","84,379.0","78,587.0","84,539.0","93,646.0","117,710.0","150,007.0","182,220.0","199,382.0","200,328.0","198,133.0","220,523.0","245,044.0","243,258.0","269,252.0","311,390.0","327,273.0","345,002.0","343,330.0","375,088.0","394,402.0","414,731.0","418,101.0","453,959.0","470,084.0","484,893.0","521,650.0","550,189.0","591,727.0","642,558.0","705,662.0","744,347.0","814,541.0","878,718.0","922,115.0","1,000,231.0","1,100,363.0","1,232,588.0","1,330,754.0","1,444,760.0","1,613,517.0","1,796,021.0","2,028,694.0","2,266,661.0","2,454,402.0","2,751,152.0","2,835,199.0","3,062,663.0","3,424,788.0","3,658,796.0","3,851,758.0","4,089,260.0","4,403,429.0","4,739,444.0","4,995,988.0","5,127,612.0","5,408,106.0","5,678,919.0","6,044,194.0","6,341,327.0","6,719,095.0","7,159,418.0","7,551,255.0","8,010,891.0","8,505,583.0","8,755,864.0","9,044,279.0","9,486,083.0","10,102,971.0","10,750,632.0","11,418,615.0","11,981,117.0","12,216,594.0"
"23","4","  Personal consumption expenditures","DPCERC1","77,388.0","70,139.0","60,673.0","48,712.0","45,943.0","51,458.0","55,927.0","62,182.0","66,834.0","64,264.0","67,205.0","71,286.0","81,068.0","89,003.0","99,902.0","108,652.0","119,984.0","144,310.0","161,990.0","175,027.0","178,497.0","192,229.0","208,532.0","219,526.0","233,077.0","240,000.0","258,764.0","271,671.0","286,863.0","296,186.0","317,704.0","331,795.0","342,185.0","363,336.0","382,713.0","411,454.0","443,811.0","480,893.0","507,783.0","558,001.0","605,124.0","648,301.0","701,613.0","770,230.0","852,013.0","932,932.0","1,033,788.0","1,151,254.0","1,277,823.0","1,427,621.0","1,591,167.0","1,755,826.0","1,939,506.0","2,075,495.0","2,288,576.0","2,501,083.0","2,717,608.0","2,896,746.0","3,096,960.0","3,350,056.0","3,594,490.0","3,835,453.0","3,980,073.0","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,013.0","8,285,080.0","8,819,002.0","9,322,662.0","9,826,438.0","10,129,919.0"
"24","5","    Imputations (133-134+141+147+152+160+167+171 +172+173+174-177-178)","A2042C1","5,953.0","6,166.0","5,792.0","5,425.0","4,963.0","4,597.0","4,702.0","4,552.0","4,693.0","4,584.0","4,063.0","3,833.0","4,061.0","6,704.0","8,883.0","10,063.0","10,514.0","4,465.0","1,358.0","-241.0","1,261.0","-2,676.0","1,492.0","3,654.0","5,332.0","5,408.0","3,888.0","7,415.0","11,164.0","14,096.0","11,970.0","16,448.0","20,160.0","21,993.0","22,469.0","24,498.0","27,274.0","32,882.0","36,872.0","38,595.0","44,313.0","53,770.0","51,617.0","50,260.0","54,498.0","74,495.0","92,045.0","89,063.0","83,969.0","95,975.0","119,156.0","165,005.0","199,742.0","242,330.0","249,387.0","255,248.0","291,818.0","300,727.0","320,342.0","352,419.0","391,952.0","456,246.0","515,482.0","544,768.0","569,136.0","583,665.0","619,981.0","629,545.0","655,382.0","675,911.0","736,767.0","807,163.0","860,987.0","886,043.0","873,866.0","869,451.0","884,226.0","968,374.0","1,187,796.0","1,430,418.0"
"25","6","    Excluding imputations (4-5)","A2086C1","71,435.0","63,973.0","54,881.0","43,287.0","40,980.0","46,861.0","51,225.0","57,630.0","62,141.0","59,680.0","63,142.0","67,453.0","77,007.0","82,299.0","91,019.0","98,589.0","109,470.0","139,845.0","160,632.0","175,268.0","177,236.0","194,905.0","207,040.0","215,872.0","227,745.0","234,592.0","254,876.0","264,256.0","275,699.0","282,090.0","305,734.0","315,347.0","322,025.0","341,343.0","360,244.0","386,956.0","416,537.0","448,011.0","470,911.0","519,406.0","560,811.0","594,531.0","649,996.0","719,970.0","797,515.0","858,437.0","941,743.0","1,062,191.0","1,193,854.0","1,331,646.0","1,472,011.0","1,590,821.0","1,739,764.0","1,833,165.0","2,039,189.0","2,245,835.0","2,425,790.0","2,596,019.0","2,776,618.0","2,997,637.0","3,202,538.0","3,379,207.0","3,464,591.0","3,692,123.0","3,914,458.0","4,167,141.0","4,367,299.0","4,644,063.0","4,915,244.0","5,242,577.0","5,606,017.0","6,023,208.0","6,287,820.0","6,553,148.0","6,930,147.0","7,415,629.0","7,934,776.0","8,354,288.0","8,638,642.0","8,699,501.0"
"26","7","  Gross private domestic investment","A006RC1","16,481.0","10,759.0","5,932.0","1,268.0","1,742.0","3,691.0","6,701.0","8,640.0","12,153.0","7,078.0","9,342.0","13,642.0","18,115.0","10,436.0","6,125.0","7,798.0","10,841.0","31,148.0","34,960.0","48,102.0","36,866.0","54,063.0","60,161.0","54,024.0","56,437.0","53,819.0","69,036.0","72,026.0","70,458.0","64,487.0","78,533.0","78,891.0","78,160.0","88,132.0","93,756.0","102,057.0","118,241.0","131,305.0","128,599.0","141,179.0","156,444.0","152,378.0","178,168.0","207,608.0","244,489.0","249,418.0","230,219.0","291,960.0","361,340.0","437,953.0","492,875.0","479,252.0","572,381.0","517,232.0","564,300.0","735,623.0","736,181.0","746,519.0","784,951.0","821,571.0","874,948.0","860,968.0","802,891.0","864,786.0","953,345.0","1,097,288.0","1,144,044.0","1,240,191.0","1,388,657.0","1,510,784.0","1,641,508.0","1,772,210.0","1,661,928.0","1,646,957.0","1,729,694.0","1,968,550.0","2,172,228.0","2,327,174.0","2,288,473.0","2,136,053.0"
"27","8","    Imputations (177+178+179)","A2087C1","2,600.0","1,866.0","1,383.0","653.0","473.0","685.0","927.0","1,217.0","1,454.0","1,516.0","2,024.0","2,396.0","2,955.0","1,649.0","1,130.0","1,141.0","1,635.0","7,137.0","10,847.0","14,277.0","13,653.0","19,243.0","17,806.0","17,860.0","18,587.0","20,452.0","23,989.0","22,905.0","21,629.0","21,070.0","26,228.0","24,896.0","24,152.0","25,561.0","27,690.0","29,314.0","30,499.0","29,397.0","29,898.0","33,740.0","36,069.0","34,911.0","45,764.0","56,865.0","63,331.0","57,865.0","59,712.0","78,619.0","103,967.0","120,190.0","123,307.0","109,431.0","109,261.0","102,629.0","143,340.0","167,519.0","172,653.0","200,061.0","218,392.0","230,466.0","232,201.0","221,073.0","212,666.0","245,550.0","268,827.0","303,393.0","295,211.0","328,530.0","352,213.0","397,291.0","428,947.0","453,547.0","481,898.0","517,359.0","581,366.0","683,729.0","773,865.0","767,301.0","645,274.0","508,503.0"
"28","9","    Excluding imputations (7-8)","A2088C1","13,881.0","8,893.0","4,549.0","615.0","1,269.0","3,006.0","5,774.0","7,423.0","10,699.0","5,562.0","7,318.0","11,246.0","15,160.0","8,787.0","4,995.0","6,657.0","9,206.0","24,011.0","24,113.0","33,825.0","23,213.0","34,820.0","42,355.0","36,164.0","37,850.0","33,367.0","45,047.0","49,121.0","48,829.0","43,417.0","52,305.0","53,995.0","54,008.0","62,571.0","66,066.0","72,743.0","87,742.0","101,908.0","98,701.0","107,439.0","120,375.0","117,467.0","132,404.0","150,743.0","181,158.0","191,553.0","170,507.0","213,341.0","257,373.0","317,763.0","369,568.0","369,821.0","463,120.0","414,603.0","420,960.0","568,104.0","563,528.0","546,458.0","566,559.0","591,105.0","642,747.0","639,895.0","590,225.0","619,236.0","684,518.0","793,895.0","848,833.0","911,661.0","1,036,444.0","1,113,493.0","1,212,561.0","1,318,663.0","1,180,030.0","1,129,598.0","1,148,328.0","1,284,821.0","1,398,363.0","1,559,873.0","1,643,199.0","1,627,550.0"
"29","10","  Net exports of goods and services","A019RC1","383.0","323.0","1.0","43.0","58.0","322.0","-213.0","-147.0","78.0","966.0","833.0","1,471.0","1,033.0","-252.0","-2,246.0","-2,024.0","-766.0","7,182.0","10,807.0","5,487.0","5,235.0","738.0","2,513.0","1,164.0","-701.0","404.0","478.0","2,361.0","4,075.0","538.0","396.0","4,204.0","4,914.0","4,100.0","4,940.0","6,914.0","5,617.0","3,863.0","3,555.0","1,351.0","1,432.0","3,950.0","621.0","-3,372.0","4,110.0","-815.0","15,977.0","-1,631.0","-23,093.0","-25,366.0","-22,546.0","-13,056.0","-12,527.0","-19,980.0","-51,650.0","-102,731.0","-115,209.0","-132,533.0","-144,950.0","-110,108.0","-87,889.0","-77,606.0","-26,960.0","-32,832.0","-64,388.0","-92,725.0","-90,690.0","-96,301.0","-101,355.0","-161,827.0","-262,078.0","-382,050.0","-370,988.0","-427,175.0","-504,114.0","-618,695.0","-722,731.0","-769,315.0","-713,768.0","-707,765.0"
"30","11","    Imputations (14-17)","W510RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","213.0","206.0","195.0","211.0","224.0","251.0","265.0","284.0","280.0","288.0","319.0","303.0","356.0","402.0","416.0","419.0","454.0","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","5,012.0","4,638.0","4,242.0","3,772.0","3,058.0","3,850.0","4,957.0","6,220.0","6,216.0","6,145.0","5,343.0","5,773.0","6,235.0","5,392.0","4,962.0","4,592.0","2,901.0","2,398.0","1,552.0","1,210.0","3,182.0","2,017.0","2,631.0","6,919.0"
"31","12","    Excluding imputations (10-11)","W511RC1","339.0","286.0","-31.0","14.0","35.0","298.0","-239.0","-185.0","14.0","905.0","753.0","1,362.0","926.0","-360.0","-2,387.0","-2,191.0","-909.0","7,048.0","10,694.0","5,372.0","5,102.0","591.0","2,341.0","951.0","-907.0","209.0","267.0","2,137.0","3,824.0","273.0","112.0","3,924.0","4,626.0","3,781.0","4,637.0","6,558.0","5,215.0","3,447.0","3,136.0","897.0","889.0","3,328.0","4.0","-4,090.0","3,171.0","-2,202.0","14,260.0","-3,327.0","-24,976.0","-27,683.0","-25,631.0","-16,541.0","-16,623.0","-22,899.0","-55,698.0","-106,799.0","-120,221.0","-137,171.0","-149,192.0","-113,880.0","-90,947.0","-81,456.0","-31,917.0","-39,052.0","-70,604.0","-98,870.0","-96,033.0","-102,074.0","-107,590.0","-167,219.0","-267,040.0","-386,642.0","-373,889.0","-429,573.0","-505,666.0","-619,905.0","-725,913.0","-771,332.0","-716,399.0","-714,684.0"
"32","13","    Exports of goods and services","B020RC1","5,939.0","4,444.0","2,906.0","1,975.0","1,987.0","2,561.0","2,769.0","3,007.0","4,039.0","3,811.0","3,969.0","4,897.0","5,482.0","4,375.0","4,034.0","4,880.0","6,781.0","14,156.0","18,740.0","15,547.0","14,484.0","12,350.0","17,099.0","16,459.0","15,313.0","15,836.0","17,677.0","21,284.0","24,017.0","20,560.0","22,725.0","27,045.0","27,602.0","29,065.0","31,075.0","35,019.0","37,146.0","40,920.0","43,467.0","47,907.0","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","302,019.0","320,334.0","363,764.0","443,884.0","503,143.0","552,123.0","596,587.0","634,961.0","655,586.0","720,700.0","811,881.0","867,665.0","954,421.0","953,863.0","989,314.0","1,093,241.0","1,027,725.0","1,003,026.0","1,041,033.0","1,180,224.0","1,305,060.0","1,471,032.0","1,655,943.0","1,831,106.0"
"33","14","      Imputations (150+158+165)","W512RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","213.0","206.0","195.0","211.0","224.0","251.0","265.0","284.0","280.0","288.0","319.0","303.0","356.0","402.0","416.0","419.0","454.0","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","5,012.0","5,320.0","5,084.0","4,554.0","4,057.0","4,911.0","6,200.0","7,555.0","7,732.0","7,964.0","7,197.0","7,568.0","8,143.0","8,052.0","7,985.0","8,279.0","7,812.0","7,963.0","7,601.0","8,180.0","7,618.0","8,967.0","9,848.0","12,232.0"
"34","15","      Excluding imputations (13-14)","W513RC1","5,895.0","4,407.0","2,874.0","1,946.0","1,964.0","2,537.0","2,743.0","2,969.0","3,975.0","3,750.0","3,889.0","4,788.0","5,375.0","4,267.0","3,893.0","4,713.0","6,638.0","14,022.0","18,627.0","15,432.0","14,351.0","12,203.0","16,927.0","16,246.0","15,107.0","15,641.0","17,466.0","21,060.0","23,766.0","20,295.0","22,441.0","26,765.0","27,314.0","28,746.0","30,772.0","34,663.0","36,744.0","40,504.0","43,048.0","47,453.0","51,380.0","59,088.0","62,346.0","70,126.0","94,330.0","125,263.0","136,989.0","147,819.0","157,467.0","184,568.0","227,044.0","277,288.0","301,136.0","280,284.0","272,940.0","298,308.0","297,007.0","315,014.0","358,680.0","439,330.0","499,086.0","547,212.0","590,387.0","627,406.0","647,854.0","712,736.0","804,684.0","860,097.0","946,278.0","945,811.0","981,329.0","1,084,962.0","1,019,913.0","995,063.0","1,033,432.0","1,172,044.0","1,297,442.0","1,462,065.0","1,646,095.0","1,818,874.0"
"35","16","    Imports of goods and services","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,369,711.0","2,538,871.0"
