"","Table 7#7# Business Current Transfer Payments by Type           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Insurance payments to persons by business","A1870C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","162.0","98.0","79.0","81.0","247.0","473.0","431.0","287.0","186.0","451.0","748.0","913.0","779.0","732.0","718.0","736.0","836.0","1,085.0","1,325.0","1,342.0","1,166.0","1,280.0","1,620.0","2,102.0","1,936.0","1,629.0","1,883.0","2,527.0","3,267.0","5,339.0","4,868.0","2,917.0","3,817.0","5,099.0","5,134.0","7,172.0","7,584.0","8,310.0","13,718.0","15,497.0","15,306.0","12,724.0","13,020.0","14,853.0","14,072.0","9,286.0","6,902.0","4,174.0","1,929.0","6,326.0","10,690.0","6,448.0","12,940.0","19,046.0","27,259.0","30,508.0","18,972.0","9,615.0","-621.0","2,617.0","-341.0","8,907.0","12,028.0"
"22","4","    Automobile insurance","B1871C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","98.0","122.0","149.0","152.0","206.0","257.0","314.0","345.0","369.0","423.0","494.0","591.0","646.0","690.0","717.0","752.0","788.0","869.0","977.0","1,060.0","1,177.0","1,270.0","1,375.0","1,504.0","1,695.0","1,805.0","1,944.0","2,058.0","2,110.0","2,483.0","2,797.0","3,119.0","3,508.0","3,989.0","4,403.0","5,098.0","5,624.0","5,861.0","7,211.0","8,291.0","9,903.0","10,217.0","10,345.0","11,011.0","11,104.0","10,392.0","10,125.0","9,737.0","10,119.0","11,146.0","11,585.0","12,247.0","12,752.0","12,825.0","13,778.0","15,281.0","14,609.0","14,030.0","14,075.0","14,180.0","13,968.0","13,511.0","13,309.0"
"23","5","    Medical malpractice insurance","B1872C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","50.0","100.0","150.0","200.0","300.0","400.0","508.0","845.0","564.0","671.0","740.0","923.0","1,141.0","1,398.0","1,486.0","1,914.0","2,779.0","3,116.0","3,094.0","2,881.0","1,807.0","2,081.0","2,106.0","3,017.0","2,524.0","2,302.0","2,266.0","2,609.0","2,618.0","2,972.0","3,569.0","4,084.0","5,608.0","5,889.0","6,641.0","5,169.0","4,844.0","4,105.0","3,369.0","3,222.0"
"24","6","    Net insurance settlements","W238RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","64.0","-24.0","-70.0","-71.0","41.0","216.0","117.0","-58.0","-183.0","28.0","254.0","322.0","133.0","42.0","1.0","-16.0","48.0","216.0","348.0","282.0","-11.0","10.0","245.0","548.0","141.0","-326.0","-261.0","169.0","757.0","2,348.0","1,226.0","-766.0","-362.0","370.0","-192.0","933.0","562.0","963.0","4,593.0","4,427.0","2,287.0","-587.0","-206.0","2,035.0","887.0","-3,212.0","-6,240.0","-8,087.0","-10,492.0","-7,086.0","-3,504.0","-8,417.0","-2,784.0","2,652.0","9,397.0","9,619.0","-1,526.0","-11,056.0","-19,865.0","-16,407.0","-18,414.0","-7,973.0","-4,503.0"
"25","7","  Donations by corporate business to nonprofit institutions serving households","B1873C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","214.0","241.0","239.0","223.0","252.0","343.0","399.0","494.0","314.0","415.0","418.0","417.0","395.0","482.0","482.0","512.0","595.0","657.0","729.0","785.0","805.0","830.0","1,005.0","1,055.0","797.0","865.0","1,009.0","1,174.0","1,200.0","1,202.0","1,477.0","1,790.0","2,084.0","2,288.0","2,359.0","2,514.0","2,906.0","3,627.0","4,059.0","4,472.0","5,179.0","4,980.0","4,893.0","4,893.0","4,752.0","4,763.0","5,521.0","6,305.0","7,103.0","7,426.0","7,822.0","8,375.0","8,669.0","10,730.0","10,663.0","11,417.0","10,332.0","10,821.0","11,597.0","16,594.0","14,786.0","13,996.0","12,876.0"
"26","8","  Other \1\","B1874C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","52.0","53.0","53.0","51.0","56.0","57.0","58.0","61.0","67.0","64.0","69.0","65.0","66.0","108.0","112.0","113.0","118.0","126.0","133.0","138.0","142.0","152.0","163.0","174.0","193.0","202.0","220.0","239.0","271.0","303.0","349.0","383.0","562.0","838.0","1,137.0","1,489.0","1,896.0","1,859.0","1,950.0","2,291.0","2,463.0","2,524.0","2,683.0","3,425.0","3,369.0","3,587.0","3,864.0","3,575.0","4,223.0","4,976.0","4,366.0","4,623.0","4,386.0","4,196.0","4,512.0","4,843.0","4,890.0","5,265.0","5,967.0","6,625.0","6,928.0","7,302.0","7,726.0"
"27","9","Payments to government (net) \2\","W061RC1","113.0","115.0","111.0","108.0","98.0","97.0","114.0","139.0","149.0","153.0","154.0","164.0","177.0","203.0","255.0","379.0","391.0","272.0","325.0","365.0","376.0","307.0","343.0","369.0","375.0","421.0","445.0","500.0","525.0","567.0","442.0","546.0","665.0","694.0","789.0","949.0","1,352.0","1,411.0","1,503.0","1,533.0","1,610.0","1,593.0","1,628.0","1,818.0","2,030.0","2,395.0","2,564.0","2,826.0","3,375.0","4,352.0","5,103.0","6,102.0","6,737.0","8,226.0","8,805.0","10,563.0","12,945.0","13,902.0","13,833.0","13,025.0","16,008.0","17,919.0","22,300.0","24,507.0","26,742.0","29,115.0","25,730.0","31,836.0","31,056.0","35,420.0","37,589.0","43,567.0","45,995.0","47,932.0","48,751.0","52,534.0","55,241.0","59,592.0","65,373.0","78,847.0"
"28","10","Payments to the rest of the world (net) \3\","W237RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","1,994.0","6,582.0","7,297.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists largely of losses by business due to fraud and unrecovered thefts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","corporate cash prizes, and payments from personal injury trust funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. For detail, see table 3.7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Consists of net insurance settlements paid to the rest of the world less net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","insurance settlements received from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
