"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","      Posttabulation amendments and revisions \1\","B1175C1","89.0","120.0","146.0","174.0","468.0","229.0","192.0","360.0","324.0","394.0","401.0","505.0","505.0","-2,556.0","-3,964.0","-2,924.0","-1,391.0","-540.0","-972.0","-831.0","-797.0","-1,019.0","-1,069.0","-1,247.0","-1,426.0","-443.0","-1,894.0","-2,145.0","-2,089.0","-183.0","646.0","1,375.0","686.0","364.0","410.0","522.0","726.0","501.0","544.0","650.0","988.0","1,013.0","1,841.0","1,817.0","1,546.0","2,648.0","2,997.0","2,418.0","570.0","-930.0","1,581.0","4,825.0","7,852.0","18,064.0","15,952.0","8,856.0","5,074.0","4,899.0","-15,684.0","-14,955.0","-12,570.0","-11,723.0","2,053.0","6,795.0","10,832.0","744.0","7,838.0","9,702.0","23,905.0","30,981.0","51,975.0","70,196.0","65,788.0","42,032.0","22,006.0","34,139.0","10,717.0","18,508.0",".....","....."
"22","4","      Income of organizations not filing corporation income tax returns","A1629C1","81.0","31.0","29.0","77.0","80.0","80.0","52.0","50.0","59.0","63.0","57.0","81.0","58.0","87.0","109.0","146.0","214.0","243.0","249.0","408.0","412.0","390.0","568.0","512.0","519.0","467.0","467.0","662.0","851.0","839.0","990.0","1,197.0","1,017.0","1,089.0","1,137.0","1,336.0","1,573.0","1,959.0","2,199.0","2,771.0","3,380.0","3,844.0","3,649.0","3,729.0","5,043.0","6,413.0","6,200.0","6,622.0","6,979.0","8,817.0","10,606.0","12,809.0","15,950.0","17,398.0","16,470.0","19,032.0","18,160.0","15,890.0","17,617.0","20,308.0","23,373.0","25,013.0","24,629.0","24,479.0","23,389.0","24,523.0","28,849.0","29,564.0","30,471.0","33,392.0","34,728.0","40,234.0","37,751.0","33,547.0","27,598.0","33,653.0","37,371.0","45,991.0",".....","....."
"23","5","        Federal Reserve banks","B1630C1","38.0","6.0","0.0","21.0","7.0","8.0","6.0","5.0","9.0","1.0","9.0","14.0","8.0","14.0","26.0","55.0","94.0","89.0","89.0","228.0","235.0","190.0","294.0","346.0","394.0","322.0","296.0","468.0","625.0","595.0","734.0","942.0","773.0","863.0","954.0","1,135.0","1,342.0","1,685.0","1,953.0","2,502.0","3,075.0","3,526.0","3,312.0","3,344.0","4,476.0","5,681.0","5,610.0","5,872.0","6,109.0","7,645.0","9,433.0","11,798.0","14,393.0","15,245.0","14,586.0","16,433.0","16,346.0","15,516.0","16,247.0","18,087.0","20,671.0","21,851.0","20,776.0","18,358.0","16,770.0","18,610.0","23,055.0","22,664.0","24,424.0","25,753.0","26,837.0","31,418.0","29,185.0","23,911.0","20,533.0","20,537.0","27,135.0","34,376.0",".....","....."
"24","6","        Federally sponsored credit agencies \2\","B1631C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","15.0","14.0","20.0","19.0","41.0","27.0","26.0","31.0","31.0","32.0","34.0","41.0","45.0","57.0","69.0","73.0","81.0","97.0","118.0","91.0","106.0","103.0","71.0","90.0","88.0","239.0","376.0","318.0","328.0","392.0","614.0","822.0","819.0","1,002.0","1,621.0","1,182.0","1,356.0","702.0","-18.0","645.0","1,495.0","2,207.0","2,035.0","2,023.0","1,886.0","2,137.0","2,077.0","2,581.0","2,673.0","3,066.0","3,388.0","3,710.0","3,855.0","3,912.0","3,537.0","3,940.0","3,974.0","4,715.0","5,109.0",".....","....."
"25","7","        Other \3\","B1632C1","43.0","25.0","29.0","56.0","73.0","72.0","46.0","45.0","50.0","62.0","48.0","67.0","50.0","73.0","83.0","91.0","120.0","154.0","153.0","165.0","163.0","180.0","255.0","125.0","98.0","119.0","140.0","163.0","194.0","210.0","215.0","210.0","187.0","157.0","110.0","120.0","134.0","156.0","155.0","163.0","202.0","247.0","247.0","297.0","328.0","356.0","272.0","422.0","478.0","558.0","351.0","192.0","555.0","532.0","702.0","1,243.0","1,112.0","392.0","725.0","726.0","495.0","1,127.0","1,830.0","4,235.0","4,482.0","3,836.0","3,213.0","4,227.0","2,981.0","4,251.0","4,181.0","4,961.0","4,654.0","6,099.0","3,125.0","9,142.0","5,521.0","6,506.0",".....","....."
"26","8","      Depletion on domestic minerals","B1176C1","559.0","463.0","268.0","246.0","246.0","312.0","349.0","437.0","524.0","437.0","438.0","475.0","544.0","578.0","644.0","712.0","693.0","596.0","944.0","1,454.0","1,229.0","1,409.0","1,576.0","1,582.0","1,720.0","1,836.0","2,122.0","2,350.0","2,560.0","2,373.0","2,474.0","2,685.0","2,679.0","2,765.0","2,865.0","3,274.0","3,435.0","3,595.0","3,862.0","4,276.0","4,236.0","3,959.0","4,216.0","4,529.0","5,828.0","9,341.0","4,526.0","4,809.0","4,990.0","5,683.0","6,755.0","7,612.0","6,691.0","5,845.0","6,218.0","6,548.0","6,411.0","7,577.0","6,883.0","6,887.0","7,312.0","7,550.0","6,794.0","7,268.0","6,875.0","7,588.0","8,076.0","8,216.0","8,368.0","8,047.0","8,028.0","8,423.0","7,933.0","7,503.0","7,935.0","9,229.0","12,300.0","11,570.0",".....","....."
"27","9","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1","88.0","47.0","-43.0","-22.0","-58.0","-36.0","4.0","52.0","132.0","99.0","91.0","107.0","117.0","36.0","63.0","206.0","250.0","275.0","339.0","636.0","581.0","697.0","857.0","1,002.0","1,080.0","1,120.0","1,200.0","1,204.0","1,061.0","776.0","824.0","612.0","543.0","608.0","370.0","434.0","385.0","339.0","269.0","240.0","321.0","231.0","46.0","281.0","634.0","1,731.0","2,740.0","3,485.0","4,314.0","6,753.0","9,762.0","13,448.0","19,609.0","19,867.0","10,185.0","11,215.0","7,538.0","-3,939.0","-7,163.0","-5,079.0","-7,661.0","-4,886.0","-8,092.0","-7,431.0","-6,270.0","-3,777.0","-2,098.0","630.0","6,438.0","3,652.0","534.0","5,058.0","10,550.0","2,523.0","5,710.0","9,931.0","13,921.0","30,181.0",".....","....."
"28","10","      State and local taxes on corporate income","B1179C1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,150.0",".....","....."
"29","11","      Interest payments of regulated investment companies","B1181C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-52.0","-237.0","-408.0","-294.0","-424.0","-817.0","-1,054.0","-1,036.0","-958.0","-1,479.0","-1,824.0","-4,379.0","-8,703.0","-18,339.0","-23,218.0","-17,541.0","-21,708.0","-24,439.0","-28,457.0","-45,077.0","-53,480.0","-67,499.0","-68,043.0","-60,286.0","-57,127.0","-59,615.0","-77,344.0","-79,150.0","-86,362.0","-96,076.0","-118,978.0","-118,175.0","-143,454.0","-124,059.0","-100,749.0","-71,334.0","-75,271.0","-106,193.0","-165,477.0",".....","....."
"30","12","      Bad debt expense","B1182C1","942.0","980.0","1,183.0","1,313.0","1,249.0","1,182.0","965.0","901.0","756.0","672.0","715.0","617.0","736.0","544.0","418.0","336.0","277.0","346.0","685.0","712.0","825.0","755.0","757.0","941.0","1,144.0","1,350.0","1,653.0","1,920.0","1,894.0","2,083.0","2,331.0","2,849.0","3,144.0","3,507.0","3,540.0","3,908.0","4,230.0","4,273.0","4,422.0","4,910.0","5,875.0","6,480.0","7,808.0","8,252.0","10,501.0","12,756.0","13,781.0","13,812.0","14,249.0","15,661.0","17,432.0","18,770.0","22,287.0","26,691.0","30,543.0","33,803.0","43,334.0","53,419.0","54,578.0","58,645.0","68,806.0","83,692.0","100,876.0","89,582.0","80,671.0","67,852.0","67,769.0","74,657.0","83,565.0","86,371.0","100,203.0","107,680.0","142,201.0","168,046.0","151,142.0","139,664.0","119,041.0","105,860.0",".....","....."
"31","13","      Disaster adjustments (net) \4\","W779RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16.0","414.0","123.0","17.0","0.0","36.0","96.0","0.0","213.0","46.0","0.0","70.0","101.0","0.0","29.0","0.0","0.0","0.0","3,900.0","0.0","1,284.0","13,227.0","2,641.0","12,728.0","1,966.0","0.0","0.0","0.0","1,826.0","0.0","7,376.0","0.0","0.0","17,982.0","28,657.0","0.0",".....","....."
"32",NA,"Less: Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","14","        Gains, net of losses, from sale of property","B1183C1","745.0","-242.0","-1,288.0","-1,565.0","-1,355.0","-54.0","187.0","372.0","143.0","44.0","37.0","-720.0","-994.0","-203.0","-196.0","19.0","569.0","1,064.0","666.0","694.0","570.0","959.0","1,132.0","1,055.0","811.0","1,792.0","1,697.0","1,676.0","1,577.0","2,846.0","1,794.0","2,603.0","4,019.0","3,422.0","3,610.0","3,910.0","5,211.0","5,391.0","7,542.0","8,919.0","7,775.0","5,228.0","7,383.0","10,121.0","9,492.0","7,710.0","8,903.0","10,637.0","13,994.0","16,742.0","20,982.0","27,130.0","28,773.0","29,143.0","42,037.0","46,669.0","75,248.0","124,030.0","82,850.0","80,058.0","82,877.0","62,830.0","62,204.0","70,878.0","90,750.0","70,984.0","115,541.0","132,767.0","200,818.0","200,964.0","269,362.0","286,349.0","156,584.0","96,385.0","123,324.0","170,757.0","246,148.0","281,493.0",".....","....."
"34","15","        Dividends received from domestic corporations","B1184C1","2,593.0","2,571.0","1,969.0","1,260.0","1,026.0","2,217.0","3,014.0","2,676.0","2,682.0","1,791.0","1,906.0","2,021.0","2,235.0","1,344.0","1,334.0","1,429.0","1,418.0","1,713.0","1,882.0","2,194.0","2,162.0","2,460.0","2,377.0","2,350.0","2,389.0","2,332.0","2,572.0","2,688.0","2,681.0","2,829.0","2,948.0","3,082.0","3,275.0","3,641.0","3,592.0","4,022.0","4,521.0","4,435.0","4,420.0","4,856.0","5,031.0","5,238.0","5,500.0","6,501.0","9,442.0","13,792.0","8,818.0","11,969.0","13,032.0","13,321.0","16,825.0","18,655.0","17,441.0","18,156.0","19,697.0","21,194.0","16,967.0","15,157.0","13,862.0","22,349.0","24,800.0","23,382.0","23,519.0","25,262.0","28,796.0","33,011.0","38,712.0","47,222.0","57,678.0","64,164.0","67,319.0","69,647.0","67,617.0","68,069.0","76,053.0","98,702.0","122,297.0","156,203.0",".....","....."
"35","16","        Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1","417.0","334.0","150.0","67.0","90.0","173.0","290.0","343.0","357.0","369.0","328.0","356.0","338.0","309.0","266.0","385.0","393.0","640.0","961.0","1,147.0","1,174.0","1,504.0","1,920.0","1,841.0","1,901.0","1,829.0","2,393.0","2,487.0","2,667.0","2,694.0","2,814.0","2,945.0","3,477.0","3,556.0","4,308.0","5,162.0","5,246.0","5,714.0","6,454.0","7,138.0","7,808.0","8,450.0","10,723.0","13,253.0","20,599.0","43,633.0","41,886.0","49,830.0","52,310.0","53,557.0","77,808.0","52,187.0","44,132.0","44,776.0","41,616.0","44,761.0","45,696.0","41,741.0","48,413.0","64,939.0","54,970.0","61,920.0","54,193.0","67,160.0","77,062.0","79,226.0","92,324.0","107,090.0","113,785.0","107,276.0","123,372.0","131,392.0","115,541.0","108,084.0","132,163.0","167,914.0","514,139.0","250,220.0",".....","....."
"36","17","      Costs of trading or issuing corporate securities \5\","B1186C1","320.0","180.0","97.0","41.0","44.0","35.0","99.0","150.0","97.0","60.0","70.0","70.0","58.0","33.0","46.0","76.0","144.0","181.0","144.0","159.0","131.0","161.0","194.0","206.0","191.0","233.0","291.0","286.0","317.0","322.0","396.0","386.0","504.0","416.0","446.0","487.0","569.0","729.0","1,023.0","1,254.0","1,411.0","1,652.0","2,137.0","1,994.0","1,543.0","1,676.0","1,978.0","2,451.0","2,108.0","1,547.0","1,819.0","3,221.0","3,842.0","5,280.0","6,975.0","5,551.0","8,014.0","12,911.0","8,252.0","11,120.0","12,290.0","14,324.0","21,769.0","22,241.0","27,225.0","21,203.0","30,496.0","35,297.0","37,491.0","39,883.0","57,328.0","70,157.0","51,788.0","40,782.0","43,875.0","42,100.0","44,425.0","52,304.0",".....","....."
"37","18","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","272.0","301.0","324.0","266.0","391.0","378.0","372.0","423.0","342.0","691.0","986.0","1,261.0","1,125.0","1,269.0","1,744.0","1,888.0","1,798.0","1,962.0","2,354.0","2,821.0","3,092.0","2,523.0","2,718.0","3,137.0","3,316.0","3,772.0","4,081.0","4,469.0","4,706.0","4,528.0","4,775.0","5,636.0","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,583.0","35,059.0","36,566.0","38,105.0","39,474.0","48,012.0","56,984.0","67,129.0","76,088.0","76,469.0","73,090.0","76,930.0","77,966.0","92,947.0","101,971.0","107,556.0","102,762.0","121,516.0","145,624.0","169,701.0","157,887.0","165,751.0","205,027.0","239,442.0","256,841.0",".....","....."
