"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"44","25","  Private fixed investment in equipment and software","A327RC1","15,617.0","17,610.0","16,031.0","18,174.0","20,245.0","20,062.0","21,917.0","21,203.0","24,320.0","26,801.0","29,016.0","25,353.0","28,929.0","30,335.0","29,592.0","32,817.0","35,392.0","39,853.0","47,143.0","54,726.0","55,576.0","60,716.0","67,963.0","69,846.0","72,747.0","83,199.0","100,021.0","110,109.0","114,314.0","128,568.0","156,538.0","189,713.0","219,364.0","229,598.0","256,312.0","252,591.0","267,074.0","316,951.0","336,724.0","348,806.0","355,719.0","387,055.0","420,178.0","425,531.0","420,317.0","445,475.0","495,486.0","550,869.0","609,090.0","657,113.0","724,611.0","792,698.0","878,261.0","958,334.0","906,091.0","850,917.0","862,331.0","925,541.0","1,005,355.0","1,081,975.0","1,115,163.0","1,094,102.0","918,032.0"
"45","26","  Private fixed investment in new structures \6\","W040RC1","18,894.0","24,112.0","22,976.0","29,544.0","29,405.0","29,727.0","31,859.0","33,714.0","38,638.0","40,531.0","40,108.0","39,075.0","44,740.0","44,465.0","44,847.0","48,281.0","51,457.0","56,081.0","60,439.0","61,750.0","61,953.0","69,866.0","77,606.0","78,798.0","94,784.0","112,207.0","124,893.0","121,194.0","116,645.0","138,962.0","172,569.0","210,230.0","242,107.0","244,428.0","276,368.0","271,052.0","290,135.0","338,610.0","360,369.0","371,148.0","380,636.0","391,312.0","403,313.0","398,440.0","359,749.0","377,459.0","409,868.0","451,726.0","471,701.0","515,774.0","552,136.0","607,679.0","651,214.0","703,638.0","731,583.0","718,457.0","774,538.0","883,792.0","1,007,228.0","1,085,699.0","1,070,712.0","1,013,669.0","775,748.0"
"46","27","    Nonresidential structures","A771RC1","7,672.0","9,266.0","9,047.0","9,875.0","11,911.0","12,174.0","13,518.0","13,814.0","14,896.0","18,207.0","18,911.0","17,588.0","18,206.0","19,658.0","19,877.0","21,026.0","21,454.0","23,964.0","28,379.0","31,277.0","31,338.0","33,371.0","37,520.0","40,197.0","42,682.0","47,192.0","54,917.0","61,101.0","61,226.0","65,836.0","74,344.0","93,249.0","117,431.0","135,951.0","167,199.0","177,358.0","154,290.0","177,223.0","194,190.0","176,277.0","173,949.0","182,329.0","193,344.0","202,794.0","183,676.0","172,659.0","177,113.0","186,557.0","206,901.0","223,864.0","248,469.0","274,263.0","283,158.0","317,193.0","325,782.0","282,629.0","281,900.0","306,009.0","350,339.0","432,733.0","534,908.0","608,647.0","479,483.0"
"47","28","    Residential structures","A756RC1","11,222.0","14,846.0","13,929.0","19,669.0","17,494.0","17,553.0","18,341.0","19,900.0","23,742.0","22,324.0","21,197.0","21,487.0","26,534.0","24,807.0","24,970.0","27,255.0","30,003.0","32,117.0","32,060.0","30,473.0","30,615.0","36,495.0","40,086.0","38,601.0","52,102.0","65,015.0","69,976.0","60,093.0","55,419.0","73,126.0","98,225.0","116,981.0","124,676.0","108,477.0","109,169.0","93,694.0","135,845.0","161,387.0","166,179.0","194,871.0","206,687.0","208,983.0","209,969.0","195,646.0","176,073.0","204,800.0","232,755.0","265,169.0","264,800.0","291,910.0","303,667.0","333,416.0","368,056.0","386,445.0","405,801.0","435,828.0","492,638.0","577,783.0","656,889.0","652,966.0","535,804.0","405,022.0","296,265.0"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
