"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"26","8","  Fixed investment","A007BX1","15,527.0","11,983.0","14,716.0","20,145.0","37,159.0","44,697.0","49,223.0","44,998.0","53,742.0","51,479.0","50,510.0","54,039.0","54,881.0","62,028.0","62,266.0","61,593.0","57,177.0","65,158.0","65,717.0","65,515.0","71,434.0"
"27","9","    Nonresidential","A008BX1","11,138.0","9,310.0","12,364.0","17,371.0","25,618.0","29,809.0","31,370.0","28,490.0","31,108.0","32,549.0","31,918.0","34,788.0","34,042.0","37,815.0","39,972.0","40,581.0","36,122.0","39,000.0","41,216.0","40,960.0","44,538.0"
"28","10","      Structures","B009BX1","4,536.0","3,296.0","4,317.0","5,820.0","11,497.0","10,457.0","11,004.0","10,639.0","11,399.0","12,272.0","12,224.0","13,310.0","13,766.0","14,753.0","16,302.0","16,293.0","15,405.0","15,774.0","17,028.0","17,260.0","18,048.0"
"29","11","      Equipment and software","B010BX1","6,636.0","5,961.0","7,970.0","11,414.0","14,234.0","19,351.0","20,364.0","17,851.0","19,702.0","20,276.0","19,694.0","21,479.0","20,275.0","23,054.0","23,664.0","24,280.0","20,737.0","23,203.0","24,186.0","23,721.0","26,467.0"
"30","12","    Residential","A011BX1","4,593.0","2,729.0","2,350.0","2,763.0","11,594.0","14,942.0","17,879.0","16,527.0","22,614.0","18,930.0","18,592.0","19,250.0","20,846.0","24,223.0","22,251.0","20,890.0","21,109.0","26,472.0","24,588.0","24,657.0","27,021.0"
"31","13","  Change in private inventories","A014BX1","3,359.0","-1,180.0","-1,401.0","-2,630.0","8,306.0","-1,164.0","6,314.0","-3,331.0","6,297.0","8,737.0","3,514.0","2,191.0","-2,099.0","5,211.0","3,893.0","957.0","-243.0","4,549.0","3,865.0","3,468.0","7,150.0"
"32","14","Net exports of goods and services","A019BX1","-2,630.0","-6,065.0","-6,195.0","-4,576.0","7,314.0","10,380.0","4,320.0","4,589.0","512.0","3,145.0","1,164.0","-1,376.0","192.0","-6.0","1,489.0","2,490.0","-1,515.0","-1,716.0","1,713.0","2,005.0","631.0"
"33","15","  Exports","A020BX1","6,578.0","5,545.0","5,955.0","8,344.0","18,022.0","20,547.0","16,184.0","16,033.0","14,039.0","17,203.0","16,459.0","15,356.0","16,100.0","17,819.0","20,760.0","22,570.0","19,519.0","21,531.0","25,269.0","25,403.0","26,685.0"
"34","16","    Goods","A253BX1","5,237.0","4,093.0","4,393.0","6,592.0","15,232.0","17,517.0","13,561.0","13,477.0","11,645.0","14,180.0","13,449.0","12,539.0","13,250.0","14,644.0","17,172.0","18,531.0","15,721.0","15,611.0","19,271.0","19,368.0","20,230.0"
"35","17","    Services","A646BX1","1,332.0","1,407.0","1,514.0","1,700.0","2,761.0","3,002.0","2,621.0","2,552.0","2,389.0","3,019.0","3,010.0","2,817.0","2,854.0","3,179.0","3,596.0","4,043.0","3,788.0","5,864.0","5,959.0","5,996.0","6,408.0"
"36","18","  Imports","A021BX1","9,208.0","11,610.0","12,151.0","12,920.0","10,708.0","10,167.0","11,863.0","11,444.0","13,526.0","14,058.0","15,295.0","16,733.0","15,908.0","17,824.0","19,271.0","20,081.0","21,034.0","23,247.0","23,556.0","23,398.0","26,054.0"
"37","19","    Goods","A255BX1","6,078.0","7,030.0","7,293.0","7,268.0","8,397.0","8,061.0","9,236.0","8,875.0","10,839.0","10,625.0","10,838.0","11,466.0","10,589.0","11,822.0","12,878.0","13,250.0","13,623.0","15,988.0","15,727.0","15,704.0","18,029.0"
"38","20","    Services","B656BX1","2,787.0","3,939.0","4,168.0","4,773.0","2,281.0","2,098.0","2,588.0","2,526.0","2,686.0","3,417.0","4,457.0","5,266.0","5,322.0","6,008.0","6,396.0","6,838.0","7,424.0","7,278.0","7,846.0","7,712.0","8,072.0"
"39","21","Government consumption expenditures and gross investment","A822BX1","99,004.0","147,281.0","165,738.0","144,700.0","49,751.0","42,261.0","45,347.0","50,759.0","50,815.0","69,420.0","83,584.0","89,574.0","83,473.0","80,423.0","80,488.0","84,077.0","86,778.0","89,723.0","89,877.0","94,400.0","100,212.0"
"40","22","  Federal","A823BX1","79,386.0","125,568.0","143,317.0","123,100.0","33,091.0","24,449.0","26,386.0","28,958.0","27,371.0","45,447.0","59,146.0","63,928.0","55,549.0","50,523.0","49,642.0","51,411.0","51,389.0","53,000.0","51,558.0","53,720.0","58,297.0"
"41","23","    National defense","A824BX1","75,538.0","123,061.0","140,473.0","121,009.0","28,935.0","19,494.0","19,670.0","20,657.0","20,387.0","39,372.0","52,314.0","55,666.0","47,681.0","43,108.0","42,788.0","44,596.0","44,371.0","43,484.0","42,785.0","44,680.0","47,382.0"
"42","24","    Nondefense","A825BX1","4,343.0","3,419.0","3,879.0","2,985.0","4,292.0","5,021.0","6,877.0","8,530.0","7,167.0","6,093.0","6,832.0","8,250.0","7,855.0","7,406.0","6,830.0","6,774.0","6,987.0","9,504.0","8,752.0","9,016.0","10,887.0"
"43","25","  State and local","A829BX1","15,857.0","14,410.0","13,898.0","14,380.0","15,812.0","17,989.0","19,133.0","22,045.0","23,855.0","24,039.0","24,438.0","25,648.0","27,891.0","29,903.0","30,869.0","32,696.0","35,474.0","36,817.0","38,431.0","40,799.0","42,049.0"
"44","26","Residual","A960BX1","-100.0","4,300.0","4,700.0","5,400.0","400.0","-100.0","-1,200.0","200.0","-1,100.0","-500.0","300.0","300.0","1,000.0","-1,000.0","-600.0","400.0","1,300.0","-100.0","-200.0","500.0","-100.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Note. Chained (1952) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","quantity index and the 1952 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","by 100. Because the formula for the chain-type quantity indexes uses weights of more than",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","one period, the corresponding chained-dollar estimates are usually not additive. The residual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
