"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"31","13","  Publicly administered government employee retirement plans","B1452C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","97.0","151.0","235.0","279.0","328.0","458.0","821.0","842.0","842.0","1,256.0","1,671.0","1,913.0","1,782.0","2,159.0","2,795.0","3,194.0","3,699.0","4,346.0","4,959.0","5,704.0","7,121.0","8,815.0","10,383.0","11,519.0","12,808.0","13,355.0","13,956.0","15,111.0","17,978.0","20,621.0","21,483.0","22,244.0","21,503.0","19,575.0","16,627.0","16,500.0","20,910.0","25,146.0","28,265.0","30,467.0","31,061.0"
"32","14","  Other","B1453C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23,438.0","24,088.0","24,072.0","24,748.0","26,508.0","29,422.0","32,366.0","32,080.0","38,129.0","43,467.0","49,057.0","55,524.0","62,191.0","71,471.0","74,765.0","80,094.0","86,944.0","93,050.0","101,071.0","106,446.0","122,622.0","148,982.0","158,441.0","168,821.0","174,754.0","188,989.0","221,011.0","238,330.0","278,391.0","309,059.0","328,336.0","313,656.0","355,008.0","349,921.0","381,078.0","406,621.0","527,374.0","529,866.0","673,929.0","734,607.0","655,360.0"
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Net corporate dividend payments (16+17)","B056RC1","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","767,785.0","689,874.0"
"35","16","    Domestic corporate business (2-7)","A2223C1","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,329.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,356.0","159,993.0","182,348.0","197,557.0","221,632.0","257,331.0","283,995.0","309,184.0","295,700.0","348,456.0","330,056.0","351,177.0","392,766.0","488,017.0","296,459.0","626,877.0","641,614.0","543,263.0"
"36","17","    Rest of the world (5-10)","A2224C1","425.0","689.0","836.0","832.0","984.0","1,162.0","1,099.0","1,135.0","1,422.0","1,579.0","1,813.0","1,886.0","1,734.0","1,862.0","1,956.0","2,395.0","2,671.0","2,674.0","3,203.0","3,331.0","2,842.0","3,180.0","3,368.0","3,836.0","3,936.0","4,690.0","4,894.0","6,800.0","9,765.0","6,556.0","8,959.0","11,079.0","11,184.0","16,041.0","16,748.0","15,445.0","16,385.0","12,145.0","12,292.0","11,843.0","17,883.0","16,705.0","31,894.0","31,600.0","24,974.0","24,327.0","28,034.0","20,582.0","38,166.0","32,772.0","40,391.0","47,210.0","42,270.0","41,697.0","29,417.0","40,862.0","48,079.0","32,095.0","62,317.0","260,861.0","77,901.0","126,171.0","146,610.0"
"37","18","  Personal dividend income (15-11)","B703RC1","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,560.0","83,288.0","90,643.0","97,396.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,340.0","187,562.0","202,344.0","234,967.0","253,441.0","296,369.0","329,680.0","349,819.0","335,900.0","376,511.0","369,496.0","397,705.0","423,121.0","548,284.0","555,012.0","702,194.0","765,074.0","686,421.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Remitted earnings to foreign residents from their unincorporated U.S. affiliates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","treated as dividends paid by domestic corporate business (line 2) and as dividends received",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","by the rest of the world (line 10).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Earnings of U.S. residents remitted by their unincorporated foreign affiliates are treated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","as dividends paid by the rest of the world (line 5) and as dividends received by domestic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","corporate business (line 7).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Dividends received by insured private pension plans are included in dividends received by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","financial corporate business (line 8), and in imputed interest received by persons,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","table 7.11 (line 61).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
