"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"44","25","    Exports","AB69RX1","28,758.0","26,156.0","27,657.0","26,932.0","28,446.0","26,871.0","29,661.0","29,327.0","28,618.0","29,528.0","31,259.0","31,181.0","31,925.0","28,762.0","25,694.0","28,228.0","27,331.0","28,063.0","27,085.0","27,945.0","29,690.0","28,984.0","26,842.0","26,576.0","24,417.0","27,301.0","28,608.0","27,946.0","28,338.0","30,443.0","30,863.0","31,991.0","32,712.0","34,651.0","31,289.0","35,182.0","33,048.0","35,603.0","39,523.0","40,105.0","43,205.0","42,787.0","43,585.0","46,305.0","48,658.0","47,458.0","49,608.0","49,316.0","53,718.0","58,747.0","60,128.0","66,802.0","64,380.0","65,038.0","68,263.0","56,961.0","33,605.0","30,962.0","40,412.0","50,293.0","52,885.0"
"45","26","      Autos","B142RX1","14,150.0","12,800.0","13,033.0","13,333.0","14,108.0","12,707.0","14,218.0","13,726.0","13,055.0","13,673.0","13,601.0","13,246.0","13,857.0","12,550.0","11,968.0","13,373.0","12,606.0","12,955.0","12,057.0","12,629.0","13,298.0","13,230.0","12,414.0","12,346.0","11,780.0","13,647.0","15,121.0","14,497.0","14,358.0","15,836.0","15,880.0","15,581.0","16,624.0","16,189.0","15,036.0","16,590.0","15,297.0","16,441.0","16,616.0","18,032.0","20,104.0","19,650.0","19,957.0","21,950.0","23,312.0","22,714.0","24,144.0","24,875.0","27,267.0","29,839.0","32,041.0","36,257.0","36,522.0","37,414.0","39,444.0","32,875.0","17,545.0","16,555.0","21,282.0","26,375.0","27,340.0"
"46","27","      Trucks","B706RX1","14,548.0","13,307.0","14,611.0","13,533.0","14,267.0","14,149.0","15,409.0","15,600.0","15,591.0","15,868.0","17,737.0","18,033.0","18,146.0","16,275.0","13,737.0","14,853.0","14,746.0","15,130.0","15,071.0","15,351.0","16,436.0","15,785.0","14,448.0","14,246.0","12,633.0","13,630.0","13,428.0","13,403.0","13,947.0","14,559.0","14,940.0","16,391.0","16,049.0","18,458.0","16,239.0","18,583.0","17,747.0","19,157.0","22,924.0","22,080.0","23,103.0","23,137.0","23,626.0","24,353.0","25,345.0","24,744.0","25,464.0","24,443.0","26,452.0","28,908.0","28,098.0","30,564.0","27,892.0","27,667.0","28,869.0","24,127.0","16,048.0","14,405.0","19,120.0","23,903.0","25,520.0"
"47","28","    Imports","AB70RX1","89,476.0","87,100.0","80,073.0","78,416.0","82,616.0","86,900.0","89,688.0","84,928.0","94,802.0","95,149.0","96,086.0","92,068.0","97,212.0","98,467.0","96,059.0","109,797.0","117,630.0","120,444.0","125,354.0","127,099.0","134,776.0","132,942.0","134,929.0","133,038.0","131,864.0","131,329.0","132,312.0","128,961.0","132,721.0","136,885.0","140,365.0","142,011.0","135,220.0","141,303.0","132,460.0","141,792.0","141,629.0","147,469.0","146,112.0","143,065.0","141,281.0","143,173.0","145,436.0","154,355.0","160,183.0","159,041.0","155,085.0","162,579.0","154,860.0","148,493.0","159,548.0","157,165.0","150,372.0","147,636.0","135,511.0","114,255.0","69,778.0","69,551.0","101,435.0","118,569.0","110,965.0"
"48","29","      Autos","B143RX1","55,438.0","54,407.0","49,738.0","48,048.0","48,266.0","48,148.0","49,288.0","47,133.0","53,744.0","54,025.0","54,325.0","52,053.0","54,177.0","55,547.0","52,856.0","60,187.0","63,613.0","64,514.0","68,006.0","67,864.0","71,151.0","71,518.0","72,795.0","72,415.0","72,575.0","70,683.0","69,974.0","67,569.0","70,664.0","76,303.0","76,193.0","75,130.0","70,078.0","72,637.0","69,881.0","75,296.0","71,275.0","70,663.0","75,436.0","71,137.0","68,181.0","67,647.0","69,277.0","73,126.0","74,033.0","73,871.0","78,198.0","81,856.0","72,817.0","72,365.0","80,145.0","77,745.0","76,266.0","75,756.0","78,034.0","71,283.0","40,742.0","41,497.0","61,725.0","69,271.0","59,363.0"
"49","30","      Trucks","B707RX1","33,674.0","32,316.0","29,999.0","30,069.0","34,147.0","38,660.0","40,320.0","37,698.0","40,898.0","40,959.0","41,606.0","39,867.0","42,919.0","42,773.0","43,111.0","49,513.0","53,947.0","55,882.0","57,267.0","59,183.0","63,589.0","61,355.0","62,059.0","60,539.0","59,196.0","60,580.0","62,291.0","61,360.0","62,006.0","60,475.0","64,091.0","66,827.0","65,111.0","68,638.0","62,533.0","66,442.0","70,337.0","76,811.0","70,651.0","71,920.0","73,101.0","75,528.0","76,159.0","81,226.0","86,137.0","85,157.0","76,906.0","80,742.0","82,023.0","76,133.0","79,428.0","79,441.0","74,127.0","71,901.0","57,531.0","43,105.0","29,048.0","28,083.0","39,765.0","49,332.0","51,544.0"
"50","31","Change in private inventories","AB65RX1","18,048.0","13,502.0","-6,228.0","3,384.0","-23,306.0","14,361.0","11,261.0","-11,994.0","-4,187.0","6,338.0","6,094.0","10,061.0","19,630.0","-9,182.0","-8,156.0","-479.0","20,196.0","-1,851.0","4,138.0","25,552.0","5,389.0","25,112.0","9,791.0","2,806.0","-26,271.0","5,032.0","4,587.0","-38,075.0","11,242.0","16,022.0","1,387.0","23,317.0","9,613.0","14,074.0","-7,155.0","15,358.0","16,257.0","9,408.0","4,420.0","-12,024.0","-5,235.0","-15,176.0","-10,902.0","16,788.0","3,667.0","275.0","-7,635.0","-11,117.0","-13,210.0","-10,166.0","7,312.0","-15,343.0","-17,329.0","-16,332.0","-1,791.0","-661.0","-63,579.0","-48,090.0","-4,567.0","20,969.0","22,820.0"
"51","32","  Autos","A145RX1","13,755.0","7,447.0","-8,665.0","936.0","-17,056.0","6,968.0","5,328.0","-7,815.0","-4,364.0","5,738.0","4,707.0","494.0","7,982.0","-2,676.0","4,910.0","2,222.0","6,913.0","-4,278.0","-4,119.0","10,703.0","17.0","8,320.0","8,948.0","-1,675.0","-7,724.0","1,385.0","1,668.0","-10,722.0","15,237.0","7,042.0","-4,522.0","10,996.0","-8,458.0","5,217.0","-5,186.0","3,420.0","-358.0","2,708.0","1,080.0","-6,958.0","994.0","-6,419.0","-8,626.0","5,219.0","2,582.0","568.0","-3,762.0","4,416.0","-959.0","-7,021.0","1,287.0","-11,744.0","-3,470.0","-7,100.0","14,624.0","13,675.0","-27,354.0","-13,753.0","-10,971.0","8,758.0","12,390.0"
"52","33","    New","B146RX1","13,910.0","5,508.0","-8,407.0","-1,032.0","-20,564.0","5,157.0","4,040.0","-9,961.0","-3,062.0","4,577.0","1,022.0","-587.0","5,116.0","-10,795.0","10,157.0","5,347.0","4,512.0","-1,846.0","-2,704.0","4,606.0","-1,354.0","2,338.0","2,308.0","1,430.0","-11,039.0","-3,803.0","1,703.0","-12,748.0","14,720.0","8,878.0","-2,051.0","9,445.0","-9,057.0","7,129.0","-5,707.0","2,309.0","-240.0","292.0","137.0","-5,726.0","2,593.0","-4,938.0","-7,249.0","4,926.0","4,457.0","3,876.0","-2,671.0","4,588.0","-1,658.0","-5,015.0","1,231.0","-8,568.0","-1,540.0","-4,159.0","14,343.0","15,035.0","-23,293.0","-13,941.0","-13,720.0","998.0","1,218.0"
"53","34","      Domestic","AB71RX1","15,220.0","2,114.0","-3,749.0","-1,346.0","-13,645.0","4,171.0","4,279.0","-9,375.0","-3,591.0","4,078.0","1,561.0","-818.0","3,483.0","-11,445.0","11,147.0","2,645.0","4,111.0","-3,128.0","-2,789.0","1,491.0","-2,232.0","2,367.0","1,855.0","648.0","-12,521.0","-3,270.0","-220.0","-11,977.0","13,831.0","7,970.0","194.0","3,970.0","-5,561.0","3,995.0","-3,340.0","521.0","357.0","658.0","-1,663.0","-906.0","492.0","-4,746.0","-5,096.0","6,501.0","2,343.0","2,253.0","-1,351.0","2,231.0","-420.0","-2,484.0","-1,081.0","-6,643.0","-5,091.0","-4,402.0","11,394.0","14,031.0","-17,679.0","-11,635.0","-8,830.0","1,254.0","1,992.0"
"54","35","      Foreign","AB72RX1","-1,997.0","3,659.0","-4,987.0","382.0","-7,177.0","954.0","-408.0","-335.0","692.0","417.0","-627.0","262.0","1,653.0","952.0","-1,310.0","2,796.0","346.0","1,395.0","150.0","3,263.0","978.0","-82.0","437.0","809.0","1,791.0","-500.0","1,987.0","-679.0","819.0","885.0","-2,269.0","5,531.0","-3,511.0","3,155.0","-2,380.0","1,797.0","-600.0","-369.0","1,783.0","-4,795.0","2,102.0","-190.0","-2,151.0","-1,578.0","2,119.0","1,626.0","-1,326.0","2,362.0","-1,231.0","-2,516.0","2,290.0","-1,933.0","3,486.0","268.0","2,974.0","1,011.0","-5,588.0","-2,250.0","-4,911.0","-265.0","-786.0"
"55","36","    Used","B147RX1","405.0","2,043.0","-584.0","1,803.0","2,420.0","1,911.0","1,375.0","1,654.0","-1,351.0","1,242.0","3,556.0","1,016.0","2,876.0","7,488.0","-4,736.0","-2,852.0","2,432.0","-2,376.0","-1,429.0","5,954.0","1,265.0","5,754.0","6,397.0","-2,910.0","2,699.0","4,678.0","102.0","1,362.0","1,089.0","-1,411.0","-2,413.0","1,771.0","344.0","-1,656.0","477.0","1,119.0","-120.0","2,484.0","959.0","-1,219.0","-1,610.0","-1,474.0","-1,382.0","302.0","-1,889.0","-3,314.0","-1,110.0","-226.0","726.0","-1,984.0","39.0","-3,144.0","-1,869.0","-2,879.0","-117.0","-2,075.0","-3,091.0","1,172.0","3,777.0","8,204.0","11,526.0"
"56","37","  Trucks","B709RX1","2,572.0","5,818.0","4,329.0","2,721.0","-4,578.0","7,403.0","5,981.0","-3,626.0","767.0","20.0","1,035.0","10,453.0","11,951.0","-6,847.0","-14,642.0","-3,105.0","13,725.0","2,942.0","9,187.0","15,099.0","5,747.0","17,346.0","273.0","4,843.0","-19,145.0","3,753.0","2,965.0","-27,994.0","-4,568.0","9,102.0","6,167.0","12,413.0","18,178.0","8,834.0","-2,010.0","11,859.0","16,494.0","6,682.0","3,336.0","-5,072.0","-6,214.0","-8,768.0","-2,282.0","11,571.0","1,085.0","-290.0","-3,858.0","-15,662.0","-12,295.0","-3,129.0","6,042.0","-3,507.0","-13,896.0","-9,192.0","-16,710.0","-14,477.0","-36,208.0","-34,336.0","6,483.0","12,221.0","10,403.0"
"57","38","    New","W244RX1","2,718.0","6,682.0","4,859.0","2,630.0","-7,426.0","5,915.0","4,338.0","-6,111.0","4,983.0","2,589.0","2,014.0","7,205.0","8,054.0","-15,513.0","-10,260.0","5,736.0","12,274.0","7,896.0","9,810.0","10,089.0","4,540.0","13,676.0","-4,221.0","7,176.0","-22,970.0","-274.0","3,271.0","-30,592.0","-5,835.0","10,848.0","8,701.0","11,062.0","19,866.0","12,179.0","-3,486.0","7,556.0","16,143.0","5,619.0","938.0","-3,327.0","-1,778.0","-8,574.0","-2,887.0","13,396.0","-137.0","3,143.0","-770.0","-13,037.0","-12,161.0","-1,442.0","4,868.0","-3,061.0","-12,636.0","-8,870.0","-17,972.0","-12,500.0","-28,590.0","-34,240.0","693.0","6,343.0","6,749.0"
"58","39","      Domestic","AB73RX1","1,784.0","6,163.0","6,059.0","5,059.0","-7,750.0","5,875.0","5,185.0","-7,440.0","3,336.0","2,494.0","2,927.0","5,416.0","7,760.0","-17,053.0","-8,158.0","5,756.0","11,055.0","8,631.0","11,278.0","7,534.0","4,845.0","11,693.0","-2,543.0","3,157.0","-21,445.0","751.0","3,424.0","-31,436.0","-5,870.0","10,820.0","7,123.0","6,531.0","18,580.0","11,098.0","-1,419.0","7,675.0","14,466.0","3,904.0","1,174.0","58.0","-2,097.0","-9,194.0","-2,429.0","11,302.0","-929.0","2,787.0","-1,237.0","-14,570.0","-10,247.0","-526.0","5,475.0","-3,388.0","-13,295.0","-12,247.0","-21,245.0","-9,627.0","-21,402.0","-29,812.0","1,894.0","3,702.0","6,504.0"
"59","40","      Foreign","AB74RX1","724.0","499.0","-787.0","-1,750.0","108.0","135.0","-513.0","828.0","1,282.0","117.0","-657.0","1,494.0","346.0","985.0","-1,809.0","67.0","1,138.0","-486.0","-1,039.0","2,218.0","-202.0","1,845.0","-1,462.0","3,501.0","-1,575.0","-837.0","-76.0","315.0","-52.0","92.0","1,489.0","4,324.0","1,304.0","1,094.0","-2,064.0","-112.0","1,673.0","1,714.0","-244.0","-3,389.0","322.0","626.0","-459.0","2,087.0","789.0","356.0","461.0","1,481.0","-1,887.0","-888.0","-566.0","307.0","580.0","3,175.0","3,063.0","-2,791.0","-7,033.0","-4,364.0","-1,174.0","2,588.0","240.0"
"60","41","    Used \1\","W245RX1","148.0","19.0","59.0","287.0","1,407.0","1,579.0","1,561.0","1,337.0","-2,809.0","-1,838.0","-684.0","3,025.0","3,669.0","6,118.0","-4,141.0","-6,891.0","1,878.0","-3,671.0","47.0","4,696.0","1,246.0","3,790.0","3,472.0","-1,519.0","1,861.0","3,345.0","-130.0","841.0","925.0","-1,180.0","-2,032.0","1,535.0","-1,435.0","-3,157.0","1,239.0","4,184.0","193.0","1,059.0","2,478.0","-1,743.0","-4,484.0","-181.0","601.0","-1,787.0","1,194.0","-3,391.0","-3,064.0","-2,641.0","-119.0","-1,709.0","1,177.0","-447.0","-1,258.0","-302.0","1,441.0","-1,912.0","-7,703.0","851.0","6,304.0","6,147.0","3,797.0"
"61","42","Residual","A974RX1","-2,200.0","-4,400.0","-5,300.0","-4,400.0","-400.0","-4,000.0","-4,000.0","-700.0","-3,300.0","-2,900.0","-3,000.0","-4,400.0","-5,000.0","700.0","-1,700.0","-5,200.0","-4,400.0","-4,200.0","-4,400.0","-3,400.0","-2,500.0","-2,900.0","800.0","-1,500.0","3,200.0","1,200.0","0.0","5,600.0","2,300.0","-400.0","-400.0","-200.0","200.0","200.0","500.0","400.0","400.0","0.0","-200.0","-100.0","-200.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","-500.0","-700.0","-1,000.0","-1,100.0","-400.0","0.0","1,400.0","1,200.0","-3,100.0","-2,900.0","-2,500.0","-2,000.0","-2,100.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","43","  Final sales of motor vehicles to domestic purchasers","AB75RX1","326,647.0","323,343.0","330,726.0","338,295.0","338,251.0","342,738.0","346,804.0","352,041.0","366,152.0","354,260.0","373,884.0","381,697.0","370,308.0","401,167.0","401,600.0","447,952.0","427,026.0","452,062.0","463,296.0","451,551.0","482,061.0","447,347.0","447,573.0","441,182.0","456,162.0","446,495.0","441,452.0","497,997.0","468,041.0","470,963.0","502,122.0","467,614.0","463,923.0","483,169.0","500,089.0","486,916.0","491,095.0","495,093.0","513,143.0","524,643.0","514,339.0","533,060.0","552,972.0","498,268.0","528,885.0","524,078.0","529,928.0","530,307.0","519,166.0","510,565.0","506,654.0","509,003.0","482,913.0","438,695.0","402,133.0","337,369.0","315,723.0","309,260.0","341,374.0","339,694.0","345,230.0"
"64","44","  Private fixed investment in new autos and new light trucks","AB76RX1","107,448.0","104,145.0","109,922.0","111,330.0","115,833.0","122,468.0","129,450.0","130,236.0","135,443.0","133,397.0","138,111.0","141,356.0","139,483.0","152,079.0","137,362.0","158,648.0","158,772.0","160,576.0","171,376.0","169,265.0","176,446.0","165,921.0","164,996.0","154,855.0","163,384.0","159,960.0","152,467.0","150,096.0","148,773.0","156,936.0","162,217.0","151,870.0","144,999.0","143,502.0","154,180.0","153,651.0","149,513.0","156,844.0","168,931.0","173,796.0","164,703.0","171,974.0","187,378.0","182,144.0","198,381.0","186,185.0","185,803.0","190,680.0","190,984.0","189,060.0","194,347.0","191,586.0","182,752.0","164,336.0","150,953.0","114,691.0","89,598.0","100,211.0","106,198.0","122,371.0","130,056.0"
"65","45","  Domestic output of new autos \2\","B148RX1","120,589.0","107,978.0","105,358.0","108,179.0","98,687.0","115,831.0","114,764.0","100,803.0","105,177.0","106,535.0","108,498.0","106,887.0","104,552.0","99,281.0","109,719.0","115,085.0","110,692.0","110,180.0","111,821.0","113,497.0","118,782.0","116,364.0","113,179.0","106,072.0","103,570.0","107,085.0","105,068.0","106,536.0","112,319.0","112,473.0","110,586.0","103,556.0","95,643.0","98,051.0","96,058.0","98,471.0","95,394.0","94,997.0","96,662.0","101,388.0","106,667.0","104,634.0","107,776.0","112,081.0","114,500.0","107,911.0","105,728.0","104,967.0","104,343.0","102,275.0","103,480.0","109,025.0","108,090.0","98,394.0","106,788.0","86,468.0","41,644.0","48,200.0","67,357.0","76,189.0","78,282.0"
"66","46","  Sales of imported new autos \3\","B149RX1","53,418.0","53,386.0","53,864.0","56,502.0","52,849.0","52,076.0","53,241.0","53,086.0","56,965.0","53,879.0","58,872.0","60,000.0","61,032.0","66,116.0","61,912.0","69,208.0","69,713.0","73,864.0","75,258.0","81,168.0","83,100.0","79,599.0","78,542.0","78,589.0","77,217.0","78,308.0","75,689.0","81,917.0","82,855.0","84,138.0","86,774.0","83,994.0","84,951.0","82,682.0","83,120.0","79,891.0","83,507.0","86,587.0","82,664.0","88,057.0","83,093.0","84,617.0","88,862.0","88,855.0","93,718.0","93,631.0","96,235.0","97,708.0","99,220.0","100,291.0","98,416.0","98,573.0","93,990.0","102,119.0","87,516.0","71,499.0","67,361.0","67,526.0","82,408.0","75,316.0","78,088.0"
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Note. Chained (2005) dollar series are calculated as the product of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","series, divided by 100. Because the formula for the chain-type quantity indexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","line and the sum of the most detailed lines, excluding the lines in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
