"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"35","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","10,424.0","7,221.0","2,838.0","-236.0","-270.0","2,322.0","3,699.0","5,940.0","6,582.0","4,500.0","6,076.0","9,382.0","14,886.0","20,056.0","24,372.0","24,360.0","19,850.0","17,249.0","22,501.0","29,614.0","27,585.0","34,366.0","39,057.0","36,951.0","37,319.0","36,372.0","46,645.0","45,164.0","44,547.0","39,935.0","51,108.0","49,959.0","50,871.0","58,573.0","64,254.0","71,055.0","81,823.0","88,018.0","85,400.0","91,615.0","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0","614,464.0","714,306.0","812,032.0","1,041,903.0","1,216,644.0","1,351,471.0","1,193,945.0","983,188.0","997,109.0"
"36","18","      Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","451,542.0","292,180.0","314,809.0"
"37","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","9,055.0","6,379.0","2,340.0","-621.0","-791.0","1,578.0","2,748.0","4,531.0","5,080.0","3,471.0","4,635.0","6,548.0","7,276.0","8,641.0","10,298.0","11,411.0","9,161.0","8,145.0","11,233.0","17,193.0","17,382.0","16,441.0","16,498.0","17,552.0","17,032.0","18,748.0","24,604.0","23,171.0","23,124.0","20,971.0","27,381.0","27,177.0","27,981.0","34,478.0","37,883.0","42,900.0","50,758.0","54,137.0","52,501.0","51,987.0","47,899.0","40,649.0","50,054.0","59,551.0","59,634.0","44,873.0","67,033.0","79,768.0","98,288.0","110,700.0","100,726.0","78,762.0","109,250.0","106,634.0","144,124.0","184,510.0","195,034.0","164,977.0","189,389.0","228,004.0","212,365.0","212,937.0","242,215.0","274,448.0","295,739.0","357,118.0","405,401.0","468,062.0","531,855.0","461,293.0","475,973.0","408,506.0","411,168.0","521,970.0","568,265.0","735,810.0","804,260.0","878,204.0","742,403.0","691,008.0","682,300.0"
"38","20","        Net dividends","A449RC1","5,569.0","5,331.0","4,070.0","2,578.0","2,040.0","2,507.0","2,685.0","4,419.0","4,538.0","2,918.0","3,582.0","3,782.0","4,200.0","4,029.0","4,208.0","4,324.0","4,372.0","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,329.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,356.0","159,993.0","182,348.0","197,557.0","221,632.0","257,331.0","283,995.0","309,184.0","295,700.0","348,456.0","330,056.0","351,177.0","392,766.0","488,017.0","296,458.0","626,877.0","641,615.0","543,263.0","458,852.0"
"39","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","542.0","553.0","1,053.0","2,766.0","3,076.0","4,612.0","6,090.0","7,087.0","4,789.0","2,996.0","5,601.0","10,993.0","10,976.0","8,587.0","9,090.0","10,091.0","9,281.0","10,888.0","15,705.0","13,704.0","13,268.0","11,139.0","16,673.0","15,767.0","16,475.0","22,122.0","24,321.0","27,909.0","33,884.0","36,309.0","34,171.0","31,820.0","27,496.0","20,278.0","29,717.0","37,609.0","36,527.0","21,419.0","40,629.0","49,713.0","64,598.0","71,091.0","59,247.0","31,440.0","50,939.0","45,305.0","72,805.0","105,995.0","109,325.0","76,680.0","93,782.0","129,979.0","85,991.0","68,849.0","85,859.0","114,455.0","113,391.0","159,561.0","183,769.0","210,731.0","247,860.0","152,109.0","180,273.0","60,050.0","81,112.0","170,793.0","175,499.0","247,793.0","507,802.0","251,327.0","100,788.0","147,745.0","223,448.0"
"40","22","  Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-6,552.0","-6,944.0","-8,074.0"
"41","23","Consumption of fixed capital","A262RC1","9,667.0","9,451.0","8,795.0","7,686.0","7,405.0","7,774.0","7,812.0","8,086.0","8,976.0","9,233.0","9,260.0","9,680.0","11,050.0","13,681.0","16,499.0","19,544.0","21,109.0","23,096.0","26,649.0","28,465.0","29,180.0","29,942.0","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,760,018.0","1,847,086.0","1,863,992.0"
"42","24","  Private","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,469,573.0","1,536,165.0","1,538,754.0"
"43","25","  Government","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","290,445.0","310,921.0","325,238.0"
"44",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","26","  Statistical discrepancy","A030RC1","765.0","-414.0","771.0","301.0","544.0","399.0","-211.0","1,200.0","-30.0","685.0","1,300.0","1,089.0","339.0","-875.0","-1,797.0","2,579.0","3,869.0","1,169.0","2,268.0","-493.0","1,820.0","1,374.0","3,576.0","2,747.0","3,966.0","3,114.0","2,380.0","-1,767.0","-74.0","956.0","479.0","-952.0","-589.0","318.0","-824.0","774.0","1,499.0","6,173.0","4,506.0","4,315.0","2,871.0","6,877.0","11,014.0","8,946.0","8,019.0","9,814.0","16,306.0","23,470.0","21,213.0","26,055.0","46,973.0","45,292.0","36,581.0","4,750.0","49,695.0","31,539.0","42,301.0","67,744.0","32,873.0","-9,533.0","56,105.0","84,200.0","79,737.0","109,992.0","135,795.0","108,809.0","52,522.0","25,920.0","-13,974.0","-85,321.0","-71,067.0","-133,986.0","-103,354.0","-22,072.0","16,611.0","-7,849.0","-79,660.0","-220,572.0","-14,828.0","101,036.0","217,273.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
