"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"23","4","       Residual","A958RX1","-19,700.0","-25,700.0","-31,900.0","-16,900.0","-9,800.0","500.0","3,800.0","-3,600.0","-15,800.0","-31,100.0","-23,200.0","-33,900.0","-14,800.0","-11,600.0","-8,800.0","18,800.0","2,400.0","14,900.0","2,200.0","-10,900.0","-9,700.0","-25,000.0","-7,800.0","-8,000.0","-11,300.0","-11,900.0","-15,400.0","-24,900.0","-23,000.0","-26,000.0","-25,200.0","-22,700.0","-14,100.0","-11,100.0","-12,600.0","-9,600.0","-12,300.0","-15,000.0","-16,600.0","-17,900.0","-20,900.0","-19,500.0","-17,000.0","-25,700.0","-26,400.0","-25,700.0","-18,300.0","-16,300.0","-14,800.0","-9,200.0","-22,800.0","-15,000.0","-6,100.0","-18,600.0","-14,500.0","-31,000.0","-26,400.0","-19,800.0","-12,300.0","-15,000.0","-9,200.0","-15,500.0","-14,300.0","-18,600.0","-11,800.0","-16,500.0","-16,500.0","-19,700.0","-19,000.0","-19,600.0","-18,800.0","-17,300.0","-10,600.0","-14,300.0","-12,400.0","-16,300.0","-7,000.0","-9,700.0","-11,100.0","-5,900.0","-6,300.0","-18,600.0","-14,900.0","-18,900.0","-17,200.0","-10,500.0","-18,000.0","-21,300.0","-14,700.0","-17,300.0","-16,100.0","-20,100.0","-24,300.0","-21,100.0","-20,900.0","-28,100.0","-16,700.0","-16,500.0","-18,500.0","-24,900.0","-21,300.0","-16,500.0","-14,700.0","-21,800.0","-12,700.0","-10,000.0","-12,600.0","-5,100.0","-12,200.0","-15,600.0","-24,900.0","-600.0","-41,700.0","-40,600.0","-27,100.0","-26,800.0","-14,900.0","-9,100.0","-12,200.0","-16,700.0","-14,900.0","-11,100.0","-2,200.0","-13,200.0","-7,600.0","-7,300.0","-5,700.0","-10,200.0","-6,600.0","-5,900.0","-20,100.0","-24,000.0","-19,600.0","-22,800.0","-49,000.0","-30,000.0","-5,700.0","-24,300.0","-2,500.0","-12,700.0","-38,300.0","-25,800.0","-21,900.0","-44,800.0","-40,000.0","-32,800.0","-27,400.0","-16,200.0","5,000.0","5,400.0","5,600.0","-3,100.0","-15,200.0","-17,400.0","-17,200.0","-10,800.0","-11,900.0","-18,400.0","-22,900.0","-29,400.0","-16,400.0","-19,000.0","-21,900.0","-7,100.0","-18,800.0","-17,900.0","-12,600.0","-14,100.0","-7,000.0","-10,500.0","-16,600.0","-14,700.0","-16,700.0","-10,200.0","-14,000.0","-20,300.0","-20,600.0","-20,600.0","-18,500.0","-13,100.0","-18,600.0","-11,600.0","-14,200.0","-15,900.0","-11,400.0","-14,500.0","-15,700.0","-14,600.0","-11,600.0","-5,400.0","-8,900.0","-5,300.0","-7,000.0","-12,400.0","-14,300.0","-12,300.0","-15,400.0","-11,800.0","-6,100.0","-5,700.0","-9,600.0","-3,600.0","-5,200.0","-4,000.0","-2,100.0","-6,000.0","-6,100.0","-6,400.0","-5,500.0","-5,300.0","-4,400.0","-2,300.0","-3,300.0","-500.0","-1,600.0","-1,700.0","-3,100.0","-3,200.0","-2,900.0","-2,000.0","-3,400.0","-3,500.0","-3,100.0","-3,200.0","-2,200.0","-1,600.0","-900.0","-800.0","-1,000.0","-1,200.0","-300.0","-500.0","-500.0","0.0","200.0","500.0","-1,200.0","-1,000.0","100.0","1,100.0","-1,000.0","1,100.0","1,000.0","-200.0","2,800.0","-1,100.0","0.0","-14,200.0","-16,500.0","-16,100.0","-15,000.0","-12,700.0"
"24","5","Goods","A353RX1","419,502.0","414,725.0","407,369.0","416,132.0","428,127.0","430,891.0","433,129.0","431,990.0","418,469.0","410,682.0","417,855.0","407,511.0","431,040.0","442,853.0","474,694.0","482,110.0","479,445.0","483,053.0","488,817.0","488,179.0","484,706.0","472,439.0","476,413.0","501,494.0","509,775.0","512,352.0","508,865.0","490,326.0","487,251.0","488,467.0","492,114.0","508,237.0","530,171.0","552,159.0","560,134.0","564,485.0","558,519.0","557,899.0","559,999.0","565,748.0","569,709.0","565,754.0","574,764.0","549,339.0","525,912.0","523,997.0","545,587.0","559,750.0","574,642.0","591,481.0","584,705.0","588,933.0","617,934.0","606,215.0","609,011.0","579,658.0","583,970.0","600,556.0","617,904.0","630,332.0","646,747.0","645,699.0","654,132.0","650,780.0","665,467.0","668,301.0","681,568.0","685,074.0","703,681.0","713,622.0","732,252.0","731,547.0","763,710.0","764,933.0","784,634.0","809,717.0","845,084.0","840,010.0","847,871.0","861,286.0","856,461.0","847,537.0","850,947.0","848,733.0","868,736.0","889,019.0","892,750.0","889,246.0","919,409.0","911,575.0","919,405.0","911,114.0","907,299.0","917,066.0","921,590.0","884,947.0","936,153.0","932,483.0","941,432.0","928,624.0","947,888.0","997,096.0","1,012,868.0","1,036,245.0","1,084,996.0","1,113,238.0","1,096,351.0","1,124,326.0","1,105,185.0","1,106,318.0","1,085,526.0","1,079,480.0","1,037,959.0","1,046,860.0","1,084,801.0","1,097,478.0","1,135,243.0","1,153,467.0","1,161,162.0","1,152,166.0","1,166,000.0","1,194,247.0","1,235,412.0","1,227,411.0","1,218,661.0","1,293,998.0","1,302,371.0","1,332,277.0","1,337,222.0","1,329,554.0","1,349,176.0","1,343,962.0","1,356,266.0","1,320,409.0","1,301,016.0","1,335,464.0","1,404,171.0","1,363,656.0","1,418,194.0","1,366,741.0","1,314,870.0","1,341,879.0","1,321,011.0","1,289,359.0","1,297,755.0","1,355,653.0","1,382,238.0","1,459,318.0","1,510,776.0","1,542,233.0","1,557,006.0","1,566,137.0","1,559,516.0","1,566,499.0","1,596,099.0","1,601,760.0","1,617,455.0","1,613,544.0","1,636,030.0","1,641,511.0","1,645,635.0","1,676,226.0","1,699,279.0","1,749,730.0","1,760,694.0","1,797,103.0","1,800,116.0","1,834,161.0","1,875,369.0","1,903,024.0","1,918,589.0","1,903,722.0","1,930,982.0","1,932,737.0","1,927,768.0","1,888,739.0","1,869,716.0","1,878,468.0","1,899,478.0","1,902,840.0","1,913,704.0","1,954,770.0","1,981,990.0","2,008,293.0","2,014,925.0","2,036,732.0","2,029,563.0","2,079,997.0","2,129,244.0","2,174,851.0","2,181,698.0","2,249,440.0","2,254,550.0","2,241,525.0","2,258,952.0","2,300,973.0","2,308,817.0","2,371,356.0","2,425,152.0","2,445,519.0","2,482,444.0","2,558,467.0","2,614,262.0","2,640,341.0","2,687,978.0","2,666,408.0","2,721,842.0","2,815,752.0","2,849,332.0","2,875,016.0","2,923,596.0","3,008,051.0","2,981,874.0","3,088,006.0","3,073,015.0","3,082,123.0","3,011,743.0","3,022,336.0","2,983,934.0","3,009,495.0","3,040,396.0","3,055,898.0","3,086,336.0","3,054,257.0","3,087,167.0","3,093,272.0","3,210,770.0","3,264,936.0","3,279,058.0","3,299,361.0","3,339,963.0","3,386,561.0","3,441,687.0","3,443,981.0","3,480,965.0","3,524,839.0","3,624,545.0","3,640,555.0","3,640,948.0","3,704,926.0","3,697,440.0","3,753,295.0","3,818,929.0","3,889,112.0","3,871,388.0","3,885,569.0","3,815,479.0","3,648,050.0","3,566,375.0","3,537,259.0","3,592,093.0","3,787,626.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,202,085.0","2,214,887.0","2,256,632.0","2,290,684.0","2,311,357.0","2,352,603.0","2,374,227.0","2,417,412.0","2,449,066.0","2,471,643.0","2,551,530.0","2,567,096.0","2,588,272.0","2,630,563.0","2,671,622.0","2,761,687.0","2,774,639.0","2,840,739.0","2,885,672.0","2,921,983.0","2,965,595.0","2,998,319.0","3,016,908.0","3,030,201.0","3,042,508.0","3,031,857.0","3,010,954.0","3,089,032.0","3,053,819.0","3,043,793.0","3,068,073.0","3,024,026.0","3,057,083.0","3,095,229.0","3,205,821.0","3,226,449.0","3,227,381.0","3,222,654.0","3,277,757.0","3,315,890.0","3,351,568.0","3,428,499.0","3,468,936.0","3,442,660.0","3,559,546.0","3,568,525.0","3,572,994.0","3,672,938.0","3,685,798.0","3,730,333.0","3,789,181.0","3,881,283.0","3,870,618.0","3,929,980.0","3,850,504.0","3,706,727.0","3,710,185.0","3,730,334.0","3,761,536.0","3,826,089.0"
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","14,463.0","23,297.0","29,797.0","10,321.0","619.0","-37,091.0","-29,706.0","-37,380.0","-113,893.0","-160,215.0","-139,169.0","-19,673.0"
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,034,399.0","1,028,693.0","1,050,986.0","1,082,045.0","1,079,462.0","1,116,620.0","1,150,380.0","1,154,066.0","1,195,201.0","1,241,143.0","1,285,711.0","1,306,586.0","1,347,382.0","1,337,015.0","1,380,037.0","1,444,595.0","1,465,543.0","1,477,040.0","1,533,205.0","1,571,939.0","1,593,255.0","1,643,175.0","1,629,285.0","1,634,812.0","1,590,133.0","1,587,530.0","1,551,549.0","1,570,569.0","1,600,040.0","1,610,993.0","1,637,614.0","1,609,510.0","1,606,696.0","1,632,776.0","1,695,191.0","1,747,321.0","1,747,173.0","1,762,027.0","1,793,905.0","1,810,643.0","1,859,091.0","1,864,871.0","1,909,170.0","1,931,296.0","1,964,207.0","1,986,884.0","2,005,301.0","2,001,388.0","2,019,477.0","2,052,762.0","2,107,051.0","2,169,339.0","2,156,353.0","2,132,521.0","2,157,657.0","2,017,123.0","1,844,410.0","1,829,444.0","1,889,358.0","1,981,036.0"
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","996,354.0","1,003,482.0","1,033,479.0","1,058,531.0","1,072,875.0","1,102,905.0","1,119,663.0","1,147,979.0","1,173,052.0","1,195,913.0","1,256,542.0","1,265,464.0","1,284,585.0","1,316,211.0","1,351,256.0","1,413,857.0","1,416,805.0","1,465,926.0","1,508,338.0","1,514,724.0","1,576,264.0","1,587,084.0","1,597,504.0","1,601,304.0","1,629,983.0","1,607,755.0","1,580,669.0","1,640,215.0","1,594,590.0","1,593,350.0","1,623,660.0","1,575,131.0","1,578,560.0","1,629,795.0","1,703,978.0","1,712,758.0","1,711,727.0","1,714,456.0","1,756,731.0","1,778,674.0","1,797,817.0","1,856,280.0","1,896,969.0","1,872,483.0","1,943,792.0","1,953,837.0","1,962,381.0","1,997,632.0","2,009,672.0","2,063,265.0","2,097,139.0","2,152,878.0","2,141,225.0","2,156,818.0","2,121,209.0","2,007,489.0","1,973,872.0","1,965,857.0","1,993,517.0","2,004,659.0"
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","45,212.0","30,886.0","21,575.0","27,971.0","9,422.0","17,989.0","36,243.0","8,079.0","27,579.0","53,268.0","33,295.0","46,806.0","72,264.0","22,970.0","32,494.0","34,753.0","55,689.0","11,323.0","26,991.0","63,938.0","17,910.0","62,074.0","34,405.0","36,214.0","-46,750.0","-24,557.0","-34,372.0","-80,026.0","4,445.0","17,992.0","13,738.0","36,327.0","29,341.0","1,567.0","-11,584.0","34,734.0","35,451.0","48,077.0","37,084.0","31,896.0","61,563.0","8,577.0","12,154.0","58,586.0","20,601.0","32,865.0","42,376.0","5,156.0","11,092.0","-8,207.0","10,677.0","16,703.0","15,161.0","-19,619.0","32,794.0","9,246.0","-115,270.0","-121,784.0","-93,076.0","-21,789.0"
"30","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,260,971.0","1,253,291.0","1,243,907.0","1,251,738.0","1,264,312.0","1,288,100.0","1,306,241.0","1,325,021.0","1,314,000.0","1,342,190.0","1,349,175.0","1,352,440.0","1,355,217.0","1,343,739.0","1,352,919.0","1,378,966.0","1,390,872.0","1,405,418.0","1,392,430.0","1,439,247.0","1,386,035.0","1,443,306.0","1,443,152.0","1,446,679.0","1,422,021.0","1,436,149.0","1,435,217.0","1,441,240.0","1,441,462.0","1,445,726.0","1,448,635.0","1,445,349.0","1,482,342.0","1,460,829.0","1,515,878.0","1,517,352.0","1,531,886.0","1,537,392.0","1,546,144.0","1,576,004.0","1,582,621.0","1,579,073.0","1,571,797.0","1,593,552.0","1,660,400.0","1,653,811.0","1,636,154.0","1,702,804.0","1,677,817.0","1,700,436.0","1,712,829.0","1,722,146.0","1,717,227.0","1,753,628.0","1,662,248.0","1,631,613.0","1,709,580.0","1,695,542.0","1,694,199.0","1,796,238.0"
"31","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,250,017.0","1,255,426.0","1,264,155.0","1,270,572.0","1,275,634.0","1,284,034.0","1,287,148.0","1,300,130.0","1,304,024.0","1,300,459.0","1,314,417.0","1,320,779.0","1,320,674.0","1,328,930.0","1,331,769.0","1,355,888.0","1,366,672.0","1,380,926.0","1,380,096.0","1,412,305.0","1,387,951.0","1,410,950.0","1,419,132.0","1,429,227.0","1,409,850.0","1,423,468.0","1,431,261.0","1,448,050.0","1,460,959.0","1,451,744.0","1,444,223.0","1,450,506.0","1,481,012.0","1,465,872.0","1,501,570.0","1,513,539.0","1,515,664.0","1,508,251.0","1,521,100.0","1,537,293.0","1,553,780.0","1,572,144.0","1,571,973.0","1,570,217.0","1,615,919.0","1,614,948.0","1,611,003.0","1,675,014.0","1,675,835.0","1,668,094.0","1,693,116.0","1,729,806.0","1,730,537.0","1,773,440.0","1,730,138.0","1,697,513.0","1,731,344.0","1,757,471.0","1,762,243.0","1,812,936.0"
"32","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,735.0","3,489.0","-17,446.0","-15,828.0","-7,858.0","7,674.0","24,264.0","25,889.0","14,093.0","49,371.0","42,163.0","38,820.0","41,624.0","19,648.0","27,120.0","29,748.0","31,049.0","30,874.0","16,449.0","32,298.0","-345.0","36,975.0","28,004.0","20,923.0","14,643.0","15,611.0","5,504.0","-6,563.0","-20,599.0","-5,710.0","5,708.0","-4,860.0","1,423.0","-5,209.0","14,965.0","3,315.0","16,759.0","30,414.0","25,398.0","39,636.0","29,467.0","6,957.0","-326.0","22,832.0","45,115.0","39,680.0","25,099.0","26,640.0","3,249.0","30,819.0","18,826.0","-5,641.0","-13,677.0","-18,381.0","-57,777.0","-45,109.0","-1,690.0","-40,817.0","-47,562.0","1,400.0"
