"","Table 5#10# Capital Transfers Paid and Received, by Sector and b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"22","4","      Disaster-related insurance benefits","W943RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,250.0","0.0","1,284.0","17,700.0","2,079.0","12,510.0","1,950.0","0.0","0.0","0.0","1,750.0","0.0","11,600.0","0.0","0.0","17,308.0","28,857.0","0.0","0.0","7,958.0"
"23","5","      Other","W944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"24","6","    Nonfinancial corporations","W945RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"25","7","    Noncorporate business","W946RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","8","  By government","W947RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","721.0","809.0","1,312.0","2,332.0","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","4,035.0","4,387.0","4,260.0","5,993.0","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,898.0","36,344.0","36,590.0","42,013.0","49,199.0","62,589.0","67,963.0","91,227.0","70,498.0","82,832.0","161,601.0"
"27","9","    Federal","W948RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","721.0","809.0","1,312.0","2,332.0","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","4,035.0","4,387.0","4,260.0","5,993.0","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,898.0","36,344.0","36,590.0","42,013.0","49,199.0","62,589.0","63,499.0","84,786.0","70,498.0","82,832.0","161,601.0"
"28","10","      Investment grants to state and local governments \1\","AD11RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","713.0","791.0","1,288.0","2,303.0","3,073.0","2,523.0","2,731.0","2,941.0","3,498.0","3,983.0","3,954.0","4,304.0","4,175.0","5,881.0","5,781.0","5,130.0","5,794.0","5,827.0","5,803.0","7,667.0","9,413.0","10,368.0","10,968.0","11,733.0","14,171.0","16,335.0","15,412.0","14,358.0","15,443.0","17,677.0","19,418.0","19,970.0","18,961.0","19,620.0","19,863.0","20,832.0","21,208.0","22,385.0","23,476.0","24,803.0","27,259.0","28,219.0","28,811.0","28,653.0","31,865.0","36,220.0","41,730.0","45,046.0","45,470.0","46,344.0","48,892.0","52,130.0","53,718.0","56,062.0"
"29","11","      Disaster-related insurance benefits","W949RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17,300.0","0.0","0.0","2,800.0"
"30","12","      Financial stabilization payments \2\","W950RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","67,665.0"
"31","13","      Other capital transfers paid to business \3\","W951RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","89.0","117.0","47.0","21.0","33.0","45.0"
"32","14","      Other capital transfers paid to persons \4\","W027RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,592.0","14,842.0","16,125.0","15,943.0","16,359.0","28,695.0","34,340.0"
"33","15","      Capital transfers paid to the rest of the world (net) \5\","AD10RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","552.0","2,188.0","913.0","2,604.0","1,988.0","386.0","689.0"
"34","16","    State and local","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0"
"35","17","      Disaster-related insurance benefits","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0"
"36","18","  By persons","W953RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","526.0","522.0","488.0","451.0","512.0","576.0","566.0","682.0","795.0","878.0","996.0","1,068.0","915.0","825.0","940.0","1,055.0","1,148.0","1,163.0","1,253.0","1,604.0","1,787.0","1,695.0","1,805.0","2,242.0","2,509.0","2,638.0","2,885.0","3,305.0","3,608.0","3,886.0","3,978.0","4,088.0","4,625.0","4,764.0","5,797.0","6,804.0","6,601.0","6,298.0","6,448.0","7,236.0","9,276.0","7,189.0","7,541.0","8,778.0","9,262.0","10,103.0","8,290.0","8,360.0","8,934.0","10,019.0","10,576.0","11,114.0","12,435.0","15,755.0","15,597.0","15,795.0","17,637.0","20,228.0","20,039.0","23,110.0","26,974.0","32,393.0","36,705.0","35,640.0","35,697.0","32,648.0","27,968.0","30,254.0","30,285.0","33,109.0","31,829.0","33,888.0"
"37","19","    Estate and gift taxes, federal","B232RC1","60.0","60.0","55.0","30.0","68.0","127.0","245.0","381.0","397.0","385.0","366.0","336.0","396.0","465.0","455.0","557.0","654.0","725.0","819.0","885.0","740.0","643.0","731.0","837.0","910.0","908.0","968.0","1,268.0","1,430.0","1,329.0","1,404.0","1,759.0","1,950.0","2,054.0","2,241.0","2,567.0","2,815.0","3,046.0","3,065.0","3,128.0","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,979.0","24,610.0","24,993.0","27,831.0","26,463.0","28,259.0"
"38","20","    Estate and gift taxes, state and local","S210201","165.0","182.0","168.0","137.0","110.0","97.0","109.0","116.0","129.0","137.0","122.0","115.0","116.0","111.0","111.0","125.0","141.0","153.0","177.0","183.0","175.0","182.0","209.0","218.0","238.0","255.0","285.0","336.0","357.0","366.0","401.0","483.0","559.0","584.0","644.0","738.0","793.0","840.0","913.0","960.0","1,062.0","1,082.0","1,209.0","1,443.0","1,509.0","1,503.0","1,561.0","1,653.0","2,119.0","1,977.0","2,047.0","2,264.0","2,371.0","2,588.0","2,517.0","2,390.0","2,561.0","3,048.0","3,368.0","3,471.0","3,536.0","4,158.0","4,597.0","4,514.0","4,734.0","5,120.0","5,091.0","5,621.0","6,410.0","7,234.0","7,935.0","7,539.0","7,746.0","7,346.0","5,989.0","5,644.0","5,292.0","5,278.0","5,366.0","5,629.0"
"39","21","  By the rest of the world","W954RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","1,535.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,192.0","0.0","0.0","3,691.0","15,380.0","0.0","0.0","3,762.0"
"40","22","    Disaster-related insurance benefits","W955RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","1,535.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,192.0","0.0","0.0","3,691.0","15,380.0","0.0","0.0","3,762.0"
"41","23","    Other","W956RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"42","24","Capital transfers received, by sector","W957RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","589.0","647.0","601.0","581.0","674.0","698.0","657.0","753.0","860.0","961.0","1,139.0","1,334.0","1,287.0","1,267.0","1,382.0","1,545.0","1,708.0","1,748.0","1,974.0","2,413.0","3,099.0","4,027.0","4,927.0","4,858.0","5,363.0","5,705.0","6,471.0","7,369.0","7,643.0","8,273.0","8,238.0","10,081.0","10,485.0","10,024.0","11,746.0","12,855.0","12,598.0","14,224.0","16,159.0","17,853.0","20,469.0","19,173.0","22,063.0","25,517.0","24,998.0","24,773.0","23,872.0","26,143.0","28,499.0","30,100.0","29,675.0","30,868.0","35,896.0","43,960.0","43,388.0","57,643.0","44,019.0","58,785.0","49,889.0","51,530.0","56,188.0","61,291.0","74,799.0","72,230.0","102,502.0","81,847.0","90,557.0","119,216.0","165,750.0","103,607.0","114,661.0","207,210.0"
"43","25","  By private business","W958RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","2,891.0","0.0","1,027.0","15,937.0","1,765.0","10,660.0","1,671.0","0.0","0.0","0.0","1,650.0","0.0","19,586.0","9.0","89.0","21,687.0","55,309.0","21.0","33.0","79,755.0"
